http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28.QT.Intrusion+Detection+System.QT.%29,10/26/2015 18:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
A Multi-Agent-Based Distributed Intrusion Detection System,Weijian Huang; Yan An; Wei Du,"Sch. of Inf. Sci. & Electr. Eng., Hebei Univ. of Eng., Handan, China","Advanced Computer Theory and Engineering (ICACTE), 2010 3rd International Conference on",20100920,2010,3,,V3-141,V3-143,"Distributed intrusion detection system as the supplement of firewall can provide more effective protection means. This article describes the development trend of Distributed Intrusion Detection System, Shortcomings of Distributed Intrusion Detection System, and describes in detail the advantages, the Structure and the Principle of work of Distributed Intrusion Detection System based on multi-agent technology. It proved the superiority of A Multi-Agent-Based Distributed Intrusion Detection System. Distributed Intrusion Detection System based on multi-agent technology can effectively improve the detection accuracy and detection speed, and enhance the system's own security. A Multi-Agent-Based Distributed Intrusion Detection System can cooperate with the firewall and the network management tool to constitute a three-dimensional defense system.",2154-7491,978-1-4244-6539-2,,10.1109/ICACTE.2010.5579686,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5579686,Distributed Intrusion Detection System;multi-agent;network security,Data analysis;Educational institutions;Engines;Fires,computer network security;distributed processing;multi-agent systems,firewall;multi-agent based distributed intrusion detection system;three dimensional defense system,,0,,9,,,20-22 Aug. 2010,,IEEE,IEEE Conference Publications,,
Intrusion Detection System Using Bagging Ensemble Method of Machine Learning,"Gaikwad, D.P.; Thool, R.C.","Dept. of Comput. Eng., AISSMS Coll. of Eng., Pune, India","Computing Communication Control and Automation (ICCUBEA), 2015 International Conference on",20150716,2015,,,291,295,"Intrusion detection system is widely used to protect and reduce damage to information system. It protects virtual and physical computer networks against threats and vulnerabilities. Presently, machine learning techniques are widely extended to implement effective intrusion detection system. Neural network, statistical models, rule learning, and ensemble methods are some of the kinds of machine learning methods for intrusion detection. Among them, ensemble methods of machine learning are known for good performance in learning process. Investigation of appropriate ensemble method is essential for building effective intrusion detection system. In this paper, a novel intrusion detection technique based on ensemble method of machine learning is proposed. The Bagging method of ensemble with REPTree as base class is used to implement intrusion detection system. The relevant features from NSL_KDD dataset are selected to improve the classification accuracy and reduce the false positive rate. The performance of proposed ensemble method is evaluated in term of classification accuracy, model building time and False Positives. The experimental results show that the Bagging ensemble with REPTree base class exhibits highest classification accuracy. One advantage of using Bagging method is that it takes less time to build the model. The proposed ensemble method provides competitively low false positives compared with other machine learning techniques.",,,,10.1109/ICCUBEA.2015.61,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7155853,Bagging;Ensemble;False positives;Machine learning;REPTree;intrusion detection,Accuracy;Bagging;Classification algorithms;Feature extraction;Hidden Markov models;Intrusion detection;Training,data analysis;learning (artificial intelligence);neural nets;security of data;statistical analysis;trees (mathematics),NSL-KDD dataset;REPTree;classification accuracy;intrusion detection system;machine learning techniques;neural network;physical computer networks;statistical models;using bagging ensemble method;virtual computer networks,,0,,16,,,26-27 Feb. 2015,,IEEE,IEEE Conference Publications,,
Ontology-based distributed intrusion detection system,"Abdoli, F.; Kahani, M.","Ferdowsi Univ. of Mashhad, Mashhad, Iran","Computer Conference, 2009. CSICC 2009. 14th International CSI",20091208,2009,,,65,70,"In this paper we discussed about utilizing methods and techniques of semantic web in the Intrusion Detection Systems. To extract semantic relations between computer attacks and intrusions in a Distributed Intrusion Detection System, we use ontology. Protege software is our selected software for building ontology. In addition, we utilized Jena framework to make interaction between MasterAgent and attacks ontology. Our Distributed Intrusion Detection System is a network which contains some IDSagents and a special MasterAgent. MasterAgent contains our proposed attacks ontology. Every time a IDSagent detects an attack or new suspected condition, it sends detection's report for MasterAgent. Therefore, it can extract the semantic relationship among computer attacks and suspected situations in the network with proposed ontology. Finally, the experience shows that the pruposed system reduced the rate of false positive and false negative.",,978-1-4244-4261-4,978-1-4244-4262-1,10.1109/CSICC.2009.5349372,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5349372,Denial of Service attack;Intrusion Detection System;Ontology,Computer crime;Computer networks;Computer security;Data models;Distributed computing;Information security;Intrusion detection;Logic;Ontologies;Semantic Web,distributed processing;ontologies (artificial intelligence);security of data;semantic Web,MasterAgent;attacks ontology;computer attacks;ontology-based distributed intrusion detection system;semantic Web,,0,,27,,,20-21 Oct. 2009,,IEEE,IEEE Conference Publications,,
Research on application of intrusion detection system in data mining,"Shwetha Nayak, B.","Dept. of CSE, Canara Eng. Coll., Mangalore, India","Research & Technology in the Coming Decades (CRT 2013), National Conference on Challenges in",20140710,2013,,,1,8,"Network security is a large and growing area of concern for every network. The more we invent for the good of humanity, humans try to negate the good factor and hence the fear of viruses and hacking. Research has to move in the direction of preserving and guarding network environments which today are facing an ever increasing number of security threats in the form of Trojan worm attacks and viruses that can damage the Computer systems and communication channel. Firewalls are used as a security check point in a network environment; nevertheless there are still various types of security issues which are on the rise. In order to strengthen the network from illegal access the concept of IDS (Intrusion Detection System) is gaining popularity around the world. The applications of the data mining in the computer security field improves the development of IDS in order to work on these applications it is essential to classify the degree of attacks in IDS and use it through data mining. Despite the use of IDS we cannot be completely certain about its workability and results of IDS use have been uncertain. To plug the loopholes we need to adjust the detection strategy according to the degree of attack activities to ensure error free results.",,,978-1-84919-868-4,10.1049/cp.2013.2486,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6851533,Data Mining;Firewall;Intrusion Detection System (IDS);Threat,,computer viruses;data mining;firewalls;telecommunication channels,IDS;Trojan worm attacks;communication channel;computer security field;computer systems;data mining;firewalls;guarding network environments;illegal access;intrusion detection system;network security;preserving network environments;security threats;viruses,,0,,,,,27-28 Sept. 2013,,IET,IET Conference Publications,,
Optimization of the Neural-Network-Based Multiple Classifiers Intrusion Detection System,Xiangmei Li,"Coll. of Network Eng., Chengdu Univ. of Inf. Technol., Chengdu, China","Internet Technology and Applications, 2010 International Conference on",20100909,2010,,,1,4,"In this paper, according to the difference between the attack categories, we adjust the 41-dimensional input features of the neural-network-based multiple classifiers intrusion detection system. After repeated experiment, we find that the every adjusted sub-classifier is better in convergence precision, shorter in training time than the 41-features sub-classifier, moreover, the whole intrusion detection system is higher in the detection rate, and less in the false negative rate than the 41-features multiple classifiers intrusion detection system. So, the scheme of the adjusting input features is able to optimize the neural-network-based multiple classifiers intrusion detection system, and proved to be feasible in practice.",,978-1-4244-5142-5,978-1-4244-5143-2,10.1109/ITAPP.2010.5566641,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5566641,,Artificial neural networks;Computer crime;Feature extraction;Intrusion detection;Probes;Testing;Training,neural nets;optimisation;pattern classification;security of data,convergence precision;multiple classifiers intrusion detection system;neural network optimisation,,1,,9,,,20-22 Aug. 2010,,IEEE,IEEE Conference Publications,,
Research of intrusion detection system based on machine learning,Ma Jun; Feng Shuqian,"Coll. of Inf. Sci. & Eng., Jiao Zuo Univ., Jiao Zuo, China","Computer Engineering and Technology (ICCET), 2010 2nd International Conference on",20100617,2010,7,,V7-713,V7-715,"Through the study of the existing intrusion detection system, this paper presents the idea of applying the machine learning methods in the intrusion detection system, establishes a learning-based intrusion detection system model, gives the framework of the system and the main process steps, and designs and tests the machine learning module in it to achieve the learning-based intrusion detection system.",,978-1-4244-6347-3,,10.1109/ICCET.2010.5485703,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5485703,intrusion detection;machine learning;network security,Computer hacking;Computer networks;Computer security;Data mining;Face detection;Information security;Intrusion detection;Machine learning;Protection;Spatial databases,learning (artificial intelligence);security of data,learning-based intrusion detection system model;machine learning methods;machine learning module,,0,,8,,,16-18 April 2010,,IEEE,IEEE Conference Publications,,
Research on distributed intrusion detection system based on Protocol analysis,Xiaohong Qu; Zhijie Liu; Xiaoyao Xie,,"Anti-counterfeiting, Security, and Identification in Communication, 2009. ASID 2009. 3rd International Conference on",20091006,2009,,,421,424,"Intrusion detection system is a new safeguard technology for system security after traditional technologies, such as firewall, message encryption and so on. To intrusion detection system, it makes improving efficiency of intrusion detection by choosing better method of intrusion detection, traditional intrusion detection system because of large amount of calculation, the high rate of omissions and misstatem tmts has not already adapted to the needs of the current network system protocol analysis is a kind of key technology for network intrusion detection. The paper which based on that idea will presents a distributed intrusion detection system model based on protocol analysis, it makes processing work very simple using protocol analysis technology in detection module. Compared with other model, the model has obvious advantage by analysing, and it can decrease the rate of FN and enhance the capability of system.",,978-1-4244-3883-9,978-1-4244-3884-6,10.1109/ICASID.2009.5276963,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5276963,Distributed;Intrusion Detection System;NetworkSecurity;Protocol Analysis,Computer science education;Cryptography;Decoding;Information analysis;Information security;Intrusion detection;Monitoring;Paper technology;Protection;Protocols,computer networks;protocols;telecommunication security,distributed intrusion detection system;firewall;message encryption;network system protocol analysis;network system security,,0,,11,,,20-22 Aug. 2009,,IEEE,IEEE Conference Publications,,
Research of Intrusion Detection System,Sui Xin,"Coll. of Humanities & Sci., Northeast Normal Univ., Changchun, China","Computational and Information Sciences (ICCIS), 2013 Fifth International Conference on",20131024,2013,,,1460,1462,"Intrusion detection technology is one of the core technologies of dynamic security defense. It and static security technologies can form a strong network security system. Firstly, this article introduces the development of intrusion detection system. Secondly, this paper introduces the new technologies of intrusion detection system. Finally, the paper prospects the development of intrusion detection system.",,,,10.1109/ICCIS.2013.385,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6643303,Intrusion detection;active;model;new technology;prospect,Computational modeling;Data mining;Educational institutions;Immune system;Intrusion detection;Monitoring,security of data,dynamic security defense;intrusion detection system;static security technologies;strong network security system,,0,,5,,,21-23 June 2013,,IEEE,IEEE Conference Publications,,
Research of Data Mining in Intrusion Detection System and the Uncertainty of the Attack,Wei Liu,"Coll. of Comput. Sci. & Technol., Changchun Univ., Changchun, China","Computer Network and Multimedia Technology, 2009. CNMT 2009. International Symposium on",20100108,2009,,,1,4,"While the intrusion detection system in network is making great progress, it is also facing great challenges. The applications of data mining technique in computer security field improve the development of EDS. It is necessary to classify the attack degrees in IDS and use it in IDS by data mining. In spite of IDS can detect the attack activities in network, the result is uncertain. To describe the uncertainty, we classify the degree of the attack activities, and users can adjust the detection strategy according to the actual situation.",,978-1-4244-5272-9,,10.1109/CNMT.2009.5374658,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5374658,,Application software;Computer science;Computer security;Data analysis;Data mining;Educational institutions;Information analysis;Information systems;Intrusion detection;Uncertainty,computer network security;data mining;uncertainty handling,computer security;data mining technique;intrusion detection system,,1,,8,,,18-20 Jan. 2009,,IEEE,IEEE Conference Publications,,
Research of Intelligent Intrusion Detection System Based on Web Data Mining Technology,Chai Wenguang; Tan Chunhui; Duan Yuting,"Coll. of Comput., Guangdong Univ. of Technol., Guangzhou, China","Business Intelligence and Financial Engineering (BIFE), 2011 Fourth International Conference on",20120102,2011,,,14,17,"The network information security problem has been an essential factor that restricts internet application. Intrusion detection technology, though one of the important technologies of network information security protection, has some shortcomings. By applying web data mining technology and intelligent agent technology to intrusion detection system, we can solve the conventional problem in intrusion detection system. In this paper, we thoroughly discuss the structure model, function modules, work flow, and functional characteristics, of intelligent intrusion detection system based on web data mining technology.",,978-1-4577-1541-9,,10.1109/BIFE.2011.102,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6121078,Intelligent agent;Intelligent intrusion detection system;Intrusion Detection System;Web data mining,Artificial intelligence;Data acquisition;Data mining;Databases;Intelligent agents;Intrusion detection,Web sites;computer network security;data mining;multi-agent systems,Internet application;Web data mining technology;intelligent agent technology;intelligent intrusion detection system;network information security protection,,1,,6,,,17-18 Oct. 2011,,IEEE,IEEE Conference Publications,,
