http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.Recall.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/9/2015 17:09,"((""Recall"") AND ""Intrusion Detection System"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,
An Adaptive Feedback Mechanism Algorithm for Intrusion Detection System,"Chen, Shan-Tai; Pan, Chih-Chen; Chyi-Bao Yang",,"Computer Science and its Applications, 2009. CSA '09. 2nd International Conference on",20100701,2009,,,1,6,"<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/05404260.png"" border=""0"">",,978-1-4244-4945-3,,10.1109/CSA.2009.5404260,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5404260,,Artificial neural networks;Data mining;Decision trees;Feedback;Intrusion detection;Machine learning algorithms;Sampling methods;Supervised learning;Support vector machines;Training data,,,,0,,12,,,10-12 Dec. 2009,,IEEE,IEEE Conference Publications,,,
A statistical framework for intrusion detection system,"Kabir, M.E.; Jiankun Hu","Sch. of Human Movement Studies, Univ. of Queensland, St. Lucia, QLD, Australia","Fuzzy Systems and Knowledge Discovery (FSKD), 2014 11th International Conference on",20141211,2014,,,941,946,"This paper proposes a statistical framework for intrusion detection system based on sampling with Least Square Support Vector Machine (LS-SVM). Decision making is performed in two stages. In the first stage, the whole dataset is divided into some predetermined arbitrary subgroups. The proposed algorithm selects representative samples from these subgroups such that the samples reflect the entire dataset. An optimum allocation scheme is developed based on the variability of the observations within the subgroups. In the second stage, least square support vector machine (LS-SVM) is applied to the extracted samples to detect intrusions. We call the proposed algorithm as optimum allocation-based least square support vector machine (OA-LS-SVM) for IDS. To demonstrate the effectiveness of the proposed method, the experiments are carried out on KDD 99 database which is considered a de facto benchmark for evaluating the performance of intrusions detection algorithm. All binary-classes are tested and our proposed approach obtains a realistic performance in terms of accuracy and efficiency.",,978-1-4799-5147-5,,10.1109/FSKD.2014.6980966,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6980966,,Decision trees;Feature extraction;Intrusion detection;Resource management;Support vector machines;Testing;Training,decision making;least squares approximations;security of data;statistical analysis;support vector machines,IDS;KDD 99 database;OA-LS-SVM;binary-classes;de facto benchmark;decision making;intrusion detection system;optimum allocation-based least square support vector machine;performance evaluation;statistical framework,,0,,25,,,19-21 Aug. 2014,,IEEE,IEEE Conference Publications,,,
Research on Reconfigurable Intrusion Detection System,Zhao Liang; Zhang Xiao-Hui,"Coll. of Inf. Eng., PLA Inf. Eng. Univ., Zhengzhou, China","Multimedia Information Networking and Security (MINES), 2012 Fourth International Conference on",20130110,2012,,,913,917,"DIDS (Distributed Intrusion Detection System) is the best project for detecting distributed intrusion. On account of complicated architecture, difficulty for deployment and no condition for testing, DIDS has not been emploied. This paper analyzes the existing architecture of DIDS, and proposes the idear of designing a RIDS (Reconfigurable Intrusion Detection System), and proposes the construction principle of component and analysis for reconfiguration. In addition, this paper formally describe the RIDS, and present two measurement for reconfiguration based on the different object.",,978-1-4673-3093-0,,10.1109/MINES.2012.180,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6405834,Architecture Module;IDS;Reconfigurable;Reconfigure technique,Analytical models;Data models;Educational institutions;Intrusion detection;Libraries;Planning;Resource management,computer network security;distributed processing;reconfigurable architectures,DIDS architecture;RIDS design;construction principle;distributed intrusion detection system;reconfigurable intrusion detection system,,0,,10,,,2-4 Nov. 2012,,IEEE,IEEE Conference Publications,,,
An AODE-based intrusion detection system for computer networks,"Baig, Z.A.; Shaheen, A.S.; AbdelAal, R.","Dept. of Comput. Eng., King Fahd Univ. of Pet. & Miner., Dhahran, Saudi Arabia","Internet Security (WorldCIS), 2011 World Congress on",20110415,2011,,,28,35,"Detecting anomalous traffic on the Internet has remained an issue of concern for the community of security researchers over the years. Advances in computing performance, in terms of processing power and storage, have allowed the use of resource-intensive intelligent algorithms, to detect intrusive activities, in a timely manner. Naïve Bayes is a statistical inference learning algorithm with promise for document classification, spam detection and intrusion detection. The attribute independence issue associated with Naïve Bayes has been resolved through the development of the Average One Dependence Estimator (AODE) algorithm. In this paper, we propose the application of AODE for intrusion detection. The performance of the proposed scheme is studied and analyzed on the KDD-99 intrusion benchmark data set. With a detection rate of 99.7%, AODE outperformed Naïve Bayes, which reported a detection rate of 97.3%, and a larger number of false positives.",,978-1-4244-8879-7,978-0-9564263-7-6,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5749877,,Accuracy;Bayesian methods;Computational modeling;Data models;Feature extraction;Intrusion detection;Training,Bayes methods;Internet;computer network security;document handling;learning (artificial intelligence);statistical analysis;unsolicited e-mail,AODE based intrusion detection system;Internet;average one dependence estimator algorithm;computer network;document classification;intrusive activity detection;naive Bayes;resource intensive intelligent algorithm;security researcher;spam detection;statistical inference learning algorithm,,0,,23,,,21-23 Feb. 2011,,IEEE,IEEE Conference Publications,,,
An Intrusion Detection System implementing Host based attacks using Layered Framework,"Badgujar, T.; More, P.","Dept. of Comput. Eng., GSMCOE(Balewadi), Pune, India","Innovations in Information, Embedded and Communication Systems (ICIIECS), 2015 International Conference on",20150813,2015,,,1,4,"Intrusion Detection System has become a core component in a computer network as it is having threats from attackers, spammers and also from criminal enterprises. This insecurity is increasing in online environment day by day. The system must be secure from these prevalence. This paper represents an Intrusion Detection System implementing Real Time Host based attacks using Layered Framework. This system is experimented with real time packets. As we have experimented, it provides high security and less false alarm rate.",,978-1-4799-6817-6,,10.1109/ICIIECS.2015.7193122,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7193122,Intrusion Detection System;Layered Framework;Real Time Packets,Computers;Conferences;Data mining;Feature extraction;Floods;Intrusion detection;Real-time systems,computer network security,attackers;computer network;false alarm rate;host based attacks;intrusion detection system;layered framework;real time host based attacks;spammers,,0,,12,,,19-20 March 2015,,IEEE,IEEE Conference Publications,,,
Efficient host based intrusion detection system using Partial Decision Tree and Correlation feature selection algorithm,"Lydia Catherine, F.; Pathak, R.; Vaidehi, V.","Dept. of Inf. Technol., Anna Univ., Chennai, India","Recent Trends in Information Technology (ICRTIT), 2014 International Conference on",20141229,2014,,,1,6,"System security has become significant issue in many organizations. The attacks like DoS, U2R, R2L and Probing etc., creating a serious threat to the appropriate operation of Internet services as well as in host system. In recent years, intrusion detection system is designed to prevent the intruder in the host as well as in network systems. Existing host based intrusion detection systems detects the intrusion using complete feature set and it is not fast enough to detect the attacks. To overcome this problem, this paper proposes an efficient HIDS - Correlation based Partial Decision Tree Algorithm (CPDT). The proposed CPDT combines Correlation feature selection for selecting features and Partial Decision Tree (PART) for classifying the normal and the abnormal packets. The algorithm is implemented and has been validated within KDD'99 dataset and found to give better results than the existing algorithms. The proposed CPDT model provides the accuracy of 99.9458%.",,,,10.1109/ICRTIT.2014.6996115,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6996115,CFS;DoS;IDS;Intruder;Probing;R2L;U2R,Accuracy;Algorithm design and analysis;Classification algorithms;Correlation;Decision trees;Feature extraction;Intrusion detection,computer network security;data mining;decision trees;feature selection;pattern classification;security of data,CPDT algorithm;DoS attack;HIDS;Internet service operation;KDD'99 dataset;PART;Probing attack;R2L attack;U2R attack;abnormal packet classification;correlation feature selection;correlation feature selection algorithm;correlation-based partial decision tree algorithm;host system;host-based intrusion detection system;network systems;normal packet classification;system security,,0,,16,,,10-12 April 2014,,IEEE,IEEE Conference Publications,,,
An analysis of supervised tree based classifiers for intrusion detection system,"Thaseen, S.; Kumar, C.A.","Sch. of Comput. Sci. & Eng., VIT Univ., Chennai, India","Pattern Recognition, Informatics and Mobile Engineering (PRIME), 2013 International Conference on",20130415,2013,,,294,299,"Due to increase in intrusion incidents over internet, many network intrusion detection systems are developed to prevent network attacks. Data mining, pattern recognition and classification methods are used to classify network events as a normal or anomalous one. This paper is aimed at evaluating different tree based classification algorithms that classify network events in intrusion detection systems. Experiments are conducted on NSL-KDD 99 dataset. Dimensionality of the attribute of the dataset is reduced. The results show that RandomTree model holds the highest degree of accuracy and reduced false alarm rate. RandomTree model is evaluated with other leading intrusion detection models to determine its better predictive accuracy.",,978-1-4673-5843-9,,10.1109/ICPRIME.2013.6496489,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6496489,Classification Models;Discretization;Feature Selection;Intrusion detection system;Random Tree,Accuracy;Classification algorithms;Data mining;Decision trees;Intrusion detection;Training;Vegetation,pattern classification;security of data;trees (mathematics),Internet;NSL-KDD 99 dataset;RandomTree model;attribute dimensionality;classification method;data mining;false alarm rate;network attacks;network event classification;network intrusion detection system;pattern recognition;supervised tree based classifier;tree based classification algorithm,,4,,26,,,21-22 Feb. 2013,,IEEE,IEEE Conference Publications,,,
Enhancing detection rate in database intrusion detection system,"Rao, U.P.; Singh, N.K.; Amin, A.R.; Sahu, K.","Dept. of Comput. Eng., Sardar Vallabhbhai Nat. Inst. of Technol., Surat, India","Science and Information Conference (SAI), 2014",20141009,2014,,,556,563,Protecting the database from malicious insider is the major challenge for the organizations now-a-days. The organizations are eager to adopt the advanced security solutions to prevent the theft of data. Most of the existing database IDS (intrusion detection system) apply high profile matching constraint. Due to this there is probability of high false positive rate. In this paper we propose a novel database IDS which reduces the false positive and false negative rates. This approach provides flexibility in profile matching constraint.,,978-0-9893-1933-1,,10.1109/SAI.2014.6918241,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6918241,Audit Log;DBMS;Database Security;Intrusion Detection System;Transaction Profile,Data mining;Databases;Feature extraction;Intrusion detection;Organizations;Pattern matching,data protection;database management systems;security of data,advanced security solutions;database IDS;database intrusion detection system;database protection;detection rate enhancement;high false positive rate probability;high profile matching constraint;malicious insider,,0,,14,,,27-29 Aug. 2014,,IEEE,IEEE Conference Publications,,,
Network Intrusion Detection System using attack behavior classification,"Al-Jarrah, O.; Arafat, A.","Dept. of Comput. Eng., Jordan Univ. of Sci. & Technol., Irbid, Jordan","Information and Communication Systems (ICICS), 2014 5th International Conference on",20140626,2014,,,1,6,"Intrusion Detection Systems (IDS) have become a necessity in computer security systems because of the increase in unauthorized accesses and attacks. Intrusion Detection is a major component in computer security systems that can be classified as Host-based Intrusion Detection System (HIDS), which protects a certain host or system and Network-based Intrusion detection system (NIDS), which protects a network of hosts and systems. This paper addresses Probes attacks or reconnaissance attacks, which try to collect any possible relevant information in the network. Network probe attacks have two types: Host Sweep and Port Scan attacks. Host Sweep attacks determine the hosts that exist in the network, while port scan attacks determine the available services that exist in the network. This paper uses an intelligent system to maximize the recognition rate of network attacks by embedding the temporal behavior of the attacks into a TDNN neural network structure. The proposed system consists of five modules: packet capture engine, preprocessor, pattern recognition, classification, and monitoring and alert module. We have tested the system in a real environment where it has shown good capability in detecting attacks. In addition, the system has been tested using DARPA 1998 dataset with 100% recognition rate. In fact, our system can recognize attacks in a constant time.",,978-1-4799-3022-7,,10.1109/IACS.2014.6841978,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6841978,Host sweep;Intrusion Detection Systems;Network probe attack;Port scan;TDNN neural network,IP networks;Intrusion detection;Neural networks;Pattern recognition;Ports (Computers);Probes;Protocols,computer network security;neural nets;pattern classification,HIDS;NIDS;TDNN neural network structure;alert module;attack behavior classification;computer security systems;host sweep attacks;host-based intrusion detection system;network intrusion detection system;network probe attacks;packet capture engine;pattern classification;pattern recognition;port scan attacks;preprocessor;reconnaissance attacks;unauthorized accesses,,0,,26,,,1-3 April 2014,,IEEE,IEEE Conference Publications,,,
Feature Selection and Design of Intrusion Detection System Based on k-Means and Triangle Area Support Vector Machine,Pingjie Tang; Rong-an Jiang; Mingwei Zhao,"Dept. Comput. Sci. & Eng., Dalian Univ. of Technol., Dalian, China","Future Networks, 2010. ICFN '10. Second International Conference on",20100318,2010,,,144,148,"Nowadays, challenged by malicious use of network and intentional attacks on personal computer system, intrusion detection system has become an indispensible and infrastructural mechanism for securing critical resource and information. Most current intrusion detection systems focus on hybrid supervised and unsupervised machine learning technologies. The related work has demonstrated that they can get superior performance than applying single machine learning algorithm in detection model. Besides, with the scrutiny of related works, feature selecting and representing techniques are also essential in pursuit of high efficiency and effectiveness. Performance of specified attack type detection should also be improved and evaluated. In this paper, we incorporate information gain (IG) method for selecting more discriminative features and triangle area based support vector machine (TASVM) by combining k-means clustering algorithm and SVM classifier to detect attacks. Our system achieves accuracy of 99.83%, detection rate of 99.88% and false alarm rate of 2.99% on the 10% of KDD CUP 1999 evaluation data set. We also achieve a better detection performance for specific attack types concerning precision and recall.",,978-0-7695-3940-9,978-1-4244-5667-3,10.1109/ICFN.2010.42,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5431864,KDD CUP 1999;intrusion detection system;k-means;machine learning;support vector machine;triangle area feature represention,Cities and towns;Clustering algorithms;Computer science;Intrusion detection;Machine learning;Machine learning algorithms;Microcomputers;Support vector machine classification;Support vector machines;Testing,learning (artificial intelligence);pattern classification;pattern clustering;security of data;support vector machines,KDD CUP 1999 evaluation data set;SVM classifier;attack type detection;information gain method;intentional attacks;intrusion detection system;k-means clustering algorithm;personal computer system;single machine learning algorithm;triangle area support vector machine;unsupervised machine learning technology,,4,,13,,,22-24 Jan. 2010,,IEEE,IEEE Conference Publications,,,
