http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.Intrusion+Detection+System.QT.%29+AND+fence%29,11/5/2015 17:59,"((""Intrusion Detection System"") and fence)",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
Energy-aware distributed fence surveillance for wireless sensor networks,"Dziengel, N.; Ziegert, M.; Adler, S.; Kasmi, Z.; Pfeiffer, S.; Schiller, J.","Dept. of Math. & Comput. Sci., Freie Univ. Berlin, Berlin, Germany","Intelligent Sensors, Sensor Networks and Information Processing (ISSNIP), 2011 Seventh International Conference on",20120209,2011,,,353,358,"Fences are used all over the world to protect areas against unauthorized access. While most fences meet these requirements by building a physical and psychological barrier against intruders, this is not sufficient for areas of particular interest like restricted areas of an airport or construction sites with expensive goods. To detect intruders we integrate wireless sensor nodes into a fence. We fulfill the requirements for real-world energy-awareness by using active sensors with configurable logic, power saving modes like WOR and power down modes. The sensor nodes are capable of differentiating between several events, with the appliance of a distributed classification algorithm. We present an energy-aware platform for a distributed fence surveillance system in a wireless sensor network. We report on our experience in creating a platform that is concerning energy and performance demands and specifically tailored for the purpose of fence surveillance including fully integrated housing.",,978-1-4577-0675-2,,10.1109/ISSNIP.2011.6146603,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6146603,,Acceleration;Event detection;Feature extraction;Hardware;Surveillance,access control;surveillance;wireless sensor networks,WOR;active sensors;configurable logic;energy aware distributed fence surveillance;integrated housing;power down mode;power saving mode;unauthorized access;wireless sensor networks;wireless sensor node,,1,,18,,,6-9 Dec. 2011,,IEEE,IEEE Conference Publications,,
Performance study of virtual fence unit using Wireless Sensor Network in IoT environment,"Chan, H.T.; Rahman, T.A.; Arsad, A.","Wireless Commun. Centre, Univ. Teknol. Malaysia, Johor Bahru, Malaysia","Parallel and Distributed Systems (ICPADS), 2014 20th IEEE International Conference on",20150430,2014,,,873,875,"Wireless Sensor Networks (WSN) have been widely used in various monitoring applications including virtual fencing. With the integration of Internet of Things (IoT) in which millions of devices, systems and services will be interconnected online, it brings high capabilities for sensing, intercommunicate and actuation. This paper presents the experiments and performance analysis of virtual fence unit consists of microwave motion detector and IEEE 802.15.4 WSN for maximum sensing range integrate with IoT. In particular, the analysis is focusing on the maximum sensing range in terms of azimuth angle, height, sensitivity level for indoor and outdoor implementation. With the help of IoT, sensor which detected motion on weak detection angle or signal could communicate through internet and get signal from nearby sensor for better detection signal. The WSN platform is developed using Octopus II sensor nodes while the microwave motion detector is HB100 which detect movement using Doppler effects. Octopus II will uplink all signal through internet and provide corresponding action of virtual fencing when intrusion detected. Results show maximum sensing range of virtual fence unit is decreasing as azimuth angle increasing. With high sensitivity level of virtual fence unit, the maximum sensing range of virtual fence unit is larger than the maximum sensing range of virtual fence unit at normal sensitivity level. Results also show the virtual fence unit has higher maximum sensing range in indoor environment than outdoor environment.",,,,10.1109/PADSW.2014.7097899,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7097899,HB100;Internet of Things (IoT)Introduction;Octopus II;Wireless Sensor Network (WSN);indoor;maximum sensing range;outdoor;virtual fence unit,Azimuth;Detectors;Indoor environments;Sensitivity;Wireless communication;Wireless sensor networks,Doppler effect;Internet of Things;Zigbee;indoor communication;wireless sensor networks,Doppler effects;HB100 microwave motion detector;IEEE 802.15.4 WSN;Internet of Things;IoT environment;Octopus II sensor nodes;azimuth angle;indoor environment;indoor implementation;outdoor implementation;virtual fence unit;wireless sensor network,,0,,5,,,16-19 Dec. 2014,,IEEE,IEEE Conference Publications,,
Design of a physical security perimeter fencing system,"Han Lin; Ross, M.; Mack, T.","Navy Phys. Security Dept., Sandia Nat. Labs., Albuquerque, NM, USA","Security Technology (ICCST), 2010 IEEE International Carnahan Conference on",20101230,2010,,,205,210,"Design of a physical security perimeter fencing system requires that security designers provide effective detection, delay, and response functionalities with minimal nuisance alarms. In addition, the designers must take into considerations the security fence system life cycle cost (equipment and grounds maintenance), complexity of the terrain, safety, and environmental conditions (location of where the security fence will be installed). Often, these factors drive the security designers to design a perimeter intrusion detection and assessment system (PIDAS) that includes: 1) larger than desired footprint, 2) one or more animal control fences to minimize the nuisance alarm rate (NAR), and 3) clear zones and an isolation zone to facilitate intrusion detection and assessment by keeping the fence lines clear of vegetation, trash, and other objects that could impede the security system's performance. This paper presents a two-tier PIDAS design that focuses on effective performance specifically in high probability of detection and low NAR that minimizes cost and the footprint of the system.",1071-6572,978-1-4244-7403-5,,10.1109/CCST.2010.5678719,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5678719,Intrusion Detection;Perimeter;Physical Security,Animals;Intrusion detection;Monitoring;Optical fibers;Testing;Wire,life cycle costing;safety systems,facilitate intrusion detection;larger than desired footprint;life cycle cost;nuisance alarm rate;perimeter fencing system;perimeter intrusion detection and assessment system;physical security;security fence system;two-tier PIDAS design,,0,,5,,,5-8 Oct. 2010,,IEEE,IEEE Conference Publications,,
Research of intrusion detection system based on machine learning,Ma Jun; Feng Shuqian,"Coll. of Inf. Sci. & Eng., Jiao Zuo Univ., Jiao Zuo, China","Computer Engineering and Technology (ICCET), 2010 2nd International Conference on",20100617,2010,7,,V7-713,V7-715,"Through the study of the existing intrusion detection system, this paper presents the idea of applying the machine learning methods in the intrusion detection system, establishes a learning-based intrusion detection system model, gives the framework of the system and the main process steps, and designs and tests the machine learning module in it to achieve the learning-based intrusion detection system.",,978-1-4244-6347-3,,10.1109/ICCET.2010.5485703,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5485703,intrusion detection;machine learning;network security,Computer hacking;Computer networks;Computer security;Data mining;Face detection;Information security;Intrusion detection;Machine learning;Protection;Spatial databases,learning (artificial intelligence);security of data,learning-based intrusion detection system model;machine learning methods;machine learning module,,0,,8,,,16-18 April 2010,,IEEE,IEEE Conference Publications,,
Real time intrusion detection system for outdoor environment,"Liang, K.M.; Hon, H.W.; Khairunnisa, M.J.; Choong, T.L.; Khairil, H.Z.","Centre for Adv. Inf. & Archit. Dev., MIMOS Berhad, Kuala Lumpur, Malaysia","Computer Applications and Industrial Electronics (ISCAIE), 2012 IEEE Symposium on",20130321,2012,,,147,152,"This paper aims to present the overall architecture of intrusion detection system and its effectiveness in detecting intruder at an outdoor environment. The outdoor environment is exposing to various brightness condition in terms of the weather, day transition, dynamic background of the scene, shadow and the visibility degree of the infrared camera. In this work, the capturing devices and intrusion detection system are setup physically at the pilot site. A thorough evaluation is done for consecutive three days in order to measure the accuracy of the system in detecting intruder throughout the day and night. In addition, the system is evaluated together with a commercial intrusion detection system from Australia as a technology benchmark. The accuracy of the proposed system and benchmark system is illustrated in this paper and the proposed system delivers higher accuracy as compared to the benchmark system.",,978-1-4673-3032-9,,10.1109/ISCAIE.2012.6482086,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6482086,Intrusion detection;outdoor environment;perimeter fencing;system architecture,Accuracy;Benchmark testing;Cameras;Computer architecture;Image color analysis;Intrusion detection;Streaming media,benchmark testing;brightness;cameras;infrared detectors;object detection;real-time systems;safety systems,Australia;brightness condition;day transition;dynamic scene background;infrared camera;outdoor environment;real time intrusion detection system;technology benchmark,,0,,5,,,3-4 Dec. 2012,,IEEE,IEEE Conference Publications,,
Intelligent wall mounted wireless fencing system using wireless sensor actuator network,"Ghatak, S.; Bose, S.; Roy, S.","Dept. of Comput. Sci., Netaji Subhash Eng. Coll., Kolkata, India","Computer Communication and Informatics (ICCCI), 2014 International Conference on",20141016,2014,,,1,5,"This paper presents the relative merits of IR and microwave sensor technology and their combination with wireless camera for the development of a wall mounted wireless intrusion detection system and explain the phases by which the intrusion information are collected and sent to the central control station using wireless mesh network for analysis and processing the collected data. These days every protected zone is facing numerous security threats like trespassing or damaging of important equipments and a lot more. Unwanted intrusion has turned out to be a growing problem which has paved the way for a newer technology which detects intrusion accurately. Almost all organizations have their own conventional arrangement of protecting their zones by constructing high wall, wire fencing, power fencing or employing guard for manual observation. In case of large areas, manually observing the perimeter is not a viable option. To solve this type of problem we have developed a wall-mounted wireless fencing system. In this project I took the responsibility of studying how the different units could be collaborated and how the data collected from them could be further processed with the help of software, which was developed by me. The Intrusion detection system constitutes an important field of application for IR and microwave based wireless sensor network. A state of the art wall-mounted wireless intrusion detection system will detect intrusion automatically, through multi-level detection mechanism (IR, microwave, active RFID & camera) and will generate multi-level alert (buzzer, images, segment illumination, SMS, E-Mail) to notify security officers, owners and also illuminate the particular segment where the intrusion has happened. This system will enable the authority to quickly handle the emergency through identification of the area of incident at once and to take action quickly. IR based perimeter protection is a proven technology. However IR-based intrusion detection - ystem is not a full-proof solution since (1) IR may fail in foggy or dusty weather condition & hence it may generate false alarm. Therefore we amalgamate this technology with Microwave based intrusion detection which can work satisfactorily in foggy weather. Also another significant arena of our proposed system is the Camera-based intrusion detection. Some industries require this feature to capture the snap-shots of the affected location instantly as the intrusion happens. The Intrusion information data are transmitted wirelessly to the control station via multi hop routing (using active RFID or IEEE 802.15.4 protocol). The Control station will receive intrusion information at real time and analyze the data with the help of the Intrusion software. It then sends SMS to the predefined numbers of the respective authority through GSM modem attached with the control station engine.",,978-1-4799-2353-3,,10.1109/ICCCI.2014.6921795,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6921795,IEEE 802.15.4;IR Transceiver Module;Wireless Sensor Network,Communication system security;Intrusion detection;Monitoring;Software;Wireless communication;Wireless sensor networks,Zigbee;cameras;cellular radio;electronic messaging;radio transceivers;safety systems;telecommunication computing;telecommunication network routing;wireless mesh networks;wireless sensor networks,GSM modem;IEEE 802.15.4 protocol;IR based intrusion detection system;IR based perimeter protection;IR transceiver module;active RFID;central control station;intelligent wall mounted wireless fencing system;intrusion software;microwave based intrusion detection;microwave sensor technology;multihop routing;multilevel detection mechanism;wall mounted wireless intrusion detection system;wireless camera;wireless mesh network;wireless sensor actuator network,,0,,14,,,3-5 Jan. 2014,,IEEE,IEEE Conference Publications,,
Electric Fence Intrusion Alert System (eleAlert),"Wijesinghe, L.; Siriwardena, P.; Dahanayake, S.; Kasthuriratne, D.; Corea, R.; Dias, D.",,"Global Humanitarian Technology Conference (GHTC), 2011 IEEE",20111215,2011,,,46,50,We present the design and implementation of intrusion detection and alerting mechanism (eleAlert) for fences separating wildlife habitats and human settlements. Our objective is to improve the effectiveness of electric fences as a solution to the prevailing human-elephant conflict (HEC) in many parts of the world. eleAlert uses a network of sensors to detect and locate damages instantly and alert communities under threat via the mobile communications network.,,978-1-61284-634-7,978-0-7695-4595-0,10.1109/GHTC.2011.16,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6103606,Early Warning;Human-Elephant Conflict;Intrusion Detection;energy efficient communication protocol,Batteries;Bridges;Electric fences;Intrusion detection;Maintenance engineering;Mobile communication;Wildlife,alarm systems;mobile radio;safety systems;wireless sensor networks,alerting mechanism;eleAlert;electric fence intrusion alert system;human settlements;human-elephant conflict;intrusion detection;mobile communications network;sensor network;wildlife habitats,,2,,12,,,Oct. 30 2011-Nov. 1 2011,,IEEE,IEEE Conference Publications,,
Walking intrusion signal recognition method for fiber fence system,Nian Fang; Lutang Wang; Dongjian Jia; Chao Shan; Zhaoming Huang,"Key Laboratory of Specialty Fiber Optics and Optical Access Networks, SCIE, Shanghai University, No. 149 Yanchang Road, China 200072","Communications and Photonics Conference and Exhibition (ACP), 2009 Asia",20100202,2009,2009-Supplement,,1,6,"A recognition method based on the gait characteristic for walking intrusion signal is presented. The gait characteristic of a normal walker in the nature state is an average gait period of 1.2s, in which a step period is about 0.6s and a foot touchdown time is about 0.2s. When a person walks fast or runs, the step period is reduced to about 0.4s and the foot touchdown time still keeps about 0.2s. It is included in the vibration signal caused by a walking intruder inevitably. So the detection system output signal caused by a human intrusion is intermittent and periodical. If a sensing system output waveform has a period of 0.3–0.75s and a duration time of 0.15–0.25s, the disturbance source can be adjudged as a human intrusion, not as an animal or other random one. The effectiveness of the proposed method is verified by the experimental results with an in-line Sagnac interferometer fiber fence system and a φ-OTDR intrusion detection system, respectively.",,978-1-55752-877-3,978-1-55752-877-3,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5405622,fiber fence;gait characteristic;intrusion signal recognition;step period,Animals;Character recognition;Foot;Humans;Legged locomotion;Optical fiber networks;Optical interferometry;Optical sensors;Sagnac interferometers;Signal detection,,,,0,,10,,,2-6 Nov. 2009,,IEEE,IEEE Conference Publications,,
Intrusion detection system for the protection of railway assets by using Fiber Bragg Grating sensors: a Case Study,"Catalano, A.; Bruno, F.A.; Pisco, M.; Cutolo, A.; Cusano, A.","Dept. of Eng., Univ. of Sannio, Benevento, Italy","Photonics Conference, 2014 Third Mediterranean",20140726,2014,,,1,3,"In this work, we demonstrate the capability of Fiber Bragg Gratings (FBGs) sensors to protect large areas from unauthorized activities in railway scenarios such as stations, depots or tunnels. In particular, here we report on the technological strategy we adopted in order to protect a “specific” railway depot, but representative of a quite common scenario in railway environment for outdoor security applications. One of the concerns associated with to the protection of a railway area, indeed, relies on the unavoidable presence of the railroad tracks that cannot be practically obstructed with physical barriers. We propose an integrated optical fiber sensing system, composed by FBGs strain sensors, deployed in a network, to detect human intrusion through the perimeter to be protected, combined with FBG accelerometers sensors to protect the rail track access. Several trials have been carried out in indoor and even outdoor environment. Experimental results reveal that FBGs strain sensors, bonded under a ribbed rubber mat, enable the detection of intruder's break-in and FBG accelerometer sensors, installed under rails, enable the detection of walking intruder on the railroad tracks through the acoustic surface waves generated by the footsteps. The integrated system, based on a single enabling technology, represents a valuable intrusion detection system for railway security and could be further integrated with other sensing functionalities in the railway field using the fiber optic technology.",,,,10.1109/MePhoCo.2014.6866483,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6866483,Intrusion detection system;fiber Bragg gratings;optical fiber sensors,Accelerometers;Fiber gratings;Optical fiber sensors;Rail transportation;Rails,Bragg gratings;fibre optic sensors;railways;safety systems;strain sensors;surface acoustic waves,acoustic surface waves;fiber Bragg grating sensors;human intrusion;integrated optical fiber sensing system;intrusion detection system;outdoor security applications;railroad tracks;railway assets protection;railway environment;ribbed rubber mat;strain sensors;walking intruder,,0,,5,,,7-9 May 2014,,IEEE,IEEE Conference Publications,,
An intrusion detection system based on the optical fiber technology for the protection of railway assets,"Catalano, A.; Bruno, F.A.; Pisco, M.; Cutolo, A.; Cusano, A.","Dept. of Eng., Univ. of Sannio, Benevento, Italy","AISEM Annual Conference, 2015 XVIII",20150326,2015,,,1,4,"In this work, we demonstrate the capability of Fiber Bragg Gratings (FBGs) sensors to protect large areas from unauthorized activities in railway scenarios such as stations, depots or tunnels. In particular, we propose an integrated optical fiber sensing system, composed by FBGs strain sensors, deployed in a network, to detect human intrusion through the perimeter to be protected, combined with FBG accelerometers sensors to protect the rail track access. Several trials were carried out in indoor and outdoor environments. The experimental results demonstrated that the proposed integrated system represents a valuable intrusion detection system for railway security.",,,,10.1109/AISEM.2015.7066796,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7066796,Fiber Bragg Grating;intrusion detection;railway,Accelerometers;Fiber gratings;Legged locomotion;Optical fiber sensors;Rails,Bragg gratings;accelerometers;fibre optic sensors;railway safety;strain sensors,FBG accelerometer sensor;FBG strain sensor;fiber Bragg gratings;integrated optical fiber sensing system;intrusion detection system;rail track access;railway asset protection;railway security;unauthorized activity,,0,,8,,,3-5 Feb. 2015,,IEEE,IEEE Conference Publications,,
