http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28.QT.False+Negative+Rate.QT.%29+OR+.QT.Type+II+Error.QT.%29+OR+.QT.Miss+Rate.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,8/3/2016 16:02,"((((""False Negative Rate"") OR ""Type II Error"") OR ""Miss Rate"") AND ""Intrusion Detection System"")
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28.QT.False+Negative+Rate.QT.%29+OR+.QT.Type+II+Error.QT.%29+OR+.QT.Miss+Rate.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,8/3/2016 16:02,((((False Negative Rate) OR Type II Error) OR Miss Rate) AND Intrusion Detection System)""",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
A Game Theoretic Approach to Efficient Mixed Strategies for Intrusion Detection,Y. Liu; H. Man; C. Comaniciu,"Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ 07030, USA. Email: yliu@stevens.edu",2006 IEEE International Conference on Communications,20061211,2006,5,,2201,2206,"As information technology evolves, and as more intrusion detection (ID) techniques are developed, security architects face the problem of effectively integrating various detection techniques to improve overall detection performance while maintain a high level of efficiency in network operation. In this paper, we consider the problem of optimal intrusion detection strategy in a network environment where multiple ID techniques are deployed. We first formulate a zero-sum attacker/defender game. The objective of the defender is to decide an optimal mixed strategy (i.e., a distribution over a set of strategies with each corresponding to the use of a particular ID technique) that maximizes his expected detection gain. In contrast, the objective of the attacker is to decide an optimal mixed strategy (i.e., a distribution over a set of strategies with each corresponding to a specific attack type or anomaly pattern) that minimizes his expected detection loss. The minmax theorem guarantees an optimal equilibrium strategy pair, which provides a valuable quantitative measure of the contributions from different ID techniques to the overall detection efficiency. Such information can assist security architects in understanding the effectiveness of these techniques, and in selecting the appropriate intrusion detection techniques according to the expected attacks. We also formulate a non-zero-sum noncooperative attacker/defender game where the payoffs of players are non-strictly competitive. We show that this game achieves at least one Nash equilibrium that leads to a defense strategy for the defender. Examples are presented and discussed both analytically and numerically.",1550-3607;15503607,1-4244-0355-3;1424403553,1-4244-0355-3;1424403553,10.1109/ICC.2006.255097,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4024492,,Computer security;Face detection;Game theory;Information security;Information technology;Intrusion detection;Minimax techniques;Nash equilibrium;Neural networks;Payloads,,,,2,,19,,,6-Jun,,IEEE,IEEE Conference Publication
Application of artificial neural network in detection of probing attacks,I. Ahmad; A. B. Abdullah; A. S Alghamdi,"DCIS, UTP, Bandar Seri Iskandar, 31750, Tronoh, Perak, Malaysia","Industrial Electronics & Applications, 2009. ISIEA 2009. IEEE Symposium on",20091218,2009,2,,557,562,"The prevention of any type of cyber attack is indispensable because a single attack may break the security of computer and network systems. The hindrance of such attacks is entirely dependent on their detection. The detection is a major part of any security tool such as intrusion detection system (IDS), intrusion prevention system (IPS), adaptive security alliance (ASA), check points and firewalls. Consequently, in this paper, we are contemplating the feasibility of an approach to probing attacks that are the basis of others attacks in computer network systems. Our approach adopts a supervised neural network phenomenon that is majorly used for detecting security attacks. The proposed system takes into account multiple layered perceptron (MLP) architecture and resilient backpropagation for its training and testing. The system uses sampled data from Kddcup99 dataset, an attack database that is a standard for evaluating the security detection mechanisms. The developed system is applied to different probing attacks. Furthermore, its performance is compared to other neural networks' approaches and the results indicate that our approach is more precise and accurate in case of false positive, false negative and detection rate.",,978-1-4244-4681-0;9781424446810,978-1-4244-4683-4;9781424446834,10.1109/ISIEA.2009.5356382,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5356382,Dataset;Detection Rate;False Negative;False Positive;Learning;Multiple Layered Perceptron;Neural Network;Probing attack;Remote to User;Resilient Backpropagation;User to root,Adaptive systems;Application software;Artificial neural networks;Backpropagation;Computer architecture;Computer networks;Computer security;Data security;Intrusion detection;Neural networks,multilayer perceptrons;security of data,adaptive security alliance;artificial neural network;computer network systems;cyber attack;intrusion detection system;intrusion prevention system;multiple layered perceptron;probing attacks detection;supervised neural network,,2,,27,,,4-6 Oct. 2009,,IEEE,IEEE Conference Publication
Collaborative intrusion detection as a service in cloud computing environment,Hong Liang; Yufei Ge; Wenjiao Wang; Lin Chen,"College of Computer and Communication Engineering, China University of Petroleum (East China), Qingdao, China",2015 IEEE International Conference on Progress in Informatics and Computing (PIC),20160613,2015,,,476,480,"With the growing trends of cloud computing, the security issues in this area are growing at the same speed as its development. Some malicious intruders and other malware activities tend to find the inner vulnerabilities and spare no effort to control the administration or conduct the pure break-down service with curiosity or on purpose. Traditional defense systems such as firewall, intrusion detection and malware code system are still utilized in nowadays network scenes, but they may not support enough in cloud computing environment with old-fashioned architectures. Here we focus on intrusion detection system (IDS) to defend against intruders and other attacks. In this paper, we proposed a collaborative intrusion detection service and our goal is to make use of the state-of-the-art computing framework in cloud environment and to provide a rounded IDS service for both cloud providers and cloud tenants, while the collaborative architecture will help to respond to the attacks promptly. We set up our system prototype and discuss the empirical results on the preference. The experimental results demonstrate that our system does enhance the security when some network-based attacks happen and ensure that both cloud service providers and tenants are protected with satisfaction.",,978-1-4673-8086-7;9781467380867,,10.1109/PIC.2015.7489893,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7489893,cloud computing;collaborative IDS;intrusion detection,Collaboration;Firewalls (computing);Protocols;Resource management,cloud computing;groupware;invasive software;software architecture,cloud computing;cloud providers;cloud tenants;collaborative architecture;collaborative intrusion detection service;intrusion detection system;malware activities;network-based attacks;rounded IDS service;security issues,,,,17,,,18-20 Dec. 2015,,IEEE,IEEE Conference Publication
A slow port scan attack detection mechanism based on fuzzy logic and a stepwise p1olicy,Jaekwang Kim; Jee-Hyong Lee,"Department of Electrical and Computer Engineering, Sungkyunkwan University, 300 Cheoncheon-dong, Jangan-gu, Suwon, Gyeunggi-do 440-764, Republic of Korea","Intelligent Environments, 2008 IET 4th International Conference on",20080923,2008,,,1,5,"The slow port scan attack detection is the one of the important topics in the network security. We suggest an abnormal traffic control framework to detect slow port scan attacks using fuzzy rules. The abnormal traffic control framework acts as an intrusion prevention system to suspicious network traffic. It manages traffic with a stepwise policy: first decreasing network bandwidth and then discarding traffic. In this paper, we show that our abnormal traffic control framework effectively detects slow port scan attacks traffic using fuzzy rules and a stepwise policy.",0537-9989;05379989,978-0-86341-894-5;9780863418945,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4629768,Abnormal traffic control framework;Attack detection;Fuzzy logic;Slow port scan;Stepwise Policy,,computer network management;fuzzy logic;security of data;telecommunication congestion control;telecommunication security;telecommunication traffic,fuzzy logic;fuzzy rules;intrusion prevention system;network security;slow port scan attack detection;stepwise policy;traffic control framework,,1,,,,,21-22 July 2008,,IET,IET Conference Publication
Detect HTTP Specification Attacks Using Ontology,R. F. Munir; N. Ahmed; A. Razzaq; A. Hur; F. Ahmad,"Sch. of Electr. Eng. & Comput. Sci., Nat. Univ. of Sci. & Technol., Islamabad, Pakistan","Frontiers of Information Technology (FIT), 2011",20120123,2011,,,75,78,"Web applications after their revolutionary advent and popularity are target of variety of attacks. Magnitude and complexity of attacks is continuously growing with every minute development in World Wide Web. There are plenty of web attack detection techniques but they cannot fully comprehend the required degree of security for complex web applications. The reasons include static nature of attack detection mechanism, lack of expressiveness in attack detection rules, and absence of reasoning capability to detect unanticipated ways an attack can be launched. To cater these issues, a formal approach is required that has more expressiveness and equipped with reasoning. These traits are fully adhered to by the Semantic techniques. This paper introduces an approach for utilizing Semantic techniques in web application security. This has never been introduced previously to the best of our knowledge. Here the HTTP Protocol ontology is presented to mitigate the communication protocol attacks. In this paper we are focusing on communication protocol attacks including abnormal HTTP messages, HTTP request smuggling and HTTP response splitting. While dealing with these attacks, the proposed technique outperforms the existing solutions with higher detection rate and low false positives as indicated by evaluation results.",,978-1-4673-0209-8;9781467302098,,10.1109/FIT.2011.21,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6137122,Ontology Engineering;Protocol Validation;Request Smuggling;Response Splitting;Web Application Attacks,Information security;Internet;Microstrip;Ontologies;Protocols;Semantics,Internet;hypermedia;inference mechanisms;ontologies (artificial intelligence);protocols;security of data,HTTP messages;HTTP protocol ontology;HTTP request smuggling;HTTP response splitting;HTTP specification attack detection;Web application security;Web attack detection techniques;World Wide Web;attack detection mechanism static nature;attack detection rules;communication protocol attacks;expressiveness lackness;formal approach;reasoning capability absence,,0,,24,,,19-21 Dec. 2011,,IEEE,IEEE Conference Publication
Simulation of typical behavior user using Markov models,P. Osipov; A. Borisovs,"Riga Technical University, Faculty of Computer Science and Information Technology, Latvia","Internet Communications (BCFIC Riga), 2011 Baltic Congress on Future",20110317,2011,,,229,236,Described the problem of modeling the behavior of a typical user of an electronic information system to detect the fact of use of his account by another person. Investigated method that allows presenting the typical behavior of a user in the form of Markov model and further assessing the target user's behavior compared with the pattern presented in the corresponding model. In the process of research an experimental system was developed that allows evaluating the possibility of using Markov models to solve this problem and the statistical properties of the created model. The results of the initial experiments show good suitability of this approach.,,978-1-4244-8511-6;9781424485116,,10.1109/BCFIC-RIGA.2011.5733241,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5733241,Markov model;detection of abnormal activity;electronic medical record,Analytical models;Biological system modeling;Information systems;Load modeling;Markov processes;Measurement;Training,Markov processes;information systems;security of data;statistical analysis,Markov models;electronic information system;statistical properties;user behavior modelling;user behavior simulation,,0,,21,,,16-18 Feb. 2011,,IEEE,IEEE Conference Publication
Honeyfiles: deceptive files for intrusion detection,J. Yuill; M. Zappe; D. Denning; F. Feer,"Dept. of Comput. Sci., North Carolina State Univ., Raleigh, NC, USA","Information Assurance Workshop, 2004. Proceedings from the Fifth Annual IEEE SMC",20050606,2004,,,116,122,"This paper introduces an intrusion-detection device named honeyfiles. Honeyfiles are bait files intended for hackers to access. The files reside on a file server, and the server sends an alarm when a honey file is accessed. For example, a honeyfile named passwords.txt would be enticing to most hackers. The file server's end-users create honeyfiles, and the end-users receive the honeyfile's alarms. Honeyfiles can increase a network's internal security without adversely affecting normal operations. The honeyfile system was tested by deploying it on a honeynet, where hackers' use of honeyfiles was observed. The use of honeynets to test a computer security device is also discussed. This form of testing is a useful way of finding the faulty and overlooked assumptions made by the device's developers.",,0-7803-8572-1;0780385721,,10.1109/IAW.2004.1437806,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1437806,,Computer hacking;Computer security;File servers;Intrusion detection;Network servers;Prototypes;Read only memory;Standards organizations;System testing;Workstations,file servers;security of data,computer security;deceptive files;file server;honeyfiles;intrusion detection,,6,5,1,,,10-11 June 2004,,IEEE,IEEE Conference Publication
Implementation of anomaly detection algorithms for detecting Transmission Control Protocol Synchronized flooding attacks,N. N. P. Mkuzangwe; A. McDonald; F. V. Nelwamondo,"Modelling & Digital Sci., Council for Sci. & Ind. Res., Tshwane, South Africa","Fuzzy Systems and Knowledge Discovery (FSKD), 2015 12th International Conference on",20160114,2015,,,2137,2141,"This work implements two anomaly detection algorithms for detecting Transmission Control Protocol Synchronized (TCP SYN) flooding attack. The two algorithms are an adaptive threshold algorithm and a cumulative sum (CUSUM) based algorithm. Furthermore, we fused the outcomes of the two algorithms using the logic OR operator at different thresholds of the two algorithms to obtain improved detection accuracy. Indeed, the results indicated that the OR operator performs better than the two algorithms in detecting SYN flooding attack and detection delay.",,978-1-4673-7681-5;9781467376815,,10.1109/FSKD.2015.7382282,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7382282,TCP SYN Flooding attack;anomaly detection algorithms;detection delay;detection probability;false alarm rate;fusion,Detection algorithms;Floods;Protocols;Sensor fusion;Servers;Time measurement,computer network security;logic gates;synchronisation;transport protocols,TCP SYN flooding attack;adaptive threshold algorithm;anomaly detection algorithm;cumulative sum algorithm;logic OR operator;transmission control protocol synchronized flooding attack detection,,,,13,,,15-17 Aug. 2015,,IEEE,IEEE Conference Publication
