"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&ar=5076244,1330937,4403163,7366430,1292276,7153969,6973823,4024492,7280878,4455008,5356567,4534301,5356382,4756576,5779061,6914031,6282310,5138070,5508146,4024522,4629768,7019551,6517052,5381552,5631502,6040583,4062161,7108042,6724120,6093331,111387,1634649,6363799,6725331,5485674,6188784,6249415,5620540,6256518,6137122,5663427,6613502,4682276,7300899,6726628,1493767,1414566,7513213,1019404,7347186,6217920,4420313,4146738,1437806,7382282,6824190,1244241,7288736,4784728,5601324,7456805,6280201,6766917,7263838,5421150,5501981,6615505,5195973,7133634,4219097,4809596,6680847,5375928,1609654,4721573,5335537,7434581,1378409,6766043,5972070,4624490,6334816,1376838,7383347,6916832,6682651,884341,7272921,6554177,6496489,7160479,7013151,5690579,4983378,5222879,4267571,6975641,4156645,7492755,7029925",2016/08/03 15:44:08
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&ar=5076244,1330937,4403163,7366430,1292276,7153969,6973823,4024492,7280878,4455008,5356567,4534301,5356382,4756576,5779061,6914031,6282310,5138070,5508146,4024522,4629768,7019551,6517052,5381552,5631502,6040583,4062161,7108042,6724120,6093331,111387,1634649,6363799,6725331,5485674,6188784,6249415,5620540,6256518,6137122,5663427,6613502,4682276,7300899,6726628,1493767,1414566,7513213,1019404,7347186,6217920,4420313,4146738,1437806,7382282,6824190,1244241,7288736,4784728,5601324,7456805,6280201,6766917,7263838,5421150,5501981,6615505,5195973,7133634,4219097,4809596,6680847,5375928,1609654,4721573,5335537,7434581,1378409,6766043,5972070,4624490,6334816,1376838,7383347,6916832,6682651,884341,7272921,6554177,6496489,7160479,7013151,5690579,4983378,5222879,4267571,6975641,4156645,7492755,7029925",2016/08/03 15:44:0
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifie
"Detecting Man-in-the-Middle and Wormhole Attacks in Wireless Mesh Networks","S. M. Glass; V. Muthukkumarasamy; M. Portmann","NICTA, NSW","2009 International Conference on Advanced Information Networking and Applications","20090619","2009","","","530","538","Wireless networks are being used increasingly in industrial, health care, military and public-safety environments. In these environments security is extremely important because a successful attack against the network may pose a threat to human life. To secure such wireless networks against hostile attack requires both preventative and detective measures.In this paper we propose a novel intrusion detection mechanism that identifies man-in-the-middle and wormhole attacks against wireless mesh networks by external adversaries. A simple modification to the wireless MAC protocol is proposed to expose the presence of an adversary conducting a frame-relaying attack. We evaluate the modified MAC protocol experimentally and show the detection mechanism to have a high detection rate, no false positives and a small computational and communication overhead.","1550-445X;1550445X","978-1-4244-4000-9;9781424440009","978-0-7695-3638-5;9780769536385","10.1109/AINA.2009.131","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5076244","intrusion-detection;security;wireless network","Authentication;Communication system traffic control;Defense industry;Fingerprint recognition;Glass;Intrusion detection;Media Access Protocol;Sections;Wireless mesh networks;Wireless networks","access protocols;radio networks;telecommunication security","intrusion detection mechanism;man-in-the-middle detection;wireless MAC protocol;wireless mesh network;wormhole attack","","1","","19","","","26-29 May 2009","","IEEE","IEEE Conference Publications"
"Comparing performance of binary-coded detectors and constraint-based detectors","Haiyu Hou; G. V. Dozier","Dept. of Comput. Sci. & Software Eng., Auburn Univ., AL, USA","Evolutionary Computation, 2004. CEC2004. Congress on","20040903","2004","1","","772","777 Vol.1","Artificial immune systems can be used to detect intrusion by classifying network activities as normal or abnormal. High detection rates and low false positive rates are two necessary features of successful AIS. Strong detectors are the basis of creating a successful AIS. Some preliminary experiments showed its promise to encode detectors in the form of data triples. Currently, there are two types of detectors: binary-coded and constraint-based. This paper compares the two types of detectors using simulated network traffic data. The results show that constraint-based detectors perform better than binary-coded detectors.","","0-7803-8515-2;0780385152","","10.1109/CEC.2004.1330937","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1330937","","Adaptive algorithm;Artificial immune systems;Computer science;Detectors;Immune system;Intrusion detection;Pattern matching;Software engineering;Telecommunication traffic;Traffic control","authorisation;binary codes;computer networks;evolutionary computation;telecommunication security;telecommunication traffic","adaptive algorithms;artificial immune systems;binary-coded detectors;constraint-based detectors;evolutionary algorithm;intrusion detection;network classification;network traffic","","1","","14","","","19-23 June 2004","","IEEE","IEEE Conference Publications"
"Fuzzy Vector Quantization for Network Intrusion Detection","D. Tran; W. Ma; D. Sharma; T. Nguyen","Univ. of Canberra, Canberra","Granular Computing, 2007. GRC 2007. IEEE International Conference on","20071217","2007","","","566","566","This paper considers anomaly network traffic detection using different network feature subsets. Fuzzy c-means vector quantization is used to train network attack models and the minimum distortion rule is applied to detect network attacks. We also demonstrate the effectiveness and ineffectiveness in finding anomalies by looking at the network data alone. Experiments performed on the KDD CUP 1999 dataset show that time based traffic features in the last two second time window should be selected to obtain highest detection rates.","","978-0-7695-3032-1;9780769530321","","10.1109/GrC.2007.124","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4403163","","Computer networks;Educational institutions;Humans;Intrusion detection;Labeling;Protocols;Telecommunication traffic;Traffic control;USA Councils;Vector quantization","computer network management;fuzzy set theory;security of data;vector quantisation","anomaly network traffic detection;fuzzy c-means vector quantization;fuzzy vector quantization;minimum distortion rule;network attack model;network feature subsets;network intrusion detection","","3","","21","","","2-4 Nov. 2007","","IEEE","IEEE Conference Publications"
"Risk assessment method for cyber security of cyber physical systems","W. Wu; R. Kang; Z. Li","Sch. of Reliability & Syst. Eng., Beihang Univ. Beijing, Beijing, China","Reliability Systems Engineering (ICRSE), 2015 First International Conference on","20160104","2015","","","1","5","Cyber security is one of the most important risks for all types of cyber-physical systems (CPS). To evaluate the cyber security risk of CPS, a quantitative hierarchized assessment model consists of attack severity, attack success probability and attack consequence is proposed, which can assess the risk caused by an ongoing attack at host level and system level. Then the definitions and calculation methods of the three indexes are discussed in detail. Finally, this paper gives the risk assessment algorithm which describes the steps of implementation. Numerical example shows that the model can response to the attack timely and obtain the system security risk change curve. So that it can help users response to the risk timely. The risk change curve can also be used to predict the risk for the future time.","","","","10.1109/ICRSE.2015.7366430","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7366430","Cyber physical system;cyber security;cyber-attack;risk assessment","Gold;Modeling;Real-time systems;Reliability engineering;Risk management;Security","cyber-physical systems;risk management;security of data","CPS;attack consequence;attack severity;attack success probability;cyber physical system;cyber security risk;quantitative hierarchized assessment model;risk assessment algorithm;risk assessment method;system security risk change curve","","","","10","","","21-23 Oct. 2015","","IEEE","IEEE Conference Publications"
"Detecting packet-dropping faults in mobile ad-hoc networks","S. R. Medidi; Muralidhar Medidi; Sireesh Gavini","Sch. of Electr. Eng. & Comput. Sci., Washington State Univ., Pullman, WA, USA","Signals, Systems and Computers, 2004. Conference Record of the Thirty-Seventh Asilomar Conference on","20040504","2003","2","","1708","1712 Vol.2","Mobile ad-hoc networks are inherently prone to security attacks, with node mobility being the primary cause in allowing security breaches. This makes the network susceptible to Byzantyne faults with packets getting misrouted, corrupted or dropped. In this paper we propose solutions using an unobtrusive monitoring technique using the detection manager to locate malicious or faulty nodes that misroute, corrupt or drop packets. The unobtrusive monitoring technique is similar to an intrusion detection system that monitors system activity logs to determine if the system is under attack. This technique uses information from different network layers to detect malicious nodes. The detection manager we are developing for mobile ad-hoc networks stores several rules for responding to different situations. Any single node in the network can use unobtrusive monitoring without relying on the cooperation of other nodes, which makes unobtrusive monitoring easy to implement and deploy. Simulations of mobile ad-hoc networks that contain malicious nodes indicate that unobtrusive monitoring has a high detection effectiveness with low false positive rate.","","0-7803-8104-1;0780381041","","10.1109/ACSSC.2003.1292276","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1292276","","Ad hoc networks;Computer security;Fault detection;Information security;Intelligent networks;Intrusion detection;Mobile ad hoc networks;Monitoring;Protection;Routing protocols","ad hoc networks;mobile radio;routing protocols;telecommunication network management;telecommunication security;telecommunication traffic","detection manager;malicious nodes;mobile ad-hoc networks;security attacks;unobtrusive monitoring technique","","3","1","18","","","9-12 Nov. 2003","","IEEE","IEEE Conference Publications"
"A Review on Evolutionary Feature Selection","N. Abd-Alsabour","Cairo Univ., Cairo, Egypt","Modelling Symposium (EMS), 2014 European","20150713","2014","","","20","26","This paper presents a review of some of the most recent evolutionary algorithms used for solving feature selection based upon previously published research on feature selection. In addition, we discuss various research issues relating to each of the presented evolutionary algorithm. Evolutionary algorithms present several advantages over traditional search such as they require less domain-specific information. Such advantages have made them very popular within feature selection as explained in this paper. This paper covers the first part only of the evolutionary algorithms for the feature selection problem due to the limitation of the number of pages. The references cited in this paper cover the major theoretical issues, and provide access to the main branches of the literature dealing with such methods.","","978-1-4799-7411-5;9781479974115","","10.1109/EMS.2014.28","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7153969","Ant Colony Optimization (ACO);Feature Selection (FS);Genetic Algorithms (GAs);Particle Swarm Optimization (PSO)","Classification algorithms;Evolutionary computation;Feature extraction;Genetic algorithms;Optimization;Sociology;Statistics","ant colony optimisation;computational complexity;feature selection;genetic algorithms;particle swarm optimisation;search problems","NP hard optimization problem;ant colony optimization;evolutionary algorithms;evolutionary feature selection;genetic algorithms;page number limitation;particle swarm optimization","","0","","77","","","21-23 Oct. 2014","","IEEE","IEEE Conference Publications"
"WinWizard: Expanding Xen with a LibVMI Intrusion Detection Tool","J. Lamps; I. Palmer; R. Sprabery","Comput. Sci., Univ. of Illinois at Urbana-Champaign, Urbana, IL, USA","2014 IEEE 7th International Conference on Cloud Computing","20141204","2014","","","849","856","Virtual machine introspection (VMI) has grown into a number of novel security measures in recent years. Virtualized environments provide isolation, which gives way to better security. This paper presents an extension, WinWizard, of LibVMI that creates a VMI-based intrusion detection system (IDS) with emphasis on memory introspection. WinWizard is able to detect rootkits that attempts to hide processes from the administrator. Rootkits are able to subvert traditional virus scanning services because they are able to run at the kernel level. Rootkit detection becomes difficult because if the operating system has been subverted, especially at the kernel level, then it is difficult to find unauthorized changes to itself or its components. Most anti-viruses and other rootkit detectors that work on infected systems are usually only effective against rookits that have a defect in their hiding techniques. Rootkit detection through VMI is one way to effectively detect rookits. VMI detection tools will also be useful in industry. Industry is beginning to advance in its usage of cloud based workspaces. Examples of companies include Amazons Workspaces and Citrix XenDesktop. They offer remote desktops for small and medium sized businesses. These workspaces offer a fully managed cloud-based desktop experience where users can access their work resources from a variety of devices. Many universities and small businesses use services like these to reduce the number of IT staff and ease administration of a large number of desktops. As this field becomes more accessible, rootkits are going to drastically affect the performance and security of not only one users desktop, but on entire cloud infrastructures. The main way to detect a rootkit inside of these workspaces would be through virtual machine introspection. WinWinzard has demonstrated to be successful in detecting these types of rootkits, while causing little additional overhead to other virtual machines being hosted on the same hy- ervisor.","2159-6182;21596182","978-1-4799-5062-1;9781479950621","","10.1109/CLOUD.2014.117","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6973823","Intrusion Detection Systems;Virtualized-based security;Xen","Instruction sets;Kernel;Security;Virtual machine monitors;Virtual machining;Virtualization","cloud computing;security of data;virtual machines","IDS;LibVMI intrusion detection tool;WinWizard;Xen;cloud infrastructures;intrusion detection system;memory introspection;virtual machine introspection","","0","","26","","","June 27 2014-July 2 2014","","IEEE","IEEE Conference Publications"
"A Game Theoretic Approach to Efficient Mixed Strategies for Intrusion Detection","Y. Liu; H. Man; C. Comaniciu","Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ 07030, USA. Email: yliu@stevens.edu","2006 IEEE International Conference on Communications","20061211","2006","5","","2201","2206","As information technology evolves, and as more intrusion detection (ID) techniques are developed, security architects face the problem of effectively integrating various detection techniques to improve overall detection performance while maintain a high level of efficiency in network operation. In this paper, we consider the problem of optimal intrusion detection strategy in a network environment where multiple ID techniques are deployed. We first formulate a zero-sum attacker/defender game. The objective of the defender is to decide an optimal mixed strategy (i.e., a distribution over a set of strategies with each corresponding to the use of a particular ID technique) that maximizes his expected detection gain. In contrast, the objective of the attacker is to decide an optimal mixed strategy (i.e., a distribution over a set of strategies with each corresponding to a specific attack type or anomaly pattern) that minimizes his expected detection loss. The minmax theorem guarantees an optimal equilibrium strategy pair, which provides a valuable quantitative measure of the contributions from different ID techniques to the overall detection efficiency. Such information can assist security architects in understanding the effectiveness of these techniques, and in selecting the appropriate intrusion detection techniques according to the expected attacks. We also formulate a non-zero-sum noncooperative attacker/defender game where the payoffs of players are non-strictly competitive. We show that this game achieves at least one Nash equilibrium that leads to a defense strategy for the defender. Examples are presented and discussed both analytically and numerically.","1550-3607;15503607","1-4244-0355-3;1424403553","1-4244-0355-3;1424403553","10.1109/ICC.2006.255097","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4024492","","Computer security;Face detection;Game theory;Information security;Information technology;Intrusion detection;Minimax techniques;Nash equilibrium;Neural networks;Payloads","","","","2","","19","","","June 2006","","IEEE","IEEE Conference Publications"
