http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28.QT.True+Negative+Rate.QT.%29+OR+.QT.Correct+Rejection.QT.%29+OR+.QT.Specificity.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,8/3/2016 16:09,"((((""True Negative Rate"") OR ""Correct Rejection"") OR ""Specificity"") AND ""Intrusion Detection System"")
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28.QT.True+Negative+Rate.QT.%29+OR+.QT.Correct+Rejection.QT.%29+OR+.QT.Specificity.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,8/3/2016 16:09,((((True Negative Rate) OR Correct Rejection) OR Specificity) AND Intrusion Detection System)""",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
Comparing performance of binary-coded detectors and constraint-based detectors,Haiyu Hou; G. V. Dozier,"Dept. of Comput. Sci. & Software Eng., Auburn Univ., AL, USA","Evolutionary Computation, 2004. CEC2004. Congress on",20040903,2004,1,,772,777 Vol.1,"Artificial immune systems can be used to detect intrusion by classifying network activities as normal or abnormal. High detection rates and low false positive rates are two necessary features of successful AIS. Strong detectors are the basis of creating a successful AIS. Some preliminary experiments showed its promise to encode detectors in the form of data triples. Currently, there are two types of detectors: binary-coded and constraint-based. This paper compares the two types of detectors using simulated network traffic data. The results show that constraint-based detectors perform better than binary-coded detectors.",,0-7803-8515-2;0780385152,,10.1109/CEC.2004.1330937,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1330937,,Adaptive algorithm;Artificial immune systems;Computer science;Detectors;Immune system;Intrusion detection;Pattern matching;Software engineering;Telecommunication traffic;Traffic control,authorisation;binary codes;computer networks;evolutionary computation;telecommunication security;telecommunication traffic,adaptive algorithms;artificial immune systems;binary-coded detectors;constraint-based detectors;evolutionary algorithm;intrusion detection;network classification;network traffic,,1,,14,,,19-23 June 2004,,IEEE,IEEE Conference Publication
Localization of epileptic focus using SVM and PSVM,A. Rajendran; Nair G. J,"Comput. Sci., Amrita Vishwa Vidyapeetham (Univ.), Kollam, India","Communications and Signal Processing (ICCSP), 2015 International Conference on",20151112,2015,,,1441,1445,"Localization of epileptic focus and motor regions, is presented in the paper using raw referential EEG data from database http://eeg.pl/epi of Warsaw Memorial Child Hospital. The study is carried out on two patients named CHIMIC and JANPRZ who were diagnosed with drug-resistant epilepsy and were subsequently operated. Along with EEG recordings, inter-ictal discharges, magnetic resonance imaging (MRI) scans, structural placement of the epileptogenic zone and clinical description, are used in the study. The key step involved in the analysis, is to create an algorithm that shapes the problem into an appropriate machine learning framework, identifying the features, forward modeling of the extracted features and finally classifying them as epileptic seizures arising from the location on the right or left region of the brain. The feature extraction is done by independent component analysis (ICA) with spatially filtered eight spectral features per components. These features are classified using Support Vector Machines with radial basis function kernels (SVM) and Proximal SVM. A comparative study is done for evaluating specificity and sensitivity using segments of ICA data. The analysis and results of both patients indicates that the specificity and sensitivity ratios are higher for ICA with SVM rather than those obtained from PSVM. Localization of epileptic focuses from the classified results showed that they matched with the marked epileptic regions in the MRI scans.",,978-1-4799-8080-2;9781479980802,,10.1109/ICCSP.2015.7322751,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7322751,Brain;Support Vector Machine (SVM) and Proximal SVM;electroencephalogram (EEG);epilepsy;feature extraction;ictal;independent component analysis (ICA);topographic plot,Electroencephalography;Epilepsy;Feature extraction;Indexes;Kernel;Magnetic resonance imaging;Single photon emission computed tomography,biomedical MRI;electroencephalography;feature extraction;independent component analysis;medical image processing;support vector machines,EEG data;EEG recordings;MRI scans;PSVM;drug-resistant epilepsy;epileptic focus regions;epileptic seizures;epileptogenic zone;feature extraction;independent component analysis;interictal discharges;machine learning framework;magnetic resonance imaging scans;motor regions;proximal SVM;radial basis function kernels;support vector machines,,,,14,,,2-4 April 2015,,IEEE,IEEE Conference Publication
Artificial Intelligence Based Threat Prevention and Sensing Engine: Architecture and Design Issues,N. Parati; L. Malik; A. G. Joshi,"G.H.Raisoni Coll. of Eng., Nagpur",2008 First International Conference on Emerging Trends in Engineering and Technology,20080729,2008,,,304,307,"The limitations of each security technology combined with the growth of cyber attacks impact the efficiency of information security management and increase the activities to be performed by network administrators and security staff. Therefore, there is a need for the increase of automated auditing and intelligent reporting mechanisms for the cyber trust. Intelligent systems are emerging computing systems based on intelligent techniques that support continuous monitoring and controlling plant activities. Intelligence improves an individual's ability to make better decisions. The base of the research is the Artificial Intelligence coming in a help to build a modern Intelligent Threat Prevention and Sensing Engine where two factors form the critical points one is intelligent packet inspection because of lack of time for full packet inspection in nowadays huge dataflow. And second is intelligent first reaction against the hacker activities, because later would be too late.",2157-0477;21570477,978-0-7695-3267-7;9780769532677,978-0-7695-3267-7;9780769532677,10.1109/ICETET.2008.52,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4579915,,Artificial intelligence;Computer network management;Computer security;Engines;Information management;Information security;Inspection;Intelligent systems;Monitoring;Technology management,artificial intelligence;expert systems;security of data,artificial intelligence;cyber trust;information security management;intelligent packet inspection;intelligent sensing engine;intelligent threat prevention;network administrators;security technology,,1,1,8,,,16-18 July 2008,,IEEE,IEEE Conference Publication
"2012 International Conference on Devices, Circuits and Systems (ICDCS)",,,"Devices, Circuits and Systems (ICDCS), 2012 International Conference on",20120423,2012,,,1,748,Provides the entire conference content.,,978-1-4577-1545-7;9781457715457,,10.1109/ICDCSyst.2012.6188784,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6188784,,CMOS integrated circuits;CMOS technology;Field programmable gate arrays;MESFETs;MOSFETs;Optical imaging;Random access memory,,,,0,,,,,15-16 March 2012,,IEEE,IEEE Conference Publication
Simulation of typical behavior user using Markov models,P. Osipov; A. Borisovs,"Riga Technical University, Faculty of Computer Science and Information Technology, Latvia","Internet Communications (BCFIC Riga), 2011 Baltic Congress on Future",20110317,2011,,,229,236,Described the problem of modeling the behavior of a typical user of an electronic information system to detect the fact of use of his account by another person. Investigated method that allows presenting the typical behavior of a user in the form of Markov model and further assessing the target user's behavior compared with the pattern presented in the corresponding model. In the process of research an experimental system was developed that allows evaluating the possibility of using Markov models to solve this problem and the statistical properties of the created model. The results of the initial experiments show good suitability of this approach.,,978-1-4244-8511-6;9781424485116,,10.1109/BCFIC-RIGA.2011.5733241,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5733241,Markov model;detection of abnormal activity;electronic medical record,Analytical models;Biological system modeling;Information systems;Load modeling;Markov processes;Measurement;Training,Markov processes;information systems;security of data;statistical analysis,Markov models;electronic information system;statistical properties;user behavior modelling;user behavior simulation,,0,,21,,,16-18 Feb. 2011,,IEEE,IEEE Conference Publication
A Motor Fault Diagnosis Method Based on Immune Mechanism,F. Duan; M. Lei; J. Li; Y. Tian,,"Intelligent Information Technology Application, Workshop on",20080107,2007,,,157,160,"In this paper, a framework of fault diagnosis system is proposed, which is based on negative selection algorithm and the immune network model. Firstly, train the detectors by immune tolerance, and then detect if faults appear. Diagnosis experiments show that the system in normal pattern and abnormal pattern can be reflected by the self set and the non-self set completely through clustering algorithm. So the accuracy of diagnosis is improved. In the course of diagnosis, multiple diagnosis is proposed to process the data. If the data can't be recognized exactly, the abnormity degree is presented, which is the evidence for experts to make decision.",,978-0-7695-3063-5;9780769530635,,10.1109/IITA.2007.41,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4426988,,Clustering algorithms;Clustering methods;Detectors;Fault detection;Fault diagnosis;Immune system;Intrusion detection;Pattern recognition;Signal processing algorithms;State-space methods,,,,0,,7,,,2-3 Dec. 2007,,IEEE,IEEE Conference Publication
Towards an Information-Theoretic Approach for Measuring Intelligent False Alarm Reduction in Intrusion Detection,Y. Meng; L. f. Kwok,"Dept. of Comput. Sci., City Univ. of Hong Kong, Hong Kong, China","2013 12th IEEE International Conference on Trust, Security and Privacy in Computing and Communications",20131212,2013,,,241,248,"False alarms are a big challenge for intrusion detection systems (IDSs). A lot of approaches, especially machine learning based schemes, have been proposed to mitigate this issue by filtering out these false alarms. But a fundamental problem is how to objectively evaluate an algorithm in terms of its ability to correctly identify false alarms and true alarms. To improve the utilization of various machine learning algorithms, intelligent false alarm reduction has been proposed that aims to select and apply an appropriate algorithm in an adaptive way. Traditional metrics (e.g., true positive rate, false positive rate) are mainly used in the algorithm selection and evaluation, however, no single metric seems sufficient and objective enough to measure the capability of an algorithm in reducing false alarms. The lack of an objective and single metric makes it difficult to further fine-tune and evaluate the performance of algorithms in reducing IDS false alarms. In this paper, we begin by describing the relationship between the process of intrusion detection and the process of false alarm detection (reduction). Then we provide an information-theoretic analysis of intelligent false alarm reduction and propose an objective and single metric to evaluate different algorithms in identifying IDS false alarms. We further evaluate our metric under three scenarios by comparing it with several existing metrics.",2324-898X;2324898X,,,10.1109/TrustCom.2013.33,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6680847,Algorithm Measurement;False Alarm Reduction;Information-Theoretic Metric;Intrusion Detection,Abstracts;Equations;Feature extraction;Intrusion detection;Machine learning algorithms;Mathematical model;Measurement,information theory;learning (artificial intelligence);security of data,IDS false alarm reduction;IDSs;false alarm detection;false alarm filtering;information-theoretic approach;intelligent false alarm reduction measurement;intrusion detection systems;machine learning based schemes;performance evaluation,,1,,24,,,16-18 July 2013,,IEEE,IEEE Conference Publication
Pine nuts selection using X-ray images and logistic regression,I. Khosa; E. Pasero,"Department of Electronics and Telecommunications, Politecnico di Torino, Italy","Computer Applications & Research (WSCAR), 2014 World Symposium on",20141007,2014,,,1,5,"Automatic and quick evaluation of ingredients as well as end products is getting more attention in recent days in the food industry, so as to make the production process fast and efficient. In this paper, binary classification of pine nuts using x-ray images is presented. Independent nutmeat x-ray images are extracted and two kinds of features are extracted from them. A set of features is produced projecting statistical texture properties of the images, using Gray Level Co-occurrence Matrices (GLCMs). Edge detection is applied, histograms of images after edge detection are produced and used as second and third set of features with 40 and 30 bins respectively. Eighty percent of examples from each; good and bad category, are used for training purposes and rest are used as test data. Logistic Regression with gradient descent algorithm is used as classifier. Results are calculated as classification accuracy, sensitivity and specificity. The classifier produced better results with simple features achieving maximum specificity in comparison with similar solutions for such classification problems.",,978-1-4799-2805-7;9781479928057,,10.1109/WSCAR.2014.6916832,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6916832,Classification;Feature extraction;Logistic Regression;Pine nuts;X-rays,Accuracy;Feature extraction;Histograms;Image edge detection;Logistics;Training;X-ray imaging,X-ray imaging;edge detection;feature extraction;food processing industry;food products;gradient methods;image classification;matrix algebra;production engineering computing;regression analysis,GLCMs;binary classification;edge detection;feature extraction;food industry;gradient descent algorithm;gray level co-occurrence matrices;independent nutmeat X-ray image;logistic regression;pine nuts selection;production process;statistical texture properties,,0,,14,,,18-20 Jan. 2014,,IEEE,IEEE Conference Publication
