"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&ar=6914185,6405624,6655707,6354738,1649172,7322751,7153969,1383134,5518571,4024492,7280878,5356567,4534301,5356382,6919023,7034762,6240794,5335109,6914031,6405356,7293971,7004430,6844242,5508146,4024522,7489893,7492595,7019551,1565235,6517052,5381552,5631502,5640375,7397086,1704780,4399974,6364010,5623380,4062161,7108042,5116296,6724120,6093331,935052,7372193,1634649,5473597,6363799,6297279,7229722,6488430,6188784,6021705,4804456,6249415,5620540,4108759,4053941,5663427,6613502,4682276,7300899,6726628,4032277,5745947,7332689,5200207,6209011,6620042,7064197,7041095,6906378,5443345,6821663,1019404,1553301,5733241,6889931,6349477,4656549,7347186,6039697,4420313,4519852,7382282,5076247,5540843,6392466,7288736,5656789,6061175,4426988,6200195,5658466,7456805,5976504,6766917,7263838,5421150,5501981",2016/08/03 14:49:41
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&ar=6914185,6405624,6655707,6354738,1649172,7322751,7153969,1383134,5518571,4024492,7280878,5356567,4534301,5356382,6919023,7034762,6240794,5335109,6914031,6405356,7293971,7004430,6844242,5508146,4024522,7489893,7492595,7019551,1565235,6517052,5381552,5631502,5640375,7397086,1704780,4399974,6364010,5623380,4062161,7108042,5116296,6724120,6093331,935052,7372193,1634649,5473597,6363799,6297279,7229722,6488430,6188784,6021705,4804456,6249415,5620540,4108759,4053941,5663427,6613502,4682276,7300899,6726628,4032277,5745947,7332689,5200207,6209011,6620042,7064197,7041095,6906378,5443345,6821663,1019404,1553301,5733241,6889931,6349477,4656549,7347186,6039697,4420313,4519852,7382282,5076247,5540843,6392466,7288736,5656789,6061175,4426988,6200195,5658466,7456805,5976504,6766917,7263838,5421150,5501981",2016/08/03 14:49:4
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifie
"Sharing of attacks information across clouds for improving security: A conceptual framework","A. Waqas; Z. Muhammed Yusof; A. Shah; N. Mahmood","Department of Computer Science, Kulliyah of Information and Communication Technology, International Islamic University Malaysia","Computer, Communications, and Control Technology (I4CT), 2014 International Conference on","20141002","2014","","","255","260","Cloud computing has recently emerged as a new paradigm for hosting and delivering services over the Internet. It is evolving as a key computing platform for sharing resources that include infrastructures, software, applications, and business processes. The cloud environment is required to have efficient security techniques as it contains precious assets such as data, users, technologies, resources and business transactions. Most of the proposed architectures for cloud computing implementations are for individual clouds which do not allow the sharing of attack information with other clouds and hence the other clouds are not able to safe themselves from the same attack. The aim of this research is to propose a conceptual framework for connected or federated clouds that can share information regarding attacks and attackers for securing themselves.","","978-1-4799-4556-6;9781479945566","","10.1109/I4CT.2014.6914185","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6914185","cloud architecture;cloud attacks;cloud computing;cloud security","Cloud computing;Computer architecture;Data privacy;Monitoring;NIST;Security","cloud computing;resource allocation;security of data","Internet;attacks information sharing;cloud computing;conceptual framework;federated clouds;resource sharing;security improvement","","0","","30","","","2-4 Sept. 2014","","IEEE","IEEE Conference Publications"
"A Categorization Algorithm for Harmful Text Information Filtering","J. Du; Z. a. Yi","Software Coll., Northeast Pet. Univ., Daqing, China","2012 Fourth International Conference on Multimedia Information Networking and Security","20130110","2012","","","31","34","Harmful text information filtering is a typical pattern recognition problem of small sample, the prediction result of classifier was biased towards the class with more samples, because of the samples that including the harmful information were difficult to gain. Construct virtual samples is an effective means to solve the problem of pattern recognition in the small sample, using the up-sampling method to construct virtual samples in the data layer, the traditional KNN algorithm has been improved: a small sample set is divided into clusters by using the K-means clustering, the virtual samples are generated and verified the validity in the cluster. The experimental results show that this method can construct the virtual samples which are similar to the real sample characteristics, and expand the small sample collection in order to effectively identify the harmful text information.","2162-8998;21628998","978-1-4673-3093-0;9781467330930","","10.1109/MINES.2012.13","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6405624","Harmful information filtering;Network information security;Small sample pattern recognition;Virtual sample","Classification algorithms;Clustering algorithms;Genetic algorithms;Genetics;Information filtering;Support vector machine classification;Training","information filtering;pattern classification;pattern clustering;sampling methods;text analysis","K-means clustering;categorization algorithm;classifier prediction result;data layer;harmful text information filtering;improved KNN algorithm;pattern recognition problem;real sample characteristics;up-sampling method;virtual sample generation","","0","","7","","","2-4 Nov. 2012","","IEEE","IEEE Conference Publications"
"Auditing and Analysis of Network Traffic in Cloud Environment","S. Shetty","Electr. & Comput. Eng., Tennessee State Univ., Nashville, TN, USA","2013 IEEE Ninth World Congress on Services","20131107","2013","","","260","267","Cloud computing allows users to remotely store their data into the cloud and provides on-demand applications and services from a shared pool of configurable computing resources. The security of the outsourced data in the cloud is dependent on the security of the cloud computing system and network. Though, there have been numerous efforts on securing data on the cloud computing system, evaluation of data security on the network between cloud provider and its users is still a very challenging task. The audit of the cloud computing system and network will provide insights on the security and performance of VMs and the operating system on multiple data centers and the intra-cloud network managed by cloud providers and the wide-area network between the cloud user and cloud provider. Thus, network traffic analysis for cloud auditing is of critical importance so that users can resort to an external audit party to verify the data security on the network between cloud provider and its users. This paper presents the following key technologies required to analyze network traffic in the cloud computing environment: IP geolocation of network devices between cloud provider and its users, monitoring the data security of the cloud network path, and online mining of massive cloud auditing logs generated by cloud network traffic.","2378-3818;23783818","978-0-7695-5024-4;9780769550244","","10.1109/SERVICES.2013.42","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6655707","IP geolocation;cloud auditing;online data mining","Accuracy;Availability;Cloud computing;Geology;IP networks;Measurement;Security","IP networks;auditing;cloud computing;computer centres;computer network security;data mining;formal verification;telecommunication traffic;virtual machines;wide area networks","VM performance;cloud computing environment;cloud computing system security;cloud environment;cloud network path;cloud provider;cloud user;configurable computing resources;data centers;data security evaluation;data security monitoring;data security verification;intracloud network;network device IP geolocation;network security;network traffic analysis;network traffic auditing;on-demand application;on-demand service;online massive cloud auditing log mining;operating system;outsourced data security;remotely data storage;wide-area network","","0","","29","","","June 28 2013-July 3 2013","","IEEE","IEEE Conference Publications"
"Feature Selection in the Corrected KDD-dataset","S. Zargari; D. Voorhis","Sch. of Comput. & Math., Univ. of Derby, Derby, UK","Emerging Intelligent Data and Web Technologies (EIDWT), 2012 Third International Conference on","20121120","2012","","","174","180","Automation in anomaly detection, which deals with detecting of unknown attacks in the network traffic, has been the focus of research by using data mining techniques in recent years. This study attempts to explore significant features (curse of high dimensionality) in intrusion detection in order to be applied in data mining techniques. Therefore, the existing irrelevant and redundant features are deleted from the dataset resulting faster training and testing process, less resource consumption as well as maintaining high detection rates. The findings were tested on the NSL-KDD datasets (anomaly intrusion datasets) in order to confirm the outcomes.","","978-1-4673-1986-7;9781467319867","","10.1109/EIDWT.2012.10","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6354738","anomaly detection;data mining;feature selction;machine learning","Computer crime;Data mining;Educational institutions;Feature extraction;Intrusion detection;Probes;Training","data mining;security of data","NSL-KDD datasets;corrected KDD-dataset;data mining techniques;feature selection;intrusion detection;network traffic","","1","","21","","","19-21 Sept. 2012","","IEEE","IEEE Conference Publications"
"Experience with DETER: a testbed for security research","T. Benzel; R. Braden; D. Kim; C. Neuman; A. Joseph; K. Sklower; R. Ostrenga; S. Schwab","Inf. Sci. Inst., Univ. of Southern California, Marina del Rey, CA, USA","2nd International Conference on Testbeds and Research Infrastructures for the Development of Networks and Communities, 2006. TRIDENTCOM 2006.","20060705","2006","","","10 pp.","388","The DETER testbed is shared infrastructure designed for medium-scale repeatable experiments in computer security, especially those experiments that involve malicious code. The testbed provides unique resources and a focus of activity for an open community of academic, industry, and government researchers working toward better defenses against malicious attacks on our networking infrastructure, especially critical infrastructure. This paper presents our experience with the deployment and operation of the testbed, highlights some of the research conducted on the testbed, and discusses our plans for continued development, expansion, and replication of the testbed facility","","1-4244-0106-2;1424401062","","10.1109/TRIDNT.2006.1649172","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1649172","","Computer science;Computer security;Data security;Hardware;Information security;Internet;Protection;System testing;Telecommunication traffic;Traffic control","security of data;telecommunication security","DETER;malicious code;security research","","35","","23","","","0-0 0","","IEEE","IEEE Conference Publications"
"Localization of epileptic focus using SVM and PSVM","A. Rajendran; Nair G. J","Comput. Sci., Amrita Vishwa Vidyapeetham (Univ.), Kollam, India","Communications and Signal Processing (ICCSP), 2015 International Conference on","20151112","2015","","","1441","1445","Localization of epileptic focus and motor regions, is presented in the paper using raw referential EEG data from database http://eeg.pl/epi of Warsaw Memorial Child Hospital. The study is carried out on two patients named CHIMIC and JANPRZ who were diagnosed with drug-resistant epilepsy and were subsequently operated. Along with EEG recordings, inter-ictal discharges, magnetic resonance imaging (MRI) scans, structural placement of the epileptogenic zone and clinical description, are used in the study. The key step involved in the analysis, is to create an algorithm that shapes the problem into an appropriate machine learning framework, identifying the features, forward modeling of the extracted features and finally classifying them as epileptic seizures arising from the location on the right or left region of the brain. The feature extraction is done by independent component analysis (ICA) with spatially filtered eight spectral features per components. These features are classified using Support Vector Machines with radial basis function kernels (SVM) and Proximal SVM. A comparative study is done for evaluating specificity and sensitivity using segments of ICA data. The analysis and results of both patients indicates that the specificity and sensitivity ratios are higher for ICA with SVM rather than those obtained from PSVM. Localization of epileptic focuses from the classified results showed that they matched with the marked epileptic regions in the MRI scans.","","978-1-4799-8080-2;9781479980802","","10.1109/ICCSP.2015.7322751","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7322751","Brain;Support Vector Machine (SVM) and Proximal SVM;electroencephalogram (EEG);epilepsy;feature extraction;ictal;independent component analysis (ICA);topographic plot","Electroencephalography;Epilepsy;Feature extraction;Indexes;Kernel;Magnetic resonance imaging;Single photon emission computed tomography","biomedical MRI;electroencephalography;feature extraction;independent component analysis;medical image processing;support vector machines","EEG data;EEG recordings;MRI scans;PSVM;drug-resistant epilepsy;epileptic focus regions;epileptic seizures;epileptogenic zone;feature extraction;independent component analysis;interictal discharges;machine learning framework;magnetic resonance imaging scans;motor regions;proximal SVM;radial basis function kernels;support vector machines","","","","14","","","2-4 April 2015","","IEEE","IEEE Conference Publications"
"A Review on Evolutionary Feature Selection","N. Abd-Alsabour","Cairo Univ., Cairo, Egypt","Modelling Symposium (EMS), 2014 European","20150713","2014","","","20","26","This paper presents a review of some of the most recent evolutionary algorithms used for solving feature selection based upon previously published research on feature selection. In addition, we discuss various research issues relating to each of the presented evolutionary algorithm. Evolutionary algorithms present several advantages over traditional search such as they require less domain-specific information. Such advantages have made them very popular within feature selection as explained in this paper. This paper covers the first part only of the evolutionary algorithms for the feature selection problem due to the limitation of the number of pages. The references cited in this paper cover the major theoretical issues, and provide access to the main branches of the literature dealing with such methods.","","978-1-4799-7411-5;9781479974115","","10.1109/EMS.2014.28","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7153969","Ant Colony Optimization (ACO);Feature Selection (FS);Genetic Algorithms (GAs);Particle Swarm Optimization (PSO)","Classification algorithms;Evolutionary computation;Feature extraction;Genetic algorithms;Optimization;Sociology;Statistics","ant colony optimisation;computational complexity;feature selection;genetic algorithms;particle swarm optimisation;search problems","NP hard optimization problem;ant colony optimization;evolutionary algorithms;evolutionary feature selection;genetic algorithms;page number limitation;particle swarm optimization","","0","","77","","","21-23 Oct. 2014","","IEEE","IEEE Conference Publications"
"Towards a unified approach to the representation of, and reasoning with, probabilistic risk information about software and its system interface","M. S. Feather","Jet Propulsion Lab., California Inst. of Technol., Pasadena, CA, USA","Software Reliability Engineering, 2004. ISSRE 2004. 15th International Symposium on","20050124","2004","","","391","402","Early risk assessment is key in planning the development of systems, including systems that involve software. Such risk assessment needs a combination of the following elements; 1) Severity estimates for the potential effects of failures, and likelihood estimates for their causes; 2) Fault trees that link causes to failures; 3) Efficacy estimates of design and process steps towards reducing risk; 4) Distinctions between preventing, alleviating and detecting (thereafter removing), risks; 5) Risk preventions that have potential side effects of themselves introducing risks. The paper shows a unified approach that accommodates all these elements. The approach combines fault trees (from probabilistic risk assessment methods) with explicit treatment of risk mitigations (a generalization of the notion of a detection seen in FMECA analyses). Fault trees capture the causal relationships by which failure mechanisms may combine to lead to failure modes. Risk mitigations encompass (and distinguish among) options to prevent risks, detect risks, and alleviate risks (i.e., decrease their impact should they occur). This approach has been embodied in extensions to a JPL-developed risk assessment tool, and is illustrated here on software risk assessment information drawn from an actual project's software system FMECA (failure modes, effects and criticality analysis). Since its elements are typical of risk assessment of software and its system interface, the findings should be relevant to a wide range of software systems.","1071-9458;10719458","0-7695-2215-7;0769522157","","10.1109/ISSRE.2004.42","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1383134","Cost-benefit tradeoffs;FMEA;FMECA;FTA;Failure Modes;PRA;Probabilistic Risk Reduction;Risk-informed decision-making;SFMECA","Application software;Costs;Failure analysis;Fault detection;Fault trees;Protection;Risk analysis;Risk management;Software systems;Space vehicles","decision making;fault trees;maximum likelihood estimation;risk management;software development management","FTA;PRA;SFMECA;cost-benefit tradeoffs;failure modes;fault trees;probabilistic risk reduction;risk assessment;risk-informed decision-making;system interface","","7","","20","","","2-5 Nov. 2004","","IEEE","IEEE Conference Publications"
"Semi-supervised classification for intrusion Detection System in networks","N. S. Chaudhari; A. Tiwari; U. Thakar; J. Thomas","Department of Computer science & Engineering, Indian Institute of Technology, Indore, 452017(M.P.) India","2010 IEEE Conference on Cybernetics and Intelligent Systems","20100723","2010","","","120","125","We propose a semi supervised classifier for intrusion detection. In our approach, we classify the data entering the computer network. To achieve this, we start with two broad classes of data namely, malicious data and good data. We use Support vector machine based classifier with spherical decision boundaries to classify a chosen subset of malicious data taken as training samples. In the Intrusion Detection System (IDS) database, all data identified as malicious data according to our classifier is included as signature (of attack). Using our classifier for testing the out-of-sample data samples, we observe that the accuracy of the system is 72% for web log data.","2326-8123;23268123","978-1-4244-6499-9;9781424464999","","10.1109/ICCIS.2010.5518571","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5518571","IDS;Kernel Method;Lagrange multipliers;Quadratic programming;Semi-Supervised classification","Clustering algorithms;Computer networks;Databases;Information security;Intrusion detection;Kernel;Monitoring;Support vector machine classification;Support vector machines;Telecommunication traffic","pattern classification;security of data;support vector machines","intrusion detection system;malicious data;semi-supervised classification;spherical decision boundaries;support vector machine","","0","","8","","","28-30 June 2010","","IEEE","IEEE Conference Publications"
"A Game Theoretic Approach to Efficient Mixed Strategies for Intrusion Detection","Y. Liu; H. Man; C. Comaniciu","Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ 07030, USA. Email: yliu@stevens.edu","2006 IEEE International Conference on Communications","20061211","2006","5","","2201","2206","As information technology evolves, and as more intrusion detection (ID) techniques are developed, security architects face the problem of effectively integrating various detection techniques to improve overall detection performance while maintain a high level of efficiency in network operation. In this paper, we consider the problem of optimal intrusion detection strategy in a network environment where multiple ID techniques are deployed. We first formulate a zero-sum attacker/defender game. The objective of the defender is to decide an optimal mixed strategy (i.e., a distribution over a set of strategies with each corresponding to the use of a particular ID technique) that maximizes his expected detection gain. In contrast, the objective of the attacker is to decide an optimal mixed strategy (i.e., a distribution over a set of strategies with each corresponding to a specific attack type or anomaly pattern) that minimizes his expected detection loss. The minmax theorem guarantees an optimal equilibrium strategy pair, which provides a valuable quantitative measure of the contributions from different ID techniques to the overall detection efficiency. Such information can assist security architects in understanding the effectiveness of these techniques, and in selecting the appropriate intrusion detection techniques according to the expected attacks. We also formulate a non-zero-sum noncooperative attacker/defender game where the payoffs of players are non-strictly competitive. We show that this game achieves at least one Nash equilibrium that leads to a defense strategy for the defender. Examples are presented and discussed both analytically and numerically.","1550-3607;15503607","1-4244-0355-3;1424403553","1-4244-0355-3;1424403553","10.1109/ICC.2006.255097","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4024492","","Computer security;Face detection;Game theory;Information security;Information technology;Intrusion detection;Minimax techniques;Nash equilibrium;Neural networks;Payloads","","","","2","","19","","","June 2006","","IEEE","IEEE Conference Publications"
"Network Intrusion Detection with Cascading Classification","S. Marcek; M. Drozda","Fac. of Electr. Eng. & Inf. Technol., Slovak Univ. of Technol., Bratislava, Slovakia","2014 5th International Conference on Intelligent Systems, Modelling and Simulation","20151001","2014","","","54","59","The KDD99 network intrusion contest and the related intrusion data sets attracted increased attention of the research community. The success rate of contest participants was evaluated in terms of the obtained classification cost. The classification cost of the contest winner was 0.2331, the best approach prior to our work carries the classification cost of 0.2224. We show that a simple approach based on cascading classification leads to the classification cost of 0.2079. Cascading classification is in our case done by applying 2-nearest-neighbor classification. The samples which could not be predicted with 2-nearest-neighbor classification (4-6%) are further classified with a clustering approach with class priority. This clustering approach when applied in isolation under performs other approaches. However, when applied in cascading classification, it can take advantage of the reduced number of samples. We argue that cascading classification is a viable alternative in scenarios where less complex machine learning approaches are favorable, for example due to possible performance degradation in resource constrained devices such as mobile phones, embedded systems or sensors.","2166-0662;21660662","978-1-4799-3857-5;9781479938575","","10.1109/ISMS.2014.17","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7280878","Exact Euclidean Locality Sensitive Hashing (E2LSH);KDD99 classifier learning contest;cascading classification;intrusion detection;k-nearest-neighbor classification","Accuracy;Decision trees;Intrusion detection;Mobile handsets;Performance evaluation;Probes;Training data","learning (artificial intelligence);pattern classification;pattern clustering;security of data","cascading classification;clustering approach;machine learning;network intrusion detection","","","","19","","","27-29 Jan. 2014","","IEEE","IEEE Conference Publications"
"Collaborative architecture for distributed intrusion detection system","S. Zaman; F. Karray","Department of Electrical and Computer Engineering, University of Waterloo, Canada","2009 IEEE Symposium on Computational Intelligence for Security and Defense Applications","20091218","2009","","","1","7","Due to the rapid growth of network technologies and substantial improvement in attack tools and techniques, a distributed intrusion detection system (dIDS) is required to allocate multiple IDSs across a network to monitor security events and to collect data. However, dIDS architectures suffer from many limitations such as the lack of a central analyzer and a heavy network load. In this paper, we propose a new architecture for dIDS, called a collaborative architecture for dIDS (C-dIDS), to overcome these limitations. The C-dIDS contains one-level hierarchy dIDS with a non-central analyzer. To make the detection decision for a specific IDS module in the system, this IDS module needs to collaborate with the IDS in the lower level of the hierarchy. Cooperating with lower level IDS module improves the system accuracy with less network load (just one bit of information). Moreover, by using one hierarchy level, there is no central management and processing of data so there is no chance for a single point of failure. We have examined the feasibility of our dIDS architecture by conducting several experiments using the DARPA dataset. The experimental results indicate that the proposed architecture can deliver satisfactory system performance with less network load.","2329-6267;23296267","978-1-4244-3763-4;9781424437634","978-1-4244-3764-1;9781424437641","10.1109/CISDA.2009.5356567","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5356567","","Collaboration;Computational intelligence;Computer architecture;Computer hacking;Computer networks;Data analysis;Information analysis;Information systems;Intrusion detection;Performance analysis","security of data","DARPA dataset;attack tools;collaborative architecture;distributed intrusion detection system;network technologies;noncentral analyzer;one-level hierarchy dIDS;security","","3","","31","","","8-10 July 2009","","IEEE","IEEE Conference Publications"
"Bad Words: Finding Faults in Spirit's Syslogs","J. Stearley; A. J. Oliner","Sandia Nat. Labs., Albuquerque, NM","Cluster Computing and the Grid, 2008. CCGRID '08. 8th IEEE International Symposium on","20080530","2008","","","765","770","Accurate fault detection is a key element of resilient computing. Syslogs provide key information regarding faults, and are found on nearly all computing systems. Discovering new fault types requires expert human effort, however, as no previous algorithm has been shown to localize faults in time and space with an operationally acceptable false positive rate. We present experiments on three weeks of syslogs from Sandia's 512-node Spirit Linux cluster, showing one algorithm that localizes 50% of faults with 75% precision, corresponding to an excellent false positive rate of 0.05%. The salient characteristics of this algorithm are (1) calculation of nodewise information entropy, and (2) encoding of word position. The key observation is that similar computers correctly executing similar work should produce similar logs.","","978-0-7695-3156-4;9780769531564","978-0-7695-3156-4;9780769531564","10.1109/CCGRID.2008.107","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4534301","","Clustering algorithms;Computer science;Fault detection;Grid computing;Humans;Laboratories;Monitoring;Programming profession;Supercomputers;USA Councils","Linux;entropy;software fault tolerance;system monitoring","Spirit Linux cluster;bad words;false positive rate;fault detection;information entropy;syslogs","","16","","24","","","19-22 May 2008","","IEEE","IEEE Conference Publications"
"Application of artificial neural network in detection of probing attacks","I. Ahmad; A. B. Abdullah; A. S Alghamdi","DCIS, UTP, Bandar Seri Iskandar, 31750, Tronoh, Perak, Malaysia","Industrial Electronics & Applications, 2009. ISIEA 2009. IEEE Symposium on","20091218","2009","2","","557","562","The prevention of any type of cyber attack is indispensable because a single attack may break the security of computer and network systems. The hindrance of such attacks is entirely dependent on their detection. The detection is a major part of any security tool such as intrusion detection system (IDS), intrusion prevention system (IPS), adaptive security alliance (ASA), check points and firewalls. Consequently, in this paper, we are contemplating the feasibility of an approach to probing attacks that are the basis of others attacks in computer network systems. Our approach adopts a supervised neural network phenomenon that is majorly used for detecting security attacks. The proposed system takes into account multiple layered perceptron (MLP) architecture and resilient backpropagation for its training and testing. The system uses sampled data from Kddcup99 dataset, an attack database that is a standard for evaluating the security detection mechanisms. The developed system is applied to different probing attacks. Furthermore, its performance is compared to other neural networks' approaches and the results indicate that our approach is more precise and accurate in case of false positive, false negative and detection rate.","","978-1-4244-4681-0;9781424446810","978-1-4244-4683-4;9781424446834","10.1109/ISIEA.2009.5356382","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5356382","Dataset;Detection Rate;False Negative;False Positive;Learning;Multiple Layered Perceptron;Neural Network;Probing attack;Remote to User;Resilient Backpropagation;User to root","Adaptive systems;Application software;Artificial neural networks;Backpropagation;Computer architecture;Computer networks;Computer security;Data security;Intrusion detection;Neural networks","multilayer perceptrons;security of data","adaptive security alliance;artificial neural network;computer network systems;cyber attack;intrusion detection system;intrusion prevention system;multiple layered perceptron;probing attacks detection;supervised neural network","","2","","27","","","4-6 Oct. 2009","","IEEE","IEEE Conference Publications"
"Energy-aware adaptive security management for wireless sensor networks","E. Nigussie; A. Hakkala; S. Virtanen; J. Isoaho","Department of Information Technology, University of Turku, 20014 Turku, Finland","World of Wireless, Mobile and Multimedia Networks (WoWMoM), 2014 IEEE 15th International Symposium on a","20141009","2014","","","1","4","We present a work in progress of an adaptive security management scheme for wireless sensor networks. The unique characteristics of these networks place great demands on their design and operation in terms of resource and security management. Resource and security adaptability achieved through self- and context-awareness will take the feasibility of the networks to a new level. The scheme has self- and context-awareness in addition to a holistic view of security services at each layer of the communication stack. It uses distributed agents and intrusion detection systems to monitor the security threats and then dynamically adapts its security level by jointly considering several dimensions. This translates into optimal security-energy under a given resource and context. The key dimensions are energy budget, computing power and memory size of nodes, location-based security threat levels, data coherence, and data lifetime. Trust management is used to test the integrity of untrusted nodes which further assist the adaptation decision.","","","","10.1109/WoWMoM.2014.6919023","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6919023","","Coherence;Decision making;Encryption;Monitoring;Protocols;Wireless sensor networks","telecommunication power management;telecommunication security;wireless sensor networks","context awareness;decision adaptation;energy aware adaptive security management;optimal security-energy;resource adaptability;security adaptability;self awareness;wireless sensor networks","","0","","8","","","19-19 June 2014","","IEEE","IEEE Conference Publications"
