"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28.QT.confusion+matrix.QT.+AND+.QT.intrusion+detection+system.QT.%29",2016/08/08 16:58:57,"((""confusion matrix"") AND ""intrusion detection system"")",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
"Network Intrusion Detection with Cascading Classification","S. Marcek; M. Drozda","Fac. of Electr. Eng. & Inf. Technol., Slovak Univ. of Technol., Bratislava, Slovakia","2014 5th International Conference on Intelligent Systems, Modelling and Simulation","20151001","2014","","","54","59","The KDD99 network intrusion contest and the related intrusion data sets attracted increased attention of the research community. The success rate of contest participants was evaluated in terms of the obtained classification cost. The classification cost of the contest winner was 0.2331, the best approach prior to our work carries the classification cost of 0.2224. We show that a simple approach based on cascading classification leads to the classification cost of 0.2079. Cascading classification is in our case done by applying 2-nearest-neighbor classification. The samples which could not be predicted with 2-nearest-neighbor classification (4-6%) are further classified with a clustering approach with class priority. This clustering approach when applied in isolation under performs other approaches. However, when applied in cascading classification, it can take advantage of the reduced number of samples. We argue that cascading classification is a viable alternative in scenarios where less complex machine learning approaches are favorable, for example due to possible performance degradation in resource constrained devices such as mobile phones, embedded systems or sensors.","2166-0662;21660662","978-1-4799-3857-5;9781479938575","","10.1109/ISMS.2014.17","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7280878","Exact Euclidean Locality Sensitive Hashing (E2LSH);KDD99 classifier learning contest;cascading classification;intrusion detection;k-nearest-neighbor classification","Accuracy;Decision trees;Intrusion detection;Mobile handsets;Performance evaluation;Probes;Training data","learning (artificial intelligence);pattern classification;pattern clustering;security of data","cascading classification;clustering approach;machine learning;network intrusion detection","","","","19","","","27-29 Jan. 2014","","IEEE","IEEE Conference Publications"
"Bad Words: Finding Faults in Spirit's Syslogs","J. Stearley; A. J. Oliner","Sandia Nat. Labs., Albuquerque, NM","Cluster Computing and the Grid, 2008. CCGRID '08. 8th IEEE International Symposium on","20080530","2008","","","765","770","Accurate fault detection is a key element of resilient computing. Syslogs provide key information regarding faults, and are found on nearly all computing systems. Discovering new fault types requires expert human effort, however, as no previous algorithm has been shown to localize faults in time and space with an operationally acceptable false positive rate. We present experiments on three weeks of syslogs from Sandia's 512-node Spirit Linux cluster, showing one algorithm that localizes 50% of faults with 75% precision, corresponding to an excellent false positive rate of 0.05%. The salient characteristics of this algorithm are (1) calculation of nodewise information entropy, and (2) encoding of word position. The key observation is that similar computers correctly executing similar work should produce similar logs.","","978-0-7695-3156-4;9780769531564","978-0-7695-3156-4;9780769531564","10.1109/CCGRID.2008.107","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4534301","","Clustering algorithms;Computer science;Fault detection;Grid computing;Humans;Laboratories;Monitoring;Programming profession;Supercomputers;USA Councils","Linux;entropy;software fault tolerance;system monitoring","Spirit Linux cluster;bad words;false positive rate;fault detection;information entropy;syslogs","","16","","24","","","19-22 May 2008","","IEEE","IEEE Conference Publications"
"Using Multiclass Machine Learning Methods to Classify Malicious Behaviors Aimed at Web Systems","K. Goseva-Popstojanova; G. Anastasovski; R. Pantev","Lane Dept. of Comput. Sci. & Electr. Eng., West Virginia Univ., Morgantown, WV, USA","2012 IEEE 23rd International Symposium on Software Reliability Engineering","20130404","2012","","","81","90","The number of vulnerabilities and attacks on Web systems show an increasing trend and tend to dominate on the Internet. Furthermore, due to their popularity and users ability to create content, Web 2.0 applications have become particularly attractive targets. These trends clearly illustrate the need for better understanding of malicious cyber activities based on both qualitative and quantitative analysis. This paper is focused on multiclass classification of malicious Web activities using three supervised machine learning methods: J48, PART, and Support Vector Machines (SVM). The empirical analysis is based on data collected in duration of nine months by a high interaction honey pot consisting of a three-tier Web system, which included Web 2.0 applications (i.e., a blog and wiki). Our results show that supervised learning methods can be used to efficiently distinguish among multiple vulnerability scan and attack classes, with high recall and precision values for all but several very small classes. For our dataset, decision tree based methods J48 and PART perform slightly better than SVM in terms of overall accuracy and weighted recall. Additionally, J48 and PART require less than half of the features (i.e., session attributes) used by SVM, as well as they execute much faster. Therefore, they seem to be clear methods of choice.","1071-9458;10719458","978-1-4673-4638-2;9781467346382","","10.1109/ISSRE.2012.30","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6405356","Web 2.0 security;attacks;empirical study;multiclass classification;vulnerability scans","Accuracy;Blogs;Electronic publishing;Information services;Internet;Learning systems;Support vector machines","Internet;learning (artificial intelligence);pattern classification;security of data;support vector machines","Internet;J48;PART;SVM;Web 2.0 applications;attack classes;high-interaction honeypot;malicious behavior classification;malicious cyber activities;multiclass machine learning methods;multiclass malicious Web activities classification;qualitative analysis;quantitative analysis;supervised machine learning methods;support vector machines;three-tier Web system","","4","","34","","","27-30 Nov. 2012","","IEEE","IEEE Conference Publications"
"A new data mining based network Intrusion Detection model","M. Gudadhe; P. Prasad; L. Kapil Wankhade","Department of Information Technology, Priyadarshini College of Engineering, Nagpur, India","Computer and Communication Technology (ICCCT), 2010 International Conference on","20101118","2010","","","731","735","Nowadays, as information systems are more open to the Internet, the importance of secure networks is tremendously increased. New intelligent Intrusion Detection Systems (IDSs) which are based on sophisticated algorithms rather than current signature-base detections are in demand. There is often the need to update an installed Intrusion Detection System (IDS) due to new attack methods or upgraded computing environments. Since many current Intrusion Detection Systems are constructed by manual encoding of expert knowledge, changes to them are expensive and slow. In data mining-based intrusion detection system, we should make use of particular domain knowledge in relation to intrusion detection in order to efficiently extract relative rules from large amounts of records. This paper proposes new ensemble boosted decision tree approach for intrusion detection system. Experimental results shows better results for detecting intrusions as compared to others existing methods.","","978-1-4244-9033-2;9781424490332","","10.1109/ICCCT.2010.5640375","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5640375","boosted decision trees;data mining;ensemble approach;network intrusion detection system","Accuracy;Classification algorithms;Classification tree analysis;Data mining;Feature extraction;Intrusion detection","data mining;security of data","boosted decision tree;data mining;domain knowledge;intrusion detection system;network intrusion detection model","","9","","18","","","17-19 Sept. 2010","","IEEE","IEEE Conference Publications"
"An artificial immune system for phishing detection","Xing Fang; N. Koceja; J. Zhan; G. Dozier; D. Dipankar","Dept. of Comput. Sci., North Carolina A&amp;T State Univ., Greensboro, NC, USA","2012 IEEE Congress on Evolutionary Computation","20120802","2012","","","1","7","The amazing nature of biological immune systems on protecting humans from pathogens inspired people to develop artificial immune systems. Designed to simulate the functionalities of biological immune systems, artificial immune systems are suggested to be mainly applied in the domain of computer security. In this paper, we propose an artificial immune system for phishing detection. The system is to detect phishing emails through memory detectors and mature detectors. The memory detectors are generated from the training data set, which, in turn, contains the phishing emails previously seen by the system. The immature detectors are reproduced through the system's mutation process. To the best of our knowledge, this is the first time such a system is ever proposed. We believe that the system is more adaptive than any other existing phishing detection techniques.","1089-778X;1089778X","978-1-4673-1510-4;9781467315104","978-1-4673-1508-1;9781467315081","10.1109/CEC.2012.6256518","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6256518","artificial immune system;immature detector;memory detector;phishing detection","Adaptive systems;Detectors;Electronic mail;Fires;Immune system;Pathogens","artificial immune systems;security of data;unsolicited e-mail","artificial immune system;biological immune systems;computer security;human protection;immature detectors;mature detectors;memory detectors;pathogens;phishing detection techniques;phishing email detection","","1","","20","","","10-15 June 2012","","IEEE","IEEE Conference Publications"
"An evaluation of data mining classification models for network intrusion detection","C. So-In; N. Mongkonchai; P. Aimtongkham; K. Wijitsopon; K. Rujirakul","Dept. of Comput. Sci., Khon Kaen Univ., Khon Kaen, Thailand","Digital Information and Communication Technology and it's Applications (DICTAP), 2014 Fourth International Conference on","20140529","2014","","","90","94","Due to a rapid growth of Internet, the number of network attacks has risen leading to the essentials of network intrusion detection systems (IDS) to secure the network. With heterogeneous accesses and huge traffic volumes, several pattern identification techniques have been brought into the research community. Data Mining is one of the analyses which many IDSs have adopted as an attack recognition scheme. Thus, in this paper, the classification methodology including attribute and data selections was drawn based on the well-known classification schemes, i.e., Decision Tree, Ripper Rule, Neural Networks, Naive Bayes, k-Nearest-Neighbour, and Support Vector Machine, for intrusion detection analysis using both KDD CUP dataset and recent HTTP BOTNET attacks. Performance of the evaluation was measured using recent Weka tools with a standard cross-validation and confusion matrix.","","978-1-4799-3723-3;9781479937233","","10.1109/DICTAP.2014.6821663","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6821663","BOTNET;Classification;Data Mining;Intrusion Detection;KDD CUP dataset;Network Security","Accuracy;Computational modeling;Data mining;Internet;Intrusion detection;Neural networks;Probes","Internet;computer network security;data mining;invasive software;pattern classification;telecommunication traffic","HTTP BOTNET attacks;IDS;Internet;KDD CUP dataset;Weka tools;attack recognition scheme;attribute selection;confusion matrix;data mining classification models;data selection;network attack;network intrusion detection system;pattern identification techniques;traffic volumes","","1","","22","","","6-8 May 2014","","IEEE","IEEE Conference Publications"
"Long Short Term Memory Recurrent Neural Network Classifier for Intrusion Detection","J. Kim; J. Kim; H. L. T. Thu; H. Kim","Dept. of Electr. & Comput. Eng., Pusan Nat. Univ., Busan, South Korea","2016 International Conference on Platform Technology and Service (PlatCon)","20160421","2016","","","1","5","Due to the advance of information and communication techniques, sharing information through online has been increased. And this leads to creating the new added value. As a result, various online services were created. However, as increasing connection points to the internet, the threats of cyber security have also been increasing. Intrusion detection system(IDS) is one of the important security issues today. In this paper, we construct an IDS model with deep learning approach. We apply Long Short Term Memory(LSTM) architecture to a Recurrent Neural Network(RNN) and train the IDS model using KDD Cup 1999 dataset. Through the performance test, we confirm that the deep learning approach is effective for IDS.","","978-1-4673-8684-5;9781467386845","","10.1109/PlatCon.2016.7456805","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7456805","","Computer architecture;Intrusion detection;Logic gates;Mathematical model;Microprocessors;Recurrent neural networks","neural net architecture;pattern classification;recurrent neural nets;security of data","IDS model;Internet;KDD Cup 1999 dataset;LSTM RNN classifier;cyber security;deep learning;intrusion detection system;long short term memory architecture;recurrent neural network","","","","22","","","15-17 Feb. 2016","","IEEE","IEEE Conference Publications"
"Public domain datasets for optimizing network intrusion and machine learning approaches","M. Deraman; A. Jalil Desa; Z. A. Othman","TM Research & Development Sdn. Bhd., TM R&D Innovation Center, Lingkaran Teknokrat Timur, 63000 Cyberjaya, Selangor, Malaysia","Data Mining and Optimization (DMO), 2011 3rd Conference on","20110804","2011","","","51","56","Network intrusion detection system (NIDS) commonly attributed to the task to mitigate network and security attacks that has potential to compromise the safety of a network resources and its information. Research in this area mainly focuses to improve the detection method in network traffic flow. Machine learning techniques had been widely used to analyze large datasets including network traffic. In order to develop a sound mechanism for NIDS detection tool, benchmark datasets is required to assist the data mining process. This paper presents the benchmark datasets available publicly for NIDS study such as KDDCup99, IES, pcapr and others. We use some popular machine learning tools to visualize the properties and characteristics of the benchmark datasets.","2155-6938;21556938","978-1-61284-211-0;9781612842110","978-1-61284-212-7;9781612842127","10.1109/DMO.2011.5976504","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5976504","Benchmark Dataset Repository;Machine Learning;Network Intrusion Detection","Benchmark testing;Data visualization;Intrusion detection;Machine learning;Training","data mining;learning (artificial intelligence);security of data","NIDS detection tool;benchmark dataset;data mining process;machine learning technique;network intrusion detection system;network resource;public domain dataset","","0","","19","","","28-29 June 2011","","IEEE","IEEE Conference Publications"
"Detection of Unknown Computer Worms Activity Based on Computer Behavior using Data Mining","R. Moskovitch; I. Gus; S. Pluderman; D. Stopel; C. Glezer; Y. Shahar; Y. Elovici","PhD student, Deutsche Telekom Laboratories at Ben-Gurion University, Be'er Sheva, 84105 Israel. Phone: +972-52-2668071; email: robertmo@bgu.ac.il","2007 IEEE Symposium on Computational Intelligence in Security and Defense Applications","20070604","2007","","","169","177","Detecting unknown worms is a challenging task. Extant solutions, such as anti-virus tools, rely mainly on prior explicit knowledge of specific worm signatures. As a result, after the appearance of a new worm on the Web there is a significant delay until an update carrying the worm's signature is distributed to anti-virus tools. During this time interval a new worm can infect many computers and create significant damage. We propose an innovative technique for detecting the presence of an unknown worm, not necessarily by recognizing specific instances of the worm, but rather based on the computer measurements. We designed an experiment to test the new technique employing several computer configurations and background applications activity. During the experiments 323 computer features were monitored. Four feature selection techniques were used to reduce the amount of features and four classification algorithms were applied on the resulting feature subsets. Our results indicate that using this approach resulted, in above 90% average accuracy, and for specific unknown worms accuracy reached above 99%, using just 20 features while maintaining a low level of false positive rate","2329-6267;23296267","1-4244-0700-1;1424407001","","10.1109/CISDA.2007.368150","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4219097","","Application software;Computational intelligence;Computer worms;Computerized monitoring;Data mining;File systems;Intrusion detection;Laboratories;Operating systems;Software packages","Internet;computer viruses;data mining;pattern classification","World Wide Web;antivirus tools;background applications activity;classification algorithms;computer behavior;computer configurations;data mining;specific worm signatures;unknown computer worms activity;unknown worms detection","","2","1","31","","","1-5 April 2007","","IEEE","IEEE Conference Publications"
"Towards Prevention of Pipeline Integrity Threats using a Smart Fiber Optic Surveillance System","J. Tejedor; H. Martins; D. Piote; J. Macias-Guarasa; J. Pastor-Graells; S. Martin-Lopez; P. Corredera; F. De Smet; W. Postvoll; M. Gonzalez-Herraez","J. Tejedor is with the Department of Electronics, University of Alcala, Spain.","Journal of Lightwave Technology","","2016","PP","99","1","1","This paper presents the first available report in the literature of a system aimed at the detection and classification of threats in the vicinity of a long gas pipeline. The system is based on phase-sensitive optical time domain reflectometry (- OTDR) technology for signal acquisition and pattern recognition strategies for threat identification. The system operates in two different modes: (1) machine+activity identification, which outputs the activity being carried out by a certain machine, and (2) threat detection, aimed at detecting threats no matter what the real activity being conducted is. Different strategies dealing with position selection and normalization methods are presented and evaluated using a rigorous experimental procedure on realistic field data. Experiments are conducted with 8 machine+activity pairs, which are further labeled as threat or non-threat for the second mode of the system. The results obtained are promising given the complexity of the task and open the path to future improvements towards fully-functional pipeline threat detection systems operating in real conditions.","0733-8724;07338724","","","10.1109/JLT.2016.2542981","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434581","-OTDR;Distributed Acoustic Sensing;Fiber optic systems;Pipeline integrity threat monitoring","Acoustics;Feature extraction;Optical fiber sensors;Optical fibers;Pipelines","","","","","","","","2016-03-16","","","IEEE","IEEE Early Access Articles"
