"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28%28%28%28.QT.F-Value.QT.%29+OR+.QT.F-measure.QT.%29+OR+.QT.F-score.QT.%29+OR+.QT.F1.QT.%29+OR+.QT.F2.QT.%29+OR+.QT.F0.5.QT.%29+OR+.QT.Detection+Effectiveness.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29",2016/08/03 14:47:20
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28%28%28%28.QT.F-Value.QT.%29+OR+.QT.F-measure.QT.%29+OR+.QT.F-score.QT.%29+OR+.QT.F1.QT.%29+OR+.QT.F2.QT.%29+OR+.QT.F0.5.QT.%29+OR+.QT.Detection+Effectiveness.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29",2016/08/03 14:47:2
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifie
"A Categorization Algorithm for Harmful Text Information Filtering","J. Du; Z. a. Yi","Software Coll., Northeast Pet. Univ., Daqing, China","2012 Fourth International Conference on Multimedia Information Networking and Security","20130110","2012","","","31","34","Harmful text information filtering is a typical pattern recognition problem of small sample, the prediction result of classifier was biased towards the class with more samples, because of the samples that including the harmful information were difficult to gain. Construct virtual samples is an effective means to solve the problem of pattern recognition in the small sample, using the up-sampling method to construct virtual samples in the data layer, the traditional KNN algorithm has been improved: a small sample set is divided into clusters by using the K-means clustering, the virtual samples are generated and verified the validity in the cluster. The experimental results show that this method can construct the virtual samples which are similar to the real sample characteristics, and expand the small sample collection in order to effectively identify the harmful text information.","2162-8998;21628998","978-1-4673-3093-0;9781467330930","","10.1109/MINES.2012.13","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6405624","Harmful information filtering;Network information security;Small sample pattern recognition;Virtual sample","Classification algorithms;Clustering algorithms;Genetic algorithms;Genetics;Information filtering;Support vector machine classification;Training","information filtering;pattern classification;pattern clustering;sampling methods;text analysis","K-means clustering;categorization algorithm;classifier prediction result;data layer;harmful text information filtering;improved KNN algorithm;pattern recognition problem;real sample characteristics;up-sampling method;virtual sample generation","","0","","7","","","2-4 Nov. 2012","","IEEE","IEEE Conference Publications"
"Detecting packet-dropping faults in mobile ad-hoc networks","S. R. Medidi; Muralidhar Medidi; Sireesh Gavini","Sch. of Electr. Eng. & Comput. Sci., Washington State Univ., Pullman, WA, USA","Signals, Systems and Computers, 2004. Conference Record of the Thirty-Seventh Asilomar Conference on","20040504","2003","2","","1708","1712 Vol.2","Mobile ad-hoc networks are inherently prone to security attacks, with node mobility being the primary cause in allowing security breaches. This makes the network susceptible to Byzantyne faults with packets getting misrouted, corrupted or dropped. In this paper we propose solutions using an unobtrusive monitoring technique using the detection manager to locate malicious or faulty nodes that misroute, corrupt or drop packets. The unobtrusive monitoring technique is similar to an intrusion detection system that monitors system activity logs to determine if the system is under attack. This technique uses information from different network layers to detect malicious nodes. The detection manager we are developing for mobile ad-hoc networks stores several rules for responding to different situations. Any single node in the network can use unobtrusive monitoring without relying on the cooperation of other nodes, which makes unobtrusive monitoring easy to implement and deploy. Simulations of mobile ad-hoc networks that contain malicious nodes indicate that unobtrusive monitoring has a high detection effectiveness with low false positive rate.","","0-7803-8104-1;0780381041","","10.1109/ACSSC.2003.1292276","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1292276","","Ad hoc networks;Computer security;Fault detection;Information security;Intelligent networks;Intrusion detection;Mobile ad hoc networks;Monitoring;Protection;Routing protocols","ad hoc networks;mobile radio;routing protocols;telecommunication network management;telecommunication security;telecommunication traffic","detection manager;malicious nodes;mobile ad-hoc networks;security attacks;unobtrusive monitoring technique","","3","1","18","","","9-12 Nov. 2003","","IEEE","IEEE Conference Publications"
"Towards a unified approach to the representation of, and reasoning with, probabilistic risk information about software and its system interface","M. S. Feather","Jet Propulsion Lab., California Inst. of Technol., Pasadena, CA, USA","Software Reliability Engineering, 2004. ISSRE 2004. 15th International Symposium on","20050124","2004","","","391","402","Early risk assessment is key in planning the development of systems, including systems that involve software. Such risk assessment needs a combination of the following elements; 1) Severity estimates for the potential effects of failures, and likelihood estimates for their causes; 2) Fault trees that link causes to failures; 3) Efficacy estimates of design and process steps towards reducing risk; 4) Distinctions between preventing, alleviating and detecting (thereafter removing), risks; 5) Risk preventions that have potential side effects of themselves introducing risks. The paper shows a unified approach that accommodates all these elements. The approach combines fault trees (from probabilistic risk assessment methods) with explicit treatment of risk mitigations (a generalization of the notion of a detection seen in FMECA analyses). Fault trees capture the causal relationships by which failure mechanisms may combine to lead to failure modes. Risk mitigations encompass (and distinguish among) options to prevent risks, detect risks, and alleviate risks (i.e., decrease their impact should they occur). This approach has been embodied in extensions to a JPL-developed risk assessment tool, and is illustrated here on software risk assessment information drawn from an actual project's software system FMECA (failure modes, effects and criticality analysis). Since its elements are typical of risk assessment of software and its system interface, the findings should be relevant to a wide range of software systems.","1071-9458;10719458","0-7695-2215-7;0769522157","","10.1109/ISSRE.2004.42","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1383134","Cost-benefit tradeoffs;FMEA;FMECA;FTA;Failure Modes;PRA;Probabilistic Risk Reduction;Risk-informed decision-making;SFMECA","Application software;Costs;Failure analysis;Fault detection;Fault trees;Protection;Risk analysis;Risk management;Software systems;Space vehicles","decision making;fault trees;maximum likelihood estimation;risk management;software development management","FTA;PRA;SFMECA;cost-benefit tradeoffs;failure modes;fault trees;probabilistic risk reduction;risk assessment;risk-informed decision-making;system interface","","7","","20","","","2-5 Nov. 2004","","IEEE","IEEE Conference Publications"
"Intrusion Detection System Resiliency to Byzantine Attacks: The Case Study of Wormholes in OLSR","J. S. Baras; S. Radosavac; G. Theodorakopoulos; D. Sterne; P. Budulas; R. Gopaul","University of Maryland College Park, College Park, MD 20742","MILCOM 2007 - IEEE Military Communications Conference","20080222","2007","","","1","7","In this paper we extend the work presented in [1], [2] by quantifying the effects of in-band wormhole attacks on Intrusion Detection Systems. More specifically, we propose a mathematical framework for obtaining performance bounds of Byzantine attackers and the Intrusion Detection System (IDS) in terms of detection delay. We formulate the problem of distributed collaborative defense against coordinated attacks in MANET as a dynamic game problem. In our formulation we have on the one hand a group of attackers that observe what is going on in the network and coordinate their attack in an adaptive manner. On the other side, we have a group of defending nodes (the IDS nodes) that collaboratively observe the network and coordinate their actions against the attackers. Using extensions of the game theoretic framework of [3] we provide a mathematical framework for efficient identification of the worst attacks and damages that the attackers can achieve, as well as the best response of the defenders. This approach leads to quantifying resiliency of the routing-attack IDS with respect to Byzantine attacks.","2155-7578;21557578","978-1-4244-1512-0;9781424415120","978-1-4244-1513-7;9781424415137","10.1109/MILCOM.2007.4455008","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4455008","","Collaboration;Communication system traffic control;Delay;Educational institutions;Game theory;Inductors;Intrusion detection;Laboratories;Mobile ad hoc networks;Routing protocols","","","","6","","9","","","29-31 Oct. 2007","","IEEE","IEEE Conference Publications"
"Incremental Clustering Algorithm for Intrusion Detection Using Clonal Selection","C. Zhong; N. Li","Sch. of Comput. & Electron. & Inf., Guangxi Univ., Nanning, China","Computational Intelligence and Industrial Application, 2008. PACIIA '08. Pacific-Asia Workshop on","20090120","2008","1","","326","331","A computing cluster radius method is given, and the data is partitioned into initial clusters by comparing the distance from data to cluster centroid with the size of cluster radius. To implement clustering analysis about data with mixed attributes, namely numerical attributes and categorical attributes, the definitions of distance measure and objective function are improved. By applying clonal selection algorithm to optimize the clustering results, the problems such as computing dissimilarity for data with mixed attributes and finally unknown cluster number and easy to fall into local optimization are solved, and better clustering results are obtained. The experiment results show that the presented incremental clustering algorithm for intrusion detection can achieve high detection rate and low false positive rate.","","978-0-7695-3490-9;9780769534909","","10.1109/PACIIA.2008.256","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4756576","Clonal Selection;Clustering;Incremental Algorithm;Intrusion Detection","Application software;Clustering algorithms;Computational intelligence;Computer industry;Conferences;Data analysis;Electronics industry;Industrial electronics;Intrusion detection;Partitioning algorithms","pattern clustering;security of data","clonal selection;clustering analysis;computing cluster radius method;incremental clustering algorithm;intrusion detection","","1","","9","","","19-20 Dec. 2008","","IEEE","IEEE Conference Publications"
"Using Multiclass Machine Learning Methods to Classify Malicious Behaviors Aimed at Web Systems","K. Goseva-Popstojanova; G. Anastasovski; R. Pantev","Lane Dept. of Comput. Sci. & Electr. Eng., West Virginia Univ., Morgantown, WV, USA","2012 IEEE 23rd International Symposium on Software Reliability Engineering","20130404","2012","","","81","90","The number of vulnerabilities and attacks on Web systems show an increasing trend and tend to dominate on the Internet. Furthermore, due to their popularity and users ability to create content, Web 2.0 applications have become particularly attractive targets. These trends clearly illustrate the need for better understanding of malicious cyber activities based on both qualitative and quantitative analysis. This paper is focused on multiclass classification of malicious Web activities using three supervised machine learning methods: J48, PART, and Support Vector Machines (SVM). The empirical analysis is based on data collected in duration of nine months by a high interaction honey pot consisting of a three-tier Web system, which included Web 2.0 applications (i.e., a blog and wiki). Our results show that supervised learning methods can be used to efficiently distinguish among multiple vulnerability scan and attack classes, with high recall and precision values for all but several very small classes. For our dataset, decision tree based methods J48 and PART perform slightly better than SVM in terms of overall accuracy and weighted recall. Additionally, J48 and PART require less than half of the features (i.e., session attributes) used by SVM, as well as they execute much faster. Therefore, they seem to be clear methods of choice.","1071-9458;10719458","978-1-4673-4638-2;9781467346382","","10.1109/ISSRE.2012.30","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6405356","Web 2.0 security;attacks;empirical study;multiclass classification;vulnerability scans","Accuracy;Blogs;Electronic publishing;Information services;Internet;Learning systems;Support vector machines","Internet;learning (artificial intelligence);pattern classification;security of data;support vector machines","Internet;J48;PART;SVM;Web 2.0 applications;attack classes;high-interaction honeypot;malicious behavior classification;malicious cyber activities;multiclass machine learning methods;multiclass malicious Web activities classification;qualitative analysis;quantitative analysis;supervised machine learning methods;support vector machines;three-tier Web system","","4","","34","","","27-30 Nov. 2012","","IEEE","IEEE Conference Publications"
"EAACKA Secure Intrusion-Detection System for MANETs","E. M. Shakshuki; N. Kang; T. R. Sheltami","Jodrey School of Computer Science, Acadia University, Wolfville , Canada","IEEE Transactions on Industrial Electronics","20121016","2013","60","3","1089","1098","The migration to wireless network from wired network has been a global trend in the past few decades. The mobility and scalability brought by wireless network made it possible in many applications. Among all the contemporary wireless networks, Mobile Ad hoc NETwork (MANET) is one of the most important and unique applications. On the contrary to traditional network architecture, MANET does not require a fixed network infrastructure; every single node works as both a transmitter and a receiver. Nodes communicate directly with each other when they are both within the same communication range. Otherwise, they rely on their neighbors to relay messages. The self-configuring ability of nodes in MANET made it popular among critical mission applications like military use or emergency recovery. However, the open medium and wide distribution of nodes make MANET vulnerable to malicious attackers. In this case, it is crucial to develop efficient intrusion-detection mechanisms to protect MANET from attacks. With the improvements of the technology and cut in hardware costs, we are witnessing a current trend of expanding MANETs into industrial applications. To adjust to such trend, we strongly believe that it is vital to address its potential security issues. In this paper, we propose and implement a new intrusion-detection system named Enhanced Adaptive ACKnowledgment (EAACK) specially designed for MANETs. Compared to contemporary approaches, EAACK demonstrates higher malicious-behavior-detection rates in certain circumstances while does not greatly affect the network performances.","0278-0046;02780046","","","10.1109/TIE.2012.2196010","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6189073","Digital signature;Enhanced Adaptive ACKnowledgment (AACK) (EAACK);Mobile Ad hoc NETwork (MANET);digital signature algorithm (DSA)","Ad hoc networks;Digital signatures;Educational institutions;Intrusion detection;Mobile computing;Receivers;Wireless networks","mobile ad hoc networks;radio receivers;radio transmitters;telecommunication security","EAACK;MANET;communication range;emergency recovery;enhanced adaptive acknowledgment;hardware cost;industrial application;malicious attacker;malicious-behavior-detection rate;message relay;military use;mobile ad hoc network;mobility;network architecture;network infrastructure;network performance;receiver;secure intrusion-detection system;security issue;transmitter;wireless network","","40","","35","","2012-04-26","March 2013","","IEEE","IEEE Journals & Magazines"
"2012 International Conference on Devices, Circuits and Systems (ICDCS)","","","Devices, Circuits and Systems (ICDCS), 2012 International Conference on","20120423","2012","","","1","748","Provides the entire conference content.","","978-1-4577-1545-7;9781457715457","","10.1109/ICDCSyst.2012.6188784","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6188784","","CMOS integrated circuits;CMOS technology;Field programmable gate arrays;MESFETs;MOSFETs;Optical imaging;Random access memory","","","","0","","","","","15-16 March 2012","","IEEE","IEEE Conference Publications"
