"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&ar=4106339,7038200,6597229,4751855,1378401,398921,4700312,1579753,7500331,4591651,5486194,5485895,4367884,6663006,4438213,1653229,4804321,7420656,5427580,6393535,5452505,4239105,4925084,7169507,6409055,1488784,5451971,1244225,7452335,7182328,1495951,7165965,4529339,5739055,4753218,4709321,6416889,7167661,1141257,4384741,4721565,217586,5254241,4678996,7004285,6128279,7396697,7396062,4519845,5542601,6526269,7166057,6983039,4438428,4559609,5679879,7036903,5207794,5564538,5328099,1206610,6930185,1624000,6197881,5534944,6335546,5359020,7226430,5735749,1628126,6733610,1716373,5202379,1258125,4159868,1377216,5872976,4375847,6808251,7363359,5715771,4698181,4396942,5485230,932167,7295682,6666573,6758040,4925094,7506774,4473097,7014762,6063311,6949097,4535037,5380229,4575276,7092165,7388402,4509966",2016/08/03 15:19:04
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&ar=4106339,7038200,6597229,4751855,1378401,398921,4700312,1579753,7500331,4591651,5486194,5485895,4367884,6663006,4438213,1653229,4804321,7420656,5427580,6393535,5452505,4239105,4925084,7169507,6409055,1488784,5451971,1244225,7452335,7182328,1495951,7165965,4529339,5739055,4753218,4709321,6416889,7167661,1141257,4384741,4721565,217586,5254241,4678996,7004285,6128279,7396697,7396062,4519845,5542601,6526269,7166057,6983039,4438428,4559609,5679879,7036903,5207794,5564538,5328099,1206610,6930185,1624000,6197881,5534944,6335546,5359020,7226430,5735749,1628126,6733610,1716373,5202379,1258125,4159868,1377216,5872976,4375847,6808251,7363359,5715771,4698181,4396942,5485230,932167,7295682,6666573,6758040,4925094,7506774,4473097,7014762,6063311,6949097,4535037,5380229,4575276,7092165,7388402,4509966",2016/08/03 15:19:0
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifie
"Security Measures in a Secure Computer Communications Architecture","L. J. Bottino","Federal Aviation Administration William J. Hughes Technical Center, Atlantic City, International Airport, NJ","2006 ieee/aiaa 25TH Digital Avionics Systems Conference","20070220","2006","","","1","18","The architecture of a computer communication system has evolved with advances in technology. Changes to satisfy telecommunication needs within the technical community have surfaced gradually through the efforts of international computer standards organizations, technical panels, and guidance committees. The design of a secure computer communications architecture to protect the integrity of information exchange is pursued by the aerospace industry, the commercial and financial sectors, and at all levels of government agencies. Banking institutions, the insurance and medical professions, goods and commodity exchanges, the airline industry, and local, state, and federal government agencies have all sought increased computer security and confidence in their computer communications. * Computer security techniques, defense methodologies, and security appliances are discussed and analyzed. These discussions will center on various computer and network security devices. With these devices, the foundations for a rigorous security policy can be created. Security policies are important in preventing compromises of network security and threats affecting secure computer communications. Vulnerabilities in computer networks are identified in terms of exploits. The deployment of scanning technologies can discover these exploits and their affects on the integrity of the information exchanged. These same technologies can assign risk factors and pose suggestions for corrective actions in the computer environment. A firewall system installation is deployed on the network of the enterprise to protect and secure a computer communications architecture. Intrusion detection techniques include signature identification of the intruder to locate and respond to network and host-based intruder attacks. Some of these same techniques will uncover the forensic evidence and explain how the computer or network system was compromised. Virtual Private Networks (VPNs) are another example of a security ap- - pliance. This network device employs security mechanisms such as tunneling, Internet protocol (IP) security protocols and cryptography. Insecure computer communications can have devastating consequences on national security, which would affect every aspect of daily life. To address the issue a secure computer communications architecture will be offered as an example to demonstrate the precautions that can be taken, display the benefits from a systems engineering viewpoint and present an economic feasibility with a view towards the future","2155-7195;21557195","1-4244-0377-4;1424403774","1-4244-0378-2;1424403782","10.1109/DASC.2006.313729","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4106339","","Communication system security;Computer architecture;Computer networks;Computer security;Cryptographic protocols;Information security;National security;Protection;Telecommunication computing;Virtual private networks","aircraft communication;computer communications software;security of data;virtual private networks","aerospace communication;computer security;firewall system installation;intrusion detection techniques;secure computer communications architecture;virtual private networks","","0","1","17","","","15-19 Oct. 2006","","IEEE","IEEE Conference Publications"
"Privacy-Preserving Detection of Sensitive Data Exposure","X. Shu; D. Yao; E. Bertino","Department of Computer Science, Virginia Tech, Blacksburg, VA, USA","IEEE Transactions on Information Forensics and Security","20150407","2015","10","5","1092","1103","Statistics from security firms, research institutions and government organizations show that the number of data-leak instances have grown rapidly in recent years. Among various data-leak cases, human mistakes are one of the main causes of data loss. There exist solutions detecting inadvertent sensitive data leaks caused by human mistakes and to provide alerts for organizations. A common approach is to screen content in storage and transmission for exposed sensitive information. Such an approach usually requires the detection operation to be conducted in secrecy. However, this secrecy requirement is challenging to satisfy in practice, as detection servers may be compromised or outsourced. In this paper, we present a privacy-preserving data-leak detection (DLD) solution to solve the issue where a special set of sensitive data digests is used in detection. The advantage of our method is that it enables the data owner to safely delegate the detection operation to a semihonest provider without revealing the sensitive data to the provider. We describe how Internet service providers can offer their customers DLD as an add-on service with strong privacy guarantees. The evaluation results show that our method can support accurate detection with very small number of false alarms under various data-leak scenarios.","1556-6013;15566013","","","10.1109/TIFS.2015.2398363","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7038200","Data leak;collection intersection;network security;privacy","Data models;Data privacy;Electronic mail;Organizations;Privacy;Protocols;Security","Internet;computer network security;data privacy","DLD;Internet service provider;add-on service;data leak detection;privacy preserving detection;sensitive data exposure","","1","","56","","2015-02-10","May 2015","","IEEE","IEEE Journals & Magazines"
"Supervised Novelty Detection","V. Jumutc; J. A. K. Suykens","K.U.Leuven, ESAT-SCD-SISTA, Kasteelpark Arenberg 10, bus 2446, B-3001 (Heverlee), Belgium","Computational Intelligence and Data Mining (CIDM), 2013 IEEE Symposium on","20130916","2013","","","143","149","In this paper we present a novel approach and a new machine learning problem, called Supervised Novelty Detection (SND). This problem extends the One-Class Support Vector Machine setting for binary classification while keeping the nice properties of novelty detection problem at hand. To tackle this we approach binary classification from a new perspective using two different estimators and a coupled regularization term. It involves optimization over a different objective and a doubled set of Lagrange multipliers. One might consider our approach as a joint estimation of the support for different probability distributions per class where an ultimate goal is to separate classes with the largest possible angle between the normal vectors to the decision hyperplanes in the feature space. Regarding an obvious novelty of our problem we report and compare the results along the lines of standard C-SVM, LS-SVM and One-Class SVM. Experiments have demonstrated promising results that validate the usefulness of the proposed method.","","","","10.1109/CIDM.2013.6597229","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6597229","","Kernel;Optimization;Support vector machines;Training data;Tuning;Vectors","learning (artificial intelligence);optimisation;pattern classification;statistical distributions;support vector machines;vectors","Lagrange multiplier;binary classification;coupled regularization term;decision hyperplane;feature space;joint estimation;machine learning problem;normal vector;optimization;probability distribution;supervised novelty detection;support vector machine","","2","","20","","","16-19 April 2013","","IEEE","IEEE Conference Publications"
"A resource efficient content inspection system for next generation Smart NICs","K. Sabhanatarajan; A. Gordon-Ross","HCS Research Lab, ECE Department, University of Florida, USA","Computer Design, 2008. ICCD 2008. IEEE International Conference on","20090119","2008","","","156","163","The aggregate power consumption of the Internet is increasing at an alarming rate, due in part to the rapid increase in the number of connected edge devices such as desktop PCs. Despite being left idle 75% of the time, 90% of PCs have their power management features disabled. Consequently, much recent research has focused on reducing power consumption of Internet edge devices. One such method for reducing PC power consumption is by augmenting the network interface card (NIC) with enhanced processing capabilities. These capabilities pave the way for green computing by allowing the PC to transition to a low-power sleep state while the NIC responds to network traffic on behalf of the PC - a technique known as power proxying. However, such a Smart-NIC (SNIC) requires specialized low-power, resource-constrained processing, and architectural features in order to realize such capabilities. In this paper, we present a NIC-based packet content inspection system for power proxying and network intrusion detection. We use a novel partitioned TCAM technique that results in 87% energy savings and a 62% lower energy-delay product than existing non-partitioned router-based techniques, thus making our technique highly suitable for SNIC-based deployment.","1063-6404;10636404","978-1-4244-2657-7;9781424426577","978-1-4244-2658-4;9781424426584","10.1109/ICCD.2008.4751855","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4751855","","Aggregates;Computer networks;Energy consumption;Energy management;Inspection;Internet;Network interfaces;Personal communication networks;Sleep;Telecommunication traffic","Internet;content-addressable storage;network interfaces;resource allocation;telecommunication security;telecommunication traffic","Internet edge device;NIC-based packet content inspection system;green computing;low-power sleep state;network interface card;network intrusion detection;network traffic;next generation smart NIC;power management feature;power proxying;resource-constrained processing;ternary content addressable memory","","2","","25","","","12-15 Oct. 2008","","IEEE","IEEE Conference Publications"
"Predictive security model using data mining","S. P. Alampalayam; A. Kumar","Comput. Eng. & Comput. Sci. Dept., Louisville Univ., KY, USA","Global Telecommunications Conference, 2004. GLOBECOM '04. IEEE","20050117","2004","4","","2208","2212 Vol.4","We propose a practical and predictive security model for intrusion detection in a computer networking environment using data mining. This model uses a classification and regression technique for data mining. The goal of the proposed model is to identify significant variables that measure network intrusion from a wealth of raw network data and perform an efficient vulnerability evaluation based on those variables. Analysis of experimental results conducted using the DARPA benchmark dataset shows that the CART (classification and regression trees) approach performs better compared to other models, like random projection and principal component analysis. The results also indicate that the performance of the CART approach in the proposed model is not significantly affected, even as the dimension of the input data decreases, without compromising the prediction success rate.","","0-7803-8794-5;0780387945","","10.1109/GLOCOM.2004.1378401","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1378401","","Classification tree analysis;Computer networks;Computer security;Data mining;Data security;Intrusion detection;Performance analysis;Performance evaluation;Predictive models;Regression tree analysis","computer networks;data mining;security of data;telecommunication security;trees (mathematics)","DARPA benchmark dataset;classification and regression trees;computer network;data mining;intrusion detection;prediction success rate;predictive security model;principal component analysis;random projection;vulnerability evaluation","","4","","10","","","29 Nov.-3 Dec. 2004","","IEEE","IEEE Conference Publications"
"Holding intruders accountable on the Internet","S. Staniford-Chen; L. T. Heberlein","Dept. of Comput. Sci., California Univ., Davis, CA, USA","Security and Privacy, 1995. Proceedings., 1995 IEEE Symposium on","20020806","1995","","","39","49","This paper addresses the problem of tracing intruders who obscure their identity by logging through a chain of multiple machines. After discussing previous approaches to this problem, we introduce thumbprints which are short summaries of the content of a connection. These can be compared to determine whether two connections contain the same text and are therefore likely to be part of the same connection chain. We enumerate the properties a thumbprint needs to have to work in practice, and then define a class of local thumbprints which have the desired properties. A methodology from multivariate statistics called principal component analysis is used to infer the best choice of thumbprinting parameters from data. Currently our thumbprints require 24 bytes per minute per connection. We develop an algorithm to compare these thumbprints which allows for the possibility that data may leak from one time-interval to the next. We present experimental data showing that our scheme works on a local area network","","0-8186-7015-0;0818670150","","10.1109/SECPRI.1995.398921","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=398921","","Assembly;Computer crime;Computer networks;Internet;Law;Legal factors;Local area networks;Personnel;Security;Statistical analysis","Internet;authorisation;information services;security of data;statistical analysis","Internet;algorithm;connection chain;intruder tracing;local area network;multiple machines;multivariate statistics;principal component analysis;thumbprints","","68","35","15","","","8-10 May 1995","08 May 1995-10 May 1995","IEEE","IEEE Conference Publications"
"Analysis of Computer Security Incident Data Using Time Series Models","E. Condon; A. He; M. Cukier","Dept. of Mech. Eng., Univ. of Maryland, College Park, MD","2008 19th International Symposium on Software Reliability Engineering (ISSRE)","20081208","2008","","","77","86","Organizations face increasing challenges in addressing and preventing computer and network security incidents. There are financial consequences from security incidents. These include lost time and resources used during recovery, possible theft of personal and/or proprietary information, and reputational damage that may negatively impact stock prices or reduce consumer confidence in a company. Being able to understand and predict trends in computer and network security incidents can aid an organization with resource allocation for prevention of such incidents, as well as evaluation of mitigation strategies. We look at using time series models with a large set of security incident data. We examine appropriateness of the data for modeling and consider needed transformations. Parameter search and model selection criteria are discussed. Then, forecasts from time series models are compared to forecasts from Non-Homogeneous Poisson Process (NHPP) software reliability growth (SRG) models.","1071-9458;10719458","978-0-7695-3405-3;9780769534053","978-0-7695-3405-3;9780769534053","10.1109/ISSRE.2008.39","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4700312","modeling;reliability growth models;security incidents;time series","Computer networks;Computer security;Computer worms;Data security;Diseases;Information security;Predictive models;Resource management;Software reliability;Time series analysis","computer networks;security of data;telecommunication security;time series","computer security incident data;network security;resource allocation;time series model","","3","","41","","","10-14 Nov. 2008","","IEEE","IEEE Conference Publications"
"Modeling and Simulating System Exploitations through Exploitation Graphs for Security Engineering","Wei Li; R. B. Vaughn","Nova Southeastern University","Proceedings of the 39th Annual Hawaii International Conference on System Sciences (HICSS'06)","20060123","2006","9","","225c","225c","In this paper, we define a process to model and simulate attack scenarios in networked environments. Known system vulnerability data, system configuration data, and vulnerability scanner results are associated to create exploitation graphs (e-graphs) which are used to represent attack scenarios. Experiments carried out in a cluster computing environment showed the usefulness of proposed techniques in providing in-depth attack scenario analyses for security engineering. Critical vulnerabilities can be identified by employing graph algorithms. Several factors were used to measure the difficulty in executing an attack. A cost/benefit analysis was used for more accurate quantitative analysis of attack scenarios. We have also shown how the attack scenario analyses better help deployment of security products and design of network topologies.","1530-1605;15301605","0-7695-2507-5;0769525075","","10.1109/HICSS.2006.353","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1579753","","Computational modeling;Computer networks;Computer science;Computer security;Computer simulation;Cost benefit analysis;Data security;Electronic mail;Information security;Performance analysis","","","","0","","28","","","04-07 Jan. 2006","","IEEE","IEEE Conference Publications"
