"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&ar=7508144,1592309,4283901,5949682,5336926,5284168,1495942,7015756,6725325,7410264,7396401,904991,4454806,924287,5283334,6101278,5161247,7348633,6726350,7375156,4724653,6313798,4195591,6559650,6321728,5708950,1223684,5584522,6599023,6655271,7502990,5224115,7518419,5462152,4633483,1297539,6724321,7232339,6218887,7323780,7322980,7515894,4573059,4370708,6972367,7423666,4939152,6422291,4344938,5484868,5369094,1460505,5678024,5376161,5231545,7518341,7502965,5630819,4052671,4195590,7317717,5169029,7065641,7196515,5584418,4579952,1323596,6688002,7405510,5368480,7165133,1495972,5990284,5631462,5751919,1346374,7000814,1223682,6657288,4529495,6982526",2016/08/03 15:24:33
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&ar=7508144,1592309,4283901,5949682,5336926,5284168,1495942,7015756,6725325,7410264,7396401,904991,4454806,924287,5283334,6101278,5161247,7348633,6726350,7375156,4724653,6313798,4195591,6559650,6321728,5708950,1223684,5584522,6599023,6655271,7502990,5224115,7518419,5462152,4633483,1297539,6724321,7232339,6218887,7323780,7322980,7515894,4573059,4370708,6972367,7423666,4939152,6422291,4344938,5484868,5369094,1460505,5678024,5376161,5231545,7518341,7502965,5630819,4052671,4195590,7317717,5169029,7065641,7196515,5584418,4579952,1323596,6688002,7405510,5368480,7165133,1495972,5990284,5631462,5751919,1346374,7000814,1223682,6657288,4529495,6982526",2016/08/03 15:24:3
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifie
"Towards MapReduce based classification approaches for Intrusion Detection","R. Sharma; P. Sharma; P. Mishra; E. S. Pilli","Department of Computer Science and Engineering, Jayoti Vidyapeeth Women's University, Jaipur, India","2016 6th International Conference - Cloud System and Big Data Engineering (Confluence)","20160709","2016","","","361","367","The term Big Data is explosion of high frequency digital data encountering daily through various sources. Velocity, Volume, Variety, Veracity and Value is causing difficulty for processing, storing and analyzing the Data. Intrusion Detection System in Big Data environment is one of the research issue we addressed. Intrusion Detection is a security technique, used to monitor and analyze network traffic in order to detect network violation. We require a robust Intrusion Detection technique to classify between normal and anomalous data and predict security breaches. In this paper, we have analyzed Machine learning techniques to detect intrusion which can scale up to build such systems. There are many algorithms one can opt for depending upon the need of system. This paper deals with Naive Bayes and K-Nearest Neighbor classifier in MapReduce framework and their performance comparison with WEKA implementations. Our preliminary analysis over NSL-KDD seems to be promising.","","978-1-4673-8202-1;9781467382021","","10.1109/CONFLUENCE.2016.7508144","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7508144","Hadoop;Intrusion Detection;Machine Learning;MapReduce;Nave Bayes and K-Nearest Neighbour;classification algorithms","Big data;Classification algorithms;Computer architecture;Intrusion detection;Machine learning algorithms;Prediction algorithms","Bayes methods;Big Data;computer network security;learning (artificial intelligence);pattern classification;telecommunication traffic","Big Data;K-nearest neighbor classifier;MapReduce based classification;Naive Bayes classifier;anomalous data classification;data analysis;data processing;data storage;high frequency digital data;intrusion detection technique;machine learning techniques;network traffic analysis;network traffic monitoring;normal data classification;security breaches;security technique","","","","","","","14-15 Jan. 2016","","IEEE","IEEE Conference Publications"
"A novel fuzzy anomaly detection algorithm based on artificial immune system","Li Zhi-tang; Li Yao; Wang Li","Comput. Sch., Huazhong Univ. of Sci. & Technol., Hubei, China","Eighth International Conference on High-Performance Computing in Asia-Pacific Region (HPCASIA'05)","20060227","2005","","","5 pp.","486","More and more intrusion detection systems were developed, but most of these systems have very poor accuracy. To overcome this problem, a self-adaptive anomaly detection system was developed using fuzzy detection anomaly algorithm with negative selection of biology. The algorithm improves the accuracy of the detection method and produces a novel method to measure the deviation from the normal that does not need a discrete division of the non-self space. The proposed anomaly detection model is designed as flexible, extendible, and adaptable in order to meet the needs and preferences of network administrators and can be also supplied for IPv6 environment. Different experiments are performed with MIT-DARAP 1999 dataset (Lippmann et al., 2000) and real word data from different sources. The experimental results show that the proposed algorithms provide some advantages over other algorithms","","0-7695-2486-9;0769524869","","10.1109/HPCASIA.2005.7","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1592309","","Artificial immune systems;Biological system modeling;Computational biology;Detection algorithms;Fuzzy systems;Immune system;Information processing;Intrusion detection;Pattern recognition;Protection","artificial life;fuzzy set theory;security of data","IPv6 environment;MIT-DARAP 1999 dataset;anomaly detection algorithm;artificial immune system;fuzzy algorithm;fuzzy detection;intrusion detection system;negative selection;self-adaptive system","","0","","14","","","1-1 July 2005","","IEEE","IEEE Conference Publications"
"Intrusion Detection with Neural Networks and Watermarking Techniques for MANET","A. Mitrokotsa; N. Komninos; C. Douligeris","Department of Informatics, University of Piraeus, 80 Karaoli & Dimitriou Str. Piraeus, 18534, Greece, mitrokat@unipi.gr","IEEE International Conference on Pervasive Services","20070808","2007","","","118","127","In mobile ad hoc networks (MANET) specific Intrusion Detection Systems (IDSs) are needed to safeguard them since traditional intrusion prevention techniques are not sufficient in the protection of MANET. In this paper we present an intrusion detection engine based on neural networks combined with a protection method, which is based on watermarking techniques. We exploit the advantages of information visualization and machine learning techniques in order to achieve intrusion detection. Then, we authenticate the maps produced by the application of the intelligent techniques using a novel combined watermarking embedded method. The performance of the proposed model is evaluated under different traffic conditions, mobility patterns and visualization metrics, showing its high efficiency.","","1-4244-1325-7;1424413257","1-4244-1326-5;1424413265","10.1109/PERSER.2007.4283901","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4283901","","Engines;Intrusion detection;Learning systems;Machine learning;Mobile ad hoc networks;Neural networks;Protection;Traffic control;Visualization;Watermarking","ad hoc networks;learning (artificial intelligence);mobile radio;neural nets;security of data;watermarking","information visualization;intrusion detection engine;machine learning technique;mobile ad hoc network;neural network;watermarking technique","","3","","19","","","15-20 July 2007","","IEEE","IEEE Conference Publications"
"Binary PSO and random forests algorithm for PROBE attacks detection in a network","A. J. Malik; W. Shahzad; F. A. Khan","National University of Computer and Emerging Sciences, A. K. Brohi Road, H-11/4, Islamabad, Pakistan","2011 IEEE Congress of Evolutionary Computation (CEC)","20110714","2011","","","662","668","During the past few years, huge amount of network attacks have increased the requirement of efficient network intrusion detection techniques. Different classification techniques for identifying various attacks have been proposed in the literature. In this paper we propose and implement a hybrid classifier based on binary particle swarm optimization (BPSO) and random forests (RF) algorithm for the classification of PROBE attacks in a network. PSO is an optimization method which has a strong global search capability and is used for fine-tuning of the features whereas RF, a highly accurate classifier, is used here for classification. We demonstrate the performance of our technique using KDD99Cup dataset. We also compare the performance of our proposed classifier with eight other well-known classifiers and the results show that the performance achieved by the proposed classifier is much better than the other approaches.","1089-778X;1089778X","978-1-4244-7834-7;9781424478347","","10.1109/CEC.2011.5949682","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5949682","Intrusion Detection;PROBE attacks;Particle Swarm Optimization;Random Forests","Classification algorithms;Feature extraction;Intrusion detection;Particle swarm optimization;Probes;Radio frequency;Vegetation","computer network security;particle swarm optimisation","PROBE attacks detection;binary PSO;binary particle swarm optimization;classification technique;global search capability;hybrid classifier;network attacks;network intrusion detection;random forest algorithm","","3","1","21","","","5-8 June 2011","","IEEE","IEEE Conference Publications"
"Computational model for trust management in RFID supply chains","M. Mahinderjit-Singh; X. Li","School of Information Technology and Electrical Engineering, The University of Queensland, Australia","2009 IEEE 6th International Conference on Mobile Adhoc and Sensor Systems","20091117","2009","","","734","740","Trust management in an open RFID system environment is a nontrivial problem, where different organizations have different business workflows and operate on different standards and protocols. Open RFID systems can only be effective if the systems can trust each other and be collaborative. The open system environment is also constantly evolving. So the trust and the collaborations need to be constantly maintained to cope with changes. RFID is becoming a ubiquitous computing technology imposing security and privacy threats. Counterfeiting in supply chain management is an attack with cloned and fraud RFID tags in order to gain illegal benefits. In this paper we will extend our previous work on a trust framework and construct a computational model for the trust management. The trust evaluation is built into the process of transactions of the data exchange and authorization in order to facilitate a better data sharing and access control. An example of wine counterfeiting will be presented and we will show how our computational trust model helps in reducing fraud brand of wines in supply chain management (SCM).","2155-6806;21556806","978-1-4244-5113-5;9781424451135","","10.1109/MOBHOC.2009.5336926","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5336926","Computational Trust Management (CTM);RFID;Supply Chain Management (SCM);Trust Management (TM)","Collaborative work;Computational modeling;Counterfeiting;Environmental management;Open systems;Protocols;Radiofrequency identification;Standards organizations;Supply chain management;Supply chains","copy protection;electronic data interchange;radiofrequency identification;security of data;supply chain management;ubiquitous computing;wine industry","RFID supply chains;RFID system;computational trust model;data exchange;fraud brand;organizations;supply chain management;trust management;ubiquitous computing technology;wine counterfeiting","","2","","25","","","12-15 Oct. 2009","","IEEE","IEEE Conference Publications"
"Finding the Needle: Suppression of False Alarms in Large Intrusion Detection Data Sets","J. J. Treinen; R. Thurimella","Colorado Res. Inst. for Security & Privacy, Univ. of Denver, Denver, CO, USA","Computational Science and Engineering, 2009. CSE '09. International Conference on","20091009","2009","2","","237","244","Managed security service providers (MSSPs) must manage and monitor thousands of intrusion detection sensors. The sensors often vary by manufacturer and software version, making the problem of creating generalized tools to separate true attacks from false positives particularly difficult. Often times it is useful from an operations perspective to know if a particular sensor is acting out of character. We propose a solution to this problem using anomaly detection techniques over the set of alarms produced by the sensors. Similar to the manner in which an anomaly based sensor detects deviations from normal user or system behavior, we establish the baseline behavior of a sensor and detect deviations from this baseline. We show that departures from this profile by a sensor have a high probability of being artifacts of genuine attacks. We evaluate a set of time-based Markovian heuristics against a simple compression algorithm and show that we are able to detect the existence of all attacks which were manually identified by security personnel, drastically reduce the number of false positives, and identify attacks which were overlooked during manual evaluation.","","978-1-4244-5334-4;9781424453344","978-0-7695-3823-5;9780769538235","10.1109/CSE.2009.149","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5284168","anomaly detection;hidden markov model;intrusion detection;markov chain","Conference management;Data engineering;Data privacy;Data security;Databases;Hidden Markov models;Intrusion detection;Monitoring;Needles;Sensor systems","data compression;hidden Markov models;security of data","anomaly detection techniques;compression algorithm;deviation detection;false alarm suppression;generalized tools;hidden Markov model;intrusion detection data sets;intrusion detection sensors;managed security service providers;software version;time-based Markovian heuristics","","0","","28","","","29-31 Aug. 2009","","IEEE","IEEE Conference Publications"
"Learning classifiers for misuse and anomaly detection using a bag of system calls representation","Dae-Ki Kang; D. Fuller; V. Honavar","Dept. of Comput. Sci., Iowa State Univ., Ames, IA, USA","Proceedings from the Sixth Annual IEEE SMC Information Assurance Workshop","20050815","2005","","","118","125","In this paper, we propose a bag of system calls representation for intrusion detection in system call sequences and describe misuse and anomaly detection results with standard machine learning techniques on University of New Mexico (UNM) and MIT Lincoln Lab (MIT LL) system call sequences with the proposed representation. With the feature representation as input, we compare the performance of several machine learning techniques for misuse detection and show experimental results on anomaly detection. The results show that standard machine learning and clustering techniques on simple bag of system calls representation of system call sequences is effective and often performs better than those approaches that use foreign contiguous subsequences in detecting intrusive behaviors of compromised processes.","","0-7803-9290-6;0780392906","","10.1109/IAW.2005.1495942","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1495942","","Availability;Communication networks;Computer networks;Data mining;Databases;Intrusion detection;Machine learning;Monitoring;Telecommunication traffic;Traffic control","computer networks;learning (artificial intelligence);pattern classification;pattern clustering;security of data","anomaly detection;bag of system calls representation;feature representation;intrusion detection system;intrusive behavior;learning classifiers;machine learning;misuse detection;pattern clustering;system call sequences","","16","","25","","","15-17 June 2005","","IEEE","IEEE Conference Publications"
"Breach detection system testing methodology","Z. Balazs; S. Miladinov; C. Pickard","MRG Effitas Budapest, Hungary","Anti-malware Testing Research (WATeR), 2014 Second Workshop on","20150122","2014","","","1","4","Traditional antivirus systems, firewalls, intrusion detection or prevention systems, mail and web proxies have been bypassed by determined attackers for a long time. In order to fight these new threats, vendors started to develop new systems, called breach detection systems. Because the end-goal of these systems is detection, those can be considered as next generation intrusion detection systems. In order to measure the effectiveness of these breach detection systems, we propose a new type of test methodology. Our approach is based on that advanced attackers who can bypass the existing layers of security have the time, skill and resources to create unknown malware, with advanced bypass capabilities. We will evaluate a hybrid approach, where the IP / domain of the attacker C&C server is simulated in one case, and real in another case. Our approach uses only RAT (Remote Admin Tools / Remote Access Trojans) functionality, using both in-the-wild and custom developed RAT.","","","","10.1109/WATeR.2014.7015756","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7015756","Advanced persistent threat;Breach detection system;test methodology","Browsers;Home appliances;IP networks;Malware;Servers;Testing;Uniform resource locators","program testing;security of data","RAT functionality;antivirus systems;breach detection system;firewalls;intrusion detection system;intrusion prevention system;remote access trojans;remote admin tools;security layers;system testing methodology","","1","","7","","","23-23 Oct. 2014","","IEEE","IEEE Conference Publications"
