"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28.QT.Energy+Consumption.QT.+OR+.QT.Power+Consumption.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29%29",2016/08/04 11:46:15,"(((Energy Consumption) OR Power Consumption) AND Intrusion Detection System)",IEEE
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"TERP: A Trust and Energy Aware Routing Protocol for Wireless Sensor Network","A. Ahmed; K. A. Bakar; M. I. Channa; K. Haseeb; A. W. Khan","Faculty of Computing, Universiti Teknologi Malaysia, Skudai, Malaysia","IEEE Sensors Journal","20151007","2015","15","12","6962","6972","In most of the applications of wireless sensor networks (WSNs), nodes operate in unattended environments and are, therefore, vulnerable to variety of attacks. Due to dynamic and unpredictable changing behavior of nodes, the reliable data delivery is a challenging task. For WSNs, the traditional cryptographic and authentication-based solutions cannot be adopted due to their associated cost and incapability to counter nodes misbehavior attacks. Recently, trust-based solutions have proved to be more effective to address nodes' misbehavior attacks. However, the existing solutions give rise to high energy consumption and control overheads in pursuit of trust estimation and network-wide dissemination, which not only adds to network congestion but also undermines network lifetime. In this paper, we present a trust and energy aware routing protocol (TERP) that makes use of a distributed trust model for the detection and isolation of misbehaving and faulty nodes. Moreover, TERP incorporates a composite routing function that encompasses trust, residual-energy, and hopcounts of neighbor nodes in making routing decisions. This multi-facet routing strategy helps to balance out energy consumption among trusted nodes, while routing data using shorter paths. The simulation results demonstrate reduced energy consumption, improved throughout and network lifetime of TERP when compared with the existing work.","1530-437X;1530437X","","","10.1109/JSEN.2015.2468576","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7194748","Node misbehavior;energy efficiency;node misbehavior;trust;wireless sensor networks","Ad hoc networks;Energy consumption;Estimation;Routing;Routing protocols;Sensors;Wireless sensor networks","cryptographic protocols;routing protocols;telecommunication network management;telecommunication security;trusted computing;wireless sensor networks","TERP;address node misbehaviour attack;composite routing function;control overhead;counter node misbehavior attack;distributed trust model;energy consumption;faulty node detection;faulty node isolation;misbehaving node detection;multifacet routing strategy;neighbour node hopcount;network congestion;network lifetime;network wide dissemination;residual energy;throughput improvement;trust and energy aware routing protocol;trust estimation;wireless sensor network","","0","","23","","2015-08-13","Dec. 2015","","IEEE","IEEE Journals & Magazines"
"Energy-aware adaptive security management for wireless sensor networks","E. Nigussie; A. Hakkala; S. Virtanen; J. Isoaho","Department of Information Technology, University of Turku, 20014 Turku, Finland","World of Wireless, Mobile and Multimedia Networks (WoWMoM), 2014 IEEE 15th International Symposium on a","20141009","2014","","","1","4","We present a work in progress of an adaptive security management scheme for wireless sensor networks. The unique characteristics of these networks place great demands on their design and operation in terms of resource and security management. Resource and security adaptability achieved through self- and context-awareness will take the feasibility of the networks to a new level. The scheme has self- and context-awareness in addition to a holistic view of security services at each layer of the communication stack. It uses distributed agents and intrusion detection systems to monitor the security threats and then dynamically adapts its security level by jointly considering several dimensions. This translates into optimal security-energy under a given resource and context. The key dimensions are energy budget, computing power and memory size of nodes, location-based security threat levels, data coherence, and data lifetime. Trust management is used to test the integrity of untrusted nodes which further assist the adaptation decision.","","","","10.1109/WoWMoM.2014.6919023","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6919023","","Coherence;Decision making;Encryption;Monitoring;Protocols;Wireless sensor networks","telecommunication power management;telecommunication security;wireless sensor networks","context awareness;decision adaptation;energy aware adaptive security management;optimal security-energy;resource adaptability;security adaptability;self awareness;wireless sensor networks","","0","","8","","","19-19 June 2014","","IEEE","IEEE Conference Publications"
"PIKE: peer intermediaries for key establishment in sensor networks","Haowen Chan; A. Perrig","Carnegie Mellon Univ., Pittsburgh, PA, USA","Proceedings IEEE 24th Annual Joint Conference of the IEEE Computer and Communications Societies.","20050822","2005","1","","524","535 vol. 1","The establishment of shared cryptographic keys between communicating neighbor nodes in sensor networks is a challenging problem due to the unsuitability of asymmetric key cryptography for these resource-constrained platforms. A range of symmetric-key distribution protocols exist, but these protocols do not scale effectively to large sensor networks. For a given level of security, each protocol incurs a linearly increasing overhead in either communication cost per node or memory per node. We describe peer intermediaries for key establishment (PIKE), a class of key-establishment protocols that involves using one or more sensor nodes as a trusted intermediary to facilitate key establishment. We show that, unlike existing key-establishment protocols, both the communication and memory overheads of PIKE protocols scale sub-linearly (O(√n)) with the number of nodes in the network yet achieving higher security against node compromise than other protocols.","0743-166X;0743166X","0-7803-8968-9;0780389689","","10.1109/INFCOM.2005.1497920","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1497920","","Base stations;Batteries;Computer architecture;Costs;Cryptographic protocols;Elliptic curve cryptography;Energy consumption;Intelligent networks;Peer to peer computing;Sensor phenomena and characterization","cryptography;peer-to-peer computing;protocols;telecommunication security;wireless sensor networks","PIKE;asymmetric key cryptography;network security;peer intermediaries for key establishment protocol;peer intermediary;resource-constrained platform;sensor network;symmetric-key distribution protocol","","76","3","20","","","13-17 March 2005","","IEEE","IEEE Conference Publications"
"A Survey of Intrusion Detection Systems in Wireless Sensor Networks","I. Butun; S. D. Morgera; R. Sankar","Dept. of Electr. Eng., Univ. of South Florida, Tampa, FL, USA","IEEE Communications Surveys & Tutorials","20140207","2014","16","1","266","282","Wireless Sensor Networking is one of the most promising technologies that have applications ranging from health care to tactical military. Although Wireless Sensor Networks (WSNs) have appealing features (e.g., low installation cost, unattended network operation), due to the lack of a physical line of defense (i.e., there are no gateways or switches to monitor the information flow), the security of such networks is a big concern, especially for the applications where confidentiality has prime importance. Therefore, in order to operate WSNs in a secure way, any kind of intrusions should be detected before attackers can harm the network (i.e., sensor nodes) and/or information destination (i.e., data sink or base station). In this article, a survey of the state-of-the-art in Intrusion Detection Systems (IDSs) that are proposed for WSNs is presented. Firstly, detailed information about IDSs is provided. Secondly, a brief survey of IDSs proposed for Mobile Ad-Hoc Networks (MANETs) is presented and applicability of those systems to WSNs are discussed. Thirdly, IDSs proposed for WSNs are presented. This is followed by the analysis and comparison of each scheme along with their advantages and disadvantages. Finally, guidelines on IDSs that are potentially applicable to WSNs are provided. Our survey is concluded by highlighting open research issues in the field.","1553-877X;1553877X","","","10.1109/SURV.2013.050113.00191","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6517052","IDS;MANET;WSN;intrusion detection;mobile ad hoc network;security;wireless sensor network","Ad hoc networks;Intrusion detection;Mobile agents;Monitoring;Unified modeling language;Wireless sensor networks","mobile ad hoc networks;telecommunication security;wireless sensor networks","IDS guidelines;MANET;intrusion detection systems;mobile ad hoc network;research issues;wireless sensor networks","","21","","74","","2013-05-17","First Quarter 2014","","IEEE","IEEE Journals & Magazines"
"Performance measurement in MANET","S. K. Arora; M. Y. Mantoo; M. Chishti; N. Chaudhary","Faculty of ECE, Lovely Professional University, India","Confluence The Next Generation Information Technology Summit (Confluence), 2014 5th International Conference -","20141110","2014","","","406","410","Mobile Adhoc Network (MANET) is vulnerable to many security issues and network attacks. We presented the comparison of three different routing protocols (AODV, DSR and DSDV) on the basis of different parameters. In this paper, black hole attack is implemented on AODV protocol which reduce the performance parameters of network by exploiting the packet sequence number included in any packet header. The proposed mechanism of Intrusion Detection System (IDS) is also implemented to enhance the network performance. Simulation results using Network Simulator 2(NS2) shows that, in a high mobility environment, malicious node could be detected and the packet delivery ratio has been improved.","","978-1-4799-4237-4;9781479942374","","10.1109/CONFLUENCE.2014.6949297","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6949297","AODV;DSR;Mobile adhoc network (MANET);Packet delivery ratio (PDR);intrusion detection system (IDS);malicious node;normalized routing load (NRL);throughput","Intrusion detection;Mobile ad hoc networks;Routing;Routing protocols;Throughput","mobile ad hoc networks;routing protocols;security of data;telecommunication security","2NS2;AODV protocol;DSDV;DSR;IDS;MANET;intrusion detection system;mobile adhoc network;mobility environment;network attacks;network simulator;packet delivery ratio;packet header;performance measurement;performance parameters;routing protocols;security issues","","0","","15","","","25-26 Sept. 2014","","IEEE","IEEE Conference Publications"
"Low-power bloom filter architecture for deep packet inspection","T. Kocak; I. Kaya","Sch. of Electr. Eng. & Comput. Sci., Univ. of Central Florida, Orlando, FL, USA","IEEE Communications Letters","20060619","2006","10","3","210","212","Bloom filters are frequently used to identify malicious content like viruses in high speed networks. However, architectures proposed to implement bloom filters are not power efficient. In this letter, we propose a new bloom filter architecture that exploits the well-known pipelining technique. Through power analysis we show that pipelining can reduce the power consumption of bloom filters up to 90%, which leads to the energy-efficient implementation of intrusion detection systems.","1089-7798;10897798","","","10.1109/LCOMM.2006.1603387","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1603387","","Databases;Energy consumption;Energy efficiency;Information filtering;Information filters;Inspection;Intrusion detection;Matched filters;Pipeline processing;Viruses (medical)","information filters;pipeline processing;security of data","deep packet inspection;high speed network;intrusion detection system;low-power bloom filter architecture;malicious content identification;pipelining technique;power consumption","","17","","7","","","Mar 2006","","IEEE","IEEE Journals & Magazines"
"Using Battery Constraints within Mobile Hosts to Improve Network Security","G. A. Jacoby; R. Marchany; N. J. Davis","US Military Academy","IEEE Security & Privacy","20060925","2006","4","5","40","49","Distributed battery-based intrusion detection (B-BID) is an efficacious early-warning system that can complement existing intrusion detection systems (IDSs) by alerting users to protect their mobile devices as well as network administrators to protect their corporate networks by correlating device power consumption with application and attack activity data","1540-7993;15407993","","","10.1109/MSP.2006.139","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1704780","IDS;WLAN;battery;forensic;host-based;mobile;peripheral devices;security;wireless","Batteries;Communication system security;Computer security;Data security;Information security;Intrusion detection;Personal digital assistants;Power distribution;Power system security;Wireless sensor networks","cells (electric);mobile computing;security of data;telecommunication security","attack activity data;corporate network protection;device power consumption;distributed battery-based intrusion detection;early-warning system;intrusion detection systems;mobile device protection;mobile host batteries;network security","","6","","12","","","Sept.-Oct. 2006","","IEEE","IEEE Journals & Magazines"
"Electricity Theft Detection in AMI Using Customers’ Consumption Patterns","P. Jokar; N. Arianpoo; V. C. M. Leung","Dept. of Electr. & Comput. Eng., Univ. of British Columbia, Vancouver, BC, Canada","IEEE Transactions on Smart Grid","20151221","2016","7","1","216","226","As one of the key components of the smart grid, advanced metering infrastructure brings many potential advantages such as load management and demand response. However, computerizing the metering system also introduces numerous new vectors for energy theft. In this paper, we present a novel consumption pattern-based energy theft detector, which leverages the predictability property of customers' normal and malicious consumption patterns. Using distribution transformer meters, areas with a high probability of energy theft are short listed, and by monitoring abnormalities in consumption patterns, suspicious customers are identified. Application of appropriate classification and clustering techniques, as well as concurrent use of transformer meters and anomaly detectors, make the algorithm robust against nonmalicious changes in usage pattern, and provide a high and adjustable performance with a low-sampling rate. Therefore, the proposed method does not invade customers' privacy. Extensive experiments on a real dataset of 5000 customers show a high performance for the proposed method.","1949-3053;19493053","","","10.1109/TSG.2015.2425222","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7108042","Advanced metering infrastructure (AMI);energy theft;smart grid","Accuracy;Databases;Detectors;Monitoring;Smart meters;Support vector machines;Training","metering;power consumption;power meters;power system protection;power transformer protection;smart power grids","AMI;advanced metering infrastructure;anomaly detector;consumption pattern-based energy theft detector;customer consumption patterns;customer malicious consumption pattern predictability property;customer normal consumption pattern predictability property;distribution transformer meter;electricity theft detection;smart grid","","1","","33","","2015-05-14","Jan. 2016","","IEEE","IEEE Journals & Magazines"
"Scaling the performance of network intrusion detection with many-core processors","J. Nam; M. Jamshed; B. Choi; D. Han; K. Park","Graduate School of Information Security","Architectures for Networking and Communications Systems (ANCS), 2015 ACM/IEEE Symposium on","20150521","2015","","","191","192","In this work, we present a highly scalable network intrusion detection system on many-core processors. To maximize the NIDS performance, we take advantage of the underlying hardware and adhere to four design principles: shared-nothing architecture, computation offloading, lightweight data structure, and flow offloading. Through the experimental results, we find that our design choices can significantly improve the NIDS performance (79 Gbps with 1514B synthetic packets). We believe that our design decisions can be easily extended to other many-core processors and programmable NICs.","","","","10.1109/ANCS.2015.7110135","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7110135","many-core;network intrusion detection system;of-floading;parallel","Data structures;Engines;Hardware;Intrusion detection;Pattern matching;Program processors","data structures;multiprocessing systems;security of data","NIDS performance;flow offloading;lightweight data structure;many-core processors;network intrusion detection;programmable NIC;shared-nothing architecture","","1","","4","","","7-8 May 2015","","IEEE","IEEE Conference Publications"
"Index","H. Sarbazi-Azad; A. Y. Zomaya","","Large Scale Network-Centric Distributed Systems","20131205","2014","","","","","No abstract.","","9781118640708","","10.1002/9781118640708.index","http://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=6674289.pdf&bkn=6670810&pdfType=chapter","","","","","","","","","2014","","","","Wiley-IEEE Press","Wiley-IEEE Press eBook Chapters"
