"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28.QT.CPU+Usage.QT.%29+OR+.QT.Processor+Usage.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29%29",2016/08/04 11:44:28,"(((CPU Usage) OR Processor Usage) AND Intrusion Detection System)",IEEE
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"An extraction of failure modes for drug manufacturing computerized system","M. Takahashi; R. Nanba","Draduate School of Medical and Engineering, University of Yamanashi, Yamanashi, Japan","SICE Annual Conference (SICE), 2011 Proceedings of","20111027","2011","","","2540","2545","This paper shows common failure modes that drug manufacturing computerized system (DMCS) has. Since drugs are manufactured in facilities controlled by DMCS in these days, DMCS's functions and performance must be adequate and safe. Failure Mode and Effects Analysis (FMEA) is used to investigate the safety. To conduct FMEA effectively, it is important to enumerate all failure modes. But it is difficult because of the differences of ability of each engineer. To solve this problem, we grouped failure modes in existing FMEA results by type. And we develop a list that consists of common failure modes, failures and countermeasures. Using this list, we can conduct FMEA exhaustively.","pending","978-1-4577-0714-8;9781457707148","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6060407","Computerized system;Drug manufacturing;Failure mode and effects analysis","Drugs;Loss measurement;Measurement uncertainty;Monte Carlo methods;Risk management;Software;Software measurement","computerised instrumentation;drugs;failure analysis;production engineering computing","DMCS;FMEA;drug manufacturing computerized system;failure mode and effect analysis;failure mode extraction","","0","","7","","","13-18 Sept. 2011","","IEEE","IEEE Conference Publications"
"Feature Selection in the Corrected KDD-dataset","S. Zargari; D. Voorhis","Sch. of Comput. & Math., Univ. of Derby, Derby, UK","Emerging Intelligent Data and Web Technologies (EIDWT), 2012 Third International Conference on","20121120","2012","","","174","180","Automation in anomaly detection, which deals with detecting of unknown attacks in the network traffic, has been the focus of research by using data mining techniques in recent years. This study attempts to explore significant features (curse of high dimensionality) in intrusion detection in order to be applied in data mining techniques. Therefore, the existing irrelevant and redundant features are deleted from the dataset resulting faster training and testing process, less resource consumption as well as maintaining high detection rates. The findings were tested on the NSL-KDD datasets (anomaly intrusion datasets) in order to confirm the outcomes.","","978-1-4673-1986-7;9781467319867","","10.1109/EIDWT.2012.10","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6354738","anomaly detection;data mining;feature selction;machine learning","Computer crime;Data mining;Educational institutions;Feature extraction;Intrusion detection;Probes;Training","data mining;security of data","NSL-KDD datasets;corrected KDD-dataset;data mining techniques;feature selection;intrusion detection;network traffic","","1","","21","","","19-21 Sept. 2012","","IEEE","IEEE Conference Publications"
"A software platform for testing intrusion detection systems","N. Puketza; M. Chung; R. A. Olsson; B. Mukherjee","California Univ., Davis, CA, USA","IEEE Software","20020806","1997","14","5","43","51","Intrusion detection systems monitor system activities to identify unauthorized use, misuse, or abuse. IDSs offer a defense when your system's vulnerabilities are exploited and do so without requiring you to replace expensive equipment. The steady growth in research on intrusion detection systems has created a demand for tools and methods to test their effectiveness. The authors have developed a software platform that both simulates intrusions and supports their systematic methodology for IDS testing","0740-7459;07407459","","","10.1109/52.605930","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=605930","","Application software;Computational modeling;Computer simulation;Databases;Design methodology;Intrusion detection;Monitoring;Software testing;Stress;System testing;Workstations","computer crime;data privacy;program testing;security of data;system monitoring","IDS testing;computer misuse;intrusion detection systems;methodology;research;software platform;software testing;software tools;system abuse;system monitoring;unauthorized use","","17","4","12","","","Sep/Oct 1997","","IEEE","IEEE Journals & Magazines"
"Error Detection","E. Bauer","","Design for Reliability:Information and Computer-Based Systems","20110321","2010","","","","","This chapter contains sections titled: <br> Detecting Field-Replaceable Unit (FRU) Hardware Faults <br> Detecting Programming and Data Faults <br> Detecting Redundancy Failures <br> Detecting Power Failures <br> Detecting Networking Failures <br> Detecting Application Protocol Failures <br> Detecting Procedural Failures <br> Problems <br> For Further Study","","9781118075104","","10.1002/9781118075104.ch6","http://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=5733157.pdf&bkn=5732779&pdfType=chapter","","","","","","","","","2010","","","","Wiley-IEEE Press","Wiley-IEEE Press eBook Chapters"
"Scaling the performance of network intrusion detection with many-core processors","J. Nam; M. Jamshed; B. Choi; D. Han; K. Park","Graduate School of Information Security","Architectures for Networking and Communications Systems (ANCS), 2015 ACM/IEEE Symposium on","20150521","2015","","","191","192","In this work, we present a highly scalable network intrusion detection system on many-core processors. To maximize the NIDS performance, we take advantage of the underlying hardware and adhere to four design principles: shared-nothing architecture, computation offloading, lightweight data structure, and flow offloading. Through the experimental results, we find that our design choices can significantly improve the NIDS performance (79 Gbps with 1514B synthetic packets). We believe that our design decisions can be easily extended to other many-core processors and programmable NICs.","","","","10.1109/ANCS.2015.7110135","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7110135","many-core;network intrusion detection system;of-floading;parallel","Data structures;Engines;Hardware;Intrusion detection;Pattern matching;Program processors","data structures;multiprocessing systems;security of data","NIDS performance;flow offloading;lightweight data structure;many-core processors;network intrusion detection;programmable NIC;shared-nothing architecture","","1","","4","","","7-8 May 2015","","IEEE","IEEE Conference Publications"
"Index","H. Sarbazi-Azad; A. Y. Zomaya","","Large Scale Network-Centric Distributed Systems","20131205","2014","","","","","No abstract.","","9781118640708","","10.1002/9781118640708.index","http://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=6674289.pdf&bkn=6670810&pdfType=chapter","","","","","","","","","2014","","","","Wiley-IEEE Press","Wiley-IEEE Press eBook Chapters"
"A game theoretic approach to control IDS sensitivity","N. Mozafari; M. Khodayari; M. K. Farhadi; A. Hamzeh","School of Electrical and Computer Engineering, Shiraz University, Shiraz, Iran","Information and Knowledge Technology (IKT), 2013 5th Conference on","20131007","2013","","","77","81","Nowadays, computer networks especially the Internet as a prime example, become a separable part of our social lives. The security is the most important concepts that must be considered in computer networks. Intrusion Detection System (IDS) is a security tool that enhances the information security paradigm beyond traditional reactive and protective network security. It monitors and analyses the received packets in network systems and signs the security problems. Controlling the degree of security is one of the most challenges with IDS. An excessive increase in the IDS sensitivity may cause increasing the system costs and difficulties in accessing to the system. On the other hand, an excessive reduction in the IDS sensitivity may cause damages to system duo to not detecting most of the attacks. Making balance between these tradeoffs is a problem that the system administrator is unable to handle. In this paper, we propose a game theoretic approach to address the IDS sensitivity degree in the system. Our approach in comparison to the previous methods which model the behavior of the attacker and IDS, models the system and attacker as two-players, noncooperative game. We conduct our model on the famous data set in security area and obtained result is promising.","","978-1-4673-6489-8;9781467364898","","10.1109/IKT.2013.6620042","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6620042","Nash Equilibrium;attacker cost;intrusion detection system;sensor cost","Ad hoc networks;Educational institutions;Games;Intrusion detection;Nash equilibrium;Sensitivity","computer network security;game theory","IDS behavior;IDS sensitivity control;IDS sensitivity degree;IDS sensitivity reduction;Internet;attacker behavior;attacker modelling;computer networks;game theoretic approach;information security paradigm enhancement;intrusion detection system;received packet analysis;received packet monitoring;security tool;social lives;system administrator;system costs;system modelling;two-player-noncooperative game","","0","","12","","","28-30 May 2013","","IEEE","IEEE Conference Publications"
"Effects of Wi-Fi and Bluetooth Battery Exhaustion Attacks on Mobile Devices","B. R. Moyers; J. P. Dunning; R. C. Marchany; J. G. Tront","Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA","System Sciences (HICSS), 2010 43rd Hawaii International Conference on","20100311","2010","","","1","9","This paper provides insight into the ramifications of battery exhaustion Denial of Service (DoS) attacks on battery-powered mobile devices. Several IEEE 802.11 Wi-Fi, IEEE 802.15.1 Bluetooth, and blended attacks are studied to understand their effects on device battery lifetimes. In the worst case, DoS attacks against mobile devices were found to accelerate battery depletion as much as 18.5%. Also presented in this work is a hybrid Intrusion Detection System (IDS) designed to thwart this form of malicious activity; Multi-Vector Portable Intrusion Detection System (MVP-IDS). MVP-IDS combines host-based device instantaneous current (IC) monitoring with attack traffic signaturing modules.","1530-1605;15301605","978-1-4244-5509-6;9781424455096","978-1-4244-5510-2;9781424455102","10.1109/HICSS.2010.170","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5428422","","Batteries;Bluetooth;Broadcasting;Communication system security;Dispatching;Intrusion detection;Mobile ad hoc networks;Mobile communication;Network topology;Peer to peer computing","Bluetooth;mobile communication;safety systems;wireless LAN","Bluetooth;DoS;Wi-Fi;battery exhaustion;battery-powered mobile devices;denial of service attacks;instantaneous current monitoring;multivector portable intrusion detection system","","3","","12","","","5-8 Jan. 2010","","IEEE","IEEE Conference Publications"
"Security Attack Detection using Genetic Algorithm (GA) in Policy Based Network","A. B. M. A. A. Islam; M. A. Azad; M. K. Alam; M. S. Alam","Department of Computer Science & Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh, E-mail: razi","2007 International Conference on Information and Communication Technology","20070625","2007","","","341","347","We present a modern approach of detecting the computer network security attacks (commonly termed as ""hacks"") by using an artificial intelligence method known as a genetic algorithm, which is a variant of stochastic beam search, which can be applied to a Policy Based Network. For this experiment, we develop the corresponding form of genetic algorithm and the form of fitness function to detect security attacks. Then we test the algorithm by a simulation program in TC (Turbo C) to gauge its effectiveness and the side effects of its execution. Finally, we give the indication for the necessary change in policy framework to deploy the functionality.","","984-32-3394-8;9843233948","","10.1109/ICICT.2007.375407","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4261430","Accuracy factor;Crossover;False Negative Count;False Positive Count;Fitness function;Genetic Algorithm;Mutation;Policy framework;Policy rules;Population","Computer hacking;Computer networks;Computer science;Computer security;Convergence;Electronic mail;Genetic algorithms;Genetic engineering;Genetic mutations;Information security","computer networks;genetic algorithms;search problems;security of data;stochastic processes;telecommunication security","artificial intelligence;computer network;genetic algorithm;policy based network;security attack detection;simulation program;stochastic beam search","","2","","12","","","7-9 March 2007","","IEEE","IEEE Conference Publications"
"Scalable detection of web malware on smartphones","H. Adas; S. Shetty; W. Tayib","College of Engineering, Tennessee State University, Nashville, TN","Information and Communication Technology Research (ICTRC), 2015 International Conference on","20150716","2015","","","198","201","Recently, the smartphone industry has seen tremendous growth due to the widespread adoption of devices based on Google's Android and Apple's IOS platforms. The worldwide market penetration of Android based smartphones has attracted the attention of malware developers. This paper presents a scalable classifier to detect web malware on Android smartphones. Limited computational and energy resources on smartphones make it infeasible to deploy rich featured security mechanisms. We extracted network and URL inspection features from over two million mobile URLs. A scalable classier is applied to the measured features and implemented on MapReduce/Hadoop based cloud computing platform. Performance evaluation of the system has shown that 99.8% accuracy is achieved with a response time of 120 ms.","","","","10.1109/ICTRC.2015.7156456","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7156456","","Androids;Feature extraction;Malware;Mobile communication;Smart phones;Uniform resource locators","cloud computing;data handling;invasive software;mobile computing;operating systems (computers);parallel processing;smart phones;software performance evaluation","Android smart phone;Apple IOS platform;Google Android;Hadoop;MapReduce;Web malware detection;cloud computing platform;system performance evaluation","","0","","18","","","17-19 May 2015","","IEEE","IEEE Conference Publications"
"Bloom filter based intrusion detection for smart grid SCADA","S. Parthasarathy; D. Kundur","Dept. of Electr. & Comput. Eng., Texas A&M Univ., College Station, TX, USA","Electrical & Computer Engineering (CCECE), 2012 25th IEEE Canadian Conference on","20121022","2012","","","1","6","In this paper, we propose a distributed, light-weight and fast intrusion detection approach suitable for implementation across multiple resource constrained SCADA field devices in the smart grid. The predictable and regular nature of the SCADA communication patterns is exploited to detect intrusions in the field devices. The novel approach is anomaly-based, uses the Bloom filter data structure for memory efficiency and incorporates the physical state of the power system for greater robustness. The proposed method is tested using MODBUS protocol used for communication between a SCADA server and field devices in a SCADA system.","0840-7789;08407789","978-1-4673-1431-2;9781467314312","978-1-4673-1432-9;9781467314329","10.1109/CCECE.2012.6334816","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6334816","Bloom filter;intrusion detection;smart grid SCADA IDS","Coils;Intrusion detection;Power system stability;Protocols;Servers;Training","SCADA systems;field buses;filtering theory;power system protection;protocols;security of data;smart power grids","MODBUS protocol;SCADA communication pattern;SCADA field device;data structure;distributed intrusion detection approach;memory efficiency;power system physical state;smart grid","","5","","9","","","April 29 2012-May 2 2012","","IEEE","IEEE Conference Publications"
