"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28%28.QT.Computational+Time.QT.%29+OR+.QT.Execution+Time.QT.%29+OR+.QT.Running+Time.QT.%29+OR+.QT.Processing+Time.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29%29",2016/08/04 11:41:45,"(((((Computational Time) OR Execution Time) OR Running Time) OR Processing Time) AND Intrusion Detection System)",IEEE
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Parallel Passive Testing of System Protocols - Towards a Real-time Exhaustive Approach","B. Alcalde; A. Cavalli","GET-INT Evry, France","International Conference on Networking, International Conference on Systems and International Conference on Mobile Communications and Learning Technologies (ICNICONSMCL'06)","20060508","2006","","","42","42","Passive testing has proved to be a powerful technique for protocol system fault detection by observing its input/output behaviors yet without interrupting its normal operations. Various techniques for passive testing on Extended Finite State Machine (EFSM) exist such as by invariants and by interval determination, which are not very costy in terms of complexity but that also dont detect every errors. To improve the fault detection capabilities a backward checking method was proposed. It analyzes in a backward fashion the input/output trace from passive testing and its past. It effectively checks both the control and data portion of a protocol system and is able to detect every errors, but with a higher complexity. The purpose of the present paper is then to propose possible parallel algorithms and architectures to improve the backward passive testing approach by narrowing down its maximal time complexity and transforming it into the first real-time exhaustive passive testing approach. We present the backward algorithm and its parallel versions, study their complexity, and report results on various communication and routing protocols.","","0-7695-2552-0;0769525520","","10.1109/ICNICONSMCL.2006.167","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1628288","","Automata;Concurrent computing;Control systems;Error correction;Fault detection;Parallel algorithms;Performance evaluation;Real time systems;Routing protocols;System testing","","","","0","","14","","","23-29 April 2006","","IEEE","IEEE Conference Publications"
"Analysis of Timing Requirements for Intrusion Detection System","J. Magott; P. Skrobanek; M. Woda","Wroclaw University of Technology, Wroclaw, Poland","Dependability of Computer Systems, 2007. DepCoS-RELCOMEX '07. 2nd International Conference on","20070716","2007","","","278","285","An intrusion detection system (IDS) is a collection of sensors (often in the form of mobile agents) that collect data (security related events), classify them and trigger an alarm when unwanted manipulations to regular network behaviour is detected. Activities of attackers and network are time dependent. In the paper, fault trees with time dependencies (FTTD) are used to describe intrusions with emphasis put on timing properties. In FTTD, events and gates are characterized by time parameters. FTTD are used in verification whether the IDS reacts sufficiently quick on the intrusions. As an example, ""the victim trusts the intruder"" attack is analysed.","","0-7695-2850-3;0769528503","","10.1109/DEPCOS-RELCOMEX.2007.10","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4272920","","Automatic control;Computer science;Fault trees;Hazards;Intrusion detection;Logic;Mobile robots;Timing;Tree graphs;US Department of Transportation","fault trees;security of data;software reliability","attackers;fault trees;intrusion detection system;time dependencies;timing requirements","","1","","17","","","14-16 June 2007","","IEEE","IEEE Conference Publications"
"Feature Selection in the Corrected KDD-dataset","S. Zargari; D. Voorhis","Sch. of Comput. & Math., Univ. of Derby, Derby, UK","Emerging Intelligent Data and Web Technologies (EIDWT), 2012 Third International Conference on","20121120","2012","","","174","180","Automation in anomaly detection, which deals with detecting of unknown attacks in the network traffic, has been the focus of research by using data mining techniques in recent years. This study attempts to explore significant features (curse of high dimensionality) in intrusion detection in order to be applied in data mining techniques. Therefore, the existing irrelevant and redundant features are deleted from the dataset resulting faster training and testing process, less resource consumption as well as maintaining high detection rates. The findings were tested on the NSL-KDD datasets (anomaly intrusion datasets) in order to confirm the outcomes.","","978-1-4673-1986-7;9781467319867","","10.1109/EIDWT.2012.10","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6354738","anomaly detection;data mining;feature selction;machine learning","Computer crime;Data mining;Educational institutions;Feature extraction;Intrusion detection;Probes;Training","data mining;security of data","NSL-KDD datasets;corrected KDD-dataset;data mining techniques;feature selection;intrusion detection;network traffic","","1","","21","","","19-21 Sept. 2012","","IEEE","IEEE Conference Publications"
"WinWizard: Expanding Xen with a LibVMI Intrusion Detection Tool","J. Lamps; I. Palmer; R. Sprabery","Comput. Sci., Univ. of Illinois at Urbana-Champaign, Urbana, IL, USA","2014 IEEE 7th International Conference on Cloud Computing","20141204","2014","","","849","856","Virtual machine introspection (VMI) has grown into a number of novel security measures in recent years. Virtualized environments provide isolation, which gives way to better security. This paper presents an extension, WinWizard, of LibVMI that creates a VMI-based intrusion detection system (IDS) with emphasis on memory introspection. WinWizard is able to detect rootkits that attempts to hide processes from the administrator. Rootkits are able to subvert traditional virus scanning services because they are able to run at the kernel level. Rootkit detection becomes difficult because if the operating system has been subverted, especially at the kernel level, then it is difficult to find unauthorized changes to itself or its components. Most anti-viruses and other rootkit detectors that work on infected systems are usually only effective against rookits that have a defect in their hiding techniques. Rootkit detection through VMI is one way to effectively detect rookits. VMI detection tools will also be useful in industry. Industry is beginning to advance in its usage of cloud based workspaces. Examples of companies include Amazons Workspaces and Citrix XenDesktop. They offer remote desktops for small and medium sized businesses. These workspaces offer a fully managed cloud-based desktop experience where users can access their work resources from a variety of devices. Many universities and small businesses use services like these to reduce the number of IT staff and ease administration of a large number of desktops. As this field becomes more accessible, rootkits are going to drastically affect the performance and security of not only one users desktop, but on entire cloud infrastructures. The main way to detect a rootkit inside of these workspaces would be through virtual machine introspection. WinWinzard has demonstrated to be successful in detecting these types of rootkits, while causing little additional overhead to other virtual machines being hosted on the same hy- ervisor.","2159-6182;21596182","978-1-4799-5062-1;9781479950621","","10.1109/CLOUD.2014.117","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6973823","Intrusion Detection Systems;Virtualized-based security;Xen","Instruction sets;Kernel;Security;Virtual machine monitors;Virtual machining;Virtualization","cloud computing;security of data;virtual machines","IDS;LibVMI intrusion detection tool;WinWizard;Xen;cloud infrastructures;intrusion detection system;memory introspection;virtual machine introspection","","0","","26","","","June 27 2014-July 2 2014","","IEEE","IEEE Conference Publications"
"The next big one: Detecting earthquakes and other rare events from community-based sensors","M. Faulkner; M. Olson; R. Chandy; J. Krause; K. M. Chandy; A. Krause","Caltech","Information Processing in Sensor Networks (IPSN), 2011 10th International Conference on","20110527","2011","","","13","24","Can cell phones be used to detect earthquakes? The Community Seismic Network (CSN) is building a dense sensor network from inexpensive and community owned sensors, such as cell phones and USB accelerometers. Detecting rare events such as earthquakes is a difficult sensing problem, and is compounded by the wide variations among sensors in a heterogeneous community network. We demonstrate an end-to-end system using Android cell phones and a cloud fusion center that allows participants to create “mock earthquakes”. Upon detecting such an event, the cloud fusion center issues real-time alerts to the phones. A map-based interface to the fusion center is projected nearby, displaying the information reported by the phones.","","978-1-61284-854-9;9781612848549","978-1-4503-0512-9;9781450305129","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5779061","Sensor networks;community sensing;distributed anomaly detection","Accelerometers;Communities;Earthquakes;Sensor fusion;Sensor phenomena and characterization;Smart phones","accelerometers;cellular radio;earthquakes;geophysical signal processing;geophysical techniques;seismology;sensor fusion;wireless sensor networks","Android cell phones;Community Seismic Network;USB accelerometers;cloud fusion center;community owned sensors;community-based sensors;dense sensor network;earthquake detection;end-to-end system;heterogeneous community network;map-based interface;rare event detection","","0","","33","","","12-14 April 2011","","IEEE","IEEE Conference Publications"
"Anomaly Detection on Intrusion Detection System Using CLIQUE Partitioning","N. Nastaiinullah; Adiwijaya; A. P. Kurniati","Telkom University, Bandung 40257, Indonesia","Information and Communication Technology (ICoICT), 2014 2nd International Conference on","20141002","2014","","","7","12","The development of information and network technology makes network security become important. Intrusion is one of the issues in network security. To prevent intrusion happens, intrusion detection system (IDS) is built. One of IDS category is anomaly detection. This category detects intrusion event based on data profile. Clustering is one way to observe data profile. There are a lot of clustering algorithms proposed for anomaly detection on IDS, but most of them find clusters in the highest dimension of data. CLIQUE Partitioning (CP) is one of the clustering algorithm that can find clusters from the subspace of data. Testing is done to analyze system's performance based on computational time, completeness, and false alarm rate. CP algorithm shows good performance from completeness point of view (94.59%) and false alarm rate (2.54%). From computational time, CP shows good performance based on the amount of tuple, but the performance is not too good from the quantity of feature side.","","","","10.1109/ICoICT.2014.6914031","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6914031","CLIQUE Partitioning;IDS;anomaly detection;cluster;subspace","Cleaning;Clustering algorithms;Data preprocessing;Intrusion detection;Labeling;Partitioning algorithms;Principal component analysis","data mining;pattern clustering;security of data","CLIQUE partitioning;IDS;anomaly detection;clustering algorithm;false alarm rate;intrusion detection system;network security","","0","","17","","","28-30 May 2014","","IEEE","IEEE Conference Publications"
"Using Multiclass Machine Learning Methods to Classify Malicious Behaviors Aimed at Web Systems","K. Goseva-Popstojanova; G. Anastasovski; R. Pantev","Lane Dept. of Comput. Sci. & Electr. Eng., West Virginia Univ., Morgantown, WV, USA","2012 IEEE 23rd International Symposium on Software Reliability Engineering","20130404","2012","","","81","90","The number of vulnerabilities and attacks on Web systems show an increasing trend and tend to dominate on the Internet. Furthermore, due to their popularity and users ability to create content, Web 2.0 applications have become particularly attractive targets. These trends clearly illustrate the need for better understanding of malicious cyber activities based on both qualitative and quantitative analysis. This paper is focused on multiclass classification of malicious Web activities using three supervised machine learning methods: J48, PART, and Support Vector Machines (SVM). The empirical analysis is based on data collected in duration of nine months by a high interaction honey pot consisting of a three-tier Web system, which included Web 2.0 applications (i.e., a blog and wiki). Our results show that supervised learning methods can be used to efficiently distinguish among multiple vulnerability scan and attack classes, with high recall and precision values for all but several very small classes. For our dataset, decision tree based methods J48 and PART perform slightly better than SVM in terms of overall accuracy and weighted recall. Additionally, J48 and PART require less than half of the features (i.e., session attributes) used by SVM, as well as they execute much faster. Therefore, they seem to be clear methods of choice.","1071-9458;10719458","978-1-4673-4638-2;9781467346382","","10.1109/ISSRE.2012.30","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6405356","Web 2.0 security;attacks;empirical study;multiclass classification;vulnerability scans","Accuracy;Blogs;Electronic publishing;Information services;Internet;Learning systems;Support vector machines","Internet;learning (artificial intelligence);pattern classification;security of data;support vector machines","Internet;J48;PART;SVM;Web 2.0 applications;attack classes;high-interaction honeypot;malicious behavior classification;malicious cyber activities;multiclass machine learning methods;multiclass malicious Web activities classification;qualitative analysis;quantitative analysis;supervised machine learning methods;support vector machines;three-tier Web system","","4","","34","","","27-30 Nov. 2012","","IEEE","IEEE Conference Publications"
"Metaheuristics in big data: An approach to railway engineering","S. G. Nunez; N. Attoh-Okine","Department of Civil and Environmental Engineering, University of Delaware, Newark, DE, USA","Big Data (Big Data), 2014 IEEE International Conference on","20150108","2014","","","42","47","Big data is becoming increasingly important in various fields; railway engineering is no exception. The use of advanced analysis tools will lead to improved reliability and safety in railway systems. This paper addresses how metaheuristics can be used as an optimization technique to accurately analyze large data in railway engineering. Contributions in both optimization and application in railway engineering are also mentioned. Also, future research towards data analysis in real-life problems is discussed.","","","","10.1109/BigData.2014.7004430","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7004430","Big Data;Metaheuristics;Railway","Algorithm design and analysis;Big data;Conferences;Data analysis;Genetic algorithms;Optimization;Railway engineering","Big Data;data analysis;optimisation;railway engineering;railway safety","Big Data;data analysis tools;metaheuristics;optimization technique;railway engineering;railway reliability;railway safety","","0","","65","","","27-30 Oct. 2014","","IEEE","IEEE Conference Publications"
"A new data mining based network Intrusion Detection model","M. Gudadhe; P. Prasad; L. Kapil Wankhade","Department of Information Technology, Priyadarshini College of Engineering, Nagpur, India","Computer and Communication Technology (ICCCT), 2010 International Conference on","20101118","2010","","","731","735","Nowadays, as information systems are more open to the Internet, the importance of secure networks is tremendously increased. New intelligent Intrusion Detection Systems (IDSs) which are based on sophisticated algorithms rather than current signature-base detections are in demand. There is often the need to update an installed Intrusion Detection System (IDS) due to new attack methods or upgraded computing environments. Since many current Intrusion Detection Systems are constructed by manual encoding of expert knowledge, changes to them are expensive and slow. In data mining-based intrusion detection system, we should make use of particular domain knowledge in relation to intrusion detection in order to efficiently extract relative rules from large amounts of records. This paper proposes new ensemble boosted decision tree approach for intrusion detection system. Experimental results shows better results for detecting intrusions as compared to others existing methods.","","978-1-4244-9033-2;9781424490332","","10.1109/ICCCT.2010.5640375","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5640375","boosted decision trees;data mining;ensemble approach;network intrusion detection system","Accuracy;Classification algorithms;Classification tree analysis;Data mining;Feature extraction;Intrusion detection","data mining;security of data","boosted decision tree;data mining;domain knowledge;intrusion detection system;network intrusion detection model","","9","","18","","","17-19 Sept. 2010","","IEEE","IEEE Conference Publications"
"A Semi-Markov Survivability Evaluation Model for Intrusion Tolerant Real-Time Database Systems","C. Chen; W. Wu; H. Zhou; G. Shen","Huazhong Univ. of Sci. & Technol., Wuhan, China","Wireless Communications, Networking and Mobile Computing (WiCOM), 2011 7th International Conference on","20111010","2011","","","1","4","With the application of real-time databases and the intrusion of malicious transactions, it has become increasingly important to model the ability of real-time database intrusion tolerance and effectively evaluate its survivability. Based on the features of transaction and data for real-time database system, an intrusion tolerant architecture has been proposed for real-time database system. Considering factors such as intrusion detection latency and a variety of parameters for real-time, Semi-Markov evaluation model for survival assessment is established. Based on this model, relevant quantitative criteria are made to define the important indicators of survivability, such as integrity and availability, so as to validate intrusion detection capability and the survivability of real-time database. The three important factors of false alarm, detection rate and the intensity of attack are analyzed in detail by the TPC-C benchmark. Experiments show that the model can accurately predict the behavior of real-time database. The real-time database following the model can still provide essential services when facing attacks and the basic survival characteristics will not be seriously affected.","2161-9646;21619646","978-1-4244-6250-6;9781424462506","","10.1109/wicom.2011.6040583","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6040583","","Database systems;Maintenance engineering;Markov processes;Mathematical model;Real time systems;Steady-state","information retrieval systems;information services;safety systems;security of data;telecommunication network reliability","TPC-C benchmark;essential services;false alarm;intrusion tolerant real-time database system;quantitative criteria;real-time database intrusion tolerance;semiMarkov survivability evaluation model;survivability","","0","","8","","","23-25 Sept. 2011","","IEEE","IEEE Conference Publications"
