"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28.QT.Number+of+Resources.QT.%29+OR+.QT.Number+of+Nodes.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29%29",2016/08/04 11:40:38,"(((Number of Resources) OR Number of Nodes) AND Intrusion Detection System)",IEEE
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Experience with DETER: a testbed for security research","T. Benzel; R. Braden; D. Kim; C. Neuman; A. Joseph; K. Sklower; R. Ostrenga; S. Schwab","Inf. Sci. Inst., Univ. of Southern California, Marina del Rey, CA, USA","2nd International Conference on Testbeds and Research Infrastructures for the Development of Networks and Communities, 2006. TRIDENTCOM 2006.","20060705","2006","","","10 pp.","388","The DETER testbed is shared infrastructure designed for medium-scale repeatable experiments in computer security, especially those experiments that involve malicious code. The testbed provides unique resources and a focus of activity for an open community of academic, industry, and government researchers working toward better defenses against malicious attacks on our networking infrastructure, especially critical infrastructure. This paper presents our experience with the deployment and operation of the testbed, highlights some of the research conducted on the testbed, and discusses our plans for continued development, expansion, and replication of the testbed facility","","1-4244-0106-2;1424401062","","10.1109/TRIDNT.2006.1649172","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1649172","","Computer science;Computer security;Data security;Hardware;Information security;Internet;Protection;System testing;Telecommunication traffic;Traffic control","security of data;telecommunication security","DETER;malicious code;security research","","35","","23","","","0-0 0","","IEEE","IEEE Conference Publications"
"A Review on Evolutionary Feature Selection","N. Abd-Alsabour","Cairo Univ., Cairo, Egypt","Modelling Symposium (EMS), 2014 European","20150713","2014","","","20","26","This paper presents a review of some of the most recent evolutionary algorithms used for solving feature selection based upon previously published research on feature selection. In addition, we discuss various research issues relating to each of the presented evolutionary algorithm. Evolutionary algorithms present several advantages over traditional search such as they require less domain-specific information. Such advantages have made them very popular within feature selection as explained in this paper. This paper covers the first part only of the evolutionary algorithms for the feature selection problem due to the limitation of the number of pages. The references cited in this paper cover the major theoretical issues, and provide access to the main branches of the literature dealing with such methods.","","978-1-4799-7411-5;9781479974115","","10.1109/EMS.2014.28","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7153969","Ant Colony Optimization (ACO);Feature Selection (FS);Genetic Algorithms (GAs);Particle Swarm Optimization (PSO)","Classification algorithms;Evolutionary computation;Feature extraction;Genetic algorithms;Optimization;Sociology;Statistics","ant colony optimisation;computational complexity;feature selection;genetic algorithms;particle swarm optimisation;search problems","NP hard optimization problem;ant colony optimization;evolutionary algorithms;evolutionary feature selection;genetic algorithms;page number limitation;particle swarm optimization","","0","","77","","","21-23 Oct. 2014","","IEEE","IEEE Conference Publications"
"TERP: A Trust and Energy Aware Routing Protocol for Wireless Sensor Network","A. Ahmed; K. A. Bakar; M. I. Channa; K. Haseeb; A. W. Khan","Faculty of Computing, Universiti Teknologi Malaysia, Skudai, Malaysia","IEEE Sensors Journal","20151007","2015","15","12","6962","6972","In most of the applications of wireless sensor networks (WSNs), nodes operate in unattended environments and are, therefore, vulnerable to variety of attacks. Due to dynamic and unpredictable changing behavior of nodes, the reliable data delivery is a challenging task. For WSNs, the traditional cryptographic and authentication-based solutions cannot be adopted due to their associated cost and incapability to counter nodes misbehavior attacks. Recently, trust-based solutions have proved to be more effective to address nodes' misbehavior attacks. However, the existing solutions give rise to high energy consumption and control overheads in pursuit of trust estimation and network-wide dissemination, which not only adds to network congestion but also undermines network lifetime. In this paper, we present a trust and energy aware routing protocol (TERP) that makes use of a distributed trust model for the detection and isolation of misbehaving and faulty nodes. Moreover, TERP incorporates a composite routing function that encompasses trust, residual-energy, and hopcounts of neighbor nodes in making routing decisions. This multi-facet routing strategy helps to balance out energy consumption among trusted nodes, while routing data using shorter paths. The simulation results demonstrate reduced energy consumption, improved throughout and network lifetime of TERP when compared with the existing work.","1530-437X;1530437X","","","10.1109/JSEN.2015.2468576","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7194748","Node misbehavior;energy efficiency;node misbehavior;trust;wireless sensor networks","Ad hoc networks;Energy consumption;Estimation;Routing;Routing protocols;Sensors;Wireless sensor networks","cryptographic protocols;routing protocols;telecommunication network management;telecommunication security;trusted computing;wireless sensor networks","TERP;address node misbehaviour attack;composite routing function;control overhead;counter node misbehavior attack;distributed trust model;energy consumption;faulty node detection;faulty node isolation;misbehaving node detection;multifacet routing strategy;neighbour node hopcount;network congestion;network lifetime;network wide dissemination;residual energy;throughput improvement;trust and energy aware routing protocol;trust estimation;wireless sensor network","","0","","23","","2015-08-13","Dec. 2015","","IEEE","IEEE Journals & Magazines"
"Bad Words: Finding Faults in Spirit's Syslogs","J. Stearley; A. J. Oliner","Sandia Nat. Labs., Albuquerque, NM","Cluster Computing and the Grid, 2008. CCGRID '08. 8th IEEE International Symposium on","20080530","2008","","","765","770","Accurate fault detection is a key element of resilient computing. Syslogs provide key information regarding faults, and are found on nearly all computing systems. Discovering new fault types requires expert human effort, however, as no previous algorithm has been shown to localize faults in time and space with an operationally acceptable false positive rate. We present experiments on three weeks of syslogs from Sandia's 512-node ""Spirit"" Linux cluster, showing one algorithm that localizes 50% of faults with 75% precision, corresponding to an excellent false positive rate of 0.05%. The salient characteristics of this algorithm are (1) calculation of nodewise information entropy, and (2) encoding of word position. The key observation is that similar computers correctly executing similar work should produce similar logs.","","978-0-7695-3156-4;9780769531564","978-0-7695-3156-4;9780769531564","10.1109/CCGRID.2008.107","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4534301","","Clustering algorithms;Computer science;Fault detection;Grid computing;Humans;Laboratories;Monitoring;Programming profession;Supercomputers;USA Councils","Linux;entropy;software fault tolerance;system monitoring","Spirit Linux cluster;bad words;false positive rate;fault detection;information entropy;syslogs","","16","","24","","","19-22 May 2008","","IEEE","IEEE Conference Publications"
"An intrusion detection system for smart grid neighborhood area network","N. Beigi-Mohammadi; J. Mi&#x0161;i&#x0107;; H. Khazaei; V. B. Mi&#x0161;i&#x0107;","Comput. Sci. Dept., Ryerson Univ., Toronto, ON, Canada","2014 IEEE International Conference on Communications (ICC)","20140828","2014","","","4125","4130","Smart grid is expected to improve the efficiency, reliability and economics of current energy systems. Using two-way flow of electricity and information, smart grid builds an automated, highly distributed energy delivery network. In this paper, we present the requirements for intrusion detection systems (IDSs) in neighborhood area network (NAN) as a component of smart grid. We propose an IDS that is implemented in a distributed fashion with respect to NAN's communication and computation needs. An analytical approach is employed for detecting Wormhole attacks. We validate our NAN IDS scheme using OPNET Modeler [1]. The analytical part of the solution is developed in Maple [2] and integrated with OPNET.","1550-3607;15503607","","","10.1109/ICC.2014.6883967","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6883967","","Intrusion detection;Monitoring;Reliability;Smart grids;Smart meters;Wide area networks","computer network security;invasive software;power system economics;power system reliability;power system security;smart power grids","NAN IDS scheme;NAN communication;OPNET Modeler;analytical approach;distributed energy delivery network;energy systems;intrusion detection system;smart grid neighborhood area network;wormhole attack detection","","1","","20","","","10-14 June 2014","","IEEE","IEEE Conference Publications"
"Analysis of fuzzy class association rule mining based on Genetic Network Programming","C. Chen; S. Mabu; Chuan Yue; K. Shimada; K. Hirasawa","Graduate School of Information, Production and Systems, Waseda university, Hibikino 2-7, Wakamatsu-ku, Kitakyusyu, Fukuoka 808-0135, Japan","ICCAS-SICE, 2009","20091113","2009","","","3480","3484","Classification rule mining is a practical data mining technique widely used in real world. In the previous work, we have put forward a fuzzy class association rule mining method based on genetic network programming and applied it to network intrusion detection system which proved its efficiency and advantage. In this paper, a detailed comparison not only between fuzzy class association rule minings(FCARMs) with fixed fuzzy membership functions and with evolved fuzzy membership functions, but also between FCARMs with and without probability node transition are carried out. The aim of this paper is to provide experimental analysis on the characteristics of FCARMs with different implementations. Experimental results conducted on real world database, KDD99Cup and DAPRA98 database from MIT Lincoln Laboratory, are studied to verify the comparison.","","978-4-907764-34-0;9784907764340","978-4-907764-33-3;9784907764333","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5335109","classification;fuzzy class association rule;fuzzy membership function;genetic network programming;network intrusion detection;probability transition","Association rules;Data mining;Databases;Economic indicators;Electronic mail;Fuzzy systems;Genetic mutations;Information analysis;Intrusion detection;Production systems","data mining;fuzzy set theory;genetic algorithms;probability;security of data","DAPRA98 database;FCARM;KDD99Cup database;MIT Lincoln Laboratory;data mining technique;fuzzy class association rule mining;fuzzy membership function;genetic network programming;network intrusion detection system;probability node transition","","1","","10","","","18-21 Aug. 2009","","IEEE","IEEE Conference Publications"
"PIKE: peer intermediaries for key establishment in sensor networks","Haowen Chan; A. Perrig","Carnegie Mellon Univ., Pittsburgh, PA, USA","Proceedings IEEE 24th Annual Joint Conference of the IEEE Computer and Communications Societies.","20050822","2005","1","","524","535 vol. 1","The establishment of shared cryptographic keys between communicating neighbor nodes in sensor networks is a challenging problem due to the unsuitability of asymmetric key cryptography for these resource-constrained platforms. A range of symmetric-key distribution protocols exist, but these protocols do not scale effectively to large sensor networks. For a given level of security, each protocol incurs a linearly increasing overhead in either communication cost per node or memory per node. We describe peer intermediaries for key establishment (PIKE), a class of key-establishment protocols that involves using one or more sensor nodes as a trusted intermediary to facilitate key establishment. We show that, unlike existing key-establishment protocols, both the communication and memory overheads of PIKE protocols scale sub-linearly (O(√n)) with the number of nodes in the network yet achieving higher security against node compromise than other protocols.","0743-166X;0743166X","0-7803-8968-9;0780389689","","10.1109/INFCOM.2005.1497920","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1497920","","Base stations;Batteries;Computer architecture;Costs;Cryptographic protocols;Elliptic curve cryptography;Energy consumption;Intelligent networks;Peer to peer computing;Sensor phenomena and characterization","cryptography;peer-to-peer computing;protocols;telecommunication security;wireless sensor networks","PIKE;asymmetric key cryptography;network security;peer intermediaries for key establishment protocol;peer intermediary;resource-constrained platform;sensor network;symmetric-key distribution protocol","","76","3","20","","","13-17 March 2005","","IEEE","IEEE Conference Publications"
"Performance measurement in MANET","S. K. Arora; M. Y. Mantoo; M. Chishti; N. Chaudhary","Faculty of ECE, Lovely Professional University, India","Confluence The Next Generation Information Technology Summit (Confluence), 2014 5th International Conference -","20141110","2014","","","406","410","Mobile Adhoc Network (MANET) is vulnerable to many security issues and network attacks. We presented the comparison of three different routing protocols (AODV, DSR and DSDV) on the basis of different parameters. In this paper, black hole attack is implemented on AODV protocol which reduce the performance parameters of network by exploiting the packet sequence number included in any packet header. The proposed mechanism of Intrusion Detection System (IDS) is also implemented to enhance the network performance. Simulation results using Network Simulator 2(NS2) shows that, in a high mobility environment, malicious node could be detected and the packet delivery ratio has been improved.","","978-1-4799-4237-4;9781479942374","","10.1109/CONFLUENCE.2014.6949297","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6949297","AODV;DSR;Mobile adhoc network (MANET);Packet delivery ratio (PDR);intrusion detection system (IDS);malicious node;normalized routing load (NRL);throughput","Intrusion detection;Mobile ad hoc networks;Routing;Routing protocols;Throughput","mobile ad hoc networks;routing protocols;security of data;telecommunication security","2NS2;AODV protocol;DSDV;DSR;IDS;MANET;intrusion detection system;mobile adhoc network;mobility environment;network attacks;network simulator;packet delivery ratio;packet header;performance measurement;performance parameters;routing protocols;security issues","","0","","15","","","25-26 Sept. 2014","","IEEE","IEEE Conference Publications"
"Multi-Violation Detectors: An algebraic tool for Alert Correlation and Intrusion Detection","A. Meddeb-Makhlouf; N. Boudriga","CN&S Research Lab., University of 7th of November at Carthage, Tunisia. amel.meddeb@supcom.rnu.tn","2006 2nd International Conference on Information & Communication Technologies","20061016","2006","2","","3181","3186","To enhance the traditional techniques of detecting distributed attacks, an algebraic tool for correlating alerts is proposed in this paper. It is mainly based on a new concept called multi-violation detectors (MvD). While MvDs allow event and alert correlation, they can be mathematically managed, constructed, and learned. The proposed method is validated at the end of the paper based on a case study","","0-7803-9521-2;0780395212","","10.1109/ICTTA.2006.1684925","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1684925","Correlation;Intrusion detection system;Multi-violation detectors;detection learning","Computer architecture;Computer crime;Computer networks;Condition monitoring;Detectors;Event detection;Intrusion detection;Multilayer perceptrons;Neural networks;Sensor phenomena and characterization","algebra;distributed processing;security of data","alert correlation;algebra;detection learning;distributed attacks;event correlation;intrusion detection system;multiviolation detectors","","1","","9","","","0-0 0","","IEEE","IEEE Conference Publications"
"A new method based on Finite State Machine for detecting misbehaving nodes in ad hoc networks","D. S. Jalali; A. Shahrbanoonezhad","Islamic Azad University, Dehloran Branch, Dehloran, Iran","Digital Information Management (ICDIM), 2011 Sixth International Conference on","20111201","2011","","","187","192","In this paper we express a new intrusion detection system based FSM (Finite State Machine) in ad hoc networks. Security is one of the most important issues in current networks. The most common cases of attacks in mobile Ad hoc networks can be drop of routing packages and changes in the incoming packet which aims at disrupting the network routing and overall network reduce performance. The presented approach based on FSM focuses at recognizing the malicious nodes within the network in a fast and accurate way, then it deals with rapid introduction of the malicious nodes to other nodes in the network to prevent sending multiple packets and drop and packet change. Finally, we will show the significant improvement of some factors in comparison with other last works and we simulated our methods by NS2 software.","Pending","978-1-4577-1538-9;9781457715389","","10.1109/ICDIM.2011.6093331","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6093331","FSM;ad hoc network;intrusion detection;malicious node;security","Ad hoc networks;Intrusion detection;Routing;Routing protocols;Software","finite state machines;mobile ad hoc networks;telecommunication network routing","finite state machine;intrusion detection system;misbehaving nodes;mobile ad hoc networks;network routing;routing packages","","0","","21","","","26-28 Sept. 2011","","IEEE","IEEE Conference Publications"
