"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&ar=6704411,7518531,6096693,6475958,5209724,6579516,6769676,4062095,4777775,6767356,6726547,1541896,1517940,7387549,4919343,5520341,6903487,5683320,1696413,6942184,1333427,5348410,7184860,935043,7502315,1423841,5502580,5560116,6261759,6883886,4591699,5483029,4732917,5963012,4603290,1567025,1206547,372146,7038788,6508360,6877518,5392848,7067439,6358991,1498485,7266730,5598041,1385877,5073094,5678106,4448633,4454220,1134298,4511525,5963291,1176994,7196499,6258744,6549801,236783,7155003,1375521,5485668,6727840,924296,7083907,7082039,4488934,6785328,1029986,7337012,4205341,7426097,7104906,5635554,1342339,1625751,4638438,4751317,6757982,6513420,1311618,5604048,5422935,1410755,5732828,7351952,6295248,6181964,6489550,1705624,1629456,6133144,7164714,7507438,5672410,6590051,6573382,1434896,5456628",2016/08/04 09:47:25
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Intrusive detection system implementation using deep packet inspection","S. Zoican; R. Zoican","Telecommun. & Inf. Technol. Politeh. Univ. of Bucharest, Bucharest, Romania","Telecommunication in Modern Satellite, Cable and Broadcasting Services (TELSIKS), 2013 11th International Conference on","20140109","2013","02","","413","416","One of the most common techniques to detect a network attack is to compare each incoming packet with pre-defined attack patterns. Scalability to network traffic and easy updating of new attack patterns are mandatory requirements needed to perform this comparison. The simplest way to implement such system is using the memory-based deterministic finite automata, but their storage requirement is growing exponentially with the number of patterns. Another issue is the computation time in order to detect the attack in real time. This work has the goal to propose an efficient deep packet inspection (DPI) algorithm and to analyze its efficiently implementation using a specialized hardware circuit and the GPU CUDA (Computer Unified Device Architecture) enabled boards existing in the personal computers. The following tasks have been analyzed: the parallelization of the pattern matching algorithm and the optimization of C code written for Nvidia compiler to obtain the best performance. A comparison of processing speed of implementation methods is illustrated.","","978-1-4799-0899-8;9781479908998","","10.1109/TELSKS.2013.6704411","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6704411","CUDA technology;deep packet inspection;deterministic finite automaton;pattern search;significant symbol","Algorithm design and analysis;Graphics processing units;Hardware;Instruction sets;Kernel;Registers","C language;computer network security;deterministic automata;finite automata;graphics processing units;inspection;optimisation;packet radio networks;parallel architectures;parallel memories;pattern matching;telecommunication traffic","C code;CUDA;DPI algorithm;GPU;Nvidia compiler;computer unified device architecture;deep packet inspection;intrusive detection system implementation;memory-based deterministic finite automata;network attack detection;network traffic scalability;optimization;parallelization;pattern matching algorithm;personal computers;predefined attack pattern;specialized hardware circuit;storage requirement","","1","","7","","","16-19 Oct. 2013","","IEEE","IEEE Conference Publications"
"High-speed decompression architecture of compressed HTTP streams for the internet routers","H. Okano; H. Yamaki; H. Nishi","Graduate School of Science and Technology, Keio University, Yokohama city, Kanagawa, Japan","2016 International Conference on FPGA Reconfiguration for General-Purpose Computing (FPGA4GPC)","20160725","2016","","","31","36","In recent years, studies of DPI have been carried out actively. HTTP packets, which are a kind of DPI target, include GZIP compressed packets, and multi-streamed GZIP compressed HTTP cannot be analyzed directly on routers. Moreover, wire-rate processing is required to achieve on-router analysis. In this paper, HTTP decompressing architecture on routers supporting 40Gbps network is considered, and three mechanisms, which are parallelized architecture, cache architecture and piggy-back method, were proposed for achieving higher throughput. Hardware cost simulations by using Verilog HDL confirms it can achieve 10Gbps throughput at low circuit costs.","","","","10.1109/FPGA4GPC.2016.7518531","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7518531","GZIP Decompression;HTTP compression;Network Router;Parallel Processing","Context;Decoding;Field programmable gate arrays;Memory management;Routing protocols;Throughput","","","","","","","","","9-10 May 2016","","IEEE","IEEE Conference Publications"
"Dynamic updating based key management algorithm for wireless sensor networks","Y. Rao; J. Wang; R. Tian; F. Zhu","Electronics and Information School, Wuhan University, Wuhan 430079, China","Wireless Communications and Signal Processing (WCSP), 2011 International Conference on","20111208","2011","","","1","5","In wireless sensor networks, sensor nodes are inherently restricted by insufficient hardware resources, such as computing capacity and battery lifetime. As a result, current key management schemes are difficult to be deployed in wireless sensor networks. This paper proposes a new key management method that the shared keys are dynamic updated for wireless sensor networks. The proposed scheme loads two hash functions and an initial key into the base station, cluster heads, and sensor nodes. Every node including the cluster heads and sensor node authenticates its neighbor nodes with the initial key. Then every node establishes pair wise key with each of its neighbor node to ensure transmission secrecy. The pair wise keys are updated between node and its neighbors within a random interval time, which is triggered by the base station. The security of this scheme is analyzed and it shows that it is robust to the guessing attacks, replay attacks, man-in-the-middle attacks and node capture attacks. The results show this scheme can also save communication resources.","","978-1-4577-1009-4;9781457710094","978-1-4577-1008-7;9781457710087","10.1109/WCSP.2011.6096693","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6096693","Pair-wise key;dynamic updating;hash function","Authentication;Base stations;Encryption;Protocols;Wireless sensor networks","cryptography;telecommunication network management;telecommunication security;wireless sensor networks","base station;battery lifetime;cluster heads;computing capacity;dynamic updating-based key management algorithm;guessing attacks;hardware resources;hash functions;man-in-the-middle attacks;node capture attacks;pair wise key;replay attacks;sensor nodes;transmission secrecy;wireless sensor networks","","0","","12","","","9-11 Nov. 2011","","IEEE","IEEE Conference Publications"
"StriFA: Stride Finite Automata for High-Speed Regular Expression Matching in Network Intrusion Detection Systems","X. Wang; Y. Xu; J. Jiang; O. Ormond; B. Liu; X. Wang","Department of Computer Science and Technology, Tsinghua University, Beijing, China","IEEE Systems Journal","20130704","2013","7","3","374","384","Deep packet inspection has become a key component in network intrusion detection systems (NIDSes), where every packet in the incoming data stream needs to be compared with patterns in an attack database, byte-by-byte, using either string matching or regular expression matching. Regular expression matching, despite its flexibility and efficiency in attack identification, brings significantly high computation and storage complexities to NIDSes, making line-rate packet processing a challenging task. In this paper, we present stride finite automata (StriFA), a novel finite automata family, to accelerate both string matching and regular expression matching. Different from conventional finite automata, which scan the entire traffic stream to locate malicious information, a StriFA only needs to scan a partial traffic stream to find suspicious information. The presented StriFA technique has been implemented in software and evaluated based on different traces. The simulation results show that the StriFA acceleration scheme offers an increased speed over traditional nondeterministic finite automaton/deterministic finite automaton, while at the same time reducing the memory requirement.","1932-8184;19328184","","","10.1109/JSYST.2013.2244791","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6475958","Deep packet inspection (DPI);deterministic finite automaton (DFA);network intrusion detection systems (NIDSes);nondeterministic finite automaton (NFA)","Acceleration;Automata;Doped fiber amplifiers;Educational institutions;Engines;Memory management;Pattern matching","finite automata;security of data;string matching","NIDS;StriFA acceleration scheme;attack database;attack identification;data stream;high-speed regular expression matching;line-rate packet processing;malicious information;network intrusion detection systems;stride finite automata;string matching;traffic stream","","2","","31","","2013-03-07","Sept. 2013","","IEEE","IEEE Journals & Magazines"
"An Efficient Algorithm for Finding Frequent Items in a Stream","L. Tu; L. Chen; S. Zhang","Dept. of Comput. Sci., Nanjing Univ. of Aeronaut. & Astronaut., Jiangyin, China","Electronic Commerce and Security, 2009. ISECS '09. Second International Symposium on","20091023","2009","2","","200","204","Most of the existing algorithms for mining frequent items over data streams do not emphasis the importance of the more recent data items. We present an efficient algorithm where a fading factor lambda is used for computing frequency counts exceeding a user-specified threshold over data streams. Our algorithm lambda-Miner can detect epsiv-approximate frequent items of a data stream using O(epsiv-1) memory space and the processing time for each data item is O(1). Experimental results on several artificial data sets and real data sets show that lambda-Miner performs better than lambda-LC in terms with precision, memory requirement and time cost.","","978-0-7695-3643-9;9780769536439","","10.1109/ISECS.2009.188","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5209724","data mining;data stream;fading factor;frequent items","Computer science;Costs;Counting circuits;Data mining;Electronic commerce;Fading;Frequency estimation;Intrusion detection;Sampling methods;Software algorithms","data analysis;data mining","data analysis;data stream;frequent item mining;lambda fading factor;user-specified threshold","","0","","16","","","22-24 May 2009","","IEEE","IEEE Conference Publications"
"Internal security attacks on SCADA systems","N. Sayegh; A. Chehab; I. H. Elhajj; A. Kayssi","Department of Electrical and Computer Engineering, American University of Beirut, Lebanon","Communications and Information Technology (ICCIT), 2013 Third International Conference on","20130815","2013","","","22","27","Supervisory Control and Data Acquisition (SCADA) systems have become essential to many industries around the world. Nowadays, SCADA systems are controlling many critical infrastructures such as power grids, mega factories, water treatment systems, and even nuclear power plants. As a result, SCADA systems have become very attractive targets for malicious attacks. In this paper, we show a test-bed that we have developed to detect vulnerabilities within SCADA protocols against internal attacks in order to find out how easy it is to bypass security measures in such protocols. Furthermore, we have tested SCADA components to assess their vulnerabilities against the following attacks: Denial of Service (DoS) attacks, replay attacks, cryptographic attacks, and fragmentation attacks. Our results indicate that SCADA protocols and components are very vulnerable, and hence it is of paramount importance to find immediate solutions to these vulnerabilities.","","978-1-4673-5306-9;9781467353069","","10.1109/ICCITechnology.2013.6579516","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6579516","SCADA;industrial security;test-beds","Computer crime;Cryptography;Floods;IP networks;Protocols;SCADA systems","SCADA systems;protocols;security of data","Denial of Service;DoS attacks;SCADA protocols;SCADA systems;Supervisory Control and Data Acquisition;cryptographic attacks;fragmentation attacks;internal attacks;malicious attacks;replay attacks;security measures","","1","","17","","","19-21 June 2013","","IEEE","IEEE Conference Publications"
"Comparing reliability and security: Concepts, requirements, and techniques","R. S. Hanmer; D. T. McBride; V. B. Mendiratta","Technical Component Management area in Alcatel-Lucent's Procurement and Sourcing Unit","Bell Labs Technical Journal","20140429","2007","12","3","65","78","Design of highly secure systems is increasingly important. This paper explores the relationship between reliability engineering and security engineering for software products. Our work has indicated that designing for reliability and designing for security share many common ideas and, more importantly, techniques that can be leveraged in product development. Security failures are one aspect of product dependability, and while security failures are qualitatively different from other reliability failures in some ways, the two classes of failures have a great deal in common. International Telecommunication Union, Telecommunications Standardization Sector (ITU-T) Recommendation X.805 suggests that availability has a specific meaning for security, namely, that it “ensures that there is no denial of authorized access to network elements, stored information, information flows, services and applications due to events impacting the network.” This definition is very similar to the definition of availability that reliability engineers use in describing functionality. This paper explores the similarities and differences in approaches taken within the communications domain for reliability and security. The three areas that are discussed are terminology, requirements, and common techniques. © 2007 Alcatel-Lucent.","1089-7089;10897089","","","10.1002/bltj.20250","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6769676","","","","","","0","","","","","Fall 2007","","Alcatel-Lucent","Alcatel-Lucent Journal"
"Can an Immuno-fuzzy Approach Detect Only a Few Non-self Cells Existed in an Enormous Amount of Self Cells?","A. Imada","Brest State Technical University, Moskowskaja 267 Brest 224017 Belarus, akira@bstu.by","2005 IEEE Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications","20070115","2005","","","74","77","In the context of network intrusion detection, we test a lately reported technique which generates a set of fuzzy rules to recognize unknown abnormal patterns using a test- function which we call a-tiny-island-in-a-huge-lake. Our concern is whether or not we can train the system only with a set of already known normal patterns. Yet another of our concern is what happens in an extreme case where a sample of abnormal patterns are very few comparing to the normal ones, and what if it eventually shrinks to zero, which is what they call a-needle-in-a-haystack.","","0-7803-9445-3;0780394453","0-7803-9446-1;0780394461","10.1109/IDAACS.2005.282944","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4062095","Fuzzy rule;Network Intrusion Detection;Test samples","Artificial immune systems;Conferences;Data acquisition;Fuzzy systems;Intrusion detection;Lakes;Pattern recognition;Space exploration;Test pattern generators;Testing","fuzzy set theory;security of data","fuzzy rules;immuno-fuzzy approach;network intrusion detection","","0","","27","","","5-7 Sept. 2005","","IEEE","IEEE Conference Publications"
"Intrusion Detection System for IP Multimedia Subsystem using K-Nearest Neighbor classifier","A. H. Farooqi; A. Munir","Department of Computer Sciences, National University of Computer and Emerging Sciences, Islamabad, Pakistan","Multitopic Conference, 2008. INMIC 2008. IEEE International","20090206","2008","","","423","428","IP multimedia subsystem (IMS) is a new next generation networking architecture that will provide better quality of service, charging infrastructure and security. The basic idea behind IMS is convergence; providing a single interface to different traditional or modern networking architectures allowing better working environment for the end users. IMS is still not commercially adopted and used but research is in progress to explore it. IMS is an IP based overlay next generation network architecture. It inherent number of security threats of session initiation protocol (SIP), TCP, UDP etc as it uses SIP and IP protocols. Some of them can degrade the performance of IMS seriously and may cause DoS or DDoS attacks. The paper presents a new approach keeping a vision of secure IMS based on intrusion detection system (IDS) using k-nearest neighbor (KNN) as classifier. The KNN classifier can effectively detect intrusive attacks and achieve a low false positive rate. It can distinguish between the normal behavior of the system or abnormal. In this paper, we have focused on the key element of IMS core known as proxy call session control function (PCSCF). Network based anomaly detection mechanism is proposed using KNN as anomaly detector. Experiments are performed on OpenIMS core and the result shows that IMS is vulnerable to different types of attacks such as UDP flooding, IP spoofing that can cause DoS. KNN classifier effectively distinguishes the behavior of the system as normal or intrusive and achieve low false positive rate.","","978-1-4244-2823-6;9781424428236","","10.1109/INMIC.2008.4777775","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4777775","3GPP;DoS;IDS;IMS;KNN;PCSCF","Computer crime;Convergence;Degradation;Detectors;Intrusion detection;Multimedia systems;Next generation networking;Protocols;Quality of service;TCPIP","3G mobile communication;IP networks;multimedia communication;pattern classification;quality of service;security of data;transport protocols","3GPP;IP multimedia subsystem;IP protocols;IP spoofing;OpenIMS core;TCP;UDP flooding;intrusion detection system;k-nearest neighbor classifier;overlay next generation network architecture;proxy call session control function;quality of service;session initiation protocol","","1","","29","","","23-24 Dec. 2008","","IEEE","IEEE Conference Publications"
"An efficient architecture for distributed intrusion detection system","Z. Hakimi; K. Faez; M. Barati","Dept. of Comput. Eng., Qazvin Islamic Azad Univ., Qazvin, Iran","Information Security and Cryptology (ISCISC), 2013 10th International ISC Conference on","20140317","2013","","","1","5","Due to increasing number of network attacks, it is highly crucial to equip networks with an intrusion detection system (IDS). These systems must be able to deal with today's high speed and large scale networks. In this paper we propose a distributed IDS that performs both data capturing and data analyzing in a distributed fashion. This distributed mechanism enables our system to effectively operate within large scale and high traffic rate networks. We developed a grouping mechanism which divides computers in the network into subsets of computers with a leader and a few members. Subsequently, using a data sharing mechanism we were able to detect distributed attacks. Our data sharing mechanism added an overhead on the network traffic which is negligible compared to the overall network traffic. We simulated our method in NS2 simulation environment. Then we compared our proposed system with a centralized IDS in terms of detection rate, memory usage and packet loss rate. Results showed that our system's performance was better despite of some extra load imposed by distribution of data processing.","","","","10.1109/ISCISC.2013.6767356","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6767356","Centralized IDS;DARPA 1999;Distributed IDS;Intrusion detection system;NS2 simulator;Nmap;Scan attack","Computer architecture;Computers;Data processing;Distributed databases;IP networks;Intrusion detection;Telecommunication traffic","computer network security;local area networks;telecommunication traffic","NS2 simulation environment;centralized IDS;computer networks;data capturie;data sharing mechanism;distributed attacks;distributed intrusion detection system;grouping mechanism;high traffic rate networks;large scale networks;network attacks;network traffic;packet loss rate","","0","","15","","","29-30 Aug. 2013","","IEEE","IEEE Conference Publications"
