"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&ar=1007774,1592309,5949682,5336926,5392844,6252449,1495942,7015756,7410264,71910,5625739,5161247,6321069,4724653,6313798,5708950,6530097,4804450,5584522,6599023,7502990,5437668,5462152,5501976,6174775,6218887,7323780,5999850,4370708,367313,7423666,1039191,4198201,7515609,6422291,6552453,6892653,5279563,1227276,601330,7078684,5376161,4438258,6299287,4101008,7056943,7317717,7091959,892235,5754246,7196515,7214092,5584418,4579952,1323596,6688002,7405510,4412993,1410706,5368480,6990267,5951873,6822215,4493512,7165133,4625475,1494374,6296725,5521608,6029887,4529495,6982526,5532380",2016/08/04 09:56:56
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Intrusion detection using neural networks and support vector machines","S. Mukkamala; G. Janoski; A. Sung","Dept. of Comput. Sci., New Mexico Inst. of Min. & Technol., Socorro, NM, USA","Neural Networks, 2002. IJCNN '02. Proceedings of the 2002 International Joint Conference on","20020807","2002","2","","1702","1707","Information security is an issue of serious global concern. The complexity, accessibility, and openness of the Internet have served to increase the security risk of information systems tremendously. This paper concerns intrusion detection. We describe approaches to intrusion detection using neural networks and support vector machines. The key ideas are to discover useful patterns or features that describe user behavior on a system, and use the set of relevant features to build classifiers that can recognize anomalies and known intrusions, hopefully in real time. Using a set of benchmark data from a KDD (knowledge discovery and data mining) competition designed by DARPA, we demonstrate that efficient and accurate classifiers can be built to detect intrusions. We compare the performance of neural networks based, and support vector machine based, systems for intrusion detection","1098-7576;10987576","0-7803-7278-6;0780372786","","10.1109/IJCNN.2002.1007774","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1007774","","Data mining;Information security;Information systems;Internet;Intrusion detection;Neural networks;Pattern recognition;Real time systems;Support vector machine classification;Support vector machines","Internet;data mining;learning automata;neural nets;pattern classification;real-time systems;security of data;telecommunication security","Internet;KDD;SVM;data mining;information security;intrusion detection;knowledge discovery;neural networks;relevant feature set;support vector machines","","96","3","16","","","2002","12 May 2002-17 May 2002","IEEE","IEEE Conference Publications"
"A novel fuzzy anomaly detection algorithm based on artificial immune system","Li Zhi-tang; Li Yao; Wang Li","Comput. Sch., Huazhong Univ. of Sci. & Technol., Hubei, China","Eighth International Conference on High-Performance Computing in Asia-Pacific Region (HPCASIA'05)","20060227","2005","","","5 pp.","486","More and more intrusion detection systems were developed, but most of these systems have very poor accuracy. To overcome this problem, a self-adaptive anomaly detection system was developed using fuzzy detection anomaly algorithm with negative selection of biology. The algorithm improves the accuracy of the detection method and produces a novel method to measure the deviation from the normal that does not need a discrete division of the non-self space. The proposed anomaly detection model is designed as flexible, extendible, and adaptable in order to meet the needs and preferences of network administrators and can be also supplied for IPv6 environment. Different experiments are performed with MIT-DARAP 1999 dataset (Lippmann et al., 2000) and real word data from different sources. The experimental results show that the proposed algorithms provide some advantages over other algorithms","","0-7695-2486-9;0769524869","","10.1109/HPCASIA.2005.7","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1592309","","Artificial immune systems;Biological system modeling;Computational biology;Detection algorithms;Fuzzy systems;Immune system;Information processing;Intrusion detection;Pattern recognition;Protection","artificial life;fuzzy set theory;security of data","IPv6 environment;MIT-DARAP 1999 dataset;anomaly detection algorithm;artificial immune system;fuzzy algorithm;fuzzy detection;intrusion detection system;negative selection;self-adaptive system","","0","","14","","","1-1 July 2005","","IEEE","IEEE Conference Publications"
"Binary PSO and random forests algorithm for PROBE attacks detection in a network","A. J. Malik; W. Shahzad; F. A. Khan","National University of Computer and Emerging Sciences, A. K. Brohi Road, H-11/4, Islamabad, Pakistan","2011 IEEE Congress of Evolutionary Computation (CEC)","20110714","2011","","","662","668","During the past few years, huge amount of network attacks have increased the requirement of efficient network intrusion detection techniques. Different classification techniques for identifying various attacks have been proposed in the literature. In this paper we propose and implement a hybrid classifier based on binary particle swarm optimization (BPSO) and random forests (RF) algorithm for the classification of PROBE attacks in a network. PSO is an optimization method which has a strong global search capability and is used for fine-tuning of the features whereas RF, a highly accurate classifier, is used here for classification. We demonstrate the performance of our technique using KDD99Cup dataset. We also compare the performance of our proposed classifier with eight other well-known classifiers and the results show that the performance achieved by the proposed classifier is much better than the other approaches.","1089-778X;1089778X","978-1-4244-7834-7;9781424478347","","10.1109/CEC.2011.5949682","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5949682","Intrusion Detection;PROBE attacks;Particle Swarm Optimization;Random Forests","Classification algorithms;Feature extraction;Intrusion detection;Particle swarm optimization;Probes;Radio frequency;Vegetation","computer network security;particle swarm optimisation","PROBE attacks detection;binary PSO;binary particle swarm optimization;classification technique;global search capability;hybrid classifier;network attacks;network intrusion detection;random forest algorithm","","3","1","21","","","5-8 June 2011","","IEEE","IEEE Conference Publications"
"Computational model for trust management in RFID supply chains","M. Mahinderjit-Singh; X. Li","School of Information Technology and Electrical Engineering, The University of Queensland, Australia","2009 IEEE 6th International Conference on Mobile Adhoc and Sensor Systems","20091117","2009","","","734","740","Trust management in an open RFID system environment is a nontrivial problem, where different organizations have different business workflows and operate on different standards and protocols. Open RFID systems can only be effective if the systems can trust each other and be collaborative. The open system environment is also constantly evolving. So the trust and the collaborations need to be constantly maintained to cope with changes. RFID is becoming a ubiquitous computing technology imposing security and privacy threats. Counterfeiting in supply chain management is an attack with cloned and fraud RFID tags in order to gain illegal benefits. In this paper we will extend our previous work on a trust framework and construct a computational model for the trust management. The trust evaluation is built into the process of transactions of the data exchange and authorization in order to facilitate a better data sharing and access control. An example of wine counterfeiting will be presented and we will show how our computational trust model helps in reducing fraud brand of wines in supply chain management (SCM).","2155-6806;21556806","978-1-4244-5113-5;9781424451135","","10.1109/MOBHOC.2009.5336926","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5336926","Computational Trust Management (CTM);RFID;Supply Chain Management (SCM);Trust Management (TM)","Collaborative work;Computational modeling;Counterfeiting;Environmental management;Open systems;Protocols;Radiofrequency identification;Standards organizations;Supply chain management;Supply chains","copy protection;electronic data interchange;radiofrequency identification;security of data;supply chain management;ubiquitous computing;wine industry","RFID supply chains;RFID system;computational trust model;data exchange;fraud brand;organizations;supply chain management;trust management;ubiquitous computing technology;wine counterfeiting","","2","","25","","","12-15 Oct. 2009","","IEEE","IEEE Conference Publications"
"An Intrusion Detection Method for Ad Hoc Network Based on Class Association Rules Mining","C. x. Ma; Z. m. Fang; R. Chen","Sch. of Math. & Comput. Sci., Hubei Univ., Wuhan, China","2009 Fourth International Conference on Frontier of Computer Science and Technology","20100119","2009","","","666","671","Ad Hoc network is a newly developed network without fixed infrastructure and a changing topology. Its vulnerability makes it prone to attacks, which brings greater challenges for intrusion detection for Ad Hoc. Through analyzing the existing intrusion detection techniques as well as the characteristics of Ad Hoc network, this paper has proposed an intrusion detection technique based on class association rules. The result has shown that this method is more accurate and efficient than other methods of its kind, especially for the hidden attack detection.","2159-6301;21596301","978-0-7695-3932-4;9780769539324","978-1-4244-5467-9;9781424454679","10.1109/FCST.2009.120","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5392844","Ad Hoc networks;class association rules;intrusion detection","Ad hoc networks;Association rules;Computer science;Data mining;Data security;Detection algorithms;Intrusion detection;Mobile ad hoc networks;Monitoring;Network topology","ad hoc networks;data mining;mobile radio;security of data;telecommunication computing;telecommunication security","ad hoc network;class association rules mining;intrusion detection method","","1","","11","","","17-19 Dec. 2009","","IEEE","IEEE Conference Publications"
"Extreme learning machines for intrusion detection","Chi Cheng; Wee Peng Tay; G. B. Huang","School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore 639798","The 2012 International Joint Conference on Neural Networks (IJCNN)","20120730","2012","","","1","8","We consider the problem of intrusion detection in a computer network, and investigate the use of extreme learning machines (ELMs) to classify and detect the intrusions. With increasing connectivity between networks, the risk of information systems to external attacks or intrusions has increased tremendously. Machine learning methods like support vector machines (SVMs) and neural networks have been widely used for intrusion detection. These methods generally suffer from long training times, require parameter tuning, or do not perform well in multi-class classification. We propose a basic ELM method based on random features, and a kernel based ELM method for classification. We compare our methods with commonly used SVM techniques in both binary and multi-class classifications. Simulation results show that the proposed basic ELM approach outperforms SVM in training and testing speed, while the proposed kernel based ELM achieves higher detection accuracy than SVM in multi-class classification case.","2161-4393;21614393","978-1-4673-1488-6;9781467314886","978-1-4673-1489-3;9781467314893","10.1109/IJCNN.2012.6252449","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6252449","Extreme Learning Machines;Support Vector Machines;intrusion detection;random features","Computer crime;Feature extraction;Intrusion detection;Kernel;Neurons;Support vector machines;Training","computer network security;feature extraction;learning (artificial intelligence);neural nets;pattern classification;risk analysis;support vector machines;tuning","SVM techniques;computer network;extreme learning machines;information systems;intrusion detection;intrusions classification;kernel-based ELM method;machine learning methods;multiclass classifications;networks connectivity;neural networks;parameter tuning;support vector machines;testing speed;training speed;training times","","5","","25","","","10-15 June 2012","","IEEE","IEEE Conference Publications"
"Learning classifiers for misuse and anomaly detection using a bag of system calls representation","Dae-Ki Kang; D. Fuller; V. Honavar","Dept. of Comput. Sci., Iowa State Univ., Ames, IA, USA","Proceedings from the Sixth Annual IEEE SMC Information Assurance Workshop","20050815","2005","","","118","125","In this paper, we propose a ""bag of system calls"" representation for intrusion detection in system call sequences and describe misuse and anomaly detection results with standard machine learning techniques on University of New Mexico (UNM) and MIT Lincoln Lab (MIT LL) system call sequences with the proposed representation. With the feature representation as input, we compare the performance of several machine learning techniques for misuse detection and show experimental results on anomaly detection. The results show that standard machine learning and clustering techniques on simple ""bag of system calls"" representation of system call sequences is effective and often performs better than those approaches that use foreign contiguous subsequences in detecting intrusive behaviors of compromised processes.","","0-7803-9290-6;0780392906","","10.1109/IAW.2005.1495942","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1495942","","Availability;Communication networks;Computer networks;Data mining;Databases;Intrusion detection;Machine learning;Monitoring;Telecommunication traffic;Traffic control","computer networks;learning (artificial intelligence);pattern classification;pattern clustering;security of data","anomaly detection;bag of system calls representation;feature representation;intrusion detection system;intrusive behavior;learning classifiers;machine learning;misuse detection;pattern clustering;system call sequences","","16","","25","","","15-17 June 2005","","IEEE","IEEE Conference Publications"
"Breach detection system testing methodology","Z. Balazs; S. Miladinov; C. Pickard","MRG Effitas Budapest, Hungary","Anti-malware Testing Research (WATeR), 2014 Second Workshop on","20150122","2014","","","1","4","Traditional antivirus systems, firewalls, intrusion detection or prevention systems, mail and web proxies have been bypassed by determined attackers for a long time. In order to fight these new threats, vendors started to develop new systems, called breach detection systems. Because the end-goal of these systems is detection, those can be considered as next generation intrusion detection systems. In order to measure the effectiveness of these breach detection systems, we propose a new type of test methodology. Our approach is based on that advanced attackers who can bypass the existing layers of security have the time, skill and resources to create unknown malware, with advanced bypass capabilities. We will evaluate a hybrid approach, where the IP / domain of the attacker C&C server is simulated in one case, and real in another case. Our approach uses only RAT (Remote Admin Tools / Remote Access Trojans) functionality, using both in-the-wild and custom developed RAT.","","","","10.1109/WATeR.2014.7015756","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7015756","Advanced persistent threat;Breach detection system;test methodology","Browsers;Home appliances;IP networks;Malware;Servers;Testing;Uniform resource locators","program testing;security of data","RAT functionality;antivirus systems;breach detection system;firewalls;intrusion detection system;intrusion prevention system;remote access trojans;remote admin tools;security layers;system testing methodology","","1","","7","","","23-23 Oct. 2014","","IEEE","IEEE Conference Publications"
"A novel algorithm for pattern matching with back references","L. Yang; V. Ganapathy; P. Manadhata; Ye Wu","Baidu, Inc., Shenzhen, China 518000","2015 IEEE 34th International Performance Computing and Communications Conference (IPCCC)","20160218","2015","","","1","8","Modern network security applications, such as network-based intrusion detection systems (NIDS) and firewalls, routinely employ deep packet inspection to identify malicious traffic. In deep packet inspection, the contents of network traffic are matched against patterns of malicious traffic to identify attack-carrying packets. The pattern matching algorithms employed for deep packet inspection must be fast, as the algorithms are often implemented on middle-boxes residing on high-speed gigabits per second links. The majority of patterns employed in network security applications are regular languages. However, regular language-based patterns have limited expressive power and are not capable of describing some complex features in network payload. Back reference is an important feature provided by many pattern matching tools, e.g., PCRE, the regular expression libraries of Java, Perl, and Python. Back references are used to identify repeated patterns in input strings. Patterns containing back-references are non-regular languages. Very little work has been done to improve the time-efficiency of back reference-based pattern matching. The de facto algorithm to implement back reference is recursive backtracking, but it is vulnerable to algorithmic complexity attacks. In this paper, we present a novel approach to implement back references. The basic idea of our approach is to transform a back reference problem to a conditional submatch problem, and represent it with a Non-deterministic Finite Automata (NFA)-like machine subject to some constraints. Our experimental results show that our approach resists known algorithmic complexity attacks, and is faster than PCRE by up to three orders of magnitude for certain types of patterns.","","","","10.1109/PCCC.2015.7410264","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7410264","Back reference;Finite automaton;Network-based Intrusion Detection System;Pattern matching","Resists","finite automata;formal languages;pattern matching;security of data","NFA-like machine;back reference-based pattern matching algorithm;conditional submatch problem;de facto algorithm;firewalls;modern network security applications;network-based intrusion detection systems;nondeterministic finite automata like machine;recursive backtracking;regular language-based patterns","","","","28","","","14-16 Dec. 2015","","IEEE","IEEE Conference Publications"
"Model-based vision for automatic alarm interpretation","T. J. Ellis; P. L. Rosin; P. Golton","Center for Inf. Eng., City Univ., London, UK","IEEE Aerospace and Electronic Systems Magazine","20020806","1991","6","3","14","20","The further development of a previously reported knowledge-based vision recognition system for automating the interpretation of alarm events resulting from a perimeter intrusion detection system (PIDS) is reported. Measurements extracted over a sequence of digitized images are analyzed to identify the cause of the alarm. Models are maintained for alarm causes, and the scene and the measurements are matched with the models to derive an appropriate classification of the event. An overview of the initial classification system is provided, and modifications to the system are described. The results of applying the system to a range of real alarm events are presented, and further improvements are discussed.<<ETX>>","0885-8985;08858985","","","10.1109/62.71910","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=71910","","Animals;Clouds;Event detection;Image analysis;Image sequence analysis;Intrusion detection;Layout;Machine vision;Motion detection;Object detection","access control;alarm systems;computer vision;computerised pattern recognition;computerised picture processing;knowledge based systems","automatic alarm interpretation;classification;digitized images;knowledge-based vision recognition;perimeter intrusion detection system;target tracking","","6","2","9","","","March 1991","","IEEE","IEEE Journals & Magazines"
