"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&ar=643735,1630800,6481449,5199233,5425781,7092780,4141335,579216,6755239,5307053,6122778,7100287,6195713,1192456,1382393,7193092,4273155,4199148,5169560,5578462,5593277,5684064,5708514,6185284,7417736,4451089,5706776,6755026,6630405,4021129,1512502,7080987,5732839,7149666,5512824,4662879,5380620,6687997,5328990,7011242,1194881,5061944,6745565,1606159,6129371,1517791,5380614,6663777,5378562,1179706,7245674,7371950,6673332,7060073,7158178,6983400,7011238,6748543,4227579,6394445,6549320,6263689,1300270,7396496,957123,4444085,6208721,5368944,4271753,1021721,6754583,5940931,6982618,7096195,5749877,7511103,5600281,1594841,7458182,6508330,4912959,7029341,5392861,6174412,4600004,6322881,6059956,5474495,6637422,6615519,5485336,6396096,6405746,4700183,4300987,6305259,6617506,1385878,1184017,1437831",2016/08/04 11:36:07
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"An experimental study of insider attacks for OSPF routing protocol","B. Vetter; F. Wang; S. F. Wu","Dept. of Comput. Sci., North Carolina State Univ., Raleigh, NC, USA","Network Protocols, 1997. Proceedings., 1997 International Conference on","20020806","1997","","","293","300","It is critical to protect the network infrastructure (e.g., network routing and management protocols) against security intrusions, yet dealing with insider attacks are probably one of the most challenging research problems in network security. We study the security threats, especially internal/insider threats, for the standardized routing protocol OSPF. In OSPF, a group of routers collaborate, exchange routing information, and forward packets for each other. If one (and maybe more than one) router is evil or compromised, how can this router damage the whole network? In this paper, we analyze OSPF and identify its strengths and weakness under various insider attacks. Furthermore, to confirm our analysis, we have implemented and experimented one attack, the max sequence number attack, on our OSPF routing testbed. Our attack is very successful against two independently developed router products as it will block routing updates for 60 minutes by simply injecting one bad OSPF protocol data unit","1092-1648;10921648","0-8186-8061-X;081868061X","","10.1109/ICNP.1997.643735","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=643735","","Collaboration;Computer network management;Computer science;Computer security;Forward contracts;IP networks;Information security;Protection;Routing protocols;Testing","Internet;security of data;telecommunication network routing;transport protocols","OSPF routing protocol;OSPF routing testbed;management protocols;max sequence number attack;network infrastructure;network routing;router products;security intrusions","","14","5","17","","","28-31 Oct 1997","28 Oct 1997-31 Oct 1997","IEEE","IEEE Conference Publications"
"INTCTD: A Peer-to-Peer Approach for Intrusion Detection","C. L. Dumitrescu","The University of Chicago, USA","Cluster Computing and the Grid, 2006. CCGRID 06. Sixth IEEE International Symposium on","20060530","2006","1","","89","92","In this paper we propose a peer-to-peer (P2P) prototype (INTCTD) for intrusion detection over an overlay network. INTCTD is a distributed system based on neural networks for detecting network traffic anomalies and for modifying dynamically the network resource access policies. Automated learning and online knowledge sharing are employed among the participating nodes, while the distillation of the network traffic is performed by each individual each node. This approach for local analysis of the network traffic gives the opportunity for utilization of simple automated learners at each node and the reduction of the amount of information exchanged among the peers.","","0-7695-2585-7;0769525857","","10.1109/CCGRID.2006.59","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1630800","","Computer networks;Computer science;Distributed computing;IP networks;Information analysis;Intrusion detection;Neural networks;Peer to peer computing;Prototypes;Telecommunication traffic","","","","1","","10","","","16-19 May 2006","","IEEE","IEEE Conference Publications"
"Systolic Pattern Matching Hardware With Out-of-Plane Nanomagnet Logic Devices","X. Ju; M. T. Niemier; M. Becherer; W. Porod; P. Lugli; G. Csaba","Institute for Nanoelectronics of the Technical University of Munich, D-80333 Munich, Germany","IEEE Transactions on Nanotechnology","20130506","2013","12","3","399","407","We present the design and simulation of systolic information processing hardware that is comprised of single domain, Co/Pt magnets (i.e., out-of-plane nanomagnet logic or oNML). The designed circuit can identify instances of a preprogrammed bit sequence in streaming data. The systolic architecture 1) exploits unique benefits of the oNML device architecture such as nonvolatility and inherently pipelined logic with no memory overhead for holding the bits in the pipeline and 2) mitigates less desirable features of oNML such as nearest neighbor dataflow and longer device switching times when compared to a CMOS transistor. The designed layout is verified and analyzed by micromagnetic simulations. We quantify how the performance and energy of oNML information processing hardware compares to CMOS equivalents and conclude that the initial oNML design (including the overhead of magnetic field generation) is about an order of magnitude more power efficient at essentially iso-performance.","1536-125X;1536125X","","","10.1109/TNANO.2013.2253118","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6481449","Co/Pt nanomagnets;magnetic logic;micromagnetic simulation;nanomagnet logic (NML);systolic circuits","Clocks;Hardware;Logic gates;Magnetic circuits;Magnetic domains;Magnetic switching;Switches","cobalt;magnetic logic;nanoelectronics;nanomagnetics;pattern matching;platinum","CMOS transistor;Co-Pt;memory overhead;micromagnetic simulations;nearest neighbor dataflow;oNML device architecture;oNML information processing hardware;out-of-plane nanomagnet logic devices;pipelined logic;preprogrammed bit sequence;streaming data;systolic architecture;systolic information processing hardware simulation;systolic pattern matching hardware","","11","","37","","2013-03-18","May 2013","","IEEE","IEEE Journals & Magazines"
"On Achieving Cost-Sensitive Anomaly Detection and Response in Mobile Ad Hoc Networks","Z. Zhang; P. H. Ho; F. Nait-Abdesselam","SRC-TBN, NICT, Japan","2009 IEEE International Conference on Communications","20090811","2009","","","1","5","In Mobile Ad Hoc Networks (MANET), anomaly detection and response system (ADRS) plays a paramount role in diagnosing anomalous events, which are resulted by both accidental system errors and intentional attacks. While a variety of ADRS is ready for deployment, there lacks a sound and formal way to examine their operational characteristics for selecting the most appropriate ones with particular concerns. To that end, this paper develops a decision-theoretical framework to identify the fundamental tradeoffs between the key evaluation metrics of ADRS in MANET, along with a formal method to optimize the overall performance of ADRS in terms of those metrics of concern. In particular, each ADRS sensor is treated as an autonomous agent, making its decision as the local operational environment and a global signal that estimates the performance of ADRS as a whole, in terms of detection performance (detection accuracy and false positive rate) and operational cost (detection cost and response cost). The theoretical framework then serves as a basis for developing policy gradient algorithms for practically and automatically inferring the optimal behavior of ADRS sensors. A set of simulations is conducted for validating the feasibility and evaluating the performance of our proposed framework.","1550-3607;15503607","978-1-4244-3435-0;9781424434350","978-1-4244-3435-0;9781424434350","10.1109/ICC.2009.5199233","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5199233","","Autonomous agents;Communications Society;Cost function;Event detection;Humans;Impedance;Intrusion detection;Measurement;Mobile ad hoc networks;Optimization methods","ad hoc networks;mobile radio;telecommunication security","ADRS sensor;MANET;accidental system errors;anomalous events;autonomous agent;cost-sensitive anomaly detection;decision-theoretical framework;detection accuracy;detection cost;detection performance;false positive rate;intentional attacks;key evaluation metrics;mobile ad hoc networks;operational cost;policy gradient algorithms;response cost;response system","","0","","14","","","14-18 June 2009","","IEEE","IEEE Conference Publications"
"Using Network Motifs to Identify Application Protocols","E. G. Allan Jr.; W. H. Turkett; E. W. Fulp","Dept. of Comput. Sci., Wake Forest Univ., Winston-Salem, NC, USA","Global Telecommunications Conference, 2009. GLOBECOM 2009. IEEE","20100304","2009","","","1","7","Identifying application types in network traffic is a difficult problem for administrators who must secure and manage network resources, further complicated by the use of encrypted protocols and nonstandard port numbers. This paper takes a unique approach to this problem by modeling and analyzing application graphs, structures which describe the application-level (e.g., HTTP, FTP) communications between hosts. These graphs are searched for motifs: recurring, significant patterns of interconnections that can be used to help determine the network application in use. Motif-based analysis has been applied predominantly to biological networks to hypothesize key functional regulatory units, but never to network traffic as it is here. For the proposed method, a description of each node is generated based on its participation in statistically significant motifs. These descriptions, or profiles, are data points in multidimensional space that are used as input to a k-nearest neighbor (k-NN) classifier to predict the application. This work also compares the performance of motif-based analysis to an alternative profile type based on ""traditional"" graph measures such as path lengths, clustering coefficients and centrality measures. The results show that motif profiles perform better than traditional profiles, and are able to correctly identify the actions of 85% of the hosts examined across seven protocols.","1930-529X;1930529X","978-1-4244-4148-8;9781424441488","","10.1109/GLOCOM.2009.5425781","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5425781","","Application software;Cryptography;Data security;Information security;Length measurement;Network servers;Peer to peer computing;Protocols;Resource management;Telecommunication traffic","cryptography;telecommunication traffic;transport protocols","FTP;HTTP;application graphs;application protocols;encrypted protocols;k-nearest neighbor classifier;motif-based analysis;network motifs;network resources;network traffic","","1","","21","","","Nov. 30 2009-Dec. 4 2009","","IEEE","IEEE Conference Publications"
"Iterative Selection of Cost-Effective Countermeasures for Intelligent Threat Agents","F. Baiardi; F. Tonelli; A. Bertolini; R. Bertolotti","Dipt. di Inf., Univ. Pisa, Pisa, Italy","2015 23rd Euromicro International Conference on Parallel, Distributed, and Network-Based Processing","20150423","2015","","","595","599","We describe the tools of the Haruspex suite to manage the risk due to intelligent agents. The suite applies a Monte Carlo method and it return a statistical samples on the attacks these agents implement. Some tools of the suite analyzes these samples to select the countermeasures to deploy. The tools work in an iterative way that alternates the selection of countermeasures and the application of the Monte Carlo method. This takes into account that an intelligent agent may select distinct attacks to replace those affected by the countermeasures. Lastly, we apply the tools to three industrial control systems.","1066-6192;10666192","","","10.1109/PDP.2015.20","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7092780","Countermeasures;Monte Carlo Method;Risk Assessment and Managemen;Scenario","Analytical models;Computational modeling;Context;Engines;Monte Carlo methods;Process control;Security","Monte Carlo methods;iterative methods;security of data;statistical analysis","Haruspex suite;Monte Carlo method;cost-effective countermeasures;industrial control systems;intelligent threat agents;iterative selection","","0","","26","","","4-6 March 2015","","IEEE","IEEE Conference Publications"
"A Hybrid Approach to Intrusion Detection and Prevention for Business Intelligence Applications","C. G. Yee; G. S. V. R. K. Rao","Faculty of Information Technology, Multimedia University, Cyberjaya, Malaysia. Tel: +603-8312-5346, Fax: +603-8312-5264, E-mail: gychan@mmu.edu.my","2006 International Symposium on Communications and Information Technologies","20070402","2006","","","847","850","In this paper, an application-based intrusion detection and prevention (ID/IP) system coupled with data mining and mobile agent technologies is introduced. Under this approach, the ID/IP system consists of a core engine with data sensor, detector, configuration device and alert and response device as its main components. The data sensors posting as designated agents are to gather information from their respective sources in real time. The information gathered by the respective agent is fed into the detector where correlation methods and data mining techniques are employed to analyze and identify any intrusive activity or event. Since information is gathered from various sources by the respective agent, different type of profiles representing normal behavior such as network traffic, users, systems, applications, transactions, alarms and alerts can be built, and deviation from these profiles are considered to be intrusion. A rating model is then used to evaluate the intrusive activities. When an intrusion or attack is detected by the detector and evaluated to have a rating below the threshold value, the configuration device changes the status of the ID/IP system to alert mode and signal the alert and response device to take the necessary actions. Subsequently, mobile response agents are used to carry out response mechanisms at the target and the source","","0-7803-9740-1;0780397401","0-7803-9741-X;078039741X","10.1109/ISCIT.2006.339856","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4141335","","Correlation;Data mining;Detectors;Engines;Event detection;Information analysis;Intelligent sensors;Intrusion detection;Mobile agents;Sensor systems","competitive intelligence;data mining;mobile agents;security of data","alert device;application-based intrusion detection;business intelligence applications;configuration device;correlation methods;data mining;data sensor;mobile agent technologies;prevention system;response device","","1","","16","","","Oct. 18 2006-Sept. 20 2006","","IEEE","IEEE Conference Publications"
"Continuous assessment of a Unix configuration: integrating intrusion detection and configuration analysis","A. Mounji; B. Le Charlier","Inst. d'Inf., Namur Univ., Belgium","Network and Distributed System Security, 1997. Proceedings., 1997 Symposium on","20020806","1997","","","27","35","Computer security is a topic of growing concern because, on the one hand, the power of computers continues to increase at exponential speed and all computers are virtually connected to each other and because, on the other hand, the lack of reliability of software systems may cause dramatic and unrecoverable damage to computer systems and hence to the newly emerging computerized society. Among the possible approaches to improve the current situation, expert systems have been advocated to be an important one. Typical tasks that such expert systems attempt to achieve include finding system vulnerabilities and detecting malicious behaviour of users. We extend our intrusion detection system ASAX with a deductive subsystem that allows us to assess the security level of a software configuration on a real time basis. By coupling the two subsystems-intrusion detection and configuration analysis-we moreover achieve a better tuning of the intrusion detection since the system has only to enable intrusion detection rules that are specifically required by the current state of the configuration. We also report some preliminary performance measurements, which suggest that our approach can be practical in real life contexts","","0-8186-7767-8;0818677678","","10.1109/NDSS.1997.579216","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=579216","","Access control;Authentication;Computer networks;Computer security;Data security;Expert systems;Intrusion detection;Performance analysis;Power system reliability;Real time systems","Unix;computer networks;expert systems;inference mechanisms;performance evaluation;security of data","ASAX intrusion detection system;Unix configuration;computer security;computer systems;configuration analysis;deductive subsystem;expert systems;intrusion detection;intrusion detection rules;malicious user behaviour detection;performance measurements;security level;software configuration;software systems reliability;system vulnerabilities","","2","1","24","","","10-11 Feb 1997","10 Feb 1997-11 Feb 1997","IEEE","IEEE Conference Publications"
"A Novel Taxonomy of Black-Hole Attack Detection Techniques in Mobile Ad-hoc Network (MANET)","A. Sherif; M. Elsabrouty; A. Shoukry","Sch. of Electron., Commun. & Comput. Eng., Egypt-Japan Univ. of Sci. & Technol. (EJUST), Alexandria, Egypt","2013 IEEE 16th International Conference on Computational Science and Engineering","20140306","2013","","","346","352","Mobile Ad-Hoc Networks (MANETs) are characterized by the lack of infrastructure, dynamic topology, and their use of the open wireless medium. Black-hole attack represents a major threat for such type of networks. The purpose of this paper is two folds. First, to present an extensive survey of the known black-hole detection and prevention approaches. Another objective is to present new dimensions for their classification.","","","","10.1109/CSE.2013.60","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6755239","","Ad hoc networks;Genetic algorithms;Monitoring;Routing;Routing protocols;Taxonomy","computer crime;mobile ad hoc networks;telecommunication security","MANET;black-hole attack detection techniques;black-hole detection;black-hole prevention;dynamic topology;mobile ad-hoc network;network threat;open wireless medium","","0","","42","","","3-5 Dec. 2013","","IEEE","IEEE Conference Publications"
"P2P-AIS: A P2P Artificial Immune Systems architecture for detecting DDoS flooding attacks","K. Ali; I. Aib; R. Boutaba","David R. Cheriton School of Computer Science, University of Waterloo, Ontario, Canada","2009 Global Information Infrastructure Symposium","20091030","2009","","","1","4","The human immune system (HIS) plays an important role in protecting the human body from various intruders ranging from naive germs to the most sophisticated viruses. It acts as an intrusion detection and prevention system (IDPS) for the human body and detects anomalies that make the body deviate from its normal behavior. This inspired researchers to build artificial immune systems (AISes) which imitate the behavior of the HIS and are capable of protecting hosts or networks from attacks. An artificial immune system (AIS) is capable of detecting novel attacks because it is trained to differentiate between the normal behavior (self) and the abnormal behavior (non-self) during a tolerization (i.e training) period. Although several AISes have been proposed, only a few make use of collaborative approaches. In this paper we propose P2P-AIS, a P2P approach for AISes in which peers exchange intrusion detection experience in order to enhance attack detection and mitigation. P2P-AIS implements Chord as a distributed hash table (DHT) protocol to organize the peers.","2150-3281;21503281","978-1-4244-4623-0;9781424446230","978-1-4244-4624-7;9781424446247","10.1109/GIIS.2009.5307053","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5307053","artificial immune systems;distributed denial of service;intrusion detection;peer-to-peer systems","Artificial immune systems;Broadcasting;Computer crime;Computer science;Error correction;Floods;Humans;Intrusion detection;Protection;Protocols","artificial immune systems;cryptographic protocols;peer-to-peer computing;security of data","Chord;DDoS flooding attacks;P2P-AIS;artificial immune system;distributed hash table protocol;intrusion detection;intrusion prevention system","","0","","20","","","23-26 June 2009","","IEEE","IEEE Conference Publications"
