"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&ar=6921795,7156456,6734998,6427810,6047923,5380611,7164761,5563714,5963161,6993132,6428882,5945730,7062864,7107553,6417662,6413760,5497840,7087397,5498492,7013367,5251344,6821496,6025646,5189885,6406663,6997490,5366868,6006095,5376182,6006350,6249409,7028837,5399145,5522795,5420062,5720528,6528551,6921740,6911204,7016971,6042819,5754209,5404180,5373652,6318741,6878854,5479324,5670842,5552689,6757727,6386793,5402556,6146898,6029705,6075132,4958805,7193092,6194493,6126615,6883587,4815406,7130435,7015755,7065641,7059650,7165965,5454576,6394445,7033255,5592633,6148781,6577120,6622963,6006397,7229705,6923630,5283007,6743566,6212000,5664238,5533775,7160206,6760719,5421315,5604407,5486724,5175060,5380706,5872976,4976746,5718652,6215894,5983850,6463148,5718362,4809140,7065599,5374596,6042790,5076193",2015/11/03 10:12:29
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Intelligent wall mounted wireless fencing system using wireless sensor actuator network","Ghatak, S.; Bose, S.; Roy, S.","Dept. of Comput. Sci., Netaji Subhash Eng. Coll., Kolkata, India","Computer Communication and Informatics (ICCCI), 2014 International Conference on","20141016","2014","","","1","5","This paper presents the relative merits of IR and microwave sensor technology and their combination with wireless camera for the development of a wall mounted wireless intrusion detection system and explain the phases by which the intrusion information are collected and sent to the central control station using wireless mesh network for analysis and processing the collected data. These days every protected zone is facing numerous security threats like trespassing or damaging of important equipments and a lot more. Unwanted intrusion has turned out to be a growing problem which has paved the way for a newer technology which detects intrusion accurately. Almost all organizations have their own conventional arrangement of protecting their zones by constructing high wall, wire fencing, power fencing or employing guard for manual observation. In case of large areas, manually observing the perimeter is not a viable option. To solve this type of problem we have developed a wall-mounted wireless fencing system. In this project I took the responsibility of studying how the different units could be collaborated and how the data collected from them could be further processed with the help of software, which was developed by me. The Intrusion detection system constitutes an important field of application for IR and microwave based wireless sensor network. A state of the art wall-mounted wireless intrusion detection system will detect intrusion automatically, through multi-level detection mechanism (IR, microwave, active RFID & camera) and will generate multi-level alert (buzzer, images, segment illumination, SMS, E-Mail) to notify security officers, owners and also illuminate the particular segment where the intrusion has happened. This system will enable the authority to quickly handle the emergency through identification of the area of incident at once and to take action quickly. IR based perimeter protection is a proven technology. However IR-based intrusion detection - ystem is not a full-proof solution since (1) IR may fail in foggy or dusty weather condition & hence it may generate false alarm. Therefore we amalgamate this technology with Microwave based intrusion detection which can work satisfactorily in foggy weather. Also another significant arena of our proposed system is the Camera-based intrusion detection. Some industries require this feature to capture the snap-shots of the affected location instantly as the intrusion happens. The Intrusion information data are transmitted wirelessly to the control station via multi hop routing (using active RFID or IEEE 802.15.4 protocol). The Control station will receive intrusion information at real time and analyze the data with the help of the Intrusion software. It then sends SMS to the predefined numbers of the respective authority through GSM modem attached with the control station engine.","","978-1-4799-2353-3","","10.1109/ICCCI.2014.6921795","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6921795","IEEE 802.15.4;IR Transceiver Module;Wireless Sensor Network","Communication system security;Intrusion detection;Monitoring;Software;Wireless communication;Wireless sensor networks","Zigbee;cameras;cellular radio;electronic messaging;radio transceivers;safety systems;telecommunication computing;telecommunication network routing;wireless mesh networks;wireless sensor networks","GSM modem;IEEE 802.15.4 protocol;IR based intrusion detection system;IR based perimeter protection;IR transceiver module;active RFID;central control station;intelligent wall mounted wireless fencing system;intrusion software;microwave based intrusion detection;microwave sensor technology;multihop routing;multilevel detection mechanism;wall mounted wireless intrusion detection system;wireless camera;wireless mesh network;wireless sensor actuator network","","0","","14","","","3-5 Jan. 2014","","IEEE","IEEE Conference Publications"
"Scalable detection of web malware on smartphones","Adas, H.; Shetty, S.; Tayib, W.","Coll. of Eng., Tennessee State Univ., Nashville, TN, USA","Information and Communication Technology Research (ICTRC), 2015 International Conference on","20150716","2015","","","198","201","Recently, the smartphone industry has seen tremendous growth due to the widespread adoption of devices based on Google's Android and Apple's IOS platforms. The worldwide market penetration of Android based smartphones has attracted the attention of malware developers. This paper presents a scalable classifier to detect web malware on Android smartphones. Limited computational and energy resources on smartphones make it infeasible to deploy rich featured security mechanisms. We extracted network and URL inspection features from over two million mobile URLs. A scalable classier is applied to the measured features and implemented on MapReduce/Hadoop based cloud computing platform. Performance evaluation of the system has shown that 99.8% accuracy is achieved with a response time of 120 ms.","","","","10.1109/ICTRC.2015.7156456","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7156456","","Androids;Feature extraction;Malware;Mobile communication;Smart phones;Uniform resource locators","cloud computing;data handling;invasive software;mobile computing;operating systems (computers);parallel processing;smart phones;software performance evaluation","Android smart phone;Apple IOS platform;Google Android;Hadoop;MapReduce;Web malware detection;cloud computing platform;system performance evaluation","","0","","18","","","17-19 May 2015","","IEEE","IEEE Conference Publications"
"PCA IP-core for gas applications on the heterogenous zynq platform","Ali, A.A.S.; Amira, A.; Bensaali, F.; Benammar, M.","Coll. of Eng., Qatar Univ., Doha, Qatar","Microelectronics (ICM), 2013 25th International Conference on","20140210","2013","","","1","4","Principal component analysis (PCA) is a commonly used technique for data reduction in general as well as for dimensionality reduction in gas identification systems when a sensor array is being used. This paper presents the design and implementation of a complete PCA IP core for gas application on the Zynq programmable system on chip (SoC). All steps of PCA starting from the mean computation to the projection of data onto the new space, passing by the normalization process, covariance matrix and the eigenvectors computation are developed in C and synthesized using the new Xilinx VIVADO high level synthesis (HLS). The Jacobi method is used to find the eigenvectors and different approaches for the implementation of the PCA core on the heterogeneous Zynq platform are proposed. The hardware implementation of the presented PCA algorithm for a 16 × 30 matrix is faster than the software one with a speed up of 1.41 times when executed on a desktop running a 64-bit Intel i7-3770 processor at 3.40GHz. It was achieved using an average of 23% of all resources.","","978-1-4799-3569-7","","10.1109/ICM.2013.6734998","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6734998","","Electrocardiography;Hardware;Manganese;Principal component analysis;Sensors;Software;Table lookup","Jacobian matrices;covariance matrices;eigenvalues and eigenfunctions;high level synthesis;logic circuits;microprocessor chips;principal component analysis;system-on-chip","Jacobi method;PCA IP-Core;Principal component analysis;Xilinx ADO high level synthesis;Zynq programmable system on chip;covariance matrix;eigenvectors computation;frequency 3.4 GHz;gas applications;heterogeneous Zynq platform;normalization;word length 64 bit","","0","","15","","","15-18 Dec. 2013","","IEEE","IEEE Conference Publications"
"From the Enterprise Perimeter to a Mobility-Enabled Secure Cloud","Amoroso, E.G.","","Security & Privacy, IEEE","20130201","2013","11","1","23","31","The enterprise perimeter has exhibited gradual trust degradation owing to a succession of connectivity decisions involving Web, email, virtual private networking, exceptions, and mobile networks as well as a succession of threats including malware and advanced persistent threats (APTs). The author proposes restoring trust to the enterprise by focusing protection strategies on a set of prioritized assets. The protections center on three zones: a client zone, a network zone with network-based carrier protection services, and a cloud zone with third-party attested security heavily indexed toward identity and access management services. The resultant enterprise network is more resilient to leakage attacks such as APTs.","1540-7993","","","10.1109/MSP.2013.8","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6427810","advanced persistent threats;enterprise networks;enterprise perimeter;firewall;intrusion detection system;intrusion prevention system","Cloud computing;Computer security;Malware;Mobile communication;Virtual private networks","Internet;client-server systems;cloud computing;computer network security;invasive software;mobile computing;trusted computing;virtual private networks","APT;access management services;advanced persistent threats;client zone;connectivity decision;email;enterprise network;enterprise perimeter;malware;mobile networks;mobility-enabled secure cloud;network zone;network-based carrier protection services;protection center;protection strategies;third-party attested security;trust degradation;virtual private networking","","3","","","","","Jan.-Feb. 2013","","IEEE","IEEE Journals & Magazines"
"Hybrid network Intrusion Detection","Amza, C.; Leordeanu, C.; Cristea, V.","Fac. of Autom. Control & Comput., Univ. Politeh. of Bucharest, Bucharest, Romania","Intelligent Computer Communication and Processing (ICCP), 2011 IEEE International Conference on","20111020","2011","","","503","510","In this paper we present a novel Intrusion Detection System which uses a hybrid approach based on a pattern matching engine and a neural network functioning in parallel to improve the detection efficiency. The attacks that this module is able to detect will be presented, as well as the methods used. This approach is based on the Netpy traffic monitoring and analysis tool which we developed. To test this approach we built a module for Netpy for intrusion detection. Furthermore, we prove that this approach is efficient for intrusion detection and also superior to any of the two individual methods.","","978-1-4577-1479-5","978-1-4577-1481-8","10.1109/ICCP.2011.6047923","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6047923","","Algorithm design and analysis;Engines;Intrusion detection;Monitoring;Pattern matching;Protocols;Time series analysis","computer network security;neural nets;parallel processing;pattern matching;telecommunication traffic","Netpy traffic monitoring and analysis tool;detection efficiency improvement;hybrid network intrusion detection;neural network;parallel processing;pattern matching engine","","0","","11","","","25-27 Aug. 2011","","IEEE","IEEE Conference Publications"
"Intrusion Detection in the Cloud","Roschke, S.; Feng Cheng; Meinel, C.","Hasso Plattner Inst. (HPI), Univ. of Potsdam, Potsdam, Germany","Dependable, Autonomic and Secure Computing, 2009. DASC '09. Eighth IEEE International Conference on","20100115","2009","","","729","734","Intrusion detection systems (IDS) have been used widely to detect malicious behaviors in network communication and hosts. IDS management is an important capability for distributed IDS solutions, which makes it possible to integrate and handle different types of sensors or collect and synthesize alerts generated from multiple hosts located in the distributed environment. Facing new application scenarios in cloud computing, the IDS approaches yield several problems since the operator of the IDS should be the user, not the administrator of the cloud infrastructure. Extensibility, efficient management, and compatibility to virtualization-based context need to be introduced into many existing IDS implementations.Additionally, the cloud providers need to enable possibilities to deploy and configure IDS for the user. Within this paper, we summarize several requirements for deploying IDS in the cloud and propose an extensible IDS architecture for being easily used in a distributed cloud infrastructure.","","978-0-7695-3929-4","978-1-4244-5421-1","10.1109/DASC.2009.94","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5380611","Cloud Computing;IDS;IDS Management;Virtual Machine;Virtualization","Application software;Cloud computing;Computer architecture;Computer networks;Intrusion detection;Monitoring;Network servers;Protection;Robustness;Virtual machining","Internet;security of data","IDS management;cloud computing;cloud providers;distributed IDS solutions;distributed cloud infrastructure;distributed environment;intrusion detection system;network communication;virtualization-based context compatibility","","26","1","24","","","12-14 Dec. 2009","","IEEE","IEEE Conference Publications"
"Design and implementation of high performance architecture for packet classification","Khan, A.U.; Chawhan, M.; Suryawanshi, Y.; Kakde, S.","Dept. of Electron. Eng., Yeshwantrao Chavan Coll. of Eng., Nagpur, India","Computer Engineering and Applications (ICACEA), 2015 International Conference on Advances in","20150723","2015","","","598","602","Packet Classification is a core function used in an internet router, firewall, network security and quality of services. A flow of packets is decided by the header fields of incoming packets. Software solutions for packet classification are not suitable for wire-speed processing and are not secure. For wirespeed and secure network access, hardware solutions for packet classification are mandatory which can also sustain high throughput at low latency. Memory required for hardware architecture is also a crucial problem. In this paper, we have performed classification of packets using basic XNOR gate. We compare our proposed design with StrideBV which is one of efficient decomposition based technique for packet classification. The results obtained by synthesis and stimulation using XilinxISE Design tool 13.1 are presented in this paper. From the results, we have concluded that our proposed technique is memory efficient as well as has low latency than StrideBV.","","","","10.1109/ICACEA.2015.7164761","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7164761","5-tuple;Packet classification;latency;quality of services;throughput","Algorithm design and analysis;Classification algorithms;Field programmable gate arrays;Hardware;Memory management;Throughput","Internet;firewalls;logic gates;quality of service;telecommunication computing;telecommunication network routing","Internet router;XNOR gate;XilinxISE design tool 13.1;firewall;high performance architecture;incoming packet header fields;network security;packet classification;packet flow;quality of services;secure network access;wire-speed processing","","0","","11","","","19-20 March 2015","","IEEE","IEEE Conference Publications"
"A novel rule-based Intrusion Detection System using data mining","Lei Li; De-Zhang Yang; Fang-Cheng Shen","Sch. of Autom., Nanjing Univ. of Posts & Telecommun., Nanjing, China","Computer Science and Information Technology (ICCSIT), 2010 3rd IEEE International Conference on","20100907","2010","6","","169","172","Network security is becoming an increasingly important issue, since the rapid development of the Internet. Network Intrusion Detection System (IDS), as the main security defending technique, is widely used against such malicious attacks. Data mining and machine learning technology has been extensively applied in network intrusion detection and prevention systems by discovering user behavior patterns from the network traffic data. Association rules and sequence rules are the main technique of data mining for intrusion detection. Considering the classical Apriori algorithm with bottleneck of frequent itemsets mining, we propose a Length-Decreasing Support to detect intrusion based on data mining, which is an improved Apriori algorithm. Experiment results indicate that the proposed method is efficient.","","978-1-4244-5537-9","","10.1109/ICCSIT.2010.5563714","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5563714","Association Rules;Data Mining;Intrusion Detection;Length-Decreasing Support;Rule-based","Data mining;Educational institutions;Itemsets","Internet;data mining;learning (artificial intelligence);security of data","IDS;data mining;machine learning technology;network intrusion detection system;network security;network traffic data","","4","","4","","","9-11 July 2010","","IEEE","IEEE Conference Publications"
"Blacklisting Recommendation System: Using Spatio-Temporal Patterns to Predict Future Attacks","Soldo, F.; Le, A.; Markopoulou, A.","Electr. Eng. & Comput. Sci. Dept., Univ. of California, Irvine, CA, USA","Selected Areas in Communications, IEEE Journal on","20110728","2011","29","7","1423","1437","In this paper, we study the problem of forecasting attack sources based on past attack logs from several contributors. We formulate this problem as an implicit recommendation system, and we propose a multi-level prediction model to solve it. Our model evaluates and combines various factors, namely: (i) attacker-victim history using time-series, (ii) attackers and/or victims interactions using neighborhood models and (iii) global patterns using singular value decomposition. We evaluate our combined method, referred to as Blacklisting Recommendation System (or BRS), on one month of logs from Dshield, and we demonstrate that it improves significantly the prediction rate over state-of-the-art methods as well as the robustness against poisoning attacks. Along the way, we analyze the Dshield dataset, and we reveal dominant patterns of malicious traffic.","0733-8716","","","10.1109/JSAC.2011.110808","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5963161","","IP networks;Noise;Prediction algorithms;Predictive models;Robustness;Security","recommender systems;singular value decomposition","SVD;blacklisting recommendation system;forecasting attack source;multilevel prediction model;recommendation system;spatio-temporal pattern;time series","","1","","32","","","August 2011","","IEEE","IEEE Journals & Magazines"
"Anomaly based intrusion detection of packet dropping attacks in mobile ad-hoc networks","Uyyala, S.; Naik, D.","Dept. of Inf. Technol., Nat. Inst. of Technol., Surathkal, India","Control, Instrumentation, Communication and Computational Technologies (ICCICCT), 2014 International Conference on","20141222","2014","","","1137","1140","Mobile ad-hoc networks are more vulnerable to security attacks due to their unique characteristics such as dynamic topology, no fixed infrastructure, resource limitations and multi-hop scenario. In MANETs one the dangerous attack is packet dropping attack. This packet dropping attack is two types: 1. Black hole and 2. Gray hole. In both the attacks, an attacker sends the false reply to source node that it is having the shortest route to the destination. In black hole attack, attackers drops all the packets received from source node and in gray hole attack, attacker drops packets selectively or forwards packets selectively or forwarding packets but not data packets. In this paper, we have proposed mechanism to detect and isolate these attacks in network.","","978-1-4799-4191-9","","10.1109/ICCICCT.2014.6993132","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6993132","AODV;Intrusion Detection Technique;black hole;gray hole;malicious node;monitoring node","Ad hoc networks;Intrusion detection;Mobile communication;Mobile computing;Monitoring;Routing protocols;Throughput","mobile ad hoc networks;security of data;telecommunication network topology","MANET;anomaly based intrusion detection;black hole attack;dangerous attack;dynamic topology;gray hole attack;mobile ad hoc networks;packet dropping attacks;security attacks;source node","","0","","10","","","10-11 July 2014","","IEEE","IEEE Conference Publications"
