"http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&ar=6384965,1385876,5562949,4459682,1288131,4195553,6575329,6650235,1532885,5692880,4159803,1342338,6767356,1553300,1630014,5655626,6778962,5062172,6121266,7116825,5598041,4591651,5385146,5283011,6720107,4457786,6386855,4511627,7324468,5416818,5137280,5560655,6449954,1029997,4438428,6827709,5635616,4410980,6375884,6384970,7133013,5563843,1251030,5210116,5204400,7028160,6731959,935462,5171143,4159884,1185635,5733237,4370710,7019418,5159015,5940938,4470467,6206796,4795569,7035907,6118526,4529339,5686488,6345766,5277241,923095,1265702,6113260,4409294,4281259,5701892,6188060,6504111,5161247,6384996,4288679,6550973,6060942,7158682,6007925,6946241,6409172,4227579,7056936,4072157,5188807,5339840,5522793,6921383,6189211,1357227,6341374,6784273,4273182,5945312,5348410,6915668,6930185,5708950,5283195",2015/11/20 15:55:20
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Enforcing Trust-Based Intrusion Detection in Cloud Computing Using Algebraic Methods","Bradai, A.; Afifi, H.","","Cyber-Enabled Distributed Computing and Knowledge Discovery (CyberC), 2012 International Conference on","20121220","2012","","","185","190","A trust-based intrusion detection scheme for hybrid cloud computing is proposed. We consider a trust metric based on honesty, cooperation and efficiency for detecting malicious machines. We use Perron-Frobenius theorem to detect intrusion based on trust and observations. By statistically analyzing pair trust distributed results, the portal of the application applies trust-based intrusion detection to assess the trustworthiness and maliciousness. An analytical model and simulation for performance are developed. We analyze the sensitivity of false alarms with respect to the minimum trust threshold below which a node is considered malicious. Results confirm that our proposal is flexible enough to detect malicious behaviours considering various parameters. This work can guide future execution in the cloud resource.","","978-1-4673-2624-7","","10.1109/CyberC.2012.38","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6384965","PerronFrobenius;cloud computing;false alarms;hybrid execution;intrusion detection;security scores;trust management","Cloud computing;Intrusion detection;Peer to peer computing;Portals;Protocols;Vectors","algebra;cloud computing;peer-to-peer computing;security of data;trusted computing","Perron-Frobenius theorem;algebraic methods;hybrid cloud computing;malicious machines;peer-to-peer trust distributed results;trust metric;trust-based intrusion detection","","2","","18","","","10-12 Oct. 2012","","IEEE","IEEE Conference Publications"
"A Novel Approach to Accentuating Anomalous Events in Complex Network Systems","McEachen, J.C.; Zachary, J.M.","Naval Postgraduate School, Monterey, California","System Sciences, 2005. HICSS '05. Proceedings of the 38th Annual Hawaii International Conference on","20050124","2005","","","309a","309a","We consider the computer network as a complex, interacting system and present a novel approach to representing anomalous events that occur within the network. This approach is essentially a form of intelligent data reduction that facilitates scalable monitoring of large systems. Specifically, we develop macrostate descriptions of complex networked systems in situations where exact microstate parameters of each element in the system preclude global understanding from first principles. This aids in identifying violations of network policy such as network attacks and misconfigurations. This approach has been verified in several environments. Example responses from network attacks simulated in the laboratory including those contained in the DARPA Lincoln Lab IDS test data as well as from operational network traffic are presented. These results suggest that our approach presents a unique perspective on anomalies in computer network traffic.","1530-1605","0-7695-2268-8","","10.1109/HICSS.2005.35","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1385876","","Complex networks;Computer network management;Computer networks;Computerized monitoring;Intelligent networks;Intrusion detection;Laboratories;Telecommunication traffic;Testing;Traffic control","","Intrusion detection;network diagnostics;statistical mechanics","","0","","8","","","03-06 Jan. 2005","","IEEE","IEEE Conference Publications"
"Specification-Based Testing of Intrusion Detection Engines Using Logical Expression Testing Criteria","Massicotte, F.; Labiche, Y.","Commun. Res. Centre Canada, Ottawa, ON, Canada","Quality Software (QSIC), 2010 10th International Conference on","20100907","2010","","","102","111","An Intrusion Detection System (IDS) protects computer networks against attacks and intrusions. One class of IDS is called signature-based network IDSs as they monitor network traffic, looking for evidence of malicious behaviour as specified in attack descriptions (referred to as signatures). Many studies report that IDSs have problems accurately identifying attacks. Therefore, it is important to precisely understand under which conditions IDSs accurately identify attacks or fail to do so. However, no systematic approach has so far been defined and used to study this problem. Recognizing that signatures in essence provide the specification of an IDS engine, studying the accuracy of an IDS engine becomes a black-box testing problem. We therefore precisely and systematically evaluate which mature testing techniques can be used (and adapted) to derive tests from IDS signatures. We experiment with those criteria on one widely used and maintained IDS and show that our approach is effective at systematically revealing problems in this IDS engine (e.g., problems that prevent the detection of attacks).","1550-6002","978-1-4244-8078-4","978-0-7695-4131-0","10.1109/QSIC.2010.25","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5562949","Intrusion Detection System;automation;black-box testing;logical expression","Accuracy;Adaptation model;Engines;Payloads;Protocols;Software testing","computer network security;program testing","IDS;computer network protection;intrusion detection engines;logical expression testing criteria;malicious behaviour;network traffic monitoring;specification based testing","","3","","21","","","14-15 July 2010","","IEEE","IEEE Conference Publications"
"MAPMon: A Host-Based Malware Detection Tool","Shih-Yao Dai; Sy-Yen Kuo","Nat. Taiwan Univ., Taipei","Dependable Computing, 2007. PRDC 2007. 13th Pacific Rim International Symposium on","20080303","2007","","","349","356","In order for financial-motivated malware programs such as spyware, virus and worm to survive after system rebooted, they have to modify entries in auto start extensibility points (ASEPs), system calls or system files on a comprised system. We call these system resources which a malware program could attack once it intrudes a host as malware attacking points (MAPs). Based on this observation, we design and implement MAPMon, a monitoring mechanism to detect any suspicious change of malware attacking points. This paper describes the design and implementation tradeoff of the MAPMon tool. The effectiveness of the MAPMon tool for malware detection is evaluated by using real-world malware programs including those that do not have signatures.","","0-7695-3054-0","","10.1109/PRDC.2007.23","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4459682","","Application software;Computer viruses;Computer worms;Encoding;Intrusion detection;Invasive software;Monitoring;Software design;Software tools;Splicing","computer viruses;system monitoring","MAPMon;auto start extensibility points;financial-motivated malware programs;host-based malware detection tool;malware attacking points;monitoring mechanism;spyware;system calls;system files;virus;worm","","4","3","26","","","17-19 Dec. 2007","","IEEE","IEEE Conference Publications"
"Protocol scrubbing: network security through transparent flow modification","Watson, D.; Smart, M.; Malan, G.R.; Jahanian, F.","Dept. of Electr. Eng. & Comput. Sci., Univ. of Michigan, Ann Arbor, MI, USA","Networking, IEEE/ACM Transactions on","20040419","2004","12","2","261","273","This paper describes the design and implementation of protocol scrubbers. Protocol scrubbers are transparent, interposed mechanisms for explicitly removing network scans and attacks at various protocol layers. The transport scrubber supports downstream passive network-based intrusion detection systems by converting ambiguous network flows into well-behaved flows that are unequivocally interpreted by all downstream endpoints. The fingerprint scrubber restricts an attacker's ability to determine the operating system of a protected host. As an example, this paper presents the implementation of a TCP scrubber that eliminates insertion and evasion attacks-attacks that use ambiguities to subvert detection-on passive network-based intrusion detection systems, while preserving high performance. The TCP scrubber is based on a novel, simplified state machine that performs in a fast and scalable manner. The fingerprint scrubber is built upon the TCP scrubber and removes additional ambiguities from flows that can reveal implementation-specific details about a host's operating system.","1063-6692","","","10.1109/TNET.2003.822645","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1288131","","Business;Fingerprint recognition;IP networks;Intrusion detection;Network neutrality;Operating systems;Protection;TCPIP;Telecommunication traffic;Transport protocols","Internet;telecommunication security;transport protocols","Internet;TCP scrubber;ambiguous network;downstream endpoint;evasion attack;fingerprint scrubber;insertion attack;intrusion detection systems;network security;passive network;protocol scrubbing;transparent flow modification;transport scrubber","","22","4","30","","","April 2004","","IEEE","IEEE Journals & Magazines"
"Host Based Intrusion Detection Architecture for Mobile Ad Hoc Networks","Ray, P.","Dept. of Comput. Sci. & Eng., Center for Dev. of Adv. Comput., Noida","Advanced Communication Technology, The 9th International Conference on","20070507","2007","3","","1942","1946","Mobile ad hoc network is a collection of mobile hosts, which can communicate with each other using wireless interfaces and can also dynamically form a network topology where each node can act as router to forwarding the packets to other nodes. These networks are in high demand due to the ease and speed in setting up such networks. Due to the inherent vulnerabilities of wireless medium and node mobility make such network highly susceptible to malicious attacks. Things are getting worst when some nodes getting hijacked or compromised and make this network to stop from the smooth workings. This paper proposes the host based intrusion detection architecture to identify the malicious node and provide security support to continue the smooth workings of this network.","1738-9445","978-89-5519-131-8","","10.1109/ICACT.2007.358751","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4195553","ACM;ADM;ARP;CM;HAR;HDD;MDM;SCM etc","Ad hoc networks;Communication system security;Computer architecture;Computer networks;Intrusion detection;Mobile ad hoc networks;Network topology;Peer to peer computing;Protection;Routing","ad hoc networks;mobile radio;telecommunication network routing;telecommunication network topology;telecommunication security","host based intrusion detection architecture;malicious attacks;mobile ad hoc networks;network topology;wireless interfaces","","1","","12","","","12-14 Feb. 2007","","IEEE","IEEE Conference Publications"
"Intrusion detection and honeypots in nested virtualization environments","Beham, M.; Vlad, M.; Reiser, H.P.","Inst. of IT-Security & Security Law, Univ. of Passau, Passau, Germany","Dependable Systems and Networks (DSN), 2013 43rd Annual IEEE/IFIP International Conference on","20130808","2013","","","1","6","Several research projects in the past have built intrusion detection systems and honeypot architectures based on virtual machine introspection (VMI). These systems directly benefit from the use of virtualization technology. The VMI approach, however, requires direct interaction with the virtual machine monitor, and typically is not available to clients of current public clouds. Recently, nested virtualization has gained popularity in research as an approach that could enable cloud customers to use virtualization-based solutions within a cloud by nesting two virtual machine monitors, with the inner one under control of the client. In this paper, we compare the performance of existing nested-virtualization solutions and analyze the impact of the performance overhead on VMI-based intrusion detection and honeypot systems.","1530-0889","978-1-4673-6471-3","","10.1109/DSN.2013.6575329","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6575329","Cloud computing;Honeypots;Intrusion detection;Nested virtualization","Cloud computing;Hardware;Intrusion detection;Performance evaluation;Support vector machines;Virtual machine monitors;Virtualization","cloud computing;performance evaluation;security of data;virtual machines;virtualisation","VMI approach;VMI-based intrusion detection systems;cloud customers;honeypot architecture;honeypot systems;nested virtualization technology;performance overhead;virtual machine introspection;virtual machine monitor;virtualization-based solutions","","3","","18","","","24-27 June 2013","","IEEE","IEEE Conference Publications"
"Detecting backdoor using stepping stone detection approach","Alminshid, K.; Omar, M.N.","Dept. of Inf. Technol., Univ. Utara Malaysia, Sintok, Malaysia","Informatics and Applications (ICIA),2013 Second International Conference on","20131031","2013","","","87","92","Several techniques are used by intruders to hide the track of intrusion in the network. One of these techniques executes by using series of hosts in network (stepping stones chain), which can be detected by using an approach, called Stepping Stone Detection (SSD). However, during all previous years, SSD was only confined to detect this type of intrusion. This paper discusses the using of SSD approach and potential applications in other emerging field by introduce the using of SSD concepts in backdoor attack detection field. This research shows that by using SSD to detect backdoor attack can be gained very low false negative and false positive rates and reduces the scan process time detection.","","978-1-4673-5255-0","","10.1109/ICoIA.2013.6650235","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6650235","RTT;Stepping stone;backdoor;stepping stone detection","Internet;Intrusion detection;Malware;Monitoring;Ports (Computers);Software","computer network security","SSD approach;backdoor attack detection field;false negative rates;false positive rates;network intrusion tracking;scan process time detection;stepping stone detection approach","","0","","23","","","23-25 Sept. 2013","","IEEE","IEEE Conference Publications"
"Design of Multiple-Level Hybrid Classifier for Intrusion Detection System","Xiang, C.; Lim, S.M.","Dept. of Electr. & Comput. Eng., National Univ. of Singapore","Machine Learning for Signal Processing, 2005 IEEE Workshop on","20051121","2005","","","117","122","As the number of networked computers grows, intrusion detection is an essential component in keeping networks secure. However, constructing and maintaining a misuse detection system is very labor-intensive since attack scenarios and patterns need to be analyzed and categorized, and the corresponding rules and patterns need to be carefully hand-coded. Thus, data mining can be used to ease this inconvenience. This paper proposes a multiple-level hybrid classifier, an intrusion detection system that uses a combination of tree classifiers and clustering algorithms to detect intrusions. Performance of this new algorithm is compared to other popular approaches such as MADAM ID and 3-level tree classifiers, and significant improvement has been achieved from the viewpoint of both high intrusion detection rate and reasonably low false alarm rate","","0-7803-9517-4","","10.1109/MLSP.2005.1532885","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1532885","","Bayesian methods;Classification tree analysis;Clustering algorithms;Computer networks;Computerized monitoring;Data mining;Decision trees;Intrusion detection;Pattern analysis;Testing","computer networks;data mining;pattern classification;pattern clustering;security of data;trees (mathematics)","MADAM ID;data mining;intrusion detection system;misuse detection system;multiple-level hybrid classifier;network attack patterns;network security;networked computers;pattern categorization;pattern clustering;tree classifiers","","4","","8","","","28-28 Sept. 2005","","IEEE","IEEE Conference Publications"
"Game Theoretic Approaches for Multiple Access in Wireless Networks: A Survey","Akkarajitsakul, K.; Hossain, E.; Niyato, D.; Dong In Kim","Dept. of Electr. &amp; Comput. Eng., Univ. of Manitoba, Winnipeg, MB, Canada","Communications Surveys & Tutorials, IEEE","20110922","2011","13","3","372","395","Multiple access methods in a wireless network allow multiple nodes to share a set of available channels for data transmission. The nodes can either compete or cooperate with each other to access the channel(s) so that either an individual or a group objective can be achieved. Game theory, which is a mathematical tool developed to understand the interaction among rational entities, can be applied to model and to analyze individual or group behaviour of nodes for multiple access in wireless networks. Game theory also enables us to model the selfish/malicious behaviour of nodes, and subsequently design the punishment or defense mechanisms for robust multiple access in wireless networks. In addition, game models can provide distributed solutions to the multiple access problems, which are based on solid theoretical foundations. In this survey, we provide a comprehensive review of the game models (e.g., noncooperative/cooperative, static/dynamic, and complete/incomplete information) developed for different multiple access schemes (i.e., contention-free and contention-based random channel access) in wireless networks. We consider time-division multiple access (TDMA), frequency-division multiple access (FDMA), and code-division multiple access (CDMA), ALOHA, and carrier sense multiple access (CSMA)-based wireless networks. In addition, game models for multiple access in dynamic spectrum access-based cognitive radio networks are reviewed. The major findings from the game models used for these different access schemes are highlighted. To this end, several of the key open research directions are outlined.","1553-877X","","","10.1109/SURV.2011.122310.000119","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5692880","Wireless networks;game theory;multiple access;power and rate control game;random access game","Biological system modeling;Games;Markov processes;Multiaccess communication;Nash equilibrium;Wireless networks","carrier sense multiple access;code division multiple access;cognitive radio;frequency division multiple access;game theory;radio networks;time division multiple access","ALOHA;CDMA;CSMA;FDMA;TDMA;carrier sense multiple access;code-division multiple access;contention-based random channel access;contention-free random channel access;data transmission;dynamic spectrum access-based cognitive radio networks;frequency-division multiple access;game theoretic approaches;mathematical tool;multiple access methods;time-division multiple access;wireless networks","","41","","74","","2011-03-24","Third Quarter 2011","","IEEE","IEEE Journals & Magazines"
