"http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&ar=4198826,6516390,4385321,6599007,1382044,4667587,1259959,1342829,4483090,5584893,5136797,5497997,1049250,6394440,4415432,4382163,6704411,6045978,5541835,6493150,7038810,5640935,5619113,1691304,4599904,7033773,5209852,4107733,1423624,6717792,4621614,4287288,5368241,4641288,1231404,5540755,5374518,6476820,7324661,6394683,4682403,4224156,6038162,5609419,6996163,5211030,1689382,5962595,6246794,6599023,4597072,6078289,4597071,4378271",2015/11/20 16:27:47
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"An Intellilgent Infrastructure Strategy to Improving the Performance and Detection Capability of Intrusion Detection Systems","Hooper, E.","Information Security Group, University of London, Royal Holloway, Egham, Surrey, TW20 OEX, UK. E. Hooper@rhul.ac.uk, ehooper@aya.yale.edu","Securecomm and Workshops, 2006","20070515","2006","","","1","10","Network and host Intrusion Detection Systems (IDS) are used to identify suspicious network traffic. However, a high percentage of alerts generated by such systems are liable to be false positives. False positives create considerable administrative overheads, since these alerts typically require manual intervention from a network administrator In order to reduce the number of false positives, we propose a novel infrastructure approach involving what we call network quarantine channels. The network quarantine channels and associated techniques are used to perform further interaction with hosts that have been identified as the source of suspicious traffic. The network quarantine channels are used to provide a more accurate assessment of the potential attacks sent by suspicious hosts, before sending the final status of the alerts to the IDS monitor for the network administrator's response.","","1-4244-0423-1","1-4244-0423-1","10.1109/SECCOMW.2006.359566","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4198826","","Data analysis;Frequency;Information security;Intrusion detection;Prototypes;Remote monitoring;Telecommunication traffic","","","","0","","36","","","Aug. 2006","","IEEE","IEEE Conference Publications"
"Developing a Host Intrusion Prevention System by Using Data Mining","Al-Hamami, A.H.; Alawneh, T.","","Advanced Computer Science Applications and Technologies (ACSAT), 2012 International Conference on","20130516","2012","","","409","413","Intrusion Prevention Systems (IPS) is the most important solution for providing a high level of security all over the networks today. IPS is evolving recently in a way that is expected eventually to replace other security solutions such as firewalls and anti-viruses. To over come the static signature detecting mechanism to identify intruders that exists in all host based IPSs which in turn needs to be updated from time to time to insure the most accurate detection. In this paper we introduce a four tier host based IPS that uses data mining technique, namely decision tree, as a detecting mechanism. The input parameters for the prior decision tree algorithm are the most infected or targeted computer resources by intruders, instead of a static signature database. Three test scenarios were performed to investigate the ability of the proposed IPS to classify intruders correctly.","","978-1-4673-5832-3","","10.1109/ACSAT.2012.103","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6516390","Intrusion prevention system;and information security;data mining;decision tree;intruder","","computer network security;data mining;decision trees;digital signatures","computer resources;data mining;decision tree algorithm;four-tier host-based IPS;host intrusion prevention system;input parameters;intruder classification;intruder identification;static signature database;static signature detection mechanism","","0","","18","","","26-28 Nov. 2012","","IEEE","IEEE Conference Publications"
"A low-cost embedded IDS to monitor and prevent Man-in-the-Middle attacks on wired LAN environments","Belenguer, J.; Calafate, C.T.","Polytech. Univ. of Valencia, Valencia","Emerging Security Information, Systems, and Technologies, 2007. SecureWare 2007. The International Conference on","20071121","2007","","","122","127","A man-in-the-middle (MitM) attack is, in the scope of a LAN, a technique where an attacker is able to redirect all traffic between two hosts of that same LAN for packet sniffing or data manipulation, without the end hosts being aware of it. Usually these attacks exploit security flaws in the implementation of the ARP protocol at hosts. Up to now, detecting such attacks required setting up a machine with special-purpose software for this task. As an additional problem, few intrusion detection systems (IDS) are able to prevent MitM attacks. In this work we present a low-cost embedded IDS which, when plugged into a switch or hub, is able to detect and/or prevent MitM attacks automatically and efficiently. Since our system is limited to a micro-controller and a network interface, it can be produced at a very low cost, which is attractive for large scale production and deployment.","","978-0-7695-2989-9","","10.1109/SECUREWARE.2007.4385321","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4385321","","Costs;Data security;Intrusion detection;Large-scale systems;Local area networks;Monitoring;Network interfaces;Production systems;Protocols;Switches","local area networks;security of data;telecommunication security","ARP protocol;LAN environments;MitM attacks;intrusion detection systems;man-in-the-middle attacks","","1","","9","","","14-20 Oct. 2007","","IEEE","IEEE Conference Publications"
"Smart Grid Mesh Network Security Using Dynamic Key Distribution With Merkle Tree 4-Way Handshaking","Bin Hu; Gharavi, H.","Adv. Network Technol., Nat. Inst. of Stand. & Technol., Gaithersburg, MD, USA","Smart Grid, IEEE Transactions on","20140214","2014","5","2","550","558","Distributed mesh sensor networks provide cost-effective communications for deployment in various smart grid domains, such as home area networks (HAN), neighborhood area networks (NAN), and substation/plant-generation local area networks. This paper introduces a dynamically updating key distribution strategy to enhance mesh network security against cyber attack. The scheme has been applied to two security protocols known as simultaneous authentication of equals (SAE) and efficient mesh security association (EMSA). Since both protocols utilize 4-way handshaking, we propose a Merkle-tree based handshaking scheme, which is capable of improving the resiliency of the network in a situation where an intruder carries a denial of service attack. Finally, by developing a denial of service attack model, we can then evaluate the security of the proposed schemes against cyber attack, as well as network performance in terms of delay and overhead.","1949-3053","","","10.1109/TSG.2013.2277963","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6599007","EMSA;IEEE 802.11s;SAE;security attacks;security protocols;smart grid;wireless mesh networks","Authentication;Computer crime;Logic gates;Mesh networks;Protocols;Smart grids","computer network performance evaluation;computer network security;cryptographic protocols;home networks;smart power grids;substations;trees (mathematics);wireless LAN;wireless mesh networks;wireless sensor networks","EMSA;HAN;IEEE 802.11s;Merkle tree 4-way handshaking scheme;NAN;SAE;WLAN;cost-ef- fective communications;cyber attack;denial-of-service attack model;distributed mesh sensor networks;dynamic key distribution strategy updating;efficient mesh security association;home area networks;neighborhood area networks;network performance;network resiliency improvement;plant-generation local area networks;security protocols;simultaneous authentication-of-equals;smart grid mesh network security enhancement;substation local area networks;wireless local area networks","","1","","26","","2013-09-13","March 2014","","IEEE","IEEE Journals & Magazines"
"Research on algorithm of user query frequent itemsets mining","Yong Zhong; Xiao-lin Qin","Inf. Sci. & Techol. Inst., Nanjing Univ. of Aeronaut. & Astronaut., China","Machine Learning and Cybernetics, 2004. Proceedings of 2004 International Conference on","20050124","2004","3","","1671","1676 vol.3","An algorithm of mining database user query profiles of transaction level is presented. The algorithm changes the computing method of the support and confidence in association rules mining by adding query structure and attribute relations to the computation. Since there is no causal relationship in the access of attributes in queries, the method is more appropriate to describe user query behaviors than itemsets used by association rules. The method can be used in database intrusion detection system to prevent database from illegal intrusions effectively. Realization, performance and application of the algorithm are discussed in the paper.","","0-7803-8403-2","","10.1109/ICMLC.2004.1382044","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1382044","","Association rules;Data mining;Data security;Information science;Intrusion detection;Itemsets;Machine learning algorithms;Power system security;Space technology;Transaction databases","data mining;query languages;query processing;security of data","association rules;database intrusion detection system;query structure;transaction level;user query behaviors;user query frequent itemsets mining algorithm","","2","","11","","","26-29 Aug. 2004","","IEEE","IEEE Conference Publications"
"Investigating intrusion detection systems that use trails of system calls","Amer, S.H.; Hamilton, J.A.","Dept. of Comput. Sci. & Software Eng., Auburn Univ., Auburn, AL","Performance Evaluation of Computer and Telecommunication Systems, 2008. SPECTS 2008. International Symposium on","20090202","2008","","","377","384","Three intrusion detection systems that use trails of system calls have been investigated. The three techniques used to generate the pattern database have been adapted from sequence method, lookahead-pairs method and variable-length-with-overlap-relationship method. Testing against Trojan horse and denial of service attacks was analyzed. None of the systems is capable of defeating the system-call denial-of-service-attack. Modification is necessary to indicate maximum threshold value for the number of times a pattern may be contiguously repeated. Furthermore, Lookahead-pairs method had the best space cost performance with a window size less than 24.","","978-1-56555-320-0","","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4667587","Host-based intrusion detection;lookahead-pairs method;sequence method;variable length with overlap relationship method","Computer crime;Computer science;Costs;Databases;Hamming distance;Intrusion detection;Invasive software;Monitoring;Software engineering;Testing","computer networks;security of data;telecommunication network management;telecommunication security","Trojan horse;denial-of-service attacks;intrusion detection system;lookahead-pairs method;maximum threshold;pattern database;sequence method;system call trails;variable-length-with-overlap-relationship method","","0","","22","","","16-18 June 2008","","IEEE","IEEE Conference Publications"
"IEEE 2003 International Conference on Machine Learning and Cybernetics [front matter]","","","Machine Learning and Cybernetics, 2003 International Conference on","20040219","2003","5","","0_1","xxxiv","Conference proceedings front matter may contain various advertisements, welcome messages, committee or program information, and other miscellaneous conference information. This may in some cases also include the cover art, table of contents, copyright statements, title-page or half title-pages, blank pages, venue maps or other general information relating to the conference that was part of the original conference proceedings.","","0-7803-8131-9","","10.1109/ICMLC.2003.1259959","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1259959","","","","","","0","","","","","5-5 Nov. 2003","","IEEE","IEEE Conference Publications"
"A multi-class SLIPPER system for intrusion detection","Zhenwei Yu; Tsai, J.J.P.","Dept. of Comput. Sci., Univ. of Illinois","Computer Software and Applications Conference, 2004. COMPSAC 2004. Proceedings of the 28th Annual International","20041018","2004","","","212","217 vol.1","Varied data mining techniques have been developed for intrusion detection. However, it is unclear which data mining technique is most effective. In this paper, we present our research work in developing a Multi-Class SLIPPER (MC-SLIPPER) system for intrusion detection to learn whether we can get benefit from boosting based learning algorithm. The key idea is to use the available binary SLIPPER as a basic module, which is a rule learner based on confidence-rated boosting. Multiple arbitral strategies based on prediction confidence are proposed to arbitrate results from all binary SLIPPER modules. Our system is evaluated on the KDDCUP'99 intrusion detection dataset. The experimental results show that we get best performance using a 5-7-5 BP neural network; and the performance using other arbitral strategies are better than the winner of the contest does in term of misclassification cost (MC)","0730-3157","0-7695-2209-2","","10.1109/CMPSAC.2004.1342829","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1342829","","Boosting;Computer science;Computer security;Costs;Data mining;Data security;Error analysis;Intrusion detection;Learning systems;Neural networks","backpropagation;data mining;neural nets;pattern classification;security of data","BP neural network;KDDCUP'99 intrusion detection dataset;Multi-Class SLIPPER system;boosting based learning algorithm;confidence-rated boosting;data mining;intrusion detection;misclassification cost;rule learner","","3","","14","","","28-30 Sept. 2004","","IEEE","IEEE Conference Publications"
"Exploiting Frequent Episodes in Weighted Suffix Tree to Improve Intrusion Detection System","Min-Feng Wang; Yen-Ching Wu; Meng-Feng Tsai","Nat. Central Univ., Jhongli","Advanced Information Networking and Applications - Workshops, 2008. AINAW 2008. 22nd International Conference on","20080403","2008","","","1246","1252","In this paper we proposed a weighted suffix tree and find out it can improve the intrusion detection system (IDS). We firstly focus on the analysis of computer kernel system call, and discover some meaningful information from the unorganized system call sequences. We design a weighted suffix tree algorithm which derives from the concept of suffix tree algorithm for string matching, which then allows to mine the frequent episodes in order to get ordered frequent patterns. We therefore apply these rules to detect malicious attacks, and it shows our IDS still has a good ability to detect intrusion when we use fewer rules.","","978-0-7695-3096-3","","10.1109/WAINA.2008.144","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4483090","","Algorithm design and analysis;Application software;Computer science;Cryptography;Data mining;Information analysis;Intrusion detection;Kernel;Monitoring;Operating systems","data mining;operating system kernels;security of data;trees (mathematics)","computer kernel system call;frequent episodes mining;intrusion detection system;string matching;weighted suffix tree","","0","1","26","","","25-28 March 2008","","IEEE","IEEE Conference Publications"
"Exploiting Timed Automata-based Fuzzy Controllers and data mining to detect computer network intrusions","Acampora, G.","Dept. of Math. & Comput. Sci., Univ. of Salerno, Salerno, Italy","Fuzzy Systems (FUZZ), 2010 IEEE International Conference on","20100923","2010","","","1","8","A Network Intrusion Detection System is a network monitoring framework that tries to detect malicious network activity such as port scans, denial of service or other attempts to crack computer network environments. The main aim of intrusion detection is to identify unauthorized use, misuse, and abuse of computers by external penetrators. In real life, however, temporal changes in network intrusion patterns and characteristics tend to invalidate the usability of existing intrusion detection systems. In order to solve this drawback, our paper introduces a novel kind of fuzzy controller, known as Timed Automata-based Fuzzy Controllers, and it presents a data mining approach able to learn the most suitable controller that manages, in efficient way, the computer network dynamism and support networks' administrators to prevent eventual damages coming from unauthorized network intrusion.","1098-7584","978-1-4244-6919-2","","10.1109/FUZZY.2010.5584893","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5584893","","Automata;Clocks;Computer networks;Control systems;Data mining;Intrusion detection;Monitoring","authorisation;automata theory;computer network security;data mining;fuzzy control;fuzzy logic","computer network intrusion detection;data mining;malicious network activity;network intrusion pattern;network monitoring framework;timed automata based fuzzy controller;unauthorized network intrusion","","1","","9","","","18-23 July 2010","","IEEE","IEEE Conference Publications"
