"http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&ar=5935169,5489349,1342339,5301978,6902762,4689083,1254306,6310988,5763961,6510000,4212381,6209098,5871599,6822215,5346328,5573241,7226406,1571243,1173873,4912959,6032507,7247572,5678690,5466923,7096243,7218538,6482054,6558266,6496342,6332403,1554799,5630246,6010433,6072346,7275400,6093104,4427967,6364977,4689093,4625587,6931215,5283101,6060464,5974060,1565276,6662679,6167454,6379174,6724320,6200273,5658466,4537071,5972244,5438073,6587583,5873279,6421346,991439,6063248,1605682,5990663,6488798,1184714,6154153,5485739,6132712,7118190,1378530,4221888,4682283,6552542,4455304,4129847,6058947,4787714,6334816,4470456,4424617,6387926,4381605,4420313,6748543,4808852,5734086,4351493,6394913,4803036,6360644,6449904,6781343,7116055,5305521,7266526,4666916,821517,7284092,4392859,5976504,7043675,5575656",2015/11/20 17:56:02
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Scan detection in high-speed networks based on optimal dynamic bit sharing","Tao Li; Shigang Chen; Wen Luo; Ming Zhang","Dept. of Comput. & Inf. Sci. & Eng., Univ. of Florida, Gainesville, FL, USA","INFOCOM, 2011 Proceedings IEEE","20110630","2011","","","3200","3208","Scan detection is one of the most important functions in intrusion detection systems. In order to keep up with the ever-higher line speed, recent research trend is to implement scan detection in fast but small SRAM. This leads to a difficult technical challenge because the amount of traffic to be monitored is huge but the on-die memory space for performing such a monitoring task is very limited. We propose an efficient scan detection scheme based on dynamic bit sharing, which incorporates probabilistic sampling and bit sharing for compact information storage. We design a maximum likelihood estimation method to extract persource information from the shared bits in order to determine the scanners. Our new scheme ensures that the false positive/false negative ratios are bounded with high probability. Moreover, given an arbitrary set of bounds, we develop a systematic approach to determine the optimal system parameters that minimize the amount of memory needed to meet the bounds. Experiments based on a real Internet traffic trace demonstrate that the proposed scan detection scheme reduces memory consumption by three to twenty times when comparing with the best existing work.","0743-166X","978-1-4244-9919-9","","10.1109/INFCOM.2011.5935169","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5935169","","Electrostatic discharge;Maximum likelihood estimation;Memory management;Probabilistic logic;Radiation detectors;Random access memory;Security","Internet;maximum likelihood detection;probability;telecommunication security;telecommunication traffic","compact information storage;high-speed network;intrusion detection system;maximum likelihood estimation;memory consumption;on-die memory space;optimal dynamic bit sharing;probabilistic sampling;probability;real Internet traffic trace;scan detection","","1","","20","","","10-15 April 2011","","IEEE","IEEE Conference Publications"
"A Non-cooperative Game Approach for Intrusion Detection in Smartphone Systems","Feng Yang; Xuehai Zhou; Gangyong Jia; Qiyuan Zhang","Dept. of Comput. Sci., Univ. of Sci. & Technol. of China(USTC), Hefei, China","Communication Networks and Services Research Conference (CNSR), 2010 Eighth Annual","20100621","2010","","","146","151","In this paper, we propose an intrusion detection framework for smartphone systems. We formulate the intrusion detection problem into a two-player, non-cooperative, complete-information, constant-sum game. The attacker and the security server are the players of the game. The security server wants to maximize the value of the system but the attacker wants to minimize it. We present the Nash equilibrium and the Nash equilibrium leads to a defense strategy for the security server. We implement the framework and the results show that the proposed defense strategy is better than traditional ones.","","978-1-4244-6248-3","","10.1109/CNSR.2010.24","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5489349","game theory;intrusion detection;smartphones","Communication networks;Computer science;Counting circuits;Game theory;Information security;Intrusion detection;Monitoring;Nash equilibrium;Permission;Prototypes","","","","0","","21","","","11-14 May 2010","","IEEE","IEEE Conference Publications"
"A new intrusion detection method based on behavioral model","Qingbo Yin; Liran Shen; Rubo Zhang; Xueyao Li","Coll. of Comput. Sci. & Technol., Harbin Eng. Univ., China","Intelligent Control and Automation, 2004. WCICA 2004. Fifth World Congress on","20041018","2004","5","","4370","4374 Vol.5","Intrusion detection has emerged as an important approach to network security. A new method for anomaly intrusion detection is proposed based on linear prediction and Markov chain model. Linear prediction is employed to extract features from system calls sequences of the privileged processes which are used to make up of the character database of those processes, and then the Markov chain model is founded based on those features. The observed behavior of the system is analyzed to infer the probability that the Markov chain model of the norm profile supports the observed behavior. A low probability of support indicates an anomalous behavior that may result from intrusive activities. The experiments show this method is effective and efficient, and can be used in practice to monitor the computer system in real time.","","0-7803-8273-0","","10.1109/WCICA.2004.1342339","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1342339","","Computer science;Computer security;Computerized monitoring;Data security;Electronic mail;Feature extraction;Handwriting recognition;Intrusion detection;Predictive models;Spatial databases","Markov processes;computer networks;security of data","Markov chain model;behavioral model;character database;computer system monitoring;feature extraction;intrusion detection;linear prediction model;network security","","2","","6","","","15-19 June 2004","","IEEE","IEEE Conference Publications"
"Distributed Architecture for Intrusion Detection System Based on Multi-SoftMan","Zhanfei Ma; Xuefeng Zheng; Dongkui Li; Xuebao Li; Liping Yang","Baotou Teachers Coll., Inner Mongolia Univ. of Sci. & Technol., Baotou, China","Wireless Communications, Networking and Mobile Computing, 2009. WiCom '09. 5th International Conference on","20091030","2009","","","1","4","""SoftMan"" (SM) is a new concept based on the production of distributed technique, agent, intelligent robot and artificial life, its corresponding theory and technology fruits provide a good foundation and reference for studying the present intrusion detection systems (IDSs). Inspired by the intelligence recognition capability of SM, a novel cooperation control model for intrusion detection system based on multi-SoftMan (MSMIDS) is proposed. This model is adopted distributed architecture. In order to reduce the relativity of each detection components as far as possible and avoid the simple failure point caused by the single central analyzer, the model is adopted the non-control center multi-SoftMan architecture, which is making enough use of SM attributes, such as independence, activity, self-learning, self-adaptation, self-evolution and society. The experimental results show that MSMIDS enables member sites in the same trust community or different ones to forewarn attacks cooperatively, and possesses the higher detection rate, load balance and better self-adaptability. MSMIDS also provides a new idea for implementation of network security system.","","978-1-4244-3692-7","978-1-4244-3693-4","10.1109/WICOM.2009.5301978","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5301978","","Artificial intelligence;Educational institutions;Failure analysis;Humans;Independent component analysis;Intelligent robots;Internet;Intrusion detection;Production systems;Samarium","intelligent robots;multi-agent systems;security of data;software architecture","artificial life;distributed architecture;intelligence recognition capability;intelligent robot;intrusion detection system;network security system;noncontrol center multi SoftMan architecture","","0","","18","","","24-26 Sept. 2009","","IEEE","IEEE Conference Publications"
"MP-ROOM: Optimal Matching on Multiple PDUs for Fine-Grained Traffic Identification","Hao Li; Chengchen Hu","Dept. of Comput. Sci. & Technol., Xi'an Jiaotong Univ., Xi'an, China","Selected Areas in Communications, IEEE Journal on","20141127","2014","32","10","1881","1893","This paper studies the fine-grained traffic identification (FGTI) for better understanding and managing networks.Instead of only indicating which application/protocol that a packet is related to, FGTI maps the traffic packet to ameaningful user behavior or application context. In this paper, we first propose rule organized optimal matching (ROOM),which splits the identification rules into several fields and elaborately organizes the matching order of the fields. Asa result, ROOM can only activate the matching operations on a (small) part of the rules that could be possibly hit. Weformulate the optimal rule organization problem of ROOM mathematically and demonstrate it to be NP-hard, and then wepropose a heuristic algorithm to solve the problem with the time complexity of O(N<sup>2</sup>) (N is the number of fields in the rule set). Based on ROOM, wefurther propose MP-ROOM, which is extended to well support the rules cross multiple protocol data units (PDUs) fortraffic identification. In addition, we implement a prototype system including MP-ROOM and related work for evaluations.The evaluations show very promising results: 1.5 ~71.3 times throughput improvement is obtained by MP-ROOM inthe real system with less than 300-MB memory consumption. With multiple-thread parallel programming, we successfullyachieve the throughput over 40 Gb/s for real traces.","0733-8716","","","10.1109/JSAC.2014.2358835","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6902762","Deep packet inspection;semantic-based rules;traffic identification","Heuristic algorithms;Memory management;Organizations;Payloads;Protocols;Semantics;Throughput","computational complexity;computer network management;parallel programming","FGTI;MP-ROOM;NP-hard problem;application context;fine-grained traffic identification;heuristic algorithm;multiple-thread parallel programming;network management;network understanding;rule organized optimal matching;time complexity;user behavior","","0","","37","","2014-09-18","Oct. 2014","","IEEE","IEEE Journals & Magazines"
"Biometric Identification System Based on Electrocardiogram Data","Gahi, Y.; Lamrani, M.; Zoglat, A.; Guennoun, M.; Kapralos, B.; El-Khatib, K.","Dept. Math-Info, Fac. des Sci. de Rabat, Rabat","New Technologies, Mobility and Security, 2008. NTMS '08.","20081125","2008","","","1","5","Recent advancements in computing and digital signal processing technologies have made automated identification of people based on their biological, physiological, or behavioral traits a feasible approach for access control. The wide variety of available technologies has also increased the number of traits and features that can be collected and used to more accurately identify people. Systems that use biological, physiological, or behavioral trait to grant access to resources are called biometric systems. In this paper we present a biometric identification system based on the Electrocardiogram (ECG) signal. The system extracts 24 temporal and amplitude features from an ECG signal and after processing, reduces the set of features to the nine most relevant features. Preliminary experimental results indicate that the system is accurate and robust and can achieve a 100% identification rate with the reduced set of features.","","978-1-42443547-0","","10.1109/NTMS.2008.ECP.29","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4689083","","Access control;Biology computing;Biomedical signal processing;Biometrics;Digital signal processing;Electrocardiography;Heart;Humans;Signal processing;Surgery","biometrics (access control);electrocardiography","access control;biometric identification system;digital signal processing;electrocardiogram data","","12","","16","","","5-7 Nov. 2008","","IEEE","IEEE Conference Publications"
"Bayesian event classification for intrusion detection","Kruegel, C.; Mutz, D.; Robertson, W.; Valeur, F.","Reliable Software Group, California Univ., Santa Barbara, CA, USA","Computer Security Applications Conference, 2003. Proceedings. 19th Annual","20040108","2003","","","14","23","Intrusion detection systems (IDSs) attempt to identify attacks by comparing collected data to predefined signatures known to be malicious (misuse-based IDSs) or to a model of legal behavior (anomaly-based IDSs). Anomaly-based approaches have the advantage of being able to detect previously unknown attacks, but they suffer from the difficulty of building robust models of acceptable behavior, which may result in a large number of false alarms. Almost all current anomaly-based intrusion detection systems classify an input event as normal or anomalous by analyzing its features, utilizing a number of different models. A decision for an input event is made by aggregating the results of all employed models. We have identified two reasons for the large number of false alarms, caused by incorrect classification of events in current systems. One is the simplistic aggregation of model outputs in the decision phase. Often, only the sum of the model results is calculated and compared to a threshold. The other reason is the lack of integration of additional information into the decision process. This additional information can be related to the models, such as the confidence in a model's output, or can be extracted from external sources. To mitigate these shortcomings, we propose an event classification scheme that is based on Bayesian networks. Bayesian networks improve the aggregation of different model outputs and allow one to seamlessly incorporate additional information. Experimental results show that the accuracy of the event classification process is significantly improved using our proposed approach.","","0-7695-2041-3","","10.1109/CSAC.2003.1254306","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1254306","","Bayesian methods;Data mining;Floods;Intrusion detection;Law;Legal factors;Operating systems;Robustness;Telecommunication traffic;Traffic control","belief networks;computer crime;message authentication;pattern classification","Bayesian event classification;Bayesian networks;anomaly-based IDS;anomaly-based intrusion detection systems;input event decision;misuse-based IDS;model output aggregation;predefined malicious signatures","","30","1","26","","","8-12 Dec. 2003","","IEEE","IEEE Conference Publications"
"Opportunistic Adversaries: On Imminent Threats to Learning-Based Business Automation","Tatsubori, M.; Hido, S.","IBM Res. - Tokyo, Tokyo, Japan","SRII Global Conference (SRII), 2012 Annual","20120924","2012","","","120","129","False positives and negatives are inevitable in real-world classification problems. In general, machine-learning-based business process automation is still viable with reduced classification accuracy due to such false decisions, thanks to business models that replace human decision processes with automated decision processes covering the costs of introducing automation and the losses from rare mistakes by the automation with the profits from relatively large savings in human-factor costs. However, under certain conditions, it is possible for attackers to outsmart a classifier at a reasonable cost and thus destroy the business model that the learner system depends on. Attackers may eventually detect the misclassification cases they can benefit from and try to create similar inputs that will be misclassified by the unaware learner system. We call adversaries of this type ""opportunistic adversaries"". This paper specifies the environmental patterns that can expose vulnerabilities to opportunistic adversaries and presents some likely business scenarios for these threats. Then we propose a countermeasure algorithm to detect such attacks based on change detection in the post-classification data distributions. Experimental results show that our algorithm has higher detection accuracy than other approaches based on outlier detection or change-point detection.","2166-0778","978-1-4673-2318-5","978-0-7695-4770-1","10.1109/SRII.2012.24","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6310988","Anomaly detection;Machine learning;Opportunistic adversary","Automation;Business;Decision trees;Humans;Insurance;Machine learning;Training","business data processing;learning (artificial intelligence);pattern classification;security of data","change-point detection;countermeasure algorithm;human decision processes;imminent threats;machine-learning-based business process automation;misclassification cases;opportunistic adversaries;outlier detection;post-classification data distributions;real-world classification problems;reduced classification accuracy","","0","","20","","","24-27 July 2012","","IEEE","IEEE Conference Publications"
"A study of detector generation algorithms based on artificial immune in intrusion detection system","Chen Jinyin; Yang Dongyong","Coll. of Inf. Eng., Zhejiang Univ. of Technol., Hangzhou, China","Computer Research and Development (ICCRD), 2011 3rd International Conference on","20110505","2011","1","","4","8","Detector plays an important role in self and non-self discrimination for intrusion detection system, which makes detector generation a kernel algorithm for artificial immune system. In this paper, firstly current used binary matching rules are listed, characteristics of which are analyzed. And detector generation algorithm is divided into three main processes, including gene library, negative selection and clone selection. Evolution for gene library is explained based on the gene library theory. Several new methods are adopted to improve the performance of NSA, and finally cooperative co-evolution detector generation model is constructed which is a novel structure for intrusion detection system. This paper is aimed for researchers to focus problems on three main ideas concluded in last chapter.","","978-1-61284-839-6","","10.1109/ICCRD.2011.5763961","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5763961","GA;artificial immune;detector generation algorithm;intrusion detection;negative selection algorithm","Cloning;Complexity theory;Detectors;Genetic algorithms;Immune system;Intrusion detection;Libraries","artificial immune systems;security of data","artificial immune system;binary matching rules;clone selection algorithm;cooperative coevolution detector generation model;gene library theory;intrusion detection system;kernel algorithm;negative selection algorithm","","1","","16","","","11-13 March 2011","","IEEE","IEEE Conference Publications"
"Behavior-Rule Based Intrusion Detection Systems for Safety Critical Smart Grid Applications","Mitchell, R.; Ing-Ray Chen","Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Falls Church, VA, USA","Smart Grid, IEEE Transactions on","20130821","2013","4","3","1254","1263","In this paper, a behavior-rule based intrusion detection system (BRIDS) is proposed for securing head-ends (HEs), distribution access points/data aggregation points (DAPs) and subscriber energy meters (SEMs) of a modern electrical grid in which continuity of operation is of the utmost importance. The impact of attacker behaviors on the effectiveness of a behavior-rule intrusion detection design is investigated. Using HEs, DAPs and SEMs as examples, it is demonstrated that a behavior-rule based intrusion detection technique can effectively trade false positives for a high detection probability to cope with sophisticated and hidden attackers to support ultra safe and secure applications. It is shown that BRIDS outperforms contemporary anomaly-based IDSs via comparative analysis.","1949-3053","","","10.1109/TSG.2013.2258948","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6510000","Cyber physical systems;data aggregation point;distribution access point;head-end;intrusion detection;safety;security;subscriber energy meter","Actuators;Density estimation robust algorithm;Generators;Home appliances;Intrusion detection;Monitoring;Sensors","power system measurement;power system security;probability;smart power grids","BRIDS;DAP;SEM;attacker behaviors;behavior-rule based intrusion detection systems;data aggregation points;detection probability;distribution access points;electrical grid;head-ends security;safety critical smart grid applications;subscriber energy meters","","5","","23","","2013-04-29","Sept. 2013","","IEEE","IEEE Journals & Magazines"
"Intelligent Communication Systems and Network Protocols in Infrastructures","Hooper, E.","Inf. Security Group, London Univ., Egham","Intelligent Signal Processing and Communications, 2006. ISPACS '06. International Symposium on","20070529","2006","","","768","771","There major challenges for current intrusion detection systems (IDS) which attempt to identify suspicious network traffic including virtual private networks (VPNs). Due to the high percentage of alerts generated by such systems, the level of false positives is among the significant problems. We present intelligent strategies for reduction of false positives and infrastructure protection using a novel approach using adaptive responses from firewall packet filters in what we call, network quarantine channels (NQC). The originality in this paper is the effective design of intelligent network infrastructure communication systems, involving integration of NQCs, virtual private networks (VPNs) and multiple protocols in various subnetworks for traffic segmentation, access controls and packet filters, for efficient responses to suspicious traffic and network attacks. These strategies provide intelligent communication systems and network protocols, intelligent communications, intelligent response systems for security signal processing","","0-7803-9732-0","0-7803-9733-9","10.1109/ISPACS.2006.364763","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4212381","intelligent communication systems and network protocols;intelligent communications;intelligent response systems;security signal processing","Access protocols;Communication system traffic;Communication system traffic control;Filters;Intelligent networks;Intelligent systems;Intrusion detection;Protection;Telecommunication traffic;Virtual private networks","access control;authorisation;protocols;signal processing;telecommunication channels;telecommunication security;telecommunication traffic;virtual private networks","VPN;access controls;adaptive responses;false positives reduction;firewall packet filters;infrastructure protection;intelligent communication systems;intelligent response systems;intrusion detection systems;multiple protocols;network attacks;network protocols;network quarantine channels;security signal processing;suspicious network traffic;traffic segmentation;virtual private networks","","0","","19","","","12-15 Dec. 2006","","IEEE","IEEE Conference Publications"
"An Activity Pattern Based Wireless Intrusion Detection System","Haldar, N.A.H.; Abulaish, M.; Pasha, S.A.","Comviva Technol. Pvt. Ltd., Gurgaon, India","Information Technology: New Generations (ITNG), 2012 Ninth International Conference on","20120531","2012","","","846","847","In this paper, we present an intrusion detection system which exploits pattern recognition techniques to model the usage patterns of authenticated users and uses it to detect intrusions in wireless networks. The key idea behind the proposed intrusion detection system is the identification of discriminative features from users activity data and use them to identify intrusions in wireless networks. The detection module uses PCA technique to accumulate interested statistical variables and compares them with the thresholds derived from users activities data. When the variables exceed the estimated thresholds, an alarm is raised to alert about a possible intrusion in the network. The novelty of the proposed system lies in its light-weight design which requires less processing and memory resources and it can be used in real-time environment.","","978-1-4673-0798-7","","10.1109/ITNG.2012.68","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6209098","WLAN monitoring;activity pattern analysis;feature extraction;intrusion detection","IP networks;Intrusion detection;Principal component analysis;Protocols;Wireless LAN;Wireless networks","computer network security;feature extraction;principal component analysis;wireless LAN","PCA technique;activity pattern recognition;discriminative feature identification;light weight design;statistical variable;user authentication;wireless intrusion detection system;wireless network","","0","","4","","","16-18 April 2012","","IEEE","IEEE Conference Publications"
"Self-Protection in a Clustered Distributed System","de Palma, N.; Hagimont, D.; Boyer, F.; Broto, L.","INRIA - SARDES Res. Group, Univ. of Grenoble, St. Ismier, France","Parallel and Distributed Systems, IEEE Transactions on","20111226","2012","23","2","330","336","Self-protection refers to the ability for a system to detect illegal behaviors and to fight-back intrusions with counter-measures. This article presents the design, the implementation, and the evaluation of a self-protected system which targets clustered distributed applications. Our approach is based on the structural knowledge of the cluster and of the distributed applications. This knowledge allows to detect known and unknown attacks if an illegal communication channel is used. The current prototype is a self-protected JEE infrastructure (Java 2 Enterprise Edition) with firewall-based intrusion detection. Our prototype induces low-performance penalty for applications.","1045-9219","","","10.1109/TPDS.2011.161","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5871599","Middleware;clustered systems;self-protection.","Communication channels;Computer architecture;Intrusion detection;Law;Servers;Software","Java;authorisation;computer network security","clustered distributed system;communication channel;fight-back intrusions;firewall-based intrusion detection;illegal behavior detection;self-protected JEE infrastructure;structural knowledge","","0","","20","","2011-06-09","Feb. 2012","","IEEE","IEEE Journals & Magazines"
"Cloud Computing Vulnerability: DDoS as Its Main Security Threat, and Analysis of IDS as a Solution Model","Goel, R.; Garuba, M.; Grima, A.","Dept. of Inf. Syst. & Decision Sci., Howard Univ., Washington, DC, USA","Information Technology: New Generations (ITNG), 2014 11th International Conference on","20140602","2014","","","307","312","Cloud computing has emerged as an increasingly popular means of delivering IT-enabled business services and a potential technology resource choice for many private and government organizations in today's rapidly changing computing environment. Consequently, as cloud computing technology, functionality and usability expands unique security vulnerabilities and treats requiring timely attention arise continuously. The primary challenge being providing continuous service availability. This paper will address cloud security vulnerability issues, the threats propagated by a distributed denial of service (DDOS) attack on cloud computing infrastructure and also discuss the means and techniques that could detect and prevent the attacks.","","978-1-4799-3187-3","","10.1109/ITNG.2014.77","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6822215","Cloud;DDoS;IDS;Security;Vulnerability","Availability;Cloud computing;Computational modeling;Computer crime;Organizations;Servers","business data processing;cloud computing;computer network security","DDoS;IDS;IT-enabled business services;cloud computing infrastructure;cloud computing vulnerability;cloud security vulnerability issues;distributed denial of service;security threat","","0","","26","","","7-9 April 2014","","IEEE","IEEE Conference Publications"
"Network intrusion detection using fuzzy class association rule mining based on genetic network programming","Ci Chen; Mabu, S.; Chuan Yue; Shimada, K.; Hirasawa, K.","Grad. Sch. of Inf., Production & Syst., Waseda Univ., Fukuoka, Japan","Systems, Man and Cybernetics, 2009. SMC 2009. IEEE International Conference on","20091204","2009","","","60","67","Computer systems are exposed to an increasing number and type of security threats due to the expanding of Internet in recent years. How to detect network intrusions effectively becomes an important techniques. This paper presents a novel fuzzy class association rule mining method based on Genetic Network Programming (GNP) for detecting network intrusions. GNP is an evolutionary optimization techniques, which uses directed graph structures as genes instead of strings (Genetic Algorithm) or trees (Genetic Programming), leading to creating compact programs and implicitly memorizing past action sequences. By combining fuzzy set theory with GNP, the proposed method can deal with the mixed database which contains both discrete and continuous attributes. And it can be flexibly applied to both misuse and anomaly detection in Network Intrusion Detection Problem. Experimental results with KDD99Cup and DAPRA98 databases from MIT Lincoln Laboratory show that the proposed method provides a competitively high detection rate compared with other machine learning techniques.","1062-922X","978-1-4244-2793-2","978-1-4244-2794-9","10.1109/ICSMC.2009.5346328","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5346328","Genetic Network Programming;class association rule mining;fuzzy membership function;network intrusion detection","Association rules;Computer security;Data mining;Databases;Economic indicators;Genetic algorithms;Genetic programming;Internet;Intrusion detection;Tree graphs","Internet;data mining;genetic algorithms;security of data","Internet;anomaly detection;computer systems;directed graph structure;evolutionary optimization;fuzzy class association rule mining;fuzzy set theory;genetic algorithm;genetic network programming;machine learning;network intrusion detection","","1","","12","","","11-14 Oct. 2009","","IEEE","IEEE Conference Publications"
