"http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&ar=5945297,7133634,6844748,5411977,4575276,6945304,7045011,1626027,4373481,6554056,5540814,4447772,4451089,6950910,6115504,1527351,1610006,5620540,6618662,5283125,6347620,6405632,4925084,5161659,4696203,4230954,6364527,6141351,5559708,6916624,5958858,5548289,6724321,1607921,1437817,1330937,6389736,6211992,1656050,4148961,7102472,6416889,5302607,4156645,5708601,6755057,935044,5488435,6732386,5614106,1181776,6392538,5772420,1306386,5629206,1614734,6985519,723795,7182328,4469391,5473776,4666405,7168448,6967159,6269577,5260652,1226013,6332351,5604057,5376160,5963752,5068454,1550996,1437839,5700198,6639361,6783487,4604543,6968613,6378943,6984281,6918236,4382870,6838298,7000824,4808889,1712831,4064325,6030216,1624001,1176757,5473978,4021812,5473265,5541866,4351465,4365703,4438967,4344785,5958871",2015/11/20 18:06:07
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Securing IP-Multimedia Subsystem (IMS) against Anomalous Message Exploits by Using Machine Learning Algorithms","Rafique, M.Z.; Khan, Z.S.; Khan, M.K.; Alghatbar, K.","Center of Excellence in Inf. Assurance (CoEIA), King Saud Univ., Riyadh, Saudi Arabia","Information Technology: New Generations (ITNG), 2011 Eighth International Conference on","20110711","2011","","","559","563","Modern communication infrastructure (IP Multimedia Subsystem (IMS) and Voice over IP (VoIP)) are vulnerable to zero day attacks and unknown threats. Anomalous SIP requests can be used to remotely launch malicious activity. Furthermore, anomalous messages are capable of crashing - sometimes with one message only - servers and end points. Recently, it is shown that a malicious SIP message ""INVITE of Death"" crash a server or gain unfettered access to it. In contrast, little research is done to protect IMS against such anomalous messages. In this paper, we propose an anomalous message detection framework that extracts novel syntactical features from SIP messages at the P-CSCF of an IMS. Our framework operates in four steps: (1) analyzes the byte-level distribution of SIP message, (2) extracts spatial features from IMS messages in form of byte transition probabilities, (3) uses well-known feature selection scheme to remove redundancy in the features set, and (4) uses standard machine learning algorithms to raise the final alarm. The benefit of our framework is that it is lightweight requiring less processing and memory resources and provides high detection accuracy. We have evaluated our system on a real-world IMS dataset consisting of more than 10, 000 benign and malicious SIP messages. The results of our experiments demonstrate that using machine learning algorithms, our framework achieves detection accuracy of more than 99%. Last but not least, its testing time is 152μ seconds per packet, as a result, it can be easily deployed on IMS core.","","978-1-61284-427-5","978-0-7695-4367-3","10.1109/ITNG.2011.102","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5945297","IMS Security;INVITE of Death;Machine Learning;SIP Security;VoIP Security","Accuracy;Feature extraction;Machine learning algorithms;Protocols;Security;Servers;Testing","Internet telephony;learning (artificial intelligence);multimedia communication;security of data;signalling protocols","IP-multimedia subsystem;P-CSCF;SIP;Voice over IP;anomalous message;byte-level distribution;feature extraction;machine learning;malicious activity;proxy call state control function","","0","","29","","","11-13 April 2011","","IEEE","IEEE Conference Publications"
"Sensor fusion for intrusion detection under false alarm constraints","Pugh, M.; Brewer, J.; Kvam, J.","Sandia Nat. Labs., Livermore, CA, USA","Sensors Applications Symposium (SAS), 2015 IEEE","20150625","2015","","","1","6","Sensor fusion algorithms allow the combination of many heterogeneous data types to make sophisticated decisions. In many situations, these algorithms give increased performance such as better detectability and/or reduced false alarm rates. To achieve these benefits, typically some system or signal model is given. This work focuses on the situation where the event signal is unknown and a false alarm criterion must be met. Specifically, the case where data from multiple passive infrared (PIR) sensors are processed to detect intrusion into a room while satisfying a false alarm constraint is analyzed. The central challenge is the space of intrusion signals is unknown and we want to quantify analytically the probability of false alarm. It is shown that this quantification is possible by estimating the background noise statistics and computing the Mahalanobis distance in the frequency domain. Using the Mahalanobis distance as the decision metric, a threshold is computed to satisfy the false alarm constraint.","","","","10.1109/SAS.2015.7133634","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7133634","","Frequency-domain analysis;Gaussian distribution;Noise;Noise measurement;Principal component analysis;Sensor fusion;Time series analysis","frequency-domain analysis;infrared detectors;probability;safety systems;security of data;sensor fusion;signal detection;statistics","Mahalanobis distance;PIR sensor;background noise statistics;false alarm probability constraint;frequency domain analysis;intrusion detection;multiple passive infrared sensor;sensor fusion algorithm","","1","","14","","","13-15 April 2015","","IEEE","IEEE Conference Publications"
"Targeted Attack Prevention at Early Stage","Chia-Mei Chen; Peng-Yu Yang; Ya-Hui Ou; Han-Wei Hsiao","Dept. of Inf. Manage., Nat. Sun Yet-sen Univ., Kaohsiung, Taiwan","Advanced Information Networking and Applications Workshops (WAINA), 2014 28th International Conference on","20140626","2014","","","866","870","Targeted cyber attacks play a critical role in disrupting network infrastructure and information privacy. Based on the incident investigation, Intelligence gathering is the first phase of such attacks. To evade detection, hacker may make use of botnet, a set of zombie machines, to gain the access of a target and the zombies send the collected results back to the hacker. Even though the zombies would be blocked by detection system, the hacker, using the access information obtained from the botnet, would login the target from another machine without being noticed by the detection system. Such information gathering tactic can evade detection and the hacker grants the initial access to the target. The proposed defense system analyzes multiple logs from the network and extracts the reconnaissance attack sequences related to targeted attacks. State-based model is adopted to model the steps of the above early phase attack performed by multiple scouts and an intruder and such attack events in a long time frame becomes significant in the state-aware model. The results show that the proposed system can identify the attacks at the early stage efficiently to prevent further damage in the networks.","","978-1-4799-2652-7","","10.1109/WAINA.2014.134","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6844748","intrusion detection;pervasive computing;targeted attacks","Computer hacking;Hidden Markov models;IP networks;Joints;Reconnaissance;Servers","authorisation;data privacy;invasive software;ubiquitous computing","botnet;cyber attack;information privacy;intelligence gathering;network infrastructure;state-based model;targeted attack prevention","","1","","18","","","13-16 May 2014","","IEEE","IEEE Conference Publications"
"SIDAN: A tool dedicated to software instrumentation for detecting attacks on non-control-data","Demay, J.-C.; Totel, E.; Tronel, F.","SUPELEC, Rennes, France","Risks and Security of Internet and Systems (CRiSIS), 2009 Fourth International Conference on","20100217","2009","","","51","58","Anomaly based intrusion detection systems rely on the build of a normal behavior model. When a deviation from this normal behavior is detected, an alert is raised. This anomaly approach, unlike the misuse approach, is able to detect unknown attacks. A basic technique to build such a model for a program is to use the system call sequences of the process. To improve the accuracy and completeness of this detection model, we can add information related to the system call, such as its arguments or its execution context. But even then, attacks that target non-control-data may be missed and attacks on control-data may be adapted to bypass the detection mechanism using evasion techniques. We propose in this article an approach that focuses on the detection of non-control-data attacks. Our approach aims at exploiting the internal state of a program to detect a memory corruption on non-control-data that could lead to an illegal system call. To achieve this, we propose to build a data-oriented detection model by statically analyzing a program source code. This model is used to instrument the program by adding reasonableness checks that verify the consistent state of the data items the system calls depend on. We thus argue that it is possible to detect a program misuse issued by a non-control-data attack inside the program during its execution. While keeping a low overhead, this approach allows to detect non-control-data attacks.","2151-4763","978-1-4244-4498-4","978-1-4244-4499-1","10.1109/CRISIS.2009.5411977","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5411977","","Context modeling;Control systems;Instruments;Intrusion detection;Libraries;Protection;Software tools","data handling;security of data","SIDAN tool;anomaly based intrusion detection system;data oriented detection model;detection model accuracy;detection model completeness;noncontrol data attacks detection;noncontrol data memory corruption;program internal state;program source code analyzation;software instrumentation","","1","","25","","","19-22 Oct. 2009","","IEEE","IEEE Conference Publications"
"Unsupervised learning algorithms for intrusion detection","Zanero, S.; Serazzi, G.","Dip. di Elettron. e Inf., Politec. di Milano, Milan","Network Operations and Management Symposium, 2008. NOMS 2008. IEEE","20080826","2008","","","1043","1048","This work summarizes our research on the topic of the application of unsupervised learning algorithms to the problem of intrusion detection, and in particular our main research results in network intrusion detection. We proposed a novel, two tier architecture for network intrusion detection, capable of clustering packet payloads and correlating anomalies in the packet stream. We show the experiments we conducted on such architecture, we give performance results, and we compare our achievements with other comparable existing systems.","1542-1201","978-1-4244-2065-0","978-1-4244-2066-7","10.1109/NOMS.2008.4575276","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4575276","","Clustering algorithms;Complex networks;Detectors;Information security;Intrusion detection;Payloads;Power system modeling;Sensor arrays;TCPIP;Unsupervised learning","computer network management;telecommunication security;unsupervised learning","complex network management;network intrusion detection;packet payload clustering;packet stream;security;tier architecture;unsupervised learning algorithms","","4","","37","","","7-11 April 2008","","IEEE","IEEE Conference Publications"
"An Approach of Discovering Causal Knowledge for Alert Correlating Based on Data Mining","Feng Xuewei; Wang Dongxia; Huang Minhuan; Sun Xiaoxia","Beijing Inst. of Syst. Eng., Beijing, China","Dependable, Autonomic and Secure Computing (DASC), 2014 IEEE 12th International Conference on","20141106","2014","","","57","62","The process of attackers exploiting the target facilities is always gradual in cyberspace, and multiple attack steps would be performed in order to achieve the ultimate goal. How to identify the attack scenarios is one of the challenges in many research fields, such as cyberspace security situation awareness, the detection of APT (Advanced Persistent Threat) and so on. Alert correlation analysis based on causal knowledge is one of the widely adopted methods in CEP (Complex Event Processing), which is a promising way to identify multi-step attack processes and can reconstruct attack scenarios. However, current researches suffer from the problem of defining causal knowledge manually. In order to solve this problem, we propose an approach of mining for causal knowledge automatically based on the Markov property in this paper. Firstly, the raw alert stream is clustered into several alert sets, then each set is mined in order to obtain the one step transition probability matrix based on the Markov property, and after being generated, each matrix represents a piece of causal knowledge. Then we fuse the knowledge which has overlapping steps to create the knowledge base of attack patterns. Finally the experimental results show that this approach is feasible.","","978-1-4799-5078-2","","10.1109/DASC.2014.19","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6945304","alert correlation;attack scenario;causal knowledge;data mining","Correlation;Cyberspace;Data mining;IP networks;Knowledge based systems;Markov processes;Sensors","Markov processes;data mining;matrix algebra;probability;security of data","APT detection;CEP;Markov property;advanced persistent threat detection;alert correlation analysis;attack scenarios;causal knowledge discovery;complex event processing;cyberspace security situation awareness;data mining;multistep attack processes;one step transition probability matrix;raw alert stream","","0","","21","","","24-27 Aug. 2014","","IEEE","IEEE Conference Publications"
"Network anomaly detection approach based on frequent pattern mining technique","Dominic, D.D.; Said, A.M.","Dept. of Comput. & Inf. Sci., Univ. Teknol. PETRONAS, Tronoh, Malaysia","Computational Science and Technology (ICCST), 2014 International Conference on","20150219","2014","","","1","6","With the tremendous growth of shopping, banking, and other business transactions over computers network in the last two decades, The number of potential cyber-attacks by intruders has increased. Therefore the efforts are continually required in order to improve the effectiveness of detecting the network intruders. In this paper, a new network anomaly detection approach, which is based on outlier detection scheme, is presented. The frequent patterns are exploited for modeling the normal behavior of the traffic data and for calculating the deviation of the current traffic data points. The experimental results on KDD99 data set demonstrate the effectiveness of the propose approach in comparison with existing methods.","","","","10.1109/ICCST.2014.7045011","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7045011","Anomaly detection;Data mining;Data stream;Network security;Outlier detection","Bismuth;Context;Data mining;Data models;Scientific computing;Telecommunication traffic;Training","computer network security;data mining;telecommunication traffic","KDD99 data set;data mining;frequent pattern mining technique;network anomaly detection approach;network security;outlier detection scheme","","0","","17","","","27-28 Aug. 2014","","IEEE","IEEE Conference Publications"
"On IPv6 traceback","Amin, S.O.; Choong Seon Hong","Dept. of Comput. Eng., Kyung Hee Univ., Seoul","Advanced Communication Technology, 2006. ICACT 2006. The 8th International Conference","20060508","2006","3","","5 pp.","2143","The motivation of IP traceback is to identify the true source of an IP datagram in Internet. These techniques are now emerging as effective deterrent for current cyber threats, especially (D)DoS. Deterministic packet marking (DPM) is one of the algorithms used for IP traceback. This paper elucidates the implementation of deterministic packet marking scheme on IPv6 networks. The proposed scheme is capable of single packet traceback. We also examined the issues regarding IPv6 header and show that this scheme is practical, scalable, efficient and can be implemented on existing IPv6 networks easily","","89-5519-129-4","","10.1109/ICACT.2006.206422","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1626027","DDoS;IPv6;Network Security;Traceback","Bandwidth;Computer crime;Data engineering;Information filtering;Information filters;Internet;Network address translation;Protection;Satellites;Telecommunication traffic","IP networks;Internet;telecommunication security","IP datagram;IPv6 networks traceback;Internet;deterministic packet marking","","2","","12","","","20-22 Feb. 2006","","IEEE","IEEE Conference Publications"
"Indirect Human Computer Interaction-Based Biometrics for Intrusion Detection Systems","Yampolskiy, R.V.","Univ. at Buffalo, Buffalo","Security Technology, 2007 41st Annual IEEE International Carnahan Conference on","20071029","2007","","","138","145","The indirect HCI-based biometrics are events that can be obtained by monitoring users' HCI behavior indirectly via observable low-level actions of computer software, those include records in audit logs, call-stack data, GUI interaction events, network traffic, registry access data, storage activity, and system calls. These low-level events are produced unintentionally by the user during interaction with different software applications during pursuit of some, potentially mischievous, high level goals. This paper concentrates on the review and analysis of indirect human computer interaction-based biometrics frequently used in intrusion detection systems. We conclude with an experimental demonstration of an intrusion detection system based on network traffic analysis as an example of application of indirect human computer interaction-based behavioral biometrics.","","978-1-4244-1129-0","","10.1109/CCST.2007.4373481","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4373481","ANN;HCI. system calls;IDS;Indirect biometrics;network traffic","Application software;Biometrics;Computer networks;Computerized monitoring;Graphical user interfaces;Human computer interaction;Intrusion detection;Mice;Muscles;Telecommunication traffic","biometrics (access control);human computer interaction;security of data","GUI interaction events;audit logs;biometrics;call-stack data;computer software;indirect human computer interaction;intrusion detection systems;network traffic;registry access data;storage activity;system calls;user monitoring","","0","1","76","","","8-11 Oct. 2007","","IEEE","IEEE Conference Publications"
"Realization of intrusion detection system based on the improved data mining technology","Zhao Yanjun; Wei Ming jun; Wang Jing","Coll. of Sci., Hebei United Univ., Tangshan, China","Computer Science & Education (ICCSE), 2013 8th International Conference on","20130715","2013","","","982","987","On the basis of further analyzing the operational mechanism of the existing intrusion detection system model, in allusion to the existing problem the powerless, high false negative rate, low detection efficiency and the lack of the rule base automatic extension mechanism to unknown aggressive behavior for existing detection mechanisms, Combining the relevant knowledge of data mining technology, then to design one improved network intrusion detection system model based on data mining, combined misuse detection and anomaly detection. In the model, we select the K-means algorithm in clustering analysis and the Apriori algorithm in association rule mining and improve it. Applying the improved K-means algorithm to achieve normal behavior classes and data separation module, then utilizing the improved Apriori algorithm to achieve automatic extension of the rule base. Finally, by the experiment to verify the function of the two algorithms.","","978-1-4673-4464-7","","10.1109/ICCSE.2013.6554056","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6554056","Apriori algorithm;K-means algorithm;data mining;improved;intrusion detection","Educational institutions;Itemsets;Probes","data mining;knowledge based systems;pattern clustering;security of data","Apriori algorithm;K-means algorithm;anomaly detection;association rule mining;clustering analysis;data mining technology;intrusion detection system;rule base automatic extension mechanism","","0","","13","","","26-28 April 2013","","IEEE","IEEE Conference Publications"
