"http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&ar=5347134,6480061,4925096,1437828,1232401,6394806,6781248,5137285,7046699,4909223,6263792,4725865,5376737,4787668,6716742,1049252,6798342,5546735,5367701,6296844,5584522,6883583,4567340,4597064,4731895,6088496,969760,852457,6980852,6765968,5588742,1638122,5948808,4600004,4041181,6357664,5319327,6998478,1033166,6657498,5678009,4660099,1378409,4699868,6511316,6676457,6860434,6824190,4772642,6295980,1460505,4958791,4215537,5471511,1259920,5045947,856929,1367209,5760265,6665383,5480959,6922049,6828072,1244366,4470340,6396095,5579109,6922081,6296068,1194894,5462043,1438399,5375980,6504158,4530516,4675281,4072163,4351471,5488489,6470945,5604193,6123125,5347873,5176039,6016820,5362617,6990233,7015756,5664320,4296809,4670527,6994033,6655271,1254329,7035624,6064371,5197236,6208344,1567105,6417634",2015/11/20 18:07:46
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Leveraging determinism in industrial control systems for advanced anomaly detection and reliable security configuration","Hadeli, H.; Schierholz, R.; Braendle, M.; Tuduce, C.","Corp. Res. - Ind. Software Syst., ABB Switzerland Ltd., Baden Daettwil, Switzerland","Emerging Technologies & Factory Automation, 2009. ETFA 2009. IEEE Conference on","20091204","2009","","","1","8","Industrial automation and control systems (IACS) today are often based on common IT technologies. However, they often lack security mechanisms and those available in enterprise IT environments are often not suitable for IACS. Other mechanisms require significant manual maintenance which is error prone. In this paper we present an approach that leverages the unique characteristics of IACS, in particular their deterministic behavior and often available formal system description, to reliably detect anomalies and reproducibly generate configurations for security mechanisms such as firewalls. In particular, we extend common IDS technology to also detect an IACS specific anomaly: the missing of required traffic.","1946-0759","978-1-4244-2727-7","978-1-4244-2728-4","10.1109/ETFA.2009.5347134","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5347134","","Automatic control;Automation;Computer security;Control systems;Data security;Electrical equipment industry;IEC standards;Industrial control;Intrusion detection;Protection","authorisation;industrial control;specification languages","IACS deterministic behavior;IACS formal system description;IACS system;IDS technology;advanced anomaly detection;firewalls;industrial automation and control systems;reliable security configuration","","4","1","20","","","22-25 Sept. 2009","","IEEE","IEEE Conference Publications"
"Insider Threat Detection Using Virtual Machine Introspection","Crawford, Martin; Peterson, Gilbert","","System Sciences (HICSS), 2013 46th Hawaii International Conference on","20130318","2013","","","1821","1830","This paper presents a methodology for signaling potentially malicious insider behavior using virtual machine introspection (VMI). VMI provides a novel means to detect potential malicious insiders because the introspection tools remain transparent and inaccessible to the guest and are extremely difficult to subvert. This research develops a four step methodology for development and validation of malicious insider threat alerting using VMI. A malicious attacker taxonomy is used to decompose each scenario to aid identification of observables for monitoring for potentially malicious actions. The effectiveness of the identified observables is validated using two data sets. Results of the research show the developed methodology is effective in detecting the malicious insider scenarios on Windows guests.","1530-1605","978-1-4673-5933-7","978-0-7695-4892-0","10.1109/HICSS.2013.278","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6480061","Insider Threat;VMI;Virtual Machine Introspection;Xen","Monitoring;Organizations;Printers;Security;Virtual machining;Workstations","","","","1","","32","","","7-10 Jan. 2013","","IEEE","IEEE Conference Publications"
"An unsupervised method for intrusion detection using spectral clustering","Gujral, S.; Ortiz, E.; Syrmos, V.L.","Dept. of Electr. Eng., Univ. of Hawaii at Manoa, Honolulu, HI","Computational Intelligence in Cyber Security, 2009. CICS '09. IEEE Symposium on","20090515","2009","","","99","106","In this paper we present an unsupervised approach for intrusion detection based on spectral clustering (SC). Recently spectral clustering has gained wider application because of its promising results on several challenging clustering problems [1]. SC uses spectral graph theory to form a Laplacian matrix where the first k eigenvectors of this matrix are clustered using k-means to form representative clusters. The representative clusters are labeled normal or anomalous according to an assignment heuristic. We have provided different techniques to detect intrusions (or anomalies) which are scattered uniformly and form small clusters of anomalous data. To improve the clustering results, the scattered anomalies are detected and removed before representative clusters are formed using SC. For evaluation, a synthetic and real data set (KDD Cup 1999) are used and our results show that the application of SC is a promising approach to the development of an intrusion detection system. From the experiments we demonstrate that the application of SC yields a detection rate (DR) in the range of 91%-100% with the false positive rate (FPR) being less than 4.5%.","","978-1-4244-2769-7","","10.1109/CICYBS.2009.4925096","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4925096","","Data mining;Graph theory;Information security;Intrusion detection;Labeling;Laplace equations;Pattern recognition;Scattering;Supervised learning;Unsupervised learning","graph theory;matrix algebra;pattern clustering;security of data","Laplacian matrix;detection rate;false positive rate;intrusion detection system;k-means;spectral clustering;spectral graph theory","","0","","23","","","March 30 2009-April 2 2009","","IEEE","IEEE Conference Publications"
"A game theoretic approach to modeling intrusion detection in mobile ad hoc networks","Patcha, A.; Jung-Min Park","Bradley Dept. of Electr. & Comput. Eng., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA","Information Assurance Workshop, 2004. Proceedings from the Fifth Annual IEEE SMC","20050606","2004","","","280","284","Nodes in a mobile ad hoc network need to come up with counter measures against malicious activity. This is more true for the ad hoc environment where there is a total lack of centralized or third party authentication and security architectures. This paper presents a game-theoretic method to analyze intrusion detection in mobile ad hoc networks. We use game theory to model the interactions between the nodes of an ad hoc network. We view the interaction between an attacker and an individual node as a two player noncooperative game, and construct models for such a game.","","0-7803-8572-1","","10.1109/IAW.2004.1437828","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1437828","","Ad hoc networks;Authentication;Counting circuits;Game theory;Intelligent networks;Intrusion detection;Mobile ad hoc networks;Network topology;Protection;Wireless networks","ad hoc networks;game theory;mobile computing;security of data;telecommunication security","game theoretic approach;intrusion detection;mobile ad hoc networks;noncooperative game;security architectures;third party authentication","","27","","9","","","10-11 June 2004","","IEEE","IEEE Conference Publications"
"Early statistical anomaly intrusion detection of DOS attacks using MIB traffic parameters","Jun Li; Manikopoulos, C.","Dept. of Electr. & Comput. Eng., New Jersey Inst. of Technol., Newark, NJ, USA","Information Assurance Workshop, 2003. IEEE Systems, Man and Cybernetics Society","20030923","2003","","","53","59","We investigate the statistical anomaly detection of DOS computer network attacks using only MIB II supplied traffic parameters of the SNMP, as carried out by MAID. MAID is a hierarchical, multitier, multiobservation-window, anomaly based network intrusion detection system, prototyped in our laboratory for the US Army's tactical Internet. MAID monitors several MIB II supplied network traffic parameters simultaneously, constructs a probability density function (PDF) for each, statistically compares it to a reference PDF of normal behavior using a similarity metric, then combines the results into an anomaly status vector that is classified by a neural network classifier. The data used here derive from many experiments that have been carried out in our network testbed facility that monitor 27 MIB traffic parameters simultaneously, focusing on the Denial of Service (DOS) class of attacks, including UDP, ICMP and TCP type flooding attacks. We further focused on the anomaly detector and specifically two issues: (a) the effectiveness of some alternative similarity metrics and (b) early detection, i.e., detection at low values of the ratio of attack to background traffic. Thus, we studied the effectiveness of five prominent and/or promising similarity metrics: a χ<sup>2</sup> test (CST), a Kolmogorov-Smyrnov (KS) test (KST), Kupier's KS type statistic (KKS), a combined area-KS type test (AKS), and a simpler fractional deviation from the mean statistic (FDM). We present the performance of these metrics using 9 traffic intensity scenarios, as the attack traffic decreased from 10% to 0.5% of the background. It was found that the KST metric performed slightly better overall while the FDM performed surprisingly well at low traffic intensities. It was also found that an attack/background ratio as small as 1% can be detected by MAID with corresponding misclassification rates in the range of 0.5-1.0 %. These results show promise for the use of MAID in early DOS detection using MIB traffic parameters.","","0-7803-7808-3","","10.1109/SMCSIA.2003.1232401","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1232401","","Computer crime;Computer displays;Computer networks;IP networks;Intrusion detection;Laboratories;Prototypes;Statistical analysis;Telecommunication traffic;Testing","computer crime;computer networks;neural nets;probability;protocols;statistical analysis;telecommunication network management;telecommunication security;telecommunication traffic","χ<sup>2</sup> test;AKS;CST;DOS computer network attacks;DOS intrusion detection;Denial of Service;FDM;KKS;KS type statistic;KST;Kolmogorov-Smyrnov test;MAID;MIB traffic parameters;PDF;SNMP;anomaly status vector;combined area-KS type test;early detection;fractional deviation from mean statistic;misclassification rates;multiobservation-window;network testbed facility;neural network classifier;probability density function;similarity metrics;statistical anomaly intrusion detection;traffic intensity scenarios","","13","","9","","","18-20 June 2003","","IEEE","IEEE Conference Publications"
"Fusion of BVM and ELM for Anomaly Detection in Computer Networks","Changning Cai; Huaxian Pan; Guojian Cheng","Res. Inst. of Pet. Exploration &amp; Dev.-Northwest, PETROCHINA, Lanzhou, China","Computer Science & Service System (CSSS), 2012 International Conference on","20121231","2012","","","1957","1960","This paper proposes a new network anomaly detection method in order to deal with the low detection rate and high false alarm rate problem. Ball vector machine (BVM) and extreme learning machine (ELM) is individually applied to learn three kinds of network features, then a BP neural network is utilized to simulate weights, which is used to fusion of the label. The experiments show that, the performance of this fusion method is better than single BVM or ELM classifier. Compared to the fusion method of SVM and BP neural network, the method proposed by this paper has a similar performance in detection rate and false alarm rate but with a significantly lower training time, and it is suitable for network anomaly detection with large scale dataset.","","978-1-4673-0721-5","","10.1109/CSSS.2012.488","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6394806","","Accuracy;Intrusion detection;Kernel;Machine learning;Neural networks;Support vector machines;Training","backpropagation;computer network security;neural nets;sensor fusion","BP neural network;BVM-ELM fusion method;backpropagation;ball vector machine;computer network anomaly detection;data fusion;detection rate;extreme learning machine;false alarm rate;large-scale dataset;network features;training time;weight simulation","","0","","11","","","11-13 Aug. 2012","","IEEE","IEEE Conference Publications"
"Information theoretic feature extraction to reduce dimensionality of Genetic Network Programming based intrusion detection model","Arya, A.; Kumar, S.","Dept. of Comput. Sci. & Eng., Krishna Inst. of Eng. & Technol., Ghaziabad, India","Issues and Challenges in Intelligent Computing Techniques (ICICT), 2014 International Conference on","20140403","2014","","","34","37","Intrusion detection techniques require examining high volume of audit records so it is always challenging to extract minimal set of features to reduce dimensionality of the problem while maintaining efficient performance. Previous researchers analyzed Genetic Network Programming framework using all 41 features of KDD cup 99 dataset and found the efficiency of more than 90% at the cost of high dimensionality. We are proposing a new technique for the same framework with low dimensionality using information theoretic approach to select minimal set of features resulting in six attributes and giving the accuracy very close to their result. Feature selection is based on the hypothesis that all features are not at same relevance level with specific class. Simulation results with KDD cup 99 dataset indicates that our solution is giving accurate results as well as minimizing additional overheads.","","","","10.1109/ICICICT.2014.6781248","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6781248","Association rule;Discretization;Feature Selection;GNP","Artificial intelligence;Correlation","feature extraction;feature selection;genetic algorithms;information theory;security of data","KDD cup 99 dataset;audit records;dimensionality reduction;feature selection;genetic network programming based intrusion detection model;information theoretic feature extraction","","0","","17","","","7-8 Feb. 2014","","IEEE","IEEE Conference Publications"
"Intrusion detection based on “Hybrid” propagation in Bayesian Networks","Jemili, F.; Zaghdoud, M.; Ben Ahmed, M.","Laboratorie RIADI, Manouba Univ., Manouba, Tunisia","Intelligence and Security Informatics, 2009. ISI '09. IEEE International Conference on","20090626","2009","","","137","142","The goal of a network-based intrusion detection system (IDS) is to identify malicious behaviour that targets a network and its resources. Intrusion detection parameters are numerous and in many cases they present uncertain and imprecise causal relationships which can affect attack types. A Bayesian Network (BN) is known as graphical modeling tool used to model decision problems containing uncertainty. In this paper, a BN is used to build automatic intrusion detection system based on signature recognition. A major difficulty of this system is that the uncertainty on parameters can have two origins. The first source of uncertainty comes from the uncertain character of information due to a natural variability resulting from stochastic phenomena. The second source of uncertainty is related to the imprecise and incomplete character of information due to a lack of knowledge. The goal of this work is to propose a method to propagate both the stochastic and the epistemic uncertainties, coming respectively from the uncertain and imprecise character of information, through the Bayesian model, in an intrusion detection context.","","978-1-4244-4171-6","978-1-4244-4173-0","10.1109/ISI.2009.5137285","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5137285","","Bayesian methods;Computer networks;Context modeling;Intrusion detection;Marine vehicles;Protection;Stochastic processes;Stochastic systems;Tellurium;Uncertainty","belief networks;learning (artificial intelligence);security of data;stochastic processes","Bayesian network;epistemic uncertainty;graphical modeling tool;hybrid propagation;intrusion detection;learning;model decision problem;signature recognition;stochastic phenomena","","0","","15","","","8-11 June 2009","","IEEE","IEEE Conference Publications"
"Denial of service (DoS) attacks detection in MANETs using Bayesian classifiers","Rmayti, M.; Begriche, Y.; Khatoun, R.; Khoukhi, L.; Gaiti, D.","ERA, Univ. of Technol. of Troyes, Troyes, France","Communications and Vehicular Technology in the Benelux (SCVT), 2014 IEEE 21st Symposium on","20150223","2014","","","7","12","Mobile Ad hoc Networks (MANETs) are dynamic and self-organized networks composed of mobile wireless entities. The communications between nodes are multihop, and provided in a decentralized way without preexisting infrastructure. These characteristics make MANETs vulnerable to many types of Denial of Service (DoS) attacks, this including, Wormhole, Blackhole and Grayhole attack. This latter targets some reactive routing protocols in the aim of disrupting the forwarding process in the network. Grayhole attack occurs during the route discovery phase when a malicious node drops some of received packets. The watchdog is a well-known intrusion detection mechanism and usually used to detect this kind of attack. However, watchdogs are characterized by a relatively high rate of false alerts. In this paper, we propose a novel approach of watchdog based on two Bayesian filters: Bernoulli and Multinomial. We use these two models in a complementary manner to successfully detect the packet dropping attacks in mobile ad hoc networks. Based on simulation results, our filters prove that these attacks can be detected with a high rate of accuracy.","","","","10.1109/SCVT.2014.7046699","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7046699","","Ad hoc networks;Bayes methods;Computer crime;Mobile computing;Routing;Routing protocols;Vectors","Bayes methods;computer network security;mobile ad hoc networks;routing protocols","Bayesian classifier;Bayesian filter;Bernoulli filter;DoS attack detection;MANET;blackhole attack;denial of service attack detection;grayhole attack;intrusion detection mechanism;malicious node;mobile ad hoc network;mobile wireless entity;multinomial filter;packet dropping attack detection;reactive routing protocol;received packet drop;route discovery phase;self-organized network;watchdog;wormhole attack","","0","","13","","","10-10 Nov. 2014","","IEEE","IEEE Conference Publications"
"Ontology based application level intrusion detection system by using Bayesian filter","Razzaq, A.; Ahmed, H.F.; Hur, A.; Haider, N.","SEECS, Nat. Univ. of Sci. & Technol., Islamabad","Computer, Control and Communication, 2009. IC4 2009. 2nd International Conference on","20090505","2009","","","1","6","Web application security is the major security concern for e-business and information sharing communities. Research showed that more than 75% attacks are being deployed at application layer and almost 90% applications are vulnerable to these attacks. Various security mechanisms in the form of signature base models, anomaly detection, scanner, firewall and intrusion detection has been proposed but ineffective to provide complete security solution at application level. These provide partial solutions are ineffective to provide defense against zero day attacks with low false positive rate. We have introduced a novel approach for effective defenses against the application level attacks. Our system use the Bayesian filter to mitigate the context base attacks which are easily eludes packet level inspection. Our intelligent system is ontology base which analyze the input semantically and capable to detect zero day attacks with negligible false positive rates. The ontology base system can be refined and extended over time. Ontology base system also help in focusing on specific portion of network packet where attack is possible, thus reduce the research space and avoid sequential search.","","978-1-4244-3313-1","978-1-4244-3314-8","10.1109/IC4.2009.4909223","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4909223","","Bayesian methods;Computer hacking;Data security;Filters;Information security;Intrusion detection;National security;Ontologies;Protection;Web server","belief networks;electronic commerce;ontologies (artificial intelligence);security of data","Bayesian filter;Web application security;anomaly detection;e-business;firewall;information sharing;intrusion detection system;ontology based application","","6","","24","","","17-18 Feb. 2009","","IEEE","IEEE Conference Publications"
