"http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&ar=5198832,6072389,6464259,6007555,4734082,1045765,4806694,6755299,7166057,1394999,5313866,4446408,5703575,5487528,4492477,1579742,5678106,6918792,6755239,6313798,4289308,5212396,1285113,1437827,5356451,5566604,6280227,6483134,1259803,6389711,4312918,1567025,1250243,6974789,4444680,904988,4938645,5355338,4772676,991538,6694631,6906666,4681114,6665173,5461599,4101076,6751038,4667914,5399675,7185238,4239954,1610007,6005927,1232567,830415,4925101,5377604,5284072,1375206,5583654,6182392,4681478,1410706,6682721,1167377,5485927,6342884,6663777,6632836,6558078,960590,6791092,4983328,6688002,5486256,4295993,5487493,6141379,4732930,898888,6969799,7056785,5734031,6733610,6375274,6014937,6296725,1605705,7266525,5270459,4072091,4593718,1400591,5426247,6254301,6211917,4529352,1183514,5402960,6956554",2015/11/22 18:35:37
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Combining Hidden Markov Models for Improved Anomaly Detection","Khreich, W.; Granger, E.; Sabourin, R.; Miri, A.","Lab. d''Imagerie, de Vision et d''Intell. Artificielle (LIVIA), Ecole de Technol. Super., Montreal, QC, Canada","Communications, 2009. ICC '09. IEEE International Conference on","20090811","2009","","","1","6","In host-based intrusion detection systems (HIDS), anomaly detection involves monitoring for significant deviations from normal system behavior. Hidden Markov Models (HMMs) have been shown to provide a high level performance for detecting anomalies in sequences of system calls to the operating system kernel. Although the number of hidden states is a critical parameter for HMM performance, it is often chosen heuristically or empirically, by selecting the single value that provides the best performance on training data. However, this single best HMM does not typically provide a high level of performance over the entire detection space. This paper presents a multiple-HMMs approach, where each HMM is trained using a different number of hidden states, and where HMM responses are combined in the receiver operating characteristics (ROC) space according to the maximum realizable ROC (MRROC) technique. The performance of this approach is compared favorably to that of a single best HMM and to a traditional sequence matching technique called STIDE, using different synthetic HIDS data sets. Results indicate that this approach provides a higher level of performance over a wide range of training set sizes with various alphabet sizes and irregularity indices, and different anomaly sizes, without a significant computational and storage overhead.","1938-1883","978-1-4244-3435-0","978-1-4244-3435-0","10.1109/ICC.2009.5198832","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5198832","","Communications Society;Computerized monitoring;Event detection;Hidden Markov models;Information technology;Intrusion detection;Kernel;Operating systems;Paper technology;Training data","hidden Markov models;operating system kernels;security of data","HIDS;HMM;anomaly detection;hidden Markov model;host-based intrusion detection system;maximum realizable ROC technique;operating system kernel;receiver operating characteristics;system call","","4","","17","","","14-18 June 2009","","IEEE","IEEE Conference Publications"
"Distributed intrusion detection for mobile ad hoc networks","Ping, Yi; Xinghao, Jiang; Yue, Wu; Ning, Liu","School of Information Security Engineering, Shanghai Jiaotong Univ., Shanghai 200030, P. R. China; State Key Lab of Information Security, Graduate School of Chinese Academy of Sciences, Beijing 100039, P. R. China","Systems Engineering and Electronics, Journal of","20120117","2008","19","4","851","859","Mobile ad hoc networking (MANET) has become an exciting and important technology in recent years, because of the rapid proliferation of wireless devices. Mobile ad hoc networks is highly vulnerable to attacks due to the open medium, dynamically changing network topology, cooperative algorithms, and lack of centralized monitoring and management point. The traditional way of protecting networks with firewalls and encryption software is no longer sufficient and effective for those features. A distributed intrusion detection approach based on timed automata is given. A cluster-based detection scheme is presented, where periodically a node is elected as the monitor node for a cluster. These monitor nodes can not only make local intrusion detection decisions, but also cooperatively take part in global intrusion detection. And then the timed automata is constructed by the way of manually abstracting the correct behaviours of the node according to the routing protocol of dynamic source routing (DSR). The monitor nodes can verify the behaviour of every nodes by timed automata, and validly detect real-time attacks without signatures of intrusion or trained data. Compared with the architecture where each node is its own IDS agent, the approach is much more efficient while maintaining the same level of effectiveness. Finally, the intrusion detection method is evaluated through simulation experiments.","","","","10.1016/S1004-4132(08)60163-2","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6072389","intrusion detection;mobile ad hoc networks;routing protocol;security;timed automata","Automata;Intrusion detection;Mobile ad hoc networks;Monitoring;Routing;Routing protocols","","","","1","","","","","Aug. 2008","","BIAI","BIAI Journals & Magazines"
"Fast Bloom Filters and Their Generalization","Yan Qiao; Tao Li; Shigang Chen","Dept. of Comput. & Inf. Sci. & Eng., Univ. of Florida, Gainesville, FL, USA","Parallel and Distributed Systems, IEEE Transactions on","20131125","2014","25","1","93","103","Bloom filters have been extensively applied in many network functions. Their performance is judged by three criteria: query overhead, space requirement, and false positive ratio. Due to wide applicability, any improvement to the performance of Bloom filters can potentially have a broad impact in many areas of networking research. In this paper, we study Bloom-1, a data structure that performs membership check in one memory access, which compares favorably with the k memory accesses of a standard Bloom filter. We also generalize Bloom-1 to Bloom-g and Bloom-Q, allowing performance tradeoff between membership query overhead and false positive ratio. We thoroughly examine the variants in this family of filters, and show that they can be configured to outperform the Bloom filters with a smaller number of memory accesses, a smaller or equal number of hash bits, and a smaller or comparable false positive ratio in practical scenarios. We also perform experiments based on a real traffic trace to support our filter design.","1045-9219","","","10.1109/TPDS.2013.46","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6464259","Bloom filter;false positive;hash requirement;memory access","Arrays;Hardware;Information filtering;Memory management;Random access memory;Throughput","data structures","Bloom-1 data structure;Bloom-Q;Bloom-g;false positive ratio;fast Bloom filters;filter design;generalization;membership check;memory access;network functions;networking research;query overhead;space requirement;traffic trace","","0","","","","2013-02-18","Jan. 2014","","IEEE","IEEE Journals & Magazines"
"Genetic-fuzzy association rules for network intrusion detection systems","Ming-Yang Su; Chun-Yuen Lin; Sheng-Wei Chien; Han-Chung Hsu","Dept. of Comput. Sci. & Inf. Eng., Ming Chuan Univ., Taoyuan, Taiwan","Fuzzy Systems (FUZZ), 2011 IEEE International Conference on","20110901","2011","","","2046","2052","A network intrusion detection system (NIDS) based on genetic-fuzzy association rules is presented in the paper, which mines rules in an incremental manner in order to meet the real-time requirement of a NIDS. More precisely, the proposed NIDS adopts the incremental mining of fuzzy association rules from network traffic, in which membership functions of fuzzy variables are optimized by a genetic algorithm. The proposed online system belongs to anomaly detection, not misuse detection. Some denial-of-service (DoS) attacks were experimented in this study to show the performance of the proposed NIDS. The results show that the proposed NIDS can detect DoS attacks in both effectiveness and efficiency.","1098-7584","978-1-4244-7315-1","978-1-4244-7316-8","10.1109/FUZZY.2011.6007555","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6007555","Genetic-fuzzy association rules;anomaly detection;denial-of-service (DoS) attacks;genetic algorithm;incremental mining;membership functions","Association rules;Biological cells;Databases;Genetic algorithms;Genetics;IP networks;Optimization","data mining;fuzzy set theory;genetic algorithms;security of data","NIDS;anomaly detection;denial of service attack;fuzzy variables;genetic algorithm;genetic-fuzzy association rule;incremental mining;membership functions;network intrusion detection system;network traffic;online system","","1","","21","","","27-30 June 2011","","IEEE","IEEE Conference Publications"
"Collaborative Distributed Intrusion Detection System","Wei Lin; Liu Xiang; Pao, D.; Bin Liu","Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China","Future Generation Communication and Networking, 2008. FGCN '08. Second International Conference on","20081230","2008","1","","172","177","In order to protect Internet users from various attacks such as worms, viruses and other intrusions, signature-based intrusion detection system (IDS) should be deployed at the critical part of the network with rapid response for updating newly emerged attack signatures and containing the spread of worms or viruses at their early stage. The processing speed of one IDS cannot achieve the throughput requirement in the core networks because of the pattern matching, the key operation for signature-based IDS, is complex and time consuming. In this paper, it argues that if the signature set is shared by multiple IDSs, a packet needs to be checked once and once only by one of the IDSs, so traffic load can be redistributed among the IDSs to avoid local congestion. Packet marking is used to indicate the status of this packet utilized by collaborative IDSs, and a redistribution strategy named inner logical ring (ILR) is built among IDSs to redistribute the traffic load. Meanwhile, caching scheme is used to keep sequence for packets belonging to the same flow. This collaborative distributed IDS is robust with rapid response to various attacks, and the detection throughput is significantly increased from the throughput of the weakest IDS to the summation of all the collaborative IDSs.","","978-0-7695-3431-2","","10.1109/FGCN.2008.67","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4734082","attack detection;collaborative detection;pattern matching;signature-based;traffic load distribution","Computer science;Computer viruses;Computer worms;IP networks;International collaboration;Intrusion detection;Protection;Robustness;Telecommunication traffic;Throughput","Internet;groupware;security of data","Internet users protection;caching scheme;collaborative distributed intrusion detection system;signature-based intrusion detection system;traffic load","","1","","12","","","13-15 Dec. 2008","","IEEE","IEEE Conference Publications"
"SEC - a lightweight event correlation tool","Vaarandi, R.","Dept. of Comput. Eng., Tallinn Tech. Univ., Estonia","IP Operations and Management, 2002 IEEE Workshop on","20021210","2002","","","111","115","Event correlation has become one of the most important techniques in today's network management, and there is a clear trend to extend its use to other application domains as well. Unfortunately, existing event correlation systems are often platform-dependent and heavyweight solutions that have complicated design, being therefore difficult to deploy and maintain, and requiring extensive user training. Their complexity and size makes them often unfeasible to apply for smaller networks and for smaller event correlation tasks. Also, some systems are cumbersome to use outside the domain of network fault management. In addition, commercial event correlation products tend to be quite expensive. In this paper the author presents a lightweight, open-source, and platform independent tool for rule-based event correlation called SEC (simple event correlator), and describes its application experience.","","0-7803-7658-7","","10.1109/IPOM.2002.1045765","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1045765","","Computer network management;Computer networks;Engineering management;Event detection;Humans;Intrusion detection;Monitoring;Open source software;Prototypes;Search engines","computer network management;correlation methods","SEC;lightweight event correlation tool;network fault management;network management;open-source tool;platform independent tool;rule-based event correlation;simple event correlator","","29","2","17","","","2002","","IEEE","IEEE Conference Publications"
"Reconfigurable firewall unit by wave-pipelined operations","Sato, T.; Imaruoka, S.; Fukase, M.","C&C Syst. Center, Hirosaki Univ., Hirosaki","Intelligent Signal Processing and Communications Systems, 2008. ISPACS 2008. International Symposium on","20090327","2009","","","1","4","A firewall unit of H-HIPS (Hardware- and Host-Based Intrusion Prevention System) is needed for reduction of unauthorized access detecting circuits. Because H-HIPS has been achieved by using FPGA, generated circuits by logic synthesis software operate with low-speed clock signals. For operating with high-speed clock signals, pipelined circuits are required. They cause consumption of LUTs (LookUp Table) and registers and increase of power consumption. In this paper, we propose wave-pipelined operation of the firewall unit without reconstruction of circuits. Wave-pipelined circuits have never been achieved without them. We show the unit by wave-pipelined operation can use clock signals of the frequency twice by the gate-level simulation.","","978-1-4244-2564-8","978-1-4244-2565-5","10.1109/ISPACS.2009.4806694","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4806694","","Circuit synthesis;Clocks;Energy consumption;Field programmable gate arrays;Logic circuits;Reconfigurable logic;Registers;Signal generators;Signal synthesis;Table lookup","authorisation;computer viruses;field programmable gate arrays;pipeline processing;table lookup","FPGA;hardware-based intrusion prevention system;host-based intrusion prevention system;logic synthesis software;lookup table;reconfigurable firewall unit;wave-pipelined operations","","0","","15","","","8-11 Feb. 2009","","IEEE","IEEE Conference Publications"
"An Embedded NIDS with Multi-core Aware Packet Capture","Chia-Hao Hsu; Sheng-De Wang","Dept. of Electr. Eng., Nat. Taiwan Univ., Taipei, Taiwan","Computational Science and Engineering (CSE), 2013 IEEE 16th International Conference on","20140306","2013","","","778","785","Network security has been a serious problem in the Internet. To face this issue, network intrusion detection tools have become indispensable for computer systems and network gateways. In this paper we propose an embedded, multi-core aware network intrusion detection system (NIDS), which has the following features: 1) It integrates a novel multi-core aware packet capture module, called the MCA ring, and an NIDS. 2) It exploits a zero-copy mechanism to remove the overheads of packet copy processing from the network interface driver to the NIDS application. 3) It uses the concept of process and IRQ affinity to enhance the processing speed. The performance of NIDS under different packet capture modules in multi-gigabits networks has also been analyzed and presented in this paper. The results show that our integrated multi-core aware MCA ring and NIDS is effective for detecting network intrusion attacks in multi-gigabits networks.","","","","10.1109/CSE.2013.119","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6755299","multi-core aware;network intrusion detection system;packet capture library","Instruction sets;Kernel;Libraries;MONOS devices;Multicore processing;Network interfaces;Performance evaluation","Internet;computer network security;multiprocessing systems","IRQ affinity;Internet;computer systems;embedded NIDS;integrated multicore aware MCA ring;multicore aware network intrusion detection system;multicore aware packet capture module;multigigabits networks;network gateways;network interface driver;network intrusion attack detection;network intrusion detection tools;network security;overhead removal;packet capture modules;packet copy processing;zero-copy mechanism","","0","","20","","","3-5 Dec. 2013","","IEEE","IEEE Conference Publications"
"On the Cost of Mining Very Large Open Source Repositories","Banerjee, S.; Cukic, B.","Robot. Inst., Carnegie Mellon Univ., Pittsburgh, PA, USA","Big Data Software Engineering (BIGDSE), 2015 IEEE/ACM 1st International Workshop on","20150727","2015","","","37","43","Open source bug tracking systems provide a rich information suite that is actively used by software engineering researchers to design solutions to triaging, duplicate classification and developer assignment problems. Today, open repositories often contain in excess of 100, 000 reports, and in cases of RedHat and Mozilla, over a million. Obtaining and analyzing the contents of such datasets are both time and resource consuming. By summarizing the related work we demonstrate that researchers often focused on smaller subsets of the data, and seldom embrace the “big-dataism”. With the emergence of cloud based computation systems such as Amazon EC2, one expects it to be easier to perform large scale analyses. However, our detailed time and cost analysis indicates that significant challenges still remain. Acquiring the open source data can be time intensive, and prone to being misinterpreted as Denial of Service attacks. Generating similarity scores for all prior reports, for example, is a polynomial time problem. In this paper, we present actual costs that we incurred when analyzing the complete repositories from Eclipse, Firefox and Open Office. In our approach, we relied on computing clusters to process the data in an attempt to reduce the cost of analyzing large datasets on the cloud. We present estimated costs for a researcher attempting to analyze complete datasets from Eclipse, Mozilla, Novell and RedHat using the best possible resources. In an ideal situation, with no bottlenecks, a researcher investing just over $40, 000 and 2 weeks of non stop computing time would be able to measure similarity of problem reports within all four datasets.","","","","10.1109/BIGDSE.2015.16","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7166057","","Accuracy;Computer crime;Data mining;Graphics processing units;Random access memory;XML","Big Data;cloud computing;computational complexity;data mining;public domain software;software engineering","Amazon EC2;Big-Dataism;Eclipse;Firefox;Novell;Open Office;RedHat;cloud based computation systems;cost analysis;data processing;denial of service attacks;open source bug tracking systems;polynomial time problem;software engineering;time analysis;very large open source repository mining","","0","","24","","","23-23 May 2015","","IEEE","IEEE Conference Publications"
"A fast pattern matching algorithm for network processor-based intrusion detection system","Rong-Tai Liu; Nen-Fu Huang; Chia-Nan Kao; Chih-Hao Chen","Dept. of Comput. Sci., Nat. Tsing Hua Univ., Taiwan","Performance, Computing, and Communications, 2004 IEEE International Conference on","20050223","2004","","","271","275","Network intrusion detection systems (NIDS) monitor packets on the network and attempts to discover if a hacker is attempting to break into a system. The matching of packet strings against collected signatures dominates signature-based NIDS performance. Network processors are one of the fastest growing segments of the semiconductor market, because they are designed to provide scalable and flexible solutions that can accommodate change quickly and economically. This work presents a fast string matching algorithm (called FNP) over the network processor platform that conducts matching sets of patterns in parallel. FNP needs less number of memory accesses against conventional pattern-matching algorithms. Another contribution of this work is to highlight that, besides total number of searching patterns, shortest pattern length is also a major influence on NIDS multi-pattern matching algorithm performance.","","0-7803-8396-6","","10.1109/PCCC.2004.1394999","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1394999","","Automation;Change detection algorithms;Computer displays;Computer hacking;Computer networks;Computer science;Intrusion detection;Manufacturing;Open source software;Pattern matching","computer networks;safety systems;string matching;telecommunication security","fast string matching algorithm;memory accesses;multipattern matching algorithm;network intrusion detection systems;network processor","","0","","17","","","2004","","IEEE","IEEE Conference Publications"
