"http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&ar=6189073,5706198,1275733,6761561,5425280,7058308,6838655,6682964,4198821,6990267,6975564,1311294,1264933,5740396,4555692,4439001,6177359,4510736,1378390,6193576,1652093,6654811,1264946,6844691,5929314,4425553,6480061,6921381,6029871,6726110,1232401,7046699,4725865,5963095,4664309,7043673,5392861,4660125,7120048,5546735,4787688,6883583,5576274,6911852,6261050,4498173,5473885,969760,6724103,6933120,4550349,6547151,5967489,4600004,6772564,6998478,6957302,5976233,6098218,5678009,4660099,6554170,6785303,6461770,4699868,6606485,6219366,5161654,6363979,6295980,1460505,5329074,7059533,5760265,5386823,6922049,7148405,7012907,6396095,6423680,1209932,6355994,7056879,6296068,1194894,1438399,956234,4675281,5677538,5488489,5983922,6316699,7049308,5347873,6690512,4654307,6161171,7110135,5368053,7129553",2015/11/22 18:19:02
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"EAACK—A Secure Intrusion-Detection System for MANETs","Shakshuki, E.M.; Nan Kang; Sheltami, T.R.","Jodrey Sch. of Comput. Sci., Acadia Univ., Wolfville, NS, Canada","Industrial Electronics, IEEE Transactions on","20121016","2013","60","3","1089","1098","The migration to wireless network from wired network has been a global trend in the past few decades. The mobility and scalability brought by wireless network made it possible in many applications. Among all the contemporary wireless networks, Mobile Ad hoc NETwork (MANET) is one of the most important and unique applications. On the contrary to traditional network architecture, MANET does not require a fixed network infrastructure; every single node works as both a transmitter and a receiver. Nodes communicate directly with each other when they are both within the same communication range. Otherwise, they rely on their neighbors to relay messages. The self-configuring ability of nodes in MANET made it popular among critical mission applications like military use or emergency recovery. However, the open medium and wide distribution of nodes make MANET vulnerable to malicious attackers. In this case, it is crucial to develop efficient intrusion-detection mechanisms to protect MANET from attacks. With the improvements of the technology and cut in hardware costs, we are witnessing a current trend of expanding MANETs into industrial applications. To adjust to such trend, we strongly believe that it is vital to address its potential security issues. In this paper, we propose and implement a new intrusion-detection system named Enhanced Adaptive ACKnowledgment (EAACK) specially designed for MANETs. Compared to contemporary approaches, EAACK demonstrates higher malicious-behavior-detection rates in certain circumstances while does not greatly affect the network performances.","0278-0046","","","10.1109/TIE.2012.2196010","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6189073","Digital signature;Enhanced Adaptive ACKnowledgment (AACK) (EAACK);Mobile Ad hoc NETwork (MANET);digital signature algorithm (DSA)","Ad hoc networks;Digital signatures;Educational institutions;Intrusion detection;Mobile computing;Receivers;Wireless networks","mobile ad hoc networks;radio receivers;radio transmitters;telecommunication security","EAACK;MANET;communication range;emergency recovery;enhanced adaptive acknowledgment;hardware cost;industrial application;malicious attacker;malicious-behavior-detection rate;message relay;military use;mobile ad hoc network;mobility;network architecture;network infrastructure;network performance;receiver;secure intrusion-detection system;security issue;transmitter;wireless network","","25","","35","","2012-04-26","March 2013","","IEEE","IEEE Journals & Magazines"
"Enhancing the pervasive trust management model in MANETs by analyzing the factors affecting performance of various attacks","Durairajan, P.; Sasikala, T.","Sathyabama Univ., Chennai, India","Emerging Trends in Robotics and Communication Technologies (INTERACT), 2010 International Conference on","20110131","2010","","","115","120","Mobile Ad Hoc Network (MANET) consists of a collection of wireless mobile hosts without the required intervention of any existing infrastructure or centralized access point such as base station. The dynamic topology of MANET allows nodes to join and leave the network at any point of time. Wireless MANET is particularly vulnerable due to its fundamental characteristics such as open medium, dynamic topology, distributed cooperation and constrained capability. In Mobile Ad Hoc Network (MANET), network traffics are redirected to a specific node or from the malicious node causing serious damage. And also it causes false identification of a good node as a bad one. This increases false alarms and as a result any further communication with that node or via that node is halted. It occurs due to lack of authentication and it grants provision for any node to corrupt other node's legitimate information. In this paper we compare and analysis the performance of various attacks with proposed attacks on different routing protocol in mobile ad hoc networks. Various types of scenarios are generated and each of the attacks is simulated on each of these, then their parameters like throughput, packet delivery ratio and delay will be compared The performance differentials are analyzed using varying pause time, constant nodes and dynamic topology. Based on the observations, we make valuable conclusions about which attacks induce more false alarm and impact on Mobile Ad Hoc Network.","","978-1-4244-9004-2","","10.1109/INTERACT.2010.5706198","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5706198","Attacks;MANET;Wireless Networks","Ad hoc networks;Mobile computing;Routing;Routing protocols;Security;Watches;Wireless networks","mobile ad hoc networks;routing protocols;telecommunication network management;telecommunication network topology;telecommunication traffic","MANET;base station;centralized access point;constant nodes;constrained capability;distributed cooperation;dynamic topology;malicious node;mobile ad hoc network;network traffics;node legitimate information;open medium;packet delivery ratio;pervasive trust management model enhancement;routing protocol;throughput;varying pause time;wireless mobile hosts","","0","","29","","","3-5 Dec. 2010","","IEEE","IEEE Conference Publications"
"A pattern-matching co-processor for network intrusion detection systems","Clark, C.R.; Schimmel, D.E.","Sch. of Electr. & Comput. Eng., Georgia Inst. of Technol., Atlanta, GA, USA","Field-Programmable Technology (FPT), 2003. Proceedings. 2003 IEEE International Conference on","20040322","2003","","","68","74","This paper explores the design and analysis of an FPGA module that implements pattern-matching functionality for the network intrusion detection problem. The specific features of the pattern-matcher include support for complex regular expressions and approximate matching with bounded substitutions, insertions, and deletions. A module generator is presented that utilizes non-deterministic finite automata to dynamically create efficient circuits for matching patterns specified with a standard rule language. The logic complexity and performance of the generated circuits is measured and analyzed. Results indicate our techniques yield circuits that are more than twice as dense as other reported designs, while maintaining the throughput necessary for processing at gigabit line speeds and beyond. The FPGA pattern-matching processor is integrated with other hardware and software components to form a complete network intrusion detection system.","","0-7803-8320-6","","10.1109/FPT.2003.1275733","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1275733","","Automata;Coprocessors;Field programmable gate arrays;Integrated circuit measurements;Integrated circuit yield;Intrusion detection;Logic circuits;Pattern analysis;Pattern matching;Performance analysis","coprocessors;field programmable gate arrays;finite automata;logic circuits;pattern matching;safety systems","FPGA module;FPGA pattern matching coprocessor;approximate matching;bounded deletions;bounded insertions;bounded substitutions;complex regular expressions;gigabit line speeds;logic complexity;module generator;network intrusion detection systems;nondeterministic finite automata;standard rule language","","3","8","13","","","15-17 Dec. 2003","","IEEE","IEEE Conference Publications"
"Management of identity and credentials in mobile cloud environment","Jana, D.; Bandyopadhyay, D.","BIT, TEOCO Software Pvt Ltd., Kolkata, India","Advanced Computer Science and Information Systems (ICACSIS), 2013 International Conference on","20140313","2013","","","113","118","One of the significant objective of most enterprise information security measures is to ensure providing robust identity and access management (IAM) to its users. This encompasses systems straddling across the globe allowing the access of sensitive as well as confidential data of the enterprise at any point in time. With rapid mounting proliferation of mobile devices but with limited resources, cloud computing has emerged as an obvious predilection for performing resource intensive tasks over the cloud. To address the security issues, cloud service providers (CSPs) are coming up with new services such as Security as a Service (SecaaS). From our analysis of security threats and its measures, we feel that additional controls are required for Identity and Access Management for mobile cloud users. We have made some security recommendations along with best practices for consumers and service providers to consider ensuring robust information security including IAM for growing mobile users in cloud.","","","","10.1109/ICACSIS.2013.6761561","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6761561","","Authentication;Authorization;Cloud computing;Mobile communication;Mobile computing;Mobile handsets","authorisation;cloud computing;mobile computing","CSP;IAM;SecaaS;access management;cloud computing;cloud mobile users;cloud service providers;confidential data access;credential management;enterprise information security measure;identity management;mobile cloud environment;mobile cloud users;mobile devices;resource intensive task;robust information security;security as a service;security recommendation;security threat analysis;sensitive data access","","6","","33","","","28-29 Sept. 2013","","IEEE","IEEE Conference Publications"
"Software-Based Remote Code Attestation in Wireless Sensor Network","AbuHmed, T.; Nyamaa, N.; DaeHun Nyang","Inf. Security Res. Lab., INHA Univ., Incheon, South Korea","Global Telecommunications Conference, 2009. GLOBECOM 2009. IEEE","20100304","2009","","","1","8","Sensor nodes are usually vulnerable to be compromised due to their unattended deployment. The low cost requirement of the sensor node precludes using an expensive tamper resistant hardware for sensor physical protection. Thus, the adversary can reprogram the compromised sensors and deviates sensor network functionality. In this paper, we propose two simple software-based remote code attestation schemes for different WSN criterion. Our schemes use different independent memory noise filling techniques called pre-deployment and post-deployment noise filling, and also different communication protocols for attestation purpose. The protocols are well-suited for wireless sensor networks, where external factors , such as channel collision, result in network delay. Hence, the success of our schemes of attestation does not depend on the accurate measurement of the execution time, which is the main drawback of previously proposed wireless sensor network attestation schemes.","1930-529X","978-1-4244-4148-8","","10.1109/GLOCOM.2009.5425280","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5425280","","Costs;Data security;Filling;Hardware;Information security;Laboratories;Protection;Time measurement;Wireless application protocol;Wireless sensor networks","protocols;security of data;wireless sensor networks","WSN;channel collision;communication protocols;execution time;memory noise filling;network delay;post deployment noise filling;predeployment noise filling;sensor nodes;software-based remote code attestation;wireless sensor network","","3","","22","","","Nov. 30 2009-Dec. 4 2009","","IEEE","IEEE Conference Publications"
"Detecting packet dropping nodes using machine learning techniques in Mobile ad-hoc network: A survey","Patel, N.J.; Jhaveri, R.H.","Dept. of Comput. Eng.-IT, Shri S'ad Vidya Mandai Inst. of Technol., Bharuch, India","Signal Processing And Communication Engineering Systems (SPACES), 2015 International Conference on","20150312","2015","","","468","472","Mobile ad-hoc networks have to suffer with different types of packet dropping attacks. Therefore, we need strong mechanism to detect these malevolent nodes and to classify normal and abnormal nodes as per the behavior of nodes. Machine learning techniques distinguish outlier nodes quickly and accurately provide classification by observing behavior of those nodes in the network. In this paper, we study various machine learning techniques as artificial neural network, support vector machine, decision tree, Q-learning, Bayesian network for identifying the malicious nodes. These techniques are able to detect black hole, gray hole, flooding attacks and other packet dropping attacks. These types of misbehaving nodes are identified and future behaviors of the nodes are predicted with supervised, un-supervised, reinforcement machine learning techniques.","","","","10.1109/SPACES.2015.7058308","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7058308","Mobile ad hoc network;black hole;gray hol;machine learning techniques;packet dropping attacks;support vector machine (SVM)","Bayes methods;Genetic algorithms;Measurement;Mobile ad hoc networks;Routing;Support vector machines","belief networks;computer network security;decision trees;learning (artificial intelligence);mobile ad hoc networks;neural nets;pattern classification;support vector machines","Bayesian network;Q-learning;artificial neural network;black hole detection;decision tree;flooding attack detection;gray hole detection;malevolent node detection;malicious node detection;mobile ad hoc network classification;packet dropping attack node detection;reinforcement machine learning technique;supervised learning;support vector machine;unsupervised learning","","0","","38","","","2-3 Jan. 2015","","IEEE","IEEE Conference Publications"
"Protecting Run-Time Filters for Network Intrusion Detection Systems","Valgenti, V.C.; Hai Sun; Min Sik Kim","Petabi, Inc., Irvine, CA, USA","Advanced Information Networking and Applications (AINA), 2014 IEEE 28th International Conference on","20140619","2014","","","116","122","Network Intrusion Detection Systems (NIDS) examine millions of network packets searching for malicious traffic. Multi-gigabit line-speeds combined with growing databases of rules lead to dropped packets as the load exceeds the capacity of the device. Several areas of research have attempted to mitigate this problem through improving packet inspection efficiency, increasing resources, or reducing the examined population. A popular method for reducing the population examined is to employ run-time filters that can provide a quick check to determine that a given network packet cannot match a particular rule set. While this technique is an excellent method for reducing the population under examination, rogue elements can trivially bypass such filters with specially crafted packets and render the run-time filters effectively useless. Since the filtering comes at the cost of extra processing a filtering solution could actually perform worse than a non-filtered solution under such pandemic circumstances. To defend against such attacks, it is necessary to consider run-time filters as an independent anomaly detector capable of detecting attacks against itself. Such anomaly detection, together with judicious rate-limiting of traffic forwarded to full packet inspection, allows the detection, logging, and mitigation of attacks targeted at the filters while maintaining the overall improvements in NIDS performance garnered from using run-time filters.","1550-445X","978-1-4799-3629-8","","10.1109/AINA.2014.19","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6838655","Deep Packet Inspection;Filters;IDS;Intrusion Detection;Network Security;Run-time Filters;Security","Automata;Detectors;Inspection;Intrusion detection;Limiting;Matched filters;Sociology","filters;security of data;telecommunication traffic","NIDS performance;anomaly detector;crafted packets;filtering solution;malicious traffic;multigigabit line-speeds;network intrusion detection systems;network packets;packet inspection;run-time filters;run-time filters protection","","0","","19","","","13-16 May 2014","","IEEE","IEEE Conference Publications"
"2013 Annual Index","","","Computers, IEEE Transactions on","20131212","2014","63","1","not in print","not in print","This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under the primary entry in the Author Index.","0018-9340","","","10.1109/TC.2014.1","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6682964","","","","","","0","","","","","Jan. 2014","","IEEE","IEEE Journals & Magazines"
"Distributed Authentication of Program Integrity Verification in Wireless Sensor Networks","Chang, K.; Shin, K.G.","Dept. of Electr. Eng. & Comput. Sci., Michigan Univ., Ann Arbor, MI","Securecomm and Workshops, 2006","20070515","2006","","","1","10","Security in wireless sensor networks has become important as sensor networks are being used for an increasing number of applications. The severe resource constraints in each sensor make it very challenging to secure sensor networks. Moreover, sensors are usually deployed in hostile and unattended environments, and hence, are susceptible to various attacks, including node capture, physical tampering, and manipulation of the sensor program. The authors of T. Park and K.G. Shin, (2005) proposed a soft tamper-proofing scheme that verifies the integrity of the program in each sensor device, called the program integrity verification (PIV). This paper addresses how to authenticate PIV servers (PIVSes) in a fully-distributed manner. Our distributed authentication protocol of PIVSes (DAPP) uses the Blundo scheme (C. Blundo et al., 1992) and allows sensors to authenticate PIVSes without requiring commonly-used trusted third parties, such as authentication servers (ASes), in the network. We implement and evaluate both the DAPP and the PIV on Mica2 Motes and laptops. We also analyze the security of DAPP under different attack models, demonstrating its capability to deal with various types of attacks","","1-4244-0423-1","1-4244-0423-1","10.1109/SECCOMW.2006.359561","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4198821","","Authentication;Capacitive sensors;Communication system security;Computer security;Cryptography;Intrusion detection;Military computing;Network servers;Protocols;Wireless sensor networks","protocols;telecommunication security;wireless sensor networks","Blundo scheme;Mica2 Motes;distributed authentication;distributed authentication protocol;node capture;physical tampering;program integrity verification;sensor program manipulation;severe resource constraints;soft tamper-proofing scheme;wireless sensor networks security","","1","4","22","","","Aug. 28 2006-Sept. 1 2006","","IEEE","IEEE Conference Publications"
"Compressed and distributed host identity protocol for end-to-end security in the IoT","Sahraoui, S.; Bilami, A.","Comput. Sci. Dept., Univ. of Batna, Batna, Algeria","Next Generation Networks and Services (NGNS), 2014 Fifth International Conference on","20141218","2014","","","295","301","Wireless Sensor Networks (WSNs), as a key part of the Internet of Things (IoT), allow the representation of the dynamic characteristics of the physical world in the Internet's virtual world. Thus, sensor nodes are henceforth considered as Internet hosts and may act freely as web clients or servers. Undoubtedly, security and end-users privacy issues rise and become more severe in the IoT, due to the asymmetric nature of the communications between sensor nodes and the ordinary Internet hosts. Many solutions propose to use the classical IP-based security protocols for IoT, after adapting them to WSN's constraints by either messages compression or computational-load distribution techniques. In this paper we propose a 6LoWPAN (IPv6 over Low power Wireless Personal Area Networks) compression model for HIP (Host Identity Protocol) header, as well as, an adapted distribution scheme of the computational load in HIP's key agreement process. For an extreme lightweight end-to-end security, we propose to combine both compression and distribution models for HIP in WSNs side, in the IoT. The partial evaluation results show that the proposed protocol, named compressed and distributed HIP (CD-HIP), is more adapted than the standard HIP, while introducing minor header communication overhead.","","978-1-4799-6608-0","","10.1109/NGNS.2014.6990267","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6990267","6LoWPAN compression;Host Identity Protocol;Internet of Tinhgs;IoT;Wireless Sensor Networks;distributed HIP Base Exchange;end-to-end security","Hip;IP networks;Internet;Peer-to-peer computing;Protocols;Security;Wireless sensor networks","IP networks;Internet;Internet of Things;file servers;personal area networks;protocols;telecommunication security;wireless sensor networks","6LoWPAN;CD-HIP;IP-based security protocols;IPv6 over low power wireless personal area networks;Internet of Things;IoT;WSN;Web clients;Web servers;communication overhead;compressed and distributed HIP;computational-load distribution techniques;distribution scheme;end-to-end security;host identity protocol;messages compression;wireless sensor networks","","0","","18","","","28-30 May 2014","","IEEE","IEEE Conference Publications"
