"http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&ar=4018490,7232998,5073588,4663312,1265033,5426002,6687271,6149158,6297095,5137874,4451043,6257525,5715080,5283945,4469318,5990529,5328069,6066268,5615975,5762455,6701473,5522352,4529830,4149415,6263941,5453563,6378948,7011238,5343035,5010583,1207008,6503580,5958224,4667417,5962511,5703572,1575855,7100297,7045583,6689489,6273260,6682694,5190125,4437795,1007774,4772624,5207966,7079121,1666450,4530488,6883886,7009218,6654744,5656732,5404243,5425276,4722409,5088926,6999911,1423481,1532054,6134010,6062729,6599007,6045978,7033773,5209852,5368241,1231404,5374518,6394683,4682403,4224156,6038162,4378271",2015/11/22 18:22:11
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Labeling Network Event Records for Intrusion Detection in aWireless LAN","Khoshgoftaar, T.M.; Seiffert, C.; Seliya, N.","Comput. Sci. & Eng., Florida Atlantic Univ., Boca Raton, FL","Information Reuse and Integration, 2006 IEEE International Conference on","20061204","2006","","","200","206","A data mining approach to network intrusion detection requires a training dataset of network event records labeled as either normal or an attack type. Since there are too many events to track, such datasets are typically very large. This is particularly so in a WLAN where number of non-wired devices communicating with the WLAN can be too many and adhoc. This creates a problem for the domain expert in labeling all records in the training dataset which is used to train a machine learner. We present a simple approach by which the number of network records the expert has to examine is a relatively small proportion of the given training dataset. A clustering algorithm is used to form relatively coherent groups which the expert examines as a whole to label records as one of four classes: red (definite intrusion), yellow (possibly intrusion), blue (probably normal), and green (definite normal). An ensemble classifier-based data cleansing approach is then used to detect records that were likely mislabeled by the expert. The proposed approach is investigated with a case study of a real-world WLAN. An ensemble classifier-based intrusion detection model built using the labeled training dataset demonstrates the effectiveness of the labeling approach and the good generalization accuracy","","0-7803-9788-6","","10.1109/IRI.2006.252413","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4018490","","Computer networks;Data mining;Data security;Information security;Intrusion detection;Labeling;Local area networks;Machine learning;Wireless LAN;Wireless networks","data mining;learning (artificial intelligence);pattern classification;pattern clustering;security of data;wireless LAN","clustering algorithm;data cleansing;data mining;dataset training;ensemble classification;machine learning;network event record labeling;network intrusion detection;wireless LAN","","1","","15","","","16-18 Sept. 2006","","IEEE","IEEE Conference Publications"
"Kernel methods to detect intruders","Beghdad, R.; Ziraoui, Y.; Kouache, N.","Fac. of Sci., Abderrahmane Mira Univ., Bejaia, Algeria","Control, Engineering & Information Technology (CEIT), 2015 3rd International Conference on","20150903","2015","","","1","6","This paper aims mainly to improve the data analysis methods already used to detect introduers in [1]. To do that, we introduce two anomaly intrusion detection methods based on Kernel Fisher Discriminant Analysis (KFDA) and Kernel Principal Component Analysis (KPCA). This approach searches for those vectors in the underlying space that best discriminate among users' profile classes. The discrimination rules are based on nonlinear combinations of the observed users' profiles, called discriminant factors. This new approach provides for the ability to learn and later determine whether a new profile does or does not correspond to those of known users. Unlike many researchers we used realistic data to learn the behaviors of four students' classes. After that we apply KFDA and KPCA to get an appropriate discrimination between the student classes. Thus, one can easily determine if a new student is legitimate or not by projecting its profile onto the profile subspace. Simulations show that our approaches outperform those used in [1].","","","","10.1109/CEIT.2015.7232998","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7232998","Anomaly intrusion detection;Audit trail analysis;Intrusion detection;Kernel Fisher Discriminant Analysis;Kernel Principal Component Analysis","Algorithm design and analysis;Clustering algorithms;Covariance matrices;Intrusion detection;Kernel;Linear discriminant analysis;Principal component analysis","data analysis;principal component analysis;security of data;vectors","KFDA;KPCA;anomaly intrusion detection method;data analysis method;discriminant factor;discrimination rule;kernel fisher discriminant analysis;kernel principal component analysis;vector","","0","","13","","","25-27 May 2015","","IEEE","IEEE Conference Publications"
"Implementing Trusted Vehicular Communications","Gerlach, M.; Friederici, F.","","Vehicular Technology Conference, 2009. VTC Spring 2009. IEEE 69th","20090612","2009","","","1","2","The main software modules included in the overall package are currently: (1) the encap and decap modules, realized as applications running in the background, (2) front-ends in different programming languages for easy integration into an existing application, and (3) a command line tool for generating valid certificates and keys for a node, called ca- tool (certification authority). Using the current status of the software, we already demonstrated simple scenarios for secure vehicular communications, where security is integrated, for example, into an emergency vehicle application. The modularity and the portability of the existing software makes it unique as a tool for fostering future research concerning secure VC. Results of future research issues, like secure integration into existing applications, the use of cryptographic and tamper proof hardware, the methods for proper identity management and their handling in a future system can easily be tested and integrated into existing applications using the trusted communications testbed software. This in turn will support the use of security in field tests and will make it possible to concentrate on the real problems there. The software is licensed under the GPL and can be obtained upon request.","1550-2252","978-1-4244-2517-4","978-1-4244-2517-4","10.1109/VETECS.2009.5073588","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5073588","","Application software;Certification;Communication system software;Computer languages;Packaging;Security;Software packages;Software testing;Software tools;System testing","cryptography;program testing;public domain software","certification authority;trusted communications testbed software;trusted vehicular communications","","3","","5","","","26-29 April 2009","","IEEE","IEEE Conference Publications"
"Ontology-Based Knowledge Representation for a P2P Multi-agent Distributed Intrusion Detection System","Dayong Ye; Quan Bai; Minjie Zhang","Sch. of Comput. Sci. & Software Eng., Univ. of Wollongong, Wollongong, NSW","Network and Parallel Computing, 2008. NPC 2008. IFIP International Conference on","20081031","2008","","","111","118","Many research efforts on application of ontology in network security have been done in the past decade. However, they mostly stop at initial proposal or focus on framework design without detailed representation of intrusion or attack and relevant detection knowledge with ontology. In this paper, the design and implementation of ontology-based knowledge representation for a peer-to-peer multi-agent distributed intrusion detection system (ontology-based MADIDS) are introduced. An example which demonstrates the representation of an attack with ontology and the relevant detection process is also presented. In ontology-Based MADIDS, ontology technique enables peers in the system and agents in one peer to share common understanding of information. In addition, benefited from agent technology and P2P architecture, agents in ontology-based MADIDS not only detect attacks on a single host but also in a distributed domain. These features make the ontology-based MADIDS more flexible and robust.","","978-0-7695-3354-4","","10.1109/NPC.2008.8","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4663312","Intrusion Detection;Multi-Agent;Ontology;Peer-to-Peer","Application software;Australia;Computer science;Computer security;Intrusion detection;Knowledge representation;Ontologies;Peer to peer computing;Proposals;Software engineering","multi-agent systems;ontologies (artificial intelligence);peer-to-peer computing;security of data","knowledge representation;ontology;peer-to-peer multiagent distributed intrusion detection system","","0","","17","","","18-21 Oct. 2008","","IEEE","IEEE Conference Publications"
"Table of contents","","","System Sciences, 2004. Proceedings of the 37th Annual Hawaii International Conference on","20040226","2004","","","vii","l","Presents the table of contents of the proceedings.","","0-7695-2056-1","","10.1109/HICSS.2004.1265033","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1265033","","","","","","0","","","","","5-8 Jan. 2004","","IEEE","IEEE Conference Publications"
"Secure Communication among Cell Phones and Sensor Networks","Durresi, A.; Paruchuri, V.","Dept. of Comput. & Inf. Sci., Indiana Univ. Purdue Univ., Indianapolis, IN, USA","Global Telecommunications Conference, 2009. GLOBECOM 2009. IEEE","20100304","2009","","","1","7","Numerous applications, ranging from disaster management to smart buildings, have been proposed for sensor networks. The practicality of these applications depends on the ability of users to interact with these networks, in many cases in real time. In this paper we propose that cell phones interact with sensor networks and obtain the relevant information in real time. Cell phones can communicate with cellular network and sensor networks at the same time. This unique ability is used to provide better authentication and security. We propose an architecture for these networks along with protocols that can be used to establish secure communications. In our architecture, we use gateways, as intermediate nodes between cell phones and sensor nodes. We propose solutions to detect and revoke captured gateways.","1930-529X","978-1-4244-4148-8","","10.1109/GLOCOM.2009.5426002","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5426002","","Application software;Authentication;Cellular phones;Computer networks;Cryptography;Data security;Information security;Intelligent sensors;Land mobile radio cellular systems;Military computing","cellular radio;internetworking;telecommunication security;wireless sensor networks","authentication;cell phone;disaster management;gateways;secure communication;sensor network;smart building","","2","","30","","","Nov. 30 2009-Dec. 4 2009","","IEEE","IEEE Conference Publications"
"SOCCA: A Security-Oriented Cyber-Physical Contingency Analysis in Power Infrastructures","Zonouz, S.; Davis, C.M.; Davis, K.R.; Berthier, R.; Bobba, R.B.; Sanders, W.H.","Electr. & Comput. Eng. Dept., Univ. of Miami, Miami, FL, USA","Smart Grid, IEEE Transactions on","20140102","2014","5","1","3","13","Contingency analysis is a critical activity in the context of the power infrastructure because it provides a guide for resiliency and enables the grid to continue operating even in the case of failure. In this paper, we augment this concept by introducing SOCCA, a cyber-physical security evaluation technique to plan not only for accidental contingencies but also for malicious compromises. SOCCA presents a new unified formalism to model the cyber-physical system including interconnections among cyber and physical components. The cyber-physical contingency ranking technique employed by SOCCA assesses the potential impacts of events. Contingencies are ranked according to their impact as well as attack complexity. The results are valuable in both cyber and physical domains. From a physical perspective, SOCCA scores power system contingencies based on cyber network configuration, whereas from a cyber perspective, control network vulnerabilities are ranked according to the underlying power system topology.","1949-3053","","","10.1109/TSG.2013.2280399","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6687271","Contingency analysis;cyber-physical systems;security;situational awareness;state estimation","Algorithm design and analysis;Indexes;Mathematical model;Network topology;Power grids;Security","power grids;power system planning;power system security","SOCCA;accidental contingency;control network;cyber components;cyber network configuration;cyber perspective;cyber-physical security evaluation;grid operation;malicious compromises;physical components;power infrastructures;power system contingency;power system topology;security-oriented cyber-physical contingency analysis","","4","","44","","2013-12-18","Jan. 2014","","IEEE","IEEE Journals & Magazines"
"PALMS: A Modern Coevolution of Community and Computing Using Policy Driven Development","Demchak, B.; Kerr, J.; Raab, F.; Patrick, K.; Kruger, I.H.","Univ. of California, San Diego, MD, USA","System Science (HICSS), 2012 45th Hawaii International Conference on","20120209","2012","","","2735","2744","In 2007, the National Institutes of Health (NIH) funded the Physical Activity and Location Measurement System (PALMS) project at the University of California, San Diego. Its mission is to advance exposure biology research by developing new methods of physical activity data capture and analysis from a geospatial perspective. A key early insight was that while exposure biology investigators often employ their own data analysis frameworks, many frameworks are conceptually similar. Forming a community based on common requirements and research directions, and serving that community with a common computing framework would, itself, be a major contribution to the NIH mission. This paper describes the PALMS Cyber infrastructure (CI), which comprises both the PALMS computing services and the exposure biology community it serves. By leveraging state of the art software architecture techniques, the PALMS CI is well positioned to serve the co evolution of a thriving research community and the computing systems that support it.","1530-1605","978-1-4577-1925-7","978-0-7695-4525-7","10.1109/HICSS.2012.464","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6149158","","Biology;Communities;Computational modeling;Computer architecture;Service oriented architecture;Unified modeling language;User interfaces","data analysis;medical computing;software architecture","National Institutes of Health;PALMS computing service;PALMS project;Physical Activity and Location Measurement System;biology research;computing system;cyber infrastructure;data analysis;data capture;geospatial perspective;physical activity;policy driven development;software architecture","","0","","25","","","4-7 Jan. 2012","","IEEE","IEEE Conference Publications"
"An approach towards intrusion detection using PCA feature subsets and SVM","Kausar, N.; Samir, B.B.; Sulaiman, S.B.; Ahmad, I.; Hussain, M.","Dept. of Comput. & Inf. Sci., Univ. Teknol. PETRONAS, Tronoh, Malaysia","Computer & Information Science (ICCIS), 2012 International Conference on","20120910","2012","2","","569","574","Presently many intrusion detection approaches are available but have drawbacks like training overhead as well as their performance factor. Increased detection rate with less false alarms can enhanced the efficiency of an intrusion detection system. One of the main limitations is the processing of raw features for classification which increases the architecture complexity and decreases the accuracy of detecting intrusions. Because of the limitations in earlier approaches, this PCA based subsets has been proposed. An SVM based IDS mechanism with Principal Component Analysis (PCA) feature subsets has been presented. Support Vector Machines (SVM) used as classifier to test and train the subsets of extracted features with Radial Basis Function (RBF) kernel.","","978-1-4673-1937-9","","10.1109/ICCISci.2012.6297095","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6297095","Intrusion Detection System (IDS);Knowledge Discovery and Data Mining (KDD);Principal Component Analysis (PCA);Radial Basis Function (RBF);Support Vector Machine (SVM)","Eigenvalues and eigenfunctions;Feature extraction;Kernel;Support vector machines;Training","principal component analysis;radial basis function networks;security of data;support vector machines","IDS mechanism;PCA feature subsets;RBF kernel;SVM;architecture complexity;intrusion detection system;performance factor;principal component analysis;radial basis function;support vector machines","","1","","21","","","12-14 June 2012","","IEEE","IEEE Conference Publications"
"A Hybrid Detection Approach for Zero-Day Polymorphic Shellcodes","Chen Ting; Zhang Xiaosong; Liu Zhi","Sch. of Comput. Sci. & Eng., Univ. of Electron. Sci. & Technol. of China (UESTC), Chengdu","E-Business and Information System Security, 2009. EBISS '09. International Conference on","20090630","2009","","","1","5","Zero-day shellcodes has become a major threat to the Internet with complex obfuscation techniques. However, even the state-of-the-art NIDS has small chances of detecting them because they rely on known signatures. This paper presents hybrid detection for zero-day polymorphic shellcodes (HDPS) against shellcodes using various obfuscations. Our approach employs a heuristic approach to detect return address and filter mass innocent network flows, and then constructs a Markov model to detect the existence and location of executable codes in suspicious flows. Finally, it applies an elaborate approach to detect NOP Sleds in the executable codes. Initial experiments show HDPS detects nearly all types of shellcodes, and the false positive rate approximates zero with low overhead.","","978-1-4244-2909-7","978-1-4244-2910-3","10.1109/EBISS.2009.5137874","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5137874","","Buffer overflow;Computer architecture;Computer science;Genetic mutations;Information filtering;Information filters;Internet;Intrusion detection;Robustness;Statistics","Internet;Markov processes;security of data;telecommunication security;telecommunication traffic","Internet;Markov model;NOP Sleds detection;complex obfuscation technique;heuristic approach;hybrid zero-day polymorphic shellcode detection approach;mass innocent network flow filtering;state-of-the-art NIDS;suspicious flow","","1","","10","","","23-24 May 2009","","IEEE","IEEE Conference Publications"
