"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&ar=6237371,5364550,5175112,6006130,5635801,5563886,5951873,6079391,5300903,6092778,5358796,6883886,6663536,5984061,7009218,6906414,6196124,5136206,5958854,7001750,5319312,6654744,5656732,5404243,5356522,5425276,6332015,6922037,5972317,5768707,5705603,7030328,4958959,5949682,5088926,6999911,6359654,5606485,6740891,6134010,5375527,6976452,6895751,6062729,6630283,6392060,6387224,5369063,6623644,6516390,6599007,5584893,5136797,5497997,6394440,6704411,6045978,5541835,6493150,7038810,5640935,5619113,7033773,5209852,6717792,5368241,5540755,5374518,6476820,6394683,6038162,5609419,6996163,5211030,5962595,6246794,6599023,6078289",2015/11/02 13:13:00
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"CGA based performance-security trade-off optimization in a networked DC motor system","Wente Zeng; Mo-Yuen Chow","Dept. of Electr. & Comput. Eng., North Carolina State Univ., Raleigh, NC, USA","Industrial Electronics (ISIE), 2012 IEEE International Symposium on","20120712","2012","","","1834","1839","There are increasing concerns about the protection of the Networked Control Systems (NCS) security because of the growing threats of cyber attacks. However, security requirements often conflict with other performance requirements, like realtime dynamic performance due to limited system resources. We investigate the problem of the trade-off between NCS security and the NCS real-time performance in this paper. We first present a trade-off model for performance and security on NCS using a networked DC Motor system as an example. Then, a framework of performance-security trade-off optimization based on Coevolutionary Genetic Algorithm (CGA) for this networked DC motor system is proposed. Finally, simulation results show that the proposed CGA framework is an effective approach for performance-security trade-off analysis and optimization on NCS.","2163-5137","978-1-4673-0159-6","978-1-4673-0157-2","10.1109/ISIE.2012.6237371","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6237371","","DC motors;Delay effects;Encryption;Genetic algorithms;Measurement;Optimization","DC motors;genetic algorithms;machine control;security","CGA;NCS security protection;coevolutionary genetic algorithm;cyber attack threat;networked DC motor system;networked control system security protection;performance-security trade-off optimization framework;real-time dynamic performance;system resource","","1","","17","","","28-31 May 2012","","IEEE","IEEE Conference Publications"
"Network Anomaly Detection Using Dissimilarity-Based One-Class SVM Classifier","Jun Ma; Guanzhong Dai; Zhong Xu","Coll. of Autom., Northwestern Polytech. Univ., Xi''an, China","Parallel Processing Workshops, 2009. ICPPW '09. International Conference on","20091228","2009","","","409","414","We present a new network anomaly detection system using dissimilarity-based one-class support vector machine( DSVMC). we transform the raw data into a dissimilarity space using Dissimilarity Representations (DR). DR describe objects by their dissimilarities to a set of target class. DSVMC are constructed on these DR. We propose a framework of anomaly detection using DSVMC. A new strategy of prototype selection has been proposed to obtain better DR. We not only offer a better approach in strategy to describe to distribution of large training dataset but also reduce the computational cost of prototype selection largely. In order to deploy the ADS in real-time detection application, we use Kernel Primary Component Analysis (KPCA) to reduce the dimension of transformed data. Evaluation has been made among traditional one-class classifiers, the dissimilarity-based one class SVM classifier without optimization of DR (WSVMC) and our DSVMC on KDDCUP' 99 dataset. The results show that DSVMC can achieve high detection rate than WSVMC and more robust performance than traditional one-class classifiers.","1530-2016","978-1-4244-4923-1","978-0-7695-3803-7","10.1109/ICPPW.2009.6","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5364550","Anomaly Detection;Dissimilarity Representation;SVM","Automation;Educational institutions;Intrusion detection;Kernel;Parallel processing;Prototypes;Support vector machine classification;Support vector machines;Telecommunication traffic;Traffic control","learning (artificial intelligence);principal component analysis;security of data;support vector machines","dissimilarity representations;kernel primary component analysis;network anomaly detection;support vector machine","","0","","14","","","22-25 Sept. 2009","","IEEE","IEEE Conference Publications"
"Recognizing Intrusive Intention Based on Dynamic Bayesian Networks","Peng Wu; Yao Shuping; Chen Junhua; Wang Zhigang","Lab. for Comput. Network Defense Technol., Beijing Inst. of Technol., Beijing, China","Information Engineering and Electronic Commerce, 2009. IEEC '09. International Symposium on","20090728","2009","","","241","244","Knowing an attackerpsilas intentions can significantly improve the effectiveness of a decision-making system. However, recognition such intentions and the attackerpsilas intended plans for achieving them is not an easy task because there are too many uncertain and dynamic factors in network environment. In this paper, intrusive intention recognition using dynamic Bayesian network is proposed to cope with uncertainty and dynamics in network security awareness. Furthermore, attack actions forecast based on goal recognition is given and discussed. Finally, feasibility and validity of this method are proved from the experiments.","","978-0-7695-3686-6","","10.1109/IEEC.2009.56","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5175112","dynamic Bayesian networks;intention recognition;network security","Artificial intelligence;Bayesian methods;Collaborative software;Computer networks;Computer security;Data security;Decision making;Electronic commerce;Intrusion detection;Uncertainty","belief networks;decision making;security of data","attackers intention;decision-making system;dynamic Bayesian networks;intrusive intention recognition;network security awareness","","1","","9","","","16-17 May 2009","","IEEE","IEEE Conference Publications"
"Research and Implementation of Multi-Thread Port Scanning Technology","Yi-bo Guo; Hong-dong Yin; Bo Gao","Sch. of Geophys. & Inf. Eng., China Univ. of Pet. (Beijing), Beijing, China","Internet Technology and Applications (iTAP), 2011 International Conference on","20110829","2011","","","1","4","The port scanning is one of the important network security scanning technologies and the foundation of network security detection. Detecting the port scan and finding potential aggressive behavior can help effectively intrusion detection system complete the task of early warning, interception and obtaining evidence, etc. With the enhanced processing capacity of operating system and computer, multi-thread technology has been more and more applied to application programming. After introducing briefly scanning technology and multi-thread technology, this paper gives the implementation of TCP port scanning by using Microsoft Visual C++ MFC library. The program enhances scanning efficiency through multi-thread and ping technology. The results of the program are satisfactory.","","978-1-4244-7253-6","","10.1109/ITAP.2011.6006130","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6006130","","IP networks;Message systems;Programming;Radiation detectors;Security;Sockets;Visualization","C++ language;multi-threading;operating systems (computers);security of data","Microsoft Visual C++ MFC library;TCP port;application programming;intrusion detection system;multithread port scanning technology;network security detection;network security scanning technologies;operating system","","0","","7","","","16-18 Aug. 2011","","IEEE","IEEE Conference Publications"
"Malware Behavior Analysis: Learning and Understanding Current Malware Threats","Zolkipli, M.F.; Jantan, A.","Sch. of Comput. Sci., Univ. Sains Malaysia, Minden, Malaysia","Network Applications Protocols and Services (NETAPPS), 2010 Second International Conference on","20101115","2010","","","218","221","Malware is one of the major security threats in computer and network environment. However, Signature-based approach that commonly used does not provide enough opportunity to learn and understand malware threats that can be used in implementing security prevention mechanisms. In order to learn and understand the malwares, behavior-based technique that applied dynamic approach is the possible solution for identification, classification and clustering the malwares. In the paper, we present a new approach for conducting behavior-based analysis of malicious programs. One experiment was conducted on the campus network to generate an analysis of current malware behaviors. The result shows that the most potential malware threats in campus network are worm and Trojan.","","978-1-4244-8048-7","978-0-7695-4177-8","10.1109/NETAPPS.2010.46","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5635801","behavior analysis;malware","Computers;Grippers;Humans;Software;Trojan horses","invasive software","behavior based technique;computer network security;malicious program analysis;malware behavior analysis","","2","","14","","","22-23 Sept. 2010","","IEEE","IEEE Conference Publications"
"Hybrid Intrusion Detection System for enhancing the security of a cluster-based Wireless Sensor Network","Yan, K.Q.; Wang, S.C.; Wang, S.S.; Liu, C.W.","Chaoyang Univ. of Technol., Taichung, Taiwan","Computer Science and Information Technology (ICCSIT), 2010 3rd IEEE International Conference on","20100907","2010","1","","114","118","Recent advances in Wireless Sensor Networks (WSNs) make them more important to apply. Therefore, security issues are more significant in WSNs. WSNs are susceptible to some types of attacks since they are consisted of cheap and small devices and are deployed in open and unprotected environments. In this research, an Intrusion Detection System (IDS) created in cluster head is proposed. The proposed IDS is a Hybrid Intrusion Detection System (HIDS). It consists of anomaly and misuse detection module. The goal is to raise the detection rate and lower the false positive rate by the advantages of misuse detection and anomaly detection. However, a decision-making module is used to integrate the detect results and to report the types of attacks.","","978-1-4244-5537-9","","10.1109/ICCSIT.2010.5563886","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5563886","Anomaly detection;Hybrid IDS;Misuse detection;Wireless sensor network","Accuracy;Communication system security;Probes;Training;Wireless communication;Wireless sensor networks","telecommunication security;wireless sensor networks","anomaly detection;cluster-based wireless sensor network;decision-making module;hybrid intrusion detection system;misuse detection","","3","","12","","","9-11 July 2010","","IEEE","IEEE Conference Publications"
"Accelerating DFA Construction by Hierarchical Merging","Yanbing Liu; Li Guo; Muyi Guo; Ping Liu","","Parallel and Distributed Processing with Applications (ISPA), 2011 IEEE 9th International Symposium on","20110714","2011","","","1","6","Regular expression matching is widely used in many network applications to analyze suspicious traffic against predefined signatures, and to discover anomalous events. Deterministic Finite Automaton (DFA), which recognizes a set of regular expressions, is the basic data structure to scan input traffic byte by byte. Though DFA meets the requirement of real-time processing of network traffic, constructing a combined DFA for a set of regular expression signatures is very time-consuming, especially when the signature set is large. To attack this problem, we propose new strategies to accelerate DFA construction. The basic idea of our method is to construct the combined DFA by hierarchical merging of the DFAs of each single regular expression. Our method runs in O(|Q||Σ| In n) time, which is substantially superior to the time complexity O(|Q||Σ|(Σ<sub>i=1</sub><sup>n</sup>|Qi|)<sup>2</sup>) of classical subset construction algorithm. Experiment on real signatures from open-source systems, such as L7-filter, BRO and SNORT, demonstrates that our method performs 45 times faster than the subset construction algorithm on average.","","978-1-4577-0391-1","978-0-7695-4428-1","10.1109/ISPA.2011.32","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5951873","","Acceleration;Automata;Complexity theory;Data structures;Doped fiber amplifiers;Merging;Open source software","computational complexity;data structures;deterministic automata;digital signatures;finite automata;public domain software;security of data","BRO;L7-filter;SNORT;anomalous events discovery;data structure;deterministic finite automaton construction;hierarchical merging;open-source system;predefined signatures;regular expression matching;subset construction algorithm;suspicious traffic analysis;time complexity","","2","","11","","","26-28 May 2011","","IEEE","IEEE Conference Publications"
"An Improved Solution of SOM Network Anomaly Detection Based on T-Distribution","Chen Weijun; Li Xiao","Anyang Normal Univ., Anyang, China","Cyber-Enabled Distributed Computing and Knowledge Discovery (CyberC), 2011 International Conference on","20111117","2011","","","265","268","In this paper, a scheme of adaptable distance calculation based on t-distribution is proposed on the basis of analysis of the scheme of SOM network anomaly detection. This method establishes a confidence interval between the test sample and BMU distance using t-distribution. It makes sure that network anomaly occurs when the distance between the test sample and BMU is not within the range of the confidence interval. The improved method is compared with the method of the network anomaly detection based on OC-SVM in order to test its validity. At last, the experimental result shows that this kind of method has characteristics of easy realization, high detection rate and low false alarm rate.","","978-1-4577-1827-4","","10.1109/CyberC.2011.51","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6079391","Self-Organizing Map (SOM);anomaly detection;confidence interval;network security","Data models;Distance measurement;Intrusion detection;Neurons;Support vector machines;Training;Vectors","security of data;self-organising feature maps","BMU distance;SOM network anomaly detection;adaptable distance calculation;t-distribution","","0","","5","","","10-12 Oct. 2011","","IEEE","IEEE Conference Publications"
"A New Approach for Detecting DDoS Attacks Based on Wavelet Analysis","Li, Muhai; Ming Li","Sch. of Inf. Sci. & Technol., East China Normal Univ., Shanghai, China","Image and Signal Processing, 2009. CISP '09. 2nd International Congress on","20091030","2009","","","1","5","Distributed denial-of-service (DDOS) attacks have been becoming one of the major threats and the hardest security problems in today's internet. However, the present DDoS attack detection techniques face a problem that they cannot distinguish flooding attacks from abrupt changes of legitimate activity. We discover that the traffic at one time is similar to that at the same time in different days under no attacks but its abrupt changes will occur under attacking. Based on this phenomenon, we propose a model for detecting DDOS attacks automatically. In order to reduce the error to identify attacks, we use discrete wavelet transform (DWT) technique. In the end, we use actual data to validate our model and obtain good results in terms of tradeoff between correct detections and false alarms.","","978-1-4244-4129-7","978-1-4244-4131-0","10.1109/CISP.2009.5300903","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5300903","","Computer crime;Computer security;Discrete wavelet transforms;Face detection;Information science;Internet;Telecommunication traffic;Traffic control;Wavelet analysis;Wavelet transforms","discrete wavelet transforms;security of data","DDoS attacks;DWT;Internet;attack detection techniques;correct detections;discrete wavelet transform technique;distributed denial-of-service attacks;false alarms;flooding attacks;wavelet analysis","","1","","26","","","17-19 Oct. 2009","","IEEE","IEEE Conference Publications"
"Computer Security and Machine Learning: Worst Enemies or Best Friends?","Rieck, K.","Tech. Univ. Berlin, Berlin, Germany","SysSec Workshop (SysSec), 2011 First","20111201","2011","","","107","110","Computer systems linked to the Internet are confronted with a plethora of security threats, ranging from classic computer worms to involved drive-by downloads and bot networks. In the last years these threats have reached a new quality of automatization and sophistication, rendering most defenses ineffective. Conventional security measures that rely on the manual analysis of security incidents and attack development inherently fail to provide a timely protection from these threats. As a consequence, computer systems often remain unprotected over longer periods of time. The field of machine learning has been considered an ideal match for this problem, as learning methods provide the ability to automatically analyze data and support early detection of threats. However, only few research has produced practical results so far and there is notable skepticism in the community about learning-based defenses. In this paper, we reconsider the problems, challenges and advantages of combining machine learning and computer security. We identify factors that are critical for the efficacy and acceptance of learning methods in security. We present directions and perspectives for successfully linking both fields and aim at fostering research on intelligent security methods.","","978-1-4577-1528-0","","10.1109/SysSec.2011.16","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6092778","computer security;machine learning","Internet;Learning systems;Machine learning;Malware;Software","Internet;invasive software;learning (artificial intelligence)","Internet;bot networks;computer security;computer systems;computer worms;machine learning;plethora;security threats","","1","","18","","","6-6 July 2011","","IEEE","IEEE Conference Publications"
