http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.Deterministic+Finite+Automata.QT.%29+OR+.QT.DFA.QT.%29+OR+.QT.Finite+state+automata.QT.%29+OR+.QT.state+machine.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,12/10/2015 13:35,"(((((Deterministic Finite Automata) OR DFA) OR Finite state automata) OR state machine) AND Intrusion Detection System)",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.Deterministic+Finite+Automata.QT.%29+OR+.QT.DFA.QT.%29+OR+.QT.Finite+state+automata.QT.%29+OR+.QT.state+machine.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,12/10/2015 13:35,"(((((Deterministic Finite Automata) OR DFA) OR Finite state automata) OR state machine) AND Intrusion Detection System)",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
Deep packet inspection with DFA-trees and parametrized language overapproximation,"Luchaup, D.; De Carli, L.; Jha, S.; Bach, E.","U. of Wisconsin-Madison, Madison, WI, USA","INFOCOM, 2014 Proceedings IEEE",20140708,2014,,,531,539,"IPSs determine whether incoming traffic matches a database of vulnerability signatures defined as regular expressions. DFA representations are popular, but suffer from the state-explosion problem. We introduce a new matching structure: a tree of DFAs where the DFA associated with a node over-approximates those at its children, and the DFAs at the leaves represent the signature set. Matching works top-down, starting at the root of the tree and stopping at the first node whose DFA does not match. In the common case (benign traffic) matching does not reach the leaves. DFA-trees are built using Compact Overapproximate DFAs (CODFAs). A CODFA D' for D over-approximates the language accepted by D, has a smaller number of states than D, and has a low false-match rate. Although built from approximate DFAs, DFA-trees perform exact matching faster than a commonly used method, have a low memory overhead and a guaranteed good worst case performance.",,,,10.1109/INFOCOM.2014.6847977,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6847977,,Approximation error;Automata;Computers;Conferences;DH-HEMTs;Payloads;Training,computational complexity;deterministic automata;digital signatures;finite automata;formal languages;pattern matching;tree data structures,CODFAs;DFA-trees;IPSs;NP-hard problem;benign traffic matching;compact overapproximate DFAs;deep packet inspection;deterministic finite automata;intrusion prevention system;low false-match rate;low memory overhead;matching structure;parametrized language overapproximation;regular expressions;state-explosion problem;vulnerability signatures,,1,,30,,,April 27 2014-May 2 2014,,IEEE,IEEE Conference Publication
Pattern-Based DFA for Memory-Efficient and Scalable Multiple Regular Expression Matching,Junchen Jiang; Yang Xu; Tian Pan; Yi Tang; Bin Liu,"Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China","Communications (ICC), 2010 IEEE International Conference on",20100701,2010,,,1,5,"In Network Intrusion Detection System, De-terministic Finite Automaton (DFA) is widely used to compare packet content at a constant speed against a set of patterns specified in regular expressions (regex patterns). However, combining many regex patterns into a single DFA causes a serious state explosion. Partitioning the pat-tern set into several subsets, each of which produces a small DFA, is a practical way to deflate the state explosion. In this paper, we propose a regex pattern grouping scheme based on a new DFA model called Pattern-Based DFA (P-DFA) which supports efficient pattern-based op-erations, such as insertion, deletion, and etc. By using these basic operations, one can easily measure the state explo-sion when combining a set of regex patterns into a single DFA. Based on the privilege, we develop regex grouping algorithms for mitigating the state explosion in parallel and sequential matching environments, respectively. The evaluation shows that under the same constraints, our ap-proach requires only half the number of groups compared with the most well-known algorithms.",1550-3607,978-1-4244-6402-9,,10.1109/ICC.2010.5501973,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5501973,,Automata;Communications Society;Doped fiber amplifiers;Explosions;Inspection;Intrusion detection;Laboratories;Paper technology;Pattern matching;Protocols,,,,4,,15,,,23-27 May 2010,,IEEE,IEEE Conference Publication
Space-time tradeoff in regular expression matching with semi-deterministic finite automata,"Yang, Y.E.; Prasanna, V.K.","Ming Hsieh Dept. of Electr. Eng., Univ. of Southern California, Los Angeles, CA, USA","INFOCOM, 2011 Proceedings IEEE",20110630,2011,,,1853,1861,"Regular expression matching (REM) with nondeterministic finite automata (NFA) can be computationally expensive when a large number of patterns are matched concurrently. On the other hand, converting the NFA to a deterministic finite automaton (DFA) can cause state explosion, where the number of states and transitions in the DFA are exponentially larger than in the NFA. In this paper, we seek to answer the following question: to match an arbitrary set of regular expressions, is there a finite automaton that lies between the NFA and DFA in terms of computation and memory complexities? We introduce the semi-deterministic finite automata (SFA) and the state convolvement test to construct an SFA from a given NFA. An SFA consists of a fixed number (p) of constituent DFAs (c-DFA) running in parallel; each c-DFA is responsible for a subset of states in the original NFA. To match a set of regular expressions with n overlapping symbols (that can match to the same input character concurrently), the NFA can require O(n) computation per input character, whereas the DFA can have a state transition table with O(2<sup>n</sup>) states. By exploiting the state convolvements during the SFA construction, an equivalent SFA reduces the computation complexity to O(p<sup>2</sup>=c<sup>2</sup>) per input character while limiting the space requirement to O(||p<sup>2</sup>(n=p)<sup>c</sup>) states, where  is the alphabet and c  1 is a small design constant. Although the problem of constructing the optimal (minimum-sized) SFA is shown to be NP-complete, we develop a greedy heuristic to quickly construct a near-optimal SFA in time and space quadratic in the number of states in the original NFA. We demonstrate our SFA construction using real-world regular expressions taken from the Snort IDS.",0743-166X,978-1-4244-9919-9,,10.1109/INFCOM.2011.5934986,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5934986,Aho-Corasick algorithm;DFA;NFA;Regular expression;deep packet inspection;graph coloring;space-time tradeoff;state explosion,Automata;Complexity theory;Computer architecture;Doped fiber amplifiers;Explosions;Pattern matching;Throughput,computational complexity;deterministic automata;finite automata;greedy algorithms;pattern matching,NP-complete problem;computation complexity;deterministic finite automaton;greedy heuristic;memory complexity;nondeterministic finite automata;regular expression matching;semi-deterministic finite automata;space-time tradeoff;state explosion,,11,,26,,,10-15 April 2011,,IEEE,IEEE Conference Publication
Peak-Performance DFA-based String Matching on the Cell Processor,"Scarpazza, D.P.; Villa, O.; Petrini, F.","Computational & Inf. Sci. Div., Pacific Northwest Nat. Lab., Richland, WA","Parallel and Distributed Processing Symposium, 2007. IPDPS 2007. IEEE International",20070611,2007,,,1,8,"The security of your data and of your network is in the hands of intrusion detection systems, virus scanners and spam filters, which are all critically based on string matching. But network links are getting faster and faster, and string matching is getting more and more difficult to perform in real time. Traditional processors are not keeping up with the performance demands, whereas specialized hardware will never be able to compete with commodity hardware in terms of cost effectiveness, reusability and ease of programming. Advanced multi-core architectures like the IBM Cell Broadband Engine promise unprecedented performance at a low cost, thanks to their popularity and production volume. Nevertheless, the suitability of the cell processor to string matching has not been investigated so far. In this paper we investigate the performance attainable by the cell processor when employed for string matching algorithms based on deterministic finite-state automata (DFA). Our findings show that the cell is an ideal candidate to tackle modern security needs: two processing elements alone, out of the eight available on one cell processor provide sufficient computational power to filter a network link with bit rates in excess of 10 Gbps.",,1-4244-0910-1,1-4244-0910-1,10.1109/IPDPS.2007.370634,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4228362,,Automata;Computer networks;Costs;Data security;Doped fiber amplifiers;Engines;Hardware;Intrusion detection;Matched filters;Production,cellular automata;deterministic automata;finite state machines;security of data;string matching,IBM Cell Broadband Engine;cell processor;deterministic finite-state automata;intrusion detection system;multicore architecture;string matching,,12,,18,,,26-30 March 2007,,IEEE,IEEE Conference Publication
Multi pattern matching technique on fragmented and out-of-order packet streams for intrusion detection system,"Kumar, M.; Hanumanthappa, M.","Dept. of Master of Comput. Applic., Bangalore Univ., Bangalore, India","Computing, Communications and Networking Technologies (ICCCNT),2013 Fourth International Conference on",20140130,2013,,,1,6,"In this paper we are discussing about Intrusion Detection System based on Deterministic Finite-State Automata (DFA). The proposed system is designed to deal the fragmented and out-of-order packets. Fragmentation is the term given to the process of breaking down an IP datagram into smaller packets to be transmitted over different types of network media and then reassembling them at the other end. In most cases, depending upon the actual security device defending the network, there are typically multiple fragmentation techniques and packet size combinations capable of squeezing and exploiting protection device on a network. We present an efficient multi pattern algorithm for regular expression matching on streams with fragmented and out of order data, while maintaining a small state and without complete stream reconstruction. It improves the performance of Intrusion Detection System for detecting the fragmented and Out-of-Order packet attack. The proposed technique helps to achieve high throughput while limiting both memory-usage and memory-bandwidth on fragmented data packets intrusion.",,978-1-4799-3925-1,,10.1109/ICCCNT.2013.6726491,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6726491,Deterministic Finite Automata (DFA);Intrusion Detection System(IDS);Maximum Transmission Unit (MTU);Network Intrusion Detection Syterm(NIDS),Automata;IP networks;Intrusion detection;Out of order;Pattern matching;Ports (Computers);Silicon,deterministic automata;finite state machines;pattern matching;security of data,DFA;IP datagram;deterministic finite-state automata;intrusion detection system;multipattern matching technique;multiple fragmentation techniques;out-of-order packet attack;out-of-order packet streams,,0,,14,,,4-6 July 2013,,IEEE,IEEE Conference Publication
P3FSM: Portable Predictive Pattern Matching Finite State Machine,"Vespa, L.; Mathew, M.; Ning Weng","Dept. of Electr. & Comput. Eng., Southern Illinois Univ., Carbondale, IL, USA","Application-specific Systems, Architectures and Processors, 2009. ASAP 2009. 20th IEEE International Conference on",20090811,2009,,,219,222,"Signature-based network intrusion detection requires fast and reconfigurable pattern matching for deep packet inspection. In our previous work we address this problem with a hardware based pattern matching engine that utilizes a novel state encoding scheme to allow memory efficient use of Deterministic Finite Automata. In this work we expand on these concepts to create a completely software based system, P<sup>3</sup>FSM, which combines the properties of hardware based systems with the portability and programmability of software. Specifically we introduce two methods, character aware and SDFA, for encoding predictive state codes which can forecast the next states of our FSM. The result is software based pattern matching which is fast, reconfigurable, memory-efficient and portable.",2160-0511,978-0-7695-3732-0,978-0-7695-3732-0,10.1109/ASAP.2009.16,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5200035,,Automata;Doped fiber amplifiers;Encoding;Engines;Hardware;Inspection;Intrusion detection;Pattern matching;Samarium;Software systems,computer networks;deterministic automata;digital signatures;finite state machines;pattern matching;security of data;telecommunication security,deterministic finite automata;packet inspection;portable predictive pattern matching finite state machine;predictive state code encoding;reconfigurable pattern matching;signature-based network intrusion detection;software portability;software programmability;software-based system,,2,,8,,,7-9 July 2009,,IEEE,IEEE Conference Publication
Approximate Packet Classification and Stateful Rule DFA for Cloud Intrusion Detection,Yimei Jin; Jeng-Shyang Pan; Kuo-Kun Tseng; Wu-Chih Hu,"Dept. of Comput. Sci. & Technol., Harbin Inst. of Technol., Shenzhen, China","Computing, Measurement, Control and Sensor Network (CMCSN), 2012 International Conference on",20120723,2012,,,229,232,"This paper propose a new intrusion detection system architecture, which can be used by cloud intrusion detection. Our new architecture uses the inaccurate hashing to obtain a fast packet inspection and applies a new stateful rule DFA to track session inspection process. After a preliminary analysis, the new architecture should be feasible in the real application.",,978-1-4673-2033-7,,10.1109/CMCSN.2012.57,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6245822,Packet classification;cloud intrusion detection;stateful packet inspection,Algorithm design and analysis;Automata;Classification algorithms;Inspection;Intrusion detection;Support vector machine classification;Vectors,cloud computing;cryptography;inspection;software architecture,approximate packet classification;cloud intrusion detection;hashing;intrusion detection system architecture;packet inspection;session inspection process;stateful rule DFA,,0,,19,,,7-9 July 2012,,IEEE,IEEE Conference Publication
Deterministic Finite Automata for pattern matching in FPGA for intrusion detection,"BabuKaruppiah, A.; Rajaram, S.","Velammal Coll. of Eng. & Technol., Madurai, India","Computer, Communication and Electrical Technology (ICCCET), 2011 International Conference on",20110502,2011,,,167,170,Intrusion detection has been at the center of intense research in the last decade owing to the rapid increase of sophisticated attacks on computer systems. Network Intrusion Detection Systems (NIDS) detect and prevent numerous security threats in network traffic. Recent Network Intrusion Detection Systems (NIDS) use regular expressions to represent suspicious or malicious character sequences in packet payloads in a more efficient way. They require high-speed packet processing providing a challenging case study for pattern matching using regular expressions. This paper presents an efficient method for finding matches to a given regular expression in a given text using FPGAs. This paper introduces a Deterministic Finite Automata (DFA) method of hardware implementation to support regular expressions.,,978-1-4244-9393-7,,10.1109/ICCCET.2011.5762461,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5762461,Network Intrusion Detection System;Nondeterministic Finite Automata;Regular Expression,Automata;Computers;Doped fiber amplifiers;Field programmable gate arrays;Hardware;Intrusion detection;Pattern matching,deterministic automata;field programmable gate arrays;finite automata;security of data;telecommunication traffic,FPGA;deterministic finite automata;network intrusion detection system;network traffic;packet processing;pattern matching;security threat,,2,,17,,,18-19 March 2011,,IEEE,IEEE Conference Publication
