http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.Number+of+rules.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,12/10/2015 13:51,"((number of states) AND Intrusion Detection System)",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.Number+of+rules.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,12/10/2015 13:51,"((number of states) AND Intrusion Detection System)",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
Intrusion Detection System in Cloud Computing: Challenges and opportunities,"Mehmood, Y.; Habiba, U.; Shibli, M.A.; Masood, R.","SEECS, Nat. Univ. of Sci. & Technol., Islamabad, Pakistan","Information Assurance (NCIA), 2013 2nd National Conference on",20140210,2013,,,59,66,"Today, Cloud Computing is the preferred choice of every IT organization since it provides flexible and pay-per-use based services to its users. However, the security and privacy is a major hurdle in its success because of its open and distributed architecture that is vulnerable to intruders. Intrusion Detection System (IDS) is the most commonly used mechanism to detect attacks on cloud. This paper provides an overview of different intrusions in cloud. Then, we analyze some existing cloud based intrusion detection systems (IDS) with respect to their type, positioning, detection time, detection technique, data source and attacks they can detect. The analysis also provides limitations of each technique to evaluate whether they fulfill the security requirements of cloud computing environment or not. We emphasize the deployment of IDS that uses multiple detection methods to cope with security challenges in cloud.",,978-1-4799-1287-2,,10.1109/NCIA.2013.6725325,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6725325,Anomaly;Cloud Computing;Cloud Security;Intrusion Detection System;Signature,Cloud computing;Computer crime;Intrusion detection;Ports (Computers);Servers;Virtual machine monitors,cloud computing;computer crime;data privacy,IDS;IT organization;attacks detection;cloud based intrusion detection systems;cloud computing;data source;detection technique;detection time;distributed architecture;open architecture;pay-per-use based services;positioning;privacy;security requirements,,1,,29,,,11-12 Dec. 2013,,IEEE,IEEE Conference Publication
Improving Intrusion Detection System based on Snort rules for network probe attack detection,"Khamphakdee, N.; Benjamas, N.; Saiyod, S.","Dept. of Comput. Sci., Khon Kaen Univ., Khon Kaen, Thailand","Information and Communication Technology (ICoICT), 2014 2nd International Conference on",20141002,2014,,,69,74,"Data and network system security is the most important roles. An organization should find the methods to protect their data and network system to reduce the risk from attacks. Snort Intrusion Detection System (Snort-IDS) is a security tool of network security. It has been widely used for protecting the network of the organizations. The Snort-IDS utilize the rules to matching data packets traffic. If some packet matches the rules, Snort-IDS will generate the alert messages. However, Snort-IDS contain many rules and it also generates a lot of false alerts. In this paper, we present the procedure to improve the Snort-IDS rules for the network probe attack detection. In order to test the performance evaluation, we utilized the data set from the MIT-DAPRA 1999, which includes the normal and abnormal traffics. Firstly, we analyzed and explored the existing the Snort-IDS rules to improve the proposed Snort-IDS rules. Secondly, we applied the WireShark software to analyze data packets form of attack in data set. Finally, the Snort-IDS was improved, and it can detect the network probe attack. This paper, we had classified the attacks into several groups based on the nature of network probe attack. In addition, we also compared the efficacy of detection attacks between Snort-IDS rules to be updated with the Detection Scoring Truth. As the experimental results, the proposed Snort-IDS efficiently detected the network probe attacks compared to the Detection Scoring Truth. It can achieve higher accuracy. However, there were some detecting alert that occur over the attack in Detection Scoring Truth, because some attack occur in several time but the Detection Scoring Truth indentify as one time.",,,,10.1109/ICoICT.2014.6914042,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6914042,Intrusion Detection System (IDS);Network Security;Network probe attack;Snort-IDS rule,Communication networks;Intrusion detection;Ports (Computers);Probes;Protocols,computer network security;data analysis,MIT-DAPRA;Snort intrusion detection system;Snort-IDS;WireShark software;abnormal traffics;alert messages;data packet analysis;data packet traffic matching;detection scoring truth;false alerts;network probe attack detection;network protection;network system security;normal traffics;performance evaluation,,0,,18,,,28-30 May 2014,,IEEE,IEEE Conference Publication
IGIDS: Intelligent intrusion detection system using genetic algorithms,"Srinivasa, K.G.; Chandra, S.; Kajaria, S.; Mukherjee, S.","Dept. of Comput. Sci. & Eng., M.S. Ramaiah Inst. of Technol., Bangalore, India","Information and Communication Technologies (WICT), 2011 World Congress on",20120130,2011,,,852,857,"We present a genetic algorithm based network intrusion detection system named IGIDS, where the genetic algorithm is used for pruning best individuals in the rule set database. The process makes the decision faster as the search space of the resulting rule set is much compact when compared to the original data set. This makes IDS faster and intelligent. We generate possible intrusions which forms the basis for detecting intrusions on the network traffic. Our method exhibits a high detection rate with low false positives. We have used DARPA Dataset for initial training and testing purpose.",,978-1-4673-0127-5,,10.1109/WICT.2011.6141359,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6141359,Crossover;Genetic Algorithms;IDS;Mutation;Rule set;Selection;Training set,Biological cells;Decision trees;Genetic algorithms;Intrusion detection;Monitoring;Testing;Training,computer network security;data mining;genetic algorithms;search problems;telecommunication traffic,DARPA dataset;IGIDS;decision making;genetic algorithm;intelligent network intrusion detection system;network traffic;rule set database;search space,,0,,14,,,11-14 Dec. 2011,,IEEE,IEEE Conference Publication
Semantic Intrusion Detection System using pattern matching and state transition analysis,"Ganesh, K.S.; Sekar, M.R.; Vaidehi, V.","Dept. of Inf. Technol., Anna Univ., Chennai, India","Recent Trends in Information Technology (ICRTIT), 2011 International Conference on",20110804,2011,,,607,612,"Emerging technologies have metamorphosed the nature of surveillance and monitoring application, but the sensory data collected using various gadgets still remain changeable and poorly synchronized. Recently data mining and state transition analysis are becoming important components in identifying intrusions. This paper proposes a semantic based intrusion detection scheme where state transition analysis, pattern matching and data mining techniques are integrated to maximize the detection accuracy. Patterns and rules are formulated based on the events detected by WSN. The sink receives information about the several events happening in the coverage area and correlates the streaming data (events) in spatial domain (several sensors) and time domain. The semantic rules are developed using ANTLR tool. The proposed scheme has been validated using a surveillance system for detecting an intruder. Implementations prove that the proposed hybrid intrusion detection scheme can accurately detect an intruder with the help of a wired network and an appropriate database.",,978-1-4577-0588-5,,10.1109/ICRTIT.2011.5972244,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5972244,ANTLR;Intrusion Detection System (IDS);Wireless Sensor Network (WSN),Grammar;Image sensors;Intrusion detection;Pattern matching;Radiofrequency identification;Semantics,computer network security;data mining;pattern matching;wireless sensor networks,ANTLR tool;WSN;data mining technique;data streaming;hybrid intrusion detection scheme;metamorphosed;pattern matching;semantic based intrusion detection scheme;semantic rules;spatial domain;state transition analysis;surveillance system;time domain,,1,,19,,,3-5 June 2011,,IEEE,IEEE Conference Publication
The intrusion detection system based on fuzzy association rules mining,Ma Yanchun,"North China Inst. of Sci. & Technol., Beijing-East, China","Computer Engineering and Technology (ICCET), 2010 2nd International Conference on",20100617,2010,7,,V7-667,V7-672,"In this paper, we integrate fuzzy association rules to design and implement an abnormal network intrusion detection system. Since the association rules used in traditional information detection cannot effectively deal with changes in network behavior, it will better meet the actual needs of abnormal detection to introduce the concept of fuzzy association rules to strengthen the adaptability. This paper mainly focuses on the study of Denial of Service (DOS). According to the experimental results, it is found that our system can correctly identify all DOS attacks on test after appropriate adjustment of system parameters. Moreover, it also proves, in the experiment, that our system would not result in false positives under such circumstances as a large amount of instantaneous FTP normal packet flow. In addition, if source of an attacker can be determined, the system will also be able to promptly inform the firewall to alter its rules and cut off the connection.",,978-1-4244-6347-3,,10.1109/ICCET.2010.5485674,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5485674,association Rules;denial-of-service attack;fuzzy association rules;fuzzy theory;network security,Association rules;Computer crime;Data mining;Electronic mail;Fuzzy systems;Intrusion detection;Itemsets;Protection;Real time systems;Transaction databases,authorisation;data mining;fuzzy systems,adaptability;denial of service;firewall;fuzzy association rules mining;information detection;intrusion detection system;normal packet flow;system parameters,,1,,6,,,16-18 April 2010,,IEEE,IEEE Conference Publication
Architecture of distributed intrusion detection system based on anomalies,"Bala&#x0301;z&#x030C;, A.; Trelova, J.; Kostra&#x0301;b, M.","Dept. of Comput. & Inf., Tech. Univ. of Kosice, Kosice, Slovakia","Intelligent Engineering Systems (INES), 2010 14th International Conference on",20100614,2010,,,79,83,"The designed architecture of intrusion detection system uses a two-layer hybrid model for detecting intrusions. The system processes network flows in real communication operation and provides processing of these data in real time. First layer consists of detection sensors which provide basic processing of input data based on statistical methods with a direct connection to countermeasure modules. Performance and accuracy of the designed system is ensured with central distributed processing, in which the detection of generalized description of partial ordered events is used, preventing the intrusion itself. By this the attack variability of the same type are provided.",,978-1-4244-7650-3,,10.1109/INES.2010.5483870,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5483870,,Computer architecture;Distributed processing;Event detection;Informatics;Intelligent sensors;Intrusion detection;Nonhomogeneous media;Petri nets;Sensor systems;Statistical analysis,,,,0,,16,,,5-7 May 2010,,IEEE,IEEE Conference Publication
Exploiting Frequent Episodes in Weighted Suffix Tree to Improve Intrusion Detection System,Min-Feng Wang; Yen-Ching Wu; Meng-Feng Tsai,"Nat. Central Univ., Jhongli","Advanced Information Networking and Applications - Workshops, 2008. AINAW 2008. 22nd International Conference on",20080403,2008,,,1246,1252,"In this paper we proposed a weighted suffix tree and find out it can improve the intrusion detection system (IDS). We firstly focus on the analysis of computer kernel system call, and discover some meaningful information from the unorganized system call sequences. We design a weighted suffix tree algorithm which derives from the concept of suffix tree algorithm for string matching, which then allows to mine the frequent episodes in order to get ordered frequent patterns. We therefore apply these rules to detect malicious attacks, and it shows our IDS still has a good ability to detect intrusion when we use fewer rules.",,978-0-7695-3096-3,,10.1109/WAINA.2008.144,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4483090,,Algorithm design and analysis;Application software;Computer science;Cryptography;Data mining;Information analysis;Intrusion detection;Kernel;Monitoring;Operating systems,data mining;operating system kernels;security of data;trees (mathematics),computer kernel system call;frequent episodes mining;intrusion detection system;string matching;weighted suffix tree,,0,1,26,,,25-28 March 2008,,IEEE,IEEE Conference Publication
Implementation Of Application Layer Intrusion Detection System Using Protocol Analysis,"Sangeetha, S.; Vaidehi, V.; Srinivasan, N.; Rajkumar, K.V.; Pradeep, S.; Ragavan, N.; Lokesh, C.S.S.; Subadeepak, I.; Prashanth, V.","Anna Univ., Chennai","Signal Processing, Communications and Networking, 2008. ICSCN '08. International Conference on",20080207,2008,,,279,284,"The current security problems in the internet quantify the need for a semantic intrusion detection system engine working in the application level. In the proposed semantic IDS, an object is defined as an occurrence of an elementary pattern represented by a regular expression which may not be malicious. However occurrence of combination of some of these objects may represent a malicious behavior of the user. A rule is defined such that it will be triggered whenever a particular set of objects occurs or whenever a specific sequence of object occurs. The rules and the objects are bonded together in Lex tool and integrated with the IDS engine. Given a set of rules (each dictating a number of constraints that the input data must fulfill to trigger it) the IDS engine will find malicious events using as few redundant comparisons as possible. IDS implementation is done in Linux platform using Lex and Yacc tools. The system was implemented completely in web environment and the results are presented with performance analysis.",,978-1-4244-1924-1,978-1-4244-1924-1,10.1109/ICSCN.2008.4447204,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4447204,,HTML;Internet;Intrusion detection;Java;Pattern matching;Payloads;Protocols;Search engines;Signal analysis;Signal processing,Linux;cryptographic protocols;telecommunication security,IDS engine;Lex tools;Linux platform;Web environment;Yacc tools;application layer intrusion detection system;intrusion detection system engine;malicious events;performance analysis;protocol analysis,,0,,7,,,4-6 Jan. 2008,,IEEE,IEEE Conference Publication
