http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.number+of+states.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,12/10/2015 13:49,"(((expansion factor) OR states rules ratio) AND Intrusion detection system)",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.number+of+states.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,12/10/2015 13:49,"(((expansion factor) OR states rules ratio) AND Intrusion detection system)",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
Incorporating soft computing techniques into a probabilistic intrusion detection system,Sung-Bae Cho,"Dept. of Comput. Sci., Yonsei Univ., Seoul, South Korea","Systems, Man, and Cybernetics, Part C: Applications and Reviews, IEEE Transactions on",20021210,2002,32,2,154,160,"There are a lot of industrial applications that can be solved competitively by hard computing, while still requiring the tolerance for imprecision and uncertainty that can be exploited by soft computing. This paper presents a novel intrusion detection system (IDS) that models normal behaviors with hidden Markov models (HMM) and attempts to detect intrusions by noting significant deviations from the models. Among several soft computing techniques neural network and fuzzy logic are incorporated into the system to achieve robustness and flexibility. The self-organizing map (SOM) determines the optimal measures of audit data and reduces them into appropriate size for efficient modeling by HMM. Based on several models with different measures, fuzzy logic makes the final decision of whether current behavior is abnormal or not. Experimental results with some real audit data show that the proposed fusion produces a viable intrusion detection system. Fuzzy rules that utilize the models based on the measures of system call, file access, and the combination of them produce more reliable performance.",1094-6977,,,10.1109/TSMCC.2002.801356,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1039199,,Computer industry;Computer networks;Current measurement;Fuzzy logic;Hidden Markov models;Intrusion detection;Neural networks;Robustness;Size measurement;Uncertainty,fuzzy logic;hidden Markov models;probability;security of data;self-organising feature maps;uncertainty handling,anomaly detection;audit data;experimental results;file access;fuzzy logic;fuzzy rules;hard computing;hidden Markov models;imprecision;industrial applications;neural network;performance;probabilistic intrusion detection system;robustness;self-organizing map;soft computing;system call;uncertainty,,33,,20,,,May-02,,IEEE,IEEE Journals & Magazine
Statistical analysis of different artificial intelligent techniques applied to Intrusion Detection System,"Tribak, H.; Delgado-Marquez, B.L.; Rojas, P.; Valenzuela, O.; Pomares, H.; Rojas, I.","Dept. of Comput. Archit. & Comput. Technol., Univ. of Granada, Granada, Spain","Multimedia Computing and Systems (ICMCS), 2012 International Conference on",20121004,2012,,,434,440,"Intrusion Detection System (IDS) which are increasingly a key part of system defense are used to identify abnormal activities in a computer system. In general, the traditional IDS relies on the extensive knowledge of security experts, in particular, on their familiarity with the computer system to be protected. To reduce this dependence, various data-mining and machine learning techniques have been used in the literature. The experiments and evaluations of the proposed intrusion detection system are performed with the NSL-KDD intrusion detection dataset. We will apply different learning algorithms on NSL-KDD data set, to recognize between normal and attack connections and compare their performing in different scenarios- discretization, features selections and algorithm method for classification- using a powerful statistical analysis: ANOVA. In this study, both the accuracy of the configuration of different system and methodologies used, and also the computational time and complexity of the methodologies are analyzed.",,978-1-4673-1518-0,,10.1109/ICMCS.2012.6320275,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6320275,Intrusion Detection System;classification systems;soft-computing;statistical analysis,Analysis of variance;Data mining;Hidden Markov models;Ions;Marine animals;Probes;Security,data mining;learning (artificial intelligence);security of data;statistical analysis,ANOVA;NSL-KDD data set;NSL-KDD intrusion detection dataset;abnormal activities;artificial intelligent techniques;computer system;data mining;intrusion detection system;learning algorithms;machine learning;security experts;statistical analysis;system defense,,0,,30,,,10-12 May 2012,,IEEE,IEEE Conference Publication
A survey on Finite Automata based pattern matching techniques for network Intrusion Detection System (NIDS),"Rathod, P.M.; Marathe, N.; Vidhate, A.V.","Dept. of Comput. Eng., Ramrao Adik Inst. of Technol., Navi Mumbai, India","Advances in Electronics, Computers and Communications (ICAECC), 2014 International Conference on",20150108,2014,,,1,5,"Many network security applications such as Intrusion Detection System (IDS), Firewall and Data Loss Prevention System (DLPS) are based on deep packet inspection, in this packets header as well as payload of the packets are checked with predefined attack signature to identify whether it contains malicious traffic or not. To perform this checking different pattern matching methods are used by NIDS. The most popular method to implement pattern matching is to use of Finite Automata (FA). Generally, regular expressions are used to represent most of the attack signatures defined by NIDS. They are implemented using finite automata, which takes the payload of packet as input string. However, existing approaches of Finite Automata (FA), both deterministic finite automata (DFA) and non-deterministic finite automata (NFA) for pattern matching are having their own advantages and some drawbacks. The DFA based pattern matching methods are fast enough but require more memory. However, NFA based pattern matching methods are comparatively takes less memory but the speed of matching is very slow, to overcome these drawbacks of finite automata there are many approaches have been proposed. This paper discuses comparative study of some Finite Automata (FA) based techniques for pattern matching in network intrusion detection system (NIDS).",,,,10.1109/ICAECC.2014.7002456,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7002456,Finite Automata;NIDS and DLPS;Regular Expression Matching,Application specific integrated circuits;Automata;Field programmable gate arrays;Intrusion detection;Memory management;Merging;Pattern matching,computer network security;finite automata;pattern matching;telecommunication traffic,DLPS;FA;NIDS;attack signatures;data loss prevention system;deep packet inspection;finite automata based pattern matching techniques;firewall;malicious traffic;network intrusion detection system;network security applications;packets header;packets payload;regular expression matching,,0,,10,,,10-11 Oct. 2014,,IEEE,IEEE Conference Publication
Multi-Stage Intrusion Detection System Using Hidden Markov Model Algorithm,Do-hyeon Lee; Doo-Young Kim; Jae-il Jung,"Hanyang Univ., Seoul","Information Science and Security, 2008. ICISS. International Conference on",20080122,2008,,,72,77,"Intrusion detection systems are the basis of system protection from network attacks. However, intrusions are increasingly taking multi-stage procedures to attack a system, and cannot be detected by existing single stage intrusion detection systems. This paper proposes a multi-stage intrusion detection system architecture using hidden Markov model algorithm. This system considers every stage used by recent intrusions and applies them to the hidden Markov model algorithm to determine which intrusion is used in the audit data. This architecture reduces overheads of intrusion agents and raises efficiency of the whole system.",,978-0-7695-3080-2,,10.1109/ICISS.2008.22,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4438213,,Algorithm design and analysis;Computer networks;Computer security;Cryptography;Hidden Markov models;Information science;Information security;Intrusion detection;Protection;Virtual private networks,computer networks;hidden Markov models;security of data;telecommunication security,audit data;hidden Markov model algorithm;multistage intrusion detection system;network attacks;system protection,,3,,9,,,10-12 Jan. 2008,,IEEE,IEEE Conference Publication
Adaptive network intrusion detection system using a hybrid approach,"Rangadurai Karthick, R.; Hattiwale, V.P.; Ravindran, B.","Dept. of Comput. Sci. & Eng., IIT Madras, Chennai, India","Communication Systems and Networks (COMSNETS), 2012 Fourth International Conference on",20120213,2012,,,1,7,"Any activity aimed at disrupting a service or making a resource unavailable or gaining unauthorized access can be termed as an intrusion. Examples include buffer overflow attacks, flooding attacks, system break-ins, etc. Intrusion detection systems (IDSs) play a key role in detecting such malicious activities and enable administrators in securing network systems. Two key criteria should be met by an IDS for it to be effective: (i) ability to detect unknown attack types, (ii) having very less miss classification rate. In this paper we describe an adaptive network intrusion detection system, that uses a two stage architecture. In the first stage a probabilistic classifier is used to detect potential anomalies in the traffic. In the second stage a HMM based traffic model is used to narrow down the potential attack IP addresses. Various design choices that were made to make this system practical and difficulties faced in integrating with existing models are also described. We show that this system achieves good performance empirically.",,978-1-4673-0296-8,978-1-4673-0297-5,10.1109/COMSNETS.2012.6151345,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6151345,,Computational modeling;Data models;Hidden Markov models;IP networks;Servers;Testing;Training,computer network security;hidden Markov models;pattern classification;telecommunication traffic,HMM based traffic model;adaptive network intrusion detection system;buffer overflow attacks;flooding attacks;hybrid approach;malicious activities;network system security;potential attack IP addresses;probabilistic classifier;system break-ins;unauthorized access,,3,,13,,,3-7 Jan. 2012,,IEEE,IEEE Conference Publication
Probabilistic approach for Intrusion Detection System - FOMC technique,"Aneetha, A.S.; Bose, S.","Dept. of Comput. Sci. & Eng., Anna Univ., Chennai, India","Advanced Computing (ICoAC), 2014 Sixth International Conference on",20150831,2014,,,178,183,"Detection of unexpected and emerging new threats has become a necessity for secured internet communication with absolute data confidentiality, integrity, and availability. Design and development of such a detection system shall not only be new, accurate and fast but also effective in a dynamic environment encompassing the surrounding network. In this work, an attempt is made to design an intrusion detection model based on the probabilistic approach, first-order Markov chain process, to effectively detection and predict network intrusions. As a first step, the states are defined using clustering techniques for the network traffic profiles; secondly state transition probability matrix and initial probability distribution are determined based on the states defined. Based on the network states, the probability of event occurrence is stochastically measured if the value is lesser than the predefined probability then it event is predicted as anomaly. The proposed probabilistic model performance is evaluated through experiments using KDD Cup99 dataset. The proposed models achieve better detection rate while the attacks are detected in levels of stages.",,978-1-4799-8466-4,,10.1109/ICoAC.2014.7229705,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7229705,First - Order Markov Chain Process;Intrusion Detection System;Probabilistic Approach;State Transition Matrix,Internet;Intrusion detection;Markov processes;Predictive models;Probabilistic logic;Probability distribution;Telecommunication traffic,Markov processes;data integrity;matrix algebra;pattern clustering;probability;security of data;telecommunication traffic,FOMC technique;KDD Cup99 dataset;clustering techniques;data availability;data confidentiality;data integrity;first order Markov chain process;initial probability distribution;intrusion detection model design;network traffic profiles;probabilistic model performance;state transition probability matrix,,0,,16,,,17-19 Dec. 2014,,IEEE,IEEE Conference Publication
Multi-Character Processor Array for Pattern Matching in Network Intrusion Detection System,Yeim-Kuan Chang; Ming-Li Tsai; Yu-Ru Chung,"Nat. Cheng Kung Univ., Tainan","Advanced Information Networking and Applications, 2008. AINA 2008. 22nd International Conference on",20080403,2008,,,991,996,"Network intrusion detection system (NIDS) is a system developed for identifying attacks by using a set of rules. NIDS is an efficient way to provide the security protection for today's Internet. Pattern match algorithm plays an important role in NIDS that performs searches against multiple patterns for a string match. Pattern matching is a computationally expensive task. Traditional software-based NIDS solutions usually can not achieve a high-speed required for ever growing Internet attacks. In order to satisfy high-speed packet content inspection, hardware-implementable pattern match algorithm is required. In this paper, we propose a hardware-based pattern match architecture that employs a multi-character processor array. The proposed multi-character processor array is a parallel and pipelined architecture which can process multiple characters of the input stream per cycle. The proposed architecture can reduce a lot of unnecessary computations and thus it is power efficient. We use snort pattern sets and DEFCON packet traces to perform our simulations. Our experiment results show that, with a 3-character processor array, we can reduce 83% of the computations compared with the brute force approach.",1550-445X,978-0-7695-3095-6,,10.1109/AINA.2008.119,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4482814,Snort;intrusion detection;pattern matching;processor array,Application software;Automata;Computer architecture;Computer science;Filters;Internet;Intrusion detection;Pattern matching;Payloads;Protection,Internet;parallel architectures;pipeline processing;security of data;string matching,DEFCON packet traces;Internet;attacks identification;hardware-based pattern match architecture;multicharacter processor array;network intrusion detection system;packet content inspection;parallel architecture;pipelined architecture;security protection;snort pattern sets;string matching,,1,1,13,,,25-28 March 2008,,IEEE,IEEE Conference Publication
Multi-Layer Integrated Anomaly Intrusion Detection System for Mobile Adhoc Networks,"Bose, S.; Bharathimurugan, S.; Kannan, A.","Dept. of Comput. Sci. & Eng., Anna Univ., Chennai","Signal Processing, Communications and Networking, 2007. ICSCN '07. International Conference on",20071105,2007,,,360,365,"Most intrusion detection systems for mobile ad hoc networks are focusing on either routing protocols or MAC layer traffic. This paper focuses on the design of a new anomaly detection system for each node of the network, which contains detection subsystem for MAC layer, routing layer and application layer. Audit data taken from MAC level/network level/application level from the traces in Glomosim and are preprocessed separately for each layer's detection subsystem. Feature data sets for each layer are selected from normal transactions. The detection subsystem contains normal profiles obtained from the feature vectors of training data sets. In our work, we used Bayesian classification algorithm, Markov chain construction algorithm and association rule mining algorithm for anomaly detection in MAC layer, routing layer and application layer respectively for effective intrusion detection. Test data obtained from the network traffic is feed in to the detection subsystems. If there is any deviation from normal behavior, it is considered as abnormal or anomaly based on predefined thresholds. Intrusion results from detection subsystems of all the three layers are integrated at local integration module and the final result is sent to the global integration module. Intrusion results are received also from the neighbor nodes and are sent to the global integration module for making a final decision",,1-4244-0997-7,1-4244-0997-7,10.1109/ICSCN.2007.350763,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4156645,,Association rules;Bayesian methods;Classification algorithms;Data mining;Intrusion detection;Media Access Protocol;Mobile ad hoc networks;Routing protocols;Telecommunication traffic;Training data,Bayes methods;Markov processes;ad hoc networks;data mining;decision making;mobile radio;security of data;telecommunication network routing;telecommunication security;telecommunication traffic,Bayesian classification algorithm;MAC layer;Markov chain construction algorithm;application layer;association rule mining algorithm;decision making;mobile adhoc network;multilayer integrated anomaly intrusion detection;network traffic;routing layer,,5,,15,,,22-24 Feb. 2007,,IEEE,IEEE Conference Publication
