http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28.QT.Fence.QT.%29+OR+.QT.Fencing+system.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/20/2015 16:39,"(((""Fence"") OR ""Fencing system"") AND ""Intrusion Detection System"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Design of a physical security perimeter fencing system,"Han Lin; Ross, M.; Mack, T.","Navy Phys. Security Dept., Sandia Nat. Labs., Albuquerque, NM, USA","Security Technology (ICCST), 2010 IEEE International Carnahan Conference on",20101230,2010,,,205,210,"Design of a physical security perimeter fencing system requires that security designers provide effective detection, delay, and response functionalities with minimal nuisance alarms. In addition, the designers must take into considerations the security fence system life cycle cost (equipment and grounds maintenance), complexity of the terrain, safety, and environmental conditions (location of where the security fence will be installed). Often, these factors drive the security designers to design a perimeter intrusion detection and assessment system (PIDAS) that includes: 1) larger than desired footprint, 2) one or more animal control fences to minimize the nuisance alarm rate (NAR), and 3) clear zones and an isolation zone to facilitate intrusion detection and assessment by keeping the fence lines clear of vegetation, trash, and other objects that could impede the security system's performance. This paper presents a two-tier PIDAS design that focuses on effective performance specifically in high probability of detection and low NAR that minimizes cost and the footprint of the system.",1071-6572,978-1-4244-7403-5,,10.1109/CCST.2010.5678719,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5678719,Intrusion Detection;Perimeter;Physical Security,Animals;Intrusion detection;Monitoring;Optical fibers;Testing;Wire,life cycle costing;safety systems,facilitate intrusion detection;larger than desired footprint;life cycle cost;nuisance alarm rate;perimeter fencing system;perimeter intrusion detection and assessment system;physical security;security fence system;two-tier PIDAS design,,0,,5,,,5-8 Oct. 2010,,IEEE,IEEE Conference Publications
Intelligent wall mounted wireless fencing system using wireless sensor actuator network,"Ghatak, S.; Bose, S.; Roy, S.","Dept. of Comput. Sci., Netaji Subhash Eng. Coll., Kolkata, India","Computer Communication and Informatics (ICCCI), 2014 International Conference on",20141016,2014,,,1,5,"This paper presents the relative merits of IR and microwave sensor technology and their combination with wireless camera for the development of a wall mounted wireless intrusion detection system and explain the phases by which the intrusion information are collected and sent to the central control station using wireless mesh network for analysis and processing the collected data. These days every protected zone is facing numerous security threats like trespassing or damaging of important equipments and a lot more. Unwanted intrusion has turned out to be a growing problem which has paved the way for a newer technology which detects intrusion accurately. Almost all organizations have their own conventional arrangement of protecting their zones by constructing high wall, wire fencing, power fencing or employing guard for manual observation. In case of large areas, manually observing the perimeter is not a viable option. To solve this type of problem we have developed a wall-mounted wireless fencing system. In this project I took the responsibility of studying how the different units could be collaborated and how the data collected from them could be further processed with the help of software, which was developed by me. The Intrusion detection system constitutes an important field of application for IR and microwave based wireless sensor network. A state of the art wall-mounted wireless intrusion detection system will detect intrusion automatically, through multi-level detection mechanism (IR, microwave, active RFID & camera) and will generate multi-level alert (buzzer, images, segment illumination, SMS, E-Mail) to notify security officers, owners and also illuminate the particular segment where the intrusion has happened. This system will enable the authority to quickly handle the emergency through identification of the area of incident at once and to take action quickly. IR based perimeter protection is a proven technology. However IR-based intrusion detection - ystem is not a full-proof solution since (1) IR may fail in foggy or dusty weather condition & hence it may generate false alarm. Therefore we amalgamate this technology with Microwave based intrusion detection which can work satisfactorily in foggy weather. Also another significant arena of our proposed system is the Camera-based intrusion detection. Some industries require this feature to capture the snap-shots of the affected location instantly as the intrusion happens. The Intrusion information data are transmitted wirelessly to the control station via multi hop routing (using active RFID or IEEE 802.15.4 protocol). The Control station will receive intrusion information at real time and analyze the data with the help of the Intrusion software. It then sends SMS to the predefined numbers of the respective authority through GSM modem attached with the control station engine.",,978-1-4799-2353-3,,10.1109/ICCCI.2014.6921795,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6921795,IEEE 802.15.4;IR Transceiver Module;Wireless Sensor Network,Communication system security;Intrusion detection;Monitoring;Software;Wireless communication;Wireless sensor networks,Zigbee;cameras;cellular radio;electronic messaging;radio transceivers;safety systems;telecommunication computing;telecommunication network routing;wireless mesh networks;wireless sensor networks,GSM modem;IEEE 802.15.4 protocol;IR based intrusion detection system;IR based perimeter protection;IR transceiver module;active RFID;central control station;intelligent wall mounted wireless fencing system;intrusion software;microwave based intrusion detection;microwave sensor technology;multihop routing;multilevel detection mechanism;wall mounted wireless intrusion detection system;wireless camera;wireless mesh network;wireless sensor actuator network,,0,,14,,,3-5 Jan. 2014,,IEEE,IEEE Conference Publications
Intelligent fence intrusion detection system: detection of intentional fence breaching and recognition of fence climbing,"Yousefi, A.; Member, S.; Dibazar, A.A.; Berger, T.W.",,"Technologies for Homeland Security, 2008 IEEE Conference on",20080930,2008,,,620,625,"Perimeter fencing is widely used to isolate and protect public and private places such as airports, military bases, power stations and construction zones against unauthorized accesses. Fence structures merely prevent a percentage of intrusions or postpone them. A higher level of security is needed to monitor and investigate activities on or around the fences. The Fence Intrusion Detection System (FIDS) is one of Perimeter Intrusion Detection Systems (PIDS) focusing on the fence intrusions. In general, there is no system practically available to classify suspicious activities; whether the activity was due to the strong wind turbulent or climbing of a person on the fence.",,978-1-4244-1977-7,978-1-4244-1978-4,10.1109/THS.2008.4635057,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4635057,,Accelerometers;Acoustic sensors;Hardware;Intrusion detection;Magnetic sensors;Military computing;Monitoring;Optical sensors;Reduced instruction set computing;Vehicle detection,,,,2,,6,,,12-13 May 2008,,IEEE,IEEE Conference Publications
Energy-aware distributed fence surveillance for wireless sensor networks,"Dziengel, N.; Ziegert, M.; Adler, S.; Kasmi, Z.; Pfeiffer, S.; Schiller, J.","Dept. of Math. & Comput. Sci., Freie Univ. Berlin, Berlin, Germany","Intelligent Sensors, Sensor Networks and Information Processing (ISSNIP), 2011 Seventh International Conference on",20120209,2011,,,353,358,"Fences are used all over the world to protect areas against unauthorized access. While most fences meet these requirements by building a physical and psychological barrier against intruders, this is not sufficient for areas of particular interest like restricted areas of an airport or construction sites with expensive goods. To detect intruders we integrate wireless sensor nodes into a fence. We fulfill the requirements for real-world energy-awareness by using active sensors with configurable logic, power saving modes like WOR and power down modes. The sensor nodes are capable of differentiating between several events, with the appliance of a distributed classification algorithm. We present an energy-aware platform for a distributed fence surveillance system in a wireless sensor network. We report on our experience in creating a platform that is concerning energy and performance demands and specifically tailored for the purpose of fence surveillance including fully integrated housing.",,978-1-4577-0675-2,,10.1109/ISSNIP.2011.6146603,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6146603,,Acceleration;Event detection;Feature extraction;Hardware;Surveillance,access control;surveillance;wireless sensor networks,WOR;active sensors;configurable logic;energy aware distributed fence surveillance;integrated housing;power down mode;power saving mode;unauthorized access;wireless sensor networks;wireless sensor node,,1,,18,,,6-9 Dec. 2011,,IEEE,IEEE Conference Publications
Non destructive testing of fence mounted PIDS,"Wassell, I.J.","Police Sci. Dev. Branch, Home Office, UK","Security Technology, 1999. Proceedings. IEEE 33rd Annual 1999 International Carnahan Conference on",20020806,1999,,,90,94,"There has always been a need to test fence mounted perimeter intrusion detection systems (PIDS) to be sure that they are working effectively. The most basic test often consists of a guard kicking the fence during a patrol. Generally a more scientific and repeatable approach is called for. This paper looks at why simulated climbing and cutting tests on fences are needed. It also examines a variety of methods that have been employed or postulated to simulate these cutting and climbing attacks. It looks at the strengths and weaknesses of different ways of simulating attacks including the addition of sacrificial panels, fence mounted solenoids and the variety of automatic centre punches that have been used. Cutting attacks have long been a feature of simulated testing, but climbing attacks on fences are more difficult to simulate. This paper explains some of the problems foreseen and explores some possible solutions",,0-7803-5247-5,,10.1109/CCST.1999.797900,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=797900,,Fabrics;Intrusion detection;Mirrors;Performance evaluation;Performance loss;Protection;Security;Solenoids;System testing;Test facilities,access control;digital simulation;nondestructive testing;safety systems,fence mounted PIDS;fence mounted perimeter intrusion detection systems;fence mounted solenoids;nondestructive testing;security;simulated climbing tests,,2,,2,,,1999,05 Oct 1999-07 Oct 1999,IEEE,IEEE Conference Publications
Performance study of virtual fence unit using Wireless Sensor Network in IoT environment,"Chan, H.T.; Rahman, T.A.; Arsad, A.","Wireless Commun. Centre, Univ. Teknol. Malaysia, Johor Bahru, Malaysia","Parallel and Distributed Systems (ICPADS), 2014 20th IEEE International Conference on",20150430,2014,,,873,875,"Wireless Sensor Networks (WSN) have been widely used in various monitoring applications including virtual fencing. With the integration of Internet of Things (IoT) in which millions of devices, systems and services will be interconnected online, it brings high capabilities for sensing, intercommunicate and actuation. This paper presents the experiments and performance analysis of virtual fence unit consists of microwave motion detector and IEEE 802.15.4 WSN for maximum sensing range integrate with IoT. In particular, the analysis is focusing on the maximum sensing range in terms of azimuth angle, height, sensitivity level for indoor and outdoor implementation. With the help of IoT, sensor which detected motion on weak detection angle or signal could communicate through internet and get signal from nearby sensor for better detection signal. The WSN platform is developed using Octopus II sensor nodes while the microwave motion detector is HB100 which detect movement using Doppler effects. Octopus II will uplink all signal through internet and provide corresponding action of virtual fencing when intrusion detected. Results show maximum sensing range of virtual fence unit is decreasing as azimuth angle increasing. With high sensitivity level of virtual fence unit, the maximum sensing range of virtual fence unit is larger than the maximum sensing range of virtual fence unit at normal sensitivity level. Results also show the virtual fence unit has higher maximum sensing range in indoor environment than outdoor environment.",,,,10.1109/PADSW.2014.7097899,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7097899,HB100;Internet of Things (IoT)Introduction;Octopus II;Wireless Sensor Network (WSN);indoor;maximum sensing range;outdoor;virtual fence unit,Azimuth;Detectors;Indoor environments;Sensitivity;Wireless communication;Wireless sensor networks,Doppler effect;Internet of Things;Zigbee;indoor communication;wireless sensor networks,Doppler effects;HB100 microwave motion detector;IEEE 802.15.4 WSN;Internet of Things;IoT environment;Octopus II sensor nodes;azimuth angle;indoor environment;indoor implementation;outdoor implementation;virtual fence unit;wireless sensor network,,0,,5,,,16-19 Dec. 2014,,IEEE,IEEE Conference Publications
Research of intrusion detection system based on machine learning,Ma Jun; Feng Shuqian,"Coll. of Inf. Sci. & Eng., Jiao Zuo Univ., Jiao Zuo, China","Computer Engineering and Technology (ICCET), 2010 2nd International Conference on",20100617,2010,7,,V7-713,V7-715,"Through the study of the existing intrusion detection system, this paper presents the idea of applying the machine learning methods in the intrusion detection system, establishes a learning-based intrusion detection system model, gives the framework of the system and the main process steps, and designs and tests the machine learning module in it to achieve the learning-based intrusion detection system.",,978-1-4244-6347-3,,10.1109/ICCET.2010.5485703,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5485703,intrusion detection;machine learning;network security,Computer hacking;Computer networks;Computer security;Data mining;Face detection;Information security;Intrusion detection;Machine learning;Protection;Spatial databases,learning (artificial intelligence);security of data,learning-based intrusion detection system model;machine learning methods;machine learning module,,0,,8,,,16-18 April 2010,,IEEE,IEEE Conference Publications
Electric Fence Intrusion Alert System (eleAlert),"Wijesinghe, L.; Siriwardena, P.; Dahanayake, S.; Kasthuriratne, D.; Corea, R.; Dias, D.",,"Global Humanitarian Technology Conference (GHTC), 2011 IEEE",20111215,2011,,,46,50,We present the design and implementation of intrusion detection and alerting mechanism (eleAlert) for fences separating wildlife habitats and human settlements. Our objective is to improve the effectiveness of electric fences as a solution to the prevailing human-elephant conflict (HEC) in many parts of the world. eleAlert uses a network of sensors to detect and locate damages instantly and alert communities under threat via the mobile communications network.,,978-1-61284-634-7,978-0-7695-4595-0,10.1109/GHTC.2011.16,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6103606,Early Warning;Human-Elephant Conflict;Intrusion Detection;energy efficient communication protocol,Batteries;Bridges;Electric fences;Intrusion detection;Maintenance engineering;Mobile communication;Wildlife,alarm systems;mobile radio;safety systems;wireless sensor networks,alerting mechanism;eleAlert;electric fence intrusion alert system;human settlements;human-elephant conflict;intrusion detection;mobile communications network;sensor network;wildlife habitats,,2,,12,,,Oct. 30 2011-Nov. 1 2011,,IEEE,IEEE Conference Publications
Walking intrusion signal recognition method for fiber fence system,Nian Fang; Lutang Wang; Dongjian Jia; Chao Shan; Zhaoming Huang,"Key Laboratory of Specialty Fiber Optics and Optical Access Networks, SCIE, Shanghai University, No. 149 Yanchang Road, China 200072","Communications and Photonics Conference and Exhibition (ACP), 2009 Asia",20100202,2009,2009-Supplement,,1,6,"A recognition method based on the gait characteristic for walking intrusion signal is presented. The gait characteristic of a normal walker in the nature state is an average gait period of 1.2s, in which a step period is about 0.6s and a foot touchdown time is about 0.2s. When a person walks fast or runs, the step period is reduced to about 0.4s and the foot touchdown time still keeps about 0.2s. It is included in the vibration signal caused by a walking intruder inevitably. So the detection system output signal caused by a human intrusion is intermittent and periodical. If a sensing system output waveform has a period of 0.3–0.75s and a duration time of 0.15–0.25s, the disturbance source can be adjudged as a human intrusion, not as an animal or other random one. The effectiveness of the proposed method is verified by the experimental results with an in-line Sagnac interferometer fiber fence system and a φ-OTDR intrusion detection system, respectively.",,978-1-55752-877-3,978-1-55752-877-3,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5405622,fiber fence;gait characteristic;intrusion signal recognition;step period,Animals;Character recognition;Foot;Humans;Legged locomotion;Optical fiber networks;Optical interferometry;Optical sensors;Sagnac interferometers;Signal detection,,,,0,,10,,,2-6 Nov. 2009,,IEEE,IEEE Conference Publications
"Electrostatic field detectors, the seaside, and the desert wind? [PERIFELD-M security fence]","Dooven, L.D.","Cerberus Div., Siemens GmbH &amp; Co. oHg, Pucheim","Aerospace and Electronic Systems Magazine, IEEE",20020807,2001,16,9,4,9,"In the early 1960s, the first ideas were developed by leading companies in Germany to design an intrusion detection system following a capacitance measurement principle. In 1982, Siemens AG was the first company in this market which analysed all outdoor influences and recognised the essential problems which cause any classic capacitive or electrostatic detector to suffer from high unwanted false alarm rates. The result was that, already in 1984, a complete new peripheral hardware design, with a very high electrical and capacitive stability, was created by Siemens AG which remains state-of-the-art. Nevertheless, even if this high-grade material is installed, it can happen in certain cases that apparently invisible peripheral influences are the cause of important electrical effects. This paper describes a practical case experienced in 1999 where a coincidental combination of seaside conditions and a local desert wind strongly interfered in the physics of a capacitive electrostatic field detector",0885-8985,,,10.1109/62.949529,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=949529,,Aerospace and Electronic Systems Society;Cable insulation;Capacitance;Detectors;Electrostatics;Hardware;Pattern recognition;Rain;Security;Wires,access control;capacitive sensors;safety systems;signal detection,PERIFELD-M detector;capacitive detector;digital processing;electrical effects;electrostatic field detectors;intrusion detection system;invisible peripheral influences;local desert wind;microprocessor controlled evaluation unit;outdoor influences;perimeter sensor;seaside conditions;security fence;signal recognition;unstable condition;unwanted false alarm rates,,0,,13,,,Sep-01,,IEEE,IEEE Journals & Magazines
