http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28.QT.False+negative.QT.%29+OR+.QT.Type+II+error.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/20/2015 18:15,"(((""False negative"") OR ""Type II error"") AND ""Intrusion Detection System"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A metrics-based approach to intrusion detection system evaluation for distributed real-time systems,"Fink, G.A.; Chappell, B.L.; Turner, T.G.; O'Donoghue, K.F.",,"Parallel and Distributed Processing Symposium., Proceedings International, IPDPS 2002, Abstracts and CD-ROM",20150827,2002,,,8 pp,,"This paper describes a set of metrics that will help administrators of distributed, real-time (clustered) computer facilities to select the best intrusion detection system for their facilities. The metrics herein are the subset of our general metric set that particularly impact real-time and distributed processing issues. We discuss related works in this field, the role of intrusion detection in information assurance, some basic classes of intrusion detection systems, a general architecture of network intrusion detection systems, and the scorecard metrics and their application to real-time and distributed processing systems. Finally we discuss the lessons we learned using a preliminary version of the metric scorecard to test three commercial intrusion detection systems and the opportunities for further work in this area.",,0-7695-1573-8,,10.1109/IPDPS.2002.1016475,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1016475,Distributed;Evaluation;Intrusion Detection;Metrics;Real-Time;Security,Computer security;Costs;Distributed computing;Distributed processing;Information security;Intrusion detection;Military computing;Real time systems;System testing;Taxonomy,,,,0,1,16,,,15-19 April 2001,,IEEE,IEEE Conference Publications
Network-traffic anomaly detection with incremental majority learning,Shin-Ying Huang; Fang Yu; Rua-Huan Tsaih; Yennun Huang,"Res. Center for Inf. Technol. Innovation, Taipei, Taiwan","Neural Networks (IJCNN), 2015 International Joint Conference on",20151001,2015,,,1,8,"Detecting anomaly behavior in large network traffic data has presented a great challenge in designing effective intrusion detection systems. We propose an adaptive model to learn majority patterns under a dynamic changing environment. We first propose unsupervised learning on data abstraction to extract essential features of samples. We then adopt incremental majority learning with iterative evolutions on fitting envelopes to characterize the majority of samples within moving windows. A network traffic sample is considered an anomaly if its abstract feature falls on the outside of the fitting envelope. We justify the effectiveness of the presented approach against 150000+ traffic samples from the NSL-KDD dataset in training and testing, demonstrating positive promise in detecting network attacks by identifying samples that have abnormal features.",,,,10.1109/IJCNN.2015.7280573,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7280573,incremental learning;intrusion detection system;neural networks;outlier detection,Adaptation models;Character recognition;Classification algorithms;Testing,computer network security;data structures;iterative methods;learning (artificial intelligence);telecommunication traffic,NSL-KDD dataset;abnormal features;anomaly behavior;data abstraction;dynamic changing environment;fitting envelopes;incremental majority learning;intrusion detection systems;iterative evolutions;large network traffic data;network attacks;network-traffic anomaly detection;unsupervised learning,,,,,,,12-17 July 2015,,IEEE,IEEE Conference Publications
Binary Hypothesis Testing Game With Training Data,"Barni, M.; Tondi, B.","Dept. of Inf. Eng., Univ. of Siena, Siena, Italy","Information Theory, IEEE Transactions on",20140710,2014,60,8,4848,4866,"We introduce a game-theoretic framework to study the hypothesis testing problem in the presence of an adversary aiming to prevent a correct decision. Specifically, this paper considers a scenario in which an analyst has to accept or reject the null hypothesis H<sub>0</sub> characterized by a probability mass function (pmf) P<sub>X</sub> based on the evidence provided by a test sequence. In turn, the goal of the adversary is to take a sequence generated according to a different pmf and modify it in such a way to induce a decision error. P<sub>X</sub> is known only through one or more training sequences. We derive the asymptotic equilibrium of the game under the assumption that the analyst relies only on first order statistics of the test and training sequences, and compute the asymptotic payoff of the game when the length of the sequences tends to infinity. We introduce the concept of indistinguishability region, defined as the set of pmfs that can not be distinguished reliably from P<sub>X</sub> in the presence of attacks. Two different scenarios are considered: in the first one the analyst and the adversary share the same training sequence, in the second scenario, they rely on independent sequences. The obtained results are compared with a version of the game in which the pmf P<sub>X</sub> is perfectly known to both the analyst and the adversary.",0018-9448,,,10.1109/TIT.2014.2325571,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6824190,Hypothesis testing;adversarial signal processing;counter-forensics;cybersecurity;game theory;multimedia forensics;source identification,Forensics;Games;Multimedia communication;Nash equilibrium;Testing;Training,game theory;statistical testing,binary hypothesis testing game;decision error;first order statistics;game asymptotic equilibrium;game-theoretic framework;null hypothesis;probability mass function;test sequence,,1,,37,,6/2/2014,Aug. 2014,,IEEE,IEEE Journals & Magazines
Detection of application layer distributed denial of service,Chengxu Ye; Kesong Zheng,"Sch. of Comput., Qinghai Normal Univ., Xining, China","Computer Science and Network Technology (ICCSNT), 2011 International Conference on",20120412,2011,1,,310,314,"In the previous literatures, many methods were designed to defend against IP or TCP layers distributed denial of service attacks instead of the application layer. In this paper, we introduce a simple but effective scheme to detect application layer based ddos attacks. A http request transition matrix is proposed to describe users browsing behavior. We assume normal human user will choose interesting pages and objects. And that forms a pattern - transition probability from one page to another. But a bot can not know what are the popular pages for most people, it will randomly send requests to web server for one scenario so that its request sequence has a very small transition probability, i.e. the sequence is less correlative. At last, simulation experiments are conducted with dataset which shows the scheme is effective.",,978-1-4577-1586-0,,10.1109/ICCSNT.2011.6181964,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6181964,Application layer DDoS;Correlation analysis;Zipf,Ash;Computational modeling;Computer crime;Humans;IP networks;Servers;Vectors,Internet;probability;security of data;transport protocols,Web server;application layer based DDoS attacks;application layer distributed denial of service;bot;http request transition matrix;pattern - transition probability;users browsing behavior,,1,,12,,,24-26 Dec. 2011,,IEEE,IEEE Conference Publications
Behavior-based intrusion detection in encrypted environments,"Koch, R.; Golling, M.; Rodosek, G.D.","Univ. der Bundeswehr Munchen, Neubiberg, Germany","Communications Magazine, IEEE",20140715,2014,52,7,124,131,"In recent years the Internet has evolved into a critical communication infrastructure that is omnipresent in almost all aspects of our daily life. This dependence of modern societies on the Internet has also resulted in more criminals using the Internet for their purposes, causing a steady increase of attacks, both in terms of quantity as well as quality. Although research on the detection of attacks has been performed for several decades, today's systems are not able to cope with modern attack vectors. One of the reasons is the increasing use of encrypted communication that strongly limits the detection of malicious activities. While encryption provides a number of significant advantages for the end user like, for example, an increased level of privacy, many classical approaches of intrusion detection fail. Since it is typically not possible to decrypt the traffic, performing analysis w.r.t. the presence of certain patterns is almost impossible. To overcome this shortcoming we present a new behavior-based detection architecture that uses similarity measurements to detect intrusions as well as insider activities like data exfiltration in encrypted environments.",0163-6804,,,10.1109/MCOM.2014.6852093,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6852093,,Encryption;Internet;Intrusion detection;Knowledge based systems;Payloads;Telecommunication network management,Internet;computer network security;cryptography,Internet;behavior-based intrusion detection;data exfiltration;encrypted communication;encrypted environments;malicious activity detection,,0,,,,,Jul-14,,IEEE,IEEE Journals & Magazines
"Image-Based Anomaly Detection Technique: Algorithm, Implementation and Effectiveness","Seong Soo Kim; Reddy, A.L.N.","Digital Media R&D Center, Seoul","Selected Areas in Communications, IEEE Journal on",20061002,2006,24,10,1942,1954,"The frequent and large-scale network attacks have led to an increased need for developing techniques for analyzing network traffic. This paper presents NetViewer, a network measurement approach that can simultaneously detect, identify, and visualize attacks and anomalous traffic in real-time by passively monitoring packet headers. We propose to represent samples of network packet header data as frames or images. With such a formulation, a series of samples can be seen as a sequence of frames or video, revealing certain kinds of attacks to the human eye. This enables techniques from image processing and video compression to be applied to the packet header data to reveal interesting properties of traffic. We show that ""scene change analysis"" can reveal sudden changes in traffic behavior or anomalies. We also show that ""motion prediction"" techniques can be employed to understand the patterns of some of the attacks. We show that it may be feasible to represent multiple pieces of data as different colors of an image enabling a uniform treatment of multidimensional packet header data. We compare the effectiveness of NetViewer with classical detection theory-based Neyman-Pearson test",0733-8716,,,10.1109/JSAC.2006.877215,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1705624,Experimentation with real networks/testbeds;image processing;network anomaly detection;network measurements;statistical analysis;stochastic processes,Data visualization;Humans;Image processing;Large-scale systems;Layout;Monitoring;Multidimensional systems;Telecommunication traffic;Testing;Video compression,data compression;data visualisation;eye;image sampling;image sequences;motion estimation;object detection;telecommunication traffic;video coding,NetViewer;anomaly detection;data visualization;frame sequence;human eye;image processing;large-scale network attack;motion prediction technique;multidimensional packet header data;network measurement approach;network traffic analysis;passive monitoring;series of sample;video compression,,5,1,29,,,Oct. 2006,,IEEE,IEEE Journals & Magazines
Keystroke Biometrics with number-pad input using hybridization of adaboost with random forest,"Eswari, N.; Sundarapandiyan, S.; Vennila, P.; Umamaheswari, R.; Jothilakshmi, G.","Dept. of CSE, Periyar Maniammai Univ., Thanjavur, India","Advances in Engineering, Science and Management (ICAESM), 2012 International Conference on",20120614,2012,,,105,109,"Keystroke Biometrics is a new authentication technique to identify legitimate users via their typing behavior, which are in turn derived from the timestamps of key-press and keyrelease events in the keyboard while typing their password. Many researchers have explored this domain, with mixed results, but few have examined the relatively impoverished results for digits only password, so that the input password is from the number-pad portion of the keyboard. In this paper, machine learning technique is adapted for keystroke authentication. The selected classification method is adaboost and random forest. Also, combination of adaboost and Random forest will improve the accuracy of the system. The performance metrics are FAR (False Acceptance Rate) and FRR (False Rejection Rate).",,978-1-4673-0213-5,,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6215581,Adaboost;Keystroke Dynamics;Random Forest,Detectors;Measurement,authorisation;biometrics (access control);learning (artificial intelligence);pattern classification,Adaboost;FAR performance metric;FRR performance metric;authentication technique;classification method;digits only password;false acceptance rate;false rejection rate;input password;key-press timestamp;keyrelease timestamp;keystroke authentication;keystroke biometrics;machine learning technique;number-pad input;random forest,,1,,19,,,30-31 March 2012,,IEEE,IEEE Conference Publications
An Evaluation of the Effectiveness of Measurement-based Anomaly Detection Techniques,"Seong Soo Kim; Reddy, A.L.N.","Texas A&M University, College Station, TX, USA","Distributed Computing Systems Workshops, 2006. ICDCS Workshops 2006. 26th IEEE International Conference on",20060724,2006,,,6,6,A number of recent studies have proposed measurement based approaches to network traffic analysis. These techniques treat traffic volume and traffic header data as signals or images in order to make analysis feasible. We use trace-driven experiments and compare the performance of different strategies. Our evaluations on real traces reveal differences in the effectiveness of different traffic header data as potential signals for traffic analysis in terms of their detection rates and false alarm rates. Our results show that address distributions and number of flows are better signals than traffic volume for anomaly detection.,1545-0678,0-7695-2541-5,,10.1109/ICDCSW.2006.16,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1648894,,Electric variables measurement;Image analysis;Intrusion detection;Monitoring;Network servers;Operating systems;Signal analysis;Statistical analysis;Telecommunication traffic;Traffic control,,,,0,,18,,,04-07 July 2006,,IEEE,IEEE Conference Publications
Ontology-based distributed intrusion detection system,"Abdoli, F.; Kahani, M.","Ferdowsi Univ. of Mashhad, Mashhad, Iran","Computer Conference, 2009. CSICC 2009. 14th International CSI",20091208,2009,,,65,70,"In this paper we discussed about utilizing methods and techniques of semantic web in the Intrusion Detection Systems. To extract semantic relations between computer attacks and intrusions in a Distributed Intrusion Detection System, we use ontology. Protege software is our selected software for building ontology. In addition, we utilized Jena framework to make interaction between MasterAgent and attacks ontology. Our Distributed Intrusion Detection System is a network which contains some IDSagents and a special MasterAgent. MasterAgent contains our proposed attacks ontology. Every time a IDSagent detects an attack or new suspected condition, it sends detection's report for MasterAgent. Therefore, it can extract the semantic relationship among computer attacks and suspected situations in the network with proposed ontology. Finally, the experience shows that the pruposed system reduced the rate of false positive and false negative.",,978-1-4244-4261-4,978-1-4244-4262-1,10.1109/CSICC.2009.5349372,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5349372,Denial of Service attack;Intrusion Detection System;Ontology,Computer crime;Computer networks;Computer security;Data models;Distributed computing;Information security;Intrusion detection;Logic;Ontologies;Semantic Web,distributed processing;ontologies (artificial intelligence);security of data;semantic Web,MasterAgent;attacks ontology;computer attacks;ontology-based distributed intrusion detection system;semantic Web,,0,,27,,,20-21 Oct. 2009,,IEEE,IEEE Conference Publications
Optimization of the Neural-Network-Based Multiple Classifiers Intrusion Detection System,Xiangmei Li,"Coll. of Network Eng., Chengdu Univ. of Inf. Technol., Chengdu, China","Internet Technology and Applications, 2010 International Conference on",20100909,2010,,,1,4,"In this paper, according to the difference between the attack categories, we adjust the 41-dimensional input features of the neural-network-based multiple classifiers intrusion detection system. After repeated experiment, we find that the every adjusted sub-classifier is better in convergence precision, shorter in training time than the 41-features sub-classifier, moreover, the whole intrusion detection system is higher in the detection rate, and less in the false negative rate than the 41-features multiple classifiers intrusion detection system. So, the scheme of the adjusting input features is able to optimize the neural-network-based multiple classifiers intrusion detection system, and proved to be feasible in practice.",,978-1-4244-5142-5,978-1-4244-5143-2,10.1109/ITAPP.2010.5566641,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5566641,,Artificial neural networks;Computer crime;Feature extraction;Intrusion detection;Probes;Testing;Training,neural nets;optimisation;pattern classification;security of data,convergence precision;multiple classifiers intrusion detection system;neural network optimisation,,1,,9,,,20-22 Aug. 2010,,IEEE,IEEE Conference Publications
