http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.Recall.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/20/2015 17:41,"((""Recall"") AND ""Intrusion Detection System"")",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
An Adaptive Feedback Mechanism Algorithm for Intrusion Detection System,"Chen, Shan-Tai; Pan, Chih-Chen; Chyi-Bao Yang",,"Computer Science and its Applications, 2009. CSA '09. 2nd International Conference on",20100701,2009,,,1,6,"<div style=font-variant: small-caps; font-size: .9em;>First Page of the Article</div><img class=img-abs-container style=width: 95%; border: 1px solid #808080; src=/xploreAssets/images/absImages/05404260.png border=0>",,978-1-4244-4945-3,,10.1109/CSA.2009.5404260,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5404260,,Artificial neural networks;Data mining;Decision trees;Feedback;Intrusion detection;Machine learning algorithms;Sampling methods;Supervised learning;Support vector machines;Training data,,,,0,,12,,,10-12 Dec. 2009,,IEEE,IEEE Conference Publications,,
Attack recall control in anomaly detection,Anh Tran Quang; Qianli Zhang; Xing Li,"Dept. of Electron. Eng., Tsinghua Univ., Beijing, China","Communication Technology Proceedings, 2003. ICCT 2003. International Conference on",20030709,2003,1,,382,384 vol.1,"This paper presents an approach to control the attack recall in an anomaly detection system using support vector machines (SVM). The recall and precision of SVM are controlled by the selection of the training model. The training model is selected by optimization method using genetic algorithm. A SVM training model optimization problem is presented and an expected attack recall is controlled by a tradeoff parameter  in the objective function. Experimental results demonstrate that as  increases from 0 to 1, the recall increases from 0 to 1. If we use the value of  to estimate the recall, the mean square error of this estimation is decreased during the evolution of the training model. Our approach allows a user to design a system with an expected recall while the precision is high.",,7-5635-0686-1,,10.1109/ICCT.2003.1209103,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1209103,,Application specific processors;Control systems;Error analysis;Genetic algorithms;Intrusion detection;Optimization methods;Support vector machine classification;Support vector machines;Testing;Upper bound,genetic algorithms;mean square error methods;support vector machines;telecommunication control;telecommunication security,SVM training model optimization problem;anomaly detection system;attack recall control;genetic algorithm;mean square error;support vector machines,,1,,10,,,9-11 April 2003,,IEEE,IEEE Conference Publications,,
A statistical framework for intrusion detection system,"Kabir, M.E.; Jiankun Hu","Sch. of Human Movement Studies, Univ. of Queensland, St. Lucia, QLD, Australia","Fuzzy Systems and Knowledge Discovery (FSKD), 2014 11th International Conference on",20141211,2014,,,941,946,"This paper proposes a statistical framework for intrusion detection system based on sampling with Least Square Support Vector Machine (LS-SVM). Decision making is performed in two stages. In the first stage, the whole dataset is divided into some predetermined arbitrary subgroups. The proposed algorithm selects representative samples from these subgroups such that the samples reflect the entire dataset. An optimum allocation scheme is developed based on the variability of the observations within the subgroups. In the second stage, least square support vector machine (LS-SVM) is applied to the extracted samples to detect intrusions. We call the proposed algorithm as optimum allocation-based least square support vector machine (OA-LS-SVM) for IDS. To demonstrate the effectiveness of the proposed method, the experiments are carried out on KDD 99 database which is considered a de facto benchmark for evaluating the performance of intrusions detection algorithm. All binary-classes are tested and our proposed approach obtains a realistic performance in terms of accuracy and efficiency.",,978-1-4799-5147-5,,10.1109/FSKD.2014.6980966,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6980966,,Decision trees;Feature extraction;Intrusion detection;Resource management;Support vector machines;Testing;Training,decision making;least squares approximations;security of data;statistical analysis;support vector machines,IDS;KDD 99 database;OA-LS-SVM;binary-classes;de facto benchmark;decision making;intrusion detection system;optimum allocation-based least square support vector machine;performance evaluation;statistical framework,,0,,25,,,19-21 Aug. 2014,,IEEE,IEEE Conference Publications,,
Intrusion detection system for signal based SIP attacks through timed HCPN,Yanlan Ding; Guiping Su,"Sch. of Inf. Sci. & Eng., Chinese Acad. of Sci., Beijing","Availability, Reliability and Security, 2007. ARES 2007. The Second International Conference on",20070423,2007,,,190,197,"As session initiation protocol is becoming widely used for the current IP telephony services due to its simplicity and powerful functions, vulnerabilities it exposes make it susceptible to various attacks especially signal based SIP-specific attacks. Based on the security issues of SIP, in this paper, we propose the design of an intrusion detection system combined with misuse and anomaly detection for these threats by a feedback mechanism. A timed HCPN model is utilized and suited to drive and simulate the IDS for SIP with four machines. Also some detection solutions for specific attacks are provided like two recall methods for CANCEL attack and so on",,0-7695-2775-2,,10.1109/ARES.2007.102,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4159803,,Communication system security;Counting circuits;Feedback;Floods;Information science;Intrusion detection;Packaging;Protocols;Signal detection;Telephony,Internet telephony;Petri nets;protocols;security of data;telecommunication security,IP telephony;feedback mechanism;hierarchy colored Petri nets;intrusion detection system;security issues;session initiation protocol;signal based SIP attacks;timed HCPN model,,6,,28,,,10-13 April 2007,,IEEE,IEEE Conference Publications,,
Research on Reconfigurable Intrusion Detection System,Zhao Liang; Zhang Xiao-Hui,"Coll. of Inf. Eng., PLA Inf. Eng. Univ., Zhengzhou, China","Multimedia Information Networking and Security (MINES), 2012 Fourth International Conference on",20130110,2012,,,913,917,"DIDS (Distributed Intrusion Detection System) is the best project for detecting distributed intrusion. On account of complicated architecture, difficulty for deployment and no condition for testing, DIDS has not been emploied. This paper analyzes the existing architecture of DIDS, and proposes the idear of designing a RIDS (Reconfigurable Intrusion Detection System), and proposes the construction principle of component and analysis for reconfiguration. In addition, this paper formally describe the RIDS, and present two measurement for reconfiguration based on the different object.",,978-1-4673-3093-0,,10.1109/MINES.2012.180,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6405834,Architecture Module;IDS;Reconfigurable;Reconfigure technique,Analytical models;Data models;Educational institutions;Intrusion detection;Libraries;Planning;Resource management,computer network security;distributed processing;reconfigurable architectures,DIDS architecture;RIDS design;construction principle;distributed intrusion detection system;reconfigurable intrusion detection system,,0,,10,,,2-4 Nov. 2012,,IEEE,IEEE Conference Publications,,
An AODE-based intrusion detection system for computer networks,"Baig, Z.A.; Shaheen, A.S.; AbdelAal, R.","Dept. of Comput. Eng., King Fahd Univ. of Pet. & Miner., Dhahran, Saudi Arabia","Internet Security (WorldCIS), 2011 World Congress on",20110415,2011,,,28,35,"Detecting anomalous traffic on the Internet has remained an issue of concern for the community of security researchers over the years. Advances in computing performance, in terms of processing power and storage, have allowed the use of resource-intensive intelligent algorithms, to detect intrusive activities, in a timely manner. Naive Bayes is a statistical inference learning algorithm with promise for document classification, spam detection and intrusion detection. The attribute independence issue associated with Naive Bayes has been resolved through the development of the Average One Dependence Estimator (AODE) algorithm. In this paper, we propose the application of AODE for intrusion detection. The performance of the proposed scheme is studied and analyzed on the KDD-99 intrusion benchmark data set. With a detection rate of 99.7%, AODE outperformed Naive Bayes, which reported a detection rate of 97.3%, and a larger number of false positives.",,978-1-4244-8879-7,978-0-9564263-7-6,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5749877,,Accuracy;Bayesian methods;Computational modeling;Data models;Feature extraction;Intrusion detection;Training,Bayes methods;Internet;computer network security;document handling;learning (artificial intelligence);statistical analysis;unsolicited e-mail,AODE based intrusion detection system;Internet;average one dependence estimator algorithm;computer network;document classification;intrusive activity detection;naive Bayes;resource intensive intelligent algorithm;security researcher;spam detection;statistical inference learning algorithm,,0,,23,,,21-23 Feb. 2011,,IEEE,IEEE Conference Publications,,
An Intrusion Detection System implementing Host based attacks using Layered Framework,"Badgujar, T.; More, P.","Dept. of Comput. Eng., GSMCOE(Balewadi), Pune, India","Innovations in Information, Embedded and Communication Systems (ICIIECS), 2015 International Conference on",20150813,2015,,,1,4,"Intrusion Detection System has become a core component in a computer network as it is having threats from attackers, spammers and also from criminal enterprises. This insecurity is increasing in online environment day by day. The system must be secure from these prevalence. This paper represents an Intrusion Detection System implementing Real Time Host based attacks using Layered Framework. This system is experimented with real time packets. As we have experimented, it provides high security and less false alarm rate.",,978-1-4799-6817-6,,10.1109/ICIIECS.2015.7193122,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7193122,Intrusion Detection System;Layered Framework;Real Time Packets,Computers;Conferences;Data mining;Feature extraction;Floods;Intrusion detection;Real-time systems,computer network security,attackers;computer network;false alarm rate;host based attacks;intrusion detection system;layered framework;real time host based attacks;spammers,,0,,12,,,19-20 March 2015,,IEEE,IEEE Conference Publications,,
Efficient host based intrusion detection system using Partial Decision Tree and Correlation feature selection algorithm,"Lydia Catherine, F.; Pathak, R.; Vaidehi, V.","Dept. of Inf. Technol., Anna Univ., Chennai, India","Recent Trends in Information Technology (ICRTIT), 2014 International Conference on",20141229,2014,,,1,6,"System security has become significant issue in many organizations. The attacks like DoS, U2R, R2L and Probing etc., creating a serious threat to the appropriate operation of Internet services as well as in host system. In recent years, intrusion detection system is designed to prevent the intruder in the host as well as in network systems. Existing host based intrusion detection systems detects the intrusion using complete feature set and it is not fast enough to detect the attacks. To overcome this problem, this paper proposes an efficient HIDS - Correlation based Partial Decision Tree Algorithm (CPDT). The proposed CPDT combines Correlation feature selection for selecting features and Partial Decision Tree (PART) for classifying the normal and the abnormal packets. The algorithm is implemented and has been validated within KDD'99 dataset and found to give better results than the existing algorithms. The proposed CPDT model provides the accuracy of 99.9458%.",,,,10.1109/ICRTIT.2014.6996115,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6996115,CFS;DoS;IDS;Intruder;Probing;R2L;U2R,Accuracy;Algorithm design and analysis;Classification algorithms;Correlation;Decision trees;Feature extraction;Intrusion detection,computer network security;data mining;decision trees;feature selection;pattern classification;security of data,CPDT algorithm;DoS attack;HIDS;Internet service operation;KDD'99 dataset;PART;Probing attack;R2L attack;U2R attack;abnormal packet classification;correlation feature selection;correlation feature selection algorithm;correlation-based partial decision tree algorithm;host system;host-based intrusion detection system;network systems;normal packet classification;system security,,0,,16,,,10-12 April 2014,,IEEE,IEEE Conference Publications,,
An analysis of supervised tree based classifiers for intrusion detection system,"Thaseen, S.; Kumar, C.A.","Sch. of Comput. Sci. & Eng., VIT Univ., Chennai, India","Pattern Recognition, Informatics and Mobile Engineering (PRIME), 2013 International Conference on",20130415,2013,,,294,299,"Due to increase in intrusion incidents over internet, many network intrusion detection systems are developed to prevent network attacks. Data mining, pattern recognition and classification methods are used to classify network events as a normal or anomalous one. This paper is aimed at evaluating different tree based classification algorithms that classify network events in intrusion detection systems. Experiments are conducted on NSL-KDD 99 dataset. Dimensionality of the attribute of the dataset is reduced. The results show that RandomTree model holds the highest degree of accuracy and reduced false alarm rate. RandomTree model is evaluated with other leading intrusion detection models to determine its better predictive accuracy.",,978-1-4673-5843-9,,10.1109/ICPRIME.2013.6496489,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6496489,Classification Models;Discretization;Feature Selection;Intrusion detection system;Random Tree,Accuracy;Classification algorithms;Data mining;Decision trees;Intrusion detection;Training;Vegetation,pattern classification;security of data;trees (mathematics),Internet;NSL-KDD 99 dataset;RandomTree model;attribute dimensionality;classification method;data mining;false alarm rate;network attacks;network event classification;network intrusion detection system;pattern recognition;supervised tree based classifier;tree based classification algorithm,,4,,26,,,21-22 Feb. 2013,,IEEE,IEEE Conference Publications,,
Enhancing detection rate in database intrusion detection system,"Rao, U.P.; Singh, N.K.; Amin, A.R.; Sahu, K.","Dept. of Comput. Eng., Sardar Vallabhbhai Nat. Inst. of Technol., Surat, India","Science and Information Conference (SAI), 2014",20141009,2014,,,556,563,Protecting the database from malicious insider is the major challenge for the organizations now-a-days. The organizations are eager to adopt the advanced security solutions to prevent the theft of data. Most of the existing database IDS (intrusion detection system) apply high profile matching constraint. Due to this there is probability of high false positive rate. In this paper we propose a novel database IDS which reduces the false positive and false negative rates. This approach provides flexibility in profile matching constraint.,,978-0-9893-1933-1,,10.1109/SAI.2014.6918241,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6918241,Audit Log;DBMS;Database Security;Intrusion Detection System;Transaction Profile,Data mining;Databases;Feature extraction;Intrusion detection;Organizations;Pattern matching,data protection;database management systems;security of data,advanced security solutions;database IDS;database intrusion detection system;database protection;detection rate enhancement;high false positive rate probability;high profile matching constraint;malicious insider,,0,,14,,,27-29 Aug. 2014,,IEEE,IEEE Conference Publications,,
