http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.ROC.QT.%29+OR+.QT.area+under+curve.QT.%29+OR+.QT.Receiver+operating+characteristic.QT.%29+OR+.QT.area+under+ROC+curve.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/20/2015 18:24,"(((((""ROC"") OR ""area under curve"") OR ""Receiver operating characteristic"") OR ""area under ROC curve"") AND ""Intrusion Detection System"")",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
MapReduce intrusion detection system based on a particle swarm optimization clustering algorithm,"Aljarah, I.; Ludwig, S.A.","Dept. of Comput. Sci., North Dakota State Univ., Fargo, ND, USA","Evolutionary Computation (CEC), 2013 IEEE Congress on",20130715,2013,,,955,962,"The increasing volume of data in large networks to be analyzed imposes new challenges to an intrusion detection system. Since data in computer networks is growing rapidly, the analysis of these large amounts of data to discover anomaly fragments has to be done within a reasonable amount of time. Some of the past and current intrusion detection systems are based on a clustering approach. However, in order to cope with the increasing amount of data, new parallel methods need to be developed in order to make the algorithms scalable. In this paper, we propose an intrusion detection system based on a parallel particle swarm optimization clustering algorithm using the MapReduce methodology. The use of particle swarm optimization for the clustering task is a very efficient way since particle swarm optimization avoids the sensitivity problem of initial cluster centroids as well as premature convergence. The proposed intrusion detection system processes large data sets on commodity hardware. The experimental results on a real intrusion data set demonstrate that the proposed intrusion detection system scales very well with increasing data set sizes. Moreover, it achieves close to the linear speedup by improving the intrusion detection and false alarm rates.",,978-1-4799-0453-2,978-1-4799-0452-5,10.1109/CEC.2013.6557670,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6557670,,Clustering algorithms;Data models;Intrusion detection;Mathematical model;Particle swarm optimization;Testing;Vectors,computer network security;parallel algorithms;particle swarm optimisation;pattern clustering,MapReduce intrusion detection system;anomaly fragments discover;commodity hardware;computer networks;false alarm rates;initial cluster centroids;large data sets;particle swarm optimization clustering algorithm;premature convergence;sensitivity problem,,2,,20,,,20-23 June 2013,,IEEE,IEEE Conference Publication
Effective discovery of attacks using entropy of packet dynamics,Chan-Kyu Han; Hyoung-Kee Choi,"Sungkyunkwan Univ., Suwon, South Korea","Network, IEEE",20091002,2009,23,5,4,12,"Network-based attacks are so devastating that they have become major threats to network security. Early yet accurate warning of these attacks is critical for both operators and end users. However, neither speed nor accuracy is easy to achieve because both require effective extraction and interpretation of anomalous patterns from overwhelmingly massive, noisy network traffic. The intrusion detection system presented here is designed to assist in diagnosing and identifying network attacks. This IDS is based on the notion of packet dynamics, rather than packet content, as a way to cope with the increasing complexity of attacks. We employ a concept of entropy to measure time-variant packet dynamics and, further, to extrapolate this entropy to detect network attacks. The entropy of network traffic should vary abruptly once the distinct patterns of packet dynamics embedded in attacks appear. The proposed classifier is evaluated by comparing independent statistics derived from five well-known attacks. Our classifier detects those five attacks with high accuracy and does so in a timely manner.",0890-8044,,,10.1109/MNET.2009.5274916,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5274916,,Bandwidth;Computer crime;Entropy;Intrusion detection;Pattern analysis;Protection;Statistical distributions;Statistics;Telecommunication traffic;Traffic control,entropy;security of data;telecommunication security;telecommunication traffic,discovery of attacks;intrusion detection system;network security;network-based attacks;packet dynamics,,1,,20,,,Sep-09,,IEEE,IEEE Journals & Magazine
A Divergence-measure Based Classification Method for Detecting Anomalies in Network Traffic,"Balagani, K.S.; Phoha, V.V.; Kuchimanchi, G.K.","Louisiana Tech Univ., Ruston","Networking, Sensing and Control, 2007 IEEE International Conference on",20070625,2007,,,374,379,"We present 'D-CAD,' a novel divergence-measure based classification method for anomaly detection in network traffic. The D-CAD method identifies anomalies by performing classification on features drawn from software sensors that monitor network traffic. We compare the performance of the D-CAD method with two classifier based anomaly detection methods implemented using supervised Bayesian estimation and supervised maximum-likelihood estimation. Results show that the area under receiver operating characteristic curve (AUC) of the D-CAD method is as high as 0.9524, compared to an AUC value of 0.9102 of the supervised maximum-likelihood estimation based anomaly detection method and to an AUC value of 0.8887 of the supervised Bayesian estimation based anomaly detection method.",,1-4244-1076-2,1-4244-1076-2,10.1109/ICNSC.2007.372808,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4239021,,Bayesian methods;Communication system traffic control;Computer networks;Computer science;Fault detection;Maximum likelihood estimation;Monitoring;Sensor phenomena and characterization;Telecommunication traffic;Testing,Bayes methods;computer network reliability;maximum likelihood estimation;telecommunication traffic,anomaly detection;divergence-measure based classification method;network traffic;software sensors;supervised Bayesian estimation;supervised maximum-likelihood estimation,,0,,28,,,15-17 April 2007,,IEEE,IEEE Conference Publication
Automatic generation of fuzzy classification rules using granulation-based adaptive clustering,"Al-Shammaa, M.; Abbod, M.F.","Dept. of Electron. & Comput. Eng., Brunel Univ., Uxbridge, UK","Systems Conference (SysCon), 2015 9th Annual IEEE International",20150604,2015,,,653,659,"A central problem of fuzzy modelling is the generation of fuzzy rules that fit the data to the highest possible extent. In this study, we present a method for automatic generation of fuzzy rules from data. The main advantage of the proposed method is its ability to perform data clustering without the requirement of predefining any parameters including number of clusters. The proposed method creates data clusters at different levels of granulation and selects the best clustering results based on some measures. The proposed method involves merging clusters into new clusters that have a coarser granulation. To evaluate performance of the proposed method, three different datasets are used to compare performance of the proposed method to other classifiers: SVM classifier, FCM fuzzy classifier, subtractive clustering fuzzy classifier. Results show that the proposed method has better classification results than other classifiers for all the datasets used.",,,,10.1109/SYSCON.2015.7116825,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7116825,Fuzzy systems;data classification;data clustering;granular computing,Accuracy;Clustering algorithms;Computational modeling;Data models;Input variables;Merging;Support vector machines,fuzzy set theory;pattern classification;pattern clustering,FCM fuzzy classifier;SVM classifier;automatic generation;coarser granulation;data clustering;fuzzy classification rules;fuzzy modelling;granulation-based adaptive clustering;subtractive clustering fuzzy classifier,,0,,20,,,13-16 April 2015,,IEEE,IEEE Conference Publication
Distributed Denial of Service detection using hybrid machine learning technique,"Barati, M.; Abdullah, A.; Udzir, N.I.; Mahmod, R.; Mustapha, N.","Fac. of Comput. Sci. & Inf. Technol., Univ. Putra Malaysia, Serdang, Malaysia","Biometrics and Security Technologies (ISBAST), 2014 International Symposium on",20150119,2014,,,268,273,"Distributed Denial of Service (DDoS) is a major threat among many security issues. To overcome this problem, many studies have been carried out by researchers, however due to inefficiency of their techniques in terms of accuracy and computational cost, proposing an efficient method to detect DDoS attack is still a hot topic in research. Current paper proposes architecture of a detection system for DDoS attack. Genetic Algorithm (GA) and Artificial Neural Network (ANN) are deployed for feature selection and attack detection respectively in our hybrid method. Wrapper method using GA is deployed to select the most efficient features and then DDoS attack detection rate is improved by applying Multi-Layer Perceptron (MLP) of ANN. Results demonstrate that the proposed method is able to detect DDoS attack with high accuracy and deniable False Alarm.",,978-1-4799-6443-7,,10.1109/ISBAST.2014.7013133,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7013133,Distributed DoS Attack;IDS;Machine Learning,Accuracy;Artificial neural networks;Biological cells;Computer crime;Feature extraction;Genetic algorithms,computer network security;feature selection;genetic algorithms;learning (artificial intelligence);multilayer perceptrons,ANN;DDoS attack detection system;GA;MLP;Wrapper method;artificial neural network;deniable false alarm;distributed denial of service detection;feature selection;genetic algorithm;hybrid machine learning;hybrid method;multilayer perceptron,,0,,20,,,26-27 Aug. 2014,,IEEE,IEEE Conference Publication
Securing IP-Multimedia Subsystem (IMS) against Anomalous Message Exploits by Using Machine Learning Algorithms,"Rafique, M.Z.; Khan, Z.S.; Khan, M.K.; Alghatbar, K.","Center of Excellence in Inf. Assurance (CoEIA), King Saud Univ., Riyadh, Saudi Arabia","Information Technology: New Generations (ITNG), 2011 Eighth International Conference on",20110711,2011,,,559,563,"Modern communication infrastructure (IP Multimedia Subsystem (IMS) and Voice over IP (VoIP)) are vulnerable to zero day attacks and unknown threats. Anomalous SIP requests can be used to remotely launch malicious activity. Furthermore, anomalous messages are capable of crashing - sometimes with one message only - servers and end points. Recently, it is shown that a malicious SIP message INVITE of Death crash a server or gain unfettered access to it. In contrast, little research is done to protect IMS against such anomalous messages. In this paper, we propose an anomalous message detection framework that extracts novel syntactical features from SIP messages at the P-CSCF of an IMS. Our framework operates in four steps: (1) analyzes the byte-level distribution of SIP message, (2) extracts spatial features from IMS messages in form of byte transition probabilities, (3) uses well-known feature selection scheme to remove redundancy in the features set, and (4) uses standard machine learning algorithms to raise the final alarm. The benefit of our framework is that it is lightweight requiring less processing and memory resources and provides high detection accuracy. We have evaluated our system on a real-world IMS dataset consisting of more than 10, 000 benign and malicious SIP messages. The results of our experiments demonstrate that using machine learning algorithms, our framework achieves detection accuracy of more than 99%. Last but not least, its testing time is 152 seconds per packet, as a result, it can be easily deployed on IMS core.",,978-1-61284-427-5,978-0-7695-4367-3,10.1109/ITNG.2011.102,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5945297,IMS Security;INVITE of Death;Machine Learning;SIP Security;VoIP Security,Accuracy;Feature extraction;Machine learning algorithms;Protocols;Security;Servers;Testing,Internet telephony;learning (artificial intelligence);multimedia communication;security of data;signalling protocols,IP-multimedia subsystem;P-CSCF;SIP;Voice over IP;anomalous message;byte-level distribution;feature extraction;machine learning;malicious activity;proxy call state control function,,0,,29,,,11-13 April 2011,,IEEE,IEEE Conference Publication
A Framework for Monitoring SIP Enterprise Networks,"Nassar, M.; State, R.; Festor, O.","INRIA Res. Center, Nancy - Grand Est, Villers-Le&#x0300;s-Nancy, France","Network and System Security (NSS), 2010 4th International Conference on",20101115,2010,,,1,8,"In this paper we aim to enable security within SIP enterprise domains by providing monitoring capabilities at three levels: the network traffic, the server logs and the billing records. We propose an anomaly detection approach based on appropriate feature extraction and one-class Support Vector Machines (SVM). We propose methods for anomaly/attack type classification and attack source identification. Our approach is validated through experiments on a controlled test-bed using a customized normal traffic generation model and synthesized attacks. The results show promising performances in terms of accuracy, efficiency and usability.",,978-1-4244-8484-3,978-0-7695-4159-4,10.1109/NSS.2010.79,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5636154,Anomaly detection;DoS;SIP;SPIT;SVM;VoIP,Feature extraction;Media;Monitoring;Protocols;Security;Servers;Support vector machines,computer network security;signalling protocols;support vector machines,SIP enterprise network monitoring;anomaly detection approach;anomaly-attack type classification;attack source identification;billing records;controlled test-bed;feature extraction;network traffic;normal traffic generation model;server logs;support vector machines,,0,,17,,,1-3 Sept. 2010,,IEEE,IEEE Conference Publication
Trusted Detection of Sensitive Activities on Mobile Phones Using Power Consumption Measurements,"Guri, M.; Kedma, G.; Zadov, B.; Elovici, Y.","Dept. of Inf. Syst. Eng., Ben-Gurion Univ., Beer-Sheva, Israel","Intelligence and Security Informatics Conference (JISIC), 2014 IEEE Joint",20141206,2014,,,145,151,"The unprecedented popularity of modern mobile phones has made them a lucrative target for skillful and motivated offenders. A typical mobile phone is packed with sensors, which can be turned on silently by a malicious program, providing invaluable information to the attacker. Detecting such hidden activities through software monitors can be blindfolded and bypassed by rootkits and by anti-forensic methods applied by the malicious program. Moreover, detecting power consumption by software running on the mobile phone is susceptible to similar evasive techniques. Consequently, software based detection of hidden malicious activities, particularly the silent activation of sensors, cannot be considered as trusted. In this paper we present a method which detects hidden activities using external measurement of power consumption. The classification model is acquired using machine-learning multi-label classification algorithms. Our method overcomes the inherent weaknesses of software-based monitors, and provides a trusted solution. We describe the measurement setup, and provide detailed evaluation results of the algorithms used. The results obtained so far support the feasibility of our method.",,978-1-4799-6363-8,,10.1109/JISIC.2014.30,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6975566,Machine learning;Mobile phone security;Multi-label classification;Trusted measurement,Battery charge measurement;Global Positioning System;IEEE 802.11 Standards;Mobile handsets;Monitoring;Power demand;Power measurement,learning (artificial intelligence);smart phones;telecommunication security;trusted computing,machine learning multilabel classification algorithms;malicious program;mobile phones;power consumption measurements;sensitive activities;software monitors;trusted detection,,0,,23,,,24-26 Sept. 2014,,IEEE,IEEE Conference Publication
IDS Evaluation Approach Based on MLE-ROC,Hai-hua Liang; Jin-yi Chang; Ke-qing Li,"Dept. of Comput. Sci. & Eng., Changshu Inst. of Technol., Changshu, China","Intelligent Systems (GCIS), 2010 Second WRI Global Congress on",20110204,2010,3,,229,232,"The measures of Intrusion Detection System (IDS) in special threshold-value are derived from the contingency table. ROC curve facilitates to evaluate general performance of Intrusion Detection System (IDS). In practice, ROC convex hull (ROCCH) method which combines techniques from computational geometry is used, but it maximizes the area under the ROC curve (AUC). In order to maximum likelihood estimation of value of AUC, We propose MLE-ROC, a new algorithm depending on monotonic regression.",,978-1-4244-9247-3,,10.1109/GCIS.2010.227,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5709362,IDS;MLEROC;ROCCH;contingency table;monotonic regression,Classification algorithms;Gaussian distribution;Intrusion detection;Machine learning;Machine learning algorithms;Maximum likelihood detection;Maximum likelihood estimation,computational geometry;maximum likelihood estimation;regression analysis;security of data,IDS evaluation approach;MLE-ROC;ROC convex hull method;computational geometry;intrusion detection system;maximum likelihood estimation;monotonic regression,,0,,9,,,16-17 Dec. 2010,,IEEE,IEEE Conference Publication
Ontology-based distributed intrusion detection system,"Abdoli, F.; Kahani, M.","Ferdowsi Univ. of Mashhad, Mashhad, Iran","Computer Conference, 2009. CSICC 2009. 14th International CSI",20091208,2009,,,65,70,"In this paper we discussed about utilizing methods and techniques of semantic web in the Intrusion Detection Systems. To extract semantic relations between computer attacks and intrusions in a Distributed Intrusion Detection System, we use ontology. Protege software is our selected software for building ontology. In addition, we utilized Jena framework to make interaction between MasterAgent and attacks ontology. Our Distributed Intrusion Detection System is a network which contains some IDSagents and a special MasterAgent. MasterAgent contains our proposed attacks ontology. Every time a IDSagent detects an attack or new suspected condition, it sends detection's report for MasterAgent. Therefore, it can extract the semantic relationship among computer attacks and suspected situations in the network with proposed ontology. Finally, the experience shows that the pruposed system reduced the rate of false positive and false negative.",,978-1-4244-4261-4,978-1-4244-4262-1,10.1109/CSICC.2009.5349372,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5349372,Denial of Service attack;Intrusion Detection System;Ontology,Computer crime;Computer networks;Computer security;Data models;Distributed computing;Information security;Intrusion detection;Logic;Ontologies;Semantic Web,distributed processing;ontologies (artificial intelligence);security of data;semantic Web,MasterAgent;attacks ontology;computer attacks;ontology-based distributed intrusion detection system;semantic Web,,0,,27,,,20-21 Oct. 2009,,IEEE,IEEE Conference Publication
