http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.True+Negative.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/20/2015 18:20,"((""True Negative"") AND ""Intrusion Detection System"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
An Effective Back Propagation Neural Network Architecture for the Development of an Efficient Anomaly Based Intrusion Detection System,"Sen, N.; Sen, R.; Chattopadhyay, M.","Dept. of Comput. Applic., Pailan Coll. of Manage. & Technol., Kolkata, India","Computational Intelligence and Communication Networks (CICN), 2014 International Conference on",20150326,2014,,,1052,1056,"The problem of intrusion is gradually becoming nightmare for several organizations. To protect the valuable data of their clients, organizations implement security systems to detect and prevent security breaches. But since the intruders are using sophisticated techniques to penetrate the systems, even the highly reputed secured systems have become vulnerable now. To deal with the current scenario, advanced level of researches are required to be carried out to invent more sophisticated Intrusion Detection System (IDS). Among various methodologies, researchers consider Back Propagation Neural Network (BPNN) as a very effective and popular tool for developing an IDS. In this paper, we have proposed an efficient BPNN architecture for the development of an anomaly based IDS with high accuracy and detection rate. The KDD'99 data set is used in this context to develop the architecture.",,978-1-4799-6928-9,,10.1109/CICN.2014.221,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7065641,Anomaly detection;Artificial neural network;BPNN;Intrusion Detection System;KDD '99 data set;Network security,Accuracy;Artificial intelligence;Artificial neural networks;Intrusion detection;Testing;Training,backpropagation;computer network security;neural nets,BPNN architecture;anomaly based IDS;anomaly based intrusion detection system;back propagation neural network architecture;client data;robust supervised learning neural network;security breach detection;security breach prevention;security system;security vulnerability;valuable data protection,,0,,25,,,14-16 Nov. 2014,,IEEE,IEEE Conference Publications
Efficient Intrusion Detection System Using Stream Data Mining Classification Technique,"Desale, K.S.; Kumathekar, C.N.; Chavan, A.P.","DYPSOEA, Pune, India","Computing Communication Control and Automation (ICCUBEA), 2015 International Conference on",20150716,2015,,,469,473,"Recent emerging growth of data created so many challenges in data mining. Data mining is the process of extracting valid, previously known & comprehensive datasets for the future decision making. As the improved technology by World Wide Web the streaming data come into picture with its challenges. The data which change with time & update its value is known as streaming data. As the most of the data is streaming in nature, there are so many challenges need to face in the sense of security perspective. Intrusion Detection System (IDS) works in the supposition of detecting the intruders to protect the respective system. The research in data stream mining & Intrusion detection system gained high attraction due to the importance of system's safety measure. Algorithms, systems & frameworks that address security challenges have been developed over the past years. In this paper, we present the mechanism to improve the efficiency of the IDS using streaming data mining technique. We apply four selected stream data classification algorithms on NSL-KDD datasets and compare their results. Based on the comparative analysis of their results best method is found out for efficiency improvement of IDS.",,,,10.1109/ICCUBEA.2015.98,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7155891,Hoeffding;intrusion detecting system;naive bayes;stream data classification;streaming data,Accuracy;Algorithm design and analysis;Classification algorithms;Computer architecture;Data mining;Intrusion detection;Prediction algorithms,data mining;decision making;pattern classification;security of data,IDS;NSL-KDD datasets;World Wide Web;decision making;intrusion detection system;stream data mining classification technique;system safety measure,,0,,18,,,26-27 Feb. 2015,,IEEE,IEEE Conference Publications
A Multi-core Supported Intrusion Detection System,Tian Daxin; Xiang Yang,"Sch. of Comput. Sci. & Technol., Tianjin Univ., Tianjin","Network and Parallel Computing, 2008. NPC 2008. IFIP International Conference on",20081031,2008,,,50,55,"Integrated multi-core processors with on-chip application acceleration have established themselves as the most efficient method of powering next-generation networking platforms. New research has been conducted for addressing the issues of multi-core supported network and system security. This paper put forward an asymmetrical multiprocessing architecture multi-core supported anomaly intrusion detection system. The key idea is to use an independent core to run the intrusion detection system to monitor the host system. The detection method is based on the Hebb rule and uses libpcap to grab the network transmission packages. In the experiments, we use VMware which is configured to run the Ubuntu to simulate the IDS core. The results show that when the intrusion threshold is 0.3-0.5 the system performs best.",,978-0-7695-3354-4,,10.1109/NPC.2008.19,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4663303,Intrusion Detection System;Multi-core;Network Security,Acceleration;Authentication;Computer architecture;Cryptography;Data security;Information security;Intrusion detection;Monitoring;Multicore processing;Protection,microprocessor chips;multiprocessing systems;security of data,Hebb rule;VMware;asymmetrical multiprocessing architecture;integrated multicore processor;libpcap;multicore supported intrusion detection system;network transmission package;on-chip application acceleration;system security,,1,,16,,,18-21 Oct. 2008,,IEEE,IEEE Conference Publications
Performance Evaluation of a Collaborative Intrusion Detection System,Chunfu Jia; Deqiang Chen,"Coll. of Inf. Technol. & Sci., Nankai Univ., Tianjin, China","Natural Computation, 2009. ICNC '09. Fifth International Conference on",20091228,2009,6,,409,413,"There are two technologies in intrusion detection systems: misuse detection and anomaly detection. Both misuse detection and anomaly detection have advantages and disadvantages. At present, the intrusion detection system is developed by using these two technologies in conjunction with one another, but there is not an effective method to evaluate the intrusion detection systems collaborative detection's performance. It is necessary to analyze it by establishing a strictly mathematical assessment equation. Considering the information theory method to analysis this problem, the intrusion detection capability can be used to analysis and evaluation. By contrast two intrusion detection systems, it turns out, the system that based on misuse and anomaly collaborative detection has the better detection effects.",,978-0-7695-3736-8,,10.1109/ICNC.2009.698,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5363731,IDS;anomaly detection;collaborative detection;intrusion detection capability;misuse detection,Bayesian methods;Collaboration;Costs;Databases;Detectors;Educational institutions;Equations;Information analysis;Information technology;Intrusion detection,information theory;security of data;software performance evaluation,anomaly collaborative detection;anomaly detection;collaborative intrusion detection system;information theory;mathematical assessment equation;misuse detection;performance evaluation,,0,,13,,,14-16 Aug. 2009,,IEEE,IEEE Conference Publications
Implementation of network intrusion detection system using variant of decision tree algorithm,"Relan, N.G.; Patil, D.R.","Dept. of Comput. Eng., R.C. Patel Inst. of Technol., Shirpur, India","Nascent Technologies in the Engineering Field (ICNTE), 2015 International Conference on",20150205,2015,,,1,5,"As the need of internet is increasing day by day, the significance of security is also increasing. The enormous usage of internet has greatly affected the security of the system. Hackers do monitor the system minutely or keenly, therefore the security of the network is under observation. A conventional intrusion detection technology indicates more limitation like low detection rate, high false alarm rate and so on. Performance of the classifier is an essential concern in terms of its effectiveness; also number of feature to be examined by the IDS should be improved. In our work, we have proposed two techniques, C4.5 Decision tree algorithm and C4.5 Decision tree with Pruning, using feature selection. In C4.5 Decision tree with pruning we have considered only discrete value attributes for classification. We have used KDDCup'99 and NSL_KDD dataset to train and test the classifier. The Experimental Result shows that, C4.5 decision tree with pruning approach is giving better results with all most 98% of accuracy.",,978-1-4799-7261-6,,10.1109/ICNTE.2015.7029925,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7029925,Accuracy etc.;Classification Algorithms;False Negative (FN);False Positive (FP);IDS;KDD;NSL_KDD;Pruning;True Negative(TN);True positive (TP),Accuracy;Classification algorithms;Data mining;Decision trees;Intrusion detection;Testing;Training,decision trees;security of data,C4.5 decision tree algorithm;C4.5 decision tree with pruning;KDDCup'99;NSL_KDD dataset;discrete value attributes;feature selection;network intrusion detection system,,0,,8,,,9-10 Jan. 2015,,IEEE,IEEE Conference Publications
Dynamic intrusion detection system based on feature extraction and multidimensional hidden Markov model analysis,"Chang-Lung Tsai; Chang, A.Y.; Chun-Jung Chen; Wen-Jieh Yu; Ling-Hong Chen","Dept. of Comput. Sci., Chinese Culture Univ., Taipei, Taiwan","Security Technology, 2009. 43rd Annual 2009 International Carnahan Conference on",20091113,2009,,,85,88,"In this paper, a novel intrusion detection system based on diversity timing factor, combining the characteristic of dynamic and static adaption, sniffing from multi-stage and analyzing with multi-dimensional hidden Markov model has been proposed. In the proposed mechanism, detection, expert, and console modules are developed. In which, the detection module is deployed with numbers of independent sensors on each node/device of the network. This module not only takes the responsibility to detect and collect all of the desired information on each different timing period and stage, but also denotes specific weighting function to indicate the significance of possible influence and tune the value according to the frequency and times of the occurrence of security events on each collected data. All of the collected audit data and detected normal/abnormal signals will be transferred to the database of the expert module for further integrated evaluation on those multiple observing factors and processed with synthetic information and associative events analysis based on hidden Markov model algorithm on multidimensional. After then, the fuzzy inferring rule is applied for intrusion recognition and identification. The console module is assigned to manage the performance of the system, control all of the sensors for monitoring security events and generate alerts and offer periodically reports and present proposals for taking suitable response and making optimal decision. Experimental results demonstrate that the proposed IDS mechanism possesses good efficiency and performance.",,978-1-4244-4169-3,978-1-4244-4170-9,10.1109/CCST.2009.5335559,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5335559,feature extraction;hidden Markov model;information security;intrusion detection system;network hacking,Diversity reception;Event detection;Feature extraction;Frequency;Hidden Markov models;Information security;Intrusion detection;Multidimensional systems;Sensor phenomena and characterization;Timing,Markov processes;feature extraction;fuzzy reasoning;security of data,associative events analysis;diversity timing factor;dynamic intrusion detection system;feature extraction;fuzzy inferring rule;independent sensors;information security;multidimensional hidden Markov model analysis;network hacking;security event monitoring;specific weighting function,,0,,5,,,5-8 Oct. 2009,,IEEE,IEEE Conference Publications
Collaborative architecture for distributed intrusion detection system,"Zaman, S.; Karray, F.","Dept. of Electr. & Comput. Eng., Univ. of Waterloo, Waterloo, ON, Canada","Computational Intelligence for Security and Defense Applications, 2009. CISDA 2009. IEEE Symposium on",20091218,2009,,,1,7,"Due to the rapid growth of network technologies and substantial improvement in attack tools and techniques, a distributed intrusion detection system (dIDS) is required to allocate multiple IDSs across a network to monitor security events and to collect data. However, dIDS architectures suffer from many limitations such as the lack of a central analyzer and a heavy network load. In this paper, we propose a new architecture for dIDS, called a collaborative architecture for dIDS (C-dIDS), to overcome these limitations. The C-dIDS contains one-level hierarchy dIDS with a non-central analyzer. To make the detection decision for a specific IDS module in the system, this IDS module needs to collaborate with the IDS in the lower level of the hierarchy. Cooperating with lower level IDS module improves the system accuracy with less network load (just one bit of information). Moreover, by using one hierarchy level, there is no central management and processing of data so there is no chance for a single point of failure. We have examined the feasibility of our dIDS architecture by conducting several experiments using the DARPA dataset. The experimental results indicate that the proposed architecture can deliver satisfactory system performance with less network load.",,978-1-4244-3763-4,978-1-4244-3764-1,10.1109/CISDA.2009.5356567,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5356567,,Collaboration;Computational intelligence;Computer architecture;Computer hacking;Computer networks;Data analysis;Information analysis;Information systems;Intrusion detection;Performance analysis,security of data,DARPA dataset;attack tools;collaborative architecture;distributed intrusion detection system;network technologies;noncentral analyzer;one-level hierarchy dIDS;security,,3,,31,,,8-10 July 2009,,IEEE,IEEE Conference Publications
Increasing performance Of intrusion detection system using neural network,"Kumar, S.; Yadav, A.","Dept. of Electr. Eng., Nat. Inst. of Technol., Raipur, India","Advanced Communication Control and Computing Technologies (ICACCCT), 2014 International Conference on",20150126,2014,,,546,550,"Rapid growth in Internet and in parallel attacks, vulnerability and threats, has made intrusion detection systems very essential component in all parts of security infrastructure. Building IDS is not a new task, classical signature based IDS are used but they are unable to handle novel attacks. In this paper artificial neural network based intrusion detection is proposed for complete KDD cup 99 dataset. Performance of the proposed ANN based IDS system is evaluated and results shows high anomaly detection accuracy for the complete KDD cup 99 dataset as compared to existing techniques.",,978-1-4799-3913-8,,10.1109/ICACCCT.2014.7019145,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7019145,ANN;Intrusion Detection System;KDD99 dataset,Accuracy;Artificial neural networks;Network topology;Probes;Servers;Spread spectrum communication;Topology,neural nets;security of data,ANN based IDS system;Internet;artificial neural network based intrusion detection system;complete KDD cup 99 dataset;neural network;parallel attacks;security infrastructure,,1,,11,,,8-10 May 2014,,IEEE,IEEE Conference Publications
Hybrid of rough set theory and Artificial Immune Recognition System as a solution to decrease false alarm rate in intrusion detection system,"Sabri, F.N.M.; Norwawi, N.M.; Seman, K.","Fac. of Sci. & Technol, Univ. Sains, Nilai, Malaysia","Information Assurance and Security (IAS), 2011 7th International Conference on",20120105,2011,,,134,138,"Denial of Service (DoS) attacks is one of the security threats for computer systems and applications. It usually make use of software bugs to crash or freeze a service or network resource or bandwidth limits by making use of a flood attack to saturate all bandwidth. Predicting a potential DOS attacks would be very helpful for an IT departments or managements to optimize the security of intrusion detection system (IDS). Nowadays, false alarm rates and accuracy become the main subject to be addressed in measuring the effectiveness of IDS. Thus, the purpose of this work is to search the classifier that is capable to reduce the false alarm rates and increase the accuracy of the detection system. This study applied Artificial Immune System (AIS) in IDS. However, this study has been improved by using integration of rough set theory (RST) with Artificial Immune Recognition System 1 (AIRS1) algorithm, (Rough-AIRS1) to categorize the DoS samples. RST is expected to be able to reduce the redundant features from huge amount of data that is capable to increase the performance of the classification. Furthermore, AIS is an incremental learning approach that will minimize duplications of cases in a knowledge based. It will be efficient in terms of memory storage and searching for similarities in Intrusion Detection (IDS) attacks patterns. This study use NSL-KDD 20% train dataset to test the classifiers. Then, the performances are compared with single AIRS1 and J48 algorithm. Results from these experiments show that Rough-AIRS1 has lower number of false alarm rate compared to single AIRS but a little bit higher than J48. However, accuracy for this hybrid technique is slightly lower compared to others.",,978-1-4577-2154-0,,10.1109/ISIAS.2011.6122808,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6122808,Intrusion detection system;accuracy;artificial immune recognition system;false alarm rate;rough set theory,Accuracy;Data mining;Immune system;Intrusion detection;Testing;Training,artificial immune systems;computer crime;learning (artificial intelligence);pattern classification;program debugging;rough set theory,AIRS1 algorithm;AIS;DOS attack;IT department;J48 algorithm;NSL-KDD;Rough-AIRS 1;artificial immune recognition system;artificial immune system;denial of service attack;false alarm rate;flood attack;incremental learning approach;intrusion detection system;memory storage;redundant feature;rough set theory;security threat;software bug,,0,,15,,,5-8 Dec. 2011,,IEEE,IEEE Conference Publications
Network intrusion detection system using J48 Decision Tree,"Sahu, S.; Mehtre, B.M.","Sch. of Comput. & Inf. Sci., Univ. of Hyderabad, Hyderabad, India","Advances in Computing, Communications and Informatics (ICACCI), 2015 International Conference on",20150928,2015,,,2023,2026,"As the number of cyber attacks have increased, detecting the intrusion in networks become a very tough job. For network intrusion detection system (NIDS), many data mining and machine learning techniques are used. However, for evaluation, most of the researchers used KDD Cup 99 data set, which has widely criticized for not showing current network situation. In this paper we used a new labelled network dataset, called Kyoto 2006+ dataset. In Kyoto 2006+ data set, every instant is labelled as normal (no attack), attack (known attack) and unknown attack. We use Decision Tree (J48) algorithm to classify the network packet that can be used for NIDS. For training and testing we used 134665 network instances. The generated rules works with 97.2% correctness for detecting the connection i.e., no attack, known attack or unknown attack.",,978-1-4799-8790-0,,10.1109/ICACCI.2015.7275914,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7275914,Data Mining;Decision tree;Intrusion Detection System;J48 algorithm;Kyoto data set,Accuracy;Data mining;Decision trees;Feature extraction;Intrusion detection;Machine learning algorithms;Support vector machines,decision trees;learning (artificial intelligence);pattern classification;security of data,J48 decision tree algorithm;KDD Cup 99 dataset;Kyoto 2006+ dataset;cyber attacks;data mining technique;machine learning technique;network intrusion detection system;network packet classification,,,,,,,10-13 Aug. 2015,,IEEE,IEEE Conference Publications
