http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28.QT.True+Positive.QT.%29+OR+.QT.Detection+Rate.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/20/2015 18:17,"(((""True Positive"") OR ""Detection Rate"") AND ""Intrusion Detection System"")",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Improving Classification Accuracy of Intrusion Detection System Using Feature Subset Selection,"Bahl, S.; Sharma, S.K.","Comput. Sci. & Eng., KIIT Coll. of Eng., Gurgaon, India","Advanced Computing & Communication Technologies (ACCT), 2015 Fifth International Conference on",20150406,2015,,,431,436,"Intrusion detection system (IDS) research field has grown tremendously in the past decade. Improving the detection rate of user to root (U2R) attack class is an open research problem. Current IDS uses all data features to detect intrusions. Some of the features may be redundant to the detection process. The purpose of this empirical study is to identify the important features to improve the detection rate and reduce the false detection rate. The investigated feature subset selection techniques improve the overall accuracy, detection rate of U2R attack class and also reduce the computational cost. The empirical results have shown a noticeable improvement in detection rate of U2R attack class with feature subset selection techniques.",,978-1-4799-8487-9,,10.1109/ACCT.2015.137,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7079122,Feature subset selection;Intrusion detection system;classification;pre-processing,Accuracy;Feature extraction;Intrusion detection;Probes;Search methods;Testing;Training,pattern classification;security of data,IDS;U2R attack class;classification accuracy;data features;false detection rate;feature subset selection;intrusion detection system;user to root attack class,,0,,16,,,21-22 Feb. 2015,,IEEE,IEEE Conference Publications,,
Design an anomaly based fuzzy intrusion detection system for packet dropping attack in mobile ad hoc networks,"Chaudhary, A.; Tiwari, V.N.; Kumar, A.","Manipal Univ. Jaipur (MUJ), Jaipur, India","Advance Computing Conference (IACC), 2014 IEEE International",20140327,2014,,,256,261,"Due to the advancement in communication technologies, mobile ad hoc network increases the ability in terms of ad hoc communication between the mobile nodes. Mobile ad hoc networks do not use any predefined infrastructure during the communication so that all the present mobile nodes which are want to communicate with each other immediately form the topology and initiates the request for data packets to send or receive. In terms of security perspectives, communication via wireless links makes mobile ad hoc networks more vulnerable to attacks because any one can join and move the networks at any time. Particularly, in mobile ad hoc networks one of very common attack is packet dropping attack through the malicious node (s). This paper developed an anomaly based fuzzy intrusion detection system to detect the packet dropping attack from mobile ad hoc networks and this proposed solution also save the resources of mobile nodes in respect to remove the malicious nodes. For implementation point of view, qualnet simulator 6.1 and sugeno-type fuzzy inference system are used to make the fuzzy rule base for analyzing the results. From the simulation results it's proved that proposed system is more capable to detect the packet dropping attack with high positive rate and low false positive under each level (low, medium and high) of speed of mobile nodes.",,978-1-4799-2571-1,,10.1109/IAdCC.2014.6779330,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6779330,MANETs security issues;detection methods;fuzzy logic;intrusion detection system (IDS);mobile ad hoc networks (MANETs);packet dropping attack,Fuzzy logic;Intrusion detection;Mobile ad hoc networks;Mobile computing;Mobile nodes,fuzzy logic;fuzzy reasoning;fuzzy set theory;mobile ad hoc networks;telecommunication network topology;telecommunication security,anomaly based fuzzy intrusion detection system;data packets;fuzzy rule base;malicious nodes;mobile ad hoc networks;mobile nodes;network topology;packet dropping attack;qualnet simulator 6.1;sugeno-type fuzzy inference system;wireless communication,,0,,16,,,21-22 Feb. 2014,,IEEE,IEEE Conference Publications,,
Detection rate analysis for user to root attack class using correlation feature selection,"Bahl, S.; Sharma, S.K.","SET, Ansal Univ., Gurgaon, India","Computing, Communication & Automation (ICCCA), 2015 International Conference on",20150706,2015,,,66,71,"Intrusion detection system (IDS) research field has grown tremendously in the past decade. Improving the detection rate of user to root (U2R) attack classes is an open research problem. Current IDS uses all data features to detect intrusions. Some of the features may be redundant to the detection process. The purpose of this empirical study is to identify important features to improve the detection rate of U2R attack class. The investigated correlation feature selection improved the overall accuracy, detection rate of U2R attack. The empirical results have given a noticeable improvement in detection rate of U2R.",,978-1-4799-8889-1,,10.1109/CCAA.2015.7148345,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7148345,Classification;Intrusion detection system;correlation feature selection;filter;wrapper,Accuracy;Automation;Correlation;Feature extraction;Search methods;Testing;Training,correlation methods;feature selection;security of data,IDS research field;U2R attack classes;correlation feature selection;detection rate analysis;intrusion detection system research field;open research problem;user to root attack classes,,0,,19,,,15-16 May 2015,,IEEE,IEEE Conference Publications,,
An Effective Back Propagation Neural Network Architecture for the Development of an Efficient Anomaly Based Intrusion Detection System,"Sen, N.; Sen, R.; Chattopadhyay, M.","Dept. of Comput. Applic., Pailan Coll. of Manage. & Technol., Kolkata, India","Computational Intelligence and Communication Networks (CICN), 2014 International Conference on",20150326,2014,,,1052,1056,"The problem of intrusion is gradually becoming nightmare for several organizations. To protect the valuable data of their clients, organizations implement security systems to detect and prevent security breaches. But since the intruders are using sophisticated techniques to penetrate the systems, even the highly reputed secured systems have become vulnerable now. To deal with the current scenario, advanced level of researches are required to be carried out to invent more sophisticated Intrusion Detection System (IDS). Among various methodologies, researchers consider Back Propagation Neural Network (BPNN) as a very effective and popular tool for developing an IDS. In this paper, we have proposed an efficient BPNN architecture for the development of an anomaly based IDS with high accuracy and detection rate. The KDD'99 data set is used in this context to develop the architecture.",,978-1-4799-6928-9,,10.1109/CICN.2014.221,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7065641,Anomaly detection;Artificial neural network;BPNN;Intrusion Detection System;KDD '99 data set;Network security,Accuracy;Artificial intelligence;Artificial neural networks;Intrusion detection;Testing;Training,backpropagation;computer network security;neural nets,BPNN architecture;anomaly based IDS;anomaly based intrusion detection system;back propagation neural network architecture;client data;robust supervised learning neural network;security breach detection;security breach prevention;security system;security vulnerability;valuable data protection,,0,,25,,,14-16 Nov. 2014,,IEEE,IEEE Conference Publications,,
Real time intrusion detection system for outdoor environment,"Liang, K.M.; Hon, H.W.; Khairunnisa, M.J.; Choong, T.L.; Khairil, H.Z.","Centre for Adv. Inf. & Archit. Dev., MIMOS Berhad, Kuala Lumpur, Malaysia","Computer Applications and Industrial Electronics (ISCAIE), 2012 IEEE Symposium on",20130321,2012,,,147,152,"This paper aims to present the overall architecture of intrusion detection system and its effectiveness in detecting intruder at an outdoor environment. The outdoor environment is exposing to various brightness condition in terms of the weather, day transition, dynamic background of the scene, shadow and the visibility degree of the infrared camera. In this work, the capturing devices and intrusion detection system are setup physically at the pilot site. A thorough evaluation is done for consecutive three days in order to measure the accuracy of the system in detecting intruder throughout the day and night. In addition, the system is evaluated together with a commercial intrusion detection system from Australia as a technology benchmark. The accuracy of the proposed system and benchmark system is illustrated in this paper and the proposed system delivers higher accuracy as compared to the benchmark system.",,978-1-4673-3032-9,,10.1109/ISCAIE.2012.6482086,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6482086,Intrusion detection;outdoor environment;perimeter fencing;system architecture,Accuracy;Benchmark testing;Cameras;Computer architecture;Image color analysis;Intrusion detection;Streaming media,benchmark testing;brightness;cameras;infrared detectors;object detection;real-time systems;safety systems,Australia;brightness condition;day transition;dynamic scene background;infrared camera;outdoor environment;real time intrusion detection system;technology benchmark,,0,,5,,,3-4 Dec. 2012,,IEEE,IEEE Conference Publications,,
A novel intrusion detection system for ad hoc flooding attack using fuzzy logic in mobile ad hoc networks,"Chaudhary, A.; Tiwari, V.; Kumar, A.","Comput. Sci. & Eng., Manipal Univ., Jaipur, India","Recent Advances and Innovations in Engineering (ICRAIE), 2014",20140925,2014,,,1,4,"Mobile ad hoc networks are very prone to internal and external attacks due to its complex properties such as dynamic topologies, no clear line of protection and resource constraints etc. Intrusion detection systems are proved their importance towards security of mobile ad hoc networks. This paper proposed a novel intrusion detection system based on first order of sugeno-type fuzzy inference system for ad hoc flooding attack. The simulation results of proposed intrusion detection system show the good performance in terms of high true positive and low false positive rates.",,978-1-4799-4041-7,,10.1109/ICRAIE.2014.6909148,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6909148,ad hoc flooding attack;fuzzy inference system (FIS);intrusion detection system (IDS);mobile ad hoc networks (MANETs),Ad hoc networks;Antennas;Mobile computing;Monitoring,fuzzy logic;fuzzy reasoning;mobile ad hoc networks;security of data,Sugeno-type fuzzy inference system;ad hoc flooding attack;external attacks;fuzzy logic;high true positive rates;internal attacks;low false positive rates;mobile ad hoc networks;novel intrusion detection system,,0,,8,,,9-11 May 2014,,IEEE,IEEE Conference Publications,,
Building Lightweight Intrusion Detection System Based on Principal Component Analysis and C4.5 Algorithm,You Chen; Lei Dai; Yang Li; Xue-Qi Cheng,"Inst. of Comput. Technol., Chinese Acad. of Sci., Beijing","Advanced Communication Technology, The 9th International Conference on",20070507,2007,3,,2109,2112,"The intrusion detection system deals with huge amount of data which contains irrelevant and redundant features causing slow training and testing process, higher resource consumption as well as poor detection rate. Feature selection, therefore, is an important issue in intrusion detection. An appropriate feature set obtained by feature selection can help to build lightweight intrusion detection system. In this paper, we propose a new hybrid feature selection algorithm based on principal component analysis and C4.5 algorithm to build lightweight intrusion detection system. Our method is able to significantly decrease training and testing times while retaining high detection rates with low false positive rates. We have examined the feasibility of our approach by conducting several experiments using KDD 1999 CUP dataset. The experimental results show that our approach has better performances than those systems listed in the paper in terms of training time, testing time, true positive rate and false positive rate.",1738-9445,978-89-5519-131-8,,10.1109/ICACT.2007.358788,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4195590,,Decision trees;Error analysis;Feature extraction;Information filtering;Information filters;Intrusion detection;Machine learning algorithms;Performance evaluation;Principal component analysis;System testing,feature extraction;principal component analysis;security of data,C4.5 algorithm;KDD 1999 CUP dataset;hybrid feature selection algorithm;lightweight intrusion detection system;principal component analysis,,3,,12,,,12-14 Feb. 2007,,IEEE,IEEE Conference Publications,,
MapReduce intrusion detection system based on a particle swarm optimization clustering algorithm,"Aljarah, I.; Ludwig, S.A.","Dept. of Comput. Sci., North Dakota State Univ., Fargo, ND, USA","Evolutionary Computation (CEC), 2013 IEEE Congress on",20130715,2013,,,955,962,"The increasing volume of data in large networks to be analyzed imposes new challenges to an intrusion detection system. Since data in computer networks is growing rapidly, the analysis of these large amounts of data to discover anomaly fragments has to be done within a reasonable amount of time. Some of the past and current intrusion detection systems are based on a clustering approach. However, in order to cope with the increasing amount of data, new parallel methods need to be developed in order to make the algorithms scalable. In this paper, we propose an intrusion detection system based on a parallel particle swarm optimization clustering algorithm using the MapReduce methodology. The use of particle swarm optimization for the clustering task is a very efficient way since particle swarm optimization avoids the sensitivity problem of initial cluster centroids as well as premature convergence. The proposed intrusion detection system processes large data sets on commodity hardware. The experimental results on a real intrusion data set demonstrate that the proposed intrusion detection system scales very well with increasing data set sizes. Moreover, it achieves close to the linear speedup by improving the intrusion detection and false alarm rates.",,978-1-4799-0453-2,978-1-4799-0452-5,10.1109/CEC.2013.6557670,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6557670,,Clustering algorithms;Data models;Intrusion detection;Mathematical model;Particle swarm optimization;Testing;Vectors,computer network security;parallel algorithms;particle swarm optimisation;pattern clustering,MapReduce intrusion detection system;anomaly fragments discover;commodity hardware;computer networks;false alarm rates;initial cluster centroids;large data sets;particle swarm optimization clustering algorithm;premature convergence;sensitivity problem,,2,,20,,,20-23 June 2013,,IEEE,IEEE Conference Publications,,
A fuzzy Intrusion Detection System based on categorization of attacks,"Varshovi, A.; Rostamipour, M.; Sadeghiyan, B.","Dept. of Comput. Eng. & Inf. Technol., Amirkabir Univ. of Technol., Tehran, Iran","Information and Knowledge Technology (IKT), 2014 6th Conference on",20150205,2014,,,50,55,"Intrusion Detection Systems (IDS) play a key role in defence against variety of cyber attacks in computer systems and network environments. However, modern DoS attacks that blend normal and malicious network traffic, significantly increase the rate of false alarms, hence challenge the effectiveness of IDS. In this paper, we propose a fuzzy IDS to address the uncertainty problem in distinguishing between normal and malicious network traffic. The proposed fuzzy detection engine implements a taxonomy of DoS attacks in a decision-tree structure, to combine expert knowledge and machine intelligence. The introduction of fuzziness in misuse patterns makes it possible to focus on category of attacks rather than crisp attack thresholds which are easily bypassed by slight variations in attack methods. On the other hand, our approach is different from anomaly detection, since our defined categories are more detailed than just normal and abnormal. The proposed system is tested experimentally against KDD Cup 99 intrusion detection dataset. Comparing to other related works, our system exhibited a detection rate of 99.91%,while only produced around 1600 false alarms in more than 5 million test sessions, against DoS flooding attacks, where just a reduced number of features employed.",,978-1-4799-5658-6,,10.1109/IKT.2014.7030332,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7030332,Classification;Denial of Service;Fuzzy Intrusion Detection;Network Security;Taxonomy,Protocols;Taxonomy,computer network security;decision trees;fuzzy set theory;telecommunication traffic,DoS flooding attacks;KDD Cup 99 intrusion detection dataset;attacks categorization;computer systems;cyber attacks;decision-tree structure;expert knowledge;fuzzy IDS;fuzzy detection engine;fuzzy intrusion detection system;machine intelligence;malicious network traffic;misuse patterns;modern DoS attacks;network environments;normal network traffic;uncertainty problem,,0,,18,,,27-29 May 2014,,IEEE,IEEE Conference Publications,,
Toward Building Lightweight Intrusion Detection System Through Modified RMHC and SVM,You Chen; Wen-Fa Li; Xue-Qi Cheng,"Chinese Acad. of Sci., Shanghai","Networks, 2007. ICON 2007. 15th IEEE International Conference on",20080128,2007,,,83,88,"Feature selection attracted much interest from researchers in many fields such as network security, pattern recognition and data mining. In this paper, we present a wrapper-based feature selection algorithm aiming at modeling lightweight intrusion detection system (IDS) by (1) using modified random mutation hill climbing (MRMHC) as search strategy to specify a candidate subset for evaluation; (2) using support vector machines (SVMs) as wrapper approach to obtain the optimum feature subset. We have examined the feasibility of our feature selection algorithm by conducting several experiments on KDD 1999 intrusion detection dataset which was categorized as DOS, PROBE, R2L and U2R. The experimental results show that our approach is able not only to speed up the process of selecting important features but also to guarantee high detection rates. Furthermore, our experiments indicate that intrusion detection system with a combination of our proposed approach has smaller computational resources than that with GA-SVM which is a popular feature selection algorithm in the field.",1556-6463,978-1-4244-1230-3,978-1-4244-1230-3,10.1109/ICON.2007.4444066,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4444066,,Accuracy;Computational complexity;Computers;Filters;Genetic algorithms;Intrusion detection;Machine learning algorithms;Optimization methods;Support vector machine classification;Support vector machines,feature extraction;random processes;search problems;security of data;support vector machines,SVM;data mining;lightweight intrusion detection system;modified random mutation hill climbing;network security;pattern recognition;search strategy;support vector machine;wrapper-based feature selection,,0,,13,,,19-21 Nov. 2007,,IEEE,IEEE Conference Publications,,
