http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28.QT.Computational+time.QT.%29+OR+.QT.Execution+time.QT.%29+OR+.QT.running+time.QT.%29+AND+.QT.Intrusion+detection+system.QT.%29,11/22/2015 18:55,"((((""Computational time"") OR ""Execution time"") OR ""running time"") AND ""Intrusion detection system"")",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Anomaly Detection on Intrusion Detection System Using CLIQUE Partitioning,"Nastaiinullah, N.; Adiwijaya; Kurniati, A.P.","Telkom Univ., Bandung, Indonesia","Information and Communication Technology (ICoICT), 2014 2nd International Conference on",20141002,2014,,,7,12,"The development of information and network technology makes network security become important. Intrusion is one of the issues in network security. To prevent intrusion happens, intrusion detection system (IDS) is built. One of IDS category is anomaly detection. This category detects intrusion event based on data profile. Clustering is one way to observe data profile. There are a lot of clustering algorithms proposed for anomaly detection on IDS, but most of them find clusters in the highest dimension of data. CLIQUE Partitioning (CP) is one of the clustering algorithm that can find clusters from the subspace of data. Testing is done to analyze system's performance based on computational time, completeness, and false alarm rate. CP algorithm shows good performance from completeness point of view (94.59%) and false alarm rate (2.54%). From computational time, CP shows good performance based on the amount of tuple, but the performance is not too good from the quantity of feature side.",,,,10.1109/ICoICT.2014.6914031,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6914031,CLIQUE Partitioning;IDS;anomaly detection;cluster;subspace,Cleaning;Clustering algorithms;Data preprocessing;Intrusion detection;Labeling;Partitioning algorithms;Principal component analysis,data mining;pattern clustering;security of data,CLIQUE partitioning;IDS;anomaly detection;clustering algorithm;false alarm rate;intrusion detection system;network security,,0,,17,,,28-30 May 2014,,IEEE,IEEE Conference Publication
Clustering of Snort alerts to identify patterns and reduce analyst workload,"Harang, R.; Guarino, P.","U.S. Army Res. Lab., ICF Int., Adelphi, MD, USA","MILITARY COMMUNICATIONS CONFERENCE, 2012 - MILCOM 2012",20130128,2012,,,1,6,"Pattern-matching intrusion detection system (IDS) tools such as Snort are known to generate an extremely large number of alerts. To address this problem, we present a greedy aggregation algorithm that efficiently reduces multiple alerts by grouping the raw output of IDS tools into `meta-alerts' that contain common information. In contrast to the current thrust of alert aggregation efforts, our approach does not require developing elaborate semantic structures for capturing information, nor creating and maintaining an external database containing information on attack vectors, network topologies, and cause-and-effect relationships. We apply our method to 30 days of Snort alerts, grouped by hour, and observe that we can reduce the number of analyst-visible Snort alerts by up to 99.5%, with an average reduction of approximately 83.2%.",2155-7578,978-1-4673-1729-0,,10.1109/MILCOM.2012.6415777,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6415777,Computer security;Information security;Intrusion detection,Approximation algorithms;IP networks;Indexes;Intrusion detection;Semantics;Sensors;Vectors,greedy algorithms;pattern clustering;pattern matching;security of data,Snort alerts clustering;alert aggregation efforts;analyst workload reduction;attack vectors;cause-and-effect relationships;greedy aggregation algorithm;network topologies;pattern identification;pattern-matching intrusion detection system,,1,,17,,,Oct. 29 2012-Nov. 1 2012,,IEEE,IEEE Conference Publication
Multifocus image fusion based on nonsubsampled contourlet transform,Aili Wang; ChangYan Qi; Yuhui Han; Xusheng Liu,"Higher Educ. Key Lab. for Meas. &amp; Control Technol. &amp; Instrumentations of Heilongjiang, Harbin Univ. of Sci. &amp; Technol., Harbin, China","Strategic Technology (IFOST), 2012 7th International Forum on",20121124,2012,,,1,4,"In recent years, image fusion has become the focus of image processing. For the fusion problems of the multifocus images with the same scence, this paper proposed a new fusion method based on nonsampled contourlet transform(NSCT). Firstly, source images are decomposed in different scales and directions by NSCT, thus the low frequency subband coefficients and the high frequency subband coefficients are obtained. Secondly, for the low frequency subband coefficients, we present a fusion rule based on the local entropy; while for the high frequency subband coefficients, a fusion rule based on the directional contrast combined with the local area energy is applied. Finally, the fused image is obtained through the inverse NSCT. Compared with the fusion method based wavelet and other fusion methods, the experiments show that this approach can achieve better results than them.",,978-1-4673-1772-6,,10.1109/IFOST.2012.6357605,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6357605,directional contrast;image fusion;local area energy;local entropy;nonsubsampled contourlet transform,Entropy;Image fusion;Laser beams;Laser sintering;Laser theory;Standards;Transforms,entropy;image fusion;wavelet transforms,NSCT;directional contrast;fusion method based wavelet method;fusion rule;high frequency subband coefficients;image processing;local area energy;local entropy;low frequency subband coefficients;multifocus image fusion method;nonsubsampled contourlet transform;source image decomposition,,0,,11,,,18-21 Sept. 2012,,IEEE,IEEE Conference Publication
A survey of pattern matching algorithm in intrusion detection system,"Gharaee, Hossein; Seifi, Shokoufeh; Monsefan, Nima","IRAN Telecom Research Center (ITRC) Tehran, Iran","Telecommunications (IST), 2014 7th International Symposium on",20150108,2014,,,946,953,"The most common method of IDS functioning is based on pattern matching which recognizes the vandalism occurring on the network using particular patterns and rules. In order to do so, normal behaviors of the network are modeled and then used as a base pattern for recognizing abnormal behavior of the network. The article, in hand, tries to recognize and choose the best algorithms for this operation by surveying, implementing and also collecting all kinds of pattern matching methods so that the best conclusion is reached during matching known attacks with main patterns. In this paper, to collect all algorithms related to the subject, we investigated the discussion of pattern compatibility operation from different aspects. Another aspect studied in this paper is to determine the indexes for grouping the algorithms, meaning the algorithms were classified based on important indexes which more effect on the performance of pattern compatibility operations.",,978-1-4799-5358-5,,10.1109/ISTEL.2014.7000839,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7000839,intrusion detection systems;pattern matching;search algorithms,Algorithm design and analysis;Classification algorithms;Clustering algorithms;Indexes;Intrusion detection;Pattern matching;Time complexity,,,,0,,37,,,9-11 Sept. 2014,,IEEE,IEEE Conference Publication
Flexible Software-Hardware Network Intrusion Detection System,"Proudfoot, R.; Kent, K.; Aubanel, E.; Nan Chen","Fac. of Comput. Sci., New Brunswick Univ., Fredericton, NB","Rapid System Prototyping, 2008. RSP '08. The 19th IEEE/IFIP International Symposium on",20080627,2008,,,182,188,"Network intrusion detection system (NIDS) demands have been steadily increasing over the past few years. Current solutions using software become inefficient running on high speed high volume networks and will end up dropping packets. Hardware solutions are available and result in much higher efficiency but present problems such as flexibility and cost. Our proposed system uses a modified version of Snort, a robust widely deployed open-sourced NIDS. Snort spends a significant fraction of its processing time doing pattern matching. Our proposed system runs Snort in software until it gets to the pattern matching function and then off loads that processing to the field programmable gate array (FPGA). The hardware is able to process data at up to 1.7 GB/s on one Xilinx XC2VP100 FPGA. Our system is more flexible than other FPGA string matching designs in that the rules are not hard-coded. The design is scalable and allows FPGAs to be used in parallel to increase the processing speed even further.",1074-6005,978-0-7695-3180-9,,10.1109/RSP.2008.11,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4550905,Field Programmable Gate Array;network intrusion detection;pattern matching,Computer science;Field programmable gate arrays;Hardware;Intrusion detection;Niobium;Open source software;Pattern matching;Payloads;Robustness;Software prototyping,field programmable gate arrays;pattern matching;security of data,Xilinx XC2VP100 FPGA;dropping packets;field programmable gate array;flexible software-hardware network intrusion detection system;hardware solutions;pattern matching function,,1,,33,,,2-5 June 2008,,IEEE,IEEE Conference Publication
An intrusion detection system using ideas from the immune system,"de Paula, F.S.; de Castro, L.N.; de Geus, P.L.","Comput. Inst., State Univ. of Campinas, Brazil","Evolutionary Computation, 2004. CEC2004. Congress on",20040903,2004,1,,1059,1066 Vol.1,"This paper proposes an intrusion detection framework and presents a prototype for an intrusion detection system based on it. This framework takes architectural inspiration from the human immune system and brings desirable features to intrusion detection systems, such as automated intrusion recovery, attack signature extraction, and potential to improve behavior-based detection. These features are enabled through intrusion evidence detection. The prototype, called ADENOIDS, is designed to deal with application attacks, extracting signature for remote buffer overflow attacks. The framework and ADENOIDS are described and experimental results are presented.",,0-7803-8515-2,,10.1109/CEC.2004.1330979,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1330979,,Application software;Buffer overflow;Computer security;Computer vision;Humans;Immune system;Informatics;Internet;Intrusion detection;Prototypes,artificial life;authorisation;message authentication;system recovery,ADENOIDS;attack signature extraction;automated intrusion recovery;behavior-based detection;buffer overflow attacks;human immune system;intrusion detection system;intrusion evidence detection,,2,,21,,,19-23 June 2004,,IEEE,IEEE Conference Publication
High Performance Software-Hardware Network Intrusion Detection System,"Proudfoot, R.; Kent, K.; Aubanel, E.; Nan Chen","Univ. of New Brunswick, Fredericton","Field-Programmable Technology, 2007. ICFPT 2007. International Conference on",20080122,2007,,,309,312,"Network intrusion detection systems (NIDS) and quality of service (QoS) demands have been steadily increasing over the past few years. Current solutions using software become inefficient running on high speed high volume networks and will end up dropping packets. Hardware solutions are available and result in much higher efficiency but present problems such as flexibility and cost. Our proposed system uses a modified version of Snort, a robust widely deployed open-sourced NIDS. It has been found that Snort spends at least 30%-60% of its processing time doing pattern matching. Our proposed system runs Snort in software until it gets to the pattern matching function and then offloads that processing to the field programmable gate array (FPGA). The software can then go on to other processing while it waits for the results from the FPGA. The hardware is able to process data at upto 1.7 GB/s on one Xilinx XC2VP100 FPGA. The design is scaleable and will allow for multiple FPGAs to be used in parallel to increase the processing speed even further.",,978-1-4244-1472-7,978-1-4244-1472-7,10.1109/FPT.2007.4439273,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4439273,,Field programmable gate arrays;Hardware;Intrusion detection;Open source software;Pattern matching;Payloads;Performance analysis;Quality of service;Robustness;Software architecture,field programmable gate arrays;hardware-software codesign;pattern matching;quality of service;security of data,Xilinx XC2VP100;field programmable gate array;high speed networks;high volume networks;network intrusion detection system;pattern matching;quality of service;software-hardware system,,2,,23,,,12-14 Dec. 2007,,IEEE,IEEE Conference Publication
A Deterministic Cost-effective String Matching Algorithm for Network Intrusion Detection System,Nen-Fu Huang; Yen-Ming Chu; Chen-Ying Hsieh; Chi-Hung Tsai; Yih-Jou Tzang,"Nat. Tsing-Hua Univ., Hsinchu","Communications, 2007. ICC '07. IEEE International Conference on",20070813,2007,,,1292,1297,"Network intrusion detection systems (NIDS) are more and more important in today's network security for identifying and preventing malicious attacks over the network. This paper proposes a novel and effective string matching algorithm (named ACMS) with advantages of both compact memory and high performance. By employing the characteristics of magic states observed from the deterministic finite state automata, the proposed ACMS significantly reduces the memory requirement without sacrificing high speed no matter it is implemented in software or hardware. The ACMS algorithm also provides high flexibility that it can be tuned to fit specific performance requirement and resource constraints. The experimental results show that the performance of ACMS is over 3.5 times in hardware implementation and 21 times in software implementation better than that of the state-of-the-art studies.",,1-4244-0353-7,,10.1109/ICC.2007.218,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4288889,,Algorithm design and analysis;Communications Society;Computer science;Data structures;Hardware;Inspection;Intrusion detection;Pattern matching;Payloads;Software performance,deterministic automata;finite state machines;security of data;string matching;telecommunication security,deterministic cost-effective string matching algorithm;deterministic finite state automata;magic state algorithm;malicious attack;network intrusion detection system;network security,,1,,17,,,24-28 June 2007,,IEEE,IEEE Conference Publication
A Study of Data Reduction Using Multiset Decision Tables,"Seelam, U.; Chien-Chung Chan","Univ. of Akron, Akron","Granular Computing, 2007. GRC 2007. IEEE International Conference on",20071217,2007,,,362,362,"In rough set theory, observations of objects in a domain of interest are stored in a decision table where each row denoting one object. Objects with same description are duplicated. Duplications may be reduced by using information multisystems, which can be further transformed into multiset decision tables (MDT). In this paper, we have demonstrated the efficacy of MDT when dealing with very large data sets. Experimental results based on the well-known intrusion detection system (IDS) data set show that the size of MDT is only 1/3 of the original decision table when all features are used. It could be further reduced to 1/7 when a set of 7 features is used. We also showed that the running time of generating an MDT is faster than generating a C4.5-like decision tree based on the MS SQL server 2000.",,978-0-7695-3032-1,,10.1109/GrC.2007.90,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4403125,,Classification tree analysis;Computer science;Data analysis;Data mining;Decision trees;File servers;Information systems;Intrusion detection;Set theory;Time measurement,data reduction;decision tables;rough set theory;security of data,C4.5-like decision tree;MS SQL server 2000;data reduction;information multisystems;intrusion detection system;multiset decision tables;rough set theory;very large data sets,,0,,11,,,2-4 Nov. 2007,,IEEE,IEEE Conference Publication
Sketch-based multidimensional IDS: A new approach for network anomaly detection,"Callegari, C.; Casella, A.; Giordano, S.; Pagano, M.; Pepe, T.","Dept. of Inf. Eng., Univ. of Pisa, Pisa, Italy","Communications and Network Security (CNS), 2013 IEEE Conference on",20131212,2013,,,350,358,"The diffusion of technologies for high speed data transmission over the Internet and the growing employment of new multimedia services require fast and effective techniques for the protection against network attacks. In this paper we present a new approach able to detect at the same time different types of network anomalies. It consists in the simultaneous analysis of several traffic descriptors (aggregated through a sketch to guarantee the scalability of the algorithm) by means of a single vectorial algorithm. In terms of ROC curve, the performance of our multidimensional Intrusion Detection System (IDS) are comparable with the separate application of traditional monodimensional IDSs to all traffic parameters, while reducing the computational time of more than 80%.",,,,10.1109/CNS.2013.6682725,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6682725,,Conferences;Data models;Euclidean distance;Kernel;Probability density function;Security;Vectors,Internet;security of data;sensitivity analysis;telecommunication traffic;vectors,Internet;ROC curve;high speed data transmission;multidimensional intrusion detection system;multimedia services;network anomalies;network attacks protection;single vectorial algorithm;sketch-based multidimensional IDS;traffic descriptors;traffic parameters,,1,,21,,,14-16 Oct. 2013,,IEEE,IEEE Conference Publication
