http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28.QT.Monitoring+Interval.QT.%29+OR+.QT.System+monitoring.QT.%29+AND+.QT.Intrusion+detection+system.QT.%29,11/22/2015 18:51,"(((""Monitoring Interval"") OR ""System monitoring"") AND ""Intrusion detection system"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Integrated Security Incident Management -- Concepts and Real-World Experiences,"Metzger, S.; Hommel, W.; Reiser, H.","Leibniz Supercomput. Centre, Munich, Germany","IT Security Incident Management and IT Forensics (IMF), 2011 Sixth International Conference on",20110627,2011,,,107,121,"We present a holistic, process-oriented approach to ISO/IEC 27001 compliant security incident management that integrates multiple state-of-the-art security tools and has been applied to a real-world scenario very successfully for one year so far. The computer security incident response team, CSIRT, is enabled to correlate IT security related events across multiple communication channels and thus to classify any incidents consistently. Depending on an incident's classification, manual intervention or even fully automated reaction steps can be triggered, this starts with simple email notifications of system and network administrators, and scales up to quarantining compromised systems and sub networks automatically. A formally specified security incident response (SIR) process serves as the basis that clearly defines responsibilities, workflows, and interfaces. It has been designed to enable quick reactions to IT security events in a very resource-conserving manner.",,978-1-4577-0146-7,,10.1109/IMF.2011.15,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5931116,ISO/IEC 27001;IT service management;computer security incident response team;intrusion detection;network abuse,Electronic mail;Internet;Intrusion detection;Malware;Monitoring;Postal services,IEC standards;ISO standards;Internet;computer interfaces;computer network security;electronic mail;telecommunication channels,ISO/IEC 27001;IT security related events;classification;computer security incident response team;email notifications;fully automated reaction steps;integrated security incident management;interfaces;manual intervention;multiple communication channels;network administrators;state-of-the-art security tools,,3,,18,,,10-12 May 2011,,IEEE,IEEE Conference Publications
Design an anomaly based fuzzy intrusion detection system for packet dropping attack in mobile ad hoc networks,"Chaudhary, A.; Tiwari, V.N.; Kumar, A.","Manipal Univ. Jaipur (MUJ), Jaipur, India","Advance Computing Conference (IACC), 2014 IEEE International",20140327,2014,,,256,261,"Due to the advancement in communication technologies, mobile ad hoc network increases the ability in terms of ad hoc communication between the mobile nodes. Mobile ad hoc networks do not use any predefined infrastructure during the communication so that all the present mobile nodes which are want to communicate with each other immediately form the topology and initiates the request for data packets to send or receive. In terms of security perspectives, communication via wireless links makes mobile ad hoc networks more vulnerable to attacks because any one can join and move the networks at any time. Particularly, in mobile ad hoc networks one of very common attack is packet dropping attack through the malicious node (s). This paper developed an anomaly based fuzzy intrusion detection system to detect the packet dropping attack from mobile ad hoc networks and this proposed solution also save the resources of mobile nodes in respect to remove the malicious nodes. For implementation point of view, qualnet simulator 6.1 and sugeno-type fuzzy inference system are used to make the fuzzy rule base for analyzing the results. From the simulation results it's proved that proposed system is more capable to detect the packet dropping attack with high positive rate and low false positive under each level (low, medium and high) of speed of mobile nodes.",,978-1-4799-2571-1,,10.1109/IAdCC.2014.6779330,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6779330,MANETs security issues;detection methods;fuzzy logic;intrusion detection system (IDS);mobile ad hoc networks (MANETs);packet dropping attack,Fuzzy logic;Intrusion detection;Mobile ad hoc networks;Mobile computing;Mobile nodes,fuzzy logic;fuzzy reasoning;fuzzy set theory;mobile ad hoc networks;telecommunication network topology;telecommunication security,anomaly based fuzzy intrusion detection system;data packets;fuzzy rule base;malicious nodes;mobile ad hoc networks;mobile nodes;network topology;packet dropping attack;qualnet simulator 6.1;sugeno-type fuzzy inference system;wireless communication,,0,,16,,,21-22 Feb. 2014,,IEEE,IEEE Conference Publications
Host-based intrusion detection system,"Vokorokos, L.; Bala&#x0301;z&#x030C;, A.","Dept. of Comput. & Inf., Tech. Univ. of Kosice, Kos&#x030C;ice, Slovakia","Intelligent Engineering Systems (INES), 2010 14th International Conference on",20100614,2010,,,43,47,"The paper presents intrusion detection system which informs system administrator about potential intrusion incidence in a system. The designed architecture employes statistical method of data evaluation, that allows detection based on the knowledge of user activity deviation in the computer system from learned profile representing standard user behavior.",,978-1-4244-7650-3,,10.1109/INES.2010.5483815,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5483815,,Computer architecture;Computer networks;Control systems;Databases;Hardware;Informatics;Intrusion detection;Statistical analysis;Switches;System buses,,,,4,,7,,,5-7 May 2010,,IEEE,IEEE Conference Publications
Distributed Intrusion Detection System Based on BP Neural Network,Li Hua; Zhao Jianping,"Dept. of Comput., Changchun Univ. of Sci. & Technol., Changchun, China","Computational Intelligence and Software Engineering, 2009. CiSE 2009. International Conference on",20091228,2009,,,1,6,"The central processing units of centralized structure are generally overloaded, and traditional intrusion detection system cannot effectively detect unknown attacks. To overcome the above problems, a distributed intrusion detection system model is established combining neural network with distributed detection in this paper based on the self-learning and adaptive characteristics of neural networks. A simulation experiment is done with Cauchy error estimation for avoiding trapping into local minimum. The result shows that the system can detect most of known attacks and analyze the unknown attacks, which is beneficial to artificial analysis and detection.",,978-1-4244-4507-3,978-1-4244-4507-3,10.1109/CISE.2009.5366211,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5366211,,Artificial neural networks;Biological neural networks;Computational modeling;Computer networks;Distributed computing;Event detection;IP networks;Intrusion detection;Monitoring;Neural networks,backpropagation;distributed processing;neural nets;security of data,BP neural network;Cauchy error estimation;adaptive characteristic;distributed intrusion detection;self-learning characteristic,,0,,5,,,11-13 Dec. 2009,,IEEE,IEEE Conference Publications
Towards a Cellular Automata Based Network Intrusion Detection System with Power Level Metric in Wireless Adhoc Networks (IDFADNWCA),"Sree, P.K.; Ramesh Babu, I.",,"Advanced Computer Theory and Engineering, 2008. ICACTE '08. International Conference on",20090106,2008,,,1071,1075,"Adhoc wireless network with their changing topology and distributed nature are more prone to intruders. The efficiency of an Intrusion detection system in the case of an adhoc network is not only determined by its dynamicity in monitoring but also in its flexibility in utilizing the available power in each of its nodes. In this paper we propose a hybrid intrusion detection system, based on a power level metric for potential adhoc hosts, which is used to determine the duration for which a particular node can support a network-monitoring node. The detection of intrusions in the network is done with the help of Cellular Automata (CA). IDFADNWCA (Intrusion Detection for Adhoc Networks with Cellular Automata) focuses on the available power level in each of the nodes and determines the network monitors. Power Level Metric in the network results in maintaining power for network monitoring, with monitors changing often, since it is an iterative power optimal solution to identify nodes for distributed agent based intrusion detection. The advantage of this approach entails is the inherent flexibility it provides, by means of considering only fewer nodes for reestablishing network monitors.",,978-0-7695-3489-3,,10.1109/ICACTE.2008.160,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4737122,Adhoc Networks;Cellular Automata;Genetic Algorithms,Computer networks;Genetic algorithms;Intrusion detection;Monitoring;Network topology;Power engineering and energy;Power engineering computing;Power system protection;Watches;Wireless networks,ad hoc networks;cellular automata;monitoring;telecommunication security,IDFADNWCA algorithm;cellular automata;distributed agent based intrusion detection;intrusion detection system;iterative power optimal solution;network-monitoring node;power level metric;wireless adhoc network,,0,,10,,,20-22 Dec. 2008,,IEEE,IEEE Conference Publications
False positive reduction in intrusion detection system: A survey,"Abouabdalla, O.; El-Taj, H.; Manasrah, A.; Ramadass, S.","Nat. Adv. IPv6 Centre (NAv6), Univ. Sains Malaysia, Penang, Malaysia","Broadband Network & Multimedia Technology, 2009. IC-BNMT '09. 2nd IEEE International Conference on",20091204,2009,,,463,466,"Since the first intrusion detection system and up to this moment all IDSs had generated thousands and thousands of alerts and most of these alerts are false alerts, which lead the researchers to develop an idea to reduce the rate of the alerts or at least the false alerts of them. One of the ideas was to create correlation methods which cover the problem of dealing with the huge amount of both real alerts as well as false alerts. The techniques used in this area plan to help the analyst party to analyze these alerts to distinguish between alerts generated by real attacks and legal traffic. This paper will highlight the false positive reduction techniques surrounding this area.",,978-1-4244-4590-5,978-1-4244-4591-2,10.1109/ICBNMT.2009.5348536,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5348536,Alert Correlation;Computer security;False Positive Alerts;Intrusion Detection System,Association rules;Computer networks;Correlation;Data mining;Intrusion detection;Law;Legal factors;Standards development;Telecommunication traffic;XML,computer networks;correlation methods;security of data,correlation method;false alert;false positive reduction;intrusion detection system,,0,,16,,,18-20 Oct. 2009,,IEEE,IEEE Conference Publications
Implementation of an intrusion detection system based on mobile agents,"Bernardes, M.C.; dos Santos Moreira, E.","Inst. of Eng. & Exact Sci., Alfenas Univ., Brazil","Software Engineering for Parallel and Distributed Systems, 2000. Proceedings. International Symposium on",20020806,2000,,,158,164,"The number of security-breaking attempts originating inside organizations is increasing steadily. Attacks made in this way, usually done by “authorized” users of the system, cannot be immediately located. As the idea of filtering the traffic at the “entrance door” (by firewalls, for instance) is not completely successful the use of other technologies should be considered to increase the defense capacity of a site. Therefore, the introduction of mobile agents to provide computational security by constantly moving around within the internal infoways of an organization is presented as a natural solution to prevent both external and internal sources of intrusion. This work presents an evaluation of the use of mobile agent mechanisms to add mobility features to the process of monitoring intrusion in computational systems. A modular approach is proposed, where independent small agents will monitor the communication paths. This approach presents significant advantages in terms of minimizing overhead, increasing scalability and flexibility and providing fault tolerance",,0-7695-0634-8,,10.1109/PDSE.2000.847862,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=847862,,Data security,computer network management;security of data;software agents,authorized users;communication path monitoring;computational security;fault tolerance;intrusion detection system;mobile agents;security-breaking attempts,,12,1,12,,,2000,10 Jun 2000-11 Jun 2000,IEEE,IEEE Conference Publications
System Monitoring and Controlling Mechanism Based on Hypervisor,Wu Qingbo; Wang Chunguang; Tan Yusong,"Coll. of Comput., NUDT, Changsha, China","Parallel and Distributed Processing with Applications, 2009 IEEE International Symposium on",20090818,2009,,,549,554,"Current commodity operating systems allow a privileged user to run some programs in kernel mode by installing a kernel module or a device driver, but there isnpsilat an available method to verify the reliability of these programs. As a result, malware leverages this way to corrupt system services, defeat anti-malware and even get control of the whole system. It makes operating-system-based security tools undergo all kinds of hardships in face of various attacks. Virtualization technology brings a new chance to protect operating systems out-of-box in hypervisors. This article proposes a system monitoring and controlling framework, named as BMCS, which monitors low-level states and hardware accessing events of operating system in a hypervisor. BMCS abstracts low-level states and events and profiles OS-level semantics with the help of a hosted daemon. Moreover, it can control the execution of operating system software through the hypervisor. Our out-of box method can collect real run-time operating system profile and control the execution of the OS according some defined rules. As a result, it makes the operating system stronger. We implement BMCS based on KVM and experiment results prove that BMCS performs well.",,978-0-7695-3747-4,,10.1109/ISPA.2009.99,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5207881,Controlling;Hypervisor;Security;System Monitoring,Abstracts;Control systems;Hardware;Kernel;Monitoring;Operating systems;Protection;Security;Software systems;Virtual machine monitors,device drivers;invasive software;operating system kernels;software reliability;software tools;system monitoring,anti-malware;commodity operating systems;controlling mechanism;device driver;kernel module;operating-system-based security tools;run-time operating system profile;system monitoring;virtualization technology,,0,,8,,,10-12 Aug. 2009,,IEEE,IEEE Conference Publications
A robust and fault-tolerant distributed intrusion detection system,"Sen, J.","Innovation Lab., Tata Consultancy Services Ltd., Kolkata, India","Parallel Distributed and Grid Computing (PDGC), 2010 1st International Conference on",20110106,2010,,,123,128,"Since it is impossible to predict and identify all the vulnerabilities of a network, and penetration into a system by malicious intruders cannot always be prevented, intrusion detection systems (IDSs) are essential entities for ensuring the security of a networked system. To be effective in carrying out their functions, the IDSs need to be accurate, adaptive, and extensible. Given these stringent requirements and the high level of vulnerabilities of the current days' networks, the design of an IDS has become a very challenging task. Although, an extensive research has been done on intrusion detection in a distributed environment, distributed IDSs suffer from a number of drawbacks e.g., high rates of false positives, low detection efficiency etc. In this paper, the design of a distributed IDS is proposed that consists of a group of autonomous and cooperating agents. In addition to its ability to detect attacks, the system is capable of identifying and isolating compromised nodes in the network thereby introducing fault-tolerance in its operations. The experiments conducted on the system have shown that it has high detection efficiency and low false positives compared to some of the currently existing systems.",,978-1-4244-7675-6,,10.1109/PDGC.2010.5679879,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5679879,,Bayesian methods;Fault tolerance;Fault tolerant systems;Intrusion detection;Lead;Monitoring;Peer to peer computing,distributed processing;security of data;software agents;software fault tolerance,IDS;autonomous agents;cooperating agents;fault-tolerant distributed intrusion detection system;malicious intruders;networked system security;robust distributed intrusion detection system,,0,,10,,,28-30 Oct. 2010,,IEEE,IEEE Conference Publications
Intrusion detection system with the data mining technologies,Wang Pu; Wang Jun-qing,"Taiyuan Univ. of Sci. & Technol., Taiyuan, China","Communication Software and Networks (ICCSN), 2011 IEEE 3rd International Conference on",20110908,2011,,,490,492,"Intrusion Detection Systems (IDSs) have become an efficient defense tool against network attacks since they allow network administrator to detect policy violations. However, traditional IDs are vulnerable to original and novel malicious attacks. Also, it is very inefficient to analyze from a large amount volume data such as possibility logs. In addition, there are high false positives and false negatives for the common IDSs. Data mining has been popularly recognized as an important way to mine useful information from large volumes of data which is noisy, fuzzy, and random. Thus, how to integrate the data mining techniques into the intrusion detection systems has become a hot topic recently. In this paper, we present the whole techniques of the IDS with data mining approaches in details.",,978-1-61284-485-5,,10.1109/ICCSN.2011.6013951,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6013951,Data Mining;Intrusion Detection;Network Security,Computers;Monitoring,Internet;computer network security;data mining,World Wide Web;data mining technologies;defense tool;intrusion detection system;network administrator;network attacks;policy violation detection,,2,,11,,,27-29 May 2011,,IEEE,IEEE Conference Publications
