http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.throughput.QT.%29+OR+.QT.processing+speed.QT.%29+OR+.QT.processing+bandwidth.QT.%29+OR+.QT.bytes+analyzed+per+second.QT.%29+AND+.QT.Intrusion+detection+system.QT.%29,11/22/2015 18:46,"(((((""throughput"") OR ""processing speed"") OR ""processing bandwidth"") OR ""bytes analyzed per second"") AND ""Intrusion detection system"")",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A Survey on the Application of FPGAs for Network Infrastructure Security,"Hao Chen; Yu Chen; Summerville, D.H.","Dept. of Electr. & Comput. Eng., State Univ. of New York (SUNY) - Binghamton, Binghamton, NY, USA","Communications Surveys & Tutorials, IEEE",20111103,2011,13,4,541,561,"Given the rapid evolution of attack methods and toolkits, software-based solutions to secure the network infrastructure have become overburdened. The performance gap between the execution speed of security software and the amount of data to be processed is ever widening. A common solution to close this performance gap is through hardware implementation of security functions. Possessing the flexibility of software and high parallelism of hardware, reconfigurable hardware devices, such as Field Programmable Gate Arrays (FPGAs), have become increasingly popular for this purpose. FPGAs support the performance demands of security operations as well as enable architectural and algorithm innovations in the future. This paper presents a survey of the state-of-art in FPGA-based implementations that have been used in the network infrastructure security area, categorizing currently existing diverse implementations. Combining brief descriptions with intensive case-studies, we hope this survey will inspire more active research in this area.",1553-877X,,,10.1109/SURV.2011.072210.00075,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5556740,FPGA;Hardware-based Application;Network Infrastructure Security;Network Security,Computer crime;Field programmable gate arrays;Internet;Network security;Protocols,Internet;computer network security;field programmable gate arrays,FPGA;Internet;field programmable gate arrays;network infrastructure security;reconfigurable hardware devices;security software;software-based solutions,,10,,118,,8/23/2010,Fourth Quarter 2011,,IEEE,IEEE Journals & Magazines
DDoS attacks and countermeasures in cyberspace,"Zeb, K.; Baig, O.; Asif, M.K.","Center of Excellence in Inf. Assurance (CoEIA), King Saud Univ., Riyadh, Saudi Arabia","Web Applications and Networking (WSWAN), 2015 2nd World Symposium on",20150820,2015,,,1,6,"In cyberspace, availability of the resources is the key component of cyber security along with confidentiality and integrity. Distributed Denial of Service (DDoS) attack has become one of the major threats to the availability of resources in computer networks. It is a challenging problem in the Internet. In this paper, we present a detailed study of DDoS attacks on the Internet specifically the attacks due to protocols vulnerabilities in the TCP/IP model, their countermeasures and various DDoS attack mechanisms. We thoroughly review DDoS attacks defense and analyze the strengths and weaknesses of different proposed mechanisms.",,978-1-4799-8171-7,,10.1109/WSWAN.2015.7210322,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7210322,Cyber security;Cyber-attack;Cyberspace;DDoS Defense;DDoS attack;Mitigation;Vulnerability,Computer crime;Filtering;Floods;IP networks;Internet;Protocols;Servers,Internet;computer network security;transport protocols,DDoS attack mechanisms;Internet;TCP-IP model;computer networks;cyber security;cyberspace;distributed denial of service attacks,,0,,34,,,21-23 March 2015,,IEEE,IEEE Conference Publications
High-Throughput and Memory-Efficient Multimatch Packet Classification Based on Distributed and Pipelined Hash Tables,"Yang Xu; Zhaobo Liu; Zhuoyuan Zhang; Chao, H.J.","Dept. of Electr. & Comput. Eng., Polytech. Inst. of New York Univ., New York, NY, USA","Networking, IEEE/ACM Transactions on",20140612,2014,22,3,982,995,"The emergence of new network applications, such as the network intrusion detection system and packet-level accounting, requires packet classification to report all matched rules instead of only the best matched rule. Although several schemes have been proposed recently to address the multimatch packet classification problem, most of them require either huge memory or expensive ternary content addressable memory (TCAM) to store the intermediate data structure, or they suffer from steep performance degradation under certain types of classifiers. In this paper, we decompose the operation of multimatch packet classification from the complicated multidimensional search to several single-dimensional searches, and present an asynchronous pipeline architecture based on a signature tree structure to combine the intermediate results returned from single-dimensional searches. By spreading edges of the signature tree across multiple hash tables at different stages, the pipeline can achieve a high throughput via the interstage parallel access to hash tables. To exploit further intrastage parallelism, two edge-grouping algorithms are designed to evenly divide the edges associated with each stage into multiple work-conserving hash tables. To avoid collisions involved in hash table lookup, a hybrid perfect hash table construction scheme is proposed. Extensive simulation using realistic classifiers and traffic traces shows that the proposed pipeline architecture outperforms HyperCuts and B2PC schemes in classification speed by at least one order of magnitude, while having a similar storage requirement. Particularly, with different types of classifiers of 4K rules, the proposed pipeline architecture is able to achieve a throughput between 26.8 and 93.1 Gb/s using perfect hash tables.",1063-6692,,,10.1109/TNET.2013.2270441,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6565409,Hash table;packet classification;signature tree;ternary content addressable memory (TCAM),Encoding;IEEE transactions;Memory management;Pipelines;Power demand;Search engines;Throughput,content-addressable storage;cryptography;security of data;signal classification;table lookup;tree data structures,TCAM;asynchronous pipeline architecture;bit rate 26.8 Gbit/s to 93.1 Gbit/s;complicated multidimensional search;distributed hash tables;edge-grouping;hash table lookup;high-throughput multimatch;hybrid perfect hash table construction;intermediate data structure;interstage parallel access;memory-efficient multimatch;multimatch packet classification problem;network intrusion detection;packet-level accounting;pipelined hash tables;signature tree structure;single-dimensional searches;steep performance degradation;ternary content addressable memory;throughput via;traffic traces,,0,,37,,7/22/2013,Jun-14,,IEEE,IEEE Journals & Magazines
A high throughput string matching architecture for intrusion detection and prevention,"Lin Tan; Sherwood, T.","Dept. of Comput. Sci., California Univ., Santa Barbara, CA, USA","Computer Architecture, 2005. ISCA '05. Proceedings. 32nd International Symposium on",20050620,2005,,,112,122,"Network intrusion detection and prevention systems have emerged as one of the most effective ways of providing security to those connected to the network, and at the heart of almost every modern intrusion detection system is a string matching algorithm. String matching is one of the most critical elements because it allows for the system to make decisions based not just on the headers, but the actual content flowing through the network. Unfortunately, checking every byte of every packet to see if it matches one of a set of ten thousand strings becomes a computationally intensive task as network speeds grow into the tens, and eventually hundreds, of gigabits/second. To keep up with these speeds a specialized device is required, one that can maintain tight bounds on worst case performance, that can be updated with new rules without interrupting operation, and one that is efficient enough that it could be included on chip with existing network chips or even into wireless devices. We have developed an approach that relies on a special purpose architecture that executes novel string matching algorithms specially optimized for implementation in our design. We show how the problem can be solved by converting the large database of strings into many tiny state machines, each of which searches for a portion of the rules and a portion of the bits of each rule. Through the careful co-design and optimization of our architecture with a new string matching algorithm we show that it is possible to build a system that is 10 times more efficient than the currently best known approaches.",1063-6897,0-7695-2270-X,,10.1109/ISCA.2005.5,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1431550,,Computer architecture;Computer networks;Computer science;Computer security;Databases;Heart;Intrusion detection;Network-on-a-chip;Protection;Throughput,computer architecture;optimisation;security of data;string matching;telecommunication security,network chips;network intrusion detection;network prevention system;network security;network speed;string matching architecture;wireless device,,16,30,31,,,4-8 June 2005,,IEEE,IEEE Conference Publications
Collaborative Distributed Intrusion Detection System,"Wei Lin; Liu Xiang; Pao, D.; Bin Liu","Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China","Future Generation Communication and Networking, 2008. FGCN '08. Second International Conference on",20081230,2008,1,,172,177,"In order to protect Internet users from various attacks such as worms, viruses and other intrusions, signature-based intrusion detection system (IDS) should be deployed at the critical part of the network with rapid response for updating newly emerged attack signatures and containing the spread of worms or viruses at their early stage. The processing speed of one IDS cannot achieve the throughput requirement in the core networks because of the pattern matching, the key operation for signature-based IDS, is complex and time consuming. In this paper, it argues that if the signature set is shared by multiple IDSs, a packet needs to be checked once and once only by one of the IDSs, so traffic load can be redistributed among the IDSs to avoid local congestion. Packet marking is used to indicate the status of this packet utilized by collaborative IDSs, and a redistribution strategy named inner logical ring (ILR) is built among IDSs to redistribute the traffic load. Meanwhile, caching scheme is used to keep sequence for packets belonging to the same flow. This collaborative distributed IDS is robust with rapid response to various attacks, and the detection throughput is significantly increased from the throughput of the weakest IDS to the summation of all the collaborative IDSs.",,978-0-7695-3431-2,,10.1109/FGCN.2008.67,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4734082,attack detection;collaborative detection;pattern matching;signature-based;traffic load distribution,Computer science;Computer viruses;Computer worms;IP networks;International collaboration;Intrusion detection;Protection;Robustness;Telecommunication traffic;Throughput,Internet;groupware;security of data,Internet users protection;caching scheme;collaborative distributed intrusion detection system;signature-based intrusion detection system;traffic load,,1,,12,,,13-15 Dec. 2008,,IEEE,IEEE Conference Publications
A Dynamic Adaptive Load Balance Algorithm in Parallel Intrusion Detection System,Jie-Fang Liu; Fang-Min Dong,"Modern Educ. Technol. Center, Yancheng Inst. of Technol., Yancheng, China","Computer Science and Computational Technology, 2008. ISCSCT '08. International Symposium on",20081230,2008,1,,180,183,"As the band of networks increases, the process speed of network-based intrusion detection system (NIDS) hardly keeps up with the speed of networks. By arranging several sensors to deal with the traffic in parallel, the intrusion detection system's speed can be significantly increased. How to split the traffic to the sensors is the key problem of a parallel intrusion detection system. To resolve the problems, load balance has to be concerned. There is an emerging need for parallel intrusion detection techniques that can keep up with the increasing network throughput. A novel algorithm of load balance in the parallel IDS (intrusion detection system) was proposed to improve detection ability of parallel IDS. The algorithm was adopted to hash the network packet header information in data packet, to map the corresponding packet to the scope of the sensors' number, and to adjust the scope according to the performance and load of each sensor. Theoretic analysis and experimental results demonstrate that the algorithm can dispatch data packets reasonably and utilize all the sensors' sources effectively.",,978-1-4244-3746-7,,10.1109/ISCSCT.2008.209,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4731402,hash function;high availability;load balancing;parallel IDS,Algorithm design and analysis;Bandwidth;Educational technology;Heuristic algorithms;Intrusion detection;Monitoring;Round robin;Sensor systems;Telecommunication traffic;Traffic control,computer networks;parallel processing;resource allocation;telecommunication security;telecommunication traffic,data packet;dynamic adaptive load balance algorithm;network packet header information;network throughput;network-based intrusion detection system;parallel intrusion detection system,,0,,9,,,20-22 Dec. 2008,,IEEE,IEEE Conference Publications
Flexible Software-Hardware Network Intrusion Detection System,"Proudfoot, R.; Kent, K.; Aubanel, E.; Nan Chen","Fac. of Comput. Sci., New Brunswick Univ., Fredericton, NB","Rapid System Prototyping, 2008. RSP '08. The 19th IEEE/IFIP International Symposium on",20080627,2008,,,182,188,"Network intrusion detection system (NIDS) demands have been steadily increasing over the past few years. Current solutions using software become inefficient running on high speed high volume networks and will end up dropping packets. Hardware solutions are available and result in much higher efficiency but present problems such as flexibility and cost. Our proposed system uses a modified version of Snort, a robust widely deployed open-sourced NIDS. Snort spends a significant fraction of its processing time doing pattern matching. Our proposed system runs Snort in software until it gets to the pattern matching function and then off loads that processing to the field programmable gate array (FPGA). The hardware is able to process data at up to 1.7 GB/s on one Xilinx XC2VP100 FPGA. Our system is more flexible than other FPGA string matching designs in that the rules are not hard-coded. The design is scalable and allows FPGAs to be used in parallel to increase the processing speed even further.",1074-6005,978-0-7695-3180-9,,10.1109/RSP.2008.11,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4550905,Field Programmable Gate Array;network intrusion detection;pattern matching,Computer science;Field programmable gate arrays;Hardware;Intrusion detection;Niobium;Open source software;Pattern matching;Payloads;Robustness;Software prototyping,field programmable gate arrays;pattern matching;security of data,Xilinx XC2VP100 FPGA;dropping packets;field programmable gate array;flexible software-hardware network intrusion detection system;hardware solutions;pattern matching function,,1,,33,,,2-5 June 2008,,IEEE,IEEE Conference Publications
Hybrid Intrusion Detection System for Complicated Network,Baojun Zhang; Xuezeng Pan; Jiebing Wang,,"Fuzzy Systems and Knowledge Discovery, 2007. FSKD 2007. Fourth International Conference on",20071218,2007,4,,251,255,The current network is complicated due to the high- throughput and the multiformity of actions. A hybrid intrusion detection system (HIDSFCN) is proposed in this study to satisfy the current network. It combines the advantages of all kinds of IDS and put forwards our own solvents to those key problems in current research. Experiment results demonstrate that our HIDSFCN is of high performance and good practicability.,,978-0-7695-2874-8,,10.1109/FSKD.2007.348,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4406391,,Artificial neural networks;Autonomous agents;Computer science;Data processing;Information technology;Intrusion detection;Pattern matching;Solvents;Support vector machine classification;Support vector machines,computer networks;security of data;support vector machines;telecommunication security,complicated network;distributed intrusion detection system;hybrid intrusion detection system;support vector machine,,0,,5,,,24-27 Aug. 2007,,IEEE,IEEE Conference Publications
FPGA-Based Parallel Pattern Matching Algorithm for Network Intrusion Detection System,Jing Yu; Bo Yang; Ruiyuan Sun; Yuehui Chen,"Sch. of Inf. Sci. & Eng., Univ. of Jinan, Jinan, China","Multimedia Information Networking and Security, 2009. MINES '09. International Conference on",20091231,2009,2,,458,461,"Pattern matching is the critical part in network intrusion detection system (NIDS). Fast pattern matching algorithm is the key to improve the system performance. In this paper, a fast reverse pattern matching algorithm and the hardware implementation suitable with field programmable gate array (FPGA) are proposed. Taking advantage of the parallelism and programmability of FPGA, this design reduces the pattern match delay greatly. This design is implemented in a NetFPGA platform, which is an open hardware platform optimized for high-speed network. The parallel pattern matching system provides a high throughput of 4 Gbps with no data loss, which proves the information processing rate of this design.",,978-0-7695-3843-3,978-1-4244-5068-8,10.1109/MINES.2009.64,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5368826,FPGA;NIDS;parallel;pattern matching,Delay;Design optimization;Field programmable gate arrays;Hardware;High-speed networks;Information processing;Intrusion detection;Pattern matching;System performance;Throughput,field programmable gate arrays;pattern matching;security of data,FPGA-based parallel pattern matching algorithm;NetFPGA platform;field programmable gate array;hardware implementation;high-speed network;information processing rate;network intrusion detection system;open hardware platform;reverse pattern matching algorithm,,0,,13,,,18-20 Nov. 2009,,IEEE,IEEE Conference Publications
A CAM-based intrusion detection system for single-packet attack detection,"Ying Yu; Hoare, R.R.; Jones, A.K.","Marvell Semicond., Sunnyvale, CA","Parallel and Distributed Processing, 2008. IPDPS 2008. IEEE International Symposium on",20080603,2008,,,1,8,"Many telecommunications devices such as network switches contain content addressable memories (CAMs) for uses such as routing tables. CAMs, a class of associative memories, contain considerable logic for various forms of content matching and can be considered a class of reconfigurable logic engines. This paper demonstrates how a commercial ternary CAM and traditional RAM can be used with minimal additional logic to implement over 90% of the Snort 2.0 intrusion detection system (IDS) at line speeds of or exceeding 1 Gbs. In addition to simple matching techniques, sophisticated matching operations required by Snort can be implemented by levering an iterative approach that leverages a post processing action RAM. Additionally, a novel range encoding algorithm allows range matching required in the CAM for which other encodings either exceed the width provided by a CAM entry, or require excessive number of CAM entries to be scalable. The system was implemented for verification and performance evaluation in cycle accurate simulation using SystemC.",1530-2075,978-1-4244-1693-6,978-1-4244-1694-3,10.1109/IPDPS.2008.4536531,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4536531,,Associative memory;CADCAM;Cams;Computer aided manufacturing;Encoding;Intrusion detection;Reconfigurable logic;Routing;Switches;Telecommunication switching,content-addressable storage;security of data,Snort 2.0;SystemC;associative memory;content addressable memory;content matching;intrusion detection system;reconfigurable logic engine;single packet attack detection,,4,,18,,,14-18 April 2008,,IEEE,IEEE Conference Publications
