http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28.QT.Energy+consumption.QT.%29+OR+.QT.Energy+usage.QT.%29+OR+.QT.Energy+cost.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,12/10/2015 13:22,"((((Energy consumption) OR Energy usage) OR Energy cost) AND Intrusion Detection System)",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28.QT.Energy+consumption.QT.%29+OR+.QT.Energy+usage.QT.%29+OR+.QT.Energy+cost.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,12/10/2015 13:22,"((((Energy consumption) OR Energy usage) OR Energy cost) AND Intrusion Detection System)",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
Setting up an energy measurable application bed of Wireless Sensor Network for the improved energy economics,"Thangaraj, M.; Anuradha, S.","Dept. of Comput. Sci., Madurai Kamaraj Univ., Palgalai Nagar, India","Advanced Computing (ICoAC), 2014 Sixth International Conference on",20150831,2014,,,102,107,"The Energy Engineering study and Energy Optimization initiatives have shown significant growth in the field of Wireless Sensor Network (WSN). But while setting up the WSN application bed the application specific Quality of Service parameters are considered in greater account, whereas the energy relevant parameters of activity and processes are ignored. Later hardware, topology, application and algorithmic components and embedded codings are adjusted for energy monitoring and energy improvements. None of energy improvement initiatives validate whether the energy correction improves the overall network energy, rather they focus on the one aspect of the energy improvement. Very rarely the economics involved in the energy correction and economics of optimized energy are validated. Most of the time it became the overhead for the person who sets up the application bed as hardware, embedded coding, instrument driver, application coding vendors least bother about the energy aspect. This paper is going to propose the design, deployment aspects at various stages of the Wireless Sensor Network for energy monitoring and improvement initiatives as well highlight the various market available vendor products with its lacking aspect of energy.",,978-1-4799-8466-4,,10.1109/ICoAC.2014.7229755,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7229755,Application bed;Economics;Energy;Monitoring;Wireless Sensor Network,Bit rate;Economics;Energy measurement;Hardware;Monitoring;Routing protocols;Wireless sensor networks,quality of service;wireless sensor networks,WSN;application coding vendor;embedded coding;energy improvement;energy measurable application;energy monitoring;instrument driver;quality of service;wireless sensor network,,0,,13,,,17-19 Dec. 2014,,IEEE,IEEE Conference Publication
Energy Consumption Simulation of Different Distributed Intrusion Detection Approaches,"Migliardi, M.; Merlo, A.","Centro Ing. Piattaforme Informatiche (CIPI), Univ. of Genoa & Univ. of Padua, Genoa, Italy","Advanced Information Networking and Applications Workshops (WAINA), 2013 27th International Conference on",20130701,2013,,,1547,1552,"The proliferation of wideband and Internet technologies in the last decade, has generated a significant growth of the risk of security threats hidden in single packets. This fact has lead ISP networks to the adoption of Intrusion Detection Systems, burdening the basic routing with packets inspection, in order to provide a secure connection service. Currently, packet analysis is provided by many ISPs but it has a high impact in term of performance and energy consumption, this makes the choice of the optimal IDS strategy both quite complex and a key issue. To this aim, IDS strategies have been deeply investigated in term of performance, however, the assessment of the energy consumption is generally unexplored. In this paper, we simulate different scenarios for distributed intrusion detection and we leverage an energy consumption model to evaluate the energy consumption caused by early or late discovery of rogue packets.",,978-1-4673-6239-9,978-0-7695-4952-1,10.1109/WAINA.2013.214,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6550615,Distributed Intrusion Detection;Evaluation;Green Networking;Simulation,Computational modeling;Energy consumption;Intrusion detection;Load modeling;Network topology;Routing;Topology,Internet;computer network security;energy consumption;power aware computing,IDS strategy;Internet technology;distributed intrusion detection approach;energy consumption simulation;intrusion detection system;wideband technology,,3,,26,,,25-28 March 2013,,IEEE,IEEE Conference Publication
CONSUMER: A Novel Hybrid Intrusion Detection System for Distribution Networks in Smart Grid,"Chun-Hao Lo; Ansari, N.","Dept. of Electr. & Comput. Eng., New Jersey Inst. of Technol., Newark, NJ, USA","Emerging Topics in Computing, IEEE Transactions on",20130920,2013,1,1,33,44,"Smart meters have been deployed worldwide in recent years that enable real-time communications and networking capabilities in power distribution systems. Problematically, recent reports have revealed incidents of energy theft in which dishonest customers would lower their electricity bills (aka stealing electricity) by tampering with their meters. The physical attack can be extended to a network attack by means of false data injection (FDI). This paper is thus motivated to investigate the currently-studied FDI attack by introducing the combination sum of energy profiles (CONSUMER) attack in a coordinated manner on a number of customers' smart meters, which results in a lower energy consumption reading for the attacker and a higher reading for the others in a neighborhood. We propose a CONSUMER attack model that is formulated into one type of coin change problems, which minimizes the number of compromised meters subject to the equality of an aggregated load to evade detection. A hybrid detection framework is developed to detect anomalous and malicious activities by incorporating our proposed grid sensor placement algorithm with observability analysis to increase the detection rate. Our simulations have shown that the network observability and detection accuracy can be improved by means of grid-placed sensor deployment.",2168-6750,,,10.1109/TETC.2013.2274043,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6563147,Smart grid;cyber-physical security;energy theft;false data injection attack;intrusion detection;observability;sensor placement;state estimation,Current measurement;Energy management;Network security;Network topology;Power measurement;Real-time systems;Sensors;Smart grids;Smart meters;State estimation,power distribution protection;safety systems;sensor placement;smart meters;smart power grids,CONSUMER attack model;FDI;coin change problems;combination sum of energy profiles attack;electricity bills;energy consumption reading;energy theft;false data injection;grid sensor placement algorithm;hybrid detection framework;observability analysis;physical attack;power distribution systems;real-time communications;smart meters,,0,,51,,7/18/2013,Jun-13,,IEEE,IEEE Journals & Magazine
Distributed Intrusion Detection System in a Multi-Layer Network Architecture of Smart Grids,"Yichi Zhang; Lingfeng Wang; Weiqing Sun; Green, R.C.; Alam, M.","Dept. of Electr. Eng. & Comput. Sci., Univ. of Toledo, Toledo, OH, USA","Smart Grid, IEEE Transactions on",20111121,2011,2,4,796,808,"The advent of the smart grid promises to usher in an era that will bring intelligence, efficiency, and optimality to the power grid. Most of these changes will occur as an Internet-like communications network is superimposed on top of the current power grid using wireless mesh network technologies with the 802.15.4, 802.11, and WiMAX standards. Each of these will expose the power grid to cybersecurity threats. In order to address this issue, this work proposes a distributed intrusion detection system for smart grids (SGDIDS) by developing and deploying an intelligent module, the analyzing module (AM), in multiple layers of the smart grid. Multiple AMs will be embedded at each level of the smart grid-the home area networks (HANs), neighborhood area networks (NANs), and wide area networks (WANs)-where they will use the support vector machine (SVM) and artificial immune system (AIS) to detect and classify malicious data and possible cyberattacks. AMs at each level are trained using data that is relevant to their level and will also be able to communicate in order to improve detection. Simulation results demonstrate that this is a promising methodology for supporting the optimal communication routing and improving system security through the identification of malicious network traffic.",1949-3053,,,10.1109/TSG.2011.2159818,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5963752,Artificial immune system;cybersecurity;data classification;intrusion detection;smart grid;support vector machine;wireless mesh networks,Communication system security;Computer security;Intrusion detection;Support vector machines;Wide area networks;Wireless communication;Wireless mesh networks,WiMax;Zigbee;artificial immune systems;computer network security;home computing;power engineering computing;smart power grids;support vector machines;wide area networks;wireless LAN;wireless mesh networks,AIS;HAN;IEEE 802.11;IEEE 802.15.4;Internet-like communications network;NAN;SGDIDS;SVM;WAN;WiMax standards;analyzing module;artificial immune system;cybersecurity threats;distributed intrusion detection system;home area networks;malicious data classification;malicious network traffic;multilayer network architecture;neighborhood area networks;optimal communication routing;power grid;smart grids;support vector machine;wide area networks;wireless mesh network technologies,,46,,54,,7/28/2011,Dec. 2011,,IEEE,IEEE Journals & Magazine
Modeling the energy consumption of distributed IDS: A step towards Green security,"Migliardi, M.; Merlo, A.","Centro Ing. Piattaforme Informatiche (CIPI), Univ. of Genoa, Genoa, Italy","MIPRO, 2011 Proceedings of the 34th International Convention",20110728,2011,,,1452,1457,"Due to the proliferation of wideband and Internet technologies in the last decade, the risk of security threats hidden in single packets arose. This had taken ISP networks to the adoption of Intrusion Detection Systems, enhancing the basic routing with packets inspection, in order to provide a secure connection service. Currently, packet analysis is provided by almost each ISP but it has a high impact in term of performance and energy consumption; this makes the choice of the optimal IDS strategy both a key and non-trivial issue. To this aim, IDS strategies have been deeply investigated in term of performance, while the assessment of the energy consumption is quite unexplored. In this paper, we propose the first attempt towards the assessment of the energy impact of security solutions. In particular, we provide a general model for evaluating the energy cost of distributed packet inspection in IDS and we show how it can be applied to two sample IDS strategies, in order to evaluate the energy leakage due to a late discovery of rogue packets.",,978-1-4577-0996-8,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5967289,Distributed Intrusion Detection;Evaluation;Green Networking;Simulation,Analytical models;Availability;Energy consumption;Intrusion detection;Routing;Routing protocols,Internet;computer network security;environmental factors;telecommunication network routing,ISP networks;Internet technologies;distributed IDS;energy consumption;energy impact assessment;energy leakage evaluation;green security;intrusion detection systems;packet analysis;packets inspection;secure connection service;security threats risk;wideband technologies,,2,,19,,,23-27 May 2011,,IEEE,IEEE Conference Publication
A novel Intrusion Detection System for MANETs,"Panos, Christoforos; Xenakis, C.; Stavrakakis, I.","Department of Informatics & Telecommunications, University of Athens, Panepistimioupolis, Ilisia, PC 15784, Athens, Greece","Security and Cryptography (SECRYPT), Proceedings of the 2010 International Conference on",20110405,2010,,,1,10,"This paper proposes a novel Intrusion Detection System (IDS) for Mobile Ad Hoc Networks (MANETs) that aims at overcoming the limitations and weaknesses of the existing IDSs. The proposed IDS incorporates a novel random walk-based IDS architecture as well as a multi-layer, specification-based detection engine. The proposed solution does not belong to any of the existing intrusion detection approaches, since it relies on a set of robust, self-contained Random Walk Detectors (RWDs), which may freely move from node to node and randomly traverse a network, while monitoring each visiting node for malicious behaviour. RWDs exhibit a number of benefits including locality, simplicity, low overhead, and robustness to changes in topology. Moreover, the multi-layer, specification-based engine monitors the transport, network and data link layers of the protocol stack, providing an integrated solution capable of detecting the majority of security attacks occurring in MANETs.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5741639,IDS;Intrusion detection system;MANETs;Mobile ad hoc networks;Random walks;Specification-based intrusion detection,Ad hoc networks;Databases;Engines;Intrusion detection;Mobile computing;Monitoring,,,,0,,17,,,26-28 July 2010,,IEEE,IEEE Conference Publication
A New Intelligent Remote Control System for Home Automation and Reduce Energy Consumption,"Golzar, M.G.; Tajozzakerin, H.R.","AsanPardazan Co., Tehran, Iran","Mathematical/Analytical Modelling and Computer Simulation (AMS), 2010 Fourth Asia International Conference on",20100621,2010,,,174,180,"This paper presents the design and implementation of an internet-based smart remote control system for home automation, dedicated to power management that adapts power consumption to available power resources according to user comfort and cost criteria. Sensors and home appliances are connected to the designed and implemented control panel and then they are monitored and controlled from every corner of the world through the Internet cloud. The system is scalable and allows additional appliances to be added to it with no major changes to its core. New communication format is proposed to enable communication between the control panel and the server as well. To verify the principle operation of the design, some home applications are experimentally tested. Experimental results show the efficiency and accuracy of proposed intelligent control system in terms of energy saving and being user friendly.",,978-1-4244-7196-6,,10.1109/AMS.2010.46,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5489628,Home Automation System;energy saving;intelligent control system.;remote controlling system,Automatic control;Communication system control;Control systems;Energy consumption;Home appliances;Home automation;Intelligent control;Intelligent sensors;Intelligent systems;Internet,,,,5,,13,,,26-28 May 2010,,IEEE,IEEE Conference Publication
A decentralized intrusion detection system for increasing security of wireless sensor networks,"Chatzigiannakis, I.; Strikos, A.","Univ. of Patras, Patras","Emerging Technologies and Factory Automation, 2007. ETFA. IEEE Conference on",20080104,2007,,,1408,1411,"Large-scale sensor networks, monitoring an environment at close range with high spatial and temporal resolutions are expected to play an important role in various applications, e.g., assessing the health  of machines; environmental, medical, food-safety, and habitat monitoring; inventory control, building automation, etc. Ensuring the security of these complex and yet resource-constrained systems has emerged as one of the most pressing challenges for researchers. In this paper (i) we present the major threats, and (ii) we present a new approach for decentralized energy efficient intrusion detection that can be used to improve security from both external and internal adversaries.",,978-1-4244-0825-2,978-1-4244-0826-9,10.1109/EFTA.2007.4416949,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4416949,,Automation;Biomedical monitoring;Computerized monitoring;Condition monitoring;Intrusion detection;Inventory control;Large-scale systems;Pressing;Spatial resolution;Wireless sensor networks,safety systems;wireless sensor networks,decentralized intrusion detection system;large-scale sensor networks;resource-constrained systems;wireless sensor networks security,,2,,12,,,25-28 Sept. 2007,,IEEE,IEEE Conference Publication
