http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28.QT.Lines+of+code.QT.%29+OR+.QT.LOC.QT.%29+OR+.QT.SLOC.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/22/2015 18:53,"((((""Lines of code"") OR ""LOC"") OR ""SLOC"") AND ""Intrusion Detection System"")",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Enhancing OpenFlow actions to offload packet-in processing,"Farhadi, H.; Ping Du; Nakao, A.","Univ. of Tokyo, Tokyo, Japan","Network Operations and Management Symposium (APNOMS), 2014 16th Asia-Pacific",20141229,2014,,,1,6,"Software-Defined Networking (SDN) increasingly attracts more researchers as well as industry attentions. Open-Flow as a major API for SDN applies <;match, action> rules to every packet. However, it only supports a few actions that are all predefined. We extend this limitation of OpenFlow and propose User-Defined Actions (UDAs) for SDN. We discuss usecases of UDAs and propose an architecture to realize UDAs. Using our architecture we conduct a series of tests. We indicate that our UDAs can elevate millisecond-scale running time of current proposals to nanosecond-scale (including proposals from northbound applications of SDN community and virtual appliances of Network Function Virtualization or NFV community). Also, regarding ease of programmability, we show that our proposal decrease the lines of code of by 72.9% and 79.3% compared to implementing the same functionality as a northbound application and as a standalone middlebox, respectively. In addition, we extended OpenFlow to support UDAs and implemented a few sample UDAs.",,,,10.1109/APNOMS.2014.6996603,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6996603,,Computer architecture;Detectors;Home appliances;Middleboxes;Peer-to-peer computing;Proposals;Throughput,packet radio networks;software defined networking,API;OpenFlow;network function virtualization;packet-in processing;software-defined networking;user-defined actions,,0,,10,,,17-19 Sept. 2014,,IEEE,IEEE Conference Publication
GenProg: A Generic Method for Automatic Software Repair,"Le Goues, C.; ThanhVu Nguyen; Forrest, S.; Weimer, W.","Dept. of Comput. Sci., Univ. of Virginia, Charlottesville, VA, USA","Software Engineering, IEEE Transactions on",20120130,2012,38,1,54,72,"This paper describes GenProg, an automated method for repairing defects in off-the-shelf, legacy programs without formal specifications, program annotations, or special coding practices. GenProg uses an extended form of genetic programming to evolve a program variant that retains required functionality but is not susceptible to a given defect, using existing test suites to encode both the defect and required functionality. Structural differencing algorithms and delta debugging reduce the difference between this variant and the original program to a minimal repair. We describe the algorithm and report experimental results of its success on 16 programs totaling 1.25 M lines of C code and 120K lines of module code, spanning eight classes of defects, in 357 seconds, on average. We analyze the generated repairs qualitatively and quantitatively to demonstrate that the process efficiently produces evolved programs that repair the defect, are not fragile input memorizations, and do not lead to serious degradation in functionality.",0098-5589,,,10.1109/TSE.2011.104,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6035728,Automatic programming;corrections;testing and debugging.,Automatic programming;Computer bugs;Debugging;Encoding;Maintenance engineering;Syntactics,formal specification;genetic algorithms;software maintenance,GenProg;automatic software repair;defects repair;formal specifications;genetic programming;legacy programs;program annotations;special coding practices,,31,,75,,10/6/2011,Jan.-Feb. 2012,,IEEE,IEEE Journals & Magazine
Secure and Flexible Monitoring of Virtual Machines,"Payne, B.D.; de Carbone, M.D.P.; Wenke Lee","Georgia Inst. of Technol., Atlanta","Computer Security Applications Conference, 2007. ACSAC 2007. Twenty-Third Annual",20080102,2007,,,385,397,"The monitoring of virtual machines has many applications in areas such as security and systems management. A monitoring technique known as introspection has received significant discussion in the research literature, but these prior works have focused on the applications of introspection rather than how to properly build a monitoring architecture. In this paper we propose a set of requirements that should guide the development of virtual machine monitoring solutions. To illustrate the viability of these requirements, we describe the design of XenAccess, a monitoring library for operating systems running on Xen. XenAccess incorporates virtual memory introspection and virtual disk monitoring capabilities, allowing monitor applications to safely and efficiently access the memory state and disk activity of a target operating system. XenAccess' efficiency and functionality are illustrated through a series of performance tests and practical examples.",1063-9527,978-0-7695-3060-4,,10.1109/ACSAC.2007.10,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4413005,,Application software;Computerized monitoring;Condition monitoring;Libraries;Protection;Security;Virtual machine monitors;Virtual machining;Virtual manufacturing;Voice mail,operating systems (computers);security of data;virtual machines,flexible monitoring;operating systems;secure monitoring;virtual machines;virtual memory introspection,,64,2,32,,,10-14 Dec. 2007,,IEEE,IEEE Conference Publication
Sania: Syntactic and Semantic Analysis for Automated Testing against SQL Injection,"Kosuga, Y.; Kernel, K.; Hanaoka, M.; Hishiyama, M.; Takahama, Yu.","Keio Univ., Yokohama","Computer Security Applications Conference, 2007. ACSAC 2007. Twenty-Third Annual",20080102,2007,,,107,117,"With the recent rapid increase in interactive Web applications that employ back-end database services, an SQL injection attack has become one of the most serious security threats. The SQL injection attack allows an attacker to access the underlying database, execute arbitrary commands at intent, and receive a dynamically generated output, such as HTML Web pages. In this paper, we present our technique, Sania, for detecting SQL injection vulnerabilities in Web applications during the development and debugging phases. Sania intercepts the SQL queries between a Web application and a database, and automatically generates elaborate attacks according to the syntax and semantics of the potentially vulnerable spots in the SQL queries. In addition, Sania compares the parse trees of the intended SQL query and those resulting after an attack to assess the safety of these spots. We evaluated our technique using real-world Web applications and found that our solution is efficient in comparison with a popular Web application vulnerabilities scanner. We also found vulnerability in a product that was just about to be released.",1063-9527,978-0-7695-3060-4,,10.1109/ACSAC.2007.20,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4412981,,Application software;Authentication;Automatic testing;Computer science;Computer security;Data security;Debugging;HTML;Information analysis;Relational databases,Internet;SQL;program debugging;program diagnostics;program testing;query processing;security of data;trees (mathematics),HTML Web pages;SQL injection attack;SQL queries;Sania;automated testing;back-end database services;interactive Web applications;parse trees;security threat;semantic analysis;syntactic analysis;system debugging;system development,,13,1,30,,,10-14 Dec. 2007,,IEEE,IEEE Conference Publication
Software Crash Analysis for Automatic Exploit Generation on Binary Programs,Shih-Kun Huang; Min-Hsiang Huang; Po-Yen Huang; Han-Lin Lu; Chung-Wei Lai,"Inf. Technol. Service Center, Nat. Chiao Tung Univ., Hsinchu, Taiwan","Reliability, IEEE Transactions on",20140227,2014,63,1,270,289,"This paper presents a new method, capable of automatically generating attacks on binary programs from software crashes. We analyze software crashes with a symbolic failure model by performing concolic executions following the failure directed paths, using a whole system environment model and concrete address mapped symbolic memory in S<sup>2</sup> E. We propose a new selective symbolic input method and lazy evaluation on pseudo symbolic variables to handle symbolic pointers and speed up the process. This is an end-to-end approach able to create exploits from crash inputs or existing exploits for various applications, including most of the existing benchmark programs, and several large scale applications, such as a word processor (Microsoft office word), a media player (mpalyer), an archiver (unrar), or a pdf reader (foxit). We can deal with vulnerability types including stack and heap overflows, format string, and the use of uninitialized variables. Notably, these applications have become software fuzz testing targets, but still require a manual process with security knowledge to produce mitigation-hardened exploits. Using this method to generate exploits is an automated process for software failures without source code. The proposed method is simpler, more general, faster, and can be scaled to larger programs than existing systems. We produce the exploits within one minute for most of the benchmark programs, including mplayer. We also transform existing exploits of Microsoft office word into new exploits within four minutes. The best speedup is 7,211 times faster than the initial attempt. For heap overflow vulnerability, we can automatically exploit the unlink() macro of glibc, which formerly requires sophisticated hacking efforts.",0018-9529,,,10.1109/TR.2014.2299198,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6717039,Automatic exploit generation;bug forensics;software crash analysis;symbolic execution;taint analysis,Analytical models;Computer crashes;Concrete;Libraries;Registers;Security;Software,computer crime;program diagnostics;program testing;software fault tolerance;symbol manipulation,Microsoft office word;S<sup>2</sup>E;archiver;attack generation;automatic exploit generation;binary programs;concolic executions;end-to-end approach;format string;foxit;heap overflows;mapped symbolic memory;media player;mitigation-hardened exploits;mpalyer;pdf reader;pseudo symbolic variables;software crash analysis;software failures;software fuzz testing targets;sophisticated hacking efforts;stack overflows;symbolic failure model;symbolic pointers;unrar;word processor,,1,,30,,1/20/2014,Mar-14,,IEEE,IEEE Journals & Magazine
Effective Detection of SQL/XPath Injection Vulnerabilities in Web Services,"Antunes, N.; Laranjeiro, N.; Vieira, M.; Madeira, H.","Dept. of Inf. Eng., Univ. of Coimbra, Coimbra, Portugal","Services Computing, 2009. SCC '09. IEEE International Conference on",20091013,2009,,,260,267,"This paper proposes a new automatic approach for the detection of SQL Injection and XPath Injection vulnerabilities, two of the most common and most critical types of vulnerabilities in Web services. Although there are tools that allow testing Web applications against security vulnerabilities, previous research shows that the effectiveness of those tools in Web services environments is very poor. In our approach a representative workload is used to exercise the Web service and a large set of SQL/XPath injection attacks are applied to disclose vulnerabilities. Vulnerabilities are detected by comparing the structure of the SQL/XPath commands issued in the presence of attacks to the ones previously learned when running the workload in the absence of attacks. Experimental evaluation shows that our approach performs much better than known tools (including commercial ones), achieving extremely high detection coverage while maintaining the false positives rate very low.",,978-1-4244-5183-8,978-0-7695-3811-2,10.1109/SCC.2009.23,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5283945,,Data security;Informatics;Pattern analysis;Performance analysis;Performance evaluation;Relational databases;Runtime;Stress;Testing;Web services,SQL;Web services;program testing;security of data,SQL injection vulnerabilities;Web services;XPath injection vulnerabilities;security vulnerabilities,,13,,23,,,21-25 Sept. 2009,,IEEE,IEEE Conference Publication
A Language-Based Approach for Improving the Robustness of Network Application Protocol Implementations,"Burgy, L.; Reveillere, L.; Lawall, J.L.; Muller, G.","Univ. of Bordeaux, Bordeaux","Reliable Distributed Systems, 2007. SRDS 2007. 26th IEEE International Symposium on",20071029,2007,,,149,160,"The secure and robust functioning of a network relies on the defect-free implementation of network applications. As network protocols have become increasingly complex, however, hand-writing network message processing code has become increasingly error-prone. In this paper, we present a domain-specific language, Zebu, for generating robust and efficient message processing layers. A Zebu specification, based on the notation used in RFCs, describes protocol message formats and related processing constraints. Zebu-based applications are efficient, since message fragments can be specified to be processed on demand. Zebu-based applications are also robust, as the Zebu compiler automatically checks specification consistency and generates parsing stubs that include validation of the message structure. Using a message torture suite in the context of SIP and RTSP, we show that Zebu-generated code is both complete and defect-free.",1060-9857,0-7695-2995-X,,10.1109/SRDS.2007.26,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4365692,,Computer bugs;Domain specific languages;IP networks;Network servers;Protocols;Robustness;Scattering;Standards development;Throughput;Web server,protocols,domain-specific languages;message processing;network application protocol implementations,,3,,19,,,10-12 Oct. 2007,,IEEE,IEEE Conference Publication
Evaluating and Improving Penetration Testing in Web Services,"Antunes, N.; Vieira, M.","Dept. of Inf. Eng., Univ. of Coimbra - Portugal, Coimbra, Portugal","Software Reliability Engineering (ISSRE), 2012 IEEE 23rd International Symposium on",20130404,2012,,,201,210,"Developers often rely on penetration testing tools to detect vulnerabilities in web services, although frequently without really knowing their effectiveness. In fact, the lack of information on the internal state of the tested services and the complexity and variability of the responses analyzed, limits the effectiveness of such technique, highlighting the importance of evaluating and improving existing tools. The goal of this paper is to investigate if attack signatures and interface monitoring can be an effective mean to assess and improve the performance of penetration testing tools in web services environments. In practice, attacks performed by such tools are signed and the interfaces between the target application and external resources are monitored (e.g., between services and a database server), allowing gathering additional information on existing vulnerabilities. A prototype was implemented focusing on SQL injection vulnerabilities. The experimental evaluation results clearly show that the proposed approach can be used in real scenarios.",1071-9458,978-1-4673-4638-2,,10.1109/ISSRE.2012.26,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6405368,attack signatures;interface monitoring;penetration testing;security;vulnerability detection;web-services,Databases;Java;Monitoring;Security;Servers;Testing;Web services,SQL;Web services;digital signatures;program testing,SQL injection vulnerabilities;Web services;attack signatures;existing vulnerabilities;interface monitoring;penetration testing tools,,1,,32,,,27-30 Nov. 2012,,IEEE,IEEE Conference Publication
MUSIC: Mutation-based SQL Injection Vulnerability Checking,"Shahriar, H.; Zulkernine, M.","Sch. of Comput., Queen''s Univ., Kingston, ON","Quality Software, 2008. QSIC '08. The Eighth International Conference on",20080819,2008,,,77,86,"SQL injection is one of the most prominent vulnerabilities for web-based applications. Exploitation of SQL injection vulnerabilities (SQLIV) through successful attacks might result in severe consequences such as authentication bypassing, leaking of private information etc. Therefore, testing an application for SQLIV is an important step for ensuring its quality. However, it is challenging as the sources of SQLIV vary widely, which include the lack of effective input filters in applications, insecure coding by programmers, inappropriate usage of APIs for manipulating databases etc. Moreover, existing testing approaches do not address the issue of generating adequate test data sets that can detect SQLIV. In this work, we present a mutation-based testing approach for SQLIV testing. We propose nine mutation operators that inject SQLIV in application source code. The operators result in mutants, which can be killed only with test data containing SQL injection attacks. By this approach, we force the generation of an adequate test data set containing effective test cases capable of revealing SQLIV. We implement a MUtation-based SQL Injection vulnerabilities Checking (testing) tool (MUSIC) that automatically generates mutants for the applications written in Java Server Pages (JSP) and performs mutation analysis. We validate the proposed operators with five open source web-based applications written in JSP. We show that the proposed operators are effective for testing SQLIV.",1550-6002,978-0-7695-3312-4,,10.1109/QSIC.2008.33,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4601530,,Authentication;Automatic testing;Databases;Filters;Genetic mutations;Java;Multiple signal classification;Performance analysis;Performance evaluation;Programming profession,Java;SQL;program compilers;program testing;security of data,Java Server Pages;authentication bypassing;mutation analysis;mutation-based SQL injection vulnerability checking;mutation-based testing approach;private information;source code,,16,,22,,,12-13 Aug. 2008,,IEEE,IEEE Conference Publication
External Integrity Checking with Invariants,"Shimada, H.; Nakajima, T.","Dept. of Comput. Sci., Waseda Univ., Tokyo, Japan","Embedded and Real-Time Computing Systems and Applications (RTCSA), 2011 IEEE 17th International Conference on",20110929,2011,2,,122,125,"In order to enhance OS security, most of people use security patches to fix the vulnerabilities of the OS. However, the security patches may also incur vulnerabilities. These vulnerabilities are generated since most OSes has a lot of functionalities and their functionalities are very complex to manage the entire source code manually. Moreover, in order to use the security patch, rebooting the system is required. Some of systems such as enterprise servers and embedded systems cannot accept the rebooting. Therefore, we propose an external integrity checking system to enhance the OS security. The external integrity checking system and a target OS run on a hyper visor simultaneously, therefore, their operations do not affect each other. In addition, the integrity checking system is generated automatically with invariants. Therefore, the possibility of inserting vulnerabilities into the system is as small as possible, and the system can cover a lot of vulnerabilities.",1533-2306,978-1-4577-1118-3,,10.1109/RTCSA.2011.52,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6029871,invariant;monitoring service;security,Data structures;Embedded systems;Kernel;Linux;Prototypes;Security;Virtual machine monitors,operating systems (computers);security of data,OS security enhancement;external integrity checking system;hyper visor;security patches;source code,,0,,12,,,28-31 Aug. 2011,,IEEE,IEEE Conference Publication
