http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.Time+complexity.QT.%29+AND+.QT.Intrusion+detection+system.QT.%29,11/22/2015 18:57,"((""Time complexity"") AND ""Intrusion detection system"")",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Research of WaveCluster Algorithm in Intrusion Detection System,Mingwei Zhao; Yang Liu; Rongan Jiang,"Sch. of Electron. & Inf. Eng., Dalian Univ. of Technol., Dalian, China","Computational Intelligence and Security, 2008. CIS '08. International Conference on",20081222,2008,1,,259,263,"In this paper, we introduce a clustering algorithm for intrusion detection based on WaveCluster algorithm and an entropy-based characteristics screening algorithm. WaveCluster algorithm has a low time complexity when the data are low-dimensional, but on the contrary, the actual network data are high-dimensional. So we reduce the dimension of the network data using characteristics screening before they are clustered. And the algorithm inherits the WaveClusters advantage of multi-resolution, adaptive, and not requiring specific pre-determined parameters. We can rapidly and accurately identify arbitrarily shaped clusters at different scales and degree to find intrusion effectively. Experimental results on KDD Cup 1999 data sets show that the detection rate of the algorithm is higher than the algorithm in the reference. The time complexity of the algorithm is low.",,978-0-7695-3508-1,,10.1109/CIS.2008.119,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4724653,clustering methods;feature extraction;intrusion detection;wavelet transforms,Algorithm design and analysis;Clustering algorithms;Communication system security;Computer hacking;Discrete wavelet transforms;Information security;Intrusion detection;Power system security;Search engines;Technological innovation,computational complexity;pattern clustering;security of data,KDD Cup 1999 data sets;WaveCluster algorithm;entropy-based characteristics screening algorithm;intrusion detection system;time complexity,,0,,7,,,13-17 Dec. 2008,,IEEE,IEEE Conference Publication
A survey of pattern matching algorithm in intrusion detection system,"Gharaee, Hossein; Seifi, Shokoufeh; Monsefan, Nima","IRAN Telecom Research Center (ITRC) Tehran, Iran","Telecommunications (IST), 2014 7th International Symposium on",20150108,2014,,,946,953,"The most common method of IDS functioning is based on pattern matching which recognizes the vandalism occurring on the network using particular patterns and rules. In order to do so, normal behaviors of the network are modeled and then used as a base pattern for recognizing abnormal behavior of the network. The article, in hand, tries to recognize and choose the best algorithms for this operation by surveying, implementing and also collecting all kinds of pattern matching methods so that the best conclusion is reached during matching known attacks with main patterns. In this paper, to collect all algorithms related to the subject, we investigated the discussion of pattern compatibility operation from different aspects. Another aspect studied in this paper is to determine the indexes for grouping the algorithms, meaning the algorithms were classified based on important indexes which more effect on the performance of pattern compatibility operations.",,978-1-4799-5358-5,,10.1109/ISTEL.2014.7000839,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7000839,intrusion detection systems;pattern matching;search algorithms,Algorithm design and analysis;Classification algorithms;Clustering algorithms;Indexes;Intrusion detection;Pattern matching;Time complexity,,,,0,,37,,,9-11 Sept. 2014,,IEEE,IEEE Conference Publication
Research on Efficient Pattern Matching Algorithms in Intrusion Detection System,Liu Xiaoxing; Yu Ning,"Hebei Coll. of Sci. & Technol., Baoding, China","Intelligent Computation Technology and Automation (ICICTA), 2014 7th International Conference on",20150108,2014,,,509,512,"The development of computer network technology has changed the single machine oriented calculation model, however, the risks of network intrusion also are increasing greatly. Design security measures to prevent unauthorized access to system resources and data become an important and urgent problem in the network security field. At present, it is not realistic to completely avoid the security incidents. What researchers can do is try to discover the intrusion as soon as possible to take effective measures to plug the loopholes and repair the system, which is called as intrusion detection research. Intrusion detection plays an important role in system security. This paper firstly presents the necessity, definition and principles of intrusion detection. Then we introduce the most popular intrusion detection algorithms: Boyer-Moore (BM) and Aho-Corasic (AC) algorithms. Finally the improved algorithms based on them, Comments-Walter algorithm and IACBM, are presented in this paper.",,978-1-4799-6635-6,,10.1109/ICICTA.2014.129,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7003592,Aho-Corasic (AC);Boyer-Moore (BM);Comments-Walter;IACBM;Intrusion Detection,Algorithm design and analysis;Automata;Computers;Intrusion detection;Pattern matching;Time complexity,authorisation;computer network security,AC algorithms;Aho-Corasic algorithms;BM algorithms;Boyer-Moore algorithms;Comments-Walter algorithm;IACBM;computer network technology;data access;network intrusion detection system;network security field;security incidents;system resources;system security;unauthorized access,,0,,12,,,25-26 Oct. 2014,,IEEE,IEEE Conference Publication
Expert System Based Intrusion Detection System,Hou Yong; Zheng Xue Feng,"Sch. of Inf. Eng., Univ. of Sci. & Technol. Beijing, Beijing, China","Information Management, Innovation Management and Industrial Engineering (ICIII), 2010 International Conference on",20110120,2010,4,,404,407,"Kernel principal component analysis (KPCA) has been effectively applied as an unsupervised non-linear feature extractor in many machine learning applications and suggested for various data stream classification tasks requiring a nonlinear transformation scheme to reduce dimensions. However, the dimensionality reduction ability is restricted because of KPCA's high time complexity. So the practicality of KPCA on large datasets is rare. Therefore in this paper, we proposes a novel kind of incremental kernel principal component analysis algorithm: Data characteristic extraction based on IPCA algorithm-DCEIPCA, which allows efficient processing of large datasets and overcome the insufficient of KPCA. On the basis of DCEIPCA, we propose Classification expert system (CES) for intrusion detection system. Extensive experiments on KDDcup99 datasets confirm the superiority of Intrusion detection system based on CES (IDSCES) over other recent Intrusion detection system<sup>[4-11]</sup>.",,978-1-4244-8829-2,,10.1109/ICIII.2010.578,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5694933,Dimensionality reduction;expert system;incremental kernel PCA;recurrent multilayered perception,,expert systems;feature extraction;principal component analysis;security of data,IPCA algorithm;data stream classification;expert system;intrusion detection system;kernel principal component analysis;nonlinear transformation scheme;unsupervised nonlinear feature extraction,,2,,10,,,26-28 Nov. 2010,,IEEE,IEEE Conference Publication
Genetic algorithm based feature selection approach for effective intrusion detection system,"Desale, K.S.; Ade, R.","Dept. of Comput. Eng., Savitribai Phule Univ. of Pune, Pune, India","Computer Communication and Informatics (ICCCI), 2015 International Conference on",20150824,2015,,,1,6,"Intrusion detection system (IDS) is the system which identifies malicious activity on the network. As the Internet volume is increasing rapidly, security against the real time attacks and their fast detection issues gain attention of many researchers. Data mining methods can be effectively applied to (IDS) to tackle the problems of dynamic huge network data and to improve IDS performance. We can reduce the time complexity by selecting only useful features to build model for classification. There are many features selection techniques are developed either to select the features or extract features. In this paper, an evolutionary approach for feature selection is proposed which is based on mathematical intersection principle. Genetic algorithm (GA) is used as a search method while selecting features from full NSL KDD data set along with the intersection principle of selecting those only who appears everywhere in the experiment. The results of proposed approach when compared using classifiers, it shows tremendous growth in accuracy of a Naive Bayes classifier with reduced time and minimum number of features.",,978-1-4799-6804-6,,10.1109/ICCCI.2015.7218109,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7218109,Dimensionality reduction;Feature Selection;Genetic Algorithm (GA);IDS;Naive Bayes,Accuracy;Classification algorithms;Computers;Correlation;Genetic algorithms;Sociology,Internet;computational complexity;computer network security;data mining;feature extraction;feature selection;genetic algorithms;pattern classification;search problems,IDS performance improvement;Internet volume;NSL KDD data set;Naive Bayes classifier;data mining methods;effective intrusion detection system;evolutionary approach;fast detection issues;feature extraction;genetic algorithm based feature selection approach;intersection principle;malicious activity identification;mathematical intersection principle;real time attacks;search method;time complexity reduction,,0,,17,,,8-10 Jan. 2015,,IEEE,IEEE Conference Publication
Research of the Artificial Immune Intrusion Detection System Model Based on the E-learning,Zhou Shaojing,"Dept. of Comput. Inf., Kunming Metall. Coll., Kunming, China","Information Technology and Applications (IFITA), 2010 International Forum on",20101111,2010,3,,126,130,"How to resolve the existence limitation of the traditional artificial immune detection system, how to realize the superiority complementarities of evolution algorithm about the traditional artificial immune detection technique, how to improve detection accuracy, efficiency and safety of system, in order to resolve these problems, the article has designed a model, which can mutually study by its learning robot among the different intrusion detection systems based on artificial immune principle. We define some concepts as following: e-learning, learning robot, suspected degree, backup rule storehouse and credible third party; and then give the logical structure of the primary intrusion detection system model, architecture of the artificial immune intrusion detection system based on e-learning and principle of the model;last explain and describe this mode and learning robot.",,978-1-4244-7621-3,978-1-4244-7622-0,10.1109/IFITA.2010.75,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5634703,backup rule storehouse;credible third party;e-learning;intrusion detection system model;learning robot;suspected degree,Algorithm design and analysis;Detectors;Electronic learning;Immune system;Intrusion detection;Robots,artificial immune systems;computer aided instruction;evolutionary computation;intelligent robots;security of data,artificial immune intrusion detection system model;backup rule storehouse;e-learning;evolution algorithm;learning robot;suspected degree,,2,,8,,,16-18 July 2010,,IEEE,IEEE Conference Publication
Efficient host based intrusion detection system using Partial Decision Tree and Correlation feature selection algorithm,"Lydia Catherine, F.; Pathak, R.; Vaidehi, V.","Dept. of Inf. Technol., Anna Univ., Chennai, India","Recent Trends in Information Technology (ICRTIT), 2014 International Conference on",20141229,2014,,,1,6,"System security has become significant issue in many organizations. The attacks like DoS, U2R, R2L and Probing etc., creating a serious threat to the appropriate operation of Internet services as well as in host system. In recent years, intrusion detection system is designed to prevent the intruder in the host as well as in network systems. Existing host based intrusion detection systems detects the intrusion using complete feature set and it is not fast enough to detect the attacks. To overcome this problem, this paper proposes an efficient HIDS - Correlation based Partial Decision Tree Algorithm (CPDT). The proposed CPDT combines Correlation feature selection for selecting features and Partial Decision Tree (PART) for classifying the normal and the abnormal packets. The algorithm is implemented and has been validated within KDD'99 dataset and found to give better results than the existing algorithms. The proposed CPDT model provides the accuracy of 99.9458%.",,,,10.1109/ICRTIT.2014.6996115,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6996115,CFS;DoS;IDS;Intruder;Probing;R2L;U2R,Accuracy;Algorithm design and analysis;Classification algorithms;Correlation;Decision trees;Feature extraction;Intrusion detection,computer network security;data mining;decision trees;feature selection;pattern classification;security of data,CPDT algorithm;DoS attack;HIDS;Internet service operation;KDD'99 dataset;PART;Probing attack;R2L attack;U2R attack;abnormal packet classification;correlation feature selection;correlation feature selection algorithm;correlation-based partial decision tree algorithm;host system;host-based intrusion detection system;network systems;normal packet classification;system security,,0,,16,,,10-12 April 2014,,IEEE,IEEE Conference Publication
A new model of intelligent hybrid network intrusion detection system,Xuedou Yu,"Dept. of Comput. Sci. & Technol., Dezhou Univ., Dezhou, China","Bioinformatics and Biomedical Technology (ICBBT), 2010 International Conference on",20100603,2010,,,386,389,"Intrusion detection is a dynamic security protection technology that can detect the internal and external network attacks. Now the shortcomings of the single detection system are that the false alarm rate and omission rate is relatively high and detection efficiency is relatively low. In this paper, a new type of intelligent hybrid detection system model is proposed after the comprehensive analysis of the advantages and disadvantages of each system, and we introduced several key module design and algorithm implementation. The model can be flexibly extended to meet different network environment, improve their detection performance and accuracy.",,978-1-4244-6775-4,,10.1109/ICBBT.2010.5478935,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5478935,Adaptive genetic algorithm;Immunoassay System;Three-layer BP network,Algorithm design and analysis;Biological neural networks;Computer networks;Computer security;Immune system;Information security;Intelligent networks;Intrusion detection;Neural networks;Pathology,computer network security;neural nets,dynamic security protection technology;false alarm rate;intelligent hybrid network intrusion detection system;neural networks;omission rate,,1,,11,,,16-18 April 2010,,IEEE,IEEE Conference Publication
Intrusion Detection System for Electric Power Information Network Based on Improved Ball Vector Machine,Wang Yufei; Zhou Liang; Wang Jing,"Dept. of Inf. & Commun., China Electr. Power Res. Inst., Beijing, China","Intelligent Systems Design and Engineering Applications, 2013 Fourth International Conference on",20140630,2013,,,369,373,"It is helpful to enhance the information security of Electric Power Information Network (EPIN) that researching the intrusion detection technology. In order to achieve efficient intrusion detection for EPIN, an Intrusion Detection System (IDS) based on the improved Ball Vector Machine (BVM) is proposed. In this paper, the IDS and its detection rules are automatically generated by the way that the improved BVM is used to train the historical data. In the IDS based on the improved BVM, the BVM is used to reduced time-consuming, in addition, in order to enhance the intrusion detection accuracy, the Particle Swarm Optimization (PSO) is used to search the best training parameters of BVM in training process. Finally the experiment based on EPIN data shows that the IDS based on the improved BVM has better performance than the traditions.",,978-1-4799-2791-3,,10.1109/ISDEA.2013.488,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6843465,controlled islanding;power flow tracing;power system;splitting boundary,Accuracy;Intrusion detection;Optimization;Power systems;Real-time systems;Support vector machines;Training,particle swarm optimisation;power engineering computing;power system security;security of data;support vector machines,BVM;EPIN data;IDS;PSO;electric power information network;historical data training process;improved ball vector machine;information security;intrusion detection system;particle swarm optimization;support vector machine,,0,,13,,,6-7 Nov. 2013,,IEEE,IEEE Conference Publication
Intrusion Detection System Platform Based on Light-Weighted Hybrid Artificial Immune Algorithms,Jinyin Chen; Dongyong Yang,"Software Coll., Zhejiang Univ. of Technol., Hangzhou, China","Natural Computation, 2009. ICNC '09. Fifth International Conference on",20091228,2009,4,,319,324,"Detectors generation algorithm plays an important role in IDS. In this paper, an IDS platform based on light-weighted HIDS is bought up. Firstly raw data is extracted by PCA for effective detection. And then detector generation algorithms based on NSA, SCSA, DCSA are implemented and simulated on PCA processed data. Tests have proved their efficiency. Hybrid intrusion detection is designed for real time detection and high detection rate. Finally, a comprehensive IDS platform is designed combining all above algorithms to compare performances and further study.",,978-0-7695-3736-8,,10.1109/ICNC.2009.509,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5363078,Artificial Immune algorithm;DCSA;GA;Hybrid;PCA;SCSA,Cloning;Educational institutions;Entropy;Feature extraction;Intrusion detection;Monitoring;Performance evaluation;Principal component analysis;Software algorithms;Testing,principal component analysis;security of data,PCA processed data;intrusion detection system platform;light-weighted hybrid artificial immune algorithms,,0,,15,,,14-16 Aug. 2009,,IEEE,IEEE Conference Publication
