http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.megabytes.QT.%29+OR+.QT.kilobytes.QT.%29+OR+.QT.gigabytes.QT.%29+OR+.QT.bytes.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/22/2015 19:05,"(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System)",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.megabytes.QT.%29+OR+.QT.kilobytes.QT.%29+OR+.QT.gigabytes.QT.%29+OR+.QT.bytes.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/22/2015 19:05,"(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System)",IEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
Finite State Machine Parsing for Internet Protocols: Faster Than You Think,"Graham, R.D.; Johnson, P.C.",,"Security and Privacy Workshops (SPW), 2014 IEEE",20141120,2014,,,185,190,"A parser's job is to take unstructured, opaque data and convert it to a structured, semantically meaningful format. As such, parsers often operate at the border between untrusted data sources (e.g., the Internet) and the soft, chewy center of computer systems, where performance and security are paramount. A firewall, for instance, is precisely a trust-creating parser for Internet protocols, permitting valid packets to pass through and dropping or actively rejecting malformed packets. Despite the prevalence of finite state machines (FSMs) in both protocol specifications and protocol implementations, they have gained little traction in parser code for such protocols. Typical reasons for avoiding the FSM computation model claim poor performance, poor scalability, poor expressibility, and difficult or time-consuming programming. In this research report, we present our motivations for and designs of finite state machines to parse a variety of existing Internet protocols, both binary and ASCII. Our hand-written parsers explicitly optimize around L1 cache hit latency, branch misprediction penalty, and program-wide memory overhead to achieve aggressive performance and scalability targets. Our work demonstrates that such parsers are, contrary to popular belief, sufficiently expressive for meaningful protocols, sufficiently performant for high-throughput applications, and sufficiently simple to construct and maintain. We hope that, in light of other research demonstrating the security benefits of such parsers over more complex, Turing-complete codes, our work serves as evidence that certain ``practical'' reasons for avoiding FSM-based parsers are invalid.",,,,10.1109/SPW.2014.34,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6957302,,Automata;Internet;Pipelines;Program processors;Protocols;Servers;Switches,Internet;finite state machines;protocols,FSM;Internet protocols;L1 cache hit latency;branch misprediction penalty;finite state machine parsing;program-wide memory overhead;protocol implementations;protocol specifications,,0,,9,,,17-18 May 2014,,IEEE,IEEE Conference Publications,
Towards an intrusion detection system for battery exhaustion attacks on mobile computing devices,"Nash, D.C.; Martin, T.L.; Ha, D.S.; Hsiao, M.S.","Dept. of ECE, Virginia Tech, Blacksburg, VA, USA","Pervasive Computing and Communications Workshops, 2005. PerCom 2005 Workshops. Third IEEE International Conference on",20050321,2005,,,141,145,"Mobile computers are subject to a unique form of denial of service attack known as a battery exhaustion attack, in which an attacker attempts to rapidly drain the battery of the device. In this paper we present our first steps in the design of an intrusion detection system for these attacks, a system that takes into account the performance, energy, and memory constraints of mobile computing devices. This intrusion detection system uses several parameters, such as CPU load and disk accesses, to estimate the power consumption using a linear regression model, allowing us to find the energy used on a per process basis, and thus identifying processes that are potentially battery exhaustion attacks.",,0-7695-2300-5,,10.1109/PERCOMW.2005.86,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1392818,,Batteries;Bluetooth;Cancer;Computer crime;DNA computing;Energy consumption;Intrusion detection;Memory management;Mobile computing;Pervasive computing,mobile computing;regression analysis;security of data,battery exhaustion attacks;denial of service attack;intrusion detection system;linear regression model;mobile computing devices;power consumption,,18,4,9,,,8-12 March 2005,,IEEE,IEEE Conference Publications,
Data-Stream-Based Intrusion Detection System for Advanced Metering Infrastructure in Smart Grid: A Feasibility Study,"Faisal, M.A.; Aung, Z.; Williams, J.R.; Sanchez, A.","Masdar Inst. of Sci. & Technol., Abu Dhabi, United Arab Emirates","Systems Journal, IEEE",20150303,2015,9,1,31,44,"As advanced metering infrastructure (AMI) is responsible for collecting, measuring, and analyzing energy usage data, as well as transmitting this information from a smart meter to a data concentrator and then to a headend system in the utility side, the security of AMI is of great concern in the deployment of smart grid. In this paper, we analyze the possibility of using data stream mining for enhancing the security of AMI through an intrusion detection system (IDS), which is a second line of defense after the primary security methods of encryption, authentication, authorization, etc. We propose a realistic and reliable IDS architecture for the whole AMI system, which consists of individual IDSs for three different levels of AMI's components: smart meter, data concentrator, and AMI headend. We also explore the performances of various existing state-of-the-art data stream mining algorithms on a publicly available IDS data set, namely, the KDD Cup 1999 data set. Then, we conduct a feasibility analysis of using these existing data stream mining algorithms, which exhibit varying levels of accuracies, memory requirements, and running times, for the distinct IDSs at AMI's three different components. Our analysis identifies different candidate algorithms for the different AMI components' IDSs, respectively.",1932-8184,,,10.1109/JSYST.2013.2294120,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6720175,Advanced metering infrastructure (AMI);data stream mining;intrusion detection system (IDS);smart grid (SG),Computer architecture;Data mining;Intrusion detection;Monitoring;Protocols;Smart grids,authorisation;cryptography;data mining;smart meters;smart power grids,KDD Cup 1999 data set;advanced metering infrastructure;authentication;authorization;data concentrator;data stream mining;encryption;intrusion detection system;primary security;security enhancement;smart grid;smart meter,,0,,38,,1/23/2014,Mar-15,,IEEE,IEEE Journals & Magazines,
A scalable high performance network monitoring agent for CERNET,Zhang Hui; Li Xing; Li Zimu,"CERNET Network Res. Center, Tsinghua Univ., Beijing, China","Parallel and Distributed Computing, Applications and Technologies, 2003. PDCAT'2003. Proceedings of the Fourth International Conference on",20031020,2003,,,151,156,"In a cost-effective way, collecting and analyzing data from such a nationwide operational network as China Education and Research Network (CERNET) is an increasingly challenging task. We present experience gained in designing and implementing a passive monitoring agent applicable to CERNET, which helps to cooperate not only with network intrusion detection system (IDS), network management system (NMS) for detecting and identifying signs of malicious activities, nonmalicious failures and other exceptional events in real-time, but provides anomaly information to accounting and billing system (ABS) so as to make it healthy. This agent is characterized by a high performance data collecting facility and a methodology of real-time data correlation and analysis. A customized agent can be deployed on a particular link of CERNET for monitoring network dynamically. We discuss how to conflate, correlate, associate and refine measurement data to discriminate anomalies such as DoS from normal traffic, and how to respond to the anomalies for the purpose of operational network's health. It concludes with experiences learned from the development and deployment of the agent and ongoing research work.",,0-7803-7840-7,,10.1109/PDCAT.2003.1236277,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1236277,,Bandwidth;Computer science education;Computerized monitoring;Condition monitoring;Data analysis;Event detection;Intrusion detection;Peer to peer computing;Spine;Telecommunication traffic,IP networks;computer network management;data mining;monitoring;security of data;software agents;telecommunication security,CERNET;China Education and Research Network;data mining;intrusion detection system;network management system;packet classification;passive monitoring agent;scalable high performance network monitoring agent;traffic collection,,0,,19,,,27-29 Aug. 2003,,IEEE,IEEE Conference Publications,
An application of decision support to network intrusion detection,Hongyu Yang; Lixia Xie; Jizhou Sun,"Software Base, Civil Aviation Univ. of China, Tianjin, China","Electrical and Computer Engineering, 2004. Canadian Conference on",20041101,2004,3,,1703,1706 Vol.3,"This paper describes the design of a decision support module (DSM) for an intrusion detection system, which can provide active detection and automated response support during intrusions. The primary function of the decision support module is to provide recommended actions and alternatives and the implications of each recommended action. In the decision support module, the GA (genetic algorithm) was run over a subset of the data, called the training data, and then tested over the entire data set to test real-world performance. The model generated by this GA was based on a new method of data analysis for the intrusion detection problem. Each node in the model's decision tree was designed to hold a randomized coefficient for the data, so that this coefficient multiplied by the data would yield a weight for the certainty of whether a certain record was an attack or not. The coefficients were based on ephemeral random constants (ERC), random numbers generated by the GA specific to mathematical modeling.",0840-7789,0-7803-8253-6,,10.1109/CCECE.2004.1349741,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1349741,,Application software;Computer displays;Computer science;Computer security;Genetic algorithms;Intrusion detection;Telecommunication traffic;Testing;Training data;Watches,authorisation;computer network management;decision support systems;decision trees;genetic algorithms;random number generation,GA;active detection;automated response support;certainty weight;data analysis;decision support module;decision tree;ephemeral random constants;genetic algorithm;mathematical modeling;network intrusion detection;random number generation;randomized coefficient;real-world performance;training data,,0,,20,,,2-5 May 2004,,IEEE,IEEE Conference Publications,
Hardware-Assisted Scanning for Signature Patterns in Image File Fragments,"Dandass, Y.S.","Mississippi State Univ., MS","System Sciences, 2007. HICSS 2007. 40th Annual Hawaii International Conference on",20070129,2007,,,268,268,"The ability to detect fragments of deleted image files and to reconstruct these image files from all available fragments on disk is an important activity in the field of digital forensics. Although reconstruction of image files from the file fragments on disk can be accomplished by simply comparing the content of sectors on disk with the content of known files, this brute-force approach can be time consuming. This paper presents results from research into the use of field programmable gate arrays (FPGAs) in detecting specific image file byte patterns in disk clusters. Unique identifying pattern for each disk sector is compared against patterns in known images. A pattern match indicates the potential presence of an image and flags the disk sector for further in-depth examination to confirm the match. The FPGA-based implementation outperforms the software implementation by a significant margin",1530-1605,,0-7695-2755-8,10.1109/HICSS.2007.244,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4076926,,Assembly;Data mining;Data structures;Digital forensics;Field programmable gate arrays;File systems;Image reconstruction;Image storage;Pattern matching;Scattering,digital signatures;disc storage;field programmable gate arrays;pattern matching;storage management,FPGA;MD5 hashes;deleted image file fragment detection;digital forensics;disk clusters;field programmable gate arrays;hardware-assisted scanning;image file reconstruction;signature pattern matching,,1,,13,,,Jan. 2007,,IEEE,IEEE Conference Publications,
Harnessing the Power of P2P Systems for Fast Attack Signature Validation,"Antonatos, S.; Vu Quang Hieu","Inst. of Comput. Sci., Found. for Res. & Technol. Hellas, Heraklion, Greece","Network and System Security, 2009. NSS '09. Third International Conference on",20091110,2009,,,107,114,"Attack signature validation plays a key role in intrusion detection and prevention technologies. Usually, when new attacks, particularly worms, appear, security software analyzes and generates signatures for these attacks. Since inaccurate signatures may block legitimate traffic that is similar to the attack traffic (false positives), security software is reluctant to deploy new signatures without extensive testing. The testing procedure, however, can be time consuming, resulting in significant delays (hours or even days) in signature dissemination. To alleviate this problem, in this paper, we propose a novel architecture based on P2P technology for fast content signature validation. The basic idea is to collect and store recent network traffic at peers participating in the system in advance and use it to validate new signatures. Since the amount of traffic that needs to be checked against is huge, we also propose a high-performance validation algorithm over stored traffic data. Experimental results show that our proposed system can validate candidate attack signatures and determine potential false positives rates in just a few seconds.",,978-1-4244-5087-9,978-0-7695-3838-9,10.1109/NSS.2009.64,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5318955,P2P defenses;indexing;signature validation,Computer science;Computer security;Computer worms;Cryptography;Databases;Filters;Intrusion detection;Power system security;Telecommunication traffic;Testing,digital signatures;invasive software;peer-to-peer computing,P2P system;attack signature validation;intrusion detection;legitimate traffic;network traffic;security software;signature dissemination;software worm,,0,,14,,,19-21 Oct. 2009,,IEEE,IEEE Conference Publications,
Distributed Intrusion Detection with Intelligent Network Interfaces for Future Networks,Yan Luo; Ke Xiang; Jie Fan; Chunhui Zhang,"Dept. of Electr. & Comput. Eng., Univ. of Massachusetts, Lowell, MA, USA","Communications, 2009. ICC '09. IEEE International Conference on",20090811,2009,,,1,5,"Intrusion detection remains an important and challenging task in current and next generation networks (NGN). Emerging technologies such as multi-core processors and virtualization have changed the architecture of the building elements of NGN significantly, thus call for rethinking of how network processing is done. In this paper, we propose distributed intrusion detection using intelligent network interfaces where additional processing capabilities are available. We design and implement a prototype to perform pattern matching using network processors since pattern matching is one of the important workloads in intrusion detection. Through the experimental results, we show the feasibility and performance of distributed intrusion detection in next generation networks.",1938-1883,978-1-4244-3435-0,978-1-4244-3435-0,10.1109/ICC.2009.5198928,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5198928,,Computer architecture;IP networks;Intelligent networks;Intrusion detection;Multicore processing;Network interfaces;Network servers;Next generation networking;Pattern matching;Prototypes,network interfaces;pattern matching;security of data,distributed intrusion detection;intelligent network interfaces;multicore processors;network processing;network processors;next generation networks;pattern matching;virtualization,,0,,15,,,14-18 June 2009,,IEEE,IEEE Conference Publications,
Autonomic Intelligent Cyber-Sensor to Support Industrial Control Network Awareness,"Vollmer, T.; Manic, M.; Linda, O.","Idaho Nat. Lab., Idaho Falls, ID, USA","Industrial Informatics, IEEE Transactions on",20140502,2014,10,2,1647,1658,"The proliferation of digital devices in a networked industrial ecosystem, along with an exponential growth in complexity and scope, has resulted in elevated security concerns and management complexity issues. This paper describes a novel architecture utilizing concepts of autonomic computing and a simple object access protocol (SOAP)-based interface to metadata access points (IF-MAP) external communication layer to create a network security sensor. This approach simplifies integration of legacy software and supports a secure, scalable, and self-managed framework. The contribution of this paper is twofold: 1) A flexible two-level communication layer based on autonomic computing and service oriented architecture is detailed and 2) three complementary modules that dynamically reconfigure in response to a changing environment are presented. One module utilizes clustering and fuzzy logic to monitor traffic for abnormal behavior. Another module passively monitors network traffic and deploys deceptive virtual network hosts. These components of the sensor system were implemented in C++ and PERL and utilize a common internal D-Bus communication mechanism. A proof of concept prototype was deployed on a mixed-use test network showing the possible real-world applicability. In testing, 45 of the 46 network attached devices were recognized and 10 of the 12 emulated devices were created with specific operating system and port configurations. In addition, the anomaly detection algorithm achieved a 99.9% recognition rate. All output from the modules were correctly distributed using the common communication structure.",1551-3203,,,10.1109/TII.2013.2270373,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6547755,Autonomic computing;control systems;industrial ecosystems;network security;service-oriented architecture,,access protocols;computer network security;fault tolerant computing;field buses;fuzzy logic;industrial control;intelligent sensors;meta data;network interfaces;pattern clustering,C++;IF-MAP;PERL;SOAP-based interface;anomaly detection algorithm;autonomic computing;autonomic intelligent cyber-sensor;digital device proliferation;flexible two-level communication layer;fuzzy logic;industrial control network awareness;internal D-Bus communication mechanism;legacy software;metadata access point external communication layer;mixed-use test network;network security sensor;networked industrial ecosystem;proof of concept prototype;self-managed framework;service oriented architecture;simple object access protocol-based interface;traffic monitor;virtual network hosts,,4,1,29,,6/26/2013,May-14,,IEEE,IEEE Journals & Magazines,
New directions in covert malware modeling which exploit white-listing,"Wang, J.; Kesidis, G.; Miller, D.J.","Dept. of EE&CSE, Penn State Univ., University Park, PA","Sarnoff Symposium, 2007 IEEE",20080716,2007,,,1,7,"Zero-day attacks - especially those that hide the attack exploit by using code obfuscation and encryption - remain a formidable challenge to existing network defenses. Many techniques have been developed that can address known attacks and similar new attacks that may arise in the future. Some methods, like Earlybird and Polygraph, focus on string-based content prevalence in payloads; others focus on the presence of particular I386 instructions, e.g., Sigfree counts the number of ldquousefulrdquo instructions in each request. For both types of systems, a white-listing mechanism, in which some strings or instructions are regarded as innocuous, is necessary to avoid a high false positive rate associated with common content such as URL addresses and peer-to-peer traffic. In this paper, we explore a more sophisticated attack model that not only makes malcode payloads look like nominal ones, but which is also assumed to be both aware of and exploitative of the white-listing itself in forming a Trojan mechanism. In other words, the malware attempts to embed its malcode into the prevalent content that is normally white-listed. If the malcode is encrypted, the attacker will also attempt to obfuscate its plain-text decryption code as much as possible. Both current string-based and instructionbased systems will likely fail to detect such attacks. We propose a comprehensive IDS model in the paper and discuss some potential defensive mechanisms against such attack.",,978-1-4244-2483-2,,10.1109/SARNOF.2007.4567340,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4567340,,Computer networks;Computer worms;Cryptography;Distributed computing;Electronic mail;Embedded computing;Humans;Intrusion detection;Military computing;Payloads,cryptography;invasive software;peer-to-peer computing;telecommunication security;telecommunication traffic;tree data structures,IDS model;Trojan mechanism;URL addresses;code obfuscation;covert malware modeling;encryption;generalized suffix tree;network defenses;payload-based detection;peer-to-peer traffic;string-based content prevalence;white-listing mechanism;zero-day attacks,,0,1,35,,,April 30 2007-May 2 2007,,IEEE,IEEE Conference Publications,
