http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.hours.QT.%29+AND+.QT.Intrusion+detection+system.QT.%29,11/22/2015 19:11,"((""hours"") AND ""Intrusion detection system"")",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Time Based Intrusion Detection on Fast Attack for Network Intrusion Detection System,"Faizal, M.A.; Mohd, Z.M.; Sahib, S.; Robiah, Y.; Siti, R.S.; Asrul, H.Y.","Fac. of Inf. & Commun. Technol., Univerisiti Teknikal Malaysia Melaka, Durian Tunggal, Malaysia","Network Applications Protocols and Services (NETAPPS), 2010 Second International Conference on",20101115,2010,,,148,152,"In recent years network attack are easily launch since the tools to execute the attack are freely available on the Internet. Even the script kiddies can initiate a sophisticated attack with just a basic knowledge on network and software technology. To overcome this matter, Intrusion Detection System (IDS) has been used as a vital instrument in defending the network from this malicious activity. With the ability to analyze network traffic and recognize incoming and on-going network attack, majority of network administrator has turn to IDS to help them in detecting anomalies in network traffic. The gathering of information and analysis on the anomalies activity can be classified into fast and slow attack. Since fast attack activity make a connection in few second and uses a large amount of packet, detecting this early connection provide the administrator one step ahead in deflecting further damages towards the network infrastructure. This paper describes IDS that detects fast attack intrusion using time based detection method. The time based detection method calculates the statistic of the frequency event which occurs between one second time intervals for each connection made to a host thus providing the crucial information in detecting fast attack.",,978-1-4244-8048-7,978-0-7695-4177-8,10.1109/NETAPPS.2010.33,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5635816,,Conferences;Feature extraction;Intrusion detection;Logistics;Predictive models;Protocols,Internet;computer network security;security of data,Internet;fast attack activity;frequency event statistics;malicious activity;network intrusion detection system;time based intrusion detection,,0,,26,,,22-23 Sept. 2010,,IEEE,IEEE Conference Publications
Expert System Based Intrusion Detection System,Hou Yong; Zheng Xue Feng,"Sch. of Inf. Eng., Univ. of Sci. & Technol. Beijing, Beijing, China","Information Management, Innovation Management and Industrial Engineering (ICIII), 2010 International Conference on",20110120,2010,4,,404,407,"Kernel principal component analysis (KPCA) has been effectively applied as an unsupervised non-linear feature extractor in many machine learning applications and suggested for various data stream classification tasks requiring a nonlinear transformation scheme to reduce dimensions. However, the dimensionality reduction ability is restricted because of KPCA's high time complexity. So the practicality of KPCA on large datasets is rare. Therefore in this paper, we proposes a novel kind of incremental kernel principal component analysis algorithm: Data characteristic extraction based on IPCA algorithm-DCEIPCA, which allows efficient processing of large datasets and overcome the insufficient of KPCA. On the basis of DCEIPCA, we propose Classification expert system (CES) for intrusion detection system. Extensive experiments on KDDcup99 datasets confirm the superiority of Intrusion detection system based on CES (IDSCES) over other recent Intrusion detection system<sup>[4-11]</sup>.",,978-1-4244-8829-2,,10.1109/ICIII.2010.578,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5694933,Dimensionality reduction;expert system;incremental kernel PCA;recurrent multilayered perception,,expert systems;feature extraction;principal component analysis;security of data,IPCA algorithm;data stream classification;expert system;intrusion detection system;kernel principal component analysis;nonlinear transformation scheme;unsupervised nonlinear feature extraction,,2,,10,,,26-28 Nov. 2010,,IEEE,IEEE Conference Publications
A new vision for intrusion detection system in information systems,"Lounis, O.; Malika, B.","Ind. & Comput. networks Lab. LRIIR, Univ. of Oran 1, Oran, Algeria","Science and Information Conference (SAI), 2015",20150903,2015,,,1352,1356,"In recent years, information systems have seen an amazing increase in attacks. Intrusion detection systems have become the mainstream of information assurance. While firewalls and the two basic systems of cryptography (symmetric and asymmetric) do provide some protection, they do not provide complete protection and still need to be supplemented by an intrusion detection system. Most of the work done on the IDS is based on two approaches; the anomaly approach and misuse approach. Each of these approaches whether they are implemented in HIDS or NIDS have weaknesses. To respond these limitations, we propose a new way of seeing in intrusion detection systems. This vision can be described as follows: Instead of taking and analyzing each attack separately one from the other (have several signature for each type of attack knowing that there is various attacks and several variant of these attacks) or, instead of analyzing log files of the system, so why not see the consequences of these attacks and try to ensure that the security properties affected by these attacks will not be compromise. To do so, we will take the language which is realized by Jonathan Rouzauld Cornabas to modelize the system's entities to protect. This paper represents only the idea on which we will base on, in order to design an effective IDS in the operating system running in user space.",,,,10.1109/SAI.2015.7237318,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7237318,intrusion detection system;realtime system;security;security properties,Access control;Computational modeling;Computers;Databases;Intrusion detection;Operating systems,cryptography;firewalls;information systems;operating systems (computers),IDS;anomaly approach;cryptography;firewalls;information assurance;information systems;intrusion detection system;misuse approach;operating system;security properties,,0,,,,,28-30 July 2015,,IEEE,IEEE Conference Publications
Network Intrusion Detection System using attack behavior classification,"Al-Jarrah, O.; Arafat, A.","Dept. of Comput. Eng., Jordan Univ. of Sci. & Technol., Irbid, Jordan","Information and Communication Systems (ICICS), 2014 5th International Conference on",20140626,2014,,,1,6,"Intrusion Detection Systems (IDS) have become a necessity in computer security systems because of the increase in unauthorized accesses and attacks. Intrusion Detection is a major component in computer security systems that can be classified as Host-based Intrusion Detection System (HIDS), which protects a certain host or system and Network-based Intrusion detection system (NIDS), which protects a network of hosts and systems. This paper addresses Probes attacks or reconnaissance attacks, which try to collect any possible relevant information in the network. Network probe attacks have two types: Host Sweep and Port Scan attacks. Host Sweep attacks determine the hosts that exist in the network, while port scan attacks determine the available services that exist in the network. This paper uses an intelligent system to maximize the recognition rate of network attacks by embedding the temporal behavior of the attacks into a TDNN neural network structure. The proposed system consists of five modules: packet capture engine, preprocessor, pattern recognition, classification, and monitoring and alert module. We have tested the system in a real environment where it has shown good capability in detecting attacks. In addition, the system has been tested using DARPA 1998 dataset with 100% recognition rate. In fact, our system can recognize attacks in a constant time.",,978-1-4799-3022-7,,10.1109/IACS.2014.6841978,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6841978,Host sweep;Intrusion Detection Systems;Network probe attack;Port scan;TDNN neural network,IP networks;Intrusion detection;Neural networks;Pattern recognition;Ports (Computers);Probes;Protocols,computer network security;neural nets;pattern classification,HIDS;NIDS;TDNN neural network structure;alert module;attack behavior classification;computer security systems;host sweep attacks;host-based intrusion detection system;network intrusion detection system;network probe attacks;packet capture engine;pattern classification;pattern recognition;port scan attacks;preprocessor;reconnaissance attacks;unauthorized accesses,,0,,26,,,1-3 April 2014,,IEEE,IEEE Conference Publications
Fusion of Rough Set Theory and Linear SVM for Intrusion Detection System,Qingxiang Wu; Jianmei Shuai,"Dept. of Autom., Univ. of Sci. & Technol. of China, Hefei, China","Information Engineering and Computer Science, 2009. ICIECS 2009. International Conference on",20091228,2009,,,1,4,"In order to detect, identity and hold up network attacks, a network intrusion detection system based on rough set theory and multiclass linear support vector machine (linear SVM) is in this article. The system makes the most of rough set theory and linear SVM to reduce the redundancies of data sets and improve the detection rate of EDS. The simulation experiment shows this approach has higher ratio of correct classification, while shortens training time of the classifier in a wide range, which is going to a pretty momentous improvement in real-time detection. On the other hand, this approach has reduced memory usage and improved the generalization ability of the system.",,978-1-4244-4994-1,,10.1109/ICIECS.2009.5364978,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5364978,,Artificial intelligence;Automation;Data mining;Decision trees;Hybrid intelligent systems;Intrusion detection;Protection;Set theory;Support vector machine classification;Support vector machines,rough set theory;security of data;support vector machines,EDS detection rate improvement;data sets redundancies reduction;linear SVM;memory usage reduction;multiclass linear support vector machine;network intrusion detection system;rough set theory,,1,,15,,,19-20 Dec. 2009,,IEEE,IEEE Conference Publications
Data-Stream-Based Intrusion Detection System for Advanced Metering Infrastructure in Smart Grid: A Feasibility Study,"Faisal, M.A.; Aung, Z.; Williams, J.R.; Sanchez, A.","Masdar Inst. of Sci. & Technol., Abu Dhabi, United Arab Emirates","Systems Journal, IEEE",20150303,2015,9,1,31,44,"As advanced metering infrastructure (AMI) is responsible for collecting, measuring, and analyzing energy usage data, as well as transmitting this information from a smart meter to a data concentrator and then to a headend system in the utility side, the security of AMI is of great concern in the deployment of smart grid. In this paper, we analyze the possibility of using data stream mining for enhancing the security of AMI through an intrusion detection system (IDS), which is a second line of defense after the primary security methods of encryption, authentication, authorization, etc. We propose a realistic and reliable IDS architecture for the whole AMI system, which consists of individual IDSs for three different levels of AMI's components: smart meter, data concentrator, and AMI headend. We also explore the performances of various existing state-of-the-art data stream mining algorithms on a publicly available IDS data set, namely, the KDD Cup 1999 data set. Then, we conduct a feasibility analysis of using these existing data stream mining algorithms, which exhibit varying levels of accuracies, memory requirements, and running times, for the distinct IDSs at AMI's three different components. Our analysis identifies different candidate algorithms for the different AMI components' IDSs, respectively.",1932-8184,,,10.1109/JSYST.2013.2294120,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6720175,Advanced metering infrastructure (AMI);data stream mining;intrusion detection system (IDS);smart grid (SG),Computer architecture;Data mining;Intrusion detection;Monitoring;Protocols;Smart grids,authorisation;cryptography;data mining;smart meters;smart power grids,KDD Cup 1999 data set;advanced metering infrastructure;authentication;authorization;data concentrator;data stream mining;encryption;intrusion detection system;primary security;security enhancement;smart grid;smart meter,,0,,38,,1/23/2014,Mar-15,,IEEE,IEEE Journals & Magazines
A peer-to-peer collaborative intrusion detection system,"Zhou, C.V.; Karunasekera, S.; Leckie, C.","Dept. of Comput. Sci. & Software Eng., Melbourne Univ., Carlton, Vic., Australia","Networks, 2005. Jointly held with the 2005 IEEE 7th Malaysia International Conference on Communication., 2005 13th IEEE International Conference on",20060619,2005,1,,6 pp.,,"Many types of network intrusions occur in multiple networks simultaneously, for example, scanning, worms, and denial-of-service attacks. Most of the current intrusion detection systems work in isolation to detect these attacks. Past research has shown that collaboration between these networks to share suspicious information is an effective way to detect intrusion. However, there are some challenges associated with the idea of collaborative detection, such as scalability and avoidance of a central point of failure. We propose a peer-to-peer approach for collaborative intrusion detection to address these challenges. Our solution proposes secure data sharing between participants from different organizations using a content based peer-to-peer publish/subscribe mechanism. The proposed scheme improves scalability, while avoiding a central point of failure. Our experimental results show improved detection latency and effective load balancing compared to a centralized architecture.",1531-2216,1-4244-0000-7,,10.1109/ICON.2005.1635451,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1635451,,Collaboration;Collaborative work;Computer architecture;Computer crime;Computer science;Computer worms;Intrusion detection;Peer to peer computing;Scalability;Software engineering,peer-to-peer computing;resource allocation;security of data,collaborative intrusion detection system;data sharing;load balancing;peer-to-peer system;scalability improvement,,4,1,15,,,16-18 Nov. 2005,,IEEE,IEEE Conference Publications
The intrusion detection system based on fuzzy association rules mining,Ma Yanchun,"North China Inst. of Sci. & Technol., Beijing-East, China","Computer Engineering and Technology (ICCET), 2010 2nd International Conference on",20100617,2010,7,,V7-667,V7-672,"In this paper, we integrate fuzzy association rules to design and implement an abnormal network intrusion detection system. Since the association rules used in traditional information detection cannot effectively deal with changes in network behavior, it will better meet the actual needs of abnormal detection to introduce the concept of fuzzy association rules to strengthen the adaptability. This paper mainly focuses on the study of Denial of Service (DOS). According to the experimental results, it is found that our system can correctly identify all DOS attacks on test after appropriate adjustment of system parameters. Moreover, it also proves, in the experiment, that our system would not result in false positives under such circumstances as a large amount of instantaneous FTP normal packet flow. In addition, if source of an attacker can be determined, the system will also be able to promptly inform the firewall to alter its rules and cut off the connection.",,978-1-4244-6347-3,,10.1109/ICCET.2010.5485674,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5485674,association Rules;denial-of-service attack;fuzzy association rules;fuzzy theory;network security,Association rules;Computer crime;Data mining;Electronic mail;Fuzzy systems;Intrusion detection;Itemsets;Protection;Real time systems;Transaction databases,authorisation;data mining;fuzzy systems,adaptability;denial of service;firewall;fuzzy association rules mining;information detection;intrusion detection system;normal packet flow;system parameters,,1,,6,,,16-18 April 2010,,IEEE,IEEE Conference Publications
PAIDS: A Proximity-Assisted Intrusion Detection System for Unidentified Worms,Zhenyun Zhuang; Ying Li; Zesheng Chen,"Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA","Computer Software and Applications Conference, 2009. COMPSAC '09. 33rd Annual IEEE International",20090922,2009,1,,392,399,"The wide spread of worms poses serious challenges to today's Internet.Various IDSes (intrusion detection systems) have been proposed to identify or prevent such spread. These IDSes can be largely classified as signature-based or anomaly-based ones depending on what type of knowledge the system knows. Signature-based IDSes are unable to detect the outbreak of new and unidentified worms when the worms' characteristic patterns are unknown. In addition, new worms are often sufficiently intelligent to hide their activities and evade anomaly detection. Moreover, modern worms tend to spread more quickly, and the outbreak period lasts in the order of hours or even minutes. Such characteristics render existing detection mechanisms less effective.In this work, we consider the drawbacks of current detection approaches and propose PAIDS, a proximity-assisted IDS approach for identifying the outbreak of unknown worms. PAIDS does not rely on signatures.Instead, it takes advantage of the proximity information of compromised hosts. PAIDS operates on an orthogonal dimension with existing IDS approaches and can thus work collaboratively with existing IDSes to achieve better performance. We test the effectiveness of PAIDS with trace-driven simulations and show that PAIDS has a high detection rate and a low false positive rate.",0730-3157,978-0-7695-3726-9,,10.1109/COMPSAC.2009.59,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5254234,Intrusion Detection System;Proximity;Worm,Application software;Collaborative work;Computer applications;Computer worms;Educational institutions;Failure analysis;Impedance;Internet;Intrusion detection;Pattern analysis,Internet;digital signatures;invasive software,Internet;PAIDS;anomaly detection;proximity-assisted intrusion detection system;signature-based scheme;unidentified worm,,0,,35,,,20-24 July 2009,,IEEE,IEEE Conference Publications
The research and implementation of intelligent intrusion detection system based on artificial neural network,Jian Li; Guo-Yin Zhang; Guo-chang Gu,"Coll. of Comput. Sci. & Technol., Harbin Eng. Univ., China","Machine Learning and Cybernetics, 2004. Proceedings of 2004 International Conference on",20050124,2004,5,,3178,3182 vol.5,"An intrusion detection system is an important component of the computer and information security framework. Its main goal is to differentiate between normal activities of the system and behaviors that can be classified as suspicious or intrusive. The research aims at the design, implementation and evaluation of an intelligent intrusion detection system based on artificial neural network that can promptly detect attacks, no matter they are known or not. In this system, neural network is used to learn about the normal users' behavior to form the network traffic that only contains information about normal users. When the learning is over, the system is tested with the network traffic that contains both attacks and normal data. A simulated computer network is used to test the system performance. In experiments, system performance has been compared with other research works and the results in experiments are very promising.",,0-7803-8403-2,,10.1109/ICMLC.2004.1378582,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1378582,,Artificial intelligence;Artificial neural networks;Information security;Intelligent networks;Intelligent systems;Intrusion detection;System performance;System testing;Telecommunication traffic;Traffic control,backpropagation;computer networks;neural nets;security of data,artificial neural network;backpropagation;computer security;information security;intelligent intrusion detection system;network traffic;neural network learning;simulated computer network,,3,,8,,,26-29 Aug. 2004,,IEEE,IEEE Conference Publications
