http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.minutes.QT.%29+AND+.QT.Intrusion+detection+system.QT.%29,11/22/2015 19:09,"((""minutes"") AND ""Intrusion detection system"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,
A transfer function based intrusion detection system for SCADA systems,"Papa, S.; Casper, W.; Nair, S.","Lockheed Martin Aeronaut., Fort Worth, TX, USA","Homeland Security (HST), 2012 IEEE Conference on Technologies for",20130214,2012,,,93,98,"Most SCADA and industrial control systems have a limited and deterministic set of behaviors that results with a relatively small amount of variability during normal system operation. Automatic controller commands, operator commands and sensor measurement data within the system may be modified by an attacker to cause system failures. To detect these intrusions a Transfer Function based Intrusion Detection System (TFIDS) is proposed in this paper. Normal operational behaviors can be modeled and integrated into the TFIDS with alarm filtering and reporting rules. Trust anchors within the system are required to collect some of the signals, ensure the signal integrity when delivered to the TFIDS, and to host the TFIDS if physical attacks are a concern. This paper provides an overview of the TFIDS and simulation results for attacks on a waste water treatment system with and without the TFIDS.",,978-1-4673-2708-4,,10.1109/THS.2012.6459831,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6459831,SCADA;embedded security;intrusion detection system;secure hardware;secure software;trust;trust anchor,IP networks;Intrusion detection;Mathematical model;Reservoirs;SCADA systems;Servers;Transfer functions,SCADA systems;filtering theory;security of data;system recovery;transfer functions,SCADA systems;TFIDS;alarm filtering;automatic controller commands;industrial control systems;normal operational behaviors;normal system operation;operator commands;reporting rules;sensor measurement data;signal integrity;system failure;transfer function based intrusion detection system;trust anchors;waste water treatment system,,1,,22,,,13-15 Nov. 2012,,IEEE,IEEE Conference Publications,,,
An adaptive LAN intrusion detection system based on computer immunology,Tie-Shan Zhao; Zeng-Zhi Li; Ze-Min Wang; Xiao-Jun Lin,"Xi ''an Jiaotong Univ., Xian","Robotics and Biomimetics, 2007. ROBIO 2007. IEEE International Conference on",20080516,2007,,,2234,2238,"It is very useful to design adaptive LAN intrusion detection systems to improve the security of LANs. If a network connection links to an open port of an active host, it is defined as a normal one; otherwise, it is defined as an abnormal one. Rationality of the definitions is proved. Normal connections are self-bodies. A correct and complete self-body set can be used for an antibody set. If a new network connection doesn't match any self-body, it is abnormal. An adaptive antibody generation model is presented firstly. Based on it, an adaptive intrusion detection system is introduced. Experiments show that the system is feasible: the detection rate of intruders' scans is 100%, of intruders' random probes is more than 98%, and there are no false alerts.",,978-1-4244-1761-2,978-1-4244-1758-2,10.1109/ROBIO.2007.4522517,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4522517,Adaptive;Computer immunology;Correct and complete self-body set;Intrusion detection system,Biological system modeling;Biology computing;Computational modeling;Computer networks;Computer security;Educational institutions;Immune system;Internet;Intrusion detection;Local area networks,local area networks;security of data,LAN security;adaptive LAN intrusion detection system;adaptive antibody generation model;computer immunology;network connection links,,0,,15,,,15-18 Dec. 2007,,IEEE,IEEE Conference Publications,,,
Time Based Intrusion Detection on Fast Attack for Network Intrusion Detection System,"Faizal, M.A.; Mohd, Z.M.; Sahib, S.; Robiah, Y.; Siti, R.S.; Asrul, H.Y.","Fac. of Inf. & Commun. Technol., Univerisiti Teknikal Malaysia Melaka, Durian Tunggal, Malaysia","Network Applications Protocols and Services (NETAPPS), 2010 Second International Conference on",20101115,2010,,,148,152,"In recent years network attack are easily launch since the tools to execute the attack are freely available on the Internet. Even the script kiddies can initiate a sophisticated attack with just a basic knowledge on network and software technology. To overcome this matter, Intrusion Detection System (IDS) has been used as a vital instrument in defending the network from this malicious activity. With the ability to analyze network traffic and recognize incoming and on-going network attack, majority of network administrator has turn to IDS to help them in detecting anomalies in network traffic. The gathering of information and analysis on the anomalies activity can be classified into fast and slow attack. Since fast attack activity make a connection in few second and uses a large amount of packet, detecting this early connection provide the administrator one step ahead in deflecting further damages towards the network infrastructure. This paper describes IDS that detects fast attack intrusion using time based detection method. The time based detection method calculates the statistic of the frequency event which occurs between one second time intervals for each connection made to a host thus providing the crucial information in detecting fast attack.",,978-1-4244-8048-7,978-0-7695-4177-8,10.1109/NETAPPS.2010.33,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5635816,,Conferences;Feature extraction;Intrusion detection;Logistics;Predictive models;Protocols,Internet;computer network security;security of data,Internet;fast attack activity;frequency event statistics;malicious activity;network intrusion detection system;time based intrusion detection,,0,,26,,,22-23 Sept. 2010,,IEEE,IEEE Conference Publications,,,
Generating representative traffic for intrusion detection system benchmarking,"Kayacik, H.G.; Zincir-Heywood, N.","Fac. of Comput. Sci., Dalhousie Univ., Halifax, NS, Canada","Communication Networks and Services Research Conference, 2005. Proceedings of the 3rd Annual",20050531,2005,,,112,117,"In this paper, a modeling and simulation framework is proposed for generating data for training and testing intrusion detection systems. The framework can develop models of Web usage from Web server logs in a data driven fashion and the actual traffic is generated by employing the Web browser installed on the host. Additionally, we employed an intrusion detection system as a traffic analyzer to validate the synthetic data that the framework generated and compared it against the standard intrusion detection system benchmark data, namely KDD 99 datasets.",,0-7695-2333-1,,10.1109/CNSR.2005.35,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1429954,Intrusion Detection;Markov Models;Network Security;Self-Organizing Maps;Traffic Modeling,Delay;Exponential distribution;Intrusion detection;Probability distribution;Telecommunication traffic;Testing;Training data;Uniform resource locators;Web pages;Web server,Internet;benchmark testing;file servers;online front-ends;security of data;telecommunication security;telecommunication traffic,Web browser;Web server;benchmarking;data driven fashion;intrusion detection system testing;system traffic,,2,,16,,,16-18 May 2005,,IEEE,IEEE Conference Publications,,,
Policy and network-based intrusion detection system for IPv6-enabled wireless sensor networks,"Amaral, J.P.; Oliveira, L.M.; Rodrigues, J.J.P.C.; Guangjie Han; Lei Shu","Inst. de Telecomun., Univ. of Beira Interior, Covilha, Portugal","Communications (ICC), 2014 IEEE International Conference on",20140828,2014,,,1796,1801,"The recent years realize a progressive transition where fixed computing reached maturity and the mobility age started to thrive. Nowadays, another transition from the mobility age to the “Internet of Everything” (IoE) is taking place. In the IoE vision, several types of quotidian objects will be able to communicate over the Internet. As a result, it is expected that within a decade, IoE will have an economic value of $14.4 trillion, as the number of devices connected to the Internet continues to increase exponentially. The support for security services in these emerging resource-constrained devices is considered a challenge but needs to take into account from the very early stages of the wireless network inception. This paper proposes a network-based intrusion detection system (IDS) for IPv6-enabled wireless sensor networks. The proposed IDS is used to detect security attacks based on traffic signatures and abnormal behaviors.",,,,10.1109/ICC.2014.6883583,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6883583,6LoWPAN;IDS;Internet of everything;Internet of things;Intrusion detection system;WSN;Wireless sensor networks,Energy management;Intrusion detection;Monitoring;Protocols;Software;Wireless sensor networks,IP networks;digital signatures;security of data;telecommunication traffic;wireless sensor networks,IPv6-enabled wireless sensor networks;Internet of Everything;IoE;abnormal behaviors;network-based intrusion detection system;policy;quotidian objects;resource-constrained devices;security attack detection;security services;traffic signatures,,0,,19,,,10-14 June 2014,,IEEE,IEEE Conference Publications,,,
Research of Network Intrusion Detection system based on snort and NTOP,YingHui Peng,"Coll. of Inf. & Technol. Eng., TianJin Univ. of Technol. & Educ., Tianjin, China","Fuzzy Systems and Knowledge Discovery (FSKD), 2012 9th International Conference on",20120709,2012,,,2764,2768,"Network Intrusion Detection System (NIDS) can pro-active, real-time, detect automatically and analyze all kinds of data for finding intrusion behavior. This paper introduces the structure of snort and NTOP, and proposes a new design idea of combining Snort with NTOP, and this idea is validated by experiment. The experiment result proves that intrusion behavior can be detected by this system.",,978-1-4673-0025-4,,10.1109/FSKD.2012.6233822,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6233822,NAPI;NIDS;NTOP;Snort,Data communication;Databases;Detectors;Educational institutions;Intrusion detection;Monitoring;Protocols,computer network security,NTOP;Snort;computer network;intrusion behavior;network intrusion detection system,,0,,6,,,29-31 May 2012,,IEEE,IEEE Conference Publications,,,
Hypervisor-based cloud intrusion detection system,"Nikolai, J.; Yong Wang","Coll. of Bus. & Inf. Syst., Dakota State Univ., Madison, SD, USA","Computing, Networking and Communications (ICNC), 2014 International Conference on",20140410,2014,,,989,993,"Shared resources are an essential part of cloud computing. Virtualization and multi-tenancy provide a number of advantages for increasing resource utilization and for providing on demand elasticity. However, these cloud features also raise many security concerns related to cloud computing resources. In this paper, we propose an architecture and approach for leveraging the virtualization technology at the core of cloud computing to perform intrusion detection security using hypervisor performance metrics. Through the use of virtual machine performance metrics gathered from hypervisors, such as packets transmitted/received, block device read/write requests, and CPU utilization, we demonstrate and verify that suspicious activities can be profiled without detailed knowledge of the operating system running within the virtual machines. The proposed hypervisor-based cloud intrusion detection system does not require additional software installed in virtual machines and has many advantages compared to host-based and network based intrusion detection systems which can complement these traditional approaches to intrusion detection.",,,,10.1109/ICCNC.2014.6785472,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6785472,Cloud Computing;hypervisor;intrusion detection,Cloud computing;Computer crime;Intrusion detection;Measurement;Virtual machine monitors;Virtual machining,cloud computing;computer network security;software architecture;software metrics;virtual machines;virtualisation,CPU utilization;block device read requests;block device write requests;cloud computing resources;cloud features;hypervisor performance metrics;hypervisor-based cloud intrusion detection system;intrusion detection security;multitenancy;operating system;packet transmission;received packets;shared resource utilization;virtual machine performance metrics;virtualization;virtualization technology,,1,,16,,,3-6 Feb. 2014,,IEEE,IEEE Conference Publications,,,
NetFlow based intrusion detection system,Tsang-Long Pao; Po-Wei Wang,"Dept. Comput. Sci. & Eng., Tatung Univ., Taipei, Taiwan","Networking, Sensing and Control, 2004 IEEE International Conference on",20040927,2004,2,,731,736 Vol.2,"In this paper, a NetFlow based anomaly intrusion detection system is presented. In addition, guidelines to properly configure and setup network device to minimize the possibilities that network attacks come from inside are also proposed. As the Internet becomes the platform of daily activities, the threat of network attack is also become more serious. Firewall along is not able to protect the system from being attacked through normal service channel. Furthermore, most of the current intrusion detection system focuses on the border of organization network. If the attack comes from inside, this setup does not provide any protection to hosts in the local network and the network itself. Therefore, we need to use other mechanism to protect the critical system as well as the network itself. We propose an inexpensive and easy to implement way to perform the anomaly type intrusion detection based on the NetFlow data exported from the routers or other network probes. Our system can detect several types of network attack from inside or outside and perform counter maneuver accordingly.",1810-7869,0-7803-8193-9,,10.1109/ICNSC.2004.1297037,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1297037,,Application software;Computer science;Hardware;Home computing;IP networks;Intrusion detection;Network servers;Payloads;Protection;Wide area networks,Internet;security of data;telecommunication security,Internet;intrusion detection system;net flow;network attack;network security,,2,,8,,,2004,,IEEE,IEEE Conference Publications,,,
A Novel Cross Layer Intrusion Detection System in MANET,"Shrestha, R.; Kyong-Heon Han; Dong-You Choi; Seung-Jo Han","Dept. of Inf. & Commun. Eng., Chosun Univ., Gwangju, South Korea","Advanced Information Networking and Applications (AINA), 2010 24th IEEE International Conference on",20100601,2010,,,647,654,"Intrusion detection System forms a vital component of internet security. To keep pace with the growing trends, there is a critical need to replace single layer detection technology with multi layer detection. Different types of Denial of Service (DoS) attacks thwart authorized users from gaining access to the networks and we tried to detect as well as alleviate some of those attacks. In this paper, we have proposed a novel cross layer intrusion detection architecture to discover the malicious nodes and different types of DoS attacks by exploiting the information available across different layers of protocol stack in order to improve the accuracy of detection. We have used cooperative anomaly intrusion detection with data mining technique to enhance the proposed architecture. We have implemented fixed width clustering algorithm for efficient detection of the anomalies in the MANET traffic and also generated different types of attacks in the network. The simulation of the proposed architecture is performed in OPNET simulator and we got the result as we expected.",1550-445X,978-1-4244-6695-5,,10.1109/AINA.2010.52,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5474773,AODV;Cross layer;DoS;IDS;MANET,Access protocols;Clustering algorithms;Computer crime;Cross layer design;Data mining;Internet;Intrusion detection;Mobile ad hoc networks;Telecommunication traffic;Traffic control,Internet;ad hoc networks;computer network security;data mining;mobile communication,DoS attacks;Internet security;MANET;OPNET simulator;cooperative anomaly intrusion detection;cross layer intrusion detection system;data mining;denial of service;malicious nodes;multi layer detection;protocol stack,,5,,21,,,20-23 April 2010,,IEEE,IEEE Conference Publications,,,
An integrated intrusion detection system by using multiple neural networks,Guisong Liu; Xiaobin Wang,"Sch. of Comput. Sci. & Eng., Univ. of Electron. Sci. & Technol. of China, Chengdu","Cybernetics and Intelligent Systems, 2008 IEEE Conference on",20081111,2008,,,22,27,"Neural networks approach is one of the most promising methodologies for intrusion detection in network security. An integrated intrusion detection system (IIDS) scheme based on multiple neural networks is proposed. The approaches used in IIDS include principal component neural networks, growing neural gas networks and principal component self-organizing map networks. By the abilities of classification and clustering analysis of the above methods, IIDS can be adapted to both anomaly and misuse detections for intrusive outsiders. The training stage is a mixture of supervised manner and unsupervised one. Furthermore, IIDS uses the buffering and spoofing principles of address resolution protocol (ARP) to capture and refuse the insider intruders trying to log on a local area network (LAN). Therefore, IIDS is able to detect the intrusions/attacks both from the outer Internet and an inner LAN. Experiments are carried out to illustrate the performance of the proposed intrusion detection system by using the KDD CUP 1999 Intrusion Detection Evaluation dataset.",,978-1-4244-1673-8,978-1-4244-1674-5,10.1109/ICCIS.2008.4670871,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4670871,Address Resolution Protocol;Intrusion Detection System;Neural Gas Networks;Principal Component Neural Networks;Self-Organizing Map,Computer networks;Computer security;Intrusion detection;Laboratories;Local area networks;Monitoring;Neural networks;Protection;Protocols;Waste materials,computer networks;principal component analysis;security of data;self-organising feature maps;telecommunication security,Internet;KDD CUP 1999 Intrusion Detection Evaluation dataset;LAN;address resolution protocol;clustering analysis;integrated intrusion detection system;local area network;multiple neural networks;network security;neural gas networks;principal component neural networks;principal component self- organizing map networks,,0,,17,,,21-24 Sept. 2008,,IEEE,IEEE Conference Publications,,,
