http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.seconds.QT.%29+AND+.QT.Intrusion+detection+system.QT.%29,11/22/2015 19:09,"((""seconds"") AND ""Intrusion detection system"")",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Optimization of the Neural-Network-Based Multiple Classifiers Intrusion Detection System,Xiangmei Li,"Coll. of Network Eng., Chengdu Univ. of Inf. Technol., Chengdu, China","Internet Technology and Applications, 2010 International Conference on",20100909,2010,,,1,4,"In this paper, according to the difference between the attack categories, we adjust the 41-dimensional input features of the neural-network-based multiple classifiers intrusion detection system. After repeated experiment, we find that the every adjusted sub-classifier is better in convergence precision, shorter in training time than the 41-features sub-classifier, moreover, the whole intrusion detection system is higher in the detection rate, and less in the false negative rate than the 41-features multiple classifiers intrusion detection system. So, the scheme of the adjusting input features is able to optimize the neural-network-based multiple classifiers intrusion detection system, and proved to be feasible in practice.",,978-1-4244-5142-5,978-1-4244-5143-2,10.1109/ITAPP.2010.5566641,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5566641,,Artificial neural networks;Computer crime;Feature extraction;Intrusion detection;Probes;Testing;Training,neural nets;optimisation;pattern classification;security of data,convergence precision;multiple classifiers intrusion detection system;neural network optimisation,,1,,9,,,20-22 Aug. 2010,,IEEE,IEEE Conference Publications,
A parallel technique for improving the performance of signature-based network intrusion detection system,"Shiri, F.I.; Shanmugam, B.; Idris, N.B.","Adv. Informatic Sch., Univ. Teknol. Malaysia, Kuala Lumpur, Malaysia","Communication Software and Networks (ICCSN), 2011 IEEE 3rd International Conference on",20110908,2011,,,692,696,"Nowadays, organizations discover that it is essential to protect their valuable information and internal resources from unauthorized access like deploying firewall. Firewall could prevent unauthorized access, but it cannot monitor network attacks. Another network security tool such as intrusion detection system is necessary to perform network activities monitoring. With the recent trend of high-speed networks, a large volume of data should be analyzed and processed with high-speed infrastructure. To promote the performance of network intrusion detection system and reduce the processing time of the traffic, present studies on network intrusion detection system for high-speed network focus on parallel techniques as an alternative. In this paper, a kind of parallelism is proposed to improve the performance of signature based intrusion detection system. The experimental results show that by the use of two signature based network intrusion detection systems running Snort in parallel with a portion of packets and a subset of rules, and distributing the traffic between them, the processing time of the traffic will be reduced. Consequently, the performance of the system will be improved.",,978-1-61284-485-5,,10.1109/ICCSN.2011.6014986,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6014986,Function Paralle;Network Intrusion Detection System;Parallelism;Signature-based;nort,Analytical models;Fires;Hardware;Internet;Local area networks;Logic gates;Servers,authorisation;digital signatures,firewall;high-speed networks;internal resource protection;network activities monitoring;network security tool;parallel technique;signature-based network intrusion detection system;unauthorized access prevention;valuable information protection,,2,,15,,,27-29 May 2011,,IEEE,IEEE Conference Publications,
SVM-based intrusion detection system for wireless ad hoc networks,"Hongmei Deng; Qing-An Zeng; Agrawal, D.P.","Dept. of ECECS, Cincinnati Univ., OH, USA","Vehicular Technology Conference, 2003. VTC 2003-Fall. 2003 IEEE 58th",20040504,2003,3,,2147,2151 Vol.3,"Wireless ad hoc networks present more security problems than the conventional wired and wireless networks. Intrusion detection, as a complementary mechanism to the regular intrusion prevention approaches, is needed to secure the wireless ad hoc networks. In this paper we focus on the network layer security issues and propose a practical support vector machine (SVM) based intrusion detection system. The effectiveness of our proposed approach has been verified by extensive simulation results.",1090-3038,0-7803-7954-3,,10.1109/VETECF.2003.1285404,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1285404,,Ad hoc networks;Authentication;Communication system security;Cryptography;Intrusion detection;Mobile ad hoc networks;Network topology;Support vector machines;Wireless application protocol;Wireless networks,ad hoc networks;support vector machines;telecommunication network routing;telecommunication security,SVM-based intrusion detection system;complementary mechanism;network layer security;practical support vector machine;regular intrusion prevention approach;wireless ad hoc networks,,10,,13,,,6-9 Oct. 2003,,IEEE,IEEE Conference Publications,
A Biologically Modeled Intrusion Detection System for Mobile Networks,"Williams, B.C.; Fulp, E.W.","Dept. of Comput. Sci., Wake Forest Univ., Wake Forest, NC, USA","Broadband, Wireless Computing, Communication and Applications (BWCCA), 2010 International Conference on",20101111,2010,,,453,458,"A computer security system is typically tasked with identifying an intrusion, which is defined as a set of actions that attempt to compromise, the integrity, confidentiality, or availability of any resources provided by a computing system [1] An attack on a computer system plays out in a series of sequential events, the granularity of which can vary drastically depending on the type of exploit. An intrusion detection system is tasked with monitoring a system or systems in order to look for these events as indicators of potential malicious behavior. Computer intrusion detection can be provided via signatures which describe the actions associated with an attack. In a world with constantly evolving threats combined with unique new attack vectors, maintaining signatures for every individual piece of malware becomes unwieldy. This is especially true in the mobile realm, where the additional processing power and battery capacity needed to handle high numbers of signatures adversely impacts the user experience and overall platform speed. As mobile devices become increasingly computer-like, complete with similar vulnerabilities and ever-increasing connectivity, their attractiveness to attackers has increased. Efficiently detecting threats across devices on a mobile network This paper introduces the Mobile Network Defense (MND), a lightweight intrusion detection system. MND is biologically-modeled on the behavior of a population of ants, giving it many advantages over traditional security measures. Each ant in the virtual colony has the ability to detect one specic metric of the current state of a computer. In combination, the results of these simple tests can point to specic attacks, while the dynamic nature of the MND offers performance benets over the traditional static setup. This paper will demonstrate how the biologically-modeled MND offers a 34% improvement in detection time over other agent-based systems, and provides more efficient intrusion detect- - ion platform than a static model with respect to CPU utilization, making the system attractive for use across many types of mobile devices.",,978-1-4244-8448-5,978-0-7695-4236-2,10.1109/BWCCA.2010.113,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5633852,ACO;IDS;Security;agent;mobile;swarm intelligence,Grippers;Intrusion detection;Mobile communication;Mobile handsets;Performance evaluation,computer network security;mobile radio;optimisation;safety systems,biologically modeled intrusion detection system;computer security system;mobile network defense;potential malicious behavior indicator,,0,,16,,,4-6 Nov. 2010,,IEEE,IEEE Conference Publications,
Improving Performance of Mobile Agent Based Intrusion Detection System,"Shah, B.; Trivedi, B.H.","L.J. Inst. of Manage. Studies, Ahmedabad, India","Advanced Computing & Communication Technologies (ACCT), 2015 Fifth International Conference on",20150406,2015,,,425,430,"From the last decade, Mobile Agent has been extensively used to detect distributed attack in the computer networks. However, literature survey of existing mobile agent based intrusion detection systems clearly shows poor response time and large agent size as major challenges. In this paper, we discussed reasons and solutions for these challenges. We had verified these solutions on computer network having 1400 systems by performing various experiments using Jade Agent Platform. Our experiments clearly show that our solutions reduce response time and agent size to a great extent.",,978-1-4799-8487-9,,10.1109/ACCT.2015.118,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7079121,Intrusion Detection System;Mobile Agents;Network Based Itrusion Detection System,Computer architecture;Computers;Encryption;Intrusion detection;Mobile agents;Payloads;Time factors,Java;computer network performance evaluation;computer network security;mobile agents,Jade agent platform;agent size reduction;computer networks;distributed attack detection;mobile agent based intrusion detection system;performance improvement;response time reduction,,0,,52,,,21-22 Feb. 2015,,IEEE,IEEE Conference Publications,
Combinational feature selection approach for network intrusion detection system,"Garg, T.; Kumar, Y.","Centre for Comput. Sci. & Technol., Central Univ. of Punjab, Bathinda, India","Parallel, Distributed and Grid Computing (PDGC), 2014 International Conference on",20150205,2014,,,82,87,"In the era of digital world, the computer networks are receiving multidimensional advancements. Due to these advancements more and more services are available for malicious exploitation. New vulnerabilities are found from common programs and even on vulnerability in a single computer might compromise the network of an entire company. There are two parallel ways to address this threat. The first way is to ensure that a computer doesn't have any known security vulnerabilities, before allowing it to the network it has access rights. The other way, is to use an Intrusion Detection System. IDSs concentrate on detecting malicious network traffic, such as packets that would exploit known security vulnerability. Generally the intrusions are detected by analyzing 41 attributes from the intrusion detection dataset. In this work we tried to reduce the number of attributes by using various ranking based feature selection techniques and evaluation has been done using ten classification algorithms that I have evaluated most important. So that the intrusions can be detected accurately in short period of time. Then the combinations of the six reduced feature sets have been made using Boolean AND operator. Then their performance has been analyzed using 10 classification algorithms. Finally the top ten combinations of feature selection have been evaluated among 1585 unique combinations. Combination of Symmetric and Gain Ratio while considering top 15 attributes has highest performance.",,978-1-4799-7682-9,,10.1109/PDGC.2014.7030720,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7030720,Boolean AND operator;Data Mining;Feature Selection Techniques;Garret's Ranking Technique;Intrusion Detection System;NSL-KDD Dataset;WEKA,Accuracy;Classification algorithms;Computational modeling;Feature extraction;Intrusion detection;Training;Vegetation,Boolean functions;feature selection;pattern classification;security of data,Boolean AND operator;IDS;classification algorithms;combinational feature selection approach;malicious network traffic detection;network intrusion detection system;ranking based feature selection techniques,,0,,26,,,11-13 Dec. 2014,,IEEE,IEEE Conference Publications,
MapReduce intrusion detection system based on a particle swarm optimization clustering algorithm,"Aljarah, I.; Ludwig, S.A.","Dept. of Comput. Sci., North Dakota State Univ., Fargo, ND, USA","Evolutionary Computation (CEC), 2013 IEEE Congress on",20130715,2013,,,955,962,"The increasing volume of data in large networks to be analyzed imposes new challenges to an intrusion detection system. Since data in computer networks is growing rapidly, the analysis of these large amounts of data to discover anomaly fragments has to be done within a reasonable amount of time. Some of the past and current intrusion detection systems are based on a clustering approach. However, in order to cope with the increasing amount of data, new parallel methods need to be developed in order to make the algorithms scalable. In this paper, we propose an intrusion detection system based on a parallel particle swarm optimization clustering algorithm using the MapReduce methodology. The use of particle swarm optimization for the clustering task is a very efficient way since particle swarm optimization avoids the sensitivity problem of initial cluster centroids as well as premature convergence. The proposed intrusion detection system processes large data sets on commodity hardware. The experimental results on a real intrusion data set demonstrate that the proposed intrusion detection system scales very well with increasing data set sizes. Moreover, it achieves close to the linear speedup by improving the intrusion detection and false alarm rates.",,978-1-4799-0453-2,978-1-4799-0452-5,10.1109/CEC.2013.6557670,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6557670,,Clustering algorithms;Data models;Intrusion detection;Mathematical model;Particle swarm optimization;Testing;Vectors,computer network security;parallel algorithms;particle swarm optimisation;pattern clustering,MapReduce intrusion detection system;anomaly fragments discover;commodity hardware;computer networks;false alarm rates;initial cluster centroids;large data sets;particle swarm optimization clustering algorithm;premature convergence;sensitivity problem,,2,,20,,,20-23 June 2013,,IEEE,IEEE Conference Publications,
A credible network intrusion detection system based on grid,Shuying Zhang; Shufen Liu; Yue Gao; Jianmei Ge; Limin Wang,"Coll. of Comput. Sci. & Technol., Jilin Univ., Changchun, China","Wireless Communications, Networking and Information Security (WCNIS), 2010 IEEE International Conference on",20100805,2010,,,528,532,"Through the in-depth study on the grid and intrusion detection technology, a credible network intrusion detection system based on grid is proposed in this paper. The system deploys in the grid environment and adopts intrusion detection technology of the improved SOM neural network. To improve data collection efficiency, a rules-based means is used in data collection and processing. For the sake of realizing load balancing among the data analyzing nodes, an integrated scheduling algorithm of the task assignment based on the resource usable degree and credibility degree is used. In order to reduce alarm quantity, an alarm synthetic algorithm based on rules of similar degree and relevance degree is adopted. Experimental results show that the intrusion detection system can not only obtain better detection efficiency but also realize the load balance of resource use.",,978-1-4244-5850-9,,10.1109/WCINS.2010.5541835,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5541835,credibility;grid;intrusion detection;neural network,Algorithm design and analysis;Communication system security;Computer science;Data analysis;Electronic mail;Information analysis;Information security;Intrusion detection;Load management;Scheduling algorithm,,,,0,,10,,,25-27 June 2010,,IEEE,IEEE Conference Publications,
Time Based Intrusion Detection on Fast Attack for Network Intrusion Detection System,"Faizal, M.A.; Mohd, Z.M.; Sahib, S.; Robiah, Y.; Siti, R.S.; Asrul, H.Y.","Fac. of Inf. & Commun. Technol., Univerisiti Teknikal Malaysia Melaka, Durian Tunggal, Malaysia","Network Applications Protocols and Services (NETAPPS), 2010 Second International Conference on",20101115,2010,,,148,152,"In recent years network attack are easily launch since the tools to execute the attack are freely available on the Internet. Even the script kiddies can initiate a sophisticated attack with just a basic knowledge on network and software technology. To overcome this matter, Intrusion Detection System (IDS) has been used as a vital instrument in defending the network from this malicious activity. With the ability to analyze network traffic and recognize incoming and on-going network attack, majority of network administrator has turn to IDS to help them in detecting anomalies in network traffic. The gathering of information and analysis on the anomalies activity can be classified into fast and slow attack. Since fast attack activity make a connection in few second and uses a large amount of packet, detecting this early connection provide the administrator one step ahead in deflecting further damages towards the network infrastructure. This paper describes IDS that detects fast attack intrusion using time based detection method. The time based detection method calculates the statistic of the frequency event which occurs between one second time intervals for each connection made to a host thus providing the crucial information in detecting fast attack.",,978-1-4244-8048-7,978-0-7695-4177-8,10.1109/NETAPPS.2010.33,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5635816,,Conferences;Feature extraction;Intrusion detection;Logistics;Predictive models;Protocols,Internet;computer network security;security of data,Internet;fast attack activity;frequency event statistics;malicious activity;network intrusion detection system;time based intrusion detection,,0,,26,,,22-23 Sept. 2010,,IEEE,IEEE Conference Publications,
Classifying attacks in a network intrusion detection system based on artificial neural networks,"Norouzian, M.R.; Merati, S.","Inf. Technol. Dept., Inst. for Adv. Studies in Basic Sci., Zanjan, Iran","Advanced Communication Technology (ICACT), 2011 13th International Conference on",20110407,2011,,,868,873,"Nowadays with the dramatic growth in communication and computer networks, security has become a critical subject for computer systems. A good way to detect the illegal users is to monitoring these user's packets. Different algorithms, methods and applications are created and implemented to solve the problem of detecting the attacks in intrusion detection systems. Most methods detect attacks and categorize in two groups, normal or threat. This paper presents a new approach of intrusion detection system based on neural network. In this paper, we have a Multi Layer Perceptron (MLP) is used for intrusion detection system. The results show that our implemented and designed system detects the attacks and classify them in 6 groups with the approximately 90.78% accuracy with the two hidden layers of neurons in the neural network.",1738-9445,978-1-4244-8830-8,,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5745947,Artificial Neural Networks;Intrusion Detection System;Multilayer Perceptron;Network Security,Artificial neural networks;Feature extraction;Intrusion detection;Monitoring;Neurons;Testing;Training,computer network security;multilayer perceptrons;pattern classification,artificial neural networks;attack classification;multilayer perceptron;network intrusion detection system;normal group;threat group;user packets,,2,,15,,,13-16 Feb. 2011,,IEEE,IEEE Conference Publications,
