http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28%28%28.QT.watts.QT.%29+OR+.QT.watt.QT.%29+OR+.QT.kilowatt.QT.%29+OR+.QT.kilowatts.QT.%29+OR+.QT.megawatt.QT.%29+OR+.QT.megawatts.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,12/10/2015 13:28,"(((((((watts) OR watt) OR kilowatt) OR kilowatts) OR megawatt) OR megawatts) AND Intrusion Detection System)",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28%28%28.QT.watts.QT.%29+OR+.QT.watt.QT.%29+OR+.QT.kilowatt.QT.%29+OR+.QT.kilowatts.QT.%29+OR+.QT.megawatt.QT.%29+OR+.QT.megawatts.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,12/10/2015 13:28,"(((((((watts) OR watt) OR kilowatt) OR kilowatts) OR megawatt) OR megawatts) AND Intrusion Detection System)",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
A Survey on the Electrification of Transportation in a Smart Grid Environment,"Wencong Su; Eichi, H.; Wente Zeng; Mo-Yuen Chow","Dept. of Electr. Eng., North Carolina State Univ., Raleigh, NC, USA","Industrial Informatics, IEEE Transactions on",20120119,2012,8,1,1,10,"Economics and environmental incentives, as well as advances in technology, are reshaping the traditional view of industrial systems. The anticipation of a large penetration of plug-in hybrid electric vehicles (PHEVs) and plug-in electric vehicles (PEVs) into the market brings up many technical problems that are highly related to industrial information technologies within the next ten years. There is a need for an in-depth understanding of the electrification of transportation in the industrial environment. It is important to consolidate the practical and the conceptual knowledge of industrial informatics in order to support the emerging electric vehicle (EV) technologies. This paper presents a comprehensive overview of the electrification of transportation in an industrial environment. In addition, it provides a comprehensive survey of the EVs in the field of industrial informatics systems, namely: 1) charging infrastructure and PHEV/PEV batteries; 2) intelligent energy management; 3) vehicle-to-grid; and 4) communication requirements. Moreover, this paper presents a future perspective of industrial information technologies to accelerate the market introduction and penetration of advanced electric drive vehicles.",1551-3203,,,10.1109/TII.2011.2172454,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6051485,Battery;charging infrastructure;communication;electric vehicle (EV);energy management;plug-in electric vehicle (PEV);plug-in hybrid electric vehicle (PHEV);smart grid;vehicle-to-grid (V2G),Artificial intelligence;Batteries;Energy management;Optimization;Power system stability;Vehicles,battery powered vehicles;hybrid electric vehicles;smart power grids,PHEV-PEV batteries;advanced electric drive vehicles;industrial informatics systems;industrial information technology;industrial systems;intelligent energy management;plug-in electric vehicles;plug-in hybrid electric vehicles;smart grid environment;transportation electrification;vehicle-to-grid,,112,,92,,10/18/2011,Feb. 2012,,IEEE,IEEE Journals & Magazine
Behavior-Rule Based Intrusion Detection Systems for Safety Critical Smart Grid Applications,"Mitchell, R.; Ing-Ray Chen","Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Falls Church, VA, USA","Smart Grid, IEEE Transactions on",20130821,2013,4,3,1254,1263,"In this paper, a behavior-rule based intrusion detection system (BRIDS) is proposed for securing head-ends (HEs), distribution access points/data aggregation points (DAPs) and subscriber energy meters (SEMs) of a modern electrical grid in which continuity of operation is of the utmost importance. The impact of attacker behaviors on the effectiveness of a behavior-rule intrusion detection design is investigated. Using HEs, DAPs and SEMs as examples, it is demonstrated that a behavior-rule based intrusion detection technique can effectively trade false positives for a high detection probability to cope with sophisticated and hidden attackers to support ultra safe and secure applications. It is shown that BRIDS outperforms contemporary anomaly-based IDSs via comparative analysis.",1949-3053,,,10.1109/TSG.2013.2258948,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6510000,Cyber physical systems;data aggregation point;distribution access point;head-end;intrusion detection;safety;security;subscriber energy meter,Actuators;Density estimation robust algorithm;Generators;Home appliances;Intrusion detection;Monitoring;Sensors,power system measurement;power system security;probability;smart power grids,BRIDS;DAP;SEM;attacker behaviors;behavior-rule based intrusion detection systems;data aggregation points;detection probability;distribution access points;electrical grid;head-ends security;safety critical smart grid applications;subscriber energy meters,,6,,23,,4/29/2013,Sept. 2013,,IEEE,IEEE Journals & Magazine
"2012 International Conference on Devices, Circuits and Systems (ICDCS)",,,"Devices, Circuits and Systems (ICDCS), 2012 International Conference on",20120423,2012,,,1,748,Provides the entire conference content.,,978-1-4577-1545-7,,10.1109/ICDCSyst.2012.6188784,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6188784,,CMOS integrated circuits;CMOS technology;Field programmable gate arrays;MESFETs;MOSFETs;Optical imaging;Random access memory,,,,0,,,,,15-16 March 2012,,IEEE,IEEE Conference Publication
Detecting Intrusive Activity in the Smart Grid Communications Infrastructure Using Self-Organizing Maps,"Baig, Z.A.; Ahmad, S.; Sait, S.M.","Dept. of Comput. Eng., King Fahd Univ. of Pet. & Miner., Dhahran, Saudi Arabia","Trust, Security and Privacy in Computing and Communications (TrustCom), 2013 12th IEEE International Conference on",20131212,2013,,,1594,1599,"The Smart Grid Infrastructure (SGI) provides for sustainable, affordable and uninterrupted electricity supply to consumers. The communications infrastructure of the SGI is prone to several malicious attacks identified in the recent past. Customer-specific electricity readings are communicated up the SGI hierarchy from consumer devices to centralized servers through intermediary devices such as smart meters and data concentrators/aggregators. In this paper, we model the attacks against the home area network of the SGI, through definition and generation of routine device behaviors. Any observed deviation from the defined normal profile is labeled as a malicious attack. Subsequently, we propose a Self-Organizing Map (SOM)-based approach towards training and testing of centralized SGI devices to qualify them for identifying anomalies accurately. The proposed scheme is capable of detecting anomalous readings within a consumer's household, with reasonable accuracies.",,,,10.1109/TrustCom.2013.196,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6681021,Anomaly Detection;Intrusion Detection;Self-Organizing Maps;Smart Grid Communications,Electricity;Energy consumption;Intrusion detection;Neurons;Smart grids;Training;Vectors,power engineering computing;security of data;self-organising feature maps;smart power grids,SGI communications infrastructure;SGI home area network;SOM-based approach;customer-specific electricity readings;data aggregators;data concentrators;electricity supply;intrusive activity detection;malicious attack;routine device behaviors;self-organizing maps;smart grid communications infrastructure;smart meters,,0,,12,,,16-18 July 2013,,IEEE,IEEE Conference Publication
1986-1999 combined index IEEE aerospace and electronic systems magazine vols. 1-14 [Subject Index],,,"Aerospace and Electronic Systems, IEEE Transactions on",20020806,2000,36,3,21,85,"This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the years noted, and items from previous years that were commented upon or corrected in this index. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under he primary entry in the Author Index.",0018-9251,,,10.1109/TAES.2000.869530,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=869530,,,,,,0,,,,,Jul-00,,IEEE,IEEE Journals & Magazine
On physical layer security for cognitive radio networks,Zhihui Shu; Yi Qian; Song Ci,"Univ. of Nebraska-Lincoln, Lincoln, NE, USA","Network, IEEE",20130607,2013,27,3,28,33,"In this article we explore the security issues on physical layer for cognitive radio networks. First we give an overview on several existing security attacks to the physical layer in cognitive radio networks. We then discuss the related countermeasures on how to defend against these attacks. We further investigate one of the most important physical layer security parameters, the secrecy capacity of a cognitive radio network, and study the outage probability of secrecy capacity of a primary user from a theoretical point of view. Furthermore, we present performance results for secrecy capacity and outage probability between a node and its neighbors. Our work summarizes the current advances of the physical layer security and brings insights on physical layer security analysis in cognitive radio networks.",0890-8044,,,10.1109/MNET.2013.6523805,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6523805,,Cognitive radio;Network security;Physical layer;Security;Telecommunication network management;Wireless networks,cognitive radio;probability;radio networks;telecommunication security,cognitive radio networks;physical layer security parameters;secrecy capacity outage probability;security attacks,,7,,,,,May-June 2013,,IEEE,IEEE Journals & Magazine
Evaluation of a Massively Parallel Architecture for Network Security Applications,"Mason, B.C.; Ghosal, D.; Corbett, C.","Dept. of Comput. Sci., Univ. of California, Davis, CA, USA","Parallel, Distributed and Network-Based Processing (PDP), 2010 18th Euromicro International Conference on",20100422,2010,,,85,91,"Network security applications such as to detect malware, security breaches, and covert channels require packet inspection and processing. Performing these functions at very high network line rates and low power is critical to safe guarding enterprise networks from various cyber-security threats. Solutions based on FPGA and single or multi-core CPUs has several limitations with regards to power and the ability to match the ever increasing line rates. This paper describes a MPPA (Massively Parallelized Processing Architecture) framework based on the Ambric parallel processing device that can speed up computation of network packet processing and analysis tasks. This is accomplished with a programmable processor interconnection that enables parallelizing the application and replication of data through channels. In this paper, we consider three network security applications - detecting malware, detecting covert timing channels, and a symmetric encryption engine. Experimental analyses of parallel implementations of the detection algorithms show that MPAA can easily achieve throughput greater than 1 Gbps with low power usage.",1066-6192,978-1-4244-5672-7,978-1-4244-5673-4,10.1109/PDP.2010.20,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5452505,Ambric;Massively Parallelized Processing Architecture (MPPA);covert timing channel;entropy function;experimental analysis;malware detection,Computer architecture;Computer networks;Computer security;Concurrent computing;Data security;Field programmable gate arrays;Inspection;Parallel architectures;Parallel processing;Timing,cryptography;field programmable gate arrays;invasive software;multiprocessor interconnection networks;parallel architectures;program processors,CPU;FPGA;MPPA;ambric parallel processing device;covert timing channel;cyber security threats;guarding enterprise networks;malware detection;massively parallelized processing architecture;network security;programmable processor interconnection;symmetric encryption engine,,0,,18,,,17-19 Feb. 2010,,IEEE,IEEE Conference Publication
Table of contents,,,"System Sciences, 2004. Proceedings of the 37th Annual Hawaii International Conference on",20040226,2004,,,vii,l,Presents the table of contents of the proceedings.,,0-7695-2056-1,,10.1109/HICSS.2004.1265033,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1265033,,,,,,0,,,,,5-8 Jan. 2004,,IEEE,IEEE Conference Publication
