http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28.QT.Clam+Virus+Database.QT.%29+OR+.QT.Clam.QT.%29+OR+.QT.ClamAV.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/9/2015 16:29,"((((""Clam Virus Database"") OR ""Clam"") OR ""ClamAV"") AND ""Intrusion Detection System"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A Bray-Curtis Weighted Automaton for Detecting Malicious Code Through System-Call Analysis,"Pungila, C.","Comput. Sci. Dept., West Univ. of Timisoara, Timisoara, Romania","Symbolic and Numeric Algorithms for Scientific Computing (SYNASC), 2009 11th International Symposium on",20100506,2009,,,392,400,"Malicious code detection is one of the top subjects of interest for intrusion detection systems in today's computer security research areas. In this paper we propose a new heuristic method for detecting malicious code through system call matching, which also takes in consideration the time of the system call, by using an adaptive search for an extended Aho-Corasick automaton supporting a subset of the regular expressions language, through the use of a normalization technique known as the Bray-Curtis (Sorensen) distance. We will also discuss how this technique can be applied to enrich the set of existing rules from the knowledge base for improving the detection rate.",,978-1-4244-5910-0,978-1-4244-5911-7,10.1109/SYNASC.2009.41,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5460823,Aho-Corasick automata;Bray-Curtis distance;Sorensen distance;dynamic analysis;intrusion detection system;malicious code detection;normalization;static analysis;system call timing,Algorithm design and analysis;Automata;Computer science;Informatics;Intrusion detection;Mathematics;Pattern analysis;Performance analysis;Scientific computing;Viruses (medical),automata theory;formal languages;security of data,Aho-Corasick automaton;Bray-Curtis distance;Bray-Curtis weighted automaton;Sorensen distance;computer security;detection rate;intrusion detection;knowledge base;malicious code detection;normalization technique;regular expression language;system call matching;system call time;system-call analysis,,1,,23,,,26-29 Sept. 2009,,IEEE,IEEE Conference Publications
Scalable multi-pipeline architecture for high performance multi-pattern string matching,"Weirong Jiang; Yang, Y.E.; Prasanna, V.K.","Ming Hsieh Dept. of Electr. Eng., Univ. of Southern California, Los Angeles, CA, USA","Parallel & Distributed Processing (IPDPS), 2010 IEEE International Symposium on",20100524,2010,,,1,12,"Multi-pattern string matching remains a major performance bottleneck in network intrusion detection and anti-virus systems for high-speed deep packet inspection (DPI). Although Aho-Corasick deterministic finite automaton (AC-DFA) based solutions produce deterministic throughput and are widely used in today's DPI systems such as Snort [1] and ClamAV [2], the high memory requirement of AC-DFA (due to the large number of state transitions in AC-DFA) inhibits efficient hardware implementation to achieve high performance. Some recent work [3], [4] has shown that the AC-DFA can be reduced to a character trie that contains only the forward transitions by incorporating pipelined processing. But they have limitations in either handling long patterns or extensions to support multi-character input per clock cycle to achieve high throughput. This paper generalizes the problem and proves formally that a linear pipeline with H stages can remove all cross transitions to the top H levels of a AC-DFA. A novel and scalable pipeline architecture for memory-efficient multi-pattern string matching is then presented. The architecture can be easily extended to support multi-character input per clock cycle by mapping a compressed AC-DFA [5] onto multiple pipelines. Simulation using Snort and ClamAV pattern sets shows that a 8-stage pipeline can remove more than 99% of the transitions in the original AC-DFA. The implementation on a state-of-the-art field programmable gate array (FPGA) shows that our architecture can store on a single FPGA device the full set of string patterns from the latest Snort rule set. Our FPGA implementation sustains 10+ Gbps throughput, while consuming a small amount of on-chip logic resources. Also desirable scalability is achieved: the increase in resource requirement of our solution is sub-linear with the throughput improvement.",1530-2075,978-1-4244-6442-5,,10.1109/IPDPS.2010.5470374,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5470374,DFA;Deep packet inspection;FPGA;pipeline;string matching,Automata;Clocks;Field programmable gate arrays;Hardware;Inspection;Intrusion detection;Memory architecture;Pipelines;Programmable logic arrays;Throughput,field programmable gate arrays;finite automata;pipeline processing;security of data;string matching,Aho-Corasick deterministic finite automaton;ClamAV;Snort;anti-virus systems;field programmable gate array;high performance multipattern string matching;high-speed deep packet inspection;linear pipeline;memory-efficient multipattern string matching;multicharacter input;network intrusion detection;pipelined processing;scalable multipipeline architecture;scalable pipeline architecture,,2,,21,,,19-23 April 2010,,IEEE,IEEE Conference Publications
The Parallel Sieve Method for a Virus Scanning Engine,"Nakahara, H.; Sasao, T.; Matsuura, M.; Kawamura, Y.","Kyushu Inst. of Technol., Japan","Digital System Design, Architectures, Methods and Tools, 2009. DSD '09. 12th Euromicro Conference on",20091208,2009,,,809,816,"This paper shows a new architecture for a virus scanning system, which is different from that of an intrusion detection system. The proposed method uses two-stage matching: In the first stage, a hardware filter quickly scans the text to find partial matches, and in the second stage, the MPU scans the text to find a total match in the ClamAV 514,287 virus pattern set. To make the hardware filter simple, we use a finite-input memory machine (FIMM). To reduce the memory size of the FIMM, we introduce the parallel sieve method. The proposed method is memorybased, so it is quickly reconfigurable and dissipates lower power than a TCAM-based method. The system is implemented on the Stratix III FPGA with three off-chip SRAMs and an SDRAM, where all ClamAV 514,287 virus patterns are stored. Compared with existing methods, our method achieves 1.41-31.36 times more efficient area-throughput ratio.",,978-0-7695-3782-5,,10.1109/DSD.2009.208,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5350088,FPGA;Network;Reconfigurable Architecture;Virus Scanning,Field programmable gate arrays;Filters;Hardware;Internet;Pattern matching;Physical layer;Power dissipation;Random access memory;Search engines;Throughput,DRAM chips;SRAM chips;computer viruses;field programmable gate arrays,SDRAM;Stratix III FPGA;TCAM-based method;finite-input memory machine;hardware filter;intrusion detection system;off-chip SRAM;parallel sieve method;two-stage matching;virus scanning engine,,3,,24,,,27-29 Aug. 2009,,IEEE,IEEE Conference Publications
Kangaroo: Accelerating String Matching by Running Multiple Collaborative Finite State Machines,Xiaofei Wang; Bin Liu; Junchen Jiang; Yang Xu; Yi Wang; Xiaojun Wang,"Tsinghua Univ., Beijing, China","Selected Areas in Communications, IEEE Journal on",20141127,2014,32,10,1784,1796,"String matching is a key technique for network security applications such as network intrusion detection systems and antivirus scanners, where the payload of every packet is inspected against thousands of patterns in real time. As the transmission rate of Internet links is getting higher and higher, the speed of matching engines is required to be faster and faster. Existing deterministic finite automaton (DFA)-based approaches achieve high throughput at the expense of extremely expensive memory cost; therefore, they are not suitable for the scenarios where only limited on-chip memory resources are available. To achieve fast matching speed while controlling memory expense, in this paper, we propose Kangaroo, a compact string matching scheme that scans multiple characters each time by running multiple small-sized finite state machines in parallel. Specifically, Kangaroo processes k consecutive characters mostly in one cycle by accessing k different memories in parallel, where k is a predefined factor that can be tuned based on the requirement of applications. Kangaroo is memory efficient. Experimental evaluations on Snort and ClamAV rule sets show that a tenfold increase in speed can be practically achieved by a single Kangaroo matching engine with a reduced memory cost comparing with the state-of-the-art DFA-based approaches.",0733-8716,,,10.1109/JSAC.2014.2358841,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6905731,Deep packet inspection;deterministic finite automaton;finite state machine,Automata;Buildings;Collaboration;Educational institutions;Engines;Silicon;Throughput,deterministic automata;finite state machines;string matching,ClamAV;DFA;Internet links;Kangaroo scheme;Snort;antivirus scanners;collaborative finite state machines;deterministic finite automaton;network intrusion detection system;on-chip memory resources;string matching,,1,,30,,9/19/2014,Oct. 2014,,IEEE,IEEE Journals & Magazines
NFA-Based Pattern Matching for Deep Packet Inspection,"Yan Sun; Valgenti, V.C.; Min Sik Kim","Sch. of Electr. & Comput. Eng., Washington State Univ., Pullman, WA, USA","Computer Communications and Networks (ICCCN), 2011 Proceedings of 20th International Conference on",20110829,2011,,,1,6,"Many network security applications in today's networks are based on deep packet inspection, checking not only the header portion but also the payload portion of a packet. For example, traffic monitoring, layer-7 filtering, and network intrusion detection all require an accurate analysis of packet content in search for predefined patterns to identify specific classes of applications, viruses, attack signatures, etc. Pattern matching is a major task in deep packet inspection. The two most common implementations of Pattern matching are based on Non-deterministic Finite Automata (NFAs) and Deterministic Finite Automata (DFAs), which take the payload of a packet as an input string. In this paper, we propose an efficient NFA-based pattern matching in Binary Content Addressable Memory(BCAM), which uses data search words consisting of 1s and 0s. Our approach can process multiple characters at a time using limited BCAM entries, which makes our approach scalable well. We evaluate our algorithm using patterns provided by Snort, a popular open-source intrusion detection system. The simulation results show that our approach outperforms existing CAM-based and software-based approaches.",1095-2055,978-1-4577-0637-0,,10.1109/ICCCN.2011.6006095,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6006095,,Automata;Clocks;Computer aided manufacturing;Computer architecture;Doped fiber amplifiers;Microprocessors;Pattern matching,computer network security;content-addressable storage;deterministic automata;finite automata;pattern matching,BCAM;NFA-based pattern matching;Snort;binary content addressable memory;data search word;deep packet inspection;network security;nondeterministic finite automata;open-source intrusion detection system,,2,1,28,,,July 31 2011-Aug. 4 2011,,IEEE,IEEE Conference Publications
The Cost Effective Pre-processing Based NFA Pattern Matching Architecture for NIDS,Yeim-Kuan Chang; Chen-Rong Chang; Cheng-Chien Su,"Dept. of Comput. Sci. & Inf. Eng., Nat. Cheng Kung Univ., Tainan, Taiwan","Advanced Information Networking and Applications (AINA), 2010 24th IEEE International Conference on",20100601,2010,,,385,391,"Network Intrusion Detection System (NIDS) is a system which can detect network attacks resulted from worms and viruses on the Internet. An efficient pattern matching algorithm plays an important role in NIDS. There have been many proposed methods for pattern matching algorithms. Traditionally, the multi-character NFA that is capable of matching multiple characters per cycle can be built by duplicating entire circuit of 1-character architecture. In this paper, we propose a pre-processing based architecture to improve the original multi-character architecture. The design of the proposed architecture and its implementation in FPGA are described in details. Our simulation results show that the proposed architecture performs better than all the existing Brute-Force based approaches in terms of the throughput and the slice utilization. Specifically, the proposed architectures of 2-character and 4-character designs can achieve the throughputs of 4.68 and 7.27 Gbps and the slice utilization of 2.86 and 2.10 in terms of char/slice, respectively.",1550-445X,978-1-4244-6695-5,,10.1109/AINA.2010.42,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5474723,Finite state machine;Intrusion detection;Multi-character;Pattern matching,Application software;Automata;Clocks;Computer architecture;Costs;Doped fiber amplifiers;Field programmable gate arrays;Intrusion detection;Pattern matching;Throughput,Internet;computer viruses;field programmable gate arrays;finite state machines;pattern matching,Brute-Force;FPGA;NFA pattern matching architecture;Network Intrusion Detection System;bit rate 4.68 Gbit/s to 7.27 Gbit/s;deterministic finite automata;field programmable gate array;finite state machines;network attacks detection;network intrusion detection system;original multicharacter architecture,,1,,16,,,20-23 April 2010,,IEEE,IEEE Conference Publications
StriD²FA: Scalable Regular Expression Matching for Deep Packet Inspection,Xiaofei Wang; Junchen Jiang; Yi Tang; Bin Liu; Xiaojun Wang,"Sch. of Electron. Eng., Dublin City Univ., Dublin, Ireland","Communications (ICC), 2011 IEEE International Conference on",20110728,2011,,,1,5,"Deep packet inspection (DPI) has become one of the key components of a Network Intrusion Detection System (NIDS) and it compares packet content to a set of rules written in regular expression. The need to keep up with ever-increasing line speed has forced NIDS designers to move to hardware or high-speed memory where memory resources are limited. In this paper, we present LBM, a novel accelerating scheme for regular expression matching which converts the original byte stream into much shorter integer stream and then matches it with a variant of DFA, called StriD<sup>2</sup>FA. In the instance of LBM that we realize, 10-15 speedup is reasonable while the memory is much smaller than traditional DFA.",1550-3607,978-1-61284-232-5,978-1-61284-231-8,10.1109/icc.2011.5963289,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5963289,,Acceleration;Converters;Doped fiber amplifiers;Inspection;Memory management;Throughput;Transforms,computer network security,deep packet inspection;network intrusion detection system;scalable regular expression matching,,0,,19,,,5-9 June 2011,,IEEE,IEEE Conference Publications
Skip Finite Automaton: A Content Scanning Engine to Secure Enterprise Networks,Junchen Jiang; Yi Tang; Bin Liu; Yang Xu; Xiaofei Wang,"Inst. for Theor. Comput. Sci., Tsinghua Univ., Beijing, China","Global Telecommunications Conference (GLOBECOM 2010), 2010 IEEE",20110110,2010,,,1,5,"Today's file sharing networks are creating potential security problems to enterprise networks, i.e., the leakage of confidential documents. In order to prevent such leakage, we propose the Data Leakage Prevention System (DLPS) which is applied at the entrance of the enterprise network to filter out the outgoing sensitive information. The DLPS is based on a content scanning engine which defines a new type of matching problem, called longest overlap matching which also exits in many other applications as a basic problem where contents are delivered by small blocks. We study the problem by comparing it with the traditional pattern matching problem in Deep Packet Inspection (DPI) of Network Intrusion Detection Systems (NIDS) whose solutions are based on finite automata. We develop a new finite automata representation called Skip-Finite Automata (Skip-FA) which detects the packets carrying sensitive information by using default transitions to implicitly track the overlapping parts between packets' payloads and sensitive files. The simulation results shows that our system achieves a matching speed of about 10B+ per memory access for small file set (>;20KB) and 100B+ per memory access for large file set (>;2500KB). We also find that the memory consumption of Skip-FA is almost the same to that of the original files.",1930-529X,978-1-4244-5636-9,978-1-4244-5637-6,10.1109/GLOCOM.2010.5683165,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5683165,,Automata;Delay;Engines;IEEE Communications Society;Logic gates;Payloads;Radiation detectors,finite automata;peer-to-peer computing;security of data;telecommunication security,content scanning engine;data leakage prevention system;deep packet inspection;file sharing network;finite automata representation;network intrusion detection system;pattern matching problem;secure enterprise network;skip finite automata;skip finite automaton,,1,,18,,,6-10 Dec. 2010,,IEEE,IEEE Conference Publications
A Memory-Efficient Bit-Split Parallel String Matching Using Pattern Dividing for Intrusion Detection Systems,Hyunjin Kim; Hong-Sik Kim; Sungho Kang,"Dept. of Electr. & Electron. Eng., Yonsei Univ., Seoul, South Korea","Parallel and Distributed Systems, IEEE Transactions on",20110926,2011,22,11,1904,1911,"For the low-cost hardware-based intrusion detection systems, this paper proposes a memory-efficient parallel string matching scheme. In order to reduce the number of state transitions, the finite state machine tiles in a string matcher adopt bit-level input symbols. Long target patterns are divided into subpatterns with a fixed length; deterministic finite automata are built with the subpatterns. Using the pattern dividing, the variety of target pattern lengths can be mitigated, so that memory usage in homogeneous string matchers can be efficient. In order to identify each original long pattern being divided, a two-stage sequential matching scheme is proposed for the successive matches with subpatterns. Experimental results show that total memory requirements decrease on average by 47.8 percent and 62.8 percent for Snort and ClamAV rule sets, in comparison with several existing bit-split string matching methods.",1045-9219,,,10.1109/TPDS.2011.85,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5733341,Computer network security;finite state machines;site security monitoring;string matching.,Doped fiber amplifiers;Intrusion detection;Memory management;Pattern matching;Throughput,computer network security;deterministic automata;finite state machines;string matching,bit-level input symbols;deterministic finite automata;finite state machine;hardware-based intrusion detection systems;memory-efficient bit-split parallel string matching scheme;pattern dividing;two-stage sequential matching scheme,,3,,15,,3/17/2011,Nov. 2011,,IEEE,IEEE Journals & Magazines
StriFA: Stride Finite Automata for High-Speed Regular Expression Matching in Network Intrusion Detection Systems,"Xiaofei Wang; Yang Xu; Junchen Jiang; Ormond, O.; Bin Liu; Xiaojun Wang","Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China","Systems Journal, IEEE",20130704,2013,7,3,374,384,"Deep packet inspection has become a key component in network intrusion detection systems (NIDSes), where every packet in the incoming data stream needs to be compared with patterns in an attack database, byte-by-byte, using either string matching or regular expression matching. Regular expression matching, despite its flexibility and efficiency in attack identification, brings significantly high computation and storage complexities to NIDSes, making line-rate packet processing a challenging task. In this paper, we present stride finite automata (StriFA), a novel finite automata family, to accelerate both string matching and regular expression matching. Different from conventional finite automata, which scan the entire traffic stream to locate malicious information, a StriFA only needs to scan a partial traffic stream to find suspicious information. The presented StriFA technique has been implemented in software and evaluated based on different traces. The simulation results show that the StriFA acceleration scheme offers an increased speed over traditional nondeterministic finite automaton/deterministic finite automaton, while at the same time reducing the memory requirement.",1932-8184,,,10.1109/JSYST.2013.2244791,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6475958,Deep packet inspection (DPI);deterministic finite automaton (DFA);network intrusion detection systems (NIDSes);nondeterministic finite automaton (NFA),Acceleration;Automata;Doped fiber amplifiers;Educational institutions;Engines;Memory management;Pattern matching,finite automata;security of data;string matching,NIDS;StriFA acceleration scheme;attack database;attack identification;data stream;high-speed regular expression matching;line-rate packet processing;malicious information;network intrusion detection systems;stride finite automata;string matching;traffic stream,,2,,31,,3/7/2013,Sept. 2013,,IEEE,IEEE Journals & Magazines
Robust and Scalable String Pattern Matching for Deep Packet Inspection on Multicore Processors,"Yang, Y.-H.E.; Prasanna, V.K.","Xilinx, Inc., San Jose, CA, USA","Parallel and Distributed Systems, IEEE Transactions on",20130927,2013,24,11,2283,2292,"Conventionally, dictionary-based string pattern matching (SPM) has been implemented as Aho-Corasick deterministic finite automaton (AC-DFA). Due to its large memory footprint, a large-dictionary AC-DFA can experience poor cache performance when matching against inputs with high match ratio on multicore processors. We propose a head-body finite automaton (HBFA), which implements SPM in two parts: a head DFA (H-DFA) and a body NFA (B-NFA). The H-DFA matches the dictionary up to a predefined prefix length in the same way as AC-DFA, but with a much smaller memory footprint. The B-NFA extends the matching to full dictionary lengths in a compact variable-stride branch data structure, accelerated by single-instruction multiple-data (SIMD) operations. A branch grafting mechanism is proposed to opportunistically advance the state of the H-DFA with the matching progress in the B-NFA. Compared with a fully populated AC-DFA, our HBFA prototype has <;1/5 construction time, requires <;1/20 runtime memory, and achieves 3x to 8x throughput when matching real-life large dictionaries against inputs with high match ratios. The throughput scales up 27x to over 34 Gbps on a 32-core Intel Manycore Testing Lab machine based on the Intel Xeon X7560 processors.",1045-9219,,,10.1109/TPDS.2012.217,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6247434,DFA;NFA;SIMD;String matching;deep packet inspection;multicore platform;variable-stride tree,Automata;Data structures;Dictionaries;Doped fiber amplifiers;Impedance matching;Throughput;Vegetation,cache storage;computer network security;data structures;finite automata;multiprocessing systems;string matching,32-core Intel Manycore Testing Lab machine;B-NFA;H-DFA;HBFA prototype;Intel Xeon X7560 processors;SIMD operations;body NFA;branch grafting mechanism;deep packet inspection;head DFA;head-body finite automaton;multicore processors;prefix length;real-life large dictionary matching;robust string pattern matching;scalable string pattern matching;single-instruction multiple-data operations;variable-stride branch data structure,,0,,14,,7/23/2012,Nov. 2013,,IEEE,IEEE Journals & Magazines
Malware Detection and Kernel Rootkit Prevention in Cloud Computing Environments,"Schmidt, M.; Baumgartner, L.; Graubner, P.; Bock, D.; Freisleben, B.","Dept. of Math. & Comput. Sci., Univ. of Marburg, Marburg, Germany","Parallel, Distributed and Network-Based Processing (PDP), 2011 19th Euromicro International Conference on",20110324,2011,,,603,610,"The commercial success of Cloud Computing and recent developments in Grid Computing have brought platform virtualization technology into the field of high performance computing. Virtualization offers both more flexibility and security through custom user images and user isolation. In this paper, we present an approach for combined malware detection and kernel root kit prevention in virtualized Cloud Computing environments. All running binaries in a virtual instance are intercepted and submitted to one or more analysis engines. Besides a complete check against a signature database, live introspection of all system calls is performed to detect yet unknown exploits or malware. Furthermore, to prevent that an intruder retains persistent control over a running instance after a successful compromise, an in-kernel root kit prevention approach is proposed. Only authorized and thus trusted kernel modules are allowed to be loaded during runtime, loading of unauthorized modules is no longer possible. Finally, the performance of the presented solutions is evaluated.",1066-6192,978-1-4244-9682-2,,10.1109/PDP.2011.45,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5739055,Kernel Security;Malware detection;Rootkit;Virtualization,Cloud computing;Kernel;Loading;Malware,cloud computing;grid computing;invasive software;virtualisation,cloud computing;grid computing;kernel rootkit prevention;malware detection;virtualization,,1,1,14,,,9-11 Feb. 2011,,IEEE,IEEE Conference Publications
