http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28%28.QT.DarpaIDE.QT.%29+OR+.QT.Darpa1998.QT.%29+OR+.QT.Darpa98.QT.%29+OR+.QT.1998+Darpa+Intrusion+Detection+Evaluation.QT.%29+OR+.QT.Darpa+Intrusion+Detection+Evaluation.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/9/2015 16:43,"((((((""DarpaIDE"") OR ""Darpa1998"") OR ""Darpa98"") OR ""1998 Darpa Intrusion Detection Evaluation"") OR ""Darpa Intrusion Detection Evaluation"") AND ""Intrusion Detection System"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Intrusion detection learning algorithm through network mining,"Abu Afza, A.J.M.; Uddin, M.S.","Dept. of Comput. Sci. & Eng., Jahangirnagar Univ., Dhaka, Bangladesh","Computer and Information Technology (ICCIT), 2013 16th International Conference on",20141229,2014,,,490,495,"This paper presents a learning algorithm for adaptive network intrusion detection based on clustering and naïve Bayesian classifier, which induces a hybridization of unsupervised and supervised learning processes. The proposed approach scales up the balance detection rates for different types of network intrusions, and keeps the false positives at acceptable level in network intrusion detection. The algorithm first clusters the network logs into several groups based on similarity of network logs, and then calculates the prior and class conditional probabilities for each cluster. In classifying a new network log, the algorithm calculates the similarity of attribute values of network data with each cluster and initialize a weight value for each cluster. Then each cluster classifies the network data with its priori and conditional probabilities that multiply with respective cluster's weight value. Finally, voting techniques applied for classifying the new network data based on each cluster's classification result. The performance of the proposed algorithm tested by employing KDD99 benchmark network intrusion detection dataset, and the experimental results proved that it improves the detection rates as well as reduces the false positives for different types of network intrusions.",,,,10.1109/ICCITechn.2014.6997324,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6997324,boosting;intrusion detection;naïve Bayesian classifier,Bayes methods;Classification algorithms;Clustering algorithms;Computers;Intrusion detection;Niobium,data mining;learning (artificial intelligence);pattern classification;pattern clustering;security of data,KDD99 dataset;adaptive network intrusion detection;conditional probability;false positive reduction;intrusion detection learning algorithm;naive Bayesian classifier;network logs similarity;network mining;pattern clustering;supervised learning process;unsupervised learning process,,0,,35,,,8-10 March 2014,,IEEE,IEEE Conference Publications
Optimization of the Neural-Network-Based Multiple Classifiers Intrusion Detection System,Xiangmei Li,"Coll. of Network Eng., Chengdu Univ. of Inf. Technol., Chengdu, China","Internet Technology and Applications, 2010 International Conference on",20100909,2010,,,1,4,"In this paper, according to the difference between the attack categories, we adjust the 41-dimensional input features of the neural-network-based multiple classifiers intrusion detection system. After repeated experiment, we find that the every adjusted sub-classifier is better in convergence precision, shorter in training time than the 41-features sub-classifier, moreover, the whole intrusion detection system is higher in the detection rate, and less in the false negative rate than the 41-features multiple classifiers intrusion detection system. So, the scheme of the adjusting input features is able to optimize the neural-network-based multiple classifiers intrusion detection system, and proved to be feasible in practice.",,978-1-4244-5142-5,978-1-4244-5143-2,10.1109/ITAPP.2010.5566641,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5566641,,Artificial neural networks;Computer crime;Feature extraction;Intrusion detection;Probes;Testing;Training,neural nets;optimisation;pattern classification;security of data,convergence precision;multiple classifiers intrusion detection system;neural network optimisation,,1,,9,,,20-22 Aug. 2010,,IEEE,IEEE Conference Publications
Using Rough Set and Support Vector Machine for Network Intrusion Detection System,Rung-Ching Chen; Kai-Fan Cheng; Ying-Hao Chen; Chia-Fen Hsieh,"Chaoyang Univ. of Technol., Wufeng, Taiwan","Intelligent Information and Database Systems, 2009. ACIIDS 2009. First Asian Conference on",20090731,2009,,,465,470,"The main function of IDS (intrusion detection system) is to protect the system, analyze and predict the behaviors of users. Then these behaviors will be considered an attack or a normal behavior. Though IDS has been developed for many years, the large number of return alert messages makes managers maintain system inefficiently. In this paper, we use RST (Rough Set Theory) and SVM (Support Vector Machine) to detect intrusions. First, RST is used to preprocess the data and reduce the dimensions. Next, the features selected by RST will be sent to SVM model to learn and test respectively. The method is effective to decrease the space density of data. The experiments will compare the results with different methods and show RST and SVM schema could improve the false positive rate and accuracy.",,978-0-7695-3580-7,,10.1109/ACIIDS.2009.59,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5176039,Attack Detection Rate;Intrusion Detection System;Rough Set;Support Vector Machine,Chaos;Deductive databases;Intelligent networks;Intrusion detection;Monitoring;Packaging;Protection;Set theory;Space technology;Support vector machines,rough set theory;security of data;support vector machines,SVM model;network intrusion detection system;rough set theory;support vector machine,,13,,14,,,1-3 April 2009,,IEEE,IEEE Conference Publications
Modified Apriori Approach for Evade Network Intrusion Detection System,"Lahoti, L.; Chandankhede, C.; Mukhopadhyay, D.","Dept. of Inf. Technol., MIT, Pune, India","Information Technology (ICIT), 2014 International Conference on",20150209,2014,,,374,378,"Intrusion Detection System (IDS) is a software or hardware tool that repeatedly scans and monitors events that took place in a computer or a network. A set of rules are used by Signature based Network Intrusion Detection Systems (NIDS) to detect hostile traffic in network segments or packets, which are so important in detecting malicious and anomalous behavior over the network like known attacks that hackers look for new techniques to go unseen. Sometime, a single failure at any layer will cause the NIDS to miss that attack. To overcome this problem, a technique is used that will trigger a failure in that layer. Such technique is known as Evasive technique. An Evasion can be defined as any technique that modifies a visible attack into any other form in order to stay away from being detect. The proposed system is used for detecting attacks which are going on the network and also gives actual categorization of attacks. The proposed system has advantage of getting low false alarm rate and high detection rate. So that leads into decrease in complexity and overhead on the system. The paper presents the Evasion technique for customized apriori algorithm. The paper aims to make a new functional structure to evade NIDS. This framework can be used to audit NIDS. This framework shows that a proof of concept showing how to evade a self-built NIDS considering two publicly available datasets.",,978-1-4799-8083-3,,10.1109/ICIT.2014.17,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7033353,Evasion;Intrusion detection;Network intrusion detection system;Network security,Classification algorithms;Computers;Information technology;Intrusion detection;Machine learning algorithms;Monitoring,computer crime;computer network security,actual attack categorization;anomalous behavior;customized apriori algorithm;evade network intrusion detection system;evasion technique;hackers;hardware tool;hostile traffic;malicious behavior;modified apriori approach;network packets;network segments;self-built NIDS;software tool;visible attack,,0,,11,,,22-24 Dec. 2014,,IEEE,IEEE Conference Publications
A hybrid system for reducing the false alarm rate of anomaly intrusion detection system,"Om, H.; Kundu, A.","Dept. of Comput. Sci. & Eng., Indian Sch. of Mines, Dhanbad, India","Recent Advances in Information Technology (RAIT), 2012 1st International Conference on",20120507,2012,,,131,136,"In this paper, we propose a hybrid intrusion detection system that combines k-Means, and two classifiers: K-nearest neighbor and Naïve Bayes for anomaly detection. It consists of selecting features using an entropy based feature selection algorithm which selects the important attributes and removes the irredundant attributes. This algorithm operates on the KDD-99 Data set; this data set is used worldwide for evaluating the performance of different intrusion detection systems. The next step is clustering phase using k-Means. We have used the KDD99 (knowledge Discovery and Data Mining) intrusion detection contest. This system can detect the intrusions and further classify them into four categories: Denial of Service (DoS), U2R (User to Root), R2L (Remote to Local), and probe. The main goal is to reduce the false alarm rate of IDS<sup>1</sup>.",,978-1-4577-0694-3,,10.1109/RAIT.2012.6194493,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6194493,Classification;Clustering;KDD Cup 99 Data set;Naïve Bayes;detection rate;false alarm rate;intrusion detection;k-Means,Accuracy;Classification algorithms;Clustering algorithms;Data mining;Intrusion detection;Probes;Training,data mining;pattern classification;pattern clustering;performance evaluation;security of data,Denial of Service;K-nearest neighbor;K-nearest neighbor classifiers;KDD-99 data set;KDD99 intrusion detection contest;Naiive Bayes classifiers;R2L;Remote to Local;U2R;User to Root;anomaly intrusion detection system;entropy based feature selection algorithm;false alarm rate reduction;hybrid intrusion detection system;irredundant attributes;k-mean clustering;knowledge discovery and data mining;performance evaluation,,12,,15,,,15-17 March 2012,,IEEE,IEEE Conference Publications
A Parallel Clustering Ensemble Algorithm for Intrusion Detection System,Hongwei Gao; Dingju Zhu; Xiaomin Wang,"Cloud Comput. Lab., Chinese Acad. of Sci., Shenzhen, China","Distributed Computing and Applications to Business Engineering and Science (DCABES), 2010 Ninth International Symposium on",20100916,2010,,,450,453,"Clustering analysis is a common unsupervised anomaly detection method, and often used in Intrusion Detection System (IDS), which is an important component in the network security. The single cluster algorithm is difficult to get the great effective detection, and then a new cluster algorithm based on evidence accumulation is born. The IDS with clustering ensemble has a low false positive rate and high detection rate, however, the IDS is slow to detect the mass data stream, and it can not detect the attacks in time. This paper presents a parallel clustering ensemble algorithm to improve the speed and the effective of the system. Finally, the KDDCUP99 data set is used to test the system show that the IDS have greatly improvement in time and efficiency.",,978-1-4244-7539-1,,10.1109/DCABES.2010.98,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5571602,Evidence Accumulation;Intrusion Detection System;Parallel Clustering Ensemble,Algorithm design and analysis;Classification algorithms;Clustering algorithms;Intrusion detection;Partitioning algorithms;Program processors;Strontium,computer network security;pattern clustering,KDDCUP99 data set;clustering analysis;evidence accumulation;intrusion detection system;network security;parallel clustering ensemble algorithm;unsupervised anomaly detection method,,4,,9,,,10-12 Aug. 2010,,IEEE,IEEE Conference Publications
Fast intrusion detection system based on Flexible Neural Tree,"Novosad, T.; Platos, J.; Snasel, V.; Abraham, A.","Dept. of Comput. Sci., VSB-Tech. Univ. of Ostrava, Ostrava, Czech Republic","Information Assurance and Security (IAS), 2010 Sixth International Conference on",20101014,2010,,,106,111,"Computer security is very important in these days. Computers are used probably in any industry and their protection against attacks is very important task. The protection usually consist in several levels. The first level is preventions. Intrusion detection system (IDS) may be used as next level. IDS is useful in detection of intrusions, but also in monitoring of security issues and the traffic. This paper present IDS based on Flexible Neural Trees. Flexible neural tree is hierarchical neural network, which is automatically created using evolutionary algorithms to solving of defined problem. This is very important, because it is not necessary to set the structure and the weights of neural networks prior the problem is solved. The accuracy of proposed technique is always above 98% and the speed of decision making process enable its using in real-time applications.",,978-1-4244-7407-3,,10.1109/ISIAS.2010.5604057,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5604057,flexible neural tree;genetic algorithm;intrusion detection;real-time classification,Artificial neural networks;Input variables;Intrusion detection;Optimization;Probes;Testing,decision making;evolutionary computation;neural nets;security of data,computer security;decision making process;evolutionary algorithms;fast intrusion detection system;flexible neural tree;hierarchical neural network;real time application,,1,,21,,,23-25 Aug. 2010,,IEEE,IEEE Conference Publications
Evaluation effectiveness of intrusion detection system with reduced dimension using data mining classification tools,"Kezih, M.; Taibi, M.","Lab. LASA, Univ. Badji-Mokhtar Annaba Algerie, Annaba, Algeria","Systems and Computer Science (ICSCS), 2013 2nd International Conference on",20131017,2013,,,205,209,"Intrusions detections systems from point of view of security policy are a second line of defense; they have a supervisory role to observe the activities of our network or hosts to identify attacks in real time. In our days, electronics attacks can cause a very destructive damage for nations which make necessary the use of completed security policy to minimize the potential threats. IDS it is a very important element to resist against this vulnerability, in our works, we use a wired data base Knowledge Discovery Data Mining (KDD) CUP 99 and a Data Mining Tools Waikato Environment for Knowledge Analysis (WEKA) to combine the advantages of an intrusion detection algorithm (PART) and two techniques of Dimensionality Reduction(best first search and genetic search), to evaluate our works, we applied the proposed combined technique, and we check the results by using a several evaluations parameters. The results show that a very high detection rate for certain attacks types and highest sensitivities with the hybrid dimensionality reduction method.",,978-1-4799-2020-4,,10.1109/IcConSCS.2013.6632048,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6632048,Best First;Dimensionality Reduction;Genetic Search;IDS;KDD99;PART;WEKA,Classification algorithms;Data mining;Genetics;Intrusion detection;Machine learning algorithms;Training,data mining;pattern classification;security of data,IDS;KDD CUP 99 dataset;PART;WEKA;Waikato environment for knowledge analysis;best first search;data mining classification tools;genetic search;hybrid dimensionality reduction method;intrusion detection system evaluation effectiveness;reduced dimensionality reduction;security policy;wired database knowledge discovery data mining,,2,,17,,,26-27 Aug. 2013,,IEEE,IEEE Conference Publications
A misuse-based network Intrusion Detection System using Temporal Logic and stream processing,"Ahmed, A.; Lisitsa, A.; Dixon, C.","Dept. of Comput. Sci., Univ. of Liverpool, Liverpool, UK","Network and System Security (NSS), 2011 5th International Conference on",20111027,2011,,,1,8,"Intrusion Detection Systems (IDS) aim to detect the actions that attempt to compromise the confidentiality, availability, and integrity of a resource by monitoring the events occurring in computer systems and/or networks. Stream data processing is a database technology applied to flows of data. Temporal Logic is a formalism for representing change over time. This paper proposes the development of a network intrusion detection system by combining temporal formalisms for representing attack patterns with stream processing for intruder detection. The experimental results show that this combination successfully was able to detect all the attacks of that type in the test data. Additionally, the solution provides a concise and unambiguous way to formally represent attack signatures and it is extensible and scalable.",,978-1-4577-0458-1,,10.1109/ICNSS.2011.6059953,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6059953,,IP networks;Intrusion detection;Matched filters;Monitoring;Protocols;Semantics;Syntactics,database management systems;digital signatures;security of data;temporal logic,attack signatures;database technology;misuse based network intrusion detection system;stream data processing;temporal formalisms;temporal logic,,0,,28,,,6-8 Sept. 2011,,IEEE,IEEE Conference Publications
Evolutionary optimization of a fuzzy rule-based network intrusion detection system,"Fries, T.P.","Dept. of Comput. Sci., Indiana Univ. of Pennsylvania, Indian, PA, USA","Fuzzy Information Processing Society (NAFIPS), 2010 Annual Meeting of the North American",20100816,2010,,,1,6,"The use of computer networks has increased significantly in recent years. This proliferation, in combination with the interconnection of networks via the Internet, has drastically increased their vulnerability to attack by malicious agents. The wide variety of attack modes has exacerbated the problem in detecting attacks. Many current intrusion detection systems (IDS) are unable to identify unknown or mutated attack modes or are unable to operate in a dynamic environment as is necessary with mobile networks. As a result, it has become increasingly important to find new ways to implement and manage intrusion detection systems. Evolutionary-based systems offer the ability to adapt to dynamic environments and to identify unknown attack methods. Fuzzy-based systems accommodate the imprecision associated with mutated and previously unidentified attack modes. This paper presents an evolutionary-fuzzy approach to intrusion detection that is shown to provide superior performance in comparison to other evolutionary approaches. In addition, the method demonstrates improved robustness in comparison to other evolutionary-based techniques.",,978-1-4244-7859-0,978-1-4244-7857-6,10.1109/NAFIPS.2010.5548289,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5548289,evolutionary computation;fuzzy rules;genetic algorithms;network intrusion detection,Computer network reliability;Computer science;Evolutionary computation;Fuzzy logic;Fuzzy systems;Genetic algorithms;Intrusion detection;Robustness;Telecommunication traffic;Uncertainty,Internet;computer network security;evolutionary computation;fuzzy set theory;optimisation,Internet;computer network;evolutionary based system;evolutionary optimization;fuzzy rule based network intrusion detection system;malicious agent;mobile network,,1,,18,,,12-14 July 2010,,IEEE,IEEE Conference Publications
