http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28.QT.CPU+Usage.QT.%29+OR+.QT.Processor+Usage.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/9/2015 20:40,"(((""CPU Usage"") OR ""Processor Usage"") AND ""Intrusion Detection System"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A host based intrusion detection system for DDoS attack in WLAN,"Anuradha; Singhrova, A.","Comput. Sci. & Eng., DCRUST, Sonipat, India","Computer and Communication Technology (ICCCT), 2011 2nd International Conference on",20111110,2011,,,433,438,"Intrusion detection system (IDS) plays a vital role in a computer security scheme as the number of security-breaking attempts originating inside organizations is increasing steadily. In this paper, we describe an architecture of Host based Intrusion Detection System for DoS attack in distributed WLAN (HIDS). The proposed system is an intelligent system that will detect the intrusion dynamically and periodically on estimating the intruder association respective to the current node with its neighbor nodes. It also uses the concept of Bloom filter, in which it stores destination IP address that is used to detect an intruder with misuse detection approach.",,978-1-4577-1385-9,,10.1109/ICCCT.2011.6075142,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6075142,Bloom Filter;DDoS;Intrusion Detection System;Wireless local Area Network,Computer crime;Computers;IP networks;Intrusion detection;Monitoring;Wireless LAN,IP networks;computer network security;data structures;wireless LAN,Bloom filter;DoS attack;computer security scheme;destination IP address;distributed WLAN;host based intrusion detection system;intelligent system;intruder association,,0,,15,,,15-17 Sept. 2011,,IEEE,IEEE Conference Publications
Intrusion Detection System in Cloud Computing: Challenges and opportunities,"Mehmood, Y.; Habiba, U.; Shibli, M.A.; Masood, R.","SEECS, Nat. Univ. of Sci. & Technol., Islamabad, Pakistan","Information Assurance (NCIA), 2013 2nd National Conference on",20140210,2013,,,59,66,"Today, Cloud Computing is the preferred choice of every IT organization since it provides flexible and pay-per-use based services to its users. However, the security and privacy is a major hurdle in its success because of its open and distributed architecture that is vulnerable to intruders. Intrusion Detection System (IDS) is the most commonly used mechanism to detect attacks on cloud. This paper provides an overview of different intrusions in cloud. Then, we analyze some existing cloud based intrusion detection systems (IDS) with respect to their type, positioning, detection time, detection technique, data source and attacks they can detect. The analysis also provides limitations of each technique to evaluate whether they fulfill the security requirements of cloud computing environment or not. We emphasize the deployment of IDS that uses multiple detection methods to cope with security challenges in cloud.",,978-1-4799-1287-2,,10.1109/NCIA.2013.6725325,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6725325,Anomaly;Cloud Computing;Cloud Security;Intrusion Detection System;Signature,Cloud computing;Computer crime;Intrusion detection;Ports (Computers);Servers;Virtual machine monitors,cloud computing;computer crime;data privacy,IDS;IT organization;attacks detection;cloud based intrusion detection systems;cloud computing;data source;detection technique;detection time;distributed architecture;open architecture;pay-per-use based services;positioning;privacy;security requirements,,1,,29,,,11-12 Dec. 2013,,IEEE,IEEE Conference Publications
Network Intrusion Detection System Embedded on a Smart Sensor,"Macia&#x0301;-Pe&#x0301;rez, F.; Mora-Gimeno, F.; Marcos-Jorquera, D.; Gil-Marti&#x0301;nez-Abarca, J.A.; Ramos-Morillo, H.; Lorenzo-Fonseca, I.","Dept. of Comput. Sci. & Technol., Univ. of Alicante, Alicante, Spain","Industrial Electronics, IEEE Transactions on",20110210,2011,58,3,722,732,"This paper proposes a Network Intrusion Detection System (NIDS) embedded in a smart-sensor-inspired device under a service-oriented architecture (SOA) approach which is able to operate independently as an anomaly-based NIDS, or integrated transparently in a Distributed Intrusion Detection System (DIDS). The proposal is innovative because it combines the advantages of the smart sensor approach and the subsequent offering of the NIDS functionality as a service with the SOA use to achieve their integration with other DIDS components. The main goal of this paper is to reduce the huge volume of management tasks inherent to this type of network services, as well as facilitating the design of DIDS whose managing complexity could be restricted within well-defined margins. This paper also addresses the construction of a physical sensor prototype. This prototype was used to carry out the tests that has demonstrated the proposal's validity, providing detection and performance ratios similar to those of existing intrusion detection systems (IDS), but with the advantage of a zero-maintenance approach.",0278-0046,,,10.1109/TIE.2010.2052533,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5484492,Embedded systems;intrusion detection systems (IDS);service-oriented architectures (SOAs);smart sensors,Communication system security;Information security;Intelligent sensors;Intrusion detection;Logic devices;Permission;Proposals;Prototypes;Service oriented architecture;Technology management,computer network security;embedded systems;intelligent sensors;service-oriented architecture,distributed intrusion detection system;network intrusion detection system;service-oriented architecture;smart sensor;zero-maintenance approach,,9,1,35,,6/14/2010,Mar-11,,IEEE,IEEE Journals & Magazines
A Streaming Intrusion Detection System for Grid Computing Environments,"Smith, M.; Schwarzer, F.; Harbach, M.; Noll, T.; Freisleben, B.","Dept. of Math. & Comput. Sci., Univ. of Marburg, Marburg, Germany","High Performance Computing and Communications, 2009. HPCC '09. 11th IEEE International Conference on",20090717,2009,,,44,51,"In this paper, a novel architecture for a streaming intrusion detection system for Grid computing environments is presented. Detection mechanisms based on traditional log-files or single host databases are replaced by a streaming database approach. The streaming architecture allows processing of temporal attack data across multiple sites and offers the potential for performance benefits in large scale systems, since data is processed during its natural flow and only stored as long as necessary for analysis. Two cross-site example attacks in a Grid environment and the streaming detection logic for these attacks are presented to illustrate the approach. Experimental results of a prototypical implementation are presented.",,978-1-4244-4600-1,978-0-7695-3738-2,10.1109/HPCC.2009.99,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5166975,Grid;Intrustion Detection;PIPES;Streaming Database,Computer architecture;Computer science;Databases;Grid computing;High performance computing;Intrusion detection;Mathematics;Reconnaissance;Security;Telecommunication traffic,database management systems;grid computing;security of data,grid computing environment;large scale system;single host database;streaming database intrusion detection system;streaming detection logic;temporal attack data;traditional log-file,,4,,15,,,25-27 June 2009,,IEEE,IEEE Conference Publications
Achieving Flow-Level Controllability in Network Intrusion Detection System,Bo Song; Weibing Yang; Mingyu Chen; Xiaofang Zhao; Jianping Fan,"Inst. of Comput. Technol., Chinese Acad. of Sci., Beijing, China","Software Engineering Artificial Intelligence Networking and Parallel/Distributed Computing (SNPD), 2010 11th ACIS International Conference on",20100726,2010,,,55,60,"Current network intrusion detection systems are lack of controllability, manifested as significant packet loss due to the long-term resources occupation by a single flow. The reasons can be classified into two kinds. The first kind is known as normal reasons, that is, the processing of mass arriving packets of a large flow can not be limited to a determinable period of time and thus makes other flows starved. The second kind, in which the CPU is trapped in a dead-loop like state due to processing some packets with particular content of a flow, is considered as abnormal reasons. In fact, it is a kind of software crashes. In this paper, we discuss the innate defects of traditional packet-driven NIDS, and implement a flow-driven framework which can achieve fine-grained controllability. An Active Two-threshold scheme based on ideal Exit-Point (ATEP) is proposed in order to diminish data preserving overhead during flow switches and to detect crash in time. A quick crash recovery mechanism is also given which can recover the trapped thread from 90% crashes in 0.2 ms. The experimental results show that our flow-driven framework with ATEP scheme can achieve higher throughput and less packet loss ratio than the uncontrollable packet-driven systems with less than 1% of extra CPU overhead. What's more, in the case of crash occurrence, the ATEP scheme is still able to maintain rather steady throughput without sudden decrease.",,978-1-4244-7422-6,978-1-4244-7421-9,10.1109/SNPD.2010.18,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5521501,ATEP;controllability;crash detection;flow-driven;quick crash recovery,Artificial intelligence;Computer crashes;Controllability;Intrusion detection;Software engineering;Software testing;System testing;Throughput;Vehicle crash testing;Yarn,security of data,active two-threshold scheme;data preserving overhead;flow-level controllability;ideal exit-point;network intrusion detection system;packet loss;packet-driven NIDS;packet-driven systems;quick crash recovery mechanism;software crashes,,1,,14,,,9-11 June 2010,,IEEE,IEEE Conference Publications
A robust and fault-tolerant distributed intrusion detection system,"Sen, J.","Innovation Lab., Tata Consultancy Services Ltd., Kolkata, India","Parallel Distributed and Grid Computing (PDGC), 2010 1st International Conference on",20110106,2010,,,123,128,"Since it is impossible to predict and identify all the vulnerabilities of a network, and penetration into a system by malicious intruders cannot always be prevented, intrusion detection systems (IDSs) are essential entities for ensuring the security of a networked system. To be effective in carrying out their functions, the IDSs need to be accurate, adaptive, and extensible. Given these stringent requirements and the high level of vulnerabilities of the current days' networks, the design of an IDS has become a very challenging task. Although, an extensive research has been done on intrusion detection in a distributed environment, distributed IDSs suffer from a number of drawbacks e.g., high rates of false positives, low detection efficiency etc. In this paper, the design of a distributed IDS is proposed that consists of a group of autonomous and cooperating agents. In addition to its ability to detect attacks, the system is capable of identifying and isolating compromised nodes in the network thereby introducing fault-tolerance in its operations. The experiments conducted on the system have shown that it has high detection efficiency and low false positives compared to some of the currently existing systems.",,978-1-4244-7675-6,,10.1109/PDGC.2010.5679879,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5679879,,Bayesian methods;Fault tolerance;Fault tolerant systems;Intrusion detection;Lead;Monitoring;Peer to peer computing,distributed processing;security of data;software agents;software fault tolerance,IDS;autonomous agents;cooperating agents;fault-tolerant distributed intrusion detection system;malicious intruders;networked system security;robust distributed intrusion detection system,,0,,10,,,28-30 Oct. 2010,,IEEE,IEEE Conference Publications
An Intrusion Detection System for Critical Information Infrastructures using Wireless Sensor Network technologies,"Coppolino, Luigi; D'Antonio, S.; Romano, L.; Spagnuolo, G.","Dipt. per le Tecnol., Univ. of Naples Parthenope (DiT), Naples, Italy","Critical Infrastructure (CRIS), 2010 5th International Conference on",20101101,2010,,,1,8,"Wireless Sensor Network (WSN) technology is being increasingly used for data collection in Critical Infrastructures (CIs). The paper presents an Intrusion Detection System (IDS), which is able to protect a CI from attacks directed to its WSN-based parts. By providing accurate and timely detection of malicious activities, the proposed IDS solution ultimately results in a dramatic improvement in terms of protection, since opportunities are given for performing proper remediation/reconfiguration actions, which counter the attack and/or allow the system to tolerate it. We present the basic ideas, discuss the main implementation issues, and perform a preliminary experimental campaign. Not only have experiments demonstrated the effectiveness of the proposed approach in protecting the system against two very serious attacks to WSNs (namely: sinkhole, and bogus packet), but they have also proved that the stringent requirements (in terms of limited availability of resources) which are typical of current state-of-the-art WSN technologies, are met.",,978-1-4244-8080-7,,10.1109/CRIS.2010.5617547,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5617547,Critical Information Infrastructures;Critical Infrastructures;Intrusion Detection;Wireless Sensor Networks,Base stations;Routing;Routing protocols;Security;Sensors;Wireless sensor networks,security of data;telecommunication security;wireless sensor networks,bogus packet;critical information infrastructures;intrusion detection system;malicious activities;sinkhole;wireless sensor network,,6,,34,,,20-22 Sept. 2010,,IEEE,IEEE Conference Publications
Complex Event Processing based Hybrid Intrusion Detection System,"Mohan, R.; Vaidehi, V.; Krishna A, A.; Mahalakshmi, M.; Chakkaravarthy, S.S.","Dept. of Electron. Eng., Anna Univ., Chennai, India","Signal Processing, Communication and Networking (ICSCN), 2015 3rd International Conference on",20150827,2015,,,1,6,"Insider threats are evolving constantly and misuse the granted resource access for various malicious activities. These insider threats make use of internal network flaws as the loop holes and are the root cause for data exfiltration and infiltration (Data leakage). Organizations are devising and deploying new solutions for analyzing, monitoring and predicting these insider threats. However data leakage and network breach problems still exist and are increasing day by day. This is due to multiple root accounts, top priority privileges, shared root access, shared file system privileges etc. In this paper a new Hybrid Intrusion Detection System (IDS) is developed to overcome the above stated problem. The objective of this research is to develop a Complex Event Processing (CEP) based Hybrid IDS that integrates the output of the Host IDS and Network IDS into the CEP Module and produces a consolidated output with higher accuracy. The overall deployment protects the internal information system without any data leakage by Stateful Packet Inspection. Multivariate Correlation Analysis (MCA) is used to estimate and characterize the normal behavior of the network and send the values to the CEP Engine which alerts in case of any deviation from the normal pattern. The performance of the proposed Hybrid IDS is examined using test bed with normal and various attack scenarios.",,978-1-4673-6822-3,,10.1109/ICSCN.2015.7219827,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7219827,CEP;Hybrid IDS;IDS;Insider Threat;MCA;Multivariate Correlation Analysis,Covariance matrices;Feature extraction;Linux;Random access memory;Servers;Standards;Testing,computer network security;peer-to-peer computing,CEP engine;CEP module;complex event processing;data exfiltration;data infiltration;data leakage problem;file system privilege sharing;file system sharing;host IDS;hybrid IDS;hybrid intrusion detection system;internal information system;internal network flaw;loop hole;multivariate correlation analysis;network IDS;network breach problem;root access sharing;stateful packet inspection;threat analysis;threat monitoring;threat prediction,,0,,8,,,26-28 March 2015,,IEEE,IEEE Conference Publications
A practical network intrusion detection system for inline FPGAs on 10GbE network adapters,"Jaic, K.; Smith, M.C.; Sarma, N.","Holcombe Dept. of of Electr. & Comput. Eng., Clemson Univ., Clemson, SC, USA","Application-specific Systems, Architectures and Processors (ASAP), 2014 IEEE 25th International Conference on",20140731,2014,,,180,181,"A network intrusion detection system (NIDS), such as SNORT, analyzes incoming packets to identify potential security threats. Pattern matching is arguably the most important and most computationally intensive component of a NIDS. Software-based NIDS implementations drop up to 90% of packets during increased network load even at lower network bandwidth. We propose an alternative hybrid-NIDS that couples an FPGA with a network adapter to provide hardware support for pattern matching and software support for post processing. The proposed system, SFAOENIDS, offers an extensible open-source NIDS for Solarflare AOE devices. The pattern matching engine-the primary component of the hardware architecture was designed based on the requirements of typical NIDS implementations. In testing on a real network environment, the SFAOENIDS hardware implementation, operating at 200 MHz, handles a 10Gbps data rate without dropping packets while simultaneously minimizing the server CPU load.",,,,10.1109/ASAP.2014.6868655,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6868655,,Engines;Field programmable gate arrays;Hardware;Intrusion detection;Memory management;Pattern matching;Software,field programmable gate arrays;security of data,SFAOENIDS;SNORT;Solarflare AOE devices;inline FPGA;lower network bandwidth;network adapters;network load;open-source NIDS;pattern matching;pattern matching engine;practical network intrusion detection system;real network environment;security threats;software based NIDS implementations,,0,,8,,,18-20 June 2014,,IEEE,IEEE Conference Publications
Research of Intrusion Detection System on Android,Fangfang Yuan; Lidong Zhai; Yanan Cao; Li Guo,"Inst. of Inf. Eng., Beijing, China","Services (SERVICES), 2013 IEEE Ninth World Congress on",20131107,2013,,,312,316,"In this paper, we proposed an intrusion detection system for detecting anomaly on Android smartphones. The intrusion detection system continuously monitors and collects the information of smartphone under normal conditions and attack state. It extracts various features obtained from the Android system, such as the network traffic of smartphones, battery consumption, CPU usage, the amount of running processes and so on. Then, it applies Bayes Classifying Algorithm to determine whether there is an invasion. In order to further analyze the Android system abnormalities and locate malicious software, along with system state monitoring the intrusion detection system monitors the process and network flow of the smartphone. Finally, experiments on the system which was designed in this paper have been carried out. Empirical results suggest that the proposed intrusion detection system is effective in detecting anomaly on Android smartphones.",,978-0-7695-5024-4,,10.1109/SERVICES.2013.77,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6655715,Smartphones; Monitoring; Android; Security,Data mining;Feature extraction;Intrusion detection;Malware;Monitoring;Smart phones,Bayes methods;feature extraction;mobile computing;pattern classification;security of data;smart phones;system monitoring,Android smartphone;Android system abnormalities;Bayes classifying algorithm;CPU usage;anomaly detection;attack state;battery consumption;continuous information monitoring;feature extraction;information collection;intrusion detection system monitor;invasion;malicious software location;network flow;network traffic;running processes;system state monitoring,,1,,12,,,June 28 2013-July 3 2013,,IEEE,IEEE Conference Publications
