http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.Scanning+Time.QT.%29+OR+.QT.time+spent+scanning.QT.%29+OR+.QT.time+spent+pattern+matching.QT.%29+OR+.QT.pattern+matching+time.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/9/2015 20:36,"(((((""Scanning Time"") OR ""time spent scanning"") OR ""time spent pattern matching"") OR ""pattern matching time"") AND ""Intrusion Detection System"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A memory efficient FPGA-based pattern matching engine for stateful NIDS,Tran Trung Hieu; Ngoc Thinh Tran,"Fac. of Comput. Sci. & Eng., HCMC Univ. of Technol., Ho Chi Minh City, Vietnam","Ubiquitous and Future Networks (ICUFN), 2013 Fifth International Conference on",20130930,2013,,,252,257,"Pattern matching task plays an important role in network security applications especially Network Intrusion Detection System (NIDS). The limitation of matching throughput on general purpose processor gives rise to implementation of the task on FPGA. In this paper, we introduce a memory efficient FPGA-based pattern matching engine. We bases on Deterministic Finite Automata (DFA) and propose some modifications to reduce redundant logic. The proposed design, with better memory utilization, is capable of dynamic update and compatible to stateful NIDS. The analysis of memory efficiency and the hardware implementation of proposed design are also provided in this paper. We experiment our approach on contemporary NIDS pattern sets and build a prototype to test on real network environment. The results show that our design could save up to 90% hardware resources compare to traditional approach. The matching engine is compatible to gigabit network and could achieve 2.7-3.2x speed up to software-based matching engine.",2165-8528,,,10.1109/ICUFN.2013.6614821,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6614821,DFA;FPGA;FSM;NIDS;pattern matching,Engines;Field programmable gate arrays;Indexes,deterministic automata;field programmable gate arrays;finite state machines;pattern matching;security of data,DFA;FPGA-based pattern matching engine;NIDS;deterministic finite automata;general purpose processor;gigabit network;hardware implementation;memory efficiency;network intrusion detection system;network security applications;redundant logic,,1,,14,,,2-5 July 2013,,IEEE,IEEE Conference Publications
A Bray-Curtis Weighted Automaton for Detecting Malicious Code Through System-Call Analysis,"Pungila, C.","Comput. Sci. Dept., West Univ. of Timisoara, Timisoara, Romania","Symbolic and Numeric Algorithms for Scientific Computing (SYNASC), 2009 11th International Symposium on",20100506,2009,,,392,400,"Malicious code detection is one of the top subjects of interest for intrusion detection systems in today's computer security research areas. In this paper we propose a new heuristic method for detecting malicious code through system call matching, which also takes in consideration the time of the system call, by using an adaptive search for an extended Aho-Corasick automaton supporting a subset of the regular expressions language, through the use of a normalization technique known as the Bray-Curtis (Sorensen) distance. We will also discuss how this technique can be applied to enrich the set of existing rules from the knowledge base for improving the detection rate.",,978-1-4244-5910-0,978-1-4244-5911-7,10.1109/SYNASC.2009.41,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5460823,Aho-Corasick automata;Bray-Curtis distance;Sorensen distance;dynamic analysis;intrusion detection system;malicious code detection;normalization;static analysis;system call timing,Algorithm design and analysis;Automata;Computer science;Informatics;Intrusion detection;Mathematics;Pattern analysis;Performance analysis;Scientific computing;Viruses (medical),automata theory;formal languages;security of data,Aho-Corasick automaton;Bray-Curtis distance;Bray-Curtis weighted automaton;Sorensen distance;computer security;detection rate;intrusion detection;knowledge base;malicious code detection;normalization technique;regular expression language;system call matching;system call time;system-call analysis,,1,,23,,,26-29 Sept. 2009,,IEEE,IEEE Conference Publications
Performance Analysis of the Single Pattern Matching Algorithm Based on Prefix Searching,Wu Xi-hong,"Sch. of Comput. Sci., Jiaying Univ., Meizhou, China","Computational Intelligence and Security (CIS), 2011 Seventh International Conference on",20120112,2011,,,1024,1027,"Intrusion Detection System has become the important part of the computer and network security because it can effectively compensate for the lack of network security measures. However, the intrusion detection technology relies heavily on pattern matching algorithms, as the choice of pattern matching algorithms directly affect the detection rate, so it is more important. First the paper is detailed analysis the characteristics of the four kinds of single pattern matching which based on prefix search, and then it tests by the number of different pattern strings. The experimental results show that the KMP algorithm can improve effectively the speed of pattern matching. So the application of KMP algorithm can improve the efficiency of intrusion detection.",,978-1-4577-2008-6,,10.1109/CIS.2011.228,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6128279,KMP algorithm;network security;prefix searching;single pattern matching algorithm,Algorithm design and analysis;Arrays;Classification algorithms;Complexity theory;Intrusion detection;Pattern matching,computer network security;information retrieval;string matching,IDS;KMP algorithm;computer security;intrusion detection system;network security;pattern strings;performance analysis;prefix searching;single pattern matching algorithm,,0,,8,,,3-4 Dec. 2011,,IEEE,IEEE Conference Publications
Research on anomaly behavior blocking method for desktop security,Wang Jing; Sun Chao-Yi; Feng Li; Zhou Ti,"Wuhan Digital Eng. Inst., Wuhan, China","Computer Application and System Modeling (ICCASM), 2010 International Conference on",20101104,2010,4,,V4-67,V4-71,"Anti-virus software is a most common method for protecting the security of Desktop operating system. However, they fall prey to a number of shortcomings such as fully depend on and need to update the virus-database frequently, long scanning time, and their inability to prevent the unknown attacks. Aiming at these, in this paper we propose a novel anomaly behavior blocking approach based on the process behavior reflected in operating system kernel, and introduce an adaptive sliding window to trace the whole process behavior sequence dynamically, two security indices, Normal-Density and Abnormal-Density are also put forward to evaluate the security status of process. By introducing them into the Network Entropy theory, we can make certain the blocking occasion and the blocking granularity accurately. Compared to the traditional blocking models based on fixed window, the experimental results show that this approach can block malicious behavior more effectively as well as drastically.",,978-1-4244-7235-2,978-1-4244-7237-6,10.1109/ICCASM.2010.5620464,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5620464,Abnormal-Density;Normal-Density;behavior blocking;desktop security;network theory;sliding window,Manganese;Tin,computer viruses;operating systems (computers),adaptive sliding window;anomaly behavior blocking method;antivirus software;desktop operating system security;network entropy theory;operating system kernel;scanning time;virus database update,,0,,12,,,22-24 Oct. 2010,,IEEE,IEEE Conference Publications
BLAST: B-LAyered bad-character SHIFT tables for high-speed pattern matching,Yoon-Ho Choi; Seung-Woo Seo,"Dept. of Convergence Security, Kyonggi Univ., Suwon, South Korea","Information Security, IET",20130902,2013,7,3,195,202,"In this study, the authors propose a new multi-pattern matching algorithm, called BLAST (B-LAyered bad-character Shift Tables with a single-byte search unit), which considers space-time tradeoff in the context of shift values during the search. Here, the term `bad character' is a character that causes a mismatch. While checking multiple bytes in scanning the text at a time, the BLAST algorithm overcomes the reduction of the average shift value in a typical search, which is caused by the dependency on the multi-byte search unit (MBSU) and the large frequency of the last character of the given patterns. From the theoretical analysis, the authors validate the correctness of the BLAST algorithm. Also, from the experimental results across different setups, the authors show that the BLAST algorithm provides the faster search time than the other algorithms. For example, the authors obtain an enhancement by as much as 212.41% on average for various numbers of attack patterns and attack traffic conditions compared with that of the modified Wu-Manber algorithm. In addition, it is shown that the BLAST algorithm drastically reduces the amount of memory required for constructing the shift table based on a MBSU from 64 KB to 1 KB.",1751-8709,,,10.1049/iet-ifs.2011.0305,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6587875,,,computer network security;search problems;string matching;text analysis,B-layered bad-character SHIFT tables;BLAST algorithm;MBSU;Wu-Manber algorithm;attack patterns;attack traffic conditions;byte checking;high-speed pattern matching;multibyte search unit;multipattern matching algorithm;pattern search time;shift values;single bad-character SHIFT table;single-byte search unit;space-time tradeoff;text scanning,,0,,,,,Sept. 2013,,IET,IET Journals & Magazines
Book of abstracts,,,"Computer Science & Education (ICCSE), 2013 8th International Conference on",20130715,2013,,,35,74,Presents abstracts for the articles comprising the conference proceedings.,,978-1-4673-4464-7,,10.1109/ICCSE.2013.6554177,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6554177,,,,,,0,,,,,26-28 April 2013,,IEEE,IEEE Conference Publications
Research and improvement of MWM multi-mode matching algorithm,Zhou Yan-sen; Kang Yan-mei,"Dept. of Inf. Sci. & Technol., Univ. of Int. Relations, Beijing, China","Computer Science and Network Technology (ICCSNT), 2012 2nd International Conference on",20130610,2012,,,443,447,"Multi-mode matching algorithm is the key to the intrusion detection's performance. The paper analyzes WM algorithm, and shows the main disadvantages of MWM algorithm. Against these defects, we come up with an improved algorithm-IMWM algorithm, which uses repeated hash to solve string prefix conflict and reduce the number of match. Considering matching windows' subsequent characters moving distance when the match failed, IMWM algorithm expands matching windows' moving distance. With the same text string and pattern string, IMWM algorithm has promising improvements in matching performance comparing with MWM algorithm, which has been proved by experiments.",,978-1-4673-2963-7,,10.1109/ICCSNT.2012.6525973,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6525973,hash conflict;hash table;matching window;multi-mode matching;shortest pattern string,,cryptography;string matching;text analysis,IMWM algorithm;MWM multimode matching algorithm;intrusion detection performance;match number reduction;matching performance improvements;matching window moving distance;pattern string;repeated hash;string prefix conflict;text string,,0,,10,,,29-31 Dec. 2012,,IEEE,IEEE Conference Publications
Detecting backdoor using stepping stone detection approach,"Alminshid, K.; Omar, M.N.","Dept. of Inf. Technol., Univ. Utara Malaysia, Sintok, Malaysia","Informatics and Applications (ICIA),2013 Second International Conference on",20131031,2013,,,87,92,"Several techniques are used by intruders to hide the track of intrusion in the network. One of these techniques executes by using series of hosts in network (stepping stones chain), which can be detected by using an approach, called Stepping Stone Detection (SSD). However, during all previous years, SSD was only confined to detect this type of intrusion. This paper discusses the using of SSD approach and potential applications in other emerging field by introduce the using of SSD concepts in backdoor attack detection field. This research shows that by using SSD to detect backdoor attack can be gained very low false negative and false positive rates and reduces the scan process time detection.",,978-1-4673-5255-0,,10.1109/ICoIA.2013.6650235,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6650235,RTT;Stepping stone;backdoor;stepping stone detection,Internet;Intrusion detection;Malware;Monitoring;Ports (Computers);Software,computer network security,SSD approach;backdoor attack detection field;false negative rates;false positive rates;network intrusion tracking;scan process time detection;stepping stone detection approach,,0,,23,,,23-25 Sept. 2013,,IEEE,IEEE Conference Publications
An independently partial pattern matching for content inspection at multi gigabit networks,Woo-Sug Jung; Taeck-Geun Kwon,"Electron. & Telecommun. Res. Inst., Daejeon, South Korea","Advanced Communication Technology (ICACT), 2010 The 12th International Conference on",20100401,2010,2,,1574,1579,"In this paper, we propose a novel algorithm for pattern matching at multi gigabit network. It is called as the IPM. Our proposed algorithm can minimize the system overhead which is generated to extract patterns at out-of-sequence packets since the IPM does not require a buffering, reordering and reassembling to keep sequence of packets. Our proposed algorithm performs independently partial pattern matching to extract the pattern from incoming multiple packets at multi gigabit network. The IPM is implemented by FPGA, TCAM and SRAM. Consequently, we show the IPM can reduce 87% of TCAM entries to extract 17 bytes pattern and w = 4. Moreover, we observed that IPM can perform the scanning of packets at 10.941Gbps and it spent 5.79LC/Char to implement the IPM. Then, we achieved the 1.89 Gbps/LC of PHC score. This means that IPM provides the optimal performance in contrast with hardware complexity. Therefore, we propose the cost-effective algorithm to extract the pattern at multi gigabit network.",1738-9445,978-1-4244-5427-3,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5440330,FPGA;IPM;Out-Of-Sequence packet;Pattern Matching;TCAM,Data mining;Field programmable gate arrays;Hardware;IP networks;Inspection;Intrusion detection;Pattern matching;Random access memory;Telecommunication traffic;Web and internet services,SRAM chips;field programmable gate arrays;pattern matching,FPGA;IPM;SRAM;TCAM;cost-effective algorithm;hardware complexity;multi gigabit networks;optimal performance;out-of- sequence packets;partial pattern matching,,0,,21,,,7-10 Feb. 2010,,IEEE,IEEE Conference Publications
Speculative Parallel Pattern Matching,"Luchaup, D.; Smith, R.; Estan, C.; Jha, S.","Dept. of Comput. Sci., Univ. of Wisconsin at Madison, Madison, WI, USA","Information Forensics and Security, IEEE Transactions on",20110516,2011,6,2,438,451,"Intrusion prevention systems (IPSs) determine whether incoming traffic matches a database of signatures, where each signature is a regular expression and represents an attack or a vulnerability. IPSs need to keep up with ever-increasing line speeds, which has lead to the use of custom hardware. A major bottleneck that IPSs face is that they scan incoming packets one byte at a time, which limits their throughput and latency. In this paper, we present a method to search for arbitrary regular expressions by scanning multiple bytes in parallel using speculation. We break the packet in several chunks, opportunistically scan them in parallel, and if the speculation is wrong, correct it later. We present algorithms that apply speculation in single-threaded software running on commodity processors as well as algorithms for parallel hardware. Experimental results show that speculation leads to improvements in latency and throughput in both cases.",1556-6013,,,10.1109/TIFS.2011.2112647,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5710582,Low latency;multibyte;multibyte matching;parallel pattern matching;parallel regular expression matching;regular expressions;speculative pattern matching,Couplings;Doped fiber amplifiers;Hardware;History;Pattern matching;Software algorithms;Throughput,database management systems;pattern matching;security of data,IPS;intrusion prevention systems;parallel hardware;speculative parallel pattern matching,,5,,33,,2/10/2011,Jun-11,,IEEE,IEEE Journals & Magazines
