http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28.QT.Monitoring+Interval.QT.%29+OR+.QT.system+monitoring.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/9/2015 20:27,"(((""Monitoring Interval"") OR ""system monitoring"") AND ""Intrusion Detection System"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Integrated Security Incident Management -- Concepts and Real-World Experiences,"Metzger, S.; Hommel, W.; Reiser, H.","Leibniz Supercomput. Centre, Munich, Germany","IT Security Incident Management and IT Forensics (IMF), 2011 Sixth International Conference on",20110627,2011,,,107,121,"We present a holistic, process-oriented approach to ISO/IEC 27001 compliant security incident management that integrates multiple state-of-the-art security tools and has been applied to a real-world scenario very successfully for one year so far. The computer security incident response team, CSIRT, is enabled to correlate IT security related events across multiple communication channels and thus to classify any incidents consistently. Depending on an incident's classification, manual intervention or even fully automated reaction steps can be triggered, this starts with simple email notifications of system and network administrators, and scales up to quarantining compromised systems and sub networks automatically. A formally specified security incident response (SIR) process serves as the basis that clearly defines responsibilities, workflows, and interfaces. It has been designed to enable quick reactions to IT security events in a very resource-conserving manner.",,978-1-4577-0146-7,,10.1109/IMF.2011.15,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5931116,ISO/IEC 27001;IT service management;computer security incident response team;intrusion detection;network abuse,Electronic mail;Internet;Intrusion detection;Malware;Monitoring;Postal services,IEC standards;ISO standards;Internet;computer interfaces;computer network security;electronic mail;telecommunication channels,ISO/IEC 27001;IT security related events;classification;computer security incident response team;email notifications;fully automated reaction steps;integrated security incident management;interfaces;manual intervention;multiple communication channels;network administrators;state-of-the-art security tools,,3,,18,,,10-12 May 2011,,IEEE,IEEE Conference Publications
Design an anomaly based fuzzy intrusion detection system for packet dropping attack in mobile ad hoc networks,"Chaudhary, A.; Tiwari, V.N.; Kumar, A.","Manipal Univ. Jaipur (MUJ), Jaipur, India","Advance Computing Conference (IACC), 2014 IEEE International",20140327,2014,,,256,261,"Due to the advancement in communication technologies, mobile ad hoc network increases the ability in terms of ad hoc communication between the mobile nodes. Mobile ad hoc networks do not use any predefined infrastructure during the communication so that all the present mobile nodes which are want to communicate with each other immediately form the topology and initiates the request for data packets to send or receive. In terms of security perspectives, communication via wireless links makes mobile ad hoc networks more vulnerable to attacks because any one can join and move the networks at any time. Particularly, in mobile ad hoc networks one of very common attack is packet dropping attack through the malicious node (s). This paper developed an anomaly based fuzzy intrusion detection system to detect the packet dropping attack from mobile ad hoc networks and this proposed solution also save the resources of mobile nodes in respect to remove the malicious nodes. For implementation point of view, qualnet simulator 6.1 and sugeno-type fuzzy inference system are used to make the fuzzy rule base for analyzing the results. From the simulation results it's proved that proposed system is more capable to detect the packet dropping attack with high positive rate and low false positive under each level (low, medium and high) of speed of mobile nodes.",,978-1-4799-2571-1,,10.1109/IAdCC.2014.6779330,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6779330,MANETs security issues;detection methods;fuzzy logic;intrusion detection system (IDS);mobile ad hoc networks (MANETs);packet dropping attack,Fuzzy logic;Intrusion detection;Mobile ad hoc networks;Mobile computing;Mobile nodes,fuzzy logic;fuzzy reasoning;fuzzy set theory;mobile ad hoc networks;telecommunication network topology;telecommunication security,anomaly based fuzzy intrusion detection system;data packets;fuzzy rule base;malicious nodes;mobile ad hoc networks;mobile nodes;network topology;packet dropping attack;qualnet simulator 6.1;sugeno-type fuzzy inference system;wireless communication,,0,,16,,,21-22 Feb. 2014,,IEEE,IEEE Conference Publications
Host-based intrusion detection system,"Vokorokos, L.; Bala&#x0301;z&#x030C;, A.","Dept. of Comput. & Inf., Tech. Univ. of Kosice, Kos&#x030C;ice, Slovakia","Intelligent Engineering Systems (INES), 2010 14th International Conference on",20100614,2010,,,43,47,"The paper presents intrusion detection system which informs system administrator about potential intrusion incidence in a system. The designed architecture employes statistical method of data evaluation, that allows detection based on the knowledge of user activity deviation in the computer system from learned profile representing standard user behavior.",,978-1-4244-7650-3,,10.1109/INES.2010.5483815,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5483815,,Computer architecture;Computer networks;Control systems;Databases;Hardware;Informatics;Intrusion detection;Statistical analysis;Switches;System buses,,,,4,,7,,,5-7 May 2010,,IEEE,IEEE Conference Publications
Distributed Intrusion Detection System Based on BP Neural Network,Li Hua; Zhao Jianping,"Dept. of Comput., Changchun Univ. of Sci. & Technol., Changchun, China","Computational Intelligence and Software Engineering, 2009. CiSE 2009. International Conference on",20091228,2009,,,1,6,"The central processing units of centralized structure are generally overloaded, and traditional intrusion detection system cannot effectively detect unknown attacks. To overcome the above problems, a distributed intrusion detection system model is established combining neural network with distributed detection in this paper based on the self-learning and adaptive characteristics of neural networks. A simulation experiment is done with Cauchy error estimation for avoiding trapping into local minimum. The result shows that the system can detect most of known attacks and analyze the unknown attacks, which is beneficial to artificial analysis and detection.",,978-1-4244-4507-3,978-1-4244-4507-3,10.1109/CISE.2009.5366211,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5366211,,Artificial neural networks;Biological neural networks;Computational modeling;Computer networks;Distributed computing;Event detection;IP networks;Intrusion detection;Monitoring;Neural networks,backpropagation;distributed processing;neural nets;security of data,BP neural network;Cauchy error estimation;adaptive characteristic;distributed intrusion detection;self-learning characteristic,,0,,5,,,11-13 Dec. 2009,,IEEE,IEEE Conference Publications
False positive reduction in intrusion detection system: A survey,"Abouabdalla, O.; El-Taj, H.; Manasrah, A.; Ramadass, S.","Nat. Adv. IPv6 Centre (NAv6), Univ. Sains Malaysia, Penang, Malaysia","Broadband Network & Multimedia Technology, 2009. IC-BNMT '09. 2nd IEEE International Conference on",20091204,2009,,,463,466,"Since the first intrusion detection system and up to this moment all IDSs had generated thousands and thousands of alerts and most of these alerts are false alerts, which lead the researchers to develop an idea to reduce the rate of the alerts or at least the false alerts of them. One of the ideas was to create correlation methods which cover the problem of dealing with the huge amount of both real alerts as well as false alerts. The techniques used in this area plan to help the analyst party to analyze these alerts to distinguish between alerts generated by real attacks and legal traffic. This paper will highlight the false positive reduction techniques surrounding this area.",,978-1-4244-4590-5,978-1-4244-4591-2,10.1109/ICBNMT.2009.5348536,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5348536,Alert Correlation;Computer security;False Positive Alerts;Intrusion Detection System,Association rules;Computer networks;Correlation;Data mining;Intrusion detection;Law;Legal factors;Standards development;Telecommunication traffic;XML,computer networks;correlation methods;security of data,correlation method;false alert;false positive reduction;intrusion detection system,,0,,16,,,18-20 Oct. 2009,,IEEE,IEEE Conference Publications
System Monitoring and Controlling Mechanism Based on Hypervisor,Wu Qingbo; Wang Chunguang; Tan Yusong,"Coll. of Comput., NUDT, Changsha, China","Parallel and Distributed Processing with Applications, 2009 IEEE International Symposium on",20090818,2009,,,549,554,"Current commodity operating systems allow a privileged user to run some programs in kernel mode by installing a kernel module or a device driver, but there isnpsilat an available method to verify the reliability of these programs. As a result, malware leverages this way to corrupt system services, defeat anti-malware and even get control of the whole system. It makes operating-system-based security tools undergo all kinds of hardships in face of various attacks. Virtualization technology brings a new chance to protect operating systems out-of-box in hypervisors. This article proposes a system monitoring and controlling framework, named as BMCS, which monitors low-level states and hardware accessing events of operating system in a hypervisor. BMCS abstracts low-level states and events and profiles OS-level semantics with the help of a hosted daemon. Moreover, it can control the execution of operating system software through the hypervisor. Our out-of box method can collect real run-time operating system profile and control the execution of the OS according some defined rules. As a result, it makes the operating system stronger. We implement BMCS based on KVM and experiment results prove that BMCS performs well.",,978-0-7695-3747-4,,10.1109/ISPA.2009.99,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5207881,Controlling;Hypervisor;Security;System Monitoring,Abstracts;Control systems;Hardware;Kernel;Monitoring;Operating systems;Protection;Security;Software systems;Virtual machine monitors,device drivers;invasive software;operating system kernels;software reliability;software tools;system monitoring,anti-malware;commodity operating systems;controlling mechanism;device driver;kernel module;operating-system-based security tools;run-time operating system profile;system monitoring;virtualization technology,,0,,8,,,10-12 Aug. 2009,,IEEE,IEEE Conference Publications
A robust and fault-tolerant distributed intrusion detection system,"Sen, J.","Innovation Lab., Tata Consultancy Services Ltd., Kolkata, India","Parallel Distributed and Grid Computing (PDGC), 2010 1st International Conference on",20110106,2010,,,123,128,"Since it is impossible to predict and identify all the vulnerabilities of a network, and penetration into a system by malicious intruders cannot always be prevented, intrusion detection systems (IDSs) are essential entities for ensuring the security of a networked system. To be effective in carrying out their functions, the IDSs need to be accurate, adaptive, and extensible. Given these stringent requirements and the high level of vulnerabilities of the current days' networks, the design of an IDS has become a very challenging task. Although, an extensive research has been done on intrusion detection in a distributed environment, distributed IDSs suffer from a number of drawbacks e.g., high rates of false positives, low detection efficiency etc. In this paper, the design of a distributed IDS is proposed that consists of a group of autonomous and cooperating agents. In addition to its ability to detect attacks, the system is capable of identifying and isolating compromised nodes in the network thereby introducing fault-tolerance in its operations. The experiments conducted on the system have shown that it has high detection efficiency and low false positives compared to some of the currently existing systems.",,978-1-4244-7675-6,,10.1109/PDGC.2010.5679879,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5679879,,Bayesian methods;Fault tolerance;Fault tolerant systems;Intrusion detection;Lead;Monitoring;Peer to peer computing,distributed processing;security of data;software agents;software fault tolerance,IDS;autonomous agents;cooperating agents;fault-tolerant distributed intrusion detection system;malicious intruders;networked system security;robust distributed intrusion detection system,,0,,10,,,28-30 Oct. 2010,,IEEE,IEEE Conference Publications
Intrusion detection system with the data mining technologies,Wang Pu; Wang Jun-qing,"Taiyuan Univ. of Sci. & Technol., Taiyuan, China","Communication Software and Networks (ICCSN), 2011 IEEE 3rd International Conference on",20110908,2011,,,490,492,"Intrusion Detection Systems (IDSs) have become an efficient defense tool against network attacks since they allow network administrator to detect policy violations. However, traditional IDs are vulnerable to original and novel malicious attacks. Also, it is very inefficient to analyze from a large amount volume data such as possibility logs. In addition, there are high false positives and false negatives for the common IDSs. Data mining has been popularly recognized as an important way to mine useful information from large volumes of data which is noisy, fuzzy, and random. Thus, how to integrate the data mining techniques into the intrusion detection systems has become a hot topic recently. In this paper, we present the whole techniques of the IDS with data mining approaches in details.",,978-1-61284-485-5,,10.1109/ICCSN.2011.6013951,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6013951,Data Mining;Intrusion Detection;Network Security,Computers;Monitoring,Internet;computer network security;data mining,World Wide Web;data mining technologies;defense tool;intrusion detection system;network administrator;network attacks;policy violation detection,,2,,11,,,27-29 May 2011,,IEEE,IEEE Conference Publications
The effect of probe interval estimation on attack detection performance of a WLAN independent intrusion detection system,"Milliken, J.; Selis, V.; Yap, K.M.; Marshall, A.","Dept. of Electr. & Electron. Eng., Queens Univ. Belfast, Belfast, UK","Wireless Communications and Applications (ICWCA 2012), IET International Conference on",20130715,2012,,,1,6,"A new niche of densely populated, unprotected networks is becoming more prevalent in public areas such as Shopping Malls, defined here as independent open-access networks, which have attributes that make attack detection more challenging than in typical enterprise networks. To address these challenges, new detection systems which do not rely on knowledge of internal device state are investigated here. This paper shows that this lack of state information requires an additional metric (The exchange timeout window) for detection of WLAN Denial of Service Probe Flood attacks. Variability in this metric has a significant influence on the ability of a detection system to reliably detect the presence of attacks. A parameter selection method is proposed which is shown to provide reliability and repeatability in attack detection in WLANs. Results obtained from ongoing live trials are presented that demonstrate the importance of accurately estimating probe request and probe response timeouts in future Independent Intrusion Detection Systems.",,,978-1-84919-550-8,10.1049/cp.2012.2110,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6552453,Frames;Intrusion;MAC;Probe;WLAN,,computer network reliability;computer network security;parameter estimation;wireless LAN,WLAN;attack detection performance;attack detection reliability;attack detection repeatability;denial of service probe flood attacks;exchange timeout window;independent intrusion detection system;parameter selection method;probe interval estimation effect;state information;unprotected networks,,2,,,,,8-10 Oct. 2012,,IET,IET Conference Publications
Improved FP-Growth Algorithm for Freeway Surveillance Network Intrusion Detection System,Xia Chuang-wen; Huang Zhijun; Hu Cuiyun,"Sch. of Civil Eng. &amp; Transp., South China Univ. of Technol., Guangzhou, China","Digital Manufacturing and Automation (ICDMA), 2011 Second International Conference on",20111020,2011,,,624,627,"This paper introduces network toll highway network structure and characteristics of the monitoring, analysis of the monitoring network and office network Internet security problems, make use of the improved FP algorithm for network monitoring intrusion detection, and used the method in Guangdong provincial highway surveillance network system, the results show that not only effectively prevent the intrusion, but also improve the data mining of time.",,978-1-4577-0755-1,978-0-7695-4455-7,10.1109/ICDMA.2011.155,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6051924,Intrusion Detection Improved FP-Growth algorithm;Network monitoring;formatting;network security,Algorithm design and analysis;Clustering algorithms;Data mining;Intrusion detection;Surveillance,Internet;data mining;roads;security of data;surveillance;traffic information systems,Guangdong provincial highway surveillance network system;data mining;freeway surveillance network;improved FP algorithm;network monitoring intrusion detection;network toll highway network structure;office network Internet security problems,,0,,11,,,5-7 Aug. 2011,,IEEE,IEEE Conference Publications
A reliable solution against Packet dropping attack due to malicious nodes using fuzzy Logic in MANETs,"Chaudhary, A.; Kumar, A.; Tiwari, V.N.","Comput. Sci. & Eng., Manipal Univ. Jaipur (MUJ), Jaipur, India","Optimization, Reliabilty, and Information Technology (ICROIT), 2014 International Conference on",20140417,2014,,,178,181,"The recent trend of mobile ad hoc network increases the ability and impregnability of communication between the mobile nodes. Mobile ad Hoc networks are completely free from pre-existing infrastructure or authentication point so that all the present mobile nodes which are want to communicate with each other immediately form the topology and initiates the request for data packets to send or receive. For the security perspective, communication between mobile nodes via wireless links make these networks more susceptible to internal or external attacks because any one can join and move the network at any time. In general, Packet dropping attack through the malicious node (s) is one of the possible attack in the mobile ad hoc network. This paper emphasized to develop an intrusion detection system using fuzzy Logic to detect the packet dropping attack from the mobile ad hoc networks and also remove the malicious nodes in order to save the resources of mobile nodes. For the implementation point of view Qualnet simulator 6.1 and Mamdani fuzzy inference system are used to analyze the results. Simulation results show that our system is more capable to detect the dropping attacks with high positive rate and low false positive.",,978-1-4799-3958-9,,10.1109/ICROIT.2014.6798326,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6798326,Fuzzy Logic;Intrusion Detection System (IDS);MANETs Security Issues;Mobile Ad Hoc networks (MANETs);Packet Dropping attack,Ad hoc networks;Artificial intelligence;Fuzzy sets;Mobile computing;Reliability engineering;Routing,fuzzy logic;inference mechanisms;mobile ad hoc networks;mobile computing;security of data,MANET;Mamdani fuzzy inference system;Qualnet simulator 6.1;data packets;fuzzy logic;intrusion detection system;malicious nodes;mobile ad hoc network;mobile nodes;packet dropping attack;wireless links,,0,,11,,,6-8 Feb. 2014,,IEEE,IEEE Conference Publications
