http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.throughput.QT.%29+OR+.QT.Processing+speed.QT.%29+OR+.QT.Processing+bandwidth.QT.%29+OR+.QT.bytes+analyzed+per+second.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/9/2015 20:21,"(((((""throughput"") OR ""Processing speed"") OR ""Processing bandwidth"") OR ""bytes analyzed per second"") AND ""Intrusion Detection System"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A Survey on the Application of FPGAs for Network Infrastructure Security,"Hao Chen; Yu Chen; Summerville, D.H.","Dept. of Electr. & Comput. Eng., State Univ. of New York (SUNY) - Binghamton, Binghamton, NY, USA","Communications Surveys & Tutorials, IEEE",20111103,2011,13,4,541,561,"Given the rapid evolution of attack methods and toolkits, software-based solutions to secure the network infrastructure have become overburdened. The performance gap between the execution speed of security software and the amount of data to be processed is ever widening. A common solution to close this performance gap is through hardware implementation of security functions. Possessing the flexibility of software and high parallelism of hardware, reconfigurable hardware devices, such as Field Programmable Gate Arrays (FPGAs), have become increasingly popular for this purpose. FPGAs support the performance demands of security operations as well as enable architectural and algorithm innovations in the future. This paper presents a survey of the state-of-art in FPGA-based implementations that have been used in the network infrastructure security area, categorizing currently existing diverse implementations. Combining brief descriptions with intensive case-studies, we hope this survey will inspire more active research in this area.",1553-877X,,,10.1109/SURV.2011.072210.00075,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5556740,FPGA;Hardware-based Application;Network Infrastructure Security;Network Security,Computer crime;Field programmable gate arrays;Internet;Network security;Protocols,Internet;computer network security;field programmable gate arrays,FPGA;Internet;field programmable gate arrays;network infrastructure security;reconfigurable hardware devices;security software;software-based solutions,,10,,118,,8/23/2010,Fourth Quarter 2011,,IEEE,IEEE Journals & Magazines
DDoS attacks and countermeasures in cyberspace,"Zeb, K.; Baig, O.; Asif, M.K.","Center of Excellence in Inf. Assurance (CoEIA), King Saud Univ., Riyadh, Saudi Arabia","Web Applications and Networking (WSWAN), 2015 2nd World Symposium on",20150820,2015,,,1,6,"In cyberspace, availability of the resources is the key component of cyber security along with confidentiality and integrity. Distributed Denial of Service (DDoS) attack has become one of the major threats to the availability of resources in computer networks. It is a challenging problem in the Internet. In this paper, we present a detailed study of DDoS attacks on the Internet specifically the attacks due to protocols vulnerabilities in the TCP/IP model, their countermeasures and various DDoS attack mechanisms. We thoroughly review DDoS attacks defense and analyze the strengths and weaknesses of different proposed mechanisms.",,978-1-4799-8171-7,,10.1109/WSWAN.2015.7210322,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7210322,Cyber security;Cyber-attack;Cyberspace;DDoS Defense;DDoS attack;Mitigation;Vulnerability,Computer crime;Filtering;Floods;IP networks;Internet;Protocols;Servers,Internet;computer network security;transport protocols,DDoS attack mechanisms;Internet;TCP-IP model;computer networks;cyber security;cyberspace;distributed denial of service attacks,,0,,34,,,21-23 March 2015,,IEEE,IEEE Conference Publications
High-Throughput and Memory-Efficient Multimatch Packet Classification Based on Distributed and Pipelined Hash Tables,"Yang Xu; Zhaobo Liu; Zhuoyuan Zhang; Chao, H.J.","Dept. of Electr. & Comput. Eng., Polytech. Inst. of New York Univ., New York, NY, USA","Networking, IEEE/ACM Transactions on",20140612,2014,22,3,982,995,"The emergence of new network applications, such as the network intrusion detection system and packet-level accounting, requires packet classification to report all matched rules instead of only the best matched rule. Although several schemes have been proposed recently to address the multimatch packet classification problem, most of them require either huge memory or expensive ternary content addressable memory (TCAM) to store the intermediate data structure, or they suffer from steep performance degradation under certain types of classifiers. In this paper, we decompose the operation of multimatch packet classification from the complicated multidimensional search to several single-dimensional searches, and present an asynchronous pipeline architecture based on a signature tree structure to combine the intermediate results returned from single-dimensional searches. By spreading edges of the signature tree across multiple hash tables at different stages, the pipeline can achieve a high throughput via the interstage parallel access to hash tables. To exploit further intrastage parallelism, two edge-grouping algorithms are designed to evenly divide the edges associated with each stage into multiple work-conserving hash tables. To avoid collisions involved in hash table lookup, a hybrid perfect hash table construction scheme is proposed. Extensive simulation using realistic classifiers and traffic traces shows that the proposed pipeline architecture outperforms HyperCuts and B2PC schemes in classification speed by at least one order of magnitude, while having a similar storage requirement. Particularly, with different types of classifiers of 4K rules, the proposed pipeline architecture is able to achieve a throughput between 26.8 and 93.1 Gb/s using perfect hash tables.",1063-6692,,,10.1109/TNET.2013.2270441,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6565409,Hash table;packet classification;signature tree;ternary content addressable memory (TCAM),Encoding;IEEE transactions;Memory management;Pipelines;Power demand;Search engines;Throughput,content-addressable storage;cryptography;security of data;signal classification;table lookup;tree data structures,TCAM;asynchronous pipeline architecture;bit rate 26.8 Gbit/s to 93.1 Gbit/s;complicated multidimensional search;distributed hash tables;edge-grouping;hash table lookup;high-throughput multimatch;hybrid perfect hash table construction;intermediate data structure;interstage parallel access;memory-efficient multimatch;multimatch packet classification problem;network intrusion detection;packet-level accounting;pipelined hash tables;signature tree structure;single-dimensional searches;steep performance degradation;ternary content addressable memory;throughput via;traffic traces,,0,,37,,7/22/2013,Jun-14,,IEEE,IEEE Journals & Magazines
FPGA-Based Parallel Pattern Matching Algorithm for Network Intrusion Detection System,Jing Yu; Bo Yang; Ruiyuan Sun; Yuehui Chen,"Sch. of Inf. Sci. & Eng., Univ. of Jinan, Jinan, China","Multimedia Information Networking and Security, 2009. MINES '09. International Conference on",20091231,2009,2,,458,461,"Pattern matching is the critical part in network intrusion detection system (NIDS). Fast pattern matching algorithm is the key to improve the system performance. In this paper, a fast reverse pattern matching algorithm and the hardware implementation suitable with field programmable gate array (FPGA) are proposed. Taking advantage of the parallelism and programmability of FPGA, this design reduces the pattern match delay greatly. This design is implemented in a NetFPGA platform, which is an open hardware platform optimized for high-speed network. The parallel pattern matching system provides a high throughput of 4 Gbps with no data loss, which proves the information processing rate of this design.",,978-0-7695-3843-3,978-1-4244-5068-8,10.1109/MINES.2009.64,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5368826,FPGA;NIDS;parallel;pattern matching,Delay;Design optimization;Field programmable gate arrays;Hardware;High-speed networks;Information processing;Intrusion detection;Pattern matching;System performance;Throughput,field programmable gate arrays;pattern matching;security of data,FPGA-based parallel pattern matching algorithm;NetFPGA platform;field programmable gate array;hardware implementation;high-speed network;information processing rate;network intrusion detection system;open hardware platform;reverse pattern matching algorithm,,0,,13,,,18-20 Nov. 2009,,IEEE,IEEE Conference Publications
A Common On-board Hardware Architecture for Intrusion Detection System,Chao Kong; Bo Yang; Zhiping Jia; Yuehui Chen,"Sch. of Comput. Sci. & Technol., Shandong Univ., Jinan, China","Multimedia Information Networking and Security, 2009. MINES '09. International Conference on",20091231,2009,2,,386,389,"An intrusion detection system (IDS) implements pattern matching approach on the network traffic to find the malicious packets carrying attack signatures. In this paper, a common field programmable gate array (FPGA) based on-board hardware architecture which is compatible with both ordinary string and perl compatible regular expression (PCRE) pattern matching is proposed to accelerate IDS. Furthermore, a flexible storage structure which is suitable for many general hardware matching algorithms and an optimized combinational logic circuit structure for PCRE matching are designed. With the synchronization of a connection decoder, ordinary string matching module coordinates with PCRE matching module to implement string-PCRE mixed rule.",,978-0-7695-3843-3,978-1-4244-5068-8,10.1109/MINES.2009.66,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5368267,FPGA;IDS;PCRE;pattern matching,Acceleration;Algorithm design and analysis;Combinational circuits;Design optimization;Field programmable gate arrays;Hardware;Intrusion detection;Pattern matching;Programmable logic arrays;Telecommunication traffic,combinational circuits;computer network security;decoding;field programmable gate arrays;string matching;synchronisation;telecommunication traffic,PCRE matching module;attack signatures;connection decoder;field programmable gate array;flexible storage structure;general hardware matching algorithms;intrusion detection system;malicious packets;network traffic;on-board hardware architecture;optimized combinational logic circuit structure;ordinary string matching module;perl compatible regular expression pattern matching;string-PCRE mixed rule;synchronization,,1,,12,,,18-20 Nov. 2009,,IEEE,IEEE Conference Publications
Attack signature matching using graphics processors in high-performance intrusion detection systems,"Mahdinia, P.; Berenjkoob, M.; Vatankhah, H.","Dept. of Comput. Archit., Isfahan Univ. of Technol., Isfahan, Iran","Electrical Engineering (ICEE), 2013 21st Iranian Conference on",20130916,2013,,,1,7,"Network Intrusion Detection Systems (NIDS) which should perform time-consuming evaluation of every packet received from network have faced throughput challenge as a result of the increase in the speed of network communications and the high volume of Internet threats. In an NIDS, the most important and time-consuming processes are pattern matching and deep inspection of the header and the body of packets. Several analyses show that this process can take up to 75% of the time of processing packets. In this paper, relying on the processing power of general purpose graphics cards - which seem to be a better option compared to other hardware technologies like FPGAs with regard to speed, scalability, flexibility, ease of programming and price - and with the idea of having the signature-based detection engine of NIDS systems run on GPU rather than CPU, it is tried to present an efficient method to increase the speed of intrusion detection systems such as Snort. The proposed method provides a means to perform payload matching and non-payload matching of packets in a parallel platform on GPU, which can speed up the signature-based detection engine of Snort 3.6.",,,,10.1109/IranianCEE.2013.6599567,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6599567,Attack Signatures;Graphics Card;Network Intrusion Detection Systems;Pattern Matching;Throughput,Field programmable gate arrays;Graphics;Graphics processing units;Pattern matching;Payloads;Throughput,Internet;computer network security;graphics processing units;parallel processing;pattern matching,FPGAs;Internet threats;NIDS;Snort 3.6;attack signature matching;general purpose graphics cards;graphics processors;hardware technologies;high-performance intrusion detection systems;network communications;network intrusion detection systems;packet body inspection;packet header inspection;parallel platform;pattern matching;payload matching;signature-based detection engine;time-consuming evaluation,,0,,14,,,14-16 May 2013,,IEEE,IEEE Conference Publications
A Bray-Curtis Weighted Automaton for Detecting Malicious Code Through System-Call Analysis,"Pungila, C.","Comput. Sci. Dept., West Univ. of Timisoara, Timisoara, Romania","Symbolic and Numeric Algorithms for Scientific Computing (SYNASC), 2009 11th International Symposium on",20100506,2009,,,392,400,"Malicious code detection is one of the top subjects of interest for intrusion detection systems in today's computer security research areas. In this paper we propose a new heuristic method for detecting malicious code through system call matching, which also takes in consideration the time of the system call, by using an adaptive search for an extended Aho-Corasick automaton supporting a subset of the regular expressions language, through the use of a normalization technique known as the Bray-Curtis (Sorensen) distance. We will also discuss how this technique can be applied to enrich the set of existing rules from the knowledge base for improving the detection rate.",,978-1-4244-5910-0,978-1-4244-5911-7,10.1109/SYNASC.2009.41,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5460823,Aho-Corasick automata;Bray-Curtis distance;Sorensen distance;dynamic analysis;intrusion detection system;malicious code detection;normalization;static analysis;system call timing,Algorithm design and analysis;Automata;Computer science;Informatics;Intrusion detection;Mathematics;Pattern analysis;Performance analysis;Scientific computing;Viruses (medical),automata theory;formal languages;security of data,Aho-Corasick automaton;Bray-Curtis distance;Bray-Curtis weighted automaton;Sorensen distance;computer security;detection rate;intrusion detection;knowledge base;malicious code detection;normalization technique;regular expression language;system call matching;system call time;system-call analysis,,1,,23,,,26-29 Sept. 2009,,IEEE,IEEE Conference Publications
MP-ROOM: Optimal Matching on Multiple PDUs for Fine-Grained Traffic Identification,Hao Li; Chengchen Hu,"Dept. of Comput. Sci. & Technol., Xi'an Jiaotong Univ., Xi'an, China","Selected Areas in Communications, IEEE Journal on",20141127,2014,32,10,1881,1893,"This paper studies the fine-grained traffic identification (FGTI) for better understanding and managing networks.Instead of only indicating which application/protocol that a packet is related to, FGTI maps the traffic packet to ameaningful user behavior or application context. In this paper, we first propose rule organized optimal matching (ROOM),which splits the identification rules into several fields and elaborately organizes the matching order of the fields. Asa result, ROOM can only activate the matching operations on a (small) part of the rules that could be possibly hit. Weformulate the optimal rule organization problem of ROOM mathematically and demonstrate it to be NP-hard, and then wepropose a heuristic algorithm to solve the problem with the time complexity of O(N<sup>2</sup>) (N is the number of fields in the rule set). Based on ROOM, wefurther propose MP-ROOM, which is extended to well support the rules cross multiple protocol data units (PDUs) fortraffic identification. In addition, we implement a prototype system including MP-ROOM and related work for evaluations.The evaluations show very promising results: 1.5 ~71.3 times throughput improvement is obtained by MP-ROOM inthe real system with less than 300-MB memory consumption. With multiple-thread parallel programming, we successfullyachieve the throughput over 40 Gb/s for real traces.",0733-8716,,,10.1109/JSAC.2014.2358835,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6902762,Deep packet inspection;semantic-based rules;traffic identification,Heuristic algorithms;Memory management;Organizations;Payloads;Protocols;Semantics;Throughput,computational complexity;computer network management;parallel programming,FGTI;MP-ROOM;NP-hard problem;application context;fine-grained traffic identification;heuristic algorithm;multiple-thread parallel programming;network management;network understanding;rule organized optimal matching;time complexity;user behavior,,0,,37,,9/18/2014,Oct. 2014,,IEEE,IEEE Journals & Magazines
The Cost Effective Pre-processing Based NFA Pattern Matching Architecture for NIDS,Yeim-Kuan Chang; Chen-Rong Chang; Cheng-Chien Su,"Dept. of Comput. Sci. & Inf. Eng., Nat. Cheng Kung Univ., Tainan, Taiwan","Advanced Information Networking and Applications (AINA), 2010 24th IEEE International Conference on",20100601,2010,,,385,391,"Network Intrusion Detection System (NIDS) is a system which can detect network attacks resulted from worms and viruses on the Internet. An efficient pattern matching algorithm plays an important role in NIDS. There have been many proposed methods for pattern matching algorithms. Traditionally, the multi-character NFA that is capable of matching multiple characters per cycle can be built by duplicating entire circuit of 1-character architecture. In this paper, we propose a pre-processing based architecture to improve the original multi-character architecture. The design of the proposed architecture and its implementation in FPGA are described in details. Our simulation results show that the proposed architecture performs better than all the existing Brute-Force based approaches in terms of the throughput and the slice utilization. Specifically, the proposed architectures of 2-character and 4-character designs can achieve the throughputs of 4.68 and 7.27 Gbps and the slice utilization of 2.86 and 2.10 in terms of char/slice, respectively.",1550-445X,978-1-4244-6695-5,,10.1109/AINA.2010.42,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5474723,Finite state machine;Intrusion detection;Multi-character;Pattern matching,Application software;Automata;Clocks;Computer architecture;Costs;Doped fiber amplifiers;Field programmable gate arrays;Intrusion detection;Pattern matching;Throughput,Internet;computer viruses;field programmable gate arrays;finite state machines;pattern matching,Brute-Force;FPGA;NFA pattern matching architecture;Network Intrusion Detection System;bit rate 4.68 Gbit/s to 7.27 Gbit/s;deterministic finite automata;field programmable gate array;finite state machines;network attacks detection;network intrusion detection system;original multicharacter architecture,,1,,16,,,20-23 April 2010,,IEEE,IEEE Conference Publications
DBS: A Bit-level Heuristic Packet Classification Algorithm for High Speed Network,Baohua Yang; Xiang Wang; Yibo Xue; Jun Li,"Dept. Autom., Tsinghua Univ., Beijing, China","Parallel and Distributed Systems (ICPADS), 2009 15th International Conference on",20100122,2009,,,260,267,"Packet classification is one of the most critical techniques in many network devices such as firewall, IDS and IPS, etc. In order to meet the performance requirement for high speed Internet (even higher than 10 Gbps), practical algorithms must keep better spatial and temporal performance. Moreover, as the size of rule set is increasing to tens of thousands, novel packet classification algorithms must have good scalability. In this paper, we propose a novel packet classification algorithm named DBS (discrete bit selection) which takes a bit level heuristic design to partition the rule set effectively. To the best of our knowledge, DBS is the first try to design a heuristic classification algorithm at bit-level. To evaluate the performance of our algorithm, DBS is deployed on a popular multi-core network processor platform, compared with two existing well-known algorithms. Experimental results show that DBS achieves 300% higher throughput than HiCuts and HSM, while the memory requirement is reduced to about 10% averagely. DBS works well especially with large rule set (10K), which trends a good scalability.",1521-9097,978-1-4244-5788-5,,10.1109/ICPADS.2009.53,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5395268,,Algorithm design and analysis;Classification algorithms;Heuristic algorithms;High-speed networks;Internet;Intrusion detection;Partitioning algorithms;Satellite broadcasting;Scalability;Throughput,Internet;pattern classification,bit level heuristic design;bit-level heuristic packet classification algorithm;discrete bit selection;high speed Internet;multicore network processor platform,,5,,19,,,8-11 Dec. 2009,,IEEE,IEEE Conference Publications
