"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&ar=7155003,5302607,5643461,5695587,6449406,5708601,6680770,6549054,6755057,5368831,6227552,6298895,5575653,5488435,6732386,5614106,5458855,5486031,6392538,5772420,5629206,6985519,7087201,7182328,6169144,5763422,5473776,5499108,4983396,7173452,5447162,5267196,5718701,7299965,7168448,6007485,6967159,6269577,6161133,5764116,5260652,6332351,5604057,5359624,7266729,5376160,5963752,6917483,5137259,5068454,5284195,6047294,5700198,6092772,5207641,6412420,4755787,7056976,4804449,7054460,6639361,5636160,6783487,6583564,5521492,6968613,5662601,6158859,6062710,6246079,6378943,6984281,7000839,6519238,6150171,6968318,5882041,5116296,5700354,6417441,6918236,5319191,6419492,5567681,6666573,6838298,7000824,6976264,4808889,7035946,7238570,4809735,6030216,6864877,5473978,5367135,6825355,6857919,4908463,5473265",2015/11/03 09:49:09
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Virtual machine introspection based spurious process detection in virtualized cloud computing environment","Ajay Kumara, M.A.; Jaidhar, C.D.","Dept. of Inf. Technol., Nat. Inst. of Technol., Mangalore, India","Futuristic Trends on Computational Analysis and Knowledge Management (ABLAZE), 2015 International Conference on","20150713","2015","","","309","315","Virtual Machines are prime target for adversary to take control by exploiting the identified vulnerability present in it. Due to increasing number of Advanced Persistent Attacks such as malware, rootkit, spyware etc., virtual machine protection is highly challenging task. The key element of Advanced Persistent Threat is rootkit that provides stealthy control of underlining Operating System (kernel). Protecting individual guest operating system by using antivirus and commercial security defense mechanism is cost effective and ineffective for virtualized environment. To solve this problem, Virtual Machine Introspection has emerged as one of the promising approaches to secure the state of the virtual machine. Virtual Machine Introspection inspects the state of multiple virtual machines by operating outside the virtual machine i.e. at hypervisor level. In this work, Virtual Machine Introspection based malicious process detection approach is proposed. It extracts the high level information such as system call details, opened known backdoor ports from introspected memory to identify the spurious process. It triggers an alert in response to detected intrusion.","","978-1-4799-8432-9","","10.1109/ABLAZE.2015.7155003","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7155003","Hypervisor;Rootkit;Semantic Gap;Virtual Machine;Virtual Machine Introspection;Virtualization","Kernel;Malware;Monitoring;Ports (Computers);Virtual machine monitors;Virtual machining","cloud computing;invasive software;operating system kernels;virtual machines;virtualisation","advanced persistent attacks;advanced persistent threat;antivirus;backdoor port;guest operating system protection;high level information;hypervisor level;intrusion detection;malicious process detection approach;malware;memory introspection;rootkit;security defense mechanism;spurious process detection;spyware;state inspection;stealthy control;system call details;underlining operating system kernel;virtual machine introspection;virtual machine protection;virtual machine state security;virtualized cloud computing environment;vulnerability exploitation","","0","","27","","","25-27 Feb. 2015","","IEEE","IEEE Conference Publications"
"A Study on GA-Based WWN Intrusion Detection","Ning Chang; Yujing He; Li Huifang; Hui Ren","Fundament Dept., Chinese People''s Armed Police Force Acad., Langfang, China","Management and Service Science, 2009. MASS '09. International Conference on","20091030","2009","","","1","4","Intrusion detection (ID) technology is a very important means to improve network security, therefore intrusion detection system should have a good performance. However, the traditional detection method cannot meet actual demands. Applying wavelet neural network (WNN) to intrusion detection has become a research focus recently, but some inherent defects in WNN reduce its efficiencies in operation and identification. Aiming at eliminating these limitations, we propose a new improved WNN algorithm basing on genetic algorithm (GA). This new algorithm combines WNN with GA in order to optimize network parameters and improve network performance. Making use of the actual data extracted from the intrusion detection system, this paper tests the newly constructed algorithm emulationally. The results show that used in intrusion detection, the new algorithm has higher identification rate and it can increase network running efficiency and the success rate of training. Thereby it can reduce undetected rate and false alarm rate. Thus it proves the validity of the new algorithm.","","978-1-4244-4638-4","978-1-4244-4639-1","10.1109/ICMSS.2009.5302607","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5302607","","Biological neural networks;Computer network management;Data security;Genetic algorithms;Helium;Information security;Intrusion detection;Neural networks;Neurons;Transfer functions","genetic algorithms;neural nets;security of data","GA-based WWN intrusion detection;genetic algorithm;identification rate;network running efficiency;network security;wavelet neural network","","0","","13","","","20-22 Sept. 2009","","IEEE","IEEE Conference Publications"
"Anomaly detection using negative security model in web application","Auxilia, M.; Tamilselvan, D.","Dept. of Inf. Technol., Christ Coll. of Eng. & Technol., Puducherry, India","Computer Information Systems and Industrial Management Applications (CISIM), 2010 International Conference on","20101122","2010","","","481","486","Today's combat zone for both ethical and unethical hackers is the web. Rapid growth of web sites and web applications gives way to deliver complex business applications through the web. As the web dependency increases, so do the web hacking activities. Web applications are normally written in scripting languages like JavaScript, PHP embedded in HTML allowing connectivity to the databases, retrieving data and putting them in the WWW site. A web application is vulnerable to many kinds of threats and attacks. In order to detect known attacks, some set of attack rules and detections are needed. In this paper, a negative security model based on misuse of web applications is used. This negative security model provides a Web Application Firewall(WAF) engine with a rule set, to ensure critical protection across every web architecture. WAFs are deployed to establish an increased external security layer to detect and/or prevent attacks before they reach web applications. This paper has been tested with apache web server's log file. We have tested successfully almost all the common attacks. This paper also allows for HTTP traffic monitoring and real-time analysis with little or no changes to existing infrastructure.","","978-1-4244-7817-0","","10.1109/CISIM.2010.5643461","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5643461","Web intrusion;attacker;cross-site scripting;logging;rule set;sql injection;web application firewall","Computer hacking;Databases;Fires;Intrusion detection;Monitoring;Web server","Internet;authoring languages;computer crime;computer network security;ethical aspects;hypermedia;information retrieval","HTTP traffic monitoring;WWW;Web application firewall;Web server log profile;Web sites;anomaly detection;data retrieval;ethical hackers;hacking;negative security model;real-time analysis;scripting languages;threats;unethical hackers","","1","","11","","","8-10 Oct. 2010","","IEEE","IEEE Conference Publications"
"VMGuard: An Integrity Monitoring System for Management Virtual Machines","Haifeng Fang; Yiqiang Zhao; Hongyong Zang; Huang, H.H.; Ying Song; Yuzhong Sun; Zhiyong Liu","Grad. Univ. of Chinese Acad. of Sci., Beijing, China","Parallel and Distributed Systems (ICPADS), 2010 IEEE 16th International Conference on","20110120","2010","","","67","74","A cloud computing provider can dynamically allocate virtual machines (VM) based on the needs of the customers, while maintaining the privileged access to the Management Virtual Machine that directly manages the hardware and supports the guest VMs. The customers must trust the cloud providers to protect the confidentiality and integrity of their applications and data. However, as the VMs from different customers are running on the same host, an attack to the management virtual machine will easily lead to the compromise of the guest VMs. Therefore, it is critical for a cloud computing system to ensure the trustworthiness of management VMs. To this end, we propose VMGuard, an integrity monitoring and detecting system for management virtual machines in a distributed environment. VMGuard utilizes a special VM, Guard Domain, which runs on each physical node to monitor the co-resident management VMs. The integrity measurements collected by the Guard Domains are sent to the VMGuard server for safe store and independent analysis. The experimental evaluation of a Xen-based prototype shows that VMGuard can quickly detect the root kit attacks while the performance overhead is low.","1521-9097","978-1-4244-9727-0","978-0-7695-4307-9","10.1109/ICPADS.2010.44","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5695587","Integrity Monitoring;Remote I/O;Virtual Machine","","cloud computing;system monitoring;virtual machines","VMGuard server;cloud computing provider;cloud computing system;cloud providers;coresident management;detecting system;distributed environment;guard domain;independent analysis;integrity monitoring system;management virtual machine;virtual machines","","5","","25","","","8-10 Dec. 2010","","IEEE","IEEE Conference Publications"
"Cloud computing-based forensic analysis for collaborative network security management system","Chen, Zhen; Han, Fuye; Cao, Junwei; Jiang, Xin; Chen, Shuo","Research Institute of Information Technology and Tsinghua National Laboratory for Information Science and Technology (TNList), Tsinghua University, Beijing 100084, China","Tsinghua Science and Technology","20130207","2013","18","1","40","50","Internet security problems remain a major challenge with many security concerns such as Internet worms, spam, and phishing attacks. Botnets, well-organized distributed network attacks, consist of a large number of bots that generate huge volumes of spam or launch Distributed Denial of Service (DDoS) attacks on victim hosts. New emerging botnet attacks degrade the status of Internet security further. To address these problems, a practical collaborative network security management system is proposed with an effective collaborative Unified Threat Management (UTM) and traffic probers. A distributed security overlay network with a centralized security center leverages a peer-to-peer communication protocol used in the UTMs collaborative module and connects them virtually to exchange network events and security rules. Security functions for the UTM are retrofitted to share security rules. In this paper, we propose a design and implementation of a cloud-based security center for network security forensic analysis. We propose using cloud storage to keep collected traffic data and then processing it with cloud computing platforms to find the malicious attacks. As a practical example, phishing attack forensic analysis is presented and the required computing and storage resources are evaluated based on real trace data. The cloud-based security center can instruct each collaborative UTM and prober to collect events and raw traffic, send them back for deep analysis, and generate new security rules. These new security rules are enforced by collaborative UTM and the feedback events of such rules are returned to the security center. By this type of close-loop control, the collaborative network security management system can identify and address new distributed attacks more quickly and effectively.","","","","10.1109/TST.2013.6449406","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6449406","amazon web service;anti-botnet;anti-phishing;cloud computing;collaborative network security system;computer forensics;eucalyptus;hadoop file system;overlay network","Cloud computing;Collaboration;Collaborative work;Computer crime;Computer security;Digital forensics;Forensics;Network security;Web and internet services","","","","4","","","","","Feb. 2013","","TUP","TUP Journals & Magazines"
"On Sliding Window Based Change Point Detection for Hybrid SIP DoS Attack","Wenhai Li; Wei Guo; Xiaolei Luo; Xiang Li","Sch. of Comput., Wuhan Univ., Wuhan, China","Services Computing Conference (APSCC), 2010 IEEE Asia-Pacific","20110204","2010","","","425","432","As the core infrastructure of the VoIP, IMS and IPTV, SIP based network is now increasingly been deployed throughout the world. Due mainly to the relatively high flow rate and the exorbitant session maintenance, SIP servers are similarly susceptible to the Denial-of-Service (DoS) Attacks above the IP stack, especially when the Distributed spoofing URI is considered. A hybrid SIP DoS detection method is proposed in this paper to handle three representative flooding attacks, and the CUSUM statistical detection founded on the adaptive sliding window based acquisition is adopted for achieving high accuracy and low latency. Experimental result shows that this method achieves a high rate, low latency and low false alarm rate of SIP flooding detection.","","978-1-4244-9396-8","","10.1109/APSCC.2010.84","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5708601","CUSUM;DoS;SIP;VoIP;stream analysis","Computer crime;Floods;IP networks;Mathematical model;Protocols;Registers;Servers","security of data;telecommunication security;transport protocols","CUSUM statistical detection;IP stack;SIP based network;SIP flooding detection;SIP server;VoIP;adaptive sliding window based acquisition;denial-of-service attack;flooding attack;hybrid SIP DoS attack;hybrid SIP DoS detection;sliding window based change point detection","","1","","15","","","6-10 Dec. 2010","","IEEE","IEEE Conference Publications"
"1 Mb 0.41 µm² 2T-2R Cell Nonvolatile TCAM With Two-Bit Encoding and Clocked Self-Referenced Sensing","Jing Li; Montoye, R.K.; Ishii, M.; Chang, L.","IBM T.J. Watson Res. Center, Yorktown Heights, NY, USA","Solid-State Circuits, IEEE Journal of","20140324","2014","49","4","896","907","This work demonstrates the first fabricated 1 Mb nonvolatile TCAM using 2-transistor/2-resistive-storage (2T-2R) cells to achieve >10× smaller cell size than SRAM-based TCAMs at the same technology node. The test chip was designed and fabricated in IBM 90 nm CMOS technology and mushroom phase-change memory (PCM) technology. The primary challenge for enabling reliable array operation with such aggressive cell is presented, namely, severely degraded sensing margin due to significantly lower ON/OFF ratio of resistive memories (~10<sup>2</sup> for PCM) than that of traditional MOSFETs (>10<sup>5</sup> ). To address this challenge, two enabling techniques were developed and implemented in hardware: 1) two-bit encoding and 2) a clocked self-referenced sensing scheme (CSRSS). In addition, the two-bit encoding can also improve algorithmic mapping by effectively compressing TCAM entries. The 1 Mb chip demonstrates reliable low voltage search operation (VDDmin ~750 mV) and a match delay of 1.9 ns under nominal operating conditions.","0018-9200","","","10.1109/JSSC.2013.2292055","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6680770","Associative computing;encoding;hardware accelerator;intrusion detection;matchline compensation;nonvolatile;packet classification;phase change memory (PCM);search engine;self-referenced sensing;ternary content addressable memory (TCAM)","Arrays;Encoding;Microprocessors;Phase change materials;Random access memory;Sensors","content-addressable storage;encoding;phase change memories","2T 2R cell nonvolatile TCAM;CMOS technology;algorithmic mapping;clocked self referenced sensing;phase change memory technology;resistive memories;size 90 nm;time 1.9 ns;two bit encoding","","5","","21","","2013-12-11","April 2014","","IEEE","IEEE Journals & Magazines"
"Performance evaluation of AODV under dos attacks","Lotfy, P.A.; Azer, M.A.","Nile Univ., Cairo, Egypt","Wireless and Mobile Networking Conference (WMNC), 2013 6th Joint IFIP","20130627","2013","","","1","4","Mobile Ad-hoc Networks consist of a group of nodes with wireless connectivity forming a network without fixed infrastructure or centralized administration. Such networks are very dynamic due to nodes' mobility. This causes frequent unpredictable changes in topology, a characteristic that must be dealt with using special routing protocols. The Ad-hoc on Demand Distance Vector (AODV) is one of the most commonly used routing protocols, where nodes act as routers and routes are only provided on demand. In this paper, we evaluate the AODV's performance in the presence of two MANET attacks: Hello flood and flooding attacks.","","978-1-4673-5615-2","978-1-4673-5614-5","10.1109/WMNC.2013.6549054","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6549054","AODV;Ad hoc networks;DoS;flooding;hello flood attack","Mobile ad hoc networks;Mobile nodes;Routing;Routing protocols","mobile ad hoc networks;performance evaluation;routing protocols;telecommunication network topology","AODV;MANET;ad-hoc on demand distance vector;hello flooding attack;mobile ad-hoc network;network topology;performance evaluation;routing protocol;wireless connectivity","","2","","10","","","23-25 April 2013","","IEEE","IEEE Conference Publications"
"Comparative study of a Hybrid Model for network traffic identification and its optimization using Firefly Algorithm","Nascimento, Z.; Sadok, D.; Fernandes, S.","Inf. Center, Fed. Univ. of Pernambuco - UFPE, Recife, Brazil","Computers and Communications (ISCC), 2013 IEEE Symposium on","20140306","2013","","","000862","000867","Considerable effort has been made by researchers in the area of network traffic classification, since the Internet grows exponentially in both traffic volume and number of protocols and applications. The task of traffic identification is a complex task due to the constantly changing Internet and an increase in encrypted data. There are several methods for classifying network traffic such as port-based and Deep Packet Inspection (DPI), but they are not effective since many applications use random ports and the payload could be encrypted. This paper proposes an Optimized Hybrid Model (OHM) that makes use of a rule-based model (Apriori) along with a self-organizing map (SOM) model to tackle the problem of traffic classification without making use of the payload or ports. The proposed method also allows the generation of association rules for new unknown applications and further labeling by experts. Besides that, a optimizer called Firefly Algorithm was also used to enhance the results by optimizing both Apriori and SOM parameters and a comparative study was performed on both optimized and non-optimized models. The OHM showed to be superior to a non-optimized model for both eMule and Skype applications, reaching levels superior to 94% for correctness rate. The OHM was also validated against another model based on computational intelligence, named Realtime, and the OHM proposed in this work presented better results when tested in real time.","","","","10.1109/ISCC.2013.6755057","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6755057","Association Rules;Firefly Algorithm;Network Traffic Measurement;Self-Organizing Maps","Association rules;Computational modeling;Payloads;Ports (Computers);Protocols;Real-time systems;Training","Internet;computer network management;cryptography;data mining;evolutionary computation;pattern classification;self-organising feature maps","Apriori;DPI;Internet;OHM;Realtime computational intelligence;SOM;Skype;association rules;deep packet inspection;eMule;encrypted data;firefly algorithm;hybrid model;network traffic classification;network traffic identification;optimized hybrid model;port-based inspection;rule-based model;self-organizing map;traffic volume","","1","","24","","","7-10 July 2013","","IEEE","IEEE Conference Publications"
"Security Considerations on Node Mobility in Wireless Sensor Networks","Xing Zhang; Jingsha He; Qian Wei","Coll. of Comput. Sci. & Technol., Beijing Univ. of Technol., Beijing, China","Computer Sciences and Convergence Information Technology, 2009. ICCIT '09. Fourth International Conference on","20091231","2009","","","1143","1146","Current key management schemes only consider the security of newly deployed nodes in wireless sensor networks, whereas the security of mobile nodes is ignored. In order to ensure data transfer secure in node mobility scenarios, we propose a composite security mechanism based on the elliptic curve digital signature algorithm to help nodes in the mobile scenarios to authenticate their identities and establish the pairwise keys. Analysis shows that this scheme is very low in storage, computation, and communication overhead.","","978-1-4244-5244-6","978-0-7695-3896-9","10.1109/ICCIT.2009.275","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5368831","elliptic curve digital signature;key management;mobility security;wireless sensor networks","Broadcasting;Computer crime;Computer network management;Computer security;Data security;Digital signatures;Elliptic curves;Information security;Protocols;Wireless sensor networks","digital signatures;mobility management (mobile radio);telecommunication security;wireless sensor networks","elliptic curve digital signature algorithm;key management;mobility security;node mobility;security considerations;wireless sensor networks","","1","","6","","","24-26 Nov. 2009","","IEEE","IEEE Conference Publications"
