Total,Total,(Intrusion Detection System),(((Fence) OR Fencing system) AND Intrusion Detection System),((Void11) AND Intrusion Detection System),(((Alexa) OR Alexa Top) AND Intrusion Detection System),((Kyoto 2006+) AND Intrusion Detection System),((CSIM) AND Intrusion Detection System),((((UNM) OR UNM Dataset) OR Firefox Dataset) AND Intrusion Detection System),((Honeynet Traffic) AND Intrusion Detection System),((((((DarpaIDE) OR Darpa1998) OR Darpa98) OR 1998 Darpa Intrusion Detection Evaluation) OR Darpa Intrusion Detection Evaluation) AND Intrusion Detection System),(((((KDD98) OR KDD Cup 98) OR KDD Cup 1998) OR new ADFA-LD) AND Intrusion Detection System),(((Blaster worm) OR blaster) AND Intrusion Detection System),(((((MIT LL) OR MIT Lincoln Labs IDS) OR Attack data generated from MIT Lincoln Laboratories) OR MIT Lincoln Laboratories) AND Intrusion Detection System),(((SPEC2006) OR SPEC CPU2006) AND Intrusion Detection System),((((Clam virus database) OR clam) OR clamAV) AND Intrusion Detection System),((SPEC2000) AND Intrusion Detection System),((MAWILab) AND Intrusion Detection System),(((Parsec) OR Benchmarking modern multiprocessors) AND Intrusion Detection System),((((KDD99) OR KDD Cup 1999) OR KDD Cup 99) AND Intrusion Detection System),(((expansion factor) OR states rules ratio) AND Intrusion detection system),((number of states) AND Intrusion Detection System),((((state transition) OR total transitions) OR total transition) AND Intrusion Detection System),(((distinct transitions) OR distinct transition) AND Intrusion detection system),(((((Deterministic Finite Automata) OR DFA) OR Finite state automata) OR state machine) AND Intrusion Detection System),((Time complexity) AND Intrusion detection system),((((Computational time) OR Execution time) OR running time) AND Intrusion detection system),(((CPU Usage) OR Processor Usage) AND Intrusion Detection System),(((((Scanning time) OR time spent scanning) OR time spent pattern matching) OR pattern matching time) AND Intrusion detection system),(((saved battery) OR battery consumption) AND Intrusion Detection System),((((Energy consumption) OR Energy usage) OR Energy cost) AND Intrusion Detection System),(((((False positive) OR misclassification) OR False alarm) OR type I error) AND Intrusion Detection System),((Recall) AND Intrusion Detection System),(((True Positive) OR Detection Rate) AND Intrusion Detection System),((Relative Error) AND Intrusion Detection System),(((((ROC) OR area under curve) OR Receiver operating characteristic) OR area under ROC curve) AND Intrusion Detection System),((accuracy) AND Intrusion Detection System),((True Negative) AND Intrusion Detection System),((Precision) AND Intrusion Detection System),(((False negative) OR Type II error) AND Intrusion Detection System),((F-value) AND Intrusion Detection System),((((Lines of code) OR LOC) OR SLOC) AND Intrusion Detection System),((((joules) OR kilojoules) OR megajoules) AND Intrusion Detection System),((hours) AND Intrusion detection system),((minutes) AND Intrusion detection system),(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System),(((((((watts) OR watt) OR kilowatt) OR kilowatts) OR megawatt) OR megawatts) AND Intrusion Detection System),((seconds) AND Intrusion detection system),((((((((megabyte) OR mb) OR gigabyte) OR gb) OR kilobyte) OR kb) OR byte) AND Intrusion Detection System),((Overhead) AND Intrusion detection system),(((((System slowdown) OR change in system speed) OR increase in processing time) OR increase in memory usage) AND Intrusion Detection System),(((memory usage) OR memory) AND Intrusion Detection System),(((Monitoring Interval) OR System monitoring) AND Intrusion detection system),((Processing bandwidth) AND Intrusion detection system),((((Number of resources) OR Max number of resources) OR Maximum number of resources) AND Intrusion detection system),(((((System Slowdown) OR Change in system speed) OR Percent increase in processing time) OR Percent increase in memory usage) AND Intrusion Detection System),(((((throughput) OR processing speed) OR processing bandwidth) OR bytes analyzed per second) AND Intrusion detection system),(Tagged papers),(Not Applicable),
Total,,8198,77,6,16,10,3,116,2,325,4,80,10,4,175,6,5,8,697,227,478,598,5,621,354,679,204,26,40,526,2977,619,1826,35,392,3135,207,775,1022,24,124,24,852,919,1803,68,1603,1780,2015,9,3321,213,9,35,1,1327,53,68,
(Intrusion Detection System),8198,8198,77,6,16,10,3,115,2,325,4,80,10,4,76,6,5,8,697,223,472,595,3,617,353,679,204,26,38,522,2976,617,1822,35,389,3132,207,774,1020,24,124,22,849,915,1797,66,1600,1776,2015,9,3321,213,9,35,1,1325,13,14,
(((Fence) OR Fencing system) AND Intrusion Detection System),77,77,77,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,3,0,4,0,3,0,0,0,5,37,5,11,0,7,25,0,9,5,0,1,0,14,13,5,3,22,7,12,0,16,1,0,0,0,4,0,0,
((Void11) AND Intrusion Detection System),6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,1,2,0,0,0,1,2,1,0,4,1,2,0,3,0,0,0,0,0,1,0,
(((Alexa) OR Alexa Top) AND Intrusion Detection System),16,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,2,3,1,1,0,1,8,4,5,0,1,10,1,1,4,0,1,0,6,5,9,0,10,8,9,0,9,1,0,0,0,4,0,0,
((Kyoto 2006+) AND Intrusion Detection System),10,10,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,2,4,2,0,0,0,0,9,1,8,0,5,7,5,2,8,0,0,0,1,0,5,0,4,5,0,0,2,0,0,0,0,2,1,0,
((CSIM) AND Intrusion Detection System),3,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,2,1,0,0,2,1,0,0,0,0,0,0,
((((UNM) OR UNM Dataset) OR Firefox Dataset) AND Intrusion Detection System),116,115,0,0,0,0,0,116,0,4,3,2,1,0,0,0,0,0,9,17,24,26,0,14,9,20,9,0,0,1,79,9,62,1,21,57,6,13,24,0,3,0,10,9,20,1,20,24,24,0,44,2,0,0,0,6,0,0,
((Honeynet Traffic) AND Intrusion Detection System),2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,
((((((DarpaIDE) OR Darpa1998) OR Darpa98) OR 1998 Darpa Intrusion Detection Evaluation) OR Darpa Intrusion Detection Evaluation) AND Intrusion Detection System),325,325,0,0,0,0,1,4,0,325,0,1,4,1,0,0,0,0,135,9,26,30,0,23,15,32,8,1,0,4,232,42,177,0,53,206,20,41,77,3,3,0,31,35,122,0,95,98,56,0,147,4,2,0,0,43,1,0,
(((((KDD98) OR KDD Cup 98) OR KDD Cup 1998) OR new ADFA-LD) AND Intrusion Detection System),4,4,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,4,0,4,0,2,3,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,
