Total,Total,(Tagged papers),(Not Applicable),(((Fence) OR Fencing system) AND Intrusion Detection System),(Intrusion Detection System),(((Alexa) OR Alexa Top) AND Intrusion Detection System),(((Blaster worm) OR blaster) AND Intrusion Detection System),((((Clam virus database) OR clam) OR clamAV) AND Intrusion Detection System),((CSIM) AND Intrusion Detection System),((((((DarpaIDE) OR Darpa1998) OR Darpa98) OR 1998 Darpa Intrusion Detection Evaluation) OR Darpa Intrusion Detection Evaluation) AND Intrusion Detection System),((Honeynet Traffic) AND Intrusion Detection System),(((((KDD98) OR KDD Cup 98) OR KDD Cup 1998) OR new ADFA-LD) AND Intrusion Detection System),((((KDD99) OR KDD Cup 1999) OR KDD Cup 99) AND Intrusion Detection System),((Kyoto 2006+) AND Intrusion Detection System),((MAWILab) AND Intrusion Detection System),(((((MIT LL) OR MIT Lincoln Labs IDS) OR Attack data generated from MIT Lincoln Laboratories) OR MIT Lincoln Laboratories) AND Intrusion Detection System),(((Parsec) OR Benchmarking modern multiprocessors) AND Intrusion Detection System),((SPEC2000) AND Intrusion Detection System),(((SPEC2006) OR SPEC CPU2006) AND Intrusion Detection System),((((UNM) OR UNM Dataset) OR Firefox Dataset) AND Intrusion Detection System),((Void11) AND Intrusion Detection System),((Time complexity) AND Intrusion detection system),((accuracy) AND Intrusion Detection System),(((False negative) OR Type II error) AND Intrusion Detection System),,((F-value) AND Intrusion Detection System),((Precision) AND Intrusion Detection System),((Recall) AND Intrusion Detection System),((Relative Error) AND Intrusion Detection System),(((((ROC) OR area under curve) OR Receiver operating characteristic) OR area under ROC curve) AND Intrusion Detection System),((True Negative) AND Intrusion Detection System),(((True Positive) OR Detection Rate) AND Intrusion Detection System),((((Computational time) OR Execution time) OR running time) AND Intrusion detection system),(((CPU Usage) OR Processor Usage) AND Intrusion Detection System),(((((Scanning time) OR time spent scanning) OR time spent pattern matching) OR pattern matching time) AND Intrusion detection system),((((Number of resources) OR Max number of resources) OR Maximum number of resources) AND Intrusion detection system),(((memory usage) OR memory) AND Intrusion Detection System),(((Monitoring Interval) OR System monitoring) AND Intrusion detection system),((Overhead) AND Intrusion detection system),((Processing bandwidth) AND Intrusion detection system),(((((System Slowdown) OR Change in system speed) OR Percent increase in processing time) OR Percent increase in memory usage) AND Intrusion Detection System),(((((System slowdown) OR change in system speed) OR increase in processing time) OR increase in memory usage) AND Intrusion Detection System),(((((throughput) OR processing speed) OR processing bandwidth) OR bytes analyzed per second) AND Intrusion detection system),((((Lines of code) OR LOC) OR SLOC) AND Intrusion Detection System),((((((((megabyte) OR mb) OR gigabyte) OR gb) OR kilobyte) OR kb) OR byte) AND Intrusion Detection System),(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System),((hours) AND Intrusion detection system),((minutes) AND Intrusion detection system),((seconds) AND Intrusion detection system),
Total,,53,68,80,8201,16,80,175,3,325,2,4,697,10,5,10,8,6,4,116,6,354,3137,1022,2977,24,777,619,35,392,207,1826,679,204,26,35,3323,213,2017,9,1,9,1327,124,1778,1801,850,917,1601,
(Tagged papers),53,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(Not Applicable),68,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(((Fence) OR Fencing system) AND Intrusion Detection System),80,0,0,80,80,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,27,5,36,0,11,5,0,7,0,11,3,0,0,0,18,1,14,0,0,0,4,1,7,5,14,13,22,
(Intrusion Detection System),8201,0,0,80,8201,16,80,76,3,325,2,4,697,10,5,10,8,6,4,115,6,353,3134,1020,2968,24,776,617,35,389,207,1822,679,204,26,35,3323,213,2017,9,1,9,1325,124,1776,1797,849,915,1600,
(((Alexa) OR Alexa Top) AND Intrusion Detection System),16,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,4,8,0,1,4,0,1,1,5,3,1,1,0,9,1,9,0,0,0,4,1,8,9,6,5,10,
(((Blaster worm) OR blaster) AND Intrusion Detection System),80,0,0,1,80,0,80,1,0,1,0,0,0,0,0,0,0,1,0,2,0,1,30,18,43,0,8,7,1,3,3,19,4,2,0,0,28,1,23,0,0,0,10,0,32,28,21,18,26,
((((Clam virus database) OR clam) OR clamAV) AND Intrusion Detection System),175,0,0,0,76,0,1,175,0,0,0,0,2,1,0,1,0,0,0,0,0,19,12,10,25,0,6,13,0,3,3,8,17,1,5,1,62,1,37,2,0,0,48,1,53,52,10,13,13,
((CSIM) AND Intrusion Detection System),3,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,2,
((((((DarpaIDE) OR Darpa1998) OR Darpa98) OR 1998 Darpa Intrusion Detection Evaluation) OR Darpa Intrusion Detection Evaluation) AND Intrusion Detection System),325,0,0,0,325,0,1,0,1,325,0,0,135,0,0,4,0,0,1,4,0,15,206,77,232,3,41,42,0,53,20,177,32,8,1,0,147,4,56,2,0,0,43,3,98,122,31,35,95,
((Honeynet Traffic) AND Intrusion Detection System),2,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,1,
