Year,((((UNM) OR UNM Dataset) OR Firefox Dataset) AND Intrusion Detection System),((minutes) AND Intrusion detection system),((MAWILab) AND Intrusion Detection System),(((((System slowdown) OR change in system speed) OR increase in processing time) OR increase in memory usage) AND Intrusion Detection System),((Honeynet Traffic) AND Intrusion Detection System),(((((ROC) OR area under curve) OR Receiver operating characteristic) OR area under ROC curve) AND Intrusion Detection System),((((((((megabyte) OR mb) OR gigabyte) OR gb) OR kilobyte) OR kb) OR byte) AND Intrusion Detection System),((Processing bandwidth) AND Intrusion detection system),(((((False positive) OR misclassification) OR False alarm) OR type I error) AND Intrusion Detection System),(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System),((((Computational time) OR Execution time) OR running time) AND Intrusion detection system),((SPEC2000) AND Intrusion Detection System),((Time complexity) AND Intrusion detection system),(((((System Slowdown) OR Change in system speed) OR Percent increase in processing time) OR Percent increase in memory usage) AND Intrusion Detection System),((accuracy) AND Intrusion Detection System),((Precision) AND Intrusion Detection System),(((Blaster worm) OR blaster) AND Intrusion Detection System),((((Clam virus database) OR clam) OR clamAV) AND Intrusion Detection System),((True Negative) AND Intrusion Detection System),(((CPU Usage) OR Processor Usage) AND Intrusion Detection System),((Kyoto 2006+) AND Intrusion Detection System),(Tagged papers),(((False negative) OR Type II error) AND Intrusion Detection System),((hours) AND Intrusion detection system),((CSIM) AND Intrusion Detection System),((seconds) AND Intrusion detection system),(((((MIT LL) OR MIT Lincoln Labs IDS) OR Attack data generated from MIT Lincoln Laboratories) OR MIT Lincoln Laboratories) AND Intrusion Detection System),((((Number of resources) OR Max number of resources) OR Maximum number of resources) AND Intrusion detection system),(((SPEC2006) OR SPEC CPU2006) AND Intrusion Detection System),(((True Positive) OR Detection Rate) AND Intrusion Detection System),((((KDD99) OR KDD Cup 1999) OR KDD Cup 99) AND Intrusion Detection System),(((Alexa) OR Alexa Top) AND Intrusion Detection System),(((memory usage) OR memory) AND Intrusion Detection System),(((Parsec) OR Benchmarking modern multiprocessors) AND Intrusion Detection System),((Overhead) AND Intrusion detection system),((Relative Error) AND Intrusion Detection System),((((((DarpaIDE) OR Darpa1998) OR Darpa98) OR 1998 Darpa Intrusion Detection Evaluation) OR Darpa Intrusion Detection Evaluation) AND Intrusion Detection System),(((Monitoring Interval) OR System monitoring) AND Intrusion detection system),(((((Scanning time) OR time spent scanning) OR time spent pattern matching) OR pattern matching time) AND Intrusion detection system),(((Fence) OR Fencing system) AND Intrusion Detection System),((Void11) AND Intrusion Detection System),((Recall) AND Intrusion Detection System),((((Lines of code) OR LOC) OR SLOC) AND Intrusion Detection System),(Not Applicable),(((((KDD98) OR KDD Cup 98) OR KDD Cup 1998) OR new ADFA-LD) AND Intrusion Detection System),(Intrusion Detection System),(((((throughput) OR processing speed) OR processing bandwidth) OR bytes analyzed per second) AND Intrusion detection system),((F-value) AND Intrusion Detection System),
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1998,0,3,0,0,0,1,2,0,6,1,0,0,0,0,2,0,0,0,0,1,0,0,1,5,0,3,0,0,0,0,0,0,5,0,2,0,0,1,0,4,0,0,0,1,0,16,1,0,
1999,0,3,0,0,0,1,1,0,4,3,0,0,0,0,1,0,0,1,1,0,0,1,1,4,0,3,0,0,0,2,0,0,2,0,3,0,2,1,0,3,0,0,0,0,0,17,0,0,
2000,0,9,0,0,0,3,7,0,21,10,4,0,1,0,13,2,0,0,2,1,0,1,6,8,0,13,0,0,0,8,1,0,21,0,12,0,2,4,0,5,0,4,2,0,0,57,5,0,
2001,2,9,0,0,0,5,10,0,27,11,8,0,1,0,16,10,0,0,0,4,0,0,3,12,0,26,0,2,0,4,0,0,35,0,23,0,1,9,0,2,0,10,4,0,0,79,10,0,
2002,5,14,0,0,0,2,27,0,37,21,8,0,2,0,32,8,0,2,0,5,0,0,13,15,0,24,0,1,0,15,1,0,47,0,31,0,3,7,2,2,0,8,5,0,0,115,12,0,
2003,10,34,0,0,0,17,37,1,79,47,10,0,10,0,62,10,0,1,1,9,0,2,27,30,0,47,0,0,0,30,5,0,85,0,61,0,10,9,0,5,0,17,5,0,0,230,32,0,
2004,13,41,0,0,0,15,64,1,95,51,18,1,7,0,71,19,8,3,2,5,0,0,36,33,0,50,0,0,0,40,12,0,106,0,62,2,17,13,0,3,0,24,4,0,0,273,36,0,
2005,9,68,0,1,1,24,110,0,152,108,35,0,12,0,143,28,13,7,5,7,0,1,38,61,0,100,2,2,0,75,33,1,178,0,107,2,24,17,1,3,0,27,13,0,1,428,77,1,
2006,8,62,0,1,0,31,134,0,186,144,35,3,18,0,173,35,8,9,7,11,0,4,53,54,0,102,2,2,0,104,33,0,211,1,131,3,35,13,2,3,0,35,5,10,0,492,83,2,
2007,5,61,0,1,0,28,123,1,211,139,56,1,18,0,207,41,7,8,4,15,0,5,60,62,2,127,0,3,0,115,39,0,232,1,153,1,34,9,2,7,2,33,16,1,0,563,102,1,
2008,11,72,0,1,0,44,155,0,293,164,46,0,27,0,240,60,10,16,13,14,0,4,106,77,0,132,2,1,1,187,65,1,295,5,149,3,42,20,3,4,2,44,12,5,0,725,101,4,
2009,17,76,0,1,0,38,149,1,349,173,63,0,51,0,362,77,8,17,18,16,0,5,127,56,0,128,0,5,0,230,98,0,334,0,178,3,40,13,2,4,0,50,6,11,0,864,116,2,
2010,6,94,0,0,0,26,191,1,349,178,57,0,38,0,375,95,11,29,17,22,0,5,117,77,0,166,1,5,0,218,85,0,376,0,199,3,26,27,3,9,1,59,8,8,1,959,137,2,
2011,5,68,0,1,1,35,164,2,243,160,62,0,39,0,285,74,2,27,15,19,1,4,82,65,0,132,2,1,0,148,62,3,288,0,181,1,18,18,3,5,0,49,5,11,0,719,107,2,
2012,10,83,0,0,0,35,159,1,243,162,72,1,44,0,300,89,4,11,31,12,2,10,93,90,1,140,0,5,1,168,64,4,307,0,195,12,23,20,3,4,0,75,11,2,0,741,133,6,
2013,5,84,2,1,0,36,147,0,257,146,77,0,32,1,300,77,4,19,28,24,2,6,93,83,0,147,0,4,1,171,63,2,279,0,170,3,13,15,4,5,0,72,13,7,1,685,136,2,
2014,3,88,2,1,0,32,192,0,288,172,82,0,26,0,341,87,3,19,36,24,3,2,118,67,0,173,0,4,0,201,79,2,335,0,235,1,19,10,1,4,0,71,9,8,1,788,155,2,
2015,6,47,1,1,0,18,105,1,137,108,46,0,27,0,212,63,2,6,27,15,2,2,47,50,0,88,1,0,1,108,57,3,185,1,123,1,16,7,0,5,1,39,6,4,0,447,84,0,

