http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28.QT.KDD99.QT.%29+OR+.QT.KDD+Cup+1999.QT.%29+OR+.QT.KDD+Cup+99.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/9/2015 16:50,"((((""KDD99"") OR ""KDD Cup 1999"") OR ""KDD Cup 99"") AND ""Intrusion Detection System"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Performance analysis of intrusion detection system using various neural network classifiers,"Devaraju, S.; Ramakrishnan, S.","Dept. of MCA, Mahalingam Coll. of Eng. & Technol., Pollachi, India","Recent Trends in Information Technology (ICRTIT), 2011 International Conference on",20110804,2011,,,1033,1038,"In recent years, the security has become a critical part of any organizational information systems. The intrusion detection system is an effective approach to deal with the problems of networks using various neural network classifiers. In this paper, the performance of intrusion detection with various neural network classifiers is compared. In the proposed research the three types of classifiers used are Feed Forward Neural Network (FFNN), Probabilistic Neural Network (PNN) and Radial Basis Neural Network (RBNN). In this problem, the feature reduction techniques are used to a given KDD Cup 1999 dataset. The performance of the full featured KDD Cup 1999 dataset is compared with that of the reduced featured KDD Cup 1999 dataset. The MATLAB software is used to train and test the dataset and the efficiency is measured. Using the above said technique, it is proved that the reduced dataset is performing better than the full featured dataset.",,978-1-4577-0588-5,,10.1109/ICRTIT.2011.5972289,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5972289,FFNN;Intrusion detection;KDD Cup;MATLAB;Neural networks;PNN;RBNN,Accuracy;Artificial neural networks;Computers;Intrusion detection;Probabilistic logic;Testing;Training,information systems;mathematics computing;organisational aspects;pattern classification;radial basis function networks;security of data,FFNN;KDD Cup 1999 dataset;MATLAB software;PNN;RBNN;feature reduction techniques;feed forward neural network;intrusion detection system;neural network classifiers;organizational information systems;performance analysis;probabilistic neural network;radial basis neural network,,1,,10,,,3-5 June 2011,,IEEE,IEEE Conference Publications
Distributed Intrusion Detection System in a Multi-Layer Network Architecture of Smart Grids,"Yichi Zhang; Lingfeng Wang; Weiqing Sun; Green, R.C.; Alam, M.","Dept. of Electr. Eng. & Comput. Sci., Univ. of Toledo, Toledo, OH, USA","Smart Grid, IEEE Transactions on",20111121,2011,2,4,796,808,"The advent of the smart grid promises to usher in an era that will bring intelligence, efficiency, and optimality to the power grid. Most of these changes will occur as an Internet-like communications network is superimposed on top of the current power grid using wireless mesh network technologies with the 802.15.4, 802.11, and WiMAX standards. Each of these will expose the power grid to cybersecurity threats. In order to address this issue, this work proposes a distributed intrusion detection system for smart grids (SGDIDS) by developing and deploying an intelligent module, the analyzing module (AM), in multiple layers of the smart grid. Multiple AMs will be embedded at each level of the smart grid-the home area networks (HANs), neighborhood area networks (NANs), and wide area networks (WANs)-where they will use the support vector machine (SVM) and artificial immune system (AIS) to detect and classify malicious data and possible cyberattacks. AMs at each level are trained using data that is relevant to their level and will also be able to communicate in order to improve detection. Simulation results demonstrate that this is a promising methodology for supporting the optimal communication routing and improving system security through the identification of malicious network traffic.",1949-3053,,,10.1109/TSG.2011.2159818,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5963752,Artificial immune system;cybersecurity;data classification;intrusion detection;smart grid;support vector machine;wireless mesh networks,Communication system security;Computer security;Intrusion detection;Support vector machines;Wide area networks;Wireless communication;Wireless mesh networks,WiMax;Zigbee;artificial immune systems;computer network security;home computing;power engineering computing;smart power grids;support vector machines;wide area networks;wireless LAN;wireless mesh networks,AIS;HAN;IEEE 802.11;IEEE 802.15.4;Internet-like communications network;NAN;SGDIDS;SVM;WAN;WiMax standards;analyzing module;artificial immune system;cybersecurity threats;distributed intrusion detection system;home area networks;malicious data classification;malicious network traffic;multilayer network architecture;neighborhood area networks;optimal communication routing;power grid;smart grids;support vector machine;wide area networks;wireless mesh network technologies,,45,,54,,7/28/2011,Dec. 2011,,IEEE,IEEE Journals & Magazines
Three-Level Hybrid Intrusion Detection System,Hui Lu; Jinhua Xu,"Dept. of Comput. Sci., East China Normal Univ., Shanghai, China","Information Engineering and Computer Science, 2009. ICIECS 2009. International Conference on",20091228,2009,,,1,4,"With increasing connectivity between computers, the need to keep networks secure becomes more and more vital. Intrusion detection systems have become an essential component of network security to supplement existing defenses. This paper proposes a novel intrusion detection system, which combines the supervised classifiers and unsupervised clustering to detect intrusions. Decision tree, naive Bayes and Bayesian clustering are used at different levels. We also have made improvements to the Na'ive Bayes algorithm by choosing different attributes for different classes. The experiments demonstrate the effectiveness of the proposed approach, especially for U2R and R2L type attacks. The detection rate is significantly improved.",,978-1-4244-4994-1,,10.1109/ICIECS.2009.5366474,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5366474,,Bayesian methods;Classification tree analysis;Clustering algorithms;Computer networks;Computer science;Decision trees;Information security;Internet;Intrusion detection;Machine learning algorithms,Bayes methods;decision trees;pattern clustering;security of data,Bayesian clustering;decision tree;naive Bayes;supervised classifiers;three-level hybrid intrusion detection system;unsupervised clustering,,1,,24,,,19-20 Dec. 2009,,IEEE,IEEE Conference Publications
Evolutionary optimization of a fuzzy rule-based network intrusion detection system,"Fries, T.P.","Dept. of Comput. Sci., Indiana Univ. of Pennsylvania, Indian, PA, USA","Fuzzy Information Processing Society (NAFIPS), 2010 Annual Meeting of the North American",20100816,2010,,,1,6,"The use of computer networks has increased significantly in recent years. This proliferation, in combination with the interconnection of networks via the Internet, has drastically increased their vulnerability to attack by malicious agents. The wide variety of attack modes has exacerbated the problem in detecting attacks. Many current intrusion detection systems (IDS) are unable to identify unknown or mutated attack modes or are unable to operate in a dynamic environment as is necessary with mobile networks. As a result, it has become increasingly important to find new ways to implement and manage intrusion detection systems. Evolutionary-based systems offer the ability to adapt to dynamic environments and to identify unknown attack methods. Fuzzy-based systems accommodate the imprecision associated with mutated and previously unidentified attack modes. This paper presents an evolutionary-fuzzy approach to intrusion detection that is shown to provide superior performance in comparison to other evolutionary approaches. In addition, the method demonstrates improved robustness in comparison to other evolutionary-based techniques.",,978-1-4244-7859-0,978-1-4244-7857-6,10.1109/NAFIPS.2010.5548289,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5548289,evolutionary computation;fuzzy rules;genetic algorithms;network intrusion detection,Computer network reliability;Computer science;Evolutionary computation;Fuzzy logic;Fuzzy systems;Genetic algorithms;Intrusion detection;Robustness;Telecommunication traffic;Uncertainty,Internet;computer network security;evolutionary computation;fuzzy set theory;optimisation,Internet;computer network;evolutionary based system;evolutionary optimization;fuzzy rule based network intrusion detection system;malicious agent;mobile network,,1,,18,,,12-14 July 2010,,IEEE,IEEE Conference Publications
Intrusion detection system using genetic algorithm,"Benaicha, S.E.; Saoudi, L.; Bouhouita Guermeche, S.E.; Lounis, O.","Comput. Sci. Dept., Univ. of Mohamed Boudiaf of M'Sila, M'Sila, Algeria","Science and Information Conference (SAI), 2014",20141009,2014,,,564,568,"In this paper, we present a Genetic Algorithm (GA) approach with an improved initial population and selection operator, to efficiently detect various types of network intrusions. GA is used to optimize the search of attack scenarios in audit files, thanks to its good balance exploration / exploitation; it provides the subset of potential attacks which are present in the audit file in a reasonable processing time. In the testing phase the Network Security Laboratory-Knowledge Discovery and Data Mining (NSL-KDD99) benchmark dataset has been used to detect the misuse activities. By combining the IDS with Genetic algorithm increases the performance of the detection rate of the Network Intrusion Detection Model and reduces the false positive rate.",,978-0-9893-1933-1,,10.1109/SAI.2014.6918242,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6918242,NSL_KDD;fitness function;genetic algorithm;initial population;intrusion detection system,Biological cells;Genetic algorithms;Intrusion detection;Monitoring;Sociology;Statistics;Training,data mining;genetic algorithms;security of data,NSL-KDD99 benchmark dataset;data mining;false positive rate;genetic algorithm;intrusion detection system;network intrusion detection model;network intrusions;network security laboratory knowledge discovery;selection operator,,0,,12,,,27-29 Aug. 2014,,IEEE,IEEE Conference Publications
A novel Multi-Threaded K-Means clustering approach for intrusion detection,"Pathak, V.; Ananthanarayana, V.S.","Inf. Technol. Dept., NITK Surathkal, Surathkal, India","Software Engineering and Service Science (ICSESS), 2012 IEEE 3rd International Conference on",20120816,2012,,,757,760,"Due to the proliferation of high-speed Internet access, more and more organizations are becoming vulnerable to potential cyber-attacks. An intrusion is defined as any set of actions that compromise the integrity, confidentiality or availability of a resource. Intrusion Detection System (IDS), as the main security defending technique, is widely used against malicious attacks. IDS system should be good enough to detect existing attacks as well as novel attacks at high speed. Thus to fulfil these requirements a new novel Multi-Threaded K-Means clustering approach has been used which has resulted in high detection rate and low false alarm rate. A subset of KDD99 Data set has been used as an input dataset for experiments.",,978-1-4673-2007-8,,10.1109/ICSESS.2012.6269577,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6269577,Data Mining;Intrusion Detection System (IDS);K-Means algorithm;KDD99 Data Set,Availability;Manuals;Probes;Random access memory,Internet;pattern clustering;security of data,cyber-attacks;intrusion detection system;malicious attacks;multithreaded k-means clustering approach,,1,,17,,,22-24 June 2012,,IEEE,IEEE Conference Publications
A scheme for building a dataset for intrusion detection systems,VanLoi Cao; Van Thuy Hoang; Quang Uy Nguyen,"Fac. of Inf. Technol., Le Quy Don Tech. Univ., Hanoi, Vietnam","Information and Communication Technologies (WICT), 2013 Third World Congress on",20150601,2013,,,280,284,"One of the main challenges in developing a network-based intrusion detection system is collecting data for training the system. Although, some datasets such as KDD Cup 1999 have been collected and are in public, these datasets are out of date and unreliable for building a system in reality. In this paper, we propose a scheme for building online an intrusion detection dataset. The scheme allows us to collect the raw data from a controlled environment and then process to have 16 features (traffic and content features) with full labels. The collected dataset is called LUT13. We then applied two well-known machine learning techniques: Artificial Neural Network (ANN) and Fuzzy C-Means (FCM) to train the system based on this dataset. The system, after trained on LUT13, was tested on the real environment and compared with the system constructed based on KDD Cup 1999. The results show that our dataset helps the system achieves higher detection rate compared to KDD Cup 1999.",,,,10.1109/WICT.2013.7113149,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7113149,KDD Cup 1999;artificial neural network (ANN);fuzzy c-means (FCM);intrusion detection systems;real-time intrusive dataset,Artificial neural networks;Communication networks;Computational modeling;Manuals;Process control;Real-time systems;Security,computer network security;fuzzy reasoning;learning (artificial intelligence);neural nets;telecommunication traffic;transport protocols,ANN;FCM;KDD Cup dataset;LUTI3 dataset;artificial neural network;content feature;controlled environment;data processing;full labels;fuzzy c-means;intrusion detection dataset;machine learning techniques;network-based intrusion detection system;raw data collection;traffic feature,,0,,17,,,15-18 Dec. 2013,,IEEE,IEEE Conference Publications
A detail analysis on intrusion detection datasets,"Sahu, S.K.; Sarangi, S.; Jena, S.K.","Nat. Inst. of Technol., Rourkela, India","Advance Computing Conference (IACC), 2014 IEEE International",20140327,2014,,,1348,1353,"To simulate an efficient Intrusion Detection System (IDS) model, enormous amount of data are required to train and testing the model. To improve the accuracy and efficiency of the model, it is essential to infer the statistical properties from the observable elements of th e dataset. In this work, we have proposed some data preprocessing techniques such as filling the missing values, removing redundant samples, reduce the dimension, selecting most relevant features and finally, normalize the samples. After data preprocessing, we have simulated and tested the dataset by applying various data mining algorithms such as Support Vector Machine (SVM), Decision Tree, K nearest neighbor, K-Mean and Fuzzy C-Mean Clustering which provides better result in less computational time.",,978-1-4799-2571-1,,10.1109/IAdCC.2014.6779523,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6779523,Data Preprocessing;GureKDD;Heuristic Rules;Intrusion Detection System;KDD99;NSLKDD,Accuracy;Algorithm design and analysis;Data mining;Data preprocessing;Feature extraction;Intrusion detection;Machine learning algorithms,data mining;decision trees;feature selection;fuzzy set theory;learning (artificial intelligence);pattern classification;pattern clustering;security of data;support vector machines,IDS model;SVM;data mining algorithms;data preprocessing techniques;decision tree;feature selection;fuzzy c-mean clustering;intrusion detection datasets;intrusion detection system model;k nearest neighbor;k-mean clustering;statistical properties;support vector machine,,0,,18,,,21-22 Feb. 2014,,IEEE,IEEE Conference Publications
Improved Intrusion Detection in DDoS Applying Feature Selection Using Rank &amp; Score of Attributes in KDD-99 Data Set,"Harbola, A.; Harbola, J.; Vaisla, K.S.","Graphic Era Univ., Dehradun, India","Computational Intelligence and Communication Networks (CICN), 2014 International Conference on",20150326,2014,,,840,845,"In today's networked environment, massive volume of data being generated, gathered and stored in databases across the world. This trend is growing very fast, year after year. Today it is normal to find databases with terabytes of data, in which vital information and knowledge is hidden. The unseen information in such databases is not feasible to mine without efficient mining techniques for extracting information. In past years many algorithms are created to extract knowledge from large sets of data. There are many different methodologies to approach data mining: classification, clustering, association rule, etc. Classification is the most conventional technique to analyse the large data sets. Classification can help identify intrusions, as well as for discovering new and unknown types of intrusions. For classification, feature selection provides an efficient mechanism to analyse the dataset. We are trying to analyse the NSL-KDD cup 99, dataset using various classification algorithms. Primary experiments are performed in WEKA environment. The accuracy of the various algorithms is also calculated. A feature selection method has been implemented to provide improved accuracy. The main objective of this analysis is to deliver the broad analysis feature selection methods for NSL-KDD intrusion detection dataset.",,978-1-4799-6928-9,,10.1109/CICN.2014.179,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7065599,Feature selection;Intrusion detection;KDD cup 99;WEKA,Accuracy;Algorithm design and analysis;Classification algorithms;Clustering algorithms;Data mining;Feature extraction;Intrusion detection,data analysis;data mining;feature selection;pattern classification;pattern clustering;security of data,DDoS;KDD-99 data set;NSL-KDD cup 99;NSL-KDD intrusion detection dataset;WEKA environment;association rule methodology;classification methodology;clustering methodology;databases;feature selection;information extraction;large data set analysis;mining techniques,,0,,32,,,14-16 Nov. 2014,,IEEE,IEEE Conference Publications
Performance analysis of NSL-KDD dataset using ANN,"Ingre, B.; Yadav, A.","Dept. of Electr. Eng., Nat. Inst. of Technol., Raipur, India","Signal Processing And Communication Engineering Systems (SPACES), 2015 International Conference on",20150312,2015,,,92,96,"Anomalous traffic detection on internet is a major issue of security as per the growth of smart devices and this technology. Several attacks are affecting the systems and deteriorate its computing performance. Intrusion detection system is one of the techniques, which helps to determine the system security, by alarming when intrusion is detected. In this paper performance of NSL-KDD dataset is evaluated using ANN. The result obtained for both binary class as well as five class classification (type of attack). Results are analyzed based on various performance measures and better accuracy was found. The detection rate obtained is 81.2% and 79.9% for intrusion detection and attack type classification task respectively for NSL-KDD dataset. The performance of the proposed scheme has been compared with existing scheme and higher detection rate is achieved in both binary class as well as five class classification problems.",,,,10.1109/SPACES.2015.7058223,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7058223,ANN;Intrusion Detection System;NSL-KDD dataset;accuracy,Accuracy;Artificial neural networks;Biological neural networks;Intrusion detection;Probes;Testing;Training,Internet;mobile computing;neural nets;pattern classification;security of data,ANN;Internet;NSL-KDD dataset;anomalous traffic detection;attack type classification;class classification;intrusion detection system;security;smart devices,,0,,13,,,2-3 Jan. 2015,,IEEE,IEEE Conference Publications
