http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.False+positive.QT.%29+OR+.QT.misclassification.QT.%29+OR+.QT.False+alarm.QT.%29+OR+.QT.type+I+error.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/9/2015 17:18,"(((((""False positive"") OR ""misclassification"") OR ""False alarm"") OR ""type I error"") AND ""Intrusion Detection System"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,
Using feature selection for intrusion detection system,"Alazab, A.; Hobbs, M.; Abawajy, J.; Alazab, M.","Deakin Univ., Melbourne, VIC, Australia","Communications and Information Technologies (ISCIT), 2012 International Symposium on",20121213,2012,,,296,301,"A good intrusion system gives an accurate and efficient classification results. This ability is an essential functionality to build an intrusion detection system. In this paper, we focused on using various training functions with feature selection to achieve high accurate results. The data we used in our experiments are NSL-KDD. However, the training and testing time to build the model is very high. To address this, we proposed feature selection based on information gain, which can contribute to detect several attack types with high accurate result and low false rate. Moreover, we performed experiments to classify each of the five classes (normal, probe, denial of service (DoS), user to super-user (U2R), and remote to local (R2L). Our proposed outperform other state-of-art methods.",,978-1-4673-1156-4,978-1-4673-1155-7,10.1109/ISCIT.2012.6380910,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6380910,Anomaly base detection;Feature selection;Intrusion detection;security,Accuracy;Computers;Feature extraction;Intrusion detection;Probes;Testing;Training,security of data,DoS class;NSL-KDD;R2L class;U2R class;classification result;denial of service class;feature selection;information gain;intrusion detection system;normal class;probe class;remote to local class;training function;user to super-user class,,2,,23,,,2-5 Oct. 2012,,IEEE,IEEE Conference Publications,,,
Training of intelligent intrusion detection system using neuro fuzzy,"Panja, B.; Ogunyanwo, O.; Meharia, P.","Univ. of Michigan-Flint, Flint, MI, USA","Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD), 2014 15th IEEE/ACIS International Conference on",20140901,2014,,,1,6,"Intrusion detection systems classify computer activities into two main categories: normal and suspicious activities. In order to achieve the classification, Intrusion detection systems use software computing techniques including neural networks and neuro fuzzy networks to categorize network activities and specify what category of attack is being generated. Neuro-Fuzzy classifiers are used for the initial classification of the initial network traffic. An inference system, Fuzzy inference systems is further used to determine whether the activity is normal or malicious. Efficient IDS systems are those capable of reducing false positives and generate high rate attack detection. However, fuzzy inference systems use human knowledge to create their fuzzy rule. In order to introduce a more accurate way of classifying network traffic, we introduce the use of Genetic Algorithms in conjunction with ANFIS so as to optimize data classification and obtain the best results. Genetic algorithms use a set of genetic operators such as mutation, crossover and selection on current population to reproduce similar patterns that will be used repeatedly until a particular criterion is met.",,,,10.1109/SNPD.2014.6888688,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6888688,ANFIS;Genetic Algorithms;Intrusion detection;Neuro-Fuzy,Biological cells;Filtering;Fuzzy logic;Genetic algorithms;Intrusion detection;Sociology;Training,fuzzy neural nets;fuzzy reasoning;genetic algorithms;security of data,ANFIS;IDS systems;data classification;fuzzy inference systems;genetic algorithms;intelligent intrusion detection system;neural networks;neuro-fuzzy classifiers;software computing techniques,,0,,20,,,June 30 2014-July 2 2014,,IEEE,IEEE Conference Publications,,,
Intrusion detection system by improved preprocessing methods and Naïve Bayes classifier using NSL-KDD 99 Dataset,"Deshmukh, D.H.; Ghorpade, T.; Padiya, P.","Dept. Of Comput. Eng., Ramrao Adik Inst. Of Technol., Navimumbai, India","Electronics and Communication Systems (ICECS), 2014 International Conference on",20140908,2014,,,1,7,"Today Network is one of the very important parts of life and a lot of essential activities are performed using network. Network security plays critical role in real life situations. This paper presents a Data Mining method in which various preprocessing methods are involved such as Normalization, Discretization and Feature selection. With the help of these methods the data is preprocessed and required features are selected. Here Naïve Bayes classifier is used in supervised learning method which classifies various network events for the KDD cup'99 Dataset. This dataset is the most commonly used dataset for Intrusion Detection.",,978-1-4799-2321-2,,10.1109/ECS.2014.6892542,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6892542,Correlation Based Feature Selection;Cross validation;Discretization;Knowledge Discovery in Databases;Naive Bayes;Normalization,Data mining;Niobium;Probes;Training,computer network security;data mining;feature selection;learning (artificial intelligence);pattern classification,KDD cup'99 dataset;NSL-KDD 99 dataset;data mining method;discretization;feature selection;improved data preprocessing methods;intrusion detection system;naïve Bayes classifier;network security;normalization;supervised learning method,,0,,17,,,13-14 Feb. 2014,,IEEE,IEEE Conference Publications,,,
Performance analysis of NSL-KDD dataset using ANN,"Ingre, B.; Yadav, A.","Dept. of Electr. Eng., Nat. Inst. of Technol., Raipur, India","Signal Processing And Communication Engineering Systems (SPACES), 2015 International Conference on",20150312,2015,,,92,96,"Anomalous traffic detection on internet is a major issue of security as per the growth of smart devices and this technology. Several attacks are affecting the systems and deteriorate its computing performance. Intrusion detection system is one of the techniques, which helps to determine the system security, by alarming when intrusion is detected. In this paper performance of NSL-KDD dataset is evaluated using ANN. The result obtained for both binary class as well as five class classification (type of attack). Results are analyzed based on various performance measures and better accuracy was found. The detection rate obtained is 81.2% and 79.9% for intrusion detection and attack type classification task respectively for NSL-KDD dataset. The performance of the proposed scheme has been compared with existing scheme and higher detection rate is achieved in both binary class as well as five class classification problems.",,,,10.1109/SPACES.2015.7058223,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7058223,ANN;Intrusion Detection System;NSL-KDD dataset;accuracy,Accuracy;Artificial neural networks;Biological neural networks;Intrusion detection;Probes;Testing;Training,Internet;mobile computing;neural nets;pattern classification;security of data,ANN;Internet;NSL-KDD dataset;anomalous traffic detection;attack type classification;class classification;intrusion detection system;security;smart devices,,0,,13,,,2-3 Jan. 2015,,IEEE,IEEE Conference Publications,,,
Performance aNALYSIs of pattern based network security,"Pachghare, V.K.; Kulkarni, P.","Dept. of Comput. Eng. & I.T., Coll. of Eng., Pune, Pune, India","Computer Technology and Development (ICCTD), 2010 2nd International Conference on",20101129,2010,,,277,281,Network Intrusion Detection aims at distinguishing the behavior of the network. It is an inseparable part of the information security system. Due to rapid development of attack pattern it is necessary to develop a system which can upgrade itself as new threats are detected. Also detection rate should be high because the rate with which attack is carried out on the network is very high. In response to this problem Pattern Based Algorithm is proposed which has high detection rate as well as low false alarm rate. In this algorithm decision stumps are used as weak classifier. The decision rules are provided for both categorical and continuous features. Weak classifier for continuous features and weak classifier for categorical features are combined to form a strong classifier. Strategies for avoiding the over fitting are adopted to improve the performance of the algorithm.,,978-1-4244-8844-5,978-1-4244-8845-2,10.1109/ICCTD.2010.5645870,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5645870,Intrusion Detection System;Machine Learning;Neural Networks;Pattern Based Algorithm;Security,Classification algorithms;Data mining;Decision support systems;Feature extraction;Labeling;Probes;Support vector machines,computer network security;decision trees,attack pattern;decision stumps;information security system;network intrusion detection;pattern based network security,,0,1,35,,,2-4 Nov. 2010,,IEEE,IEEE Conference Publications,,,
Comparison of Machine Learning algorithms performance in detecting network intrusion,"Abd Jalil, K.; Kamarudin, M.H.; Masrek, M.N.","Fac. of Comput. & Math. Sci., Univ. Teknol. MARA, Shah Alam, Malaysia","Networking and Information Technology (ICNIT), 2010 International Conference on",20100719,2010,,,221,226,"Organization has come to realize that network security technology has become very important in protecting its information. With tremendous growth of internet, attack cases are increasing each day along with the modern attack method. One of the solutions to this problem is by using Intrusion Detection System (IDS). Machine Learning is one of the methods used in the IDS. In recent years, Machine Learning Intrusion Detection system has been giving high accuracy and good detection on novel attacks. In this paper the performance of a Machine Learning algorithm called Decision Tree (J48) is evaluated and compared with two other Machine Learning algorithms namely Neural Network and Support Vector Machines which has been conducted by A. Osareh [1] for detecting intrusion. The algorithms were tested based on accuracy, detection rate, false alarm rate and accuracy of four categories of attacks. From the experiments conducted, it was found that the Decision tree (J48) algorithm outperformed the other two algorithms.",,978-1-4244-7579-7,978-1-4244-7578-0,10.1109/ICNIT.2010.5508526,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5508526,Decision Tree;KDD 99;Machine Learning;Neural Network;Support Vector Machines,Decision trees;Information security;Internet;Intrusion detection;Machine learning;Machine learning algorithms;Neural networks;Protection;Support vector machines;Testing,decision trees;learning (artificial intelligence);neural nets;security of data;support vector machines,decision tree algorithm;intrusion detection system;machine learning algorithms performance;network intrusion detection;network security technology;neural network;support vector machines,,1,,13,,,11-12 June 2010,,IEEE,IEEE Conference Publications,,,
Intrusion detection using error correcting output code based ensemble,"AbdElrahman, S.M.; Abraham, A.","Fac. of Comput. Sci. & Inf. Technol., Sudan Univ. of Sci. & Technol., Khartoum, Sudan","Hybrid Intelligent Systems (HIS), 2014 14th International Conference on",20150416,2014,,,181,186,"Intrusion Detection System is an essential part in computer security. Researchers have proposed many methods but most of them suffer from low detection rates and high false alarm rates. In this paper, we try to tackle the class imbalance problem, increase detection rates for each class and minimize false alarms in intrusion detection system. We test the performance of seven classifiers using Bagging and AdaBoost ensemble methods. We proposed a new hybrid ensemble for intrusion detection based on Error Correcting Output Code (ECOC) approach.",,978-1-4799-7632-4,,10.1109/HIS.2014.7086194,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7086194,Error Correcting Output Code (ECOC);Intrusion Detection;ensemble,Accuracy;Bagging;Biological system modeling;Intrusion detection;Learning systems;Support vector machines;Vegetation,error correction codes;learning (artificial intelligence);security of data,AdaBoost ensemble method;ECOC approach;bagging ensemble;class imbalance problem;computer security;detection rate;error correcting output code approach;error correcting output code based ensemble;false alarm rate;hybrid ensemble;intrusion detection system,,0,,17,,,14-16 Dec. 2014,,IEEE,IEEE Conference Publications,,,
Optimizing false alerts using multi-objective particle swarm optimization method,"Dickson, A.; Thomas, C.","Dept. of Electron. & Commun. Eng., Coll. of Eng., Trivandrum, India","Signal Processing, Informatics, Communication and Energy Systems (SPICES), 2015 IEEE International Conference on",20150423,2015,,,1,5,"Security attacks through Internet have proliferated in recent years. An Intrusion Detection System in the general framework of a network catches the perpetrators before they do real damage to the resources. The performance of Intrusion Detection Systems usually depends on the false alarm rate and the detection rate, since true positive and false positive trade-off is always a major challenge in the choice of systems. In this paper, a multi-objective optimization approach using Particle Swarm Optimization method is used in the context of tradeoffs inherent in the performance evaluators of Intrusion Detection Systems.",,,,10.1109/SPICES.2015.7091547,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7091547,Gbest;Intrusion Detection Systems;Particle Swarm Optimization;Pbest;Swarm Intelligence,Classification algorithms;Conferences;Intrusion detection;Optimization;Particle swarm optimization;Search problems,Internet;computer network security;particle swarm optimisation,Internet;detection rate;false alarm rate;false alert optimization;false positive trade-off;intrusion detection system;multiobjective particle swarm optimization method;security attacks;true positive trade-off,,0,,14,,,19-21 Feb. 2015,,IEEE,IEEE Conference Publications,,,
DDoS detection and analysis in SDN-based environment using support vector machine classifier,"Kokila, R.T.; Thamarai Selvi, S.; Govindarajan, K.","Dept. of Comput. Technol., Anna Univ., Chennai, India","Advanced Computing (ICoAC), 2014 Sixth International Conference on",20150831,2014,,,205,210,Software Defined Networking (SDN) provides separation of data plane and control plane. The controller has centralized control of the entire network. SDN offers the ability to program the network and allows dynamic creation of flow policies. The controller is vulnerable to Distributed Denial of Service (DDoS) attacks that leads to resource exhaustion which causes non-reachability of services given by the controller. The detection of DDoS requires adaptive and accurate classifier that does decision making from uncertain information. It is critical to detect the attack in the controller at earlier stage. SVM is widely used classifier with high accuracy and less false positive rate. We analyze the SVM classifier and compare it with other classifiers for DDoS detection. The experiments show that SVM performs accurate classification than others.,,978-1-4799-8466-4,,10.1109/ICoAC.2014.7229711,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7229711,DARPA dataset;DDoS;OpenFlow;SDN;SVM,Accuracy;Bagging;Floods;Probes;Support vector machines;Testing;Training,computer network security;pattern classification;software defined networking;support vector machines,DDoS analysis;DDoS detection;SDN-based environment;SVM classifier;centralized control;control plane;data plane;decision making;distributed denial-of-service attacks;dynamic flow policy creation;false positive rate;resource exhaustion;service nonreachability;software defined networking;support vector machine classifier;uncertain information,,0,,22,,,17-19 Dec. 2014,,IEEE,IEEE Conference Publications,,,
Mathematical analysis of sensor fusion for intrusion detection systems,"Thomas, C.; Balakrishnan, N.","SERC, IISc","Communication Systems and Networks and Workshops, 2009. COMSNETS 2009. First International",20090331,2009,,,1,10,Fusion of multiple intrusion detection systems results in a more reliable and accurate detection for a wider class of intrusions. The paper presented here introduces the mathematical basis for sensor fusion and provides enough support for the acceptability of sensor fusion in performance enhancement of intrusion detection systems. The sensor fusion system is characterized and modeled with no knowledge of the intrusion detection systems and the intrusion detection data. The theoretical analysis is supported with an experimental illustration with three of the available intrusion detection systems using the DARPA 1999 evaluation data set.,,978-1-4244-2912-7,978-1-4244-2913-4,10.1109/COMSNETS.2009.4808852,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4808852,Intrusion Detection Systems;Sensor Fusion,Computer networks;Computerized monitoring;Data analysis;Detectors;Intrusion detection;Mathematical analysis;Performance loss;Power system modeling;Power system reliability;Sensor fusion,mathematical analysis;security of data;sensor fusion,intrusion detection system;mathematical analysis;sensor fusion,,0,,22,,,5-10 Jan. 2009,,IEEE,IEEE Conference Publications,,,
