http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.Computational+time.QT.%29+OR+.QT.execution+time.QT.%29+OR+.QT.time+complexity.QT.%29+OR+.QT.running+time.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/9/2015 20:33,"(((((""Computational time"") OR ""execution time"") OR ""time complexity"") OR ""running time"") AND ""Intrusion Detection System"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Multifocus image fusion based on nonsubsampled contourlet transform,Aili Wang; ChangYan Qi; Yuhui Han; Xusheng Liu,"Higher Educ. Key Lab. for Meas. &amp; Control Technol. &amp; Instrumentations of Heilongjiang, Harbin Univ. of Sci. &amp; Technol., Harbin, China","Strategic Technology (IFOST), 2012 7th International Forum on",20121124,2012,,,1,4,"In recent years, image fusion has become the focus of image processing. For the fusion problems of the multifocus images with the same scence, this paper proposed a new fusion method based on nonsampled contourlet transform(NSCT). Firstly, source images are decomposed in different scales and directions by NSCT, thus the low frequency subband coefficients and the high frequency subband coefficients are obtained. Secondly, for the low frequency subband coefficients, we present a fusion rule based on the local entropy; while for the high frequency subband coefficients, a fusion rule based on the directional contrast combined with the local area energy is applied. Finally, the fused image is obtained through the inverse NSCT. Compared with the fusion method based wavelet and other fusion methods, the experiments show that this approach can achieve better results than them.",,978-1-4673-1772-6,,10.1109/IFOST.2012.6357605,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6357605,directional contrast;image fusion;local area energy;local entropy;nonsubsampled contourlet transform,Entropy;Image fusion;Laser beams;Laser sintering;Laser theory;Standards;Transforms,entropy;image fusion;wavelet transforms,NSCT;directional contrast;fusion method based wavelet method;fusion rule;high frequency subband coefficients;image processing;local area energy;local entropy;low frequency subband coefficients;multifocus image fusion method;nonsubsampled contourlet transform;source image decomposition,,0,,11,,,18-21 Sept. 2012,,IEEE,IEEE Conference Publications
Anomaly Detection on Intrusion Detection System Using CLIQUE Partitioning,"Nastaiinullah, N.; Adiwijaya; Kurniati, A.P.","Telkom Univ., Bandung, Indonesia","Information and Communication Technology (ICoICT), 2014 2nd International Conference on",20141002,2014,,,7,12,"The development of information and network technology makes network security become important. Intrusion is one of the issues in network security. To prevent intrusion happens, intrusion detection system (IDS) is built. One of IDS category is anomaly detection. This category detects intrusion event based on data profile. Clustering is one way to observe data profile. There are a lot of clustering algorithms proposed for anomaly detection on IDS, but most of them find clusters in the highest dimension of data. CLIQUE Partitioning (CP) is one of the clustering algorithm that can find clusters from the subspace of data. Testing is done to analyze system's performance based on computational time, completeness, and false alarm rate. CP algorithm shows good performance from completeness point of view (94.59%) and false alarm rate (2.54%). From computational time, CP shows good performance based on the amount of tuple, but the performance is not too good from the quantity of feature side.",,,,10.1109/ICoICT.2014.6914031,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6914031,CLIQUE Partitioning;IDS;anomaly detection;cluster;subspace,Cleaning;Clustering algorithms;Data preprocessing;Intrusion detection;Labeling;Partitioning algorithms;Principal component analysis,data mining;pattern clustering;security of data,CLIQUE partitioning;IDS;anomaly detection;clustering algorithm;false alarm rate;intrusion detection system;network security,,0,,17,,,28-30 May 2014,,IEEE,IEEE Conference Publications
A survey of pattern matching algorithm in intrusion detection system,"Gharaee, Hossein; Seifi, Shokoufeh; Monsefan, Nima","IRAN Telecom Research Center (ITRC) Tehran, Iran","Telecommunications (IST), 2014 7th International Symposium on",20150108,2014,,,946,953,"The most common method of IDS functioning is based on pattern matching which recognizes the vandalism occurring on the network using particular patterns and rules. In order to do so, normal behaviors of the network are modeled and then used as a base pattern for recognizing abnormal behavior of the network. The article, in hand, tries to recognize and choose the best algorithms for this operation by surveying, implementing and also collecting all kinds of pattern matching methods so that the best conclusion is reached during matching known attacks with main patterns. In this paper, to collect all algorithms related to the subject, we investigated the discussion of pattern compatibility operation from different aspects. Another aspect studied in this paper is to determine the indexes for grouping the algorithms, meaning the algorithms were classified based on important indexes which more effect on the performance of pattern compatibility operations.",,978-1-4799-5358-5,,10.1109/ISTEL.2014.7000839,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7000839,intrusion detection systems;pattern matching;search algorithms,Algorithm design and analysis;Classification algorithms;Clustering algorithms;Indexes;Intrusion detection;Pattern matching;Time complexity,,,,0,,37,,,9-11 Sept. 2014,,IEEE,IEEE Conference Publications
Clustering of Snort alerts to identify patterns and reduce analyst workload,"Harang, R.; Guarino, P.","U.S. Army Res. Lab., ICF Int., Adelphi, MD, USA","MILITARY COMMUNICATIONS CONFERENCE, 2012 - MILCOM 2012",20130128,2012,,,1,6,"Pattern-matching intrusion detection system (IDS) tools such as Snort are known to generate an extremely large number of alerts. To address this problem, we present a greedy aggregation algorithm that efficiently reduces multiple alerts by grouping the raw output of IDS tools into `meta-alerts' that contain common information. In contrast to the current thrust of alert aggregation efforts, our approach does not require developing elaborate semantic structures for capturing information, nor creating and maintaining an external database containing information on attack vectors, network topologies, and cause-and-effect relationships. We apply our method to 30 days of Snort alerts, grouped by hour, and observe that we can reduce the number of analyst-visible Snort alerts by up to 99.5%, with an average reduction of approximately 83.2%.",2155-7578,978-1-4673-1729-0,,10.1109/MILCOM.2012.6415777,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6415777,Computer security;Information security;Intrusion detection,Approximation algorithms;IP networks;Indexes;Intrusion detection;Semantics;Sensors;Vectors,greedy algorithms;pattern clustering;pattern matching;security of data,Snort alerts clustering;alert aggregation efforts;analyst workload reduction;attack vectors;cause-and-effect relationships;greedy aggregation algorithm;network topologies;pattern identification;pattern-matching intrusion detection system,,1,,17,,,Oct. 29 2012-Nov. 1 2012,,IEEE,IEEE Conference Publications
Fast Activity Detection: Indexing for Temporal Stochastic Automaton-Based Activity Models,"Albanese, M.; Pugliese, A.; Subrahmanian, V.S.","Dept. of Appl. Inf. Technol. & the Center for Secure Inf. Syst., George Mason Univ., Fairfax, VA, USA","Knowledge and Data Engineering, IEEE Transactions on",20121220,2013,25,2,360,373,"Today, numerous applications require the ability to monitor a continuous stream of fine-grained data for the occurrence of certain high-level activities. A number of computerized systems-including ATM networks, web servers, and intrusion detection systems-systematically track every atomic action we perform, thus generating massive streams of timestamped observation data, possibly from multiple concurrent activities. In this paper, we address the problem of efficiently detecting occurrences of high-level activities from such interleaved data streams. A solution to this important problem would greatly benefit a broad range of applications, including fraud detection, video surveillance, and cyber security. There has been extensive work in the last few years on modeling activities using probabilistic models. In this paper, we propose a temporal probabilistic graph so that the elapsed time between observations also plays a role in defining whether a sequence of observations constitutes an activity. We first propose a data structure called “temporal multiactivity graph” to store multiple activities that need to be concurrently monitored. We then define an index called Temporal Multiactivity Graph Index Creation (tMAGIC) that, based on this data structure, examines and links observations as they occur. We define algorithms for insertion and bulk insertion into the tMAGIC index and show that this can be efficiently accomplished. We also define algorithms to solve two problems: the “evidence” problem that tries to find all occurrences of an activity (with probability over a threshold) within a given sequence of observations, and the “identification” problem that tries to find the activity that best matches a sequence of observations. We introduce complexity reducing restrictions and pruning strategies to make the problem-which is intrinsically exponential-linear to the number of observations. Our experiments confirm that tMAGI- has time and space complexity linear to the size of the input, and can efficiently retrieve instances of the monitored activities.",1041-4347,,,10.1109/TKDE.2011.246,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6095553,Activity detection;indexing;stochastic automata;timestamped data,Automata;Context awareness;Hidden Markov models;Indexing;Monitoring;Stochastic processes,computational complexity;computerised monitoring;data structures;graph theory;probabilistic automata;probability;stochastic automata,concurrent activity monitoring;data structure;evidence problem;high-level activity occurrence detection;identification problem;interleaved data streams;intrinsically exponential problem;space complexity;tMAGIC index;tMAGIC insertion algorithm;temporal multiactivity graph index creation;temporal multiactivity probabilistic graph;temporal stochastic automaton-based activity model indexing;time complexity;timestamped observation data streams,,3,,16,,12/6/2011,Feb. 2013,,IEEE,IEEE Journals & Magazines
"2012 International Conference on Devices, Circuits and Systems (ICDCS)",,,"Devices, Circuits and Systems (ICDCS), 2012 International Conference on",20120423,2012,,,1,748,Provides the entire conference content.,,978-1-4577-1545-7,,10.1109/ICDCSyst.2012.6188784,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6188784,,CMOS integrated circuits;CMOS technology;Field programmable gate arrays;MESFETs;MOSFETs;Optical imaging;Random access memory,,,,0,,,,,15-16 March 2012,,IEEE,IEEE Conference Publications
Group-by Query Process in Middleware of Large Scale Data Intensive Systems,Song Huaiming; An Mingyuan; Wang Yang; Wang Weiping; Sun Ninghui,"Key Lab. of Comput. Syst. & Archit., Chinese Acad. of Sci., Beijing, China","Networking, Architecture, and Storage, 2009. NAS 2009. IEEE International Conference on",20090807,2009,,,82,89,"Large scale data intensive systems are available in many fields in recent years, and itpsilas a severe challenge for group-by query of large volume of data in a cluster based on shared-nothing architecture. This paper proposes a design of a parallel query engine (PQE) and its asynchronous improvement (APQE) for group-by queries. PQE and APQE support for pipelined query processing and develop maximum degree of pipeline parallelism. APQE further eliminates the synchronous overhead of multi nodes parallelism, and returns part of final result as early as possible if no data dependency exists. Experimental results demonstrate that, compared to previous 2-step query engine, PQE and APQE can make a significant performance improvement for group-by query of large data sets in a shared-nothing cluster system, as well as obviously better scalability.",,978-0-7695-3741-2,,10.1109/NAS.2009.19,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5197303,asynchronous pipeline;group-by query;parallel query engine;result merge,Computer architecture;Databases;Design optimization;Engines;Large-scale systems;Middleware;Parallel processing;Pipeline processing;Query processing;Scalability,middleware;pipeline processing;query processing,asynchronous improvement;cluster system;group-by query process;large scale data intensive system;middleware;multinods parallelism;parallel query engine;pipeline parallelism;pipelined query processing;synchronous overhead,,0,,22,,,9-11 July 2009,,IEEE,IEEE Conference Publications
Realizing a Sub-Linear Time String-Matching Algorithm With a Hardware Accelerator Using Bloom Filters,Po-Ching Lin; Yin-Dar Lin; Yuan-Cheng Lai; Yi-Jun Zheng; Tsern-Huei Lee,"Dept. of Comput. Sci., Nat. Chiao Tung Univ., Hsinchu, Taiwan","Very Large Scale Integration (VLSI) Systems, IEEE Transactions on",20090721,2009,17,8,1008,1020,"Many network security applications rely on string matching to detect intrusions, viruses, spam, and so on. Since software implementation may not keep pace with the high-speed demand, turning to hardware-based solutions becomes promising. This work presents an innovative architecture to realize string matching in sub-linear time based on algorithmic heuristics, which come from parallel queries to a set of space-efficient Bloom filters. The algorithm allows skipping characters not in a match in the text, and in turn simultaneously inspect multiple characters in effect. The techniques to reduce the impact of certain bad situations on performance are also proposed: the <i>bad-block</i> heuristic, a linear worst-case time method and a non-blocking interface to hand over the verification job to a verification module. This architecture is simulated with both behavior simulation in C and timing simulation in HDL for antivirus applications. The simulation shows that the throughput of scanning Windows executable files for more than 10000 virus signatures can achieve 5.64 Gb/s, while the worst-case performance is 1.2 Gb/s if the signatures are properly specified.",1063-8210,,,10.1109/TVLSI.2008.2012011,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4840440,Algorithms;field-programmable gate arrays (FPGAs);string matching,,C language;digital signatures;field programmable gate arrays;hardware description languages;integrated circuit design;logic design;program verification;string matching,Bloom filter;C language;HDL;algorithmic heuristics;antivirus application;bad-block heuristic;behavior simulation;field programmable gate array;hardware accelerator;linear worst-case time method;network security;nonblocking interface;parallel query;sublinear time string-matching algorithm;timing simulation;verification module;virus signature,,5,,39,,4/24/2009,Aug. 2009,,IEEE,IEEE Journals & Magazines
Software Based Implementation Methodologies for Deep Packet Inspection,"Chaudhary, A.; Sardana, A.","Dept. of Electron. & Comput. Eng., Indian Inst. of Technol. Roorkee, Roorkee, India","Information Science and Applications (ICISA), 2011 International Conference on",20110523,2011,,,1,10,"Deep Packet Inspection plays an important role for providing secure and congestion free network. It determines whether incoming traffic matches a database of signatures up to payload level, where each signature represents an attack, vulnerability, Virus, worm and even type of traffic. Other techniques like IDS/IPS etc uses only packet header information for decision making, while DPI is considers whole packet including payload for matching which provides better surveillance then other techniques. The problems that DPI system faces is low packet throughput, high memory requirement, latency and low accuracy at line speed of 10GbE/OC192. This paper reviews different software based approaches for efficient implementation of Deep Packet Inspection. A comparative study has been performed for these approaches on the basis of packet throughput and memory requirements. This paper is an attempt to exhaustively review existing techniques to addresses the probable research gaps. It then suggests a novel software based implementation of DPI to overcome the identified research gaps.",,978-1-4244-9222-0,978-1-4244-9223-7,10.1109/ICISA.2011.5772430,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5772430,,Algorithm design and analysis;Approximation algorithms;Automata;Complexity theory;Inspection;Pattern matching;Protocols,computer network security;software engineering,DPI system;congestion free network;deep packet inspection;memory requirement;software based implementation methodology,,1,,58,,,26-29 April 2011,,IEEE,IEEE Conference Publications
Performance Evaluation of Multi-pattern Matching Algorithms on Smartphone,"Amamra, A.; Talhi, C.; Robert, J.","Dept. of Software Eng. &amp; Inf. Technol., Ecole de Technol. Super., Montreal, QC, Canada","Broadband, Wireless Computing, Communication and Applications (BWCCA), 2012 Seventh International Conference on",20130121,2012,,,329,334,"Dramatic increase of smartphones malwares has imposed adopting malware detection solution for them. Signature-based technique is widely used in commercial Antivirus and it is based on multi-pattern matching algorithms. In this paper, we discuss several multi-pattern matching algorithms and review their complexities. We implement and evaluate their performance on limited resources environment, which is Android Smartphone. We study Android memory management and identify the available memory. We compare the available memory with required by each algorithm. We classify algorithms according to their memory budgets.",,978-1-4673-2972-9,,10.1109/BWCCA.2012.61,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6363077,Malware Detection;Pattern Matching;Signature-based technique;Smartphone;Smartphone Memory,Algorithm design and analysis;Classification algorithms;Malware;Memory management;Pattern matching;Random access memory;Smart phones,Linux;digital signatures;invasive software;pattern matching;performance evaluation;resource allocation;smart phones;storage management,Android memory management;Android smartphone;available memory identification;commercial antivirus;limited resource environment;malware detection solution;multipattern matching algorithms;performance evaluation;signature-based technique;smartphone malwares,,0,,25,,,12-14 Nov. 2012,,IEEE,IEEE Conference Publications
