Year,((Time complexity) AND Intrusion detection system),((((joules) OR kilojoules) OR megajoules) AND Intrusion Detection System),(((Alexa) OR Alexa Top) AND Intrusion Detection System),((Relative Error) AND Intrusion Detection System),(((CPU Usage) OR Processor Usage) AND Intrusion Detection System),((Kyoto 2006+) AND Intrusion Detection System),((hours) AND Intrusion detection system),(((((False positive) OR misclassification) OR False alarm) OR type I error) AND Intrusion Detection System),((((Energy consumption) OR Energy usage) OR Energy cost) AND Intrusion Detection System),((CSIM) AND Intrusion Detection System),((((UNM) OR UNM Dataset) OR Firefox Dataset) AND Intrusion Detection System),((((((DarpaIDE) OR Darpa1998) OR Darpa98) OR 1998 Darpa Intrusion Detection Evaluation) OR Darpa Intrusion Detection Evaluation) AND Intrusion Detection System),(((((Scanning time) OR time spent scanning) OR time spent pattern matching) OR pattern matching time) AND Intrusion detection system),(((((System slowdown) OR change in system speed) OR increase in processing time) OR increase in memory usage) AND Intrusion Detection System),((((KDD99) OR KDD Cup 1999) OR KDD Cup 99) AND Intrusion Detection System),((seconds) AND Intrusion detection system),(Not Applicable),((accuracy) AND Intrusion Detection System),(((((ROC) OR area under curve) OR Receiver operating characteristic) OR area under ROC curve) AND Intrusion Detection System),((F-value) AND Intrusion Detection System),((((Lines of code) OR LOC) OR SLOC) AND Intrusion Detection System),((number of states) AND Intrusion Detection System),(((distinct transitions) OR distinct transition) AND Intrusion detection system),(((False negative) OR Type II error) AND Intrusion Detection System),((Honeynet Traffic) AND Intrusion Detection System),(((((MIT LL) OR MIT Lincoln Labs IDS) OR Attack data generated from MIT Lincoln Laboratories) OR MIT Lincoln Laboratories) AND Intrusion Detection System),(((expansion factor) OR states rules ratio) AND Intrusion detection system),(Intrusion Detection System),(((Blaster worm) OR blaster) AND Intrusion Detection System),((((Clam virus database) OR clam) OR clamAV) AND Intrusion Detection System),(((True Positive) OR Detection Rate) AND Intrusion Detection System),(((Fence) OR Fencing system) AND Intrusion Detection System),((True Negative) AND Intrusion Detection System),((Overhead) AND Intrusion detection system),((Precision) AND Intrusion Detection System),((((((((megabyte) OR mb) OR gigabyte) OR gb) OR kilobyte) OR kb) OR byte) AND Intrusion Detection System),((Processing bandwidth) AND Intrusion detection system),(((SPEC2006) OR SPEC CPU2006) AND Intrusion Detection System),(((memory usage) OR memory) AND Intrusion Detection System),(((((System Slowdown) OR Change in system speed) OR Percent increase in processing time) OR Percent increase in memory usage) AND Intrusion Detection System),((Recall) AND Intrusion Detection System),(((saved battery) OR battery consumption) AND Intrusion Detection System),(((((KDD98) OR KDD Cup 98) OR KDD Cup 1998) OR new ADFA-LD) AND Intrusion Detection System),(Tagged papers),((SPEC2000) AND Intrusion Detection System),((((Computational time) OR Execution time) OR running time) AND Intrusion detection system),(((((throughput) OR processing speed) OR processing bandwidth) OR bytes analyzed per second) AND Intrusion detection system),((minutes) AND Intrusion detection system),(((Monitoring Interval) OR System monitoring) AND Intrusion detection system),(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System),((MAWILab) AND Intrusion Detection System),(((Parsec) OR Benchmarking modern multiprocessors) AND Intrusion Detection System),((Void11) AND Intrusion Detection System),((((state transition) OR total transitions) OR total transition) AND Intrusion Detection System),(((((((watts) OR watt) OR kilowatt) OR kilowatts) OR megawatt) OR megawatts) AND Intrusion Detection System),((((Number of resources) OR Max number of resources) OR Maximum number of resources) AND Intrusion detection system),(((((Deterministic Finite Automata) OR DFA) OR Finite state automata) OR state machine) AND Intrusion Detection System),
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1998,0,0,0,0,1,0,5,6,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,1,0,0,0,16,0,0,0,4,0,2,0,2,0,0,5,0,0,0,0,0,0,0,1,3,1,1,0,0,0,1,1,0,1,
1999,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0,3,0,1,1,0,0,1,0,1,0,0,0,17,0,1,2,3,1,3,0,1,0,0,2,0,0,0,0,1,0,0,0,3,1,3,0,0,0,2,0,0,1,
2000,1,0,0,0,1,0,8,21,0,0,0,2,0,0,1,13,0,13,3,0,2,2,0,6,0,0,1,57,0,0,8,5,2,12,2,7,0,0,21,0,4,0,0,1,0,4,5,9,4,10,0,0,0,6,1,0,5,
2001,1,0,0,0,4,0,12,27,1,0,2,1,0,0,0,26,0,16,5,0,4,3,0,3,0,0,3,79,0,0,4,2,0,23,10,10,0,0,35,0,10,0,0,0,0,8,10,9,9,11,0,0,0,7,0,2,6,
2002,2,0,0,0,5,0,15,37,0,0,5,3,2,0,1,24,0,32,2,0,5,7,0,13,0,0,3,115,0,2,15,2,0,31,8,27,0,0,47,0,8,0,0,0,0,8,12,14,7,21,0,0,0,11,1,1,7,
2003,10,0,0,0,9,0,30,79,3,0,10,10,0,0,5,47,0,62,17,0,5,16,0,27,0,0,7,230,0,1,30,5,1,61,10,37,1,0,85,0,17,0,0,2,0,10,32,34,9,47,0,0,0,23,1,0,21,
2004,7,0,0,2,5,0,33,95,4,0,13,17,0,0,12,50,0,71,15,0,4,13,0,36,0,0,9,273,8,3,40,3,2,62,19,64,1,0,106,0,24,2,0,0,1,18,36,41,13,51,0,0,0,25,1,0,23,
