Zotero Export,11/6/2015,(Not Applicable),Zotero/IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
X452JSBD,conferencePaper,2008,"Cole, Robert J.; Liu, Peng",Addressing Low Base Rates in Intrusion Detection via Uncertainty-Bounding Multi-Step Analysis,,978-0-7695-3447-3,,10.1109/ACSAC.2008.14,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=4721564,,Dec-08,8/11/2015 13:09,8/11/2015 13:55,8/11/2015 13:09,269-278,,,,,,,,,,,IEEE,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCMHWMP5,conferencePaper,2012,"Morais, Anderson; Cavalli, Ana",A Distributed Intrusion Detection Scheme for Wireless Ad Hoc Networks,Proceedings of the 27th Annual ACM Symposium on Applied Computing,978-1-4503-0857-1,,10.1145/2245276.2245382,http://doi.acm.org/10.1145/2245276.2245382,"Wireless ad hoc network is an emerging technology that is gaining popularity as a cost-effective way of offering end-to-end services, such as Internet access, in an inexpensive, practical, and fast manner. However, wireless ad hoc networks are particularly vulnerable to extern and insider attacks due to their very intrinsic nature such as shared wireless medium and decentralized architecture. In this paper, we present a distributed intrusion detection approach, which is based on exchange of events and cooperation between the participating nodes. The proposed mechanism relies on non-intrusive traffic monitoring at each node, which generates network events. These events are processed by the intrusion detection system that is able to instantly signalize malicious activities, for instance, a node disseminating fake routing information through the network. We demonstrate the approach efficiency for detecting misbehaving nodes through a virtualized network environment that consists of virtual nodes interconnected which represent the network topology.",2012,7/25/2014 19:55,7/25/2014 19:55,7/25/2014 19:55,556–562,,,,,,,SAC '12,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,C:\Users\Ryan\AppData\Roaming\Zotero\Zotero\Profiles\hn6tel97.default\zotero\storage\XM57N4XK\Morais and Cavalli - 2012 - A Distributed Intrusion Detection Scheme for Wirel.pdf,,network,intrusion detection; routing misbehavior; wireless ad hoc network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3EAHAFI,conferencePaper,2010,"Nehinbe, Joshua Ojo",A Framework for Evaluating Clustering Algorithm,,978-1-4244-9405-7,,10.1109/CloudCom.2010.90,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5708517,,Nov-10,8/11/2015 13:08,9/2/2015 18:34,8/11/2015 13:08,677-686,,,,,,,,,,,IEEE,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457NJ3JB,journalArticle,2015,"Tang, Lu-An; Yu, Xiao; Gu, Quanquan; Han, Jiawei; Jiang, Guofei; Leung, Alice; Porta, Thomas La",A Framework of Mining Trajectories from Untrustworthy Data in Cyber-Physical System,ACM Trans. Knowl. Discov. Data,,1556-4681,10.1145/2700394,http://doi.acm.org/10.1145/2700394,"A cyber-physical system (CPS) integrates physical (i.e., sensor) devices with cyber (i.e., informational) components to form a context-sensitive system that responds intelligently to dynamic changes in real-world situations. The CPS has wide applications in scenarios such as environment monitoring, battlefield surveillance, and traffic control. One key research problem of CPS is called mining lines in the sand. With a large number of sensors (sand) deployed in a designated area, the CPS is required to discover all trajectories (lines) of passing intruders in real time. There are two crucial challenges that need to be addressed: (1) the collected sensor data are not trustworthy, and (2) the intruders do not send out any identification information. The system needs to distinguish multiple intruders and track their movements. This study proposes a method called LiSM (Line-in-the-Sand Miner) to discover trajectories from untrustworthy sensor data. LiSM constructs a watching network from sensor data and computes the locations of intruder appearances based on the link information of the network. The system retrieves a cone model from the historical trajectories to track multiple intruders. Finally, the system validates the mining results and updates sensors’ reliability scores in a feedback process. In addition, LoRM (Line-on-the-Road Miner) is proposed for trajectory discovery on road networks—mining lines on the roads. LoRM employs a filtering-and-refinement framework to reduce the distance computational overhead on road networks and uses a shortest-path-measure to track intruders. The proposed methods are evaluated with extensive experiments on big datasets. The experimental results show that the proposed methods achieve higher accuracy and efficiency in trajectory mining tasks.",Feb-15,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 13:11,16:1–16:35,,3,9,,,,,,,,,,,,,,,ACM Digital Library,,,,,,,Cyber-physical system; sensor network; trajectory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8JQU46C8,journalArticle,2009,"Lin Chen; Leneutre, J.",A Game Theoretical Framework on Intrusion Detection in Heterogeneous Networks,IEEE Transactions on Information Forensics and Security,,1556-6013,10.1109/TIFS.2009.2019154,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=4815406,,Jun-09,8/11/2015 12:56,9/2/2015 18:36,8/11/2015 12:56,165-178,,2,4,,,,,,,,,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNX76VC4,journalArticle,2014,"Moosavi, Hussein; Bui, Francis Minhthang",A Game-Theoretic Framework for Robust Optimal Intrusion Detection in Wireless Sensor Networks,IEEE Transactions on Information Forensics and Security,,"1556-6013, 1556-6021",10.1109/TIFS.2014.2332816,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6842601,,Sep-14,8/11/2015 12:57,9/2/2015 18:36,8/11/2015 12:57,1367-1379,,9,9,,,,,,,,,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHI8ACEV,conferencePaper,2011,"Van Woensel, William; Casteleyn, Sven; De Troyer, Olga",A Generic Approach for On-the-fly Adding of Context-aware Features to Existing Websites,Proceedings of the 22Nd ACM Conference on Hypertext and Hypermedia,978-1-4503-0256-2,,10.1145/1995966.1995987,http://doi.acm.org/10.1145/1995966.1995987,"More and more, mobile devices act as personal information managers and are able to obtain rich contextual information on the user's environment. Mobile, context-aware web applications can exploit this information to better address the needs of mobile users. Currently, such websites are either developed separately from their associated desktop-oriented version, or both versions are created simultaneously by employing methodologies that support multi-platform context-aware websites, requiring an extensive engineering effort. While these approaches provide a solution for developing new websites, they go past the plethora of existing websites. To address this issue, we present an approach for enhancing existing websites on-the-fly with context-aware features. We first discuss the requirements for such an adaptation process, and identify applicable adaptation methods to realize context-aware features. Next, we explain our generic approach, which is grounded in the use of semantic information extracted from existing websites. Finally, we present a concrete application of our approach that is based on the SCOUT framework for mobile and context-aware application development.",2011,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 14:06,143–152,,,,,,,HT '11,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,,client-side adaptation; context-aware; mobile web; semantic web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPFT9C4U,conferencePaper,2011,"Ficco, Massimo; Romano, Luigi",A Generic Intrusion Detection and Diagnoser System Based on Complex Event Processing,,978-1-4577-1458-0,,10.1109/CCP.2011.43,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6061035,,Jun-11,8/11/2015 13:08,8/11/2015 13:55,8/11/2015 13:08,275-284,,,,,,,,,,,IEEE,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITVG82EI,conferencePaper,2013,"Marchesani, Stefano; Pomante, Luigi; Pugliese, Marco; Santucci, Fortunato",A Middleware Approach to Provide Security in IEEE 802.15.4 Wireless Sensor Networks,,978-1-936968-94-7,,10.1109/Mobilware.2013.21,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6775056,,Nov-13,8/11/2015 13:12,8/11/2015 13:55,8/11/2015 13:12,85-93,,,,,,,,,,,European Alliance for Innovation,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPUCVBM5,conferencePaper,2010,"Hidaka, Shohei; Yu, Chen",Analyzing Multimodal Time Series As Dynamical Systems,International Conference on Multimodal Interfaces and the Workshop on Machine Learning for Multimodal Interaction,978-1-4503-0414-6,,10.1145/1891903.1891968,http://doi.acm.org/10.1145/1891903.1891968,"We propose a novel approach to discovering latent structures from multimodal time series. We view a time series as observed data from an underlying dynamical system. In this way, analyzing multimodal time series can be viewed as finding latent structures from dynamical systems. In light this, our approach is based on the concept of generating partition which is the theoretically best symbolization of time series maximizing the information of the underlying original continuous dynamical system. However, generating partition is difficult to achieve for time series without explicit dynamical equations. Different from most previous approaches that attempt to approximate generating partition through various deterministic symbolization processes, our algorithm maintains and estimates a probabilistic distribution over a symbol set for each data point in a time series. To do so, we develop a Bayesian framework for probabilistic symbolization and demonstrate that the approach can be successfully applied to both simulated data and empirical data from multimodal agent-agent interactions. We suggest this unsupervised learning algorithm has a potential to be used in various multimodal datasets as first steps to identify underlying structures between temporal variables.",2010,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 14:02,53:1–53:8,,,,,,,ICMI-MLMI '10,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,,generating partition; multi-agent communication; multi-stream time series; symbol dynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
